Cell lines	600MPE	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC38	HCC70	LY2	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	UACC812	ZR751	ZR75B
Meth__cg09102409__NDRG1	0.21242	0.38708	0.10188	0.075975	0.82728	0.14087	0.054133	0.13908	0.0875	0.17034	0.23559	0.095835	0.2861	0.18287	0.11706	0.20087	0.098994	0.13217	0.15957	0.10859	0.18	0.10966	0.11735	0.15925	0.1154	0.12343	0.63288	0.076594	0.22054	0.12727	0.14148	0.41853
Meth__cg26320696__PARVA	0.045123	0.06651	0.058436	0.21509	0.094598	0.13378	0.05585	0.076424	0.098856	0.046501	0.11485	0.04316	0.043187	0.080539	0.3308	0.45703	0.04359	0.032377	0.055866	0.044526	0.067879	0.11977	0.058355	0.032857	0.027294	0.26751	0.21816	0.043754	0.062335	0.040244	0.24667	0.35727
Meth__cg18059088__HS3ST1	0.061396	0.066459	0.26774	0.29513	0.81221	0.64252	0.04517	0.5033	0.47021	0.078181	0.066508	0.05518	0.14688	0.14957	0.57899	0.58445	0.31061	0.039531	0.14711	0.067196	0.56158	0.1233	0.1119	0.1193	0.056888	0.14656	0.045205	0.0458	0.77957	0.045577	0.43439	0.53366
Meth__cg03775422__MGC33530	0.90007	0.87025	0.059655	0.50633	0.83457	0.87258	0.81498	0.04454	0.27618	0.48081	0.47647	0.083051	0.33852	0.14019	0.37787	0.2794	0.058087	0.18704	0.61288	0.20808	0.076092	0.77813	0.052794	0.27651	0.28348	0.2948	0.076825	0.028021	0.57979	0.034741	0.37984	0.42979
Meth__cg23491309__UBE2L6	0.036121	0.063555	0.33954	0.028236	0.035289	0.037902	0.058652	0.035548	0.061701	0.04375	0.071942	0.032254	0.032307	0.039057	0.03808	0.032729	0.045223	0.058989	0.083362	0.052205	0.05555	0.088985	0.085534	0.031224	0.15273	0.031956	0.031472	0.026507	0.038155	0.045608	0.049333	0.038488
Meth__cg25729068__MTAC2D1	0.043736	0.065976	0.040705	0.062532	0.45352	0.055631	0.10696	0.04501	0.061615	0.084744	0.16591	0.11036	0.086904	0.068333	0.068149	0.059658	0.075656	0.030313	0.24331	0.046327	0.063142	0.080898	0.0752	0.045063	0.035001	0.058481	0.17736	0.03951	0.058308	0.047828	0.041266	0.21266
Meth__cg02423618__SPATA8	0.84123	0.78769	0.37424	0.03516	0.086949	0.45914	0.84248	0.045686	0.55982	0.53618	0.24524	0.18975	0.46168	0.1039	0.081105	0.052916	0.12945	0.46601	0.27635	0.21346	0.0967	0.3266	0.36264	0.4239	0.63763	0.055877	0.042837	0.75232	0.087993	0.33723	0.36104	0.30162
Meth__cg22689690__ADCY6	0.05585	0.064279	0.06373	0.096844	0.10627	0.072749	0.070374	0.065784	0.053691	0.14167	0.13915	0.087842	0.11604	0.11921	0.076814	0.081936	0.33008	0.052069	0.10041	0.055187	0.077779	0.070962	0.087245	0.097392	0.065114	0.10458	0.45008	0.045364	0.058371	0.062858	0.057405	0.086176
Meth__cg03117949__USP16	0.79301	0.83304	0.26837	0.31529	0.44988	0.5662	0.31764	0.12244	0.12553	0.13814	0.36378	0.21578	0.22002	0.24012	0.28538	0.55631	0.090531	0.31153	0.41182	0.14164	0.25119	0.45919	0.22545	0.073702	0.096095	0.1406	0.11347	0.098499	0.65139	0.10353	0.74768	0.76773
Meth__cg11639397__VASP	0.011197	0.017276	0.014836	0.012732	0.012	0.012934	0.47908	0.013131	0.015996	0.0091968	0.014828	0.010109	0.011413	0.015467	0.014583	0.011844	0.016771	0.017979	0.013713	0.012851	0.017942	0.026719	0.017905	0.019057	0.019511	0.017868	0.011639	0.016774	0.0085143	0.010398	0.016612	0.010149
Meth__cg03812067__SERINC3	0.019335	0.045091	0.042129	0.021922	0.027933	0.024698	0.71854	0.026737	0.034085	0.022407	0.041119	0.024905	0.020374	0.030071	0.024659	0.024627	0.030757	0.028846	0.042479	0.030945	0.022031	0.0495	0.022579	0.025236	0.028461	0.024854	0.023559	0.026931	0.018179	0.023979	0.021955	0.02348
Meth__cg26907768__SLC7A5	0.051804	0.054895	0.36586	0.060578	0.061389	0.057526	0.033606	0.065569	0.060312	0.064792	0.070066	0.054066	0.047732	0.094931	0.053314	0.071215	0.066828	0.144	0.47399	0.37657	0.13578	0.31109	0.074901	0.13598	0.065241	0.062701	0.055322	0.061566	0.065696	0.080159	0.34538	0.24252
Meth__cg06508445__LOX	0.042491	0.73351	0.046057	0.14612	0.033165	0.46512	0.055282	0.27485	0.038632	0.043378	0.75242	0.040587	0.031426	0.047752	0.044589	0.59352	0.041612	0.041624	0.054816	0.036618	0.063585	0.064579	0.052496	0.027071	0.032857	0.072429	0.94573	0.025012	0.96295	0.044047	0.039815	0.88359
Meth__cg17001035__PCGF5	0.17385	0.069196	0.089281	0.054628	0.11052	0.14297	0.64883	0.15142	0.048274	0.86377	0.87389	0.54521	0.49898	0.084521	0.11214	0.13644	0.090541	0.055816	0.1077	0.079776	0.042381	0.086837	0.076228	0.04664	0.26591	0.11644	0.91703	0.12364	0.49323	0.039648	0.38227	0.52286
Meth__cg22367989__NRP2	0.077945	0.91854	0.17036	0.53366	0.9385	0.91367	0.113	0.92924	0.1549	0.51651	0.89759	0.69079	0.40885	0.17144	0.9466	0.45462	0.66411	0.26641	0.90437	0.66802	0.13934	0.88844	0.33389	0.051238	0.067302	0.19562	0.78322	0.05689	0.79315	0.075516	0.569	0.50968
Meth__cg09593402__LNPEP	0.035829	0.03859	0.052231	0.036029	0.040516	0.045553	0.042431	0.045487	0.045273	0.038413	0.072788	0.18044	0.033496	0.062423	0.0329	0.046442	0.051932	0.04796	0.091213	0.055431	0.1067	0.074042	0.12129	0.046781	0.65009	0.05351	0.036209	0.048143	0.046276	0.050183	0.061206	0.053536
Meth__cg06873352__LYK5	0.45635	0.088369	0.079768	0.49165	0.53874	0.53443	0.15517	0.10143	0.080751	0.23871	0.53741	0.086501	0.05397	0.15477	0.2954	0.81333	0.051973	0.074117	0.098595	0.49107	0.12624	0.10477	0.16407	0.067184	0.070312	0.0972	0.69671	0.10169	0.85404	0.076056	0.30329	0.91887
Meth__cg14166009__HKR1	0.095361	0.93104	0.099768	0.066724	0.9424	0.16747	0.96234	0.22867	0.13539	0.43737	0.59846	0.45573	0.69719	0.12856	0.94013	0.079024	0.11461	0.14215	0.89951	0.445	0.27628	0.087438	0.072596	0.14466	0.10048	0.61053	0.39191	0.13579	0.10133	0.092653	0.64182	0.7991
Meth__cg16211684__PCDH21	0.46141	0.89692	0.085944	0.47227	0.7716	0.85635	0.33816	0.31408	0.47245	0.091314	0.55708	0.21192	0.28851	0.087428	0.86134	0.49591	0.17308	0.11571	0.74948	0.052731	0.074294	0.84334	0.11542	0.065482	0.049278	0.070164	0.049278	0.038378	0.86032	0.07526	0.72839	0.76307
Meth__cg15681351__UPF3B	0.11488	0.05956	0.12861	0.055223	0.052796	0.10443	0.5457	0.052546	0.094648	0.12023	0.16507	0.063348	0.06799	0.13674	0.068667	0.36549	0.052822	0.57278	0.13562	0.09777	0.10602	0.46753	0.13448	0.36202	0.11829	0.098528	0.1385	0.078901	0.28199	0.69507	0.076677	0.080385
Meth__cg03334529__ZNF663	0.087649	0.39144	0.57758	0.50113	0.066829	0.73786	0.57124	0.83326	0.71107	0.18991	0.32847	0.27852	0.75796	0.11349	0.80807	0.75636	0.24708	0.045362	0.15977	0.080281	0.075898	0.23548	0.050634	0.065758	0.068386	0.052277	0.83853	0.037352	0.33265	0.1304	0.42397	0.25728
Meth__cg07312445__FLJ14001	0.12145	0.048765	0.046454	0.029399	0.38234	0.22158	0.048904	0.042039	0.057791	0.054666	0.11467	0.047518	0.033304	0.1259	0.034854	0.29867	0.074773	0.035239	0.070658	0.050347	0.10227	0.076885	0.059165	0.046743	0.031284	0.12501	0.042337	0.0286	0.77504	0.046771	0.25991	0.60116
Meth__cg27619475__SLC16A5	0.04498	0.17265	0.035086	0.79958	0.96879	0.96659	0.048135	0.97941	0.96652	0.047559	0.95251	0.95861	0.031656	0.052387	0.9781	0.97699	0.55824	0.64393	0.051282	0.037066	0.046185	0.53988	0.49096	0.3765	0.026898	0.90301	0.64653	0.022221	0.97257	0.035969	0.96891	0.95592
Meth__cg16367232__UTP14A	0.099847	0.066685	0.15374	0.061349	0.053056	0.13772	0.11181	0.059166	0.10822	0.071584	0.1622	0.072659	0.18487	0.13799	0.10324	0.083504	0.053373	0.36961	0.1254	0.14982	0.16446	0.21605	0.22214	0.085171	0.056689	0.086541	0.091531	0.055917	0.051773	0.51322	0.067409	0.091759
Meth__cg00832994__ATPAF1	0.04648	0.95615	0.69326	0.36093	0.97326	0.17211	0.81007	0.91389	0.4376	0.90238	0.54391	0.45817	0.18734	0.53248	0.46389	0.51119	0.24562	0.16262	0.92875	0.42863	0.12199	0.087675	0.22973	0.034946	0.19669	0.14364	0.74029	0.07663	0.074414	0.060491	0.68312	0.86806
Meth__cg01462829__HS3ST1	0.014493	0.029587	0.34452	0.034563	0.46178	0.89565	0.013491	0.028399	0.039824	0.030706	0.02407	0.018868	0.02674	0.061672	0.38906	0.71994	0.058524	0.0149	0.07389	0.02571	0.074793	0.027041	0.033268	0.030269	0.016219	0.34319	0.010927	0.014019	0.98517	0.020788	0.48015	0.55051
Meth__cg01946574__PTPRM	0.069081	0.068826	0.3543	0.68477	0.83384	0.1669	0.63039	0.86938	0.089091	0.72308	0.4004	0.40964	0.064436	0.18469	0.77834	0.22933	0.12213	0.053748	0.084141	0.063177	0.070747	0.64262	0.10541	0.058637	0.048822	0.51263	0.04964	0.068908	0.8443	0.054557	0.071307	0.067754
Meth__cg07207789__CRISPLD2	0.071852	0.032095	0.27964	0.7222	0.85604	0.31603	0.85904	0.25904	0.53911	0.71975	0.3778	0.27844	0.91253	0.087316	0.055578	0.84036	0.91523	0.21688	0.81184	0.5357	0.10635	0.2125	0.085175	0.054089	0.1055	0.86498	0.86763	0.034067	0.79814	0.35958	0.33383	0.41318
Meth__cg10770529__ZNF274	0.38204	0.031483	0.13648	0.022882	0.019331	0.024351	0.019845	0.026513	0.054063	0.013897	0.036405	0.020852	0.015861	0.030279	0.050586	0.020191	0.045724	0.023506	0.026176	0.15435	0.03086	0.033598	0.040006	0.024504	0.025529	0.018697	0.020368	0.027212	0.033969	0.028358	0.02596	0.02984
Meth__cg00143998__HIST3H2BB	0.75059	0.064952	0.072961	0.03477	0.048255	0.583	0.053081	0.061751	0.79734	0.051038	0.12055	0.05985	0.045665	0.14798	0.045485	0.059519	0.042986	0.91946	0.618	0.066829	0.12995	0.095655	0.11023	0.063139	0.2536	0.078797	0.88347	0.18906	0.51792	0.088737	0.041158	0.055705
Meth__cg00194146__GFOD1	0.050505	0.48871	0.17367	0.91491	0.91216	0.55706	0.057733	0.5928	0.77207	0.21289	0.63298	0.11878	0.58599	0.09604	0.61118	0.43865	0.38012	0.13918	0.9099	0.31693	0.10913	0.090848	0.29861	0.29147	0.037827	0.8236	0.84082	0.26804	0.91443	0.060212	0.51581	0.92134
Meth__cg24797967__FLJ39739	0.28104	0.50104	0.08409	0.1958	0.50792	0.27266	0.089961	0.088004	0.13371	0.080948	0.14551	0.094581	0.087211	0.12968	0.21084	0.41724	0.10166	0.20846	0.18241	0.078473	0.16915	0.69833	0.11196	0.07942	0.075041	0.088802	0.20868	0.087024	0.60299	0.091705	0.26406	0.48258
Meth__cg00768439__NAP1L3	0.53531	0.89002	0.052288	0.32945	0.62118	0.9117	0.60576	0.2656	0.076942	0.79752	0.37203	0.26003	0.38595	0.3531	0.063291	0.52151	0.067254	0.45965	0.45674	0.053264	0.089327	0.41213	0.11032	0.063392	0.040169	0.37107	0.05007	0.043867	0.8934	0.55812	0.37409	0.047519
Meth__cg20587394__HOXC13	0.056412	0.036281	0.031182	0.076811	0.26073	0.047074	0.025016	0.045925	0.035881	0.027599	0.049898	0.034806	0.026974	0.099311	0.02221	0.46358	0.038746	0.019901	0.56172	0.032557	0.081023	0.038438	0.043237	0.039983	0.025691	0.040493	0.076462	0.02438	0.020148	0.048941	0.23999	0.11803
Meth__cg05769161__B4GALNT3	0.084152	0.91161	0.086316	0.048758	0.94607	0.10674	0.38667	0.049691	0.071288	0.10787	0.13257	0.06	0.11121	0.11055	0.088777	0.093193	0.11074	0.068613	0.92315	0.061646	0.20119	0.12965	0.094615	0.035299	0.0571	0.10526	0.049098	0.047312	0.20694	0.0855	0.069481	0.21815
Meth__cg15443822__ATP2A3	0.11411	0.83824	0.03511	0.047061	0.42492	0.58817	0.65203	0.24768	0.38707	0.85906	0.61688	0.1263	0.64477	0.053686	0.025446	0.10301	0.74845	0.030621	0.44131	0.025094	0.21788	0.10346	0.059711	0.022819	0.12921	0.063191	0.023694	0.022467	0.60681	0.024403	0.039703	0.034722
Meth__cg25268718__PSME1	0.071893	0.31213	0.17458	0.22885	0.77674	0.24859	0.26522	0.095301	0.8254	0.55866	0.34527	0.32454	0.43667	0.24196	0.26676	0.37581	0.64932	0.096833	0.5871	0.12062	0.16747	0.13104	0.098056	0.10086	0.090032	0.41082	0.42967	0.13768	0.17126	0.09019	0.11202	0.14596
Meth__cg12603043__EHD2	0.018397	0.83869	0.79661	0.57101	0.015228	0.014747	0.0087876	0.022736	0.64376	0.025704	0.038102	0.018247	0.014009	0.10366	0.014862	0.030744	0.02961	0.036797	0.024044	0.5002	0.030667	0.036709	0.051305	0.015875	0.01688	0.015337	0.035983	0.02508	0.018127	0.023824	0.023302	0.018529
Meth__cg19668255__LOC81558	0.039429	0.10489	0.051171	0.028842	0.31791	0.09666	0.41052	0.031858	0.079585	0.081999	0.19337	0.10622	0.11128	0.12033	0.16754	0.034436	0.13895	0.040225	0.75238	0.031799	0.073116	0.033937	0.10521	0.039001	0.061565	0.072885	0.10299	0.036782	0.28719	0.034971	0.056956	0.084559
Meth__cg04388983__P2RY2	0.14557	0.11754	0.042575	0.097409	0.9494	0.13256	0.39442	0.066231	0.85873	0.20275	0.12077	0.067568	0.41023	0.10545	0.054575	0.11884	0.86588	0.044526	0.11598	0.086735	0.1464	0.15065	0.095495	0.10455	0.049822	0.91001	0.10889	0.048928	0.082451	0.093489	0.092204	0.13243
Meth__cg24107665__ZNF696	0.04739	0.56866	0.13183	0.41724	0.69155	0.89164	0.16336	0.83393	0.052957	0.85509	0.5019	0.08574	0.056656	0.29793	0.34316	0.62243	0.89683	0.13021	0.29212	0.58787	0.33412	0.25069	0.23249	0.048439	0.03174	0.87177	0.7051	0.078496	0.041301	0.75063	0.37421	0.52743
Meth__cg12691219__ARMCX3	0.43702	0.1347	0.64438	0.09628	0.084836	0.14741	0.31486	0.037556	0.13389	0.21976	0.17816	0.076543	0.34959	0.19535	0.1269	0.090483	0.10682	0.57791	0.16086	0.20594	0.11135	0.39327	0.12289	0.080805	0.23481	0.097173	0.19136	0.15422	0.13992	0.56578	0.10323	0.19057
Meth__cg00514407__SERPINE2	0.58217	0.9435	0.63094	0.55902	0.95539	0.8139	0.66957	0.068034	0.45585	0.46366	0.91599	0.034898	0.51229	0.10008	0.19381	0.7474	0.8438	0.63541	0.76788	0.058328	0.06514	0.28167	0.065276	0.14975	0.036565	0.21675	0.84293	0.032978	0.93854	0.24051	0.29509	0.88356
Meth__cg06289589__ANKRD5	0.055148	0.12544	0.10921	0.11104	0.061148	0.056877	0.070496	0.58131	0.047631	0.15043	0.11932	0.49965	0.048174	0.064065	0.061756	0.075895	0.095001	0.040401	0.097728	0.061459	0.079584	0.058419	0.099851	0.054174	0.044927	0.064443	0.049604	0.04185	0.061737	0.054855	0.063139	0.10225
Meth__cg18071006__ULBP3	0.42938	0.12552	0.056695	0.04672	0.59113	0.93916	0.05336	0.042996	0.050495	0.06459	0.093169	0.55218	0.044536	0.078293	0.037681	0.058635	0.054396	0.036844	0.080813	0.04939	0.048646	0.50836	0.060881	0.033229	0.028428	0.035749	0.04643	0.028709	0.71697	0.040315	0.45472	0.59214
Meth__cg05228408__CLCN6	0.2548	0.10262	0.17733	0.12086	0.3351	0.22947	0.095578	0.30068	0.055323	0.13005	0.17672	0.0862	0.1123	0.10295	0.18686	0.3988	0.73759	0.28341	0.35072	0.24403	0.31365	0.063676	0.18291	0.047606	0.039759	0.47595	0.44419	0.072604	0.11229	0.14941	0.068446	0.10838
Meth__cg05468303__DGCR6	0.049874	0.82682	0.16823	0.083111	0.73025	0.081757	0.13167	0.081883	0.037057	0.23862	0.30046	0.38467	0.10502	0.17558	0.099421	0.55459	0.10171	0.047361	0.57943	0.048959	0.074846	0.077299	0.20432	0.042269	0.042834	0.65241	0.091826	0.10824	0.048932	0.072568	0.048064	0.057202
Meth__cg25512587__SLC2A6	0.13147	0.10301	0.29774	0.047252	0.041994	0.043449	0.043572	0.055183	0.05409	0.12982	0.076198	0.041035	0.062637	0.042202	0.049232	0.067696	0.049817	0.050728	0.061393	0.31568	0.068675	0.55384	0.097735	0.042902	0.049722	0.046459	0.027813	0.057054	0.035932	0.050615	0.045096	0.040766
Meth__cg21212956__ZDHHC4	0.04201	0.52189	0.026487	0.79513	0.039258	0.88558	0.95561	0.90931	0.034498	0.04681	0.85145	0.044486	0.053868	0.24922	0.064346	0.40292	0.036213	0.040388	0.067413	0.059699	0.17304	0.099608	0.38147	0.030796	0.049972	0.03091	0.24146	0.036814	0.42491	0.047387	0.40902	0.68387
Meth__cg19899621__ZNF561	0.051099	0.060873	0.047067	0.033182	0.055526	0.048478	0.059561	0.042446	0.057603	0.023853	0.073476	0.046327	0.045283	0.068063	0.035723	0.045664	0.040656	0.048038	0.049972	0.046152	0.049718	0.062886	0.074152	0.046526	0.048833	0.042324	0.03719	0.045758	0.034326	0.054041	0.035408	0.047712
Meth__cg15376097__EVA1	0.087054	0.086989	0.16824	0.44998	0.14225	0.36946	0.10705	0.10733	0.11194	0.043664	0.091667	0.0735	0.10004	0.095364	0.10124	0.76823	0.087137	0.068849	0.31566	0.072436	0.11013	0.19568	0.11754	0.083243	0.054446	0.14044	0.54479	0.057276	0.18993	0.085197	0.13307	0.39103
Meth__cg00079563__ARFGAP3	0.49946	0.94786	0.25071	0.26973	0.88165	0.13735	0.17188	0.22018	0.22652	0.37041	0.50483	0.14752	0.68015	0.061319	0.64224	0.74695	0.20047	0.66242	0.9059	0.35341	0.063893	0.070083	0.11326	0.02648	0.083741	0.38178	0.29954	0.030279	0.22017	0.20916	0.69528	0.88799
Meth__cg16179125__CTSZ	0.088408	0.064825	0.07574	0.76102	0.69383	0.085011	0.4435	0.64166	0.78092	0.10136	0.079157	0.77959	0.061284	0.10178	0.97301	0.545	0.6763	0.077117	0.095799	0.17713	0.20483	0.50673	0.079854	0.048286	0.052284	0.063772	0.68428	0.058009	0.03759	0.058932	0.53497	0.20778
Meth__cg22023770__C6orf114	0.067032	0.08098	0.072792	0.063693	0.074157	0.37197	0.07698	0.084264	0.35739	0.072396	0.10341	0.097872	0.074982	0.067855	0.064345	0.083462	0.082164	0.071872	0.074784	0.094046	0.12042	0.11791	0.4835	0.084235	0.077498	0.078732	0.073092	0.089759	0.061013	0.087283	0.075918	0.078072
Meth__cg11189837__ADAMTS1	0.5585	0.92438	0.49629	0.089054	0.94082	0.064714	0.73061	0.45826	0.078378	0.12498	0.42212	0.47346	0.055038	0.11468	0.17821	0.81465	0.70151	0.073591	0.66616	0.071801	0.11831	0.41948	0.092042	0.047369	0.055498	0.068289	0.4866	0.0471	0.80547	0.38024	0.066054	0.059429
Meth__cg11977634__DDR1	0.035932	0.041096	0.032597	0.030173	0.02598	0.026439	0.023141	0.034148	0.040897	0.020017	0.067613	0.030735	0.024121	0.044408	0.024266	0.030216	0.037152	0.032647	0.071125	0.03333	0.021757	0.10113	0.04878	0.50709	0.034497	0.035823	0.025708	0.026601	0.025533	0.030906	0.045649	0.043981
Meth__cg10392768__ALOXE3	0.015358	0.020327	0.017134	0.016144	0.18946	0.016484	0.013054	0.017432	0.018389	0.012786	0.023583	0.013964	0.014348	0.026157	0.01248	0.017582	0.018433	0.017189	0.02047	0.018283	0.016487	0.036647	0.018864	0.038177	0.01888	0.014244	0.013405	0.018374	0.013263	0.016042	0.017833	0.021422
Meth__cg05964373__TEX9	0.061677	0.058068	0.42889	0.041478	0.040466	0.048359	0.037497	0.054151	0.056697	0.037517	0.098679	0.052449	0.047865	0.079529	0.043261	0.046036	0.048239	0.04451	0.12059	0.089576	0.10298	0.1487	0.061352	0.041515	0.066553	0.058991	0.05516	0.041959	0.04214	0.083429	0.044938	0.040347
Meth__cg24182328__VMO1	0.83631	0.61648	0.11632	0.24508	0.10554	0.26325	0.78837	0.31852	0.49089	0.75471	0.68768	0.24995	0.095662	0.19148	0.2083	0.80484	0.11162	0.26357	0.13166	0.10424	0.1384	0.35245	0.10805	0.09706	0.063003	0.14362	0.554	0.091878	0.75315	0.11319	0.33202	0.40392
Meth__cg07912181__HSD17B12	0.023256	0.035842	0.028402	0.36329	0.51506	0.41846	0.01592	0.024018	0.026878	0.031147	0.036068	0.039878	0.022874	0.078202	0.039661	0.94661	0.028983	0.023727	0.070872	0.033146	0.063257	0.02606	0.043294	0.026451	0.025226	0.022205	0.038843	0.024829	0.68973	0.032972	0.20201	0.61752
Meth__cg23695504__FLJ45717	0.077657	0.9031	0.12718	0.34909	0.59112	0.24785	0.1335	0.23863	0.15698	0.11839	0.21568	0.049347	0.078192	0.1128	0.065107	0.077663	0.11727	0.055187	0.23228	0.11511	0.10348	0.11777	0.091077	0.043231	0.048171	0.34086	0.14826	0.048741	0.045742	0.057795	0.35642	0.58776
Meth__cg16124337__UBE2J1	0.080895	0.13841	0.085117	0.3382	0.35391	0.15084	0.064767	0.56079	0.065873	0.057075	0.40439	0.41476	0.1667	0.12898	0.079794	0.33767	0.06028	0.21344	0.7158	0.095868	0.10852	0.11934	0.29128	0.048379	0.057097	0.58596	0.57498	0.044094	0.20048	0.044728	0.05315	0.46699
Meth__cg08432727__SOX11	0.95154	0.9298	0.16878	0.21822	0.67821	0.38105	0.40599	0.066054	0.31481	0.53143	0.2783	0.026468	0.046556	0.11119	0.54119	0.72983	0.043429	0.12099	0.83813	0.03805	0.58443	0.50583	0.44839	0.32561	0.12883	0.53218	0.023137	0.024388	0.4725	0.030723	0.42301	0.41638
Meth__cg22315542__MLR1	0.083119	0.80018	0.12438	0.12101	0.24624	0.19885	0.1778	0.051701	0.19531	0.403	0.18027	0.080622	0.086285	0.14135	0.12989	0.35001	0.080255	0.087125	0.2717	0.075376	0.14655	0.63347	0.10874	0.1129	0.070808	0.12473	0.40135	0.055632	0.69838	0.068801	0.28303	0.77482
Meth__cg01602416__GCSH	0.024711	0.015778	0.041507	0.016048	0.013604	0.014449	0.64372	0.020932	0.019197	0.011611	0.02963	0.01576	0.015161	0.02105	0.022848	0.030809	0.032675	0.026868	0.022022	0.0186	0.015562	0.040066	0.022888	0.024033	0.030248	0.039745	0.012558	0.022233	0.013124	0.019089	0.018492	0.024431
Meth__cg06720956__ONECUT1	0.69629	0.92503	0.059915	0.047998	0.12812	0.083339	0.14147	0.053945	0.087014	0.12964	0.18929	0.089146	0.096703	0.16964	0.28098	0.1007	0.067269	0.058809	0.86628	0.08792	0.50528	0.61568	0.10156	0.05459	0.058722	0.23207	0.050416	0.053957	0.13783	0.065187	0.48861	0.6749
Meth__cg14115004__STARD3	0.050054	0.076866	0.040905	0.048347	0.073536	0.072703	0.080619	0.10624	0.45794	0.0672	0.045031	0.091119	0.043983	0.098184	0.07184	0.07968	0.066128	0.058609	0.12772	0.050562	0.10731	0.10176	0.034116	0.05853	0.051734	0.065984	0.071886	0.048835	0.051702	0.051471	0.094062	0.065916
Meth__cg13084525__EHF	0.090588	0.073842	0.096303	0.087629	0.09088	0.14677	0.075159	0.079452	0.13083	0.21114	0.045647	0.12437	0.80461	0.1721	0.10582	0.061892	0.68717	0.04891	0.19735	0.061852	0.14771	0.088294	0.093305	0.2118	0.032355	0.32148	0.075844	0.046159	0.098039	0.059613	0.07852	0.086906
Meth__cg01851385__CLCN4	0.38495	0.1556	0.085001	0.089088	0.15873	0.14376	0.56482	0.11858	0.11858	0.28264	0.13463	0.19848	0.083712	0.24138	0.11909	0.22359	0.39723	0.074629	0.19694	0.094779	0.14323	0.24821	0.16441	0.4461	0.15115	0.72041	0.11047	0.12975	0.76486	0.083582	0.13959	0.13544
Meth__cg24861272__TCF8	0.038855	0.041782	0.044616	0.039819	0.14207	0.054478	0.060355	0.043142	0.055784	0.16859	0.08752	0.28224	0.064282	0.21721	0.050343	0.096995	0.11917	0.041885	0.13625	0.057979	0.060601	0.068102	0.055926	0.043716	0.040996	0.32951	0.36638	0.041828	0.049131	0.040185	0.062325	0.05271
Meth__cg05386606__BCL7B	0.073513	0.10112	0.12647	0.079604	0.90001	0.073158	0.23711	0.086885	0.097181	0.70922	0.13614	0.16569	0.57148	0.10477	0.047466	0.084013	0.34322	0.041187	0.1029	0.060102	0.087626	0.07418	0.095214	0.04236	0.07364	0.16729	0.065382	0.037013	0.038955	0.054583	0.06608	0.30592
Meth__cg01441777__CSNK1E	0.049018	0.049352	0.040462	0.059435	0.80193	0.041911	0.031632	0.044027	0.028713	0.059196	0.077288	0.11847	0.041043	0.050495	0.042086	0.035325	0.049804	0.028794	0.096965	0.033951	0.046476	0.042671	0.040262	0.029514	0.037293	0.04816	0.020514	0.023301	0.025538	0.053349	0.057198	0.033482
Meth__cg26294850__TSPAN1	0.040553	0.16476	0.06032	0.051841	0.30618	0.14089	0.47269	0.081522	0.028131	0.33197	0.18963	0.051217	0.20795	0.081087	0.20452	0.19859	0.36021	0.046571	0.11877	0.057271	0.039484	0.099741	0.075652	0.032692	0.047741	0.044846	0.041959	0.062994	0.086395	0.046872	0.071689	0.05673
Meth__cg02788090__SOX9	0.040736	0.062358	0.039229	0.096653	0.037885	0.071719	0.032293	0.044377	0.043735	0.043763	0.057898	0.042259	0.047866	0.11957	0.57104	0.40331	0.061556	0.034642	0.10562	0.047927	0.040658	0.078982	0.084855	0.040976	0.032398	0.047109	0.096335	0.033409	0.18568	0.039981	0.05307	0.038426
Meth__cg18452600__MSRA	0.057967	0.11383	0.93347	0.75465	0.3386	0.40583	0.67323	0.18311	0.11229	0.40562	0.26405	0.21127	0.044152	0.20175	0.061473	0.92891	0.81287	0.044013	0.11803	0.11521	0.24748	0.12356	0.18498	0.040786	0.043497	0.082704	0.23159	0.12103	0.44478	0.076812	0.18668	0.19439
Meth__cg23054437__MOSC2	0.097561	0.90649	0.29965	0.44135	0.76952	0.15468	0.90213	0.67944	0.11255	0.39892	0.78051	0.74562	0.049359	0.21095	0.22329	0.44498	0.25986	0.12985	0.23623	0.11943	0.21789	0.066056	0.78827	0.092972	0.076593	0.55851	0.65393	0.078077	0.12036	0.17271	0.18258	0.77814
Meth__cg23337289__ZNF513	0.040277	0.89841	0.059806	0.15338	0.068211	0.043468	0.18172	0.50619	0.47637	0.60548	0.26187	0.063686	0.44199	0.45369	0.88347	0.047528	0.5778	0.41025	0.37529	0.068388	0.097058	0.076258	0.44435	0.037572	0.040695	0.52229	0.040962	0.037561	0.73273	0.05744	0.50416	0.47831
Meth__cg04280397__PLA2G6	0.095616	0.081028	0.066962	0.046924	0.12719	0.056582	0.66385	0.062865	0.049498	0.10397	0.10002	0.078808	0.056098	0.097728	0.070337	0.069827	0.057008	0.027695	0.080119	0.044112	0.060406	0.089402	0.0892	0.041341	0.039022	0.053482	0.046987	0.036175	0.064474	0.061887	0.066728	0.07634
