Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg16362133__SLC11A2	0.027498	0.1771	0.033552	0.7971	0.24287	0.95071	0.63632	0.90028	0.023324	0.021617	0.87646	0.020496	0.087046	0.052816	0.54412	0.023573	0.43607	0.047009	0.042818	0.03777	0.35596	0.2661	0.73114	0.036526	0.030065	0.51949	0.66899	0.083719	0.24667	0.23933	0.018646	0.024305	0.11991	0.071937	0.01149	0.015661	0.044488	0.023135	0.54277	0.85502
Meth__cg26616347__IRF5	0.14677	0.058382	0.38473	0.33128	0.43503	0.81039	0.2491	0.9133	0.84899	0.12392	0.13907	0.73231	0.76733	0.31242	0.046891	0.10286	0.31604	0.29645	0.098395	0.1091	0.40374	0.1771	0.75665	0.47389	0.41427	0.46016	0.18779	0.094738	0.11156	0.06692	0.60522	0.12047	0.055207	0.62283	0.041242	0.19644	0.17922	0.58015	0.31227	0.45994
Meth__cg07607921__ZZEF1	0.037116	0.83904	0.38169	0.064192	0.21837	0.054377	0.11481	0.046996	0.031031	0.60202	0.41469	0.056031	0.10143	0.73768	0.038909	0.48857	0.053916	0.036589	0.056312	0.049119	0.05398	0.03502	0.053564	0.15285	0.57612	0.084865	0.049135	0.073013	0.061512	0.24854	0.018092	0.026329	0.77721	0.057904	0.076434	0.1422	0.085938	0.036149	0.034836	0.061852
Meth__cg16213655__PPL	0.033254	0.087996	0.24405	0.062749	0.18575	0.95985	0.03659	0.91477	0.1373	0.033354	0.06143	0.59075	0.077557	0.064036	0.06331	0.034746	0.071759	0.033193	0.030056	0.39879	0.15449	0.28334	0.20739	0.95903	0.035291	0.87526	0.067848	0.047144	0.080569	0.13101	0.1433	0.033059	0.88401	0.26274	0.024802	0.027211	0.041948	0.028075	0.2452	0.49936
Meth__cg19954000__FGF1	0.043041	0.019314	0.11398	0.0879	0.037262	0.83658	0.46686	0.58088	0.26957	0.030336	0.041957	0.74393	0.070178	0.04373	0.030773	0.044485	0.087769	0.74644	0.081575	0.039339	0.33012	0.66411	0.55499	0.19515	0.32187	0.41892	0.11955	0.121	0.14081	0.054679	0.89573	0.29834	0.13049	0.4189	0.029622	0.10116	0.093296	0.069041	0.080525	0.20385
Meth__cg00263760__VAX1	0.84826	0.044353	0.079678	0.0481	0.048373	0.54936	0.9442	0.090993	0.96217	0.20193	0.83211	0.083951	0.9405	0.18554	0.59299	0.18005	0.070842	0.0461	0.11297	0.048861	0.94569	0.94481	0.56289	0.057688	0.49716	0.86845	0.62871	0.35438	0.60632	0.15439	0.047594	0.054054	0.12095	0.03238	0.051569	0.93151	0.9245	0.050056	0.91741	0.90873
Meth__cg20580177__LRFN3	0.42144	0.039341	0.1933	0.63636	0.20963	0.12578	0.088625	0.66134	0.1186	0.24755	0.33193	0.075067	0.75202	0.18515	0.30243	0.18402	0.21205	0.60738	0.35619	0.066698	0.64363	0.38144	0.077489	0.60734	0.11057	0.38579	0.83584	0.2808	0.107	0.06829	0.054188	0.065813	0.43574	0.58751	0.15223	0.072782	0.27214	0.11991	0.21318	0.077385
Meth__cg07090813__PHGDH	0.067308	0.044713	0.065665	0.081155	0.14414	0.28509	0.13864	0.15679	0.10148	0.090148	0.14791	0.079604	0.34435	0.173	0.035495	0.11651	0.19003	0.051884	0.1343	0.056504	0.07013	0.086439	0.67779	0.35547	0.070166	0.2494	0.058169	0.099721	0.11866	0.18396	0.040533	0.063431	0.071042	0.20399	0.049794	0.04182	0.072483	0.048232	0.15882	0.085999
Meth__cg05650171__PFDN2	0.14681	0.019972	0.051078	0.3404	0.044423	0.9392	0.035593	0.7236	0.069729	0.03538	0.03233	0.15523	0.74829	0.052499	0.039392	0.03396	0.18963	0.55892	0.024454	0.68593	0.039387	0.061155	0.10986	0.73958	0.67544	0.87246	0.040694	0.081198	0.12513	0.036346	0.043486	0.81955	0.32812	0.11947	0.021285	0.038284	0.056529	0.53056	0.073029	0.0442
Meth__cg25438415__ZNF426	0.070015	0.090679	0.08714	0.075816	0.063588	0.19702	0.53059	0.18496	0.84598	0.040938	0.12223	0.047403	0.29237	0.42845	0.079461	0.051325	0.30156	0.064637	0.086061	0.05507	0.57426	0.81733	0.082783	0.055819	0.062488	0.20527	0.091419	0.16167	0.17372	0.16938	0.046412	0.062479	0.067882	0.053887	0.068206	0.14518	0.18662	0.10851	0.07005	0.25475
Meth__cg25587233__PPP2R4	0.087756	0.053871	0.31109	0.078611	0.49451	0.89057	0.093173	0.88604	0.70143	0.11635	0.46324	0.72419	0.88853	0.45113	0.032687	0.21706	0.62916	0.7418	0.073884	0.87954	0.65737	0.59838	0.92441	0.8944	0.69998	0.75458	0.24133	0.21616	0.049626	0.11718	0.40441	0.15105	0.83843	0.33253	0.14607	0.47071	0.24486	0.22651	0.12103	0.074319
Meth__cg22231902__EN1	0.8698	0.043482	0.041659	0.049351	0.03469	0.54509	0.579	0.15749	0.041585	0.045316	0.090612	0.050513	0.075511	0.13618	0.11697	0.060529	0.048284	0.054639	0.084069	0.058403	0.53558	0.43904	0.34463	0.058847	0.27689	0.7386	0.25548	0.071909	0.46664	0.083229	0.051855	0.053697	0.04602	0.045964	0.033203	0.58992	0.54889	0.075334	0.49484	0.35782
Meth__cg24710886__PUM1	0.057565	0.037617	0.043064	0.051257	0.037999	0.59311	0.03541	0.10097	0.037525	0.026997	0.054368	0.029283	0.040979	0.09044	0.042009	0.030193	0.035455	0.041319	0.041275	0.065531	0.061009	0.045911	0.030697	0.042651	0.05178	0.10182	0.05996	0.054777	0.068752	0.05034	0.026483	0.029891	0.036709	0.053723	0.026043	0.028115	0.13747	0.055388	0.047882	0.046897
Meth__cg03160637__DDB1	0.084491	0.053888	0.067089	0.061993	0.068639	0.5695	0.37319	0.4504	0.082577	0.056594	0.071324	0.060965	0.29998	0.098157	0.077164	0.060253	0.065825	0.067424	0.16112	0.053608	0.069176	0.059689	0.055632	0.3913	0.077481	0.44876	0.12224	0.12995	0.13127	0.085525	0.033767	0.045417	0.066124	0.094866	0.04878	0.092131	0.10683	0.067003	0.07391	0.061255
Meth__cg26872475__NOD9	0.066282	0.042835	0.054538	0.053577	0.048524	0.039671	0.064573	0.1524	0.037652	0.036163	0.061183	0.043974	0.10518	0.10698	0.044249	0.051817	0.049906	0.05165	0.046615	0.049009	0.11362	0.18843	0.93299	0.6582	0.054799	0.10858	0.052017	0.078886	0.072837	0.053052	0.053509	0.030948	0.036654	0.50502	0.028586	0.58334	0.08501	0.079374	0.060316	0.046074
Meth__cg26680127__MLCK	0.07862	0.03161	0.037413	0.11884	0.096956	0.092675	0.045671	0.25	0.3473	0.044856	0.058072	0.07127	0.18304	0.13722	0.0733	0.055831	0.059378	0.15606	0.10477	0.047948	0.083949	0.13431	0.52693	0.12393	0.2603	0.083847	0.056208	0.085907	0.0599	0.042087	0.031631	0.033278	0.026906	0.14425	0.020877	0.055097	0.046686	0.090101	0.052188	0.05754
Meth__cg12422450__CHGA	0.91297	0.052816	0.81143	0.25781	0.25657	0.94344	0.82512	0.91723	0.70627	0.060871	0.26713	0.85435	0.94906	0.93233	0.10376	0.066471	0.056644	0.095113	0.073171	0.88068	0.62508	0.86682	0.96117	0.11551	0.31083	0.9442	0.9558	0.066151	0.94551	0.076451	0.04291	0.69823	0.090453	0.36943	0.059466	0.87968	0.10713	0.29006	0.56087	0.1279
Meth__cg00504595__TNFRSF19	0.84773	0.10349	0.88679	0.36793	0.099263	0.66939	0.17391	0.51453	0.71858	0.081712	0.13642	0.54895	0.11405	0.45973	0.10064	0.070509	0.29817	0.8452	0.084654	0.63305	0.076776	0.12411	0.84043	0.35073	0.18776	0.35368	0.62945	0.1437	0.2797	0.070363	0.17726	0.84055	0.10573	0.45816	0.065212	0.40501	0.17208	0.11147	0.19208	0.34924
Meth__cg06765514__PIP5KL1	0.077247	0.053407	0.3816	0.93923	0.076456	0.80887	0.047066	0.74879	0.64847	0.05297	0.062667	0.4128	0.11675	0.85998	0.038587	0.052455	0.4528	0.88948	0.37044	0.42452	0.33446	0.35148	0.078773	0.83762	0.036744	0.76912	0.62994	0.12395	0.75707	0.16938	0.051432	0.047863	0.31923	0.056965	0.21963	0.089286	0.41999	0.089891	0.33044	0.7119
Meth__cg24833176__PHF20L1	0.056632	0.031331	0.050556	0.035579	0.026688	0.032395	0.21507	0.056841	0.045173	0.029304	0.026917	0.036357	0.071692	0.049044	0.017662	0.033614	0.034558	0.066189	0.054255	0.027257	0.067832	0.063916	0.060381	0.033379	0.039843	0.2914	0.03997	0.051983	0.061505	0.046009	0.03019	0.039877	0.12588	0.031142	0.047417	0.033855	0.043981	0.030813	0.051656	0.041531
Meth__cg02440177__ZNF702	0.025566	0.027422	0.029012	0.36053	0.024436	0.96091	0.034633	0.98385	0.78677	0.027658	0.035311	0.030193	0.064182	0.29848	0.017238	0.019298	0.026461	0.37272	0.12008	0.33147	0.97392	0.53451	0.028301	0.029277	0.035711	0.93128	0.03106	0.12582	0.95454	0.072712	0.039962	0.4511	0.95354	0.20409	0.021207	0.0195	0.061703	0.028449	0.55042	0.6685
Meth__cg25283297__GNAS	0.21703	0.11224	0.90538	0.11785	0.091695	0.81152	0.13305	0.98087	0.21661	0.098309	0.11739	0.16448	0.0896	0.41089	0.36374	0.12731	0.4903	0.5157	0.15834	0.19554	0.13158	0.32177	0.77067	0.71118	0.1397	0.9301	0.12912	0.15728	0.14191	0.15027	0.13977	0.16212	0.23268	0.097465	0.13176	0.1735	0.17283	0.1113	0.72894	0.68758
Meth__cg25097436__RTN1	0.044815	0.035826	0.86765	0.06943	0.072644	0.81228	0.047293	0.47227	0.037354	0.028906	0.041697	0.95459	0.40301	0.88476	0.033294	0.033497	0.58102	0.08775	0.063855	0.57475	0.37478	0.094887	0.046694	0.16159	0.034532	0.93724	0.039698	0.087454	0.43322	0.060129	0.021722	0.037376	0.037202	0.87959	0.031647	0.75402	0.32727	0.029665	0.17156	0.22704
Meth__cg19346193__UROS	0.063676	0.038022	0.11434	0.63525	0.27343	0.15418	0.85069	0.84188	0.11582	0.35128	0.61915	0.097208	0.78153	0.072399	0.51932	0.27618	0.21004	0.028721	0.61375	0.89977	0.80499	0.70136	0.94137	0.93025	0.62972	0.43366	0.63906	0.54204	0.55986	0.074481	0.44986	0.46243	0.051151	0.045591	0.082484	0.14747	0.83991	0.11336	0.38792	0.72131
Meth__cg08923450__HEY2	0.17844	0.04963	0.057107	0.056345	0.065716	0.21934	0.13343	0.11192	0.048853	0.05561	0.071616	0.053304	0.12953	0.13601	0.078108	0.057876	0.1308	0.16828	0.092505	0.059382	0.2864	0.12763	0.12642	0.068422	0.12301	0.16314	0.052249	0.08939	0.51613	0.070364	0.058329	0.049241	0.062033	0.068795	0.049017	0.069823	0.12666	0.047159	0.063324	0.053
Meth__cg06397837__HOXA13	0.61298	0.024162	0.066472	0.77246	0.11206	0.67649	0.71189	0.33025	0.59886	0.064964	0.037222	0.95753	0.096158	0.44431	0.59927	0.068808	0.73417	0.08598	0.047062	0.035113	0.97187	0.91516	0.96664	0.051595	0.7492	0.60669	0.055898	0.056562	0.45998	0.059234	0.033739	0.033745	0.049033	0.077028	0.046188	0.95807	0.95953	0.052011	0.96845	0.97822
Meth__cg07212894__SLC38A3	0.030135	0.032714	0.49075	0.35343	0.41863	0.88295	0.05027	0.7151	0.95157	0.031685	0.032657	0.043102	0.30781	0.73062	0.021479	0.033214	0.54785	0.032773	0.035788	0.020179	0.95029	0.61079	0.044515	0.204	0.085781	0.68475	0.057107	0.068148	0.039259	0.074212	0.033644	0.025869	0.018141	0.32741	0.028142	0.62746	0.061604	0.032439	0.25362	0.29665
Meth__cg25268718__PSME1	0.071893	0.069773	0.31213	0.17458	0.22885	0.77674	0.24859	0.74469	0.26522	0.42718	0.095301	0.8254	0.55866	0.34527	0.041492	0.32454	0.26614	0.43667	0.24196	0.44847	0.26676	0.17444	0.37581	0.64932	0.096833	0.5871	0.12062	0.16747	0.13104	0.098056	0.10086	0.090032	0.41082	0.42967	0.13768	0.17126	0.10434	0.09019	0.11202	0.14596
Meth__cg12412075__LIN7B	0.019378	0.031262	0.038968	0.1419	0.019518	0.028455	0.022231	0.90408	0.38747	0.016206	0.056106	0.021103	0.64663	0.54823	0.011108	0.018942	0.19133	0.18421	0.017532	0.023797	0.05031	0.028873	0.023154	0.96065	0.016863	0.915	0.04263	0.037757	0.040571	0.052665	0.016518	0.029959	0.043306	0.045624	0.01903	0.016792	0.035726	0.022361	0.021049	0.018895
Meth__cg14228238__EVI1	0.96501	0.057692	0.048236	0.15586	0.12576	0.75694	0.57665	0.090476	0.15229	0.051467	0.057634	0.090159	0.035809	0.14597	0.089418	0.061177	0.63447	0.31008	0.11412	0.044551	0.89107	0.95373	0.94737	0.061766	0.96526	0.10095	0.9461	0.12951	0.85247	0.097892	0.038896	0.041375	0.044801	0.91975	0.036467	0.94558	0.63761	0.94141	0.94289	0.94888
Meth__cg13228642__IER5	0.078205	0.065152	0.072479	0.50167	0.078632	0.48461	0.067086	0.17556	0.045711	0.078014	0.090935	0.08524	0.1475	0.090109	0.032367	0.07495	0.10333	0.056581	0.057026	0.14689	0.28743	0.1462	0.40431	0.067754	0.067761	0.10038	0.4664	0.13708	0.18129	0.13145	0.069111	0.057712	0.067594	0.31102	0.067189	0.045	0.089208	0.15855	0.0713	0.1626
Meth__cg04259560__FLJ35773	0.019422	0.015594	0.11503	0.43085	0.16531	0.41257	0.14593	0.35698	0.035714	0.020236	0.023928	0.48153	0.053571	0.4511	0.017253	0.019148	0.17102	0.50039	0.027589	0.015167	0.4311	0.2601	0.048959	0.59766	0.019237	0.11271	0.15298	0.017776	0.10211	0.037788	0.024729	0.032926	0.025482	0.35258	0.015444	0.019573	0.028118	0.018084	0.16656	0.37314
Meth__cg11304234__IL18	0.13592	0.068391	0.061884	0.16026	0.10316	0.85222	0.6691	0.6277	0.4125	0.6497	0.090192	0.70829	0.059464	0.14148	0.073472	0.4951	0.074356	0.74533	0.093364	0.66705	0.081804	0.13491	0.85289	0.69717	0.085662	0.1667	0.10457	0.25995	0.18842	0.11771	0.11332	0.073621	0.3008	0.097275	0.078476	0.16434	0.24241	0.080533	0.10176	0.62911
Meth__cg14323109__KDR	0.084215	0.028818	0.13787	0.066702	0.039222	0.65586	0.062384	0.098053	0.042456	0.045866	0.044609	0.073075	0.19114	0.089134	0.031747	0.043369	0.045815	0.078123	0.050956	0.50972	0.42491	0.06253	0.54261	0.039705	0.034544	0.50211	0.69279	0.072953	0.88333	0.13226	0.042825	0.058037	0.32907	0.046947	0.059847	0.11227	0.13002	0.048393	0.072319	0.17063
Meth__cg15853125__TIAM1	0.051712	0.053989	0.21156	0.36248	0.079582	0.94339	0.34799	0.87098	0.040397	0.094911	0.098549	0.04384	0.79415	0.072272	0.041373	0.099794	0.24934	0.61031	0.079896	0.16646	0.28745	0.35604	0.057715	0.88871	0.045038	0.85046	0.13557	0.10424	0.087928	0.046448	0.28538	0.074151	0.19313	0.048876	0.032794	0.35937	0.34163	0.04285	0.060667	0.065067
Meth__cg26898336__TEKT3	0.95308	0.029224	0.98433	0.98266	0.063814	0.80519	0.70378	0.97048	0.93645	0.87932	0.032748	0.036919	0.050669	0.97683	0.07038	0.77527	0.98284	0.046784	0.026234	0.61164	0.94231	0.6148	0.96858	0.034358	0.041113	0.76068	0.97951	0.074457	0.43679	0.041603	0.038823	0.46811	0.11441	0.14293	0.035606	0.49031	0.040784	0.02952	0.9792	0.976
Meth__cg03694261__FLJ23554	0.052278	0.031596	0.023664	0.08305	0.039232	0.13789	0.078877	0.082677	0.68849	0.031343	0.038583	0.027318	0.044037	0.4621	0.036129	0.033073	0.027932	0.038194	0.062352	0.02485	0.071241	0.062406	0.085319	0.095188	0.037918	0.055422	0.045511	0.084823	0.16914	0.060853	0.059387	0.025079	0.030784	0.031519	0.02508	0.0461	0.22427	0.03976	0.051545	0.061252
Meth__cg13797031__NIPSNAP1	0.5637	0.30544	0.069249	0.17869	0.1057	0.81447	0.13538	0.83887	0.31271	0.078127	0.069126	0.20315	0.29126	0.44172	0.18712	0.082022	0.8179	0.75479	0.21006	0.45843	0.059096	0.12418	0.20295	0.088822	0.31705	0.78506	0.36818	0.25278	0.16741	0.26347	0.35866	0.044663	0.82051	0.15173	0.15	0.18906	0.19834	0.054777	0.28615	0.3908
Meth__cg15164103__MEST	0.10477	0.061122	0.079719	0.10935	0.067746	0.83768	0.32679	0.35517	0.77847	0.089425	0.070967	0.7729	0.22371	0.18813	0.048666	0.080125	0.48316	0.093475	0.086716	0.73864	0.069605	0.075672	0.6032	0.80676	0.044821	0.39966	0.082264	0.074784	0.13324	0.084048	0.85847	0.074231	0.16068	0.24663	0.062201	0.4498	0.49294	0.075451	0.06903	0.080966
Meth__cg09437522__GNAS	0.025973	0.0093064	0.17219	0.021717	0.019727	0.93471	0.026768	0.74538	0.024996	0.028118	0.016952	0.022925	0.021692	0.02981	0.013877	0.020105	0.090773	0.4106	0.034796	0.10833	0.01134	0.013943	0.41582	0.52074	0.015687	0.93211	0.02187	0.048504	0.041815	0.034373	0.048922	0.03812	0.25625	0.016562	0.013722	0.011324	0.049074	0.016555	0.026895	0.038832
Meth__cg22392708__KRT23	0.024786	0.038491	0.030611	0.17123	0.023522	0.45849	0.081562	0.62479	0.045942	0.030812	0.036546	0.023584	0.020674	0.051049	0.032711	0.022387	0.025693	0.20847	0.043478	0.37792	0.052018	0.12336	0.027832	0.13119	0.01986	0.61525	0.042807	0.099681	0.07181	0.056642	0.10829	0.026421	0.42352	0.070096	0.031114	0.02314	0.041389	0.033175	0.077757	0.037554
Meth__cg19824325__SETD6	0.099938	0.048098	0.047858	0.050265	0.026992	0.071836	0.056352	0.69017	0.05042	0.062017	0.038953	0.049269	0.10383	0.10687	0.087905	0.053838	0.057995	0.048667	0.072991	0.50422	0.049391	0.10156	0.075521	0.18418	0.04515	0.059201	0.054281	0.097705	0.07637	0.057086	0.058433	0.025456	0.21038	0.040217	0.027683	0.041363	0.099434	0.062576	0.050291	0.066606
Meth__cg05670408__MAN1C1	0.13914	0.059481	0.23338	0.11181	0.057601	0.58792	0.2605	0.4577	0.13735	0.062109	0.06607	0.26718	0.11202	0.11276	0.031459	0.064513	0.089846	0.060277	0.072325	0.13056	0.12395	0.097776	0.075108	0.1483	0.053067	0.85379	0.070502	0.11236	0.22316	0.10118	0.061933	0.36829	0.086085	0.045515	0.04847	0.060821	0.21628	0.058467	0.068629	0.076388
Meth__cg11126134__FLJ14834	0.49219	0.044391	0.36515	0.63092	0.92931	0.37805	0.92519	0.61364	0.93707	0.038121	0.88667	0.88224	0.082785	0.64771	0.036692	0.040033	0.80812	0.56751	0.073362	0.043043	0.88332	0.89942	0.97132	0.099468	0.88337	0.25835	0.94123	0.076897	0.72564	0.074318	0.025935	0.027027	0.059445	0.94259	0.026234	0.28694	0.12527	0.053479	0.41325	0.37007
Meth__cg09498007__CREG2	0.13756	0.071562	0.10641	0.12547	0.10464	0.39224	0.12895	0.74576	0.28087	0.15674	0.12002	0.12048	0.41247	0.26617	0.060446	0.10124	0.16195	0.3314	0.1798	0.099342	0.078996	0.088884	0.076835	0.10439	0.073691	0.79613	0.10162	0.19753	0.19106	0.18443	0.061603	0.090977	0.10492	0.091468	0.077966	0.07851	0.29831	0.11431	0.13571	0.14128
Meth__cg08942875__OCIAD2	0.067471	0.041447	0.12451	0.046871	0.03278	0.71556	0.049001	0.27628	0.049346	0.02882	0.033582	0.10426	0.058834	0.096123	0.027846	0.036328	0.051815	0.066334	0.074235	0.51544	0.050305	0.052846	0.091176	0.13802	0.02873	0.078126	0.044211	0.07579	0.074273	0.071624	0.056306	0.031321	0.059224	0.15112	0.032175	0.027914	0.04127	0.049782	0.028823	0.039412
Meth__cg00626466__GNS	0.52061	0.10206	0.52371	0.19648	0.06307	0.33617	0.88945	0.78936	0.43282	0.6566	0.08386	0.10396	0.45968	0.35056	0.1493	0.48712	0.16818	0.14632	0.16392	0.19099	0.058985	0.063891	0.34279	0.08396	0.0824	0.81407	0.86607	0.55167	0.86335	0.12318	0.089399	0.10033	0.13085	0.47232	0.1005	0.55309	0.59178	0.25528	0.86936	0.87355
Meth__cg02104644__SYT7	0.091047	0.053017	0.16944	0.042296	0.04431	0.90859	0.099982	0.78885	0.5855	0.030261	0.26317	0.035846	0.74153	0.61506	0.046388	0.041405	0.36514	0.2077	0.075754	0.058131	0.078958	0.25716	0.031047	0.56458	0.050995	0.80424	0.068984	0.049462	0.14466	0.17046	0.038845	0.041624	0.91618	0.048662	0.026293	0.055244	0.097149	0.24633	0.056814	0.055619
Meth__cg13079099__LENG9	0.06386	0.063436	0.067901	0.55981	0.067534	0.039791	0.087789	0.39867	0.13031	0.038198	0.090822	0.051568	0.066179	0.10136	0.044979	0.045064	0.25189	0.47491	0.064798	0.033387	0.076653	0.11074	0.065334	0.36591	0.036515	0.083508	0.13122	0.069746	0.074596	0.10832	0.087696	0.036214	0.040015	0.50637	0.036086	0.029008	0.11455	0.072104	0.042091	0.07312
Meth__cg11504897__NRN1	0.71248	0.13355	0.2036	0.23187	0.17096	0.73864	0.91686	0.17972	0.53527	0.10196	0.48291	0.55657	0.16727	0.18441	0.098846	0.19641	0.086957	0.24143	0.1365	0.85746	0.42814	0.2273	0.95321	0.10845	0.29889	0.92095	0.38222	0.18857	0.94573	0.20638	0.12034	0.11563	0.12634	0.48459	0.10842	0.12256	0.19759	0.92162	0.65629	0.88658
Meth__cg15613048__KIF17	0.031866	0.028906	0.98178	0.39098	0.58713	0.98059	0.97279	0.49326	0.98419	0.02713	0.038304	0.2018	0.59073	0.90799	0.018821	0.030936	0.92909	0.18233	0.054623	0.28737	0.94761	0.46755	0.042479	0.033173	0.099593	0.78508	0.97879	0.053415	0.92083	0.049364	0.12993	0.27937	0.34061	0.018573	0.016579	0.027642	0.104	0.029929	0.9731	0.96635
Meth__cg21298523__NUDT9	0.12382	0.063146	0.079444	0.057798	0.0373	0.044429	0.048625	0.39336	0.48951	0.065423	0.088639	0.046311	0.49872	0.10542	0.044714	0.085815	0.051721	0.04812	0.18475	0.078738	0.084196	0.13441	0.061821	0.45366	0.085665	0.1114	0.1415	0.13985	0.091292	0.083726	0.035919	0.045295	0.043241	0.054428	0.044183	0.057399	0.10251	0.41872	0.10387	0.074881
Meth__cg19363546__POU2F3	0.68206	0.090929	0.97031	0.46999	0.18748	0.874	0.47312	0.63877	0.66205	0.053322	0.18715	0.59587	0.74655	0.8082	0.1566	0.057557	0.77491	0.14392	0.13895	0.041158	0.95102	0.94544	0.9583	0.43179	0.13508	0.79921	0.54966	0.086911	0.10713	0.099664	0.06837	0.50889	0.12486	0.82054	0.044206	0.86442	0.11439	0.08038	0.13129	0.29295
Meth__cg23538854__IL7	0.067132	0.07357	0.5906	0.077734	0.10714	0.81917	0.092083	0.16439	0.098284	0.064812	0.075262	0.14076	0.10511	0.12005	0.047794	0.074879	0.70464	0.1008	0.17567	0.085256	0.49523	0.36491	0.21583	0.16888	0.062229	0.10723	0.06833	0.13794	0.17468	0.092007	0.067196	0.052582	0.056382	0.066659	0.055414	0.65435	0.14748	0.06374	0.099768	0.29677
Meth__cg23957915__RCOR2	0.029039	0.01862	0.94927	0.088041	0.023602	0.074032	0.65567	0.1419	0.031567	0.020598	0.023764	0.039069	0.94363	0.4389	0.063095	0.021714	0.61877	0.021874	0.13899	0.015432	0.042057	0.056171	0.029058	0.076419	0.020499	0.035183	0.20567	0.043439	0.090975	0.032928	0.023639	0.012979	0.033196	0.075802	0.016563	0.029947	0.042423	0.020728	0.16776	0.66277
Meth__cg23533073__CHES1	0.028863	0.016004	0.022667	0.018448	0.023949	0.1528	0.027197	0.072912	0.018767	0.016236	0.029602	0.02599	0.020971	0.04848	0.015472	0.020198	0.037139	0.029508	0.03759	0.027638	0.011469	0.023906	0.035692	0.029492	0.018848	0.094194	0.037936	0.026426	0.035561	0.031256	0.021638	0.019356	0.014496	0.1875	0.018255	0.019731	0.034668	0.026251	0.017699	0.024762
Meth__cg06186861__ZNF501	0.87074	0.049734	0.082199	0.79956	0.054842	0.91917	0.89038	0.26439	0.9266	0.10336	0.077431	0.87701	0.15439	0.75688	0.37534	0.097584	0.068877	0.067059	0.10883	0.056629	0.73613	0.46592	0.27569	0.10211	0.066858	0.6073	0.44239	0.17997	0.39256	0.07561	0.049744	0.088205	0.073196	0.24574	0.084758	0.094812	0.11483	0.29549	0.089722	0.21957
Meth__cg15816080__TPST1	0.61391	0.013921	0.03041	0.027911	0.015468	0.018313	0.030452	0.042966	0.024869	0.014646	0.017001	0.012646	0.020586	0.047825	0.010806	0.02009	0.013772	0.01614	0.031147	0.012051	0.015051	0.028701	0.022785	0.032543	0.0096329	0.035657	0.029919	0.051689	0.066643	0.023984	0.012216	0.015724	0.013708	0.015576	0.01277	0.023404	0.040963	0.018762	0.025534	0.032012
Meth__cg25215340__CDKN1C	0.063628	0.030117	0.044663	0.037274	0.026059	0.47282	0.042203	0.055181	0.055178	0.027752	0.032322	0.047035	0.037736	0.10434	0.022206	0.029316	0.049226	0.029299	0.064766	0.048625	0.0305	0.044922	0.030276	0.031905	0.023831	0.063212	0.039979	0.061833	0.088076	0.057199	0.025625	0.032951	0.026534	0.03217	0.027845	0.024472	0.14149	0.032572	0.041411	0.032745
Meth__cg11465163__DIRAS3	0.47609	0.06072	0.11967	0.093347	0.90494	0.93095	0.13692	0.67295	0.9565	0.059287	0.11851	0.31337	0.13374	0.15741	0.046408	0.18689	0.7676	0.064369	0.24141	0.4082	0.84391	0.62443	0.51426	0.21475	0.91791	0.88533	0.24476	0.21985	0.89606	0.085516	0.47171	0.42907	0.51041	0.5962	0.06135	0.38943	0.43227	0.10438	0.50104	0.50297
Meth__cg00149659__C3orf10	0.041925	0.038338	0.05369	0.074308	0.052681	0.036353	0.039154	0.071636	0.3455	0.034016	0.053742	0.035655	0.030247	0.13743	0.039901	0.05269	0.038716	0.034449	0.060951	0.034713	0.028647	0.040925	0.035804	0.034338	0.042425	0.073416	0.041316	0.082256	0.14881	0.10745	0.042712	0.041374	0.046329	0.039021	0.042527	0.040808	0.051372	0.066739	0.041121	0.035614
Meth__cg01126560__C9orf142	0.039714	0.035612	0.052045	0.75514	0.62347	0.98139	0.18169	0.12282	0.071444	0.66854	0.060788	0.59104	0.65937	0.081275	0.69846	0.62872	0.12871	0.41888	0.082051	0.14487	0.075828	0.066848	0.93418	0.053927	0.050584	0.087919	0.86032	0.07522	0.6241	0.065786	0.041421	0.040535	0.036778	0.75679	0.033244	0.040439	0.067907	0.062184	0.69724	0.71093
Meth__cg02168291__CDH13	0.80182	0.10518	0.77297	0.77721	0.50704	0.77059	0.24662	0.49944	0.93195	0.06427	0.084976	0.12063	0.83067	0.62766	0.061224	0.071013	0.30828	0.085621	0.08024	0.25261	0.26226	0.15825	0.2241	0.53333	0.90436	0.66994	0.22847	0.11167	0.16795	0.15593	0.067965	0.24111	0.16166	0.85205	0.10705	0.17943	0.13801	0.75109	0.23887	0.2317
