Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Meth__cg08631151__RPRML	0.28665	0.032445	0.13574	0.2473	0.17751	0.48023	0.022867	0.15562	0.039468	0.082607	0.057027	0.30971	0.42409	0.041167	0.041651	0.06148	0.076509	0.03905	0.57921	0.616	0.043602	0.042983	0.39224	0.55354	0.18247	0.19137	0.069985	0.84591	0.13739	0.090501	0.029058	0.12929	0.14115	0.22907	0.33662	0.4318	0.11544	0.20358	0.42024	0.10949
Meth__cg05461841__LOC124220	0.033648	0.033748	0.041517	0.023088	0.58875	0.028438	0.76622	0.33093	0.03767	0.030119	0.18722	0.3864	0.83042	0.036252	0.033631	0.51852	0.018457	0.48161	0.090583	0.072588	0.038674	0.86547	0.02353	0.49481	0.027432	0.047399	0.73347	0.054307	0.42925	0.057189	0.31228	0.088952	0.043283	0.025832	0.032073	0.049677	0.046297	0.039787	0.047904	0.034642
Meth__cg18279742__RPS2	0.12967	0.11675	0.41185	0.2528	0.41985	0.084977	0.60606	0.34238	0.16345	0.12904	0.033473	0.87728	0.16553	0.2395	0.19013	0.095382	0.33494	0.54119	0.076029	0.035572	0.37749	0.36558	0.31727	0.17222	0.44293	0.11949	0.17651	0.061158	0.16364	0.14694	0.06356	0.048085	0.40948	0.079331	0.046995	0.05274	0.153	0.055039	0.33624	0.047881
Meth__cg26764244__GNG12	0.037866	0.040108	0.59947	0.46989	0.032806	0.088375	0.085106	0.042641	0.035789	0.08716	0.048465	0.096899	0.090844	0.044356	0.032729	0.037783	0.081509	0.029208	0.066362	0.079158	0.48546	0.05431	0.076032	0.1076	0.19268	0.085366	0.030353	0.076466	0.052702	0.051719	0.035439	0.043165	0.052185	0.87819	0.036163	0.26385	0.072664	0.057651	0.10266	0.083127
Meth__cg17660655__HIST3H2A	0.83484	0.11048	0.1359	0.077094	0.10745	0.47597	0.096755	0.077381	0.09658	0.11345	0.47745	0.10352	0.1796	0.075417	0.10797	0.085568	0.1957	0.086413	0.17639	0.089071	0.12995	0.10708	0.30563	0.83393	0.11402	0.19246	0.13038	0.21897	0.11511	0.20901	0.13644	0.11351	0.10491	0.63795	0.44458	0.27701	0.15606	0.1129	0.33628	0.12504
Meth__cg09239756__CKAP4	0.051788	0.64307	0.36598	0.46991	0.039158	0.7391	0.59562	0.096446	0.11543	0.5817	0.066964	0.82841	0.32701	0.88083	0.087754	0.19461	0.15385	0.055364	0.57502	0.75641	0.10624	0.064356	0.15807	0.072065	0.091	0.15537	0.070388	0.18458	0.46639	0.20444	0.047488	0.041552	0.10132	0.91774	0.047463	0.15739	0.35273	0.15943	0.11042	0.41929
Meth__cg06690548__SLC7A11	0.88412	0.063771	0.46673	0.7583	0.050909	0.16513	0.20157	0.068711	0.94787	0.12478	0.22934	0.68912	0.10014	0.023278	0.82246	0.11721	0.067405	0.046588	0.080929	0.067968	0.93382	0.16922	0.77568	0.085106	0.10005	0.13874	0.038571	0.23146	0.048855	0.11176	0.035643	0.4378	0.03106	0.22606	0.053379	0.17929	0.86589	0.59637	0.061295	0.47044
Meth__cg10667970__FBXO6	0.058371	0.072257	0.20859	0.3307	0.50411	0.06959	0.37034	0.31045	0.24078	0.20828	0.079133	0.34427	0.31286	0.072465	0.21767	0.88446	0.08631	0.37465	0.088949	0.097183	0.38081	0.7538	0.12278	0.29539	0.079804	0.089922	0.45317	0.17173	0.66639	0.32646	0.18607	0.04686	0.73693	0.10681	0.060424	0.14501	0.11089	0.075027	0.16079	0.047632
Meth__cg10084993__SLC9A3R2	0.086291	0.063291	0.11748	0.11035	0.9141	0.10997	0.78993	0.62646	0.18127	0.23786	0.49253	0.89558	0.68785	0.061791	0.18129	0.53254	0.69926	0.11511	0.1275	0.097779	0.9361	0.82418	0.17633	0.13651	0.065763	0.094846	0.68629	0.090305	0.2277	0.076187	0.38633	0.082633	0.34674	0.093598	0.13306	0.083039	0.10192	0.071443	0.14199	0.10927
Meth__cg24805239__DFNA5	0.50168	0.023478	0.83046	0.60905	0.031913	0.94933	0.031038	0.9772	0.15395	0.030798	0.048323	0.61842	0.79541	0.07443	0.11715	0.042801	0.057774	0.033517	0.91995	0.82814	0.45819	0.021948	0.61509	0.041359	0.48195	0.17694	0.027192	0.93299	0.091563	0.1934	0.027773	0.039433	0.068748	0.66947	0.87482	0.56428	0.035162	0.4661	0.81095	0.81941
Meth__cg02962602__CCDC57	0.039412	0.33963	0.97733	0.29721	0.039151	0.12063	0.063778	0.034062	0.038641	0.43224	0.039941	0.15559	0.085305	0.97541	0.078243	0.10746	0.048233	0.036214	0.15856	0.065926	0.16435	0.032682	0.13351	0.064432	0.83438	0.057143	0.053166	0.068971	0.059162	0.66927	0.030487	0.021795	0.038228	0.9352	0.04214	0.053906	0.05065	0.37911	0.60855	0.042132
Meth__cg06226384__CACNG5	0.082869	0.025691	0.36747	0.09534	0.056227	0.11916	0.05625	0.25292	0.049696	0.033985	0.097543	0.080853	0.092099	0.021404	0.052564	0.040031	0.083991	0.043695	0.094988	0.10897	0.085191	0.033359	0.65839	0.078658	0.024166	0.071096	0.050638	0.035377	0.050896	0.047782	0.018715	0.049072	0.03811	0.094811	0.048468	0.055541	0.05024	0.038335	0.073298	0.03692
Meth__cg24200059__FLJ22222	0.044144	0.038815	0.049219	0.024467	0.081437	0.056539	0.28848	0.069236	0.060505	0.039146	0.054834	0.042932	0.082087	0.036279	0.056959	0.085475	0.085324	0.17902	0.044471	0.059872	0.048037	0.071698	0.037674	0.31017	0.047029	0.08517	0.078969	0.056536	0.058953	0.06176	0.055002	0.049954	0.064949	0.048057	0.039926	0.09863	0.050533	0.040591	0.053954	0.049965
Meth__cg03684977__GRB7	0.025921	0.019566	0.042199	0.045407	0.9494	0.031885	0.88493	0.091285	0.15966	0.053698	0.022015	0.31861	0.18094	0.036198	0.16822	0.1049	0.045443	0.91461	0.031285	0.067035	0.03012	0.95438	0.053879	0.8784	0.034811	0.072712	0.90919	0.038093	0.062852	0.038829	0.95271	0.032736	0.92172	0.29678	0.025857	0.037357	0.25562	0.028932	0.059992	0.0395
Meth__cg11784785__SLC6A5	0.12135	0.042445	0.55237	0.16432	0.082744	0.27229	0.16997	0.74339	0.073328	0.063939	0.27194	0.23303	0.17547	0.042355	0.096323	0.24838	0.11032	0.054137	0.13782	0.12033	0.49009	0.068613	0.60206	0.11908	0.070268	0.091982	0.072098	0.23579	0.072123	0.10913	0.053044	0.059605	0.044543	0.10332	0.18932	0.13626	0.28081	0.13866	0.2554	0.094408
Meth__cg00646140__ARSD	0.62539	0.05324	0.096634	0.053466	0.95356	0.053955	0.072114	0.95166	0.053343	0.037474	0.034351	0.63343	0.091377	0.80068	0.067581	0.53184	0.11301	0.092926	0.057008	0.05651	0.054377	0.172	0.034971	0.15423	0.26544	0.10189	0.045682	0.90848	0.066492	0.091992	0.28598	0.044	0.5429	0.53595	0.057926	0.037598	0.043237	0.11653	0.57317	0.060269
Meth__cg20925954__DUSP5	0.070591	0.14261	0.633	0.16983	0.13337	0.18065	0.78086	0.091765	0.187	0.095948	0.25026	0.29051	0.1479	0.13712	0.17749	0.27704	0.1178	0.077907	0.58436	0.46291	0.06593	0.20205	0.49531	0.15634	0.60291	0.12587	0.061059	0.19316	0.092012	0.20076	0.37091	0.082863	0.059622	0.66502	0.074029	0.3258	0.48048	0.067735	0.34313	0.18148
Meth__cg03977782__SIDT1	0.040169	0.037645	0.033482	0.030269	0.57341	0.036561	0.17015	0.96698	0.043903	0.030305	0.13062	0.049172	0.049439	0.025399	0.036025	0.88735	0.083703	0.20187	0.039584	0.030908	0.03514	0.052319	0.029256	0.30667	0.037486	0.063856	0.054459	0.065549	0.045588	0.075402	0.029203	0.12691	0.045524	0.047472	0.36544	0.19321	0.040147	0.035192	0.090749	0.032856
Meth__cg22478614__DEFB4	0.28287	0.021362	0.12257	0.35208	0.023489	0.053082	0.034359	0.47607	0.14975	0.027813	0.38095	0.87236	0.29478	0.021565	0.14991	0.36433	0.047105	0.014241	0.85625	0.60818	0.35873	0.032531	0.90716	0.26906	0.29036	0.061768	0.34713	0.063311	0.023174	0.035241	0.026075	0.021707	0.036893	0.70779	0.14773	0.039703	0.60196	0.28148	0.085074	0.36487
Meth__cg16990174__RYBP	0.056658	0.063798	0.066485	0.07787	0.60388	0.057451	0.74817	0.059225	0.063298	0.090207	0.059546	0.13165	0.28791	0.050437	0.065867	0.12151	0.13511	0.50777	0.086082	0.062061	0.070735	0.80263	0.093539	0.51263	0.075192	0.13076	0.2787	0.063947	0.072332	0.096454	0.49865	0.098145	0.58698	0.055735	0.061389	0.12318	0.060972	0.056229	0.22493	0.074224
Meth__cg08044694__BRD4	0.049629	0.042114	0.36281	0.79788	0.95779	0.10976	0.60931	0.054526	0.03676	0.64726	0.11625	0.035122	0.096442	0.44755	0.038668	0.050353	0.071429	0.92309	0.91053	0.86396	0.87122	0.079952	0.95588	0.89029	0.59508	0.19285	0.042269	0.5738	0.029894	0.097434	0.18144	0.075269	0.046951	0.88443	0.047357	0.14776	0.88839	0.43545	0.43219	0.53972
Meth__cg08949296__JPH1	0.031822	0.010386	0.024501	0.022122	0.98278	0.01979	0.72518	0.016506	0.027486	0.024796	0.025154	0.030211	0.61899	0.03437	0.026764	0.033821	0.080205	0.026789	0.021107	0.031559	0.050028	0.032714	0.018467	0.070539	0.031764	0.067624	0.056363	0.036601	0.55333	0.028776	0.024932	0.023549	0.029006	0.021277	0.02207	0.032132	0.029134	0.030366	0.065299	0.028717
Meth__cg04125208__CD44	0.052436	0.08162	0.080487	0.1306	0.037632	0.14209	0.019534	0.068807	0.089275	0.045757	0.050761	0.034675	0.096381	0.057648	0.098078	0.036794	0.086803	0.03203	0.20823	0.069384	0.045803	0.051352	0.069616	0.059818	0.04504	0.034745	0.039235	0.60002	0.044276	0.11226	0.044972	0.042256	0.039183	0.37631	0.4102	0.049572	0.045722	0.038898	0.15076	0.57226
Meth__cg08747889__PTK7	0.02308	0.024687	0.13158	0.48748	0.03203	0.59666	0.15932	0.03492	0.050105	0.82385	0.020014	0.13585	0.10703	0.85717	0.035422	0.044237	0.14392	0.027763	0.24206	0.34302	0.41267	0.038395	0.34965	0.32375	0.087031	0.037054	0.16849	0.034929	0.032757	0.097797	0.022599	0.03372	0.023991	0.083973	0.73147	0.16061	0.47563	0.43355	0.091312	0.65632
Meth__cg18292394__MAT1A	0.84936	0.062197	0.78815	0.82216	0.084471	0.82687	0.057243	0.47237	0.77833	0.30968	0.089451	0.16771	0.34817	0.24689	0.70785	0.39867	0.10308	0.050395	0.54212	0.80157	0.85929	0.077604	0.051693	0.11794	0.82763	0.2939	0.10579	0.77004	0.22201	0.23752	0.064542	0.066061	0.070256	0.80697	0.8183	0.26384	0.83948	0.81708	0.57991	0.80416
Meth__cg04532229__SLC9A2	0.055949	0.94744	0.046421	0.097811	0.95686	0.60376	0.7258	0.92478	0.049744	0.0599	0.62344	0.67027	0.90065	0.033271	0.11746	0.86581	0.41312	0.039778	0.033478	0.044728	0.36082	0.26427	0.03997	0.92107	0.046618	0.13376	0.60909	0.25639	0.92289	0.10538	0.04	0.073177	0.060583	0.1712	0.75528	0.15628	0.044902	0.23378	0.21184	0.62447
Meth__cg01377911__NTF5	0.030929	0.043413	0.47731	0.03577	0.46834	0.047157	0.79996	0.046571	0.15948	0.21565	0.035697	0.069803	0.61319	0.59659	0.11934	0.044426	0.058032	0.042027	0.026713	0.045121	0.046553	0.93739	0.032374	0.90096	0.42063	0.057157	0.14793	0.17766	0.10135	0.096653	0.041024	0.049776	0.039002	0.53821	0.35255	0.13231	0.039084	0.034333	0.18491	0.029455
Meth__cg10887392__CTDSP1	0.037832	0.037813	0.036939	0.023682	0.4297	0.048985	0.068934	0.047415	0.035923	0.034578	0.046652	0.073385	0.11389	0.041065	0.033625	0.11667	0.055457	0.047652	0.028077	0.052945	0.36257	0.14524	0.030858	0.051064	0.032566	0.10706	0.044861	0.07048	0.044995	0.054746	0.031199	0.038387	0.053219	0.025801	0.032175	0.16558	0.036134	0.029	0.051698	0.036478
Meth__cg03752628__PTGFRN	0.30375	0.050089	0.34264	0.28567	0.46271	0.51286	0.48535	0.0293	0.023625	0.45468	0.18986	0.020968	0.028236	0.021066	0.025973	0.034109	0.039067	0.019505	0.33659	0.62872	0.94448	0.35051	0.3617	0.61372	0.56719	0.041017	0.10282	0.036399	0.03018	0.056648	0.61895	0.021666	0.021672	0.12866	0.015998	0.096507	0.10413	0.13895	0.077884	0.065712
Meth__cg21825027__SH3YL1	0.038298	0.025129	0.036103	0.030979	0.81016	0.036726	0.30647	0.031537	0.3773	0.037829	0.038754	0.039823	0.079953	0.023933	0.33283	0.24759	0.078543	0.35381	0.024917	0.031535	0.033186	0.24716	0.034328	0.87962	0.042625	0.09269	0.04349	0.073631	0.038609	0.084143	0.051733	0.026934	0.7369	0.035292	0.027055	0.047659	0.031878	0.037232	0.073165	0.040057
Meth__cg16678925__OR1A2	0.35912	0.059737	0.26526	0.092102	0.049199	0.14652	0.088294	0.20863	0.056637	0.077075	0.25049	0.2	0.18696	0.077347	0.048211	0.4041	0.16539	0.047113	0.078709	0.14242	0.13808	0.049996	0.45299	0.083909	0.061542	0.10192	0.11282	0.16904	0.068165	0.068466	0.07235	0.050005	0.10266	0.69761	0.28671	0.10727	0.16314	0.11151	0.15077	0.17753
Meth__cg14809191__FOXQ1	0.43554	0.041688	0.048513	0.042815	0.78409	0.057789	0.32981	0.90328	0.17658	0.046956	0.60458	0.12965	0.16284	0.061195	0.15093	0.95088	0.37168	0.65249	0.047426	0.045708	0.10381	0.33481	0.046906	0.49407	0.047219	0.037415	0.63268	0.13975	0.26408	0.049048	0.039517	0.03655	0.87237	0.32613	0.65894	0.070691	0.038386	0.052617	0.1106	0.076307
Meth__cg18059933__TP53INP1	0.035319	0.74035	0.0281	0.56372	0.33702	0.71644	0.84626	0.94674	0.95245	0.067587	0.69479	0.70108	0.88271	0.027217	0.52461	0.90745	0.83107	0.6925	0.88761	0.75769	0.45242	0.88109	0.2478	0.81944	0.025842	0.15818	0.91298	0.043233	0.89303	0.60171	0.91948	0.93235	0.43145	0.033089	0.030288	0.03649	0.19379	0.088013	0.18985	0.20493
Meth__cg22747092__BTBD14A	0.066853	0.073927	0.1518	0.5248	0.56384	0.30988	0.92813	0.7968	0.27614	0.78217	0.23982	0.83994	0.42701	0.15965	0.22008	0.60845	0.31623	0.099537	0.10642	0.097232	0.52822	0.69742	0.064619	0.17587	0.1659	0.16141	0.090945	0.17375	0.6478	0.10307	0.092598	0.87719	0.22614	0.14464	0.060754	0.17285	0.13433	0.052666	0.19649	0.049025
Meth__cg25128803__SLC16A1	0.34989	0.022799	0.28168	0.036867	0.021644	0.023908	0.043603	0.021319	0.028641	0.031802	0.023515	0.026178	0.1239	0.015301	0.025905	0.019518	0.042989	0.021008	0.020708	0.023684	0.028947	0.029901	0.045876	0.89039	0.039936	0.032592	0.018553	0.040738	0.026843	0.035623	0.019406	0.020128	0.021443	0.034274	0.020476	0.072393	0.73456	0.037481	0.052078	0.026558
Meth__cg00728602__C6orf27	0.041176	0.021055	0.50642	0.042292	0.46772	0.052567	0.01984	0.032551	0.017423	0.31027	0.28674	0.028969	0.057646	0.12431	0.027004	0.044103	0.03172	0.020783	0.10466	0.064861	0.10222	0.090871	0.071379	0.067717	0.63547	0.097423	0.097835	0.74781	0.021624	0.077064	0.016863	0.02022	0.029141	0.25084	0.01598	0.061995	0.028333	0.56321	0.11353	0.044319
Meth__cg26420196__GAS6	0.057365	0.04592	0.93751	0.89222	0.040601	0.29768	0.060921	0.042988	0.02655	0.048031	0.16386	0.46135	0.41729	0.24558	0.034956	0.23876	0.14733	0.029212	0.93062	0.94786	0.36251	0.21434	0.75859	0.091272	0.57293	0.050458	0.45797	0.37832	0.14864	0.16979	0.30302	0.024029	0.074204	0.57752	0.60168	0.1154	0.27722	0.40703	0.55573	0.060641
Meth__cg16512727__C12orf4	0.023632	0.018192	0.32097	0.25887	0.81219	0.23114	0.94846	0.094226	0.71862	0.088648	0.021432	0.44477	0.52418	0.57974	0.62282	0.39435	0.19329	0.024943	0.079116	0.10459	0.47207	0.91227	0.65767	0.37187	0.15625	0.027068	0.31036	0.029424	0.65558	0.16254	0.87027	0.40798	0.5108	0.49136	0.3793	0.088803	0.47187	0.13083	0.092414	0.076109
Meth__cg01654582__AADAT	0.27311	0.052196	0.52277	0.19442	0.017309	0.30365	0.044196	0.01658	0.02529	0.12351	0.020533	0.024478	0.10659	0.11743	0.028773	0.026474	0.041561	0.017472	0.02469	0.024271	0.55938	0.029088	0.13196	0.026915	0.045436	0.16301	0.025944	0.80711	0.037973	0.16539	0.029217	0.022416	0.029227	0.32567	0.92806	0.32334	0.068716	0.099581	0.085089	0.24528
Meth__cg10981541__FAM57A	0.060126	0.55295	0.36413	0.27348	0.070353	0.15834	0.087438	0.085296	0.051105	0.49372	0.070695	0.081517	0.13524	0.16576	0.1592	0.075785	0.10117	0.062562	0.081615	0.072357	0.4798	0.085074	0.42742	0.086747	0.30372	0.10165	0.066084	0.13714	0.092522	0.17388	0.061224	0.061899	0.058605	0.16103	0.057661	0.14745	0.10238	0.25613	0.1646	0.17757
Meth__cg01986577__ARNTL2	0.34672	0.074497	0.85174	0.55043	0.58859	0.5119	0.37034	0.8423	0.070234	0.75947	0.33265	0.27658	0.2693	0.13871	0.092252	0.31012	0.068581	0.034539	0.763	0.2356	0.86693	0.25341	0.56576	0.069349	0.62554	0.45565	0.10142	0.68782	0.2863	0.20669	0.44821	0.029999	0.04295	0.67116	0.7756	0.26152	0.51562	0.5994	0.59938	0.74746
Meth__cg03969797__MKRN3	0.81641	0.029543	0.907	0.04523	0.23261	0.74664	0.33425	0.46503	0.053947	0.089675	0.088269	0.40897	0.089109	0.036943	0.077239	0.030338	0.09046	0.042816	0.68999	0.4292	0.43007	0.053492	0.43303	0.065146	0.14949	0.14559	0.02898	0.22583	0.085596	0.043486	0.29547	0.052284	0.11317	0.06341	0.43829	0.35886	0.26941	0.27137	0.50035	0.21105
Meth__cg25370441__FLJ20184	0.070364	0.077692	0.088547	0.068987	0.8174	0.077053	0.64109	0.095466	0.15628	0.070677	0.48313	0.13208	0.21731	0.06755	0.14379	0.065906	0.12019	0.12616	0.14799	0.12859	0.54028	0.56714	0.072821	0.67366	0.092663	0.12642	0.21607	0.11754	0.095625	0.059852	0.13329	0.079968	0.47937	0.11738	0.097744	0.17616	0.10173	0.074804	0.13129	0.068695
Meth__cg04310824__SCP2	0.024254	0.022771	0.60746	0.024759	0.42928	0.031915	0.57372	0.030004	0.014466	0.041522	0.02112	0.023018	0.90604	0.037796	0.023869	0.027519	0.026062	0.016282	0.5662	0.034539	0.27813	0.033029	0.036894	0.10534	0.032539	0.030375	0.024813	0.045622	0.022925	0.073954	0.018605	0.017037	0.026493	0.089349	0.026242	0.057054	0.049721	0.44038	0.081081	0.51029
Meth__cg10688991__DLX3	0.026993	0.026488	0.024819	0.021609	0.95074	0.0288	0.056347	0.032941	0.025792	0.02183	0.038336	0.028624	0.47622	0.019492	0.023509	0.042142	0.059933	0.051161	0.02258	0.029232	0.025887	0.051397	0.019522	0.69906	0.024289	0.054361	0.28405	0.13357	0.031493	0.080332	0.030852	0.02895	0.058727	0.026255	0.041929	0.093033	0.025806	0.023467	0.049682	0.031322
Meth__cg24130043__ZNF197	0.037681	0.043548	0.53424	0.057586	0.031716	0.050139	0.040409	0.92907	0.053711	0.055191	0.41337	0.078235	0.61931	0.8083	0.057106	0.04246	0.098345	0.027779	0.165	0.14452	0.038566	0.055329	0.19011	0.060887	0.046864	0.099143	0.042813	0.089291	0.080684	0.075583	0.036033	0.038844	0.033737	0.32349	0.03514	0.14978	0.038902	0.42765	0.088934	0.54838
Meth__cg23003832__ZDHHC12	0.036049	0.026247	0.20506	0.099262	0.70421	0.052266	0.060066	0.17428	0.29687	0.033633	0.028196	0.31373	0.049396	0.02405	0.21426	0.37535	0.11209	0.39703	0.047505	0.029138	0.064194	0.043257	0.094932	0.21817	0.27012	0.11677	0.059079	0.074264	0.30062	0.063501	0.028699	0.029156	0.043797	0.033288	0.10316	0.099593	0.039018	0.039247	0.10073	0.038665
Meth__cg04072323__SKIP	0.88689	0.028335	0.91358	0.32068	0.90501	0.89998	0.093651	0.62355	0.066119	0.060612	0.90847	0.14957	0.72901	0.64143	0.13411	0.87837	0.094747	0.11595	0.70091	0.66166	0.57377	0.042592	0.89506	0.85324	0.57021	0.12044	0.45854	0.83308	0.23026	0.12888	0.059529	0.084511	0.092319	0.23877	0.80104	0.10335	0.51918	0.86247	0.73144	0.81265
Meth__cg24935900__RAB11FIP5	0.038853	0.12509	0.26176	0.19187	0.043076	0.094744	0.057786	0.082207	0.042554	0.14409	0.048883	0.090157	0.10622	0.055566	0.071501	0.043114	0.089675	0.036519	0.084173	0.085477	0.39798	0.046597	0.048117	0.099118	0.088152	0.098831	0.044245	0.09776	0.094162	0.18534	0.040524	0.045064	0.042035	0.45824	0.10086	0.14953	0.090265	0.12478	0.23292	0.096064
Meth__cg12891678__SPRR2D	0.65597	0.064647	0.80788	0.76616	0.065692	0.48435	0.043708	0.8479	0.47539	0.23086	0.10097	0.69092	0.71983	0.076769	0.4421	0.082306	0.2323	0.045983	0.12304	0.15548	0.066439	0.061841	0.81388	0.096209	0.23465	0.13097	0.31685	0.22566	0.35202	0.11945	0.059724	0.065415	0.32025	0.79485	0.31478	0.087678	0.54661	0.51812	0.11459	0.56668
Meth__cg16652259__DLX1	0.80576	0.071001	0.082154	0.11651	0.042321	0.94435	0.025148	0.082362	0.073501	0.07976	0.090017	0.164	0.57026	0.036538	0.077655	0.75286	0.081784	0.03282	0.036225	0.24971	0.1169	0.065223	0.94228	0.88165	0.058792	0.086878	0.51676	0.075044	0.093424	0.15243	0.28526	0.067962	0.043117	0.049194	0.23883	0.0956	0.62267	0.63064	0.552	0.91683
Meth__cg05386606__BCL7B	0.073513	0.057979	0.12647	0.079604	0.90001	0.073158	0.10923	0.23711	0.18912	0.086885	0.097181	0.70922	0.13614	0.17822	0.16569	0.10718	0.10477	0.13994	0.047466	0.077874	0.084013	0.34322	0.041187	0.1029	0.060102	0.087626	0.42152	0.07418	0.085653	0.095214	0.04236	0.07364	0.16729	0.065382	0.038955	0.080201	0.054583	0.06608	0.096582	0.30592
Meth__cg08700306__LRP3	0.029822	0.34655	0.029985	0.038212	0.037435	0.038887	0.041216	0.82744	0.047049	0.28144	0.044869	0.89802	0.41217	0.048698	0.043019	0.40806	0.41259	0.054136	0.088368	0.10149	0.028419	0.13541	0.035374	0.52712	0.034702	0.13183	0.039621	0.043153	0.42666	0.39009	0.079143	0.42559	0.41659	0.046393	0.033679	0.054623	0.033749	0.03356	0.11499	0.033209
Meth__cg20931907__LOC340602	0.47844	0.17287	0.91524	0.52281	0.2503	0.927	0.57478	0.96729	0.56024	0.37128	0.87518	0.80924	0.093101	0.082047	0.41487	0.32491	0.084626	0.03864	0.65959	0.46881	0.5609	0.06594	0.85336	0.08117	0.17426	0.03031	0.27425	0.79872	0.037382	0.085845	0.64467	0.041988	0.018789	0.95779	0.94606	0.073337	0.78237	0.34536	0.54236	0.52764
Meth__cg17421623__C3orf9	0.046675	0.25988	0.79181	0.16974	0.035664	0.051555	0.098171	0.040892	0.10701	0.14128	0.029248	0.041112	0.12045	0.28578	0.072706	0.12944	0.051361	0.035977	0.069151	0.13808	0.087992	0.038673	0.23217	0.076021	0.32242	0.12019	0.040486	0.053115	0.07767	0.20803	0.03135	0.031522	0.051941	0.87504	0.03547	0.062239	0.67052	0.074472	0.13913	0.11036
Meth__cg25470175__FAM73A	0.054735	0.033932	0.058555	0.045226	0.03867	0.055829	0.086762	0.034171	0.044473	0.045886	0.053755	0.091779	0.45856	0.038784	0.045994	0.038922	0.047651	0.03698	0.051622	0.067721	0.052126	0.035526	0.049194	0.061928	0.062829	0.080756	0.043236	0.084099	0.046074	0.094937	0.038994	0.052013	0.051549	0.16068	0.041344	0.078811	0.058651	0.059663	0.079443	0.062307
Meth__cg04925864__FAM65A	0.018517	0.025853	0.22859	0.018856	0.58082	0.16837	0.88245	0.79408	0.90217	0.26551	0.36228	0.96547	0.93747	0.37196	0.67479	0.98704	0.4199	0.041338	0.52541	0.27541	0.33604	0.344	0.033123	0.26477	0.077762	0.024482	0.18583	0.93092	0.53519	0.08283	0.011331	0.087687	0.75272	0.59302	0.010581	0.062417	0.058798	0.021011	0.10536	0.019706
Meth__cg13240311__PKIG	0.058797	0.052784	0.046772	0.042959	0.40699	0.071806	0.075874	0.059549	0.065028	0.075363	0.040325	0.12939	0.12296	0.13403	0.069957	0.081684	0.084265	0.057272	0.053232	0.059887	0.10904	0.069565	0.036117	0.10231	0.060257	0.10377	0.068088	0.34177	0.046318	0.10145	0.04199	0.044025	0.068152	0.16873	0.64503	0.089793	0.055708	0.041861	0.08	0.041375
Meth__cg12063359__KCNK15	0.094141	0.95077	0.089799	0.023105	0.64883	0.044055	0.57069	0.66757	0.021351	0.028822	0.42341	0.015679	0.93124	0.034001	0.32069	0.96323	0.66535	0.13566	0.022651	0.066038	0.025434	0.63698	0.031726	0.61049	0.043522	0.039969	0.26909	0.77796	0.091084	0.5107	0.036454	0.070798	0.029544	0.087729	0.94903	0.081173	0.029645	0.026159	0.088225	0.035703
Meth__cg16929104__GDF15	0.073132	0.089252	0.24301	0.21201	0.71202	0.25029	0.80477	0.91744	0.67508	0.085135	0.34471	0.60129	0.12359	0.098706	0.63676	0.57834	0.66578	0.6374	0.087285	0.070468	0.13244	0.81036	0.065642	0.13605	0.23204	0.079916	0.79976	0.13956	0.75177	0.15338	0.092354	0.13364	0.060709	0.061211	0.060519	0.11661	0.085255	0.14252	0.10756	0.20913
Meth__cg01965939__SH3TC2	0.040268	0.024516	0.39859	0.72159	0.47551	0.89216	0.14468	0.024497	0.033206	0.04732	0.068854	0.051631	0.06844	0.42636	0.03969	0.044384	0.060916	0.02871	0.41806	0.70212	0.96067	0.11122	0.065623	0.039514	0.49716	0.12159	0.074317	0.90259	0.0206	0.045278	0.079597	0.026336	0.48786	0.080028	0.051171	0.53458	0.53531	0.56512	0.27736	0.67973
Meth__cg26855724__C1orf171	0.028563	0.021765	0.029035	0.054396	0.024402	0.048766	0.10923	0.030856	0.021976	0.034794	0.024905	0.039212	0.07028	0.017088	0.02345	0.022812	0.041541	0.026282	0.027916	0.027672	0.022006	0.034881	0.033248	0.031348	0.040722	0.033286	0.022523	0.058418	0.038135	0.047554	0.02271	0.022241	0.029755	0.050612	0.022799	0.20737	0.045179	0.042999	0.039246	0.040518
Meth__cg11879514__SLC16A6	0.064351	0.071244	0.097892	0.10182	0.1377	0.075519	0.78203	0.038267	0.099266	0.076362	0.10921	0.47283	0.55456	0.053415	0.12638	0.72931	0.15104	0.11491	0.042772	0.057016	0.08415	0.77128	0.081772	0.82357	0.064658	0.15651	0.22407	0.083727	0.074074	0.1153	0.097356	0.077519	0.10085	0.067491	0.098211	0.11185	0.085747	0.074879	0.11686	0.051785
