Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
SNP__LOC653403	-0.028	-0.113	-0.163	-0.475	-0.154	0.018	0.396	0.567	-0.012	-2.171	0.074	-2.458	-0.193	0.117	-2.246	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-0.151	0.06	0.314	-0.226	-1.972	-0.148	0.187	-0.163	-0.323	-0.327	-0.316	0.377	0.08
RS_G22203__AC068228.8__AC068228.8	1.211	3.9353	2.0361	0.41371	0	0.42214	0	1.0851	1.6436	1.8201	0	5.6945	3.5015	1.7286	1.8523	0.743	0	2.3202	0.24946	1.7006	1.2123	0	1.6003	0.68164	0	0.38692	0	1.1511	5.0313	1.583	0	0	0	0
RS_G5308__TNFSF10__TNFSF10	7.4598	3.8064	6.2377	6.7549	0.14673	2.2596	0.44806	0.89885	7.403	6.2489	1.8662	4.0073	5.596	7.5225	4.5777	5.9926	0.27813	10.8217	0	0.28181	2.6571	3.778	5.0998	5.7963	0	0	2.1075	8.5317	3.6864	7.5606	6.4195	4.4717	5.434	0.95845
SNP__LOC643473	-0.26	-0.178	-0.352	-0.211	-0.07	0.064	0.078	0.094	-0.251	-0.141	0.04	-0.124	-0.036	-0.541	-0.573	-0.094	0.287	-0.184	-6.439	-0.006	-0.191	-0.159	-0.186	0.211	-0.383	-0.676	0.188	-0.293	-0.07	-0.142	-0.139	-0.296	-0.159	0.024
SNP__ERBB2	0.376	1.965	1.862	0.242	-0.07	0.096	0.172	-0.316	2.135	-0.411	3.272	-0.144	-0.141	2.696	1.905	0.755	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	0.769	1.946	-0.191	-0.193	3.576	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__ZNF462	0.003	-0.163	0.13	0.149	0.209	0.064	0.184	0.094	-0.15	0.238	-0.022	-0.124	0.274	0.147	0.036	-0.126	0.146	-0.019	-0.088	-0.064	0.157	-0.147	0.207	-0.633	0.047	-0.211	0.161	-0.349	0.028	-0.176	0.297	-0.296	-0.055	0.024
SNP__C17orf37	0.376	1.965	1.862	0.242	-0.07	0.096	0.172	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	1.905	0.755	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	0.769	1.946	-0.191	-0.193	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__GRB7	0.376	1.965	1.862	0.242	-0.07	0.096	0.172	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	1.905	0.755	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	0.769	1.946	-0.191	-0.193	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
RS_G13235__KRT4__KRT4	9.3812	11.4788	3.7138	6.6081	0.19191	1.292	4.5089	0.67209	6.6696	4.7751	0.6186	9.2252	10.5856	8.4049	7.4345	5.9863	0.10105	10.3706	1.7151	4.2725	1.7253	0.82122	4.2504	1.1517	10.7577	0	1.1482	6.9112	3.9312	8.1608	5.2153	10.2398	4.5519	0.62627
RS_G9625__THRSP__THRSP	2.1278	4.3884	0.78214	4.4766	0	7.3255	0.86725	0.45662	3.8694	9.4885	0.66446	1.0359	0.82234	1.964	3.2841	0	0.56364	0	0	1.631	1.0951	0	0.55945	1.7591	2.4593	0	1.0012	5.8862	0	4.518	0	3.9093	6.3295	1.2806
RS_G14365__CST6__CST6	1.1735	4.8219	0	2.2528	1.1623	0.40458	2.5251	0	0	4.0306	1.7102	5.9733	9.605	6.3431	7.796	5.5347	1.3362	3.3225	1.0523	3.7167	0.69586	3.2657	1.6994	1.1045	3.1421	2.7763	7.589	6.5634	10.9573	2.5445	5.0406	8.5443	4.4201	0
SNP__FLJ20433	0.003	-0.163	0.153	0.184	0.228	0.458	0.184	0.104	1.253	0.274	0.007	-0.09	0.062	-2.744	-0.017	-2.514	0.146	-0.01	-0.088	-0.038	0.095	0.089	1.099	-1.534	0.047	-0.158	-0.198	-0.147	0.091	-0.054	0.292	-0.296	-0.066	0.024
RS_G5988__EVI2A__EVI2A	1.2756	0.13752	0.30944	0	7.1056	0.15699	0.24882	4.0118	0	1.0625	0	0	1.3617	1.032	0.28992	0	6.1551	0.48768	3.8192	0	0	6.7313	0.074104	0	0	1.1689	0.54354	0	0	0	0	0	0	0.40834
RS_G11127__OLFML2B__OLFML2B	0.42875	0.13423	0.23792	0.40981	5.7677	4.4756	3.339	9.4493	0.30186	0	1.2164	0.33768	1.2905	0.97504	0	1.9934	7.0512	2.5686	5.708	0.40258	0.28477	2.3956	0.30446	0.37271	0	5.2065	0.9963	0	0.51857	7.5456	0	0.44843	0.70319	0.30943
RS_G10899__PERLD1__PERLD1	7.7632	10.8788	10.843	8.1343	5.7015	7.023	5.4851	6.0545	11.6693	6.7597	1.9356	4.6347	4.808	11.5693	10.3273	7.3482	6.5941	7.0206	5.8111	6.5555	5.7895	5.3794	9.638	8.0489	10.3657	5.6013	6.5852	14.7454	6.0695	5.4877	7.267	11.6018	7.3184	6.7812
RS_G3929__WNT5B__WNT5B	0.17786	0.10307	1.1297	1.7302	8.87	0.74258	6.8221	4.4856	4.0543	1.1046	0	1.3045	5.6642	0	0.72298	6.0588	4.6812	7.2372	8.6155	3.7836	1.3629	6.5414	0.86647	0.68258	0	7.6602	1.0118	6.464	2.4135	0	0.36393	0.63445	0.77869	0.87589
RS_G10326__NMNAT2__NMNAT2	6.6	0.30207	0.5195	4.1564	2.4102	0.093162	5.2476	3.0218	2.6025	1.3761	1.4049	3.0914	4.7602	1.6212	0.17633	4.0426	0.32631	0.33832	4.3466	0.089314	0.54336	5.3772	2.181	0.62001	1.6548	1.5533	4.0954	0.10382	0.6965	1.1755	4.3552	4.8679	4.2739	1.8525
RS_G3858__SLC15A3__SLC15A3	0.89932	5.5094	2.8801	2.931	0	0.79011	0.38408	0.49219	2.0004	1.8214	7.3716	2.0224	5.7384	1.474	3.0271	0.94978	4.2055	4.9413	2.0345	1.8448	1.3939	1.4814	2.9525	1.4075	4.8346	0	1.9831	7.2615	3.555	1.3756	6.484	4.3499	2.4676	1.1282
RS_G21898__CARD16__CARD16	0.84619	1.2359	0	0	0	0	0	0	0	0.4364	1.243	4.3336	2.7053	4.9938	2.0011	3.3761	0	7.5705	1.1067	0	0	1.5332	0	0	3.0494	0	2.3581	5.1972	4.1815	3.8427	5.8372	0	0	0
RS_G4449__TP53I3__TP53I3	6.2147	5.1241	4.0524	3.1718	5.9533	5.2338	6.097	3.1749	5.1934	3.9811	5.0749	4.6901	5.846	6.3916	6.3165	7.5979	5.7409	4.9518	6.7277	5.8728	6.3196	7.1538	6.6031	7.0284	4.1156	6.9599	7.4397	1.4907	7.1911	5.3831	11.8603	5.2288	6.1034	5.2564
RS_G3173__SYNGR4__SYNGR4	2.0634	2.6928	1.8951	3.4784	1.779	1.4674	1.5507	1.0613	2.6119	1.7646	1.6931	0.38898	2.3656	1.0514	4.7824	1.7469	0.45738	2.2555	0.28469	4.6505	2.71	0	4.58	2.7149	4.2009	0.77481	4.693	3.7437	1.1459	10.265	2.5468	4.6716	1.0684	0.85816
RS_G3761__TRIM2__TRIM2	6.299	5.3394	2.5021	4.8596	4.3894	0	5.2157	0.7472	5.9345	6.6038	9.3226	4.0319	5.3512	6.6069	3.2392	5.0518	5.6753	6.4392	2.976	3.4948	2.0666	4.5953	2.8767	1.6906	5.532	2.6874	4.5541	6.3819	3.7754	6.1299	4.6767	2.2026	0.11351	0.11376
RS_G9301__LCN2__LCN2	7.9862	7.5065	0.2591	2.5214	1.0548	0	8.9465	1.2914	0.25542	3.2659	14.4056	5.866	10.9978	11.4171	4.9017	8.3978	0	12.1109	0	1.1701	0.24297	0.75668	1.4008	2.8619	10.1865	2.3419	9.8541	9.6157	9.1873	0.26478	4.6674	0.88603	6.7469	2.4633
RS_G10674__PIP__PIP	2.9964	1.7353	9.5819	4.291	0	0	0	0	6.2869	1.4841	0.66661	0	0	6.4468	10.9728	0	0	3.1539	2.713	0.71805	1.8507	0	4.4832	5.3906	6.4578	0	0	7.2874	0	3.8345	13.277	2.2284	6.4281	3.0258
RS_G14071__HOXB2__HOXB2	0	1.4939	0.61128	3.8831	6.8712	2.1445	0	0.49328	8.0832	0.41649	0.51773	5.0166	1.9303	6.6224	6.3175	0	4.6361	7.1941	3.1744	0.43886	1.9508	0	5.126	7.0143	0	1.9493	0	5.5557	5.4183	7.3697	8.5803	7.6631	1.4454	1.5406
RS_G28096__CRIP1__CRIP1	7.9844	4.1652	10.7307	13.429	1.4617	2.9972	3.1334	1.3965	13.7478	3.9517	9.5409	7.9296	1.0811	2.5807	9.3256	4.013	2.5551	10.3575	2.4509	6.32	4.123	0	11.4462	10.3518	3.7792	3.5393	12.4211	6.1301	12.4714	1.3665	11.503	12.5563	13.3168	13.0061
RS_G12878__KLK7__KLK7	0.43855	0	0.13593	1.9992	0.11677	0.12675	2.968	0	0.25641	2.2202	1.3488	2.5039	6.8763	5.6672	0.43133	5.4814	0	2.4911	0.14189	0.2323	0.1255	0.22201	0.12111	0.41216	0.30901	0.22455	0.24511	8.0034	11.1557	3.7048	0.50406	0.37498	2.2158	0.33096
RS_G16693__ZBTB7C__ZBTB7C	4.9082	2.1996	7.6395	5.8051	0	0.99374	5.0083	4.4477	6.063	5.4933	0	0	2.3605	3.7543	1.3337	0.27205	0.62879	6.1524	1.113	1.7838	0.14048	0.36556	7.5242	8.3673	3.3857	2.6545	2.9881	7.4648	1.5913	1.2642	2.1151	5.5966	5.5484	2.8967
RS_G8395__COL6A1__COL6A1	5.4602	5.1508	3.3975	4.7457	7.3394	3.4729	9.921	10.6743	1.6458	3.4276	8.8942	7.4773	8.2099	3.563	4.9196	4.938	10.6909	0.88895	13.8151	5.0202	3.678	7.6313	5.1513	0.86484	2.4509	9.1319	9.7023	7.0085	9.4911	5.3568	5.7383	6.3313	5.3044	5.3749
RS_G2940__PDGFRL__PDGFRL	2.6739	4.1099	2.9019	3.515	0	4.2179	3.9699	7.0584	1.7974	3.4083	3.6951	1.7797	1.169	2.143	3.6444	4.6062	1.2527	2.0745	4.794	4.7959	5.5508	3.2887	1.1575	0	0	1.1272	1.7769	1.2043	0	1.0353	0	4.3258	4.5822	3.1866
RS_G6523__AKAP12__AKAP12	0.48642	0.34772	0.16809	2.1495	5.5885	0.33163	6.7678	0.96527	0.96731	3.3321	2.3494	6.1267	4.1382	1.0678	0	2.8552	8.078	0	5.7452	2.4205	3.1946	8.2417	0.16066	0.07179	0	4.598	3.5179	0.14966	6.5708	0.9599	3.6759	1.7645	0.4458	0.6065
RS_G12622__ENTPD3__ENTPD3	4.2057	1.6276	2.4329	2.2836	0.094504	1.3137	2.4286	0.70161	2.6439	0.25413	0.3192	4.9483	0.97482	2.9286	4.3004	0.36104	0	5.8247	0	3.3313	1.5158	1.9706	0.86462	0.46191	1.6258	0.17393	0.98866	4.5946	0.52321	0.10292	2.4856	4.1525	0	0
RS_G7446__CHAD__CHAD	9.356	3.8247	3.9607	2.898	0	1.7746	2.929	2.0717	2.1301	4.5495	2.0501	1.1792	2.6454	1.5826	4.4551	2.2674	2.6437	2.0821	2.1187	1.1532	2.7951	0.5126	4.7572	3.6697	2.3716	2.1866	3.6972	2.9093	4.911	3.6098	1.5545	2.1255	1.7094	1.6429
RS_G8399__COL6A2__COL6A2	0.09725	1.2175	2.8781	5.7926	7.9295	1.5704	9.9917	10.7921	0.12627	1.3977	8.5995	6.9876	7.7184	3.3578	0	4.7661	10.2763	0.66729	13.2127	4.7809	5.0646	6.3192	4.4906	0.84685	0.54742	9.0792	8.6458	5.6524	9.1203	0.74141	3.3194	4.0451	2.3452	6.8501
RS_G3098__CASP14__CASP14	0.47819	2.8812	0.34768	2.4466	0	5.5281	0.86281	1.5601	1.3701	4.2897	0	0	7.3872	6.0441	0.9861	0	0	7.715	0	0.79253	0.57994	0	1.1322	4.9381	0	0	10.0896	5.401	8.6198	11.4304	0	0.41325	4.2526	0.44405
RS_G9624__KCTD14__KCTD14	1.3345	0	1.3939	0.15538	1.2875	0	1.4303	0.82766	0.44881	0.39689	4.2721	6.4763	4.9359	1.9413	0.53673	6.991	6.1103	3.674	4.8691	0.92268	1.2413	8.2157	0.66947	0	0	1.3039	0	0	0.7793	2.9725	2.6382	0	0	0.41275
RS_G9579__ITPR1__ITPR1	4.5134	4.3867	4.2731	5.8671	4.1573	6.2952	2.9145	5.4786	5.4467	4.5951	7.5681	2.6701	2.8093	3.9339	6.6045	2.283	4.1131	5.5363	2.787	3.532	4.8192	3.7143	5.7936	8.8582	4.6352	6.4763	4.8728	3.3534	2.5628	4.8514	4.6343	4.9267	4.8971	4.1731
SNP__LCE3B	-1.958	0.495	-0.129	-2.13	0.134	-1.961	-2.008	0.059	0.09	0.015	1.19	0.642	-0.503	-1.825	-2.024	-0.518	0.206	0.277	-0.064	-2.123	-1.955	-0.582	-0.172	-1.643	0.268	-0.255	-0.111	-2.222	-1.451	0.291	-1.976	-1.915	-2.744	-2.627
RS_G13448__KRT15__KRT15	5.6084	7.3499	6.7924	10.1044	1.6019	2.1401	8.8359	2.2532	11.4728	6.5404	9.0315	5.7168	10.5476	12.5316	4.4646	9.7623	1.8575	5.6722	2.3194	4.8297	3.9225	2.5715	3.421	2.6323	6.2237	2.157	5.7716	4.1064	6.2661	5.9218	8.0833	5.988	5.8624	6.6787
RS_G2195__SUSD2__SUSD2	9.5721	12.9805	4.5994	6.4995	0.77228	6.1627	4.8384	0.6937	7.5174	10.8044	1.7112	4.6173	6.3905	5.5285	10.1244	8.6238	3.3648	2.2529	5.9218	6.0348	5.1737	5.7008	10.4084	9.9673	12.6232	1.6938	8.6608	11.9002	6.8074	10.2734	4.6774	8.3618	3.7359	2.6465
RS_G11089__FAM102B__FAM102B	4.7681	4.3549	4.9539	5.1912	4.7079	6.5703	4.2957	4.4037	6.2818	5.6482	4.1809	3.3366	4.1433	5.0864	1.249	6.1751	6.3835	5.8081	3.9008	5.9013	9.6937	7.2909	4.2476	3.6212	5.8356	4.6297	3.0788	2.268	1.297	4.307	4.2755	2.9334	4.4104	4.2158
RS_G11572__GUCY1A3__GUCY1A3	2.1771	3.1726	6.4643	3.3749	2.7359	0	6.4477	4.1023	6.8828	0	3.6806	4.4499	2.4961	6.7048	5.4754	0.41764	2.2033	8.1568	0.45496	0.056954	2.1317	0	5.9314	6.7064	0	1.7081	3.0364	3.5309	1.891	0	0	1.1889	3.6042	3.0295
RS_G12887__ROR2__ROR2	0.99671	0	0	3.2452	0	6.8376	4.2998	2.7187	0	0.28529	1.6518	1.9581	3.8669	0.15018	0	2.2208	4.9915	0	2.6226	1.7196	0.43584	0	5.8797	6.4732	0	0.52239	7.9269	2.4446	1.6918	4.8317	6.1975	5.4064	5.0886	5.4198
RS_G4197__TBX18__TBX18	0	2.9032	0	0	6.7911	0	0	2.4184	0	0	5.9388	5.1825	0	5.7711	0	5.3067	0	4.4794	0	0	0	0	0	0	1.4806	6.5899	5.9947	0	4.2898	0	0	0	0	0
RS_G5427__SRGN__SRGN	0	0.86436	0	0	1.889	0	0	5.5557	0	0	0.63384	1.3082	1.2829	0.89407	0.3789	3.0125	6.0192	0	9.3304	0.3731	0	9.9268	0	0	0	2.0368	0	0	0.57078	3.6571	3.931	0	0.7318	0
SNP__FLJ36492	-1.369	-0.166	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	-0.411	-0.028	0.258	-1.046	0.725	-0.294	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.11	-0.212	0.549	-0.217	-1.546	-0.193	-1.583	-0.318	-0.144	-1.31	0.357	-0.431	-0.364
SNP__LOC391322	-0.028	-0.113	-0.163	-0.475	-0.154	0.018	0.396	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	-2.246	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-2.299	0.06	0.314	-0.226	-1.972	-0.148	0.187	-0.163	-2.165	-1.872	-0.316	0.377	0.08
RS_G9455__FEZ1__FEZ1	0.11989	0.25622	0.88065	0	0	0	2.4745	0.69568	0.86168	0.6851	2.2646	6.9104	4.3227	2.9029	0.89921	1.0831	3.6465	0.13447	2.796	4.9761	4.7184	0	0.33508	0	0	1.2689	0	0	0.42745	0	6.2858	0.66453	0.95527	1.079
RS_G6482__C1orf38__C1orf38	3.3974	4.2439	0.54942	4.0843	2.7127	1.5549	3.9616	3.7584	0.4539	1.7862	8.1282	2.2046	2.9444	2.8256	4.0857	3.0815	3.6422	7.8373	2.5597	3.6222	1.6665	3.1583	0.26791	1.2635	2.3138	5.525	5.0194	4.5227	5.1718	0.38634	0.78702	3.7809	0	0.26986
SNP__GSTT1	-0.028	-0.113	-0.163	-0.475	-0.154	0.018	0.396	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	-2.246	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-2.299	0.06	0.314	-0.226	-1.972	-0.148	0.187	-0.163	-2.165	-1.872	-0.316	0.377	0.08
SNP__LOC653399	-0.028	-0.113	-0.163	-0.475	-0.154	0.018	0.396	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	-2.246	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-2.299	0.06	0.314	-0.226	-1.972	-0.148	0.187	-0.163	-2.165	-1.872	-0.316	0.377	0.08
RS_G7338__SERPINE2__SERPINE2	2.3994	0.79327	3.83	2.2086	10.1196	0.18958	7.4411	11.5894	0.28363	0.46684	9.8235	6.7055	2.8475	7.0236	0	8.1647	6.4473	2.5456	9.5902	2.7962	1.3238	6.5495	4.3532	2.126	0	6.0111	6.9672	2.2537	5.6749	0	0.83906	1.3572	3.4753	1.5784
RS_G1423__FGFR1__FGFR1	2.6223	0.54709	6.777	7.0974	8.0925	6.9204	4.5239	7.3206	6.1057	6.3256	6.6419	3.1821	5.3519	4.853	3.7117	5.5053	9.0117	5.0448	7.8731	6.4148	5.8034	7.0505	8.0027	5.9527	3.107	8.9611	3.8054	6.8247	4.3479	7.1144	5.0337	7.5974	8.1537	7.5687
RS_G6138__BAIAP2L2__BAIAP2L2	1.8619	4.4149	0.13304	1.6299	6.1142	1.2764	0.91234	0.473	1.6039	1.7708	8.4277	5.8264	4.8764	0.79441	1.5262	0.62381	0.59391	3.215	2.7982	1.4413	0.90306	0	2.8525	3.8127	4.9919	2.553	4.3806	4.3333	1.6165	2.5815	3.6222	2.6405	2.9765	0.92168
RS_G28763__AC004510.1__AC004510.1	4.18	3.003	2.4121	1.6074	0	0.35542	3.6551	0.20787	4.8439	0.65083	1.3738	8.3064	10.732	8.894	0	2.8922	0.17524	8.3564	0.54728	1.6529	0.49128	3.2587	3.0726	0.58147	1.8833	0.59034	8.2401	1.6626	9.2063	1.1354	2.6933	4.6852	0	0.48286
RS_G8410__EMP3__EMP3	2.911	2.2536	0	5.4885	10.665	3.4648	8.5826	10.5314	2.4683	3.5154	2.9505	6.6359	7.2148	2.5904	2.7206	3.8705	10.036	5.246	12.2115	4.767	4.5667	11.253	3.255	3.7386	1.1597	11.5916	9.0071	4.185	8.949	4.0601	3.8818	2.6646	3.7137	1.0148
SNP__SIRPB1	-0.723	-0.75	2.227	0.526	0.315	0.09	0.894	1.953	1.354	-1.052	0.597	-0.126	-1.977	0.541	-0.649	-0.347	1.928	1.238	-0.928	-0.394	-0.577	-0.66	-0.878	2.051	0.42	-0.216	-0.546	1.423	0.043	-0.677	0.056	-0.282	-3.013	-2.989
RS_G8983__ODZ2__ODZ2	0.46196	0.21261	4.1691	1.3937	9.125	1.6831	0.51807	1.6057	1.8836	1.7042	0.025184	1.9378	4.7939	0.52982	0	2.6967	1.4508	0.84724	4.5337	0.10886	0.056207	0.89421	3.1193	0.47793	0.449	0	4.3607	1.9389	1.3205	0	5.1209	0.92925	3.252	0.48681
RS_G7989__DUSP6__DUSP6	8.8722	4.0294	7.901	5.3174	4.5415	2.485	2.9877	4.2907	6.9751	2.6098	2.9926	7.9465	5.446	7.6316	5.4248	5.0696	3.6727	3.2063	5.8845	3.6147	2.6403	9.3471	8.318	7.6548	3.7186	5.1116	4.5967	11.2812	8.0483	12.5025	3.7899	5.6693	2.4317	1.0603
SNP__LOC442117	0.015	-0.202	-0.174	-1.788	-0.878	0.066	-0.432	-2.15	-1.141	-0.466	-0.032	-1.806	0.124	0.783	-1.455	-1.049	-0.029	-0.254	-0.291	0.035	-0.206	-1.562	0.116	-0.052	-0.234	-1.502	-2.091	-1.975	-0.008	-1.681	-0.307	-0.324	-0.04	0.033
SNP__POU6F2	0.01	0.649	0.468	0.372	-2.998	0.082	-0.437	0.098	0.154	0.256	-0.078	-0.094	0.092	0.559	0.657	-0.399	-0.026	0.566	0.253	0.141	-0.291	0.104	0.17	-0.085	0.578	0.431	-0.201	-1.934	-2.616	0.126	0.315	0.335	0.558	0.36
RS_G1470__BPIL1__BPIL1	9.0019	2.3379	6.5411	4.0732	0.67379	1.6678	0	0	5.0973	0.35871	0.2413	0	0.21207	2.5818	3.5613	0	0	0.62709	0.42834	0.26293	0.58624	0	4.738	4.0067	2.2751	0	0	7.9807	0	10.7986	0.76241	4.7405	1.2949	0.37323
RS_G3953__GPRC5D__GPRC5D	2.6057	2.7512	2.6011	3.2717	0	2.0069	2.0219	4.3231	3.6325	3.1167	1.9299	4.4397	1.2847	1.6856	0	0	0	2.1575	3.41	1.8971	2.534	2.7768	3.0597	3.4671	2.661	0	0	2.8574	3.3235	3.671	0	2.5264	0	0.34313
RS_G21704__CXorf61__CXorf61	0	0	0	0	0	0	6.7283	6.8917	0	0	0	5.3053	5.6279	8.1888	0	7.9773	6.7528	7.9893	4.7743	0	0	6.4157	0.23646	0	0	0	0	0	0	0	0	0	0	0
RS_G7026__NGF__NGF	0	0	0	0.44039	8.2263	0	1.5055	5.462	0	0	0	5.0698	3.456	0.41902	0	7.7309	6.0518	0	7.9757	1.5749	0	4.6169	0	0	0	4.7581	0.80466	3.4721	3.6174	0	0	0	0	0
SNP__LOC252968	-1.369	-0.166	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.11	-0.212	0.549	-0.217	-1.546	-0.193	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
RS_G5550__INHA__INHA	2.803	4.8975	2.2334	4.1783	3.3355	2.7597	0.72731	1.7803	2.3328	2.9138	4.8991	0.72573	2.4269	4.5893	3.0781	4.3798	0.93674	3.1222	0.68198	5.5781	5.2467	0	5.8881	4.6199	5.7173	4.7246	9.0315	3.2059	5.2734	8.0172	4.0025	1.9518	4.4776	1.5657
RS_G8221__CDH11__CDH11	0.79052	0.19957	1.1551	0	8.6171	1.5558	5.8768	8.8783	0.1995	0.15665	0.46098	2.9491	6.0302	4.7511	1.4071	2.1427	5.2153	0.78652	7.7193	0	0.078446	7.6977	0.12672	0	0	6.0073	0.74857	1.9015	0	0	0	0.55314	0.40122	0
RS_G9369__ADAM12__ADAM12	0.37678	0.38403	0.24804	0.42494	8.3315	0.049067	5.2786	9.4472	0.32772	0.19292	0	3.2172	3.5568	1.5722	0.34247	5.4117	9.4437	3.6546	8.4025	0.09372	0.095561	1.2518	0.04683	0	0	8.5985	2.6669	0	2.3223	0	0.767	0.51386	0.25878	0.42998
SNP__LOC654346	-1.369	-0.166	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.11	-0.212	0.549	-0.217	-1.546	-0.193	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
RS_G14379__SCUBE2__SCUBE2	3.7581	0.4963	3.3351	10.5351	1.9673	0.99746	0	0.85629	3.3606	10.4571	0.40431	0.41231	0.91397	0.51741	0.26615	0.27683	1.1985	0.064969	0.99204	3.0784	6.7906	0.068117	5.2172	0	0.5589	0.25173	0.14379	0.65985	0.21735	0.15444	8.5777	7.7732	6.1636	2.3288
SNP__LOC147158	-1.369	-0.166	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.11	-0.212	0.549	-0.217	-1.546	-0.193	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
RS_G8036__ITGB7__ITGB7	2.8381	3.0819	1.1466	2.1593	0.68558	1.0459	1.566	1.2253	2.9661	2.2489	2.0587	1.0802	2.7707	2.6655	1.8513	0.71429	1.6216	2.2171	0.30674	3.9679	2.3043	0.258	2.0046	0.91278	1.8192	2.9868	1.7663	2.7812	2.6722	1.5759	3.646	2.6657	0.84553	0.26265
SNP__LOC201288	-1.369	-0.166	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.11	-0.212	0.549	-0.217	-1.546	-0.193	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__LCE3C	-1.958	0.495	-0.129	-2.13	-1.861	-1.961	-2.008	0.059	0.09	0.015	1.19	0.642	-1.693	-1.825	-2.024	-0.518	0.206	0.277	-0.064	-2.123	-1.955	-0.582	-0.172	-1.643	0.268	-0.255	-0.111	-2.222	-1.451	-2.241	-1.976	-1.915	-2.744	-2.627
RS_G12909__PCSK9__PCSK9	0.224	0.24897	2.5636	0	0	0.14829	0.234	0.43977	0.35935	0.85135	0.25092	6.1286	5.334	0	0.27453	1.6052	0.38632	9.485	1.4526	0	0.074324	0	1.2053	0	0.63762	0	10.6319	5.9443	8.6141	0.36774	0	1.6384	0.20373	0.20416
SNP__LOC220594	-1.369	-0.166	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.11	-0.212	0.549	-0.217	-1.546	-0.193	-1.583	-0.318	-0.144	0.247	0.42133	-0.431	-0.364
RS_G7392__SCEL__SCEL	7.4589	0.19101	0.23274	0.90402	0	0	1.0418	0.11996	0.22106	0	0	2.4506	4.643	5.5403	0.70496	4.4201	0	2.1167	0	0	0	3.143	0.15304	0.65658	1.2372	0	2.3295	5.9209	4.6049	0.43201	0.24223	1.9148	0	0
SNP__FAM106A	-1.369	-0.166	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.11	-0.212	0.549	-0.217	-1.546	-0.193	-1.583	-0.318	-0.144	0.247	0.357	-0.431	-0.364
RS_G16005__AC132938.1__AC132938.1	3.3968	7.0684	3.238	3.177	1.1178	3.9758	3.6169	3.755	2.6302	3.0794	0.23316	1.5437	0.9469	1.9486	2.0463	2.4857	1.3451	0	0.74679	4.6038	4.1822	0.95226	4.3185	3.5446	4.409	2.2798	1.0105	1.4261	1.6071	1.2745	4.283	2.2745	9.0349	10.1017
RS_G6333__CBFA2T3__CBFA2T3	1.8336	0	5.3611	7.1927	0	5.2837	1.1064	0	0.54497	5.7199	0	0.42865	0.090715	0	0	0.23609	0.50007	0	0	9.1725	6.5271	0	6.2349	0	0	0	0.1218	5.1483	2.368	0	7.6543	6.4261	6.7696	6.3594
