Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751
Meth__cg10493166__PTGS1	0.10139	0.077079	0.9177	0.91433	0.46191	0.40471	0.86684	0.43806	0.87159	0.14597	0.32525	0.72182	0.37002	0.79912	0.22207	0.1744	0.70457	0.11018	0.21985	0.073798	0.80707	0.86226	0.8947	0.73014	0.10879	0.19746	0.65941	0.15295	0.75927	0.13616	0.078075	0.049326	0.080817	0.64502	0.11296	0.72536	0.081468	0.77488
Meth__cg13806135__PCDH17	0.033424	0.036054	0.4535	0.080189	0.032428	0.29761	0.060217	0.13023	0.96264	0.03063	0.067048	0.65687	0.63994	0.20484	0.031012	0.041542	0.040586	0.030605	0.080158	0.024362	0.45475	0.60762	0.95149	0.060962	0.39573	0.18285	0.053523	0.069385	0.073861	0.088825	0.61843	0.033961	0.044979	0.034439	0.020646	0.46249	0.079665	0.58134
Meth__cg15009813__TNFSF12	0.079967	0.4597	0.93734	0.73464	0.61806	0.82562	0.68262	0.12445	0.9075	0.1114	0.11495	0.75463	0.18342	0.81221	0.49024	0.13602	0.75319	0.074007	0.08395	0.048985	0.90015	0.9043	0.49276	0.88452	0.60234	0.10773	0.21099	0.089701	0.30854	0.38032	0.062595	0.54457	0.083368	0.72379	0.11169	0.89393	0.3275	0.35155
Meth__cg17886959__MT2A	0.11177	0.051136	0.057708	0.27656	0.59693	0.047626	0.085836	0.12429	0.081914	0.77971	0.073035	0.33	0.52761	0.09749	0.10271	0.63722	0.10135	0.075953	0.11021	0.090058	0.28624	0.24139	0.37606	0.10855	0.28906	0.091348	0.24716	0.1121	0.11554	0.078559	0.066028	0.065172	0.068837	0.14441	0.029835	0.08256	0.11927	0.14978
Meth__cg17827767__LRRC21	0.62183	0.17726	0.838	0.94227	0.8664	0.077655	0.63996	0.091385	0.83861	0.58386	0.17983	0.91993	0.31077	0.12921	0.027831	0.4265	0.52902	0.9078	0.082295	0.03775	0.66707	0.75731	0.504	0.061509	0.94794	0.064497	0.32436	0.047016	0.41783	0.094905	0.32277	0.05735	0.042791	0.52179	0.045438	0.13488	0.044926	0.33146
Meth__cg06812844__TRPM2	0.085813	0.042062	0.9471	0.8969	0.67133	0.36274	0.19353	0.21494	0.86407	0.062407	0.91971	0.58295	0.64529	0.66667	0.046568	0.047086	0.52956	0.50677	0.21672	0.045547	0.047483	0.05077	0.77645	0.5101	0.82492	0.13783	0.63134	0.086588	0.11569	0.073354	0.253	0.056106	0.077585	0.57151	0.10511	0.49514	0.12346	0.58717
Meth__cg01753595__COL5A1	0.039197	0.27693	0.12662	0.9083	0.59986	0.038977	0.073454	0.042436	0.63196	0.030202	0.33635	0.5571	0.56991	0.62044	0.069062	0.03851	0.45844	0.030729	0.16277	0.036916	0.42615	0.37879	0.23721	0.04894	0.43696	0.11277	0.54127	0.14463	0.52592	0.18589	0.0471	0.039679	0.046397	0.033323	0.29843	0.77359	0.060614	0.73849
Meth__cg09022808__GAL3ST1	0.60383	0.073743	0.87626	0.8694	0.54576	0.12929	0.49182	0.59254	0.93312	0.11901	0.3581	0.21571	0.81284	0.74854	0.070677	0.078487	0.33611	0.75651	0.11084	0.042775	0.61612	0.62323	0.88594	0.71326	0.8527	0.12827	0.36105	0.06549	0.19813	0.11678	0.55692	0.42261	0.086492	0.45644	0.071664	0.19094	0.1268	0.19396
Meth__cg10857774__DMPK	0.024035	0.034976	0.07379	0.26771	0.50702	0.11874	0.36504	0.1442	0.89216	0.20703	0.39762	0.39984	0.22398	0.059949	0.046164	0.15794	0.031695	0.042956	0.2566	0.015187	0.53814	0.76638	0.93884	0.1563	0.69299	0.12081	0.61607	0.058297	0.37861	0.10137	0.50122	0.44638	0.75812	0.079901	0.057382	0.021555	0.1229	0.29784
Meth__cg12952132__NCR1	0.052609	0.033208	0.64541	0.38983	0.13091	0.22842	0.054686	0.085735	0.24178	0.022109	0.039311	0.33939	0.51397	0.22127	0.020852	0.025371	0.10841	0.1601	0.041288	0.025133	0.58809	0.63894	0.06623	0.17211	0.66864	0.076923	0.048514	0.083799	0.1135	0.043223	0.077584	0.037484	0.032488	0.030006	0.030772	0.35332	0.34265	0.24214
Meth__cg10801213__SLC7A3	0.32946	0.01362	0.58487	0.88977	0.48952	0.55393	0.85983	0.10015	0.92535	0.49838	0.77307	0.40021	0.10289	0.58087	0.28654	0.42226	0.25694	0.047514	0.040841	0.034477	0.44551	0.83402	0.029422	0.096578	0.94387	0.088526	0.73964	0.020505	0.21773	0.090292	0.038684	0.022675	0.029746	0.83157	0.021526	0.026809	0.12644	0.46814
Meth__cg18191162__KIF6	0.058178	0.048068	0.50248	0.04475	0.048388	0.31756	0.061117	0.046282	0.045522	0.053775	0.056646	0.058522	0.040651	0.075498	0.057448	0.054035	0.053002	0.048323	0.14192	0.18564	0.044743	0.055741	0.056519	0.050986	0.046677	0.19411	0.042388	0.08802	0.091578	0.12539	0.048837	0.23667	0.14933	0.053645	0.053357	0.050542	0.070555	0.054062
Meth__cg07456645__C19orf30	0.037705	0.028759	0.047092	0.043547	0.022241	0.48	0.20855	0.41302	0.69052	0.051145	0.039363	0.04928	0.12664	0.1236	0.030758	0.048146	0.031721	0.37453	0.039702	0.30199	0.073931	0.26233	0.026167	0.030099	0.06829	0.4842	0.070148	0.099443	0.53058	0.039581	0.032064	0.29123	0.036913	0.73681	0.030781	0.037713	0.063112	0.031694
Meth__cg26141626__GPR37	0.069955	0.074232	0.071011	0.069868	0.069555	0.61884	0.070005	0.039943	0.073705	0.064394	0.084154	0.077871	0.066516	0.48326	0.063283	0.074726	0.067755	0.098354	0.079782	0.066261	0.06307	0.068803	0.065086	0.098071	0.07417	0.12615	0.058821	0.10636	0.12758	0.1105	0.076705	0.081172	0.091526	0.073667	0.074465	0.070149	0.072218	0.067687
Meth__cg22424108__SLC44A3	0.027992	0.026884	0.034863	0.054957	0.043779	0.87132	0.024015	0.81206	0.041468	0.056901	0.040126	0.040268	0.021799	0.068895	0.023976	0.062251	0.022944	0.098704	0.035124	0.34532	0.10025	0.15934	0.090439	0.34555	0.051852	0.12178	0.039782	0.0355	0.086523	0.031706	0.02202	0.24842	0.15661	0.12346	0.028737	0.045021	0.089041	0.044877
Meth__cg03752885__DAPK3	0.31684	0.18018	0.11941	0.1828	0.23016	0.092403	0.15304	0.15545	0.12903	0.79441	0.5557	0.43812	0.76245	0.30489	0.88106	0.63549	0.20223	0.07884	0.13225	0.08197	0.35891	0.1451	0.88377	0.18026	0.53009	0.12034	0.30614	0.16601	0.40683	0.14466	0.13532	0.15381	0.13524	0.095045	0.18212	0.1874	0.31985	0.16899
Meth__cg12164282__PXDN	0.033207	0.046064	0.60609	0.3242	0.035923	0.052728	0.95826	0.086214	0.052586	0.43905	0.033855	0.98032	0.084798	0.043843	0.028681	0.34267	0.97095	0.035614	0.043387	0.029765	0.12223	0.047652	0.24873	0.035864	0.03535	0.058999	0.054987	0.03331	0.92111	0.058146	0.18982	0.022964	0.20999	0.020494	0.030807	0.82865	0.079412	0.047517
Meth__cg03552103__SEPT10	0.19324	0.84035	0.5695	0.5877	0.075817	0.91321	0.036643	0.031637	0.14472	0.97211	0.052188	0.31619	0.4356	0.20264	0.87319	0.86063	0.88896	0.045623	0.086957	0.79919	0.92565	0.43812	0.058484	0.40225	0.95679	0.06967	0.19362	0.060767	0.93609	0.59974	0.96732	0.030502	0.10248	0.017169	0.03119	0.025976	0.11514	0.82763
Meth__cg01242619__PLEC1	0.071044	0.061516	0.070769	0.069439	0.084677	0.67605	0.063481	0.32622	0.11441	0.054454	0.091508	0.059834	0.45772	0.27211	0.057477	0.08028	0.071249	0.10347	0.09815	0.25432	0.066725	0.081414	0.059935	0.8717	0.088765	0.092243	0.081241	0.12029	0.10837	0.097254	0.094879	0.072633	0.8337	0.12354	0.09608	0.052639	0.050233	0.064944
Meth__cg19391527__PNOC	0.14887	0.048461	0.60205	0.73781	0.35488	0.035851	0.19948	0.21746	0.89399	0.39724	0.443	0.1034	0.45685	0.56831	0.06161	0.26554	0.22403	0.11284	0.19048	0.033827	0.26792	0.19855	0.60304	0.31237	0.88826	0.11577	0.16356	0.076018	0.11121	0.082147	0.045763	0.049613	0.045843	0.2461	0.11617	0.10822	0.1407	0.07463
Meth__cg24256211__SAMD4A	0.25445	0.32127	0.060854	0.76729	0.68995	0.038066	0.75559	0.048156	0.082467	0.16908	0.33409	0.22815	0.31118	0.27128	0.18784	0.12834	0.082049	0.021355	0.14011	0.040153	0.54842	0.35634	0.91081	0.20628	0.83815	0.081409	0.67088	0.1095	0.50788	0.25002	0.05856	0.034255	0.073037	0.75977	0.1694	0.03643	0.082951	0.66461
Meth__cg24633648__MTAC2D1	0.075676	0.040389	0.085463	0.06376	0.11797	0.69412	0.094272	0.48834	0.04142	0.090659	0.083461	0.1257	0.070099	0.11696	0.053223	0.071391	0.045589	0.35537	0.16957	0.31406	0.047444	0.066361	0.05045	0.066437	0.060225	0.73002	0.066655	0.073284	0.10824	0.072547	0.07286	0.055271	0.084043	0.033137	0.063783	0.08184	0.11519	0.06952
Meth__cg22560190__CNTN1	0.13093	0.10139	0.21051	0.12359	0.068631	0.11946	0.077728	0.12531	0.15539	0.13151	0.13084	0.09204	0.14048	0.38911	0.090613	0.1052	0.10486	0.17531	0.19923	0.092685	0.09398	0.1931	0.10216	0.12119	0.080095	0.14471	0.093209	0.14008	0.76132	0.13304	0.081326	0.075839	0.093137	0.095781	0.082327	0.25394	0.094539	0.11544
Meth__cg10688991__DLX3	0.026993	0.026488	0.02806	0.024819	0.021609	0.95074	0.0288	0.056347	0.032941	0.025792	0.02183	0.038336	0.028624	0.47622	0.019492	0.023509	0.042142	0.025973	0.059933	0.051161	0.02258	0.029232	0.025887	0.051397	0.019522	0.69906	0.024289	0.054361	0.13357	0.080332	0.030852	0.02895	0.058727	0.026255	0.023094	0.041929	0.093033	0.023467
Meth__cg11784785__SLC6A5	0.12135	0.042445	0.075417	0.55237	0.16432	0.082744	0.27229	0.16997	0.74339	0.073328	0.063939	0.27194	0.23303	0.17547	0.042355	0.096323	0.24838	0.072869	0.11032	0.054137	0.13782	0.12033	0.49009	0.068613	0.60206	0.11908	0.070268	0.091982	0.23579	0.10913	0.053044	0.059605	0.044543	0.10332	0.061963	0.18932	0.13626	0.13866
Meth__cg10689889__MAF	0.029713	0.044304	0.022257	0.029423	0.039799	0.60228	0.031847	0.038999	0.017065	0.028865	0.02536	0.04113	0.020381	0.04794	0.020911	0.03131	0.038083	0.20417	0.06753	0.026528	0.020209	0.025743	0.03243	0.027904	0.021392	0.75018	0.026459	0.079661	0.053983	0.091042	0.022786	0.024861	0.021598	0.037439	0.021315	0.035293	0.030034	0.031595
Meth__cg26976437__LY6K	0.92	0.36664	0.51035	0.94032	0.92656	0.049234	0.91669	0.098425	0.071885	0.058947	0.6243	0.94053	0.3568	0.13629	0.95468	0.49273	0.27238	0.047109	0.38557	0.037731	0.95662	0.92655	0.71817	0.040696	0.87358	0.10805	0.90331	0.42161	0.88879	0.28287	0.094598	0.046038	0.061018	0.91234	0.028568	0.91782	0.76721	0.90714
Meth__cg06297145__NFXL1	0.060312	0.065239	0.064789	0.062356	0.040842	0.34523	0.063467	0.28239	0.31602	0.057896	0.070435	0.0688	0.040503	0.1336	0.046714	0.060489	0.069778	0.053358	0.12335	0.098599	0.029313	0.068873	0.13496	0.065849	0.078824	0.15411	0.057537	0.096957	0.15414	0.090646	0.072449	0.084064	0.25811	0.11832	0.039501	0.087537	0.15296	0.052094
Meth__cg02260587__PCDHB2	0.86158	0.028977	0.63079	0.92344	0.026623	0.03984	0.34554	0.56534	0.8833	0.16324	0.048265	0.41957	0.05205	0.26046	0.028875	0.16348	0.88652	0.04831	0.1143	0.040189	0.85057	0.64029	0.48143	0.92672	0.3794	0.37807	0.052346	0.089894	0.36292	0.15313	0.91871	0.8079	0.074459	0.032759	0.032062	0.067242	0.12396	0.61074
Meth__cg02539714__RHOF	0.033574	0.038694	0.045167	0.10318	0.02663	0.83032	0.046729	0.27177	0.06388	0.031309	0.046225	0.062536	0.16067	0.26686	0.018485	0.043011	0.044148	0.044608	0.14741	0.08556	0.021948	0.057145	0.036565	0.098538	0.028192	0.048289	0.051538	0.064918	0.21437	0.062076	0.051358	0.092478	0.053001	0.084006	0.035925	0.082353	0.042546	0.04342
Meth__cg21912567__GADD45G	0.046526	0.055281	0.051401	0.04759	0.052642	0.87335	0.055904	0.49044	0.052709	0.043783	0.041176	0.045158	0.038445	0.083601	0.038842	0.049683	0.45331	0.064269	0.091856	0.084758	0.036602	0.049243	0.046455	0.054868	0.043304	0.35421	0.050838	0.092088	0.087449	0.066041	0.048335	0.049884	0.05513	0.049538	0.041598	0.053386	0.073784	0.04809
Meth__cg07173760__CLC	0.85294	0.074468	0.8818	0.86159	0.72466	0.16355	0.55666	0.14047	0.8167	0.069154	0.80985	0.75884	0.38393	0.65886	0.10291	0.095068	0.57006	0.49753	0.13051	0.080074	0.52379	0.47237	0.8362	0.16694	0.77631	0.21042	0.26306	0.16993	0.20637	0.19648	0.084687	0.090962	0.073798	0.60811	0.068363	0.63343	0.20498	0.50033
Meth__cg17740645__GRB7	0.026383	0.020314	0.02887	0.024664	0.016207	0.96282	0.017445	0.95961	0.021405	0.022197	0.031168	0.015845	0.021025	0.029935	0.011674	0.031476	0.022543	0.65322	0.037018	0.20297	0.021618	0.025644	0.021321	0.95615	0.020539	0.14106	0.018997	0.040881	0.043819	0.032267	0.91443	0.015787	0.28615	0.019383	0.30652	0.018701	0.027146	0.023099
Meth__cg14696870__FCER1A	0.84932	0.072295	0.06972	0.1631	0.051587	0.7764	0.067189	0.21569	0.78719	0.56573	0.094385	0.1002	0.12744	0.85993	0.038524	0.46174	0.45032	0.24562	0.1354	0.093127	0.062659	0.10563	0.28295	0.082968	0.18425	0.82945	0.086669	0.11971	0.11298	0.088255	0.05049	0.82795	0.87364	0.29976	0.066452	0.0984	0.12665	0.19617
Meth__cg19836808__S100A7	0.1007	0.029239	0.30429	0.48766	0.15662	0.024322	0.056017	0.073963	0.12422	0.041285	0.045372	0.036956	0.30175	0.20595	0.017286	0.062784	0.058962	0.052161	0.038943	0.023663	0.15252	0.14406	0.64004	0.025433	0.60467	0.044653	0.036059	0.03812	0.056404	0.085762	0.071793	0.026687	0.022527	0.1777	0.030231	0.10463	0.075774	0.062023
Meth__cg01185754__F3	0.13763	0.084697	0.16109	0.66306	0.70022	0.88707	0.43159	0.21116	0.08016	0.1121	0.20571	0.73879	0.2167	0.17438	0.065599	0.11876	0.13725	0.7185	0.11169	0.20426	0.49436	0.16822	0.78821	0.14667	0.68692	0.086464	0.25931	0.19481	0.33261	0.094415	0.88698	0.050779	0.088737	0.11309	0.064761	0.12051	0.25415	0.4359
Meth__cg12559031__DLX4	0.063804	0.047144	0.090403	0.073393	0.029821	0.47001	0.062107	0.022318	0.046201	0.038886	0.048759	0.10037	0.028062	0.051139	0.034672	0.045365	0.041007	0.23701	0.094423	0.10007	0.033401	0.069077	0.057592	0.078345	0.035906	0.089583	0.047465	0.071265	0.40484	0.069851	0.088846	0.30669	0.065146	0.036178	0.035619	0.36688	0.026596	0.039526
Meth__cg11700584__RPL36AL	0.05321	0.042894	0.095842	0.45248	0.032659	0.048744	0.064331	0.10347	0.058884	0.050125	0.04513	0.079348	0.075345	0.050955	0.047175	0.040512	0.047698	0.023077	0.10137	0.057708	0.038071	0.04033	0.069317	0.0678	0.84651	0.043915	0.078739	0.054889	0.079451	0.055195	0.050412	0.033083	0.043494	0.043724	0.037407	0.040256	0.057924	0.057408
Meth__cg02115041__NPBWR1	0.65467	0.035659	0.90894	0.79099	0.20496	0.27125	0.63816	0.58513	0.9424	0.052427	0.52272	0.69559	0.27728	0.91743	0.25411	0.066097	0.57853	0.052839	0.21991	0.049932	0.30918	0.50383	0.34728	0.22493	0.93072	0.31197	0.43667	0.071429	0.38733	0.065115	0.078641	0.093887	0.11354	0.039123	0.054063	0.25483	0.16893	0.80995
Meth__cg10981541__FAM57A	0.060126	0.55295	0.09662	0.36413	0.27348	0.070353	0.15834	0.087438	0.085296	0.051105	0.49372	0.070695	0.081517	0.13524	0.16576	0.1592	0.075785	0.053462	0.10117	0.062562	0.081615	0.072357	0.4798	0.085074	0.42742	0.086747	0.30372	0.10165	0.13714	0.17388	0.061224	0.061899	0.058605	0.16103	0.12763	0.057661	0.14745	0.25613
Meth__cg01284619__HCN2	0.30017	0.048357	0.18249	0.19783	0.065139	0.39067	0.045976	0.20503	0.030622	0.036318	0.036095	0.10012	0.13306	0.64599	0.037053	0.03639	0.07208	0.2863	0.12604	0.081077	0.075137	0.075927	0.12211	0.62411	0.025182	0.46125	0.054039	0.10778	0.36696	0.056931	0.031285	0.076365	0.051942	0.12019	0.047445	0.059081	0.03752	0.044953
Meth__cg20263942__GOLPH2	0.17298	0.82379	0.18843	0.91158	0.96369	0.05548	0.91388	0.2109	0.92801	0.098964	0.94152	0.093004	0.24312	0.57451	0.48656	0.14754	0.49864	0.053325	0.13725	0.14807	0.94318	0.82786	0.96151	0.24898	0.63618	0.11799	0.52055	0.19375	0.88356	0.85451	0.07463	0.055348	0.19986	0.62526	0.12041	0.63096	0.2149	0.67723
Meth__cg12717668__ZNF655	0.088573	0.075512	0.94802	0.57779	0.40265	0.094721	0.13359	0.19891	0.13159	0.062314	0.088358	0.92786	0.51195	0.81142	0.14825	0.11078	0.71995	0.10372	0.21737	0.060683	0.49527	0.27842	0.10281	0.082798	0.12808	0.13749	0.1634	0.11968	0.15393	0.13806	0.074739	0.066075	0.061272	0.055426	0.10802	0.66091	0.13894	0.11736
Meth__cg01971122__CALCA	0.47155	0.060275	0.90724	0.667	0.16415	0.6995	0.83724	0.1488	0.55545	0.056835	0.093716	0.73723	0.83021	0.41755	0.18373	0.063949	0.45121	0.47097	0.12958	0.060933	0.8078	0.79652	0.20715	0.12815	0.31532	0.41123	0.29982	0.11355	0.49019	0.104	0.78429	0.059228	0.069397	0.18441	0.060087	0.50622	0.28663	0.15464
Meth__cg03192551__CGI-69	0.20659	0.37818	0.10054	0.94186	0.91837	0.067224	0.79715	0.62138	0.037424	0.64133	0.93083	0.048387	0.49776	0.5771	0.93743	0.59144	0.6476	0.08292	0.27532	0.062931	0.82364	0.60592	0.92657	0.45696	0.12414	0.059511	0.7956	0.23197	0.10326	0.45726	0.033137	0.033867	0.76488	0.032031	0.027568	0.030667	0.88373	0.033806
Meth__cg09794131__HYDIN	0.116	0.092054	0.099669	0.24589	0.050194	0.92142	0.065412	0.63106	0.28455	0.085303	0.07447	0.10829	0.072438	0.59535	0.054172	0.068121	0.1011	0.33993	0.18347	0.10238	0.6104	0.64636	0.089767	0.098285	0.056294	0.68803	0.059311	0.21676	0.14505	0.1557	0.067819	0.26211	0.060692	0.068044	0.057655	0.077992	0.11854	0.070819
Meth__cg02257681__DDAH2	0.039145	0.035318	0.041101	0.02537	0.033954	0.038042	0.027436	0.03746	0.031442	0.021468	0.037218	0.052859	0.062824	0.59966	0.016409	0.039181	0.032771	0.04227	0.067267	0.025251	0.031014	0.040102	0.037691	0.03843	0.027677	0.11014	0.035806	0.056073	0.070446	0.096863	0.022942	0.12564	0.61389	0.037888	0.70889	0.03585	0.10724	0.052493
Meth__cg17925542__IDH2	0.051405	0.03767	0.09939	0.044125	0.034412	0.48989	0.051442	0.30638	0.10616	0.05074	0.031579	0.074811	0.060327	0.17516	0.039205	0.029297	0.24193	0.083802	0.10188	0.46357	0.030233	0.066522	0.23444	0.045341	0.029161	0.65163	0.037749	0.094133	0.10479	0.04765	0.039095	0.25348	0.040781	0.33063	0.032346	0.028984	0.064945	0.029402
Meth__cg11884546__ITGAX	0.33788	0.039255	0.13262	0.60775	0.1173	0.55925	0.12878	0.089109	0.81854	0.096012	0.12123	0.3943	0.19131	0.15608	0.034941	0.0698	0.20822	0.23529	0.047021	0.038861	0.11363	0.1206	0.47438	0.25663	0.53069	0.081432	0.18442	0.038944	0.11976	0.074236	0.094502	0.042346	0.063283	0.17305	0.044634	0.1723	0.087889	0.17559
Meth__cg15543551__FGF12	0.042556	0.032827	0.93846	0.03568	0.024211	0.80817	0.047353	0.81799	0.59041	0.84859	0.039156	0.23597	0.12136	0.47012	0.44134	0.65286	0.056471	0.84445	0.14796	0.10961	0.023939	0.037556	0.032461	0.53503	0.034926	0.88503	0.042761	0.09441	0.73666	0.044367	0.053389	0.051071	0.309	0.048827	0.77399	0.20572	0.038284	0.036846
Meth__cg03014628__RAB3C	0.041238	0.02854	0.046986	0.033542	0.025297	0.22147	0.042643	0.019455	0.025303	0.03021	0.032234	0.046915	0.032312	0.08247	0.024909	0.039425	0.030679	0.146	0.070138	0.30167	0.10481	0.042811	0.031489	0.031064	0.022456	0.61791	0.033528	0.049596	0.4739	0.049632	0.030153	0.028317	0.50714	0.02496	0.060744	0.038964	0.04266	0.030086
Meth__cg14837411__RAD51C	0.03087	0.032961	0.035428	0.026811	0.025823	0.23956	0.029644	0.048274	0.021394	0.031974	0.029882	0.037441	0.033509	0.067725	0.022565	0.038464	0.03876	0.030284	0.082845	0.029864	0.17693	0.18928	0.043105	0.027162	0.022419	0.03758	0.023911	0.10136	0.087779	0.071963	0.028663	0.092895	0.042934	0.036041	0.034933	0.02335	0.048903	0.032841
Meth__cg22882178__PITX3	0.93999	0.039592	0.91915	0.93756	0.94541	0.6381	0.93518	0.36805	0.36045	0.041657	0.041114	0.9171	0.12286	0.60512	0.56962	0.03963	0.12069	0.024645	0.16614	0.065977	0.39538	0.05482	0.5138	0.066348	0.93862	0.82543	0.93211	0.076838	0.86115	0.077211	0.041776	0.49913	0.045681	0.15314	0.082571	0.43038	0.92746	0.91867
Meth__cg02507952__KIAA0125	0.63886	0.080032	0.33759	0.70503	0.69509	0.11923	0.17117	0.15019	0.25507	0.059451	0.074279	0.39967	0.20645	0.64624	0.070393	0.056456	0.24231	0.34611	0.12016	0.049909	0.46177	0.48666	0.83549	0.19833	0.47998	0.10053	0.30011	0.10059	0.24944	0.11334	0.34403	0.17053	0.096692	0.056236	0.063452	0.43671	0.12198	0.21871
Meth__cg22646710__SYT6	0.35685	0.025895	0.93872	0.2348	0.086194	0.722	0.4456	0.13025	0.62091	0.16279	0.0487	0.89584	0.43409	0.81578	0.023516	0.13374	0.26948	0.028066	0.027169	0.016965	0.51917	0.51611	0.41293	0.29071	0.65065	0.33453	0.83311	0.06524	0.71496	0.036982	0.025341	0.02568	0.022342	0.033202	0.024602	0.32982	0.49432	0.72412
Meth__cg16026550__SORL1	0.056447	0.039578	0.053877	0.0436	0.038748	0.6791	0.05928	0.056194	0.054116	0.067544	0.048257	0.097678	0.035748	0.10044	0.032884	0.04903	0.038391	0.072768	0.11437	0.15953	0.055568	0.055496	0.052177	0.41061	0.039467	0.42793	0.051901	0.059507	0.12305	0.092417	0.05781	0.076376	0.0872	0.045197	0.040025	0.038439	0.073201	0.054403
Meth__cg15119375__MGC3020	0.036957	0.027698	0.040492	0.042861	0.03489	0.046274	0.039919	0.046392	0.034098	0.042823	0.042497	0.039421	0.028613	0.66101	0.018916	0.14162	0.037189	0.027048	0.12	0.094654	0.031215	0.043769	0.066629	0.041051	0.027622	0.075104	0.039839	0.092071	0.20235	0.065804	0.031618	0.03989	0.041102	0.64006	0.021432	0.90423	0.13487	0.038226
Meth__cg15916061__SLC17A4	0.93751	0.040364	0.94685	0.79654	0.61731	0.046051	0.65625	0.038835	0.9271	0.61079	0.063713	0.32011	0.96488	0.59154	0.058907	0.54641	0.38316	0.86038	0.047103	0.028122	0.15792	0.29984	0.91708	0.076727	0.9574	0.105	0.14114	0.048554	0.079029	0.15706	0.038541	0.80307	0.040784	0.66554	0.028986	0.34599	0.12568	0.55076
Meth__cg14592099__PCDHB13	0.42486	0.031692	0.65369	0.83858	0.024439	0.41555	0.3397	0.31398	0.8628	0.82236	0.06088	0.52474	0.22947	0.43908	0.71543	0.42554	0.44084	0.094061	0.12519	0.076299	0.053853	0.3699	0.68808	0.76535	0.60188	0.077865	0.45489	0.053525	0.3187	0.099615	0.098111	0.33522	0.0875	0.53507	0.038273	0.10903	0.073681	0.18653
Meth__cg17630833__MAPT	0.016128	0.024048	0.027378	0.017788	0.011843	0.86947	0.015044	0.059034	0.043182	0.020528	0.017006	0.015371	0.015745	0.027818	0.01664	0.015329	0.012094	0.075585	0.04172	0.012734	0.024731	0.016908	0.020742	0.023733	0.011503	0.29907	0.024433	0.035302	0.052491	0.048322	0.014899	0.025135	0.020797	0.011881	0.017136	0.018549	0.041336	0.015987
Meth__cg13904968__PCK1	0.22638	0.029321	0.84031	0.77681	0.30093	0.22964	0.11873	0.33837	0.91737	0.17542	0.27324	0.7301	0.79833	0.73655	0.04978	0.12029	0.6354	0.83553	0.080703	0.053446	0.71984	0.52464	0.4173	0.65725	0.46327	0.24246	0.069437	0.1143	0.10702	0.052067	0.40072	0.046142	0.077045	0.39179	0.045305	0.59085	0.18162	0.37982
Meth__cg08159444__PNMA5	0.10401	0.084835	0.80373	0.79764	0.49079	0.089533	0.35319	0.15571	0.8699	0.82829	0.62976	0.2479	0.69585	0.67884	0.030903	0.63722	0.31986	0.73281	0.14108	0.055721	0.6638	0.53828	0.26706	0.13323	0.47047	0.15356	0.16386	0.052681	0.13471	0.251	0.21964	0.039111	0.045927	0.67663	0.12766	0.17077	0.18889	0.15713
Meth__cg09102409__NDRG1	0.21242	0.12436	0.38708	0.10188	0.075975	0.82728	0.14087	0.2293	0.054133	0.14847	0.13908	0.0875	0.17034	0.23559	0.11747	0.095835	0.13938	0.2861	0.18287	0.082765	0.11706	0.12193	0.20087	0.098994	0.13217	0.15957	0.10859	0.18	0.10966	0.11735	0.15925	0.1154	0.12343	0.63288	0.076594	0.22054	0.16837	0.14148
Meth__cg23751724__C20orf133	0.056922	0.018299	0.043397	0.021794	0.016134	0.057186	0.020019	0.045475	0.01558	0.012029	0.026751	0.03648	0.020375	0.12546	0.013994	0.018587	0.018727	0.023218	0.072817	0.016123	0.015828	0.033901	0.026653	0.01858	0.023593	0.43454	0.028673	0.044622	0.035291	0.026982	0.024428	0.024476	0.06197	0.016296	0.023876	0.018709	0.028334	0.023192
Meth__cg20925954__DUSP5	0.070591	0.14261	0.13991	0.633	0.16983	0.13337	0.18065	0.78086	0.091765	0.187	0.095948	0.25026	0.29051	0.1479	0.13712	0.17749	0.27704	0.061916	0.1178	0.077907	0.58436	0.46291	0.06593	0.20205	0.49531	0.15634	0.60291	0.12587	0.19316	0.20076	0.37091	0.082863	0.059622	0.66502	0.071157	0.074029	0.3258	0.067735
Meth__cg25681177__GAPDHS	0.86922	0.035781	0.60927	0.7624	0.67321	0.073626	0.66002	0.19562	0.54981	0.022437	0.75298	0.25316	0.59743	0.50738	0.55088	0.026871	0.46011	0.39201	0.055809	0.020322	0.7453	0.36131	0.93176	0.56633	0.45383	0.44287	0.67222	0.041747	0.38954	0.052058	0.045291	0.088317	0.050538	0.69349	0.18733	0.3732	0.092973	0.38612
