Cell lines	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM52PE	UACC812	ZR751	ZR75B
Meth__cg16334840__SCLY	0.017957	0.34493	0.016813	0.019653	0.019679	0.073446	0.024559	0.020597	0.051597	0.035704	0.014351	0.017212	0.03224	0.019944	0.02425	0.034741	0.023586	0.052225	0.063488	0.030496	0.043595	0.02477	0.021694	0.014534	0.022355	0.022583	0.022414
Meth__cg08107272__CTNNA2	0.047308	0.40159	0.041752	0.49207	0.43675	0.52498	0.12963	0.38024	0.48299	0.29404	0.052393	0.13497	0.24028	0.044889	0.45546	0.19227	0.049555	0.35129	0.83975	0.087866	0.11197	0.12112	0.052735	0.046157	0.39715	0.054625	0.056488
RS_G21704__CXorf61__CXorf61	0	0	0	0	0	6.7283	0	0	8.1888	0	7.9773	6.7528	7.9893	4.7743	0	0	0	3.4023	6.4157	0.23646	0	0	0	0	0	0	0
Meth__cg02554564__NTF3	0.13306	0.45789	0.030129	0.29365	0.22149	0.88813	0.10313	0.88825	0.43216	0.059474	0.75293	0.20701	0.11296	0.068594	0.28302	0.4673	0.059883	0.18376	0.48228	0.31434	0.38038	0.15286	0.039154	0.1424	0.097781	0.17776	0.1406
RS_G11102__GFI1__GFI1	0.70051	0.50763	0.76649	0.1702	0.33559	3.5668	2.4133	0.98299	3.765	0.46497	1.5354	1.2021	6.8254	1.0088	2.8421	2.4123	0.33864	3.6925	0.67616	1.2161	0	0.58898	0.30683	0.27475	0.42066	2.0723	3.9364
Meth__cg26717786__FLJ44861	0.17057	0.12935	0.038215	0.035858	0.18186	0.20069	0.043108	0.37572	0.77518	0.045447	0.44779	0.052985	0.12743	0.044455	0.10875	0.16476	0.040646	0.049965	0.37934	0.087889	0.26006	0.1015	0.03978	0.052663	0.042889	0.06075	0.049158
Meth__cg04084157__VGF	0.055263	0.089861	0.042585	0.044898	0.080985	0.048595	0.062039	0.10372	0.19397	0.12265	0.046732	0.059562	0.23951	0.87165	0.04824	0.096779	0.059002	0.11056	0.88487	0.082092	0.88941	0.0756	0.043426	0.067304	0.063261	0.050518	0.050005
Meth__cg00919857__TMOD2	0.030195	0.60409	0.22345	0.49913	0.52865	0.14805	0.29855	0.23152	0.56462	0.080006	0.039389	0.080084	0.40152	0.32155	0.57504	0.57071	0.36624	0.21726	0.50643	0.444	0.42091	0.059834	0.027097	0.19682	0.033382	0.23966	0.23131
Meth__cg00468146__ID4	0.091625	0.10912	0.048574	0.14526	0.42955	0.14252	0.15301	0.13898	0.09629	0.30099	0.053969	0.087453	0.080972	0.56694	0.39763	0.41309	0.10785	0.29694	0.32127	0.062174	0.68686	0.10402	0.055763	0.044445	0.069941	0.058496	0.059412
Meth__cg05886367__BTNL9	0.027898	0.1664	0.098304	0.072992	0.21574	0.75986	0.17441	0.38361	0.17297	0.038737	0.24938	0.36861	0.095584	0.056392	0.38277	0.30725	0.047922	0.20294	0.12779	0.26517	0.1115	0.043724	0.0396	0.23143	0.15121	0.11538	0.14855
Meth__cg15948326__C11orf45	0.015478	0.016524	0.019576	0.64771	0.019323	0.013055	0.01767	0.017257	0.034362	0.01485	0.015058	0.023631	0.023281	0.062886	0.019133	0.021716	0.026802	0.018942	0.50529	0.018879	0.059541	0.026897	0.039816	0.8196	0.020673	0.02459	0.10596
RS_G17307__KRT14__KRT14	1.1678	1.781	1.2666	2.595	1.5424	12.9384	3.3626	2.6226	2.5079	0.55228	9.1398	0	7.7913	12.0549	2.3875	0.29759	0.44893	10.8776	0.91201	0.29051	5.7017	0.54968	0	0.71452	1.1256	0.41714	0.5899
Meth__cg09441152__PQLC1	0.16024	0.11591	0.04213	0.046882	0.063189	0.41019	0.25134	0.059142	0.31427	0.074494	0.11387	0.12675	0.080542	0.053522	0.19749	0.47201	0.053412	0.062399	0.56516	0.065917	0.11418	0.064336	0.036657	0.11963	0.056541	0.040995	0.045957
Meth__cg15195276__EDG2	0.026998	0.035059	0.014316	0.016842	0.019948	0.59013	0.37838	0.059415	0.15192	0.095556	0.084856	0.016264	0.060981	0.022201	0.37451	0.044615	0.018834	0.022491	0.071086	0.023086	0.095133	0.026921	0.030634	0.027691	0.035666	0.028196	0.044298
Meth__cg22443330__KIAA1018	0.075801	0.17445	0.096182	0.10713	0.14815	0.58581	0.14222	0.12661	0.19462	0.086074	0.24454	0.70141	0.2029	0.10426	0.15674	0.31798	0.13315	0.11659	0.55452	0.20316	0.29203	0.11289	0.099088	0.082564	0.11957	0.075152	0.099894
Meth__cg07294734__ATP5D	0.062744	0.65452	0.33985	0.47602	0.35203	0.52306	0.4823	0.053881	0.37613	0.51554	0.38461	0.39457	0.19442	0.10782	0.25399	0.1248	0.33472	0.48042	0.62498	0.86034	0.13993	0.21108	0.052287	0.071283	0.1175	0.22131	0.072789
Meth__cg09479015__KIRREL2	0.071672	0.9636	0.81224	0.031431	0.95752	0.93964	0.95909	0.0617	0.9347	0.22125	0.25654	0.064565	0.18923	0.19374	0.95825	0.95868	0.050253	0.28474	0.87813	0.91586	0.92419	0.15898	0.053487	0.73594	0.45598	0.59731	0.92828
Meth__cg09772154__FGFR2	0.052388	0.098032	0.050643	0.060641	0.073059	0.054132	0.060474	0.071123	0.50657	0.74175	0.077251	0.080112	0.12443	0.497	0.8306	0.61321	0.09033	0.034067	0.91249	0.05893	0.078138	0.10166	0.041212	0.015353	0.049771	0.033754	0.081591
Meth__cg15696781__MSTO1	0.013874	0.089612	0.038603	0.016819	0.053156	0.020981	0.14531	0.05876	0.096177	0.022001	0.013564	0.30197	0.21203	0.0092396	0.2166	0.082147	0.018717	0.48154	0.35542	0.40944	0.055942	0.011924	0.012379	0.017584	0.050104	0.034557	0.047637
Meth__cg25011395__CNTROB	0.039344	0.68558	0.080987	0.080343	0.74778	0.37847	0.45812	0.053134	0.094578	0.25182	0.12471	0.14142	0.55589	0.43692	0.062362	0.081381	0.073631	0.17022	0.16517	0.37836	0.4474	0.08216	0.034559	0.051896	0.60673	0.075056	0.053749
Meth__cg10887021__PCDHB2	0.082121	0.90936	0.064935	0.064721	0.36651	0.70043	0.092952	0.51425	0.19434	0.065021	0.88396	0.067827	0.14608	0.097206	0.80335	0.40337	0.55965	0.46516	0.11835	0.098481	0.51543	0.077164	0.65543	0.077309	0.090652	0.12471	0.086715
Meth__cg12572939__F8A1	0.58986	0.032967	0.57961	0.1566	0.019597	0.49438	0.62693	0.017065	0.53662	0.21939	0.64719	0.61824	0.58881	0.34106	0.013214	0.018026	0.66692	0.60635	0.045799	0.10367	0.56403	0.037116	0.65246	0.55307	0.65766	0.6313	0.33406
RS_G12975__IL8__IL8	0	0.28144	1.3546	5.0009	0.48587	5.3182	0	4.1919	5.781	0.47263	6.7404	4.9168	3.9488	7.2819	0.81189	0.25768	0.38226	0.39364	6.1665	0.83746	0	0	0.44358	0.7175	0	0	0
RS_G11321__IGFBP7__IGFBP7	0.20472	0.64677	0.22802	4.9569	0.60953	10.1072	0.96387	5.4059	0.71009	1.6	9.7724	4.1764	5.9428	11.5239	1.4949	0.22795	0	0.6282	9.8327	0.10584	0.93944	0	0.70873	0	3.9518	0.57635	0
Meth__cg12238343__RLN3R1	0.01538	0.72838	0.14761	0.07689	0.92635	0.92105	0.078211	0.89511	0.89144	0.15622	0.047601	0.028474	0.07899	0.2964	0.8457	0.77787	0.89693	0.24965	0.83527	0.65984	0.59539	0.024673	0.05385	0.22411	0.036575	0.67792	0.79764
Meth__cg08558873__ZNF214	0.013859	0.19296	0.018913	0.45861	0.058932	0.48442	0.018878	0.33448	0.53777	0.25653	0.025684	0.014812	0.30624	0.017775	0.70088	0.73614	0.015463	0.014986	0.082498	0.080416	0.029144	0.027794	0.23505	0.020051	0.030331	0.02492	0.020849
Meth__cg04466253__ACBD5	0.022479	0.03411	0.016693	0.022516	0.026894	0.039624	0.029449	0.04432	0.06678	0.17774	0.025396	0.01975	0.051738	0.02099	0.02418	0.030793	0.022916	0.023253	0.038086	0.035417	0.05027	0.047569	0.020797	0.026253	0.031249	0.024654	0.024483
Meth__cg05879334__ACAT2	0.019475	0.031157	0.018188	0.018307	0.034961	0.038803	0.036594	0.028059	0.06597	0.019397	0.026606	0.017173	0.055615	0.021814	0.022566	0.031549	0.022654	0.03387	0.037615	0.26906	0.52768	0.083118	0.017608	0.02062	0.026414	0.027012	0.021986
Meth__cg04683240__HLX1	0.021614	0.04166	0.019313	0.038197	0.73655	0.29582	0.066514	0.027207	0.068583	0.029631	0.043798	0.025771	0.06718	0.030909	0.41685	0.492	0.039769	0.021544	0.80357	0.042211	0.047359	0.039211	0.02512	0.49069	0.056402	0.024625	0.02705
Meth__cg27420123__FSHB	0.046391	0.18074	0.072032	0.10625	0.28062	0.33875	0.49003	0.21939	0.085838	0.65105	0.30356	0.056456	0.12506	0.069784	0.071902	0.060864	0.15558	0.26389	0.13556	0.1516	0.084207	0.082905	0.57119	0.057132	0.071709	0.089321	0.056729
Meth__cg09405612__GLI3	0.0161	0.025546	0.030979	0.026733	0.043004	0.056904	0.037476	0.051442	0.056563	0.016283	0.078192	0.027012	0.0441	0.036503	0.035829	0.060066	0.038588	0.026135	0.049297	0.048784	0.055344	0.039741	0.026781	0.025962	0.021201	0.030932	0.036272
Meth__cg25835225__ZNF350	0.037851	0.27918	0.044683	0.039393	0.47201	0.72492	0.053637	0.51122	0.12212	0.031436	0.061556	0.041973	0.13967	0.045053	0.31721	0.051018	0.046079	0.039259	0.37993	0.048816	0.090435	0.10088	0.038861	0.053371	0.053288	0.05161	0.042721
Meth__cg04589904__ADRB1	0.93216	0.068982	0.49876	0.35488	0.43703	0.043949	0.43806	0.059447	0.67706	0.049374	0.9377	0.69009	0.22478	0.069116	0.57448	0.54736	0.62066	0.065403	0.11979	0.055497	0.9044	0.82007	0.075616	0.85841	0.0695	0.17425	0.64277
Meth__cg03812067__SERINC3	0.021863	0.042129	0.021922	0.027933	0.024698	0.71854	0.026737	0.034085	0.041119	0.018079	0.023793	0.020374	0.030071	0.017518	0.024659	0.02807	0.024627	0.028846	0.042479	0.030945	0.0495	0.022579	0.025236	0.018179	0.023979	0.021955	0.02348
RS_G4436__CCL20__CCL20	0	0	0	0.92801	0.95898	0.82603	0	9.1032	0.51556	0	6.5061	0.53131	1.0229	0.60805	0	0	0	0.45769	0.90037	0	0	0	0	0	0	0	0
Meth__cg21449843__MANBAL	0.012847	0.09375	0.024229	0.017744	0.033883	0.01641	0.033322	0.014601	0.43082	0.077562	0.040071	0.017441	0.10748	0.28321	0.032449	0.039516	0.030992	0.034418	0.06508	0.028254	0.056682	0.022923	0.023313	0.037196	0.027529	0.032644	0.036923
Meth__cg23239828__SEC6L1	0.087903	0.14009	0.053035	0.32962	0.24076	0.17508	0.11233	0.19712	0.29876	0.23805	0.09931	0.31525	0.187	0.32336	0.082257	0.094343	0.086167	0.18862	0.47802	0.088345	0.12592	0.076335	0.049498	0.13102	0.093285	0.058868	0.052157
Meth__cg08700306__LRP3	0.34655	0.029985	0.038212	0.037435	0.038887	0.82744	0.28144	0.044869	0.41217	0.048698	0.40806	0.027445	0.41259	0.054136	0.088368	0.10149	0.028419	0.035374	0.52712	0.034702	0.043153	0.39009	0.079143	0.033679	0.033749	0.03356	0.033209
Meth__cg18964732__TMCO1	0.049654	0.93385	0.045444	0.051022	0.30667	0.07031	0.095639	0.87795	0.11572	0.076495	0.089128	0.066604	0.11722	0.077335	0.084483	0.094875	0.12437	0.068935	0.13479	0.101	0.15754	0.15251	0.046913	0.068457	0.077343	0.084453	0.045012
Meth__cg25456959__ASB12	0.08723	0.19534	0.11709	0.12259	0.38251	0.5606	0.10734	0.66447	0.12532	0.21758	0.33044	0.3191	0.27728	0.17775	0.23532	0.21251	0.11591	0.091853	0.24105	0.15867	0.1513	0.23349	0.10499	0.15369	0.10063	0.17351	0.18332
Meth__cg15808558__EPHA4	0.031696	0.060263	0.036372	0.037056	0.048675	0.061572	0.051822	0.089797	0.10289	0.039958	0.04954	0.04006	0.095316	0.041488	0.08273	0.051626	0.056025	0.061351	0.089243	0.052437	0.088525	0.090615	0.052314	0.032779	0.049665	0.04099	0.039896
RS_G5788__IL1B__IL1B	0.15613	0.3529	0	0	0	0.51627	0.44092	0.75842	1.8106	0	3.1962	2.2418	2.2872	1.4549	0.80447	0.16985	0.17979	0	2.9735	0	1.1158	0	0	0	0	0	0
Meth__cg08687958__PDZD8	0.020409	0.066069	0.024557	0.048241	0.042946	0.036602	0.031961	0.17673	0.12021	0.03359	0.20754	0.027309	0.046271	0.041102	0.095533	0.065859	0.038118	0.035141	0.11493	0.030785	0.067623	0.049078	0.025241	0.044845	0.027249	0.035199	0.032631
Meth__cg24240626__REG3A	0.11021	0.6327	0.094627	0.11195	0.29053	0.082653	0.15416	0.30719	0.1205	0.20923	0.12567	0.089424	0.23463	0.15432	0.13777	0.15522	0.13664	0.13421	0.17277	0.1312	0.16123	0.17876	0.097488	0.094775	0.13929	0.11816	0.14025
Meth__cg23548479__CDKN1C	0.043658	0.14917	0.041503	0.6786	0.55551	0.05901	0.046651	0.51951	0.19699	0.048208	0.049054	0.049649	0.10759	0.35438	0.86438	0.6635	0.076381	0.34119	0.26951	0.070897	0.12508	0.078551	0.043645	0.043608	0.049974	0.049163	0.051621
Meth__cg13794888__RNUT1	0.070883	0.6934	0.30232	0.049213	0.074253	0.098152	0.069888	0.073051	0.6326	0.56246	0.062086	0.060068	0.11336	0.059598	0.61962	0.64267	0.14425	0.054646	0.14743	0.62673	0.086771	0.071663	0.052397	0.053678	0.43058	0.056595	0.058736
Meth__cg26853640__GGN	0.045238	0.88227	0.099892	0.029386	0.55095	0.17892	0.52446	0.74268	0.70525	0.93008	0.075195	0.070948	0.057026	0.02613	0.38054	0.73454	0.036562	0.046268	0.070947	0.38102	0.32458	0.08601	0.13012	0.68469	0.056524	0.036745	0.036526
Meth__cg11503011__EBF	0.12608	0.52755	0.11872	0.11646	0.13705	0.70878	0.18503	0.1433	0.17091	0.13838	0.28647	0.19811	0.19726	0.23043	0.20634	0.31805	0.17156	0.15144	0.56351	0.38205	0.69204	0.22551	0.083273	0.11326	0.19887	0.14967	0.11487
Meth__cg20166532__EDG1	0.059168	0.1478	0.57552	0.056678	0.87288	0.91116	0.63674	0.3702	0.70214	0.37579	0.65042	0.047442	0.15215	0.46839	0.66689	0.85237	0.73482	0.89128	0.77479	0.81224	0.82819	0.11004	0.077375	0.47955	0.56245	0.61782	0.43341
RS_G19300__APCDD1L__APCDD1L	0.73015	0.34728	0.1681	0.31255	0.46148	3.8937	1.19	0	0	0.56885	1.4309	3.6234	2.4928	8.2577	0	0.57933	0.32832	2.602	1.7279	0.46267	0	0	0	0	0.21913	0	0.34479
Meth__cg13905388__CDCA4	0.077292	0.11657	0.061063	0.10533	0.12832	0.74455	0.099053	0.12982	0.12244	0.071729	0.13941	0.08441	0.13153	0.12389	0.075459	0.1006	0.11992	0.086317	0.15595	0.1056	0.1117	0.095718	0.11265	0.06315	0.11334	0.093197	0.11071
Meth__cg18219951__GABRG2	0.060276	0.37071	0.085969	0.07614	0.11421	0.19981	0.084848	0.68721	0.17578	0.076949	0.15073	0.098958	0.1468	0.095361	0.071571	0.10273	0.11866	0.20169	0.11689	0.088433	0.20181	0.077028	0.057186	0.069846	0.088407	0.11147	0.097542
Meth__cg08554462__BCL2	0.073747	0.070793	0.044266	0.058769	0.059458	0.077097	0.070253	0.090657	0.17626	0.35218	0.079239	0.054292	0.11103	0.035566	0.09622	0.096034	0.048317	0.067386	0.24582	0.095792	0.10487	0.139	0.059037	0.052687	0.086595	0.04209	0.054102
RS_G835__GNA15__GNA15	0.21489	0.37624	0	0.43131	0	2.4189	0.32327	0.21659	2.9916	0.43841	0.54819	0.52322	5.7739	0.77707	1.0429	0	1.56	6.699	7.4091	1.7814	0.4093	0	0.58613	0	0.16463	0	0.4793
Meth__cg14751914__SMAD7	0.098322	0.09491	0.067495	0.093116	0.11597	0.086595	0.13853	0.10086	0.32427	0.45144	0.098813	0.050336	0.23043	0.075779	0.069323	0.12053	0.098639	0.12163	0.15724	0.12512	0.12142	0.23139	0.058167	0.095265	0.098485	0.073814	0.076112
Meth__cg02237119__WBSCR27	0.098979	0.29833	0.11318	0.65562	0.20857	0.061874	0.13405	0.11677	0.38777	0.069247	0.11975	0.067718	0.074277	0.17208	0.4447	0.37427	0.13395	0.12214	0.14058	0.25371	0.086967	0.17078	0.043724	0.061316	0.089165	0.059934	0.060017
Meth__cg00410921__CKMT1B	0.10101	0.87546	0.31869	0.62827	0.55819	0.58514	0.65872	0.77707	0.72887	0.80315	0.84118	0.42691	0.061608	0.049283	0.75865	0.8718	0.46385	0.137	0.50721	0.79296	0.88056	0.4105	0.14437	0.04754	0.13863	0.093878	0.057959
Meth__cg02755525__NETO2	0.045455	0.039326	0.023219	0.025823	0.97071	0.030038	0.037931	0.047465	0.14172	0.020418	0.43742	0.026377	0.11332	0.01865	0.041971	0.056156	0.0269	0.97544	0.92225	0.042056	0.10043	0.047677	0.027044	0.022044	0.037761	0.030265	0.031315
Meth__cg01116966__TCF7	0.021816	0.056336	0.023155	0.62987	0.28248	0.038427	0.034332	0.1675	0.12615	0.027278	0.034669	0.018378	0.035643	0.029488	0.25765	0.02535	0.054086	0.29196	0.070231	0.028737	0.83891	0.016935	0.032791	0.014548	0.018027	0.025386	0.022346
Meth__cg05428978__CDCA7	0.019869	0.023501	0.020492	0.023202	0.035263	0.033876	0.028696	0.026232	0.043221	0.043565	0.025461	0.022094	0.050775	0.030898	0.63199	0.41873	0.022228	0.026814	0.055343	0.21545	0.040179	0.042627	0.022606	0.01697	0.035491	0.4236	0.032318
Meth__cg09874752__SFRP5	0.042928	0.65626	0.045226	0.51225	0.81316	0.2371	0.11061	0.63952	0.89858	0.054809	0.53221	0.055901	0.082062	0.037566	0.94747	0.95539	0.12495	0.47688	0.91906	0.60734	0.91788	0.088973	0.040454	0.27297	0.048482	0.55043	0.076095
Meth__cg22016571__MASK	0.068156	0.081676	0.22406	0.65527	0.079625	0.37541	0.23908	0.067849	0.12377	0.50668	0.46744	0.6021	0.199	0.065604	0.047431	0.066739	0.57214	0.58545	0.10653	0.070677	0.4376	0.13866	0.657	0.38281	0.61628	0.15374	0.084751
Meth__cg19311812__TAF7	0.028592	0.035277	0.027192	0.028151	0.032768	0.032478	0.03327	0.52789	0.10728	0.057748	0.031485	0.029828	0.05303	0.028793	0.029241	0.038917	0.023864	0.030347	0.069184	0.043671	0.060776	0.045921	0.029757	0.026359	0.043036	0.030678	0.034758
Meth__cg14155397__MAP2K1	0.10931	0.1188	0.12907	0.087287	0.15272	0.11472	0.31177	0.15773	0.17995	0.10117	0.091616	0.097158	0.14968	0.073953	0.40952	0.17973	0.19473	0.049798	0.21249	0.28972	0.13247	0.13423	0.035628	0.043958	0.07379	0.059137	0.10914
Meth__cg03116740__TSPAN4	0.054164	0.35727	0.23486	0.067196	0.1216	0.75145	0.79234	0.19238	0.48034	0.9293	0.29067	0.8141	0.34996	0.083568	0.54717	0.26178	0.76212	0.92022	0.10642	0.19002	0.08901	0.13661	0.053814	0.031339	0.46743	0.087192	0.07744
Meth__cg11378484__NIF3L1BP1	0.030943	0.047147	0.066801	0.20017	0.23285	0.039545	0.085252	0.11566	0.14909	0.018928	0.075277	0.039674	0.09896	0.30682	0.16304	0.21977	0.12493	0.37555	0.18254	0.032678	0.025814	0.023977	0.029279	0.036382	0.10374	0.0336	0.039114
Meth__cg06719391__KCNQ1	0.047485	0.073827	0.027472	0.072405	0.046272	0.18894	0.044918	0.11917	0.075212	0.030659	0.03435	0.023067	0.12197	0.029239	0.0468	0.084959	0.050897	0.047173	0.039727	0.042351	0.15442	0.025185	0.029241	0.023138	0.034649	0.027469	0.02503
Meth__cg04796162__IGFBP3	0.025759	0.093385	0.054941	0.25092	0.13361	0.61219	0.43325	0.85131	0.81539	0.5564	0.054714	0.028851	0.083178	0.071536	0.87279	0.36231	0.53255	0.53995	0.048183	0.66288	0.74935	0.055612	0.037197	0.81849	0.043231	0.036342	0.027316
Meth__cg00067471__ATP5D	0.061324	0.090572	0.067579	0.39372	0.096675	0.212	0.087782	0.085263	0.14735	0.052491	0.14243	0.075771	0.22115	0.057543	0.092154	0.1859	0.09698	0.19642	0.1249	0.14487	0.13895	0.084494	0.046087	0.075208	0.057761	0.067086	0.065105
Meth__cg04925864__FAM65A	0.025853	0.22859	0.018856	0.58082	0.16837	0.79408	0.26551	0.36228	0.93747	0.37196	0.98704	0.3132	0.4199	0.041338	0.52541	0.27541	0.33604	0.033123	0.26477	0.077762	0.93092	0.08283	0.011331	0.010581	0.058798	0.021011	0.019706
Meth__cg13168683__JAKMIP1	0.061809	0.078189	0.045138	0.4309	0.075542	0.26462	0.071844	0.072114	0.093018	0.43878	0.066424	0.056308	0.093014	0.41207	0.07021	0.060288	0.062711	0.041487	0.60196	0.079496	0.18201	0.067101	0.037643	0.035448	0.077487	0.061911	0.065596
Meth__cg08703595__FLJ22313	0.028428	0.037509	0.02582	0.027929	0.053071	0.046988	0.040882	0.06537	0.087428	0.024428	0.057895	0.026614	0.073291	0.021354	0.046171	0.074592	0.037511	0.022453	0.091542	0.039512	0.14642	0.03446	0.020443	0.021571	0.034106	0.036217	0.039344
RS_G5781__OPRL1__OPRL1	1.6695	0.95283	4.2781	1.5212	1.6941	1.5183	1.4334	3.2103	0	0.79524	2.1467	2.3743	2.1919	1.2947	4.4101	3.2073	3.3572	0.86525	0.48697	1.694	1.73	1.6668	6.922	1.7889	2.0271	3.8285	3.6366
Meth__cg10503234__FSTL3	0.056063	0.12219	0.047336	0.060171	0.36449	0.1405	0.066986	0.29463	0.21231	0.094075	0.64085	0.038553	0.11079	0.21716	0.23655	0.059518	0.10484	0.70687	0.090671	0.37375	0.62921	0.1769	0.080027	0.40794	0.058838	0.072348	0.043844
Meth__cg03792653__C20orf77	0.037676	0.17021	0.054524	0.60688	0.12165	0.20336	0.33893	0.15164	0.62618	0.047892	0.086803	0.033413	0.11072	0.051034	0.090963	0.16611	0.064765	0.21041	0.52786	0.44791	0.10972	0.12634	0.036699	0.055395	0.37144	0.04596	0.087216
Meth__cg19257550__CA9	0.1443	0.87251	0.89247	0.94201	0.45996	0.89598	0.96146	0.11819	0.27787	0.053894	0.072209	0.54327	0.075462	0.03547	0.44593	0.44319	0.96629	0.2018	0.27067	0.61111	0.13708	0.4319	0.97798	0.88941	0.82972	0.63365	0.89791
Meth__cg09903430__ST3GAL3	0.03659	0.069402	0.034032	0.038991	0.061026	0.15427	0.055826	0.040857	0.12715	0.050886	0.042703	0.035958	0.07089	0.032996	0.052267	0.056344	0.079691	0.213	0.11413	0.12139	0.097434	0.068913	0.03757	0.032039	0.10648	0.040219	0.038513
Meth__cg07065941__KLF10	0.062867	0.061321	0.064106	0.05965	0.078499	0.064929	0.071387	0.075192	0.091923	0.69896	0.072182	0.063996	0.15809	0.067501	0.067116	0.066714	0.065323	0.0656	0.11794	0.068533	0.086968	0.11251	0.063031	0.055872	0.077082	0.065778	0.064557
RS_G2940__PDGFRL__PDGFRL	4.1099	2.9019	3.515	0	4.2179	3.9699	3.4083	3.6951	2.143	3.6444	4.6062	1.2527	2.0745	4.794	4.7959	5.5508	0	4.1599	3.2887	1.1575	0	0	1.1272	1.0353	4.3258	4.5822	3.1866
Meth__cg20899053__HLXB9	0.068368	0.099465	0.052745	0.064286	0.11014	0.098069	0.79488	0.13436	0.14012	0.061872	0.05927	0.091385	0.212	0.086499	0.054582	0.13374	0.08	0.64947	0.12592	0.13251	0.15058	0.10484	0.051964	0.055758	0.070597	0.10646	0.084156
Meth__cg19391527__PNOC	0.048461	0.73781	0.35488	0.035851	0.19948	0.89399	0.443	0.1034	0.56831	0.06161	0.22403	0.11284	0.19048	0.033827	0.26792	0.19855	0.60304	0.88826	0.11577	0.16356	0.11121	0.082147	0.045763	0.10822	0.16497	0.07463	0.065023
RS_G11045__AKR7A3__AKR7A3	9.0838	2.8319	5.5429	2.3864	5.6015	0.33305	6.9813	3.9476	2.5611	3.5058	1.6885	1.8247	3.6119	3.3894	2.2465	2.6067	6.6687	2.6739	2.2116	8.4881	9.7412	7.4822	2.8625	3.0519	7.2329	8.6879	8.2294
Meth__cg10544564__IGSF4B	0.037492	0.12528	0.053794	0.17223	0.08641	0.20322	0.079495	0.32974	0.34033	0.036928	0.038437	0.034725	0.1337	0.05	0.084994	0.12495	0.060378	0.33115	0.37942	0.11999	0.28979	0.067923	0.030594	0.1097	0.081361	0.054312	0.049478
Meth__cg26335299__C16orf48	0.74282	0.79595	0.060264	0.094062	0.072941	0.16602	0.13769	0.93805	0.46573	0.056296	0.46324	0.050823	0.085735	0.064502	0.66935	0.39971	0.046038	0.1073	0.07451	0.086952	0.080846	0.23953	0.070551	0.049401	0.057035	0.071497	0.081984
Meth__cg09906309__C11orf46	0.049317	0.71353	0.073916	0.1626	0.80316	0.23649	0.061008	0.049383	0.20502	0.29889	0.059033	0.049962	0.12073	0.050507	0.1697	0.137	0.050335	0.046358	0.13707	0.71069	0.073663	0.11423	0.028727	0.070402	0.054782	0.13337	0.055203
Meth__cg11930592__MSX1	0.039602	0.04712	0.030736	0.025955	0.051947	0.19589	0.027184	0.041521	0.81128	0.70876	0.062348	0.036348	0.086171	0.028958	0.51094	0.50152	0.030675	0.032192	0.8832	0.052664	0.88981	0.061697	0.034211	0.02303	0.042733	0.038462	0.037999
Meth__cg11654620__ECGF1	0.02935	0.12115	0.022133	0.84498	0.040417	0.027812	0.037896	0.071013	0.067802	0.030684	0.9537	0.026206	0.077512	0.095929	0.96381	0.92112	0.034488	0.022558	0.91725	0.050356	0.062206	0.063223	0.035377	0.032101	0.028853	0.038435	0.039549
Meth__cg15305511__EVC2	0.049507	0.13006	0.086679	0.43689	0.56967	0.69158	0.42168	0.069873	0.39571	0.17272	0.19398	0.068553	0.11403	0.064558	0.66871	0.86134	0.59221	0.10047	0.11079	0.09734	0.098365	0.071815	0.056832	0.36113	0.056033	0.092766	0.069661
Meth__cg25349574__CAMTA2	0.038519	0.97074	0.67435	0.73646	0.95529	0.39664	0.96317	0.035538	0.89923	0.05044	0.174	0.023524	0.57214	0.014739	0.68457	0.5019	0.045262	0.37597	0.95589	0.94659	0.12894	0.082437	0.02829	0.40802	0.03318	0.050074	0.38837
Meth__cg05702737__WNT10A	0.067426	0.33955	0.47094	0.46121	0.6995	0.58127	0.39204	0.49354	0.88081	0.19084	0.87836	0.11996	0.24296	0.05109	0.66574	0.69799	0.084666	0.39406	0.60352	0.50694	0.85438	0.077097	0.074685	0.61044	0.069113	0.21628	0.33111
Meth__cg19706682__LRRC50	0.027729	0.070751	0.034801	0.058815	0.075409	0.038879	0.031136	0.094546	0.14391	0.017489	0.11971	0.029564	0.03344	0.029601	0.10477	0.17261	0.075149	0.037202	0.29634	0.14542	0.044167	0.049422	0.025821	0.036719	0.034004	0.025855	0.032523
Meth__cg16983211__HOXC5	0.5562	0.09748	0.89062	0.54065	0.50225	0.16705	0.13138	0.1053	0.79241	0.060952	0.88026	0.083365	0.77355	0.083379	0.12947	0.10984	0.32799	0.87593	0.4309	0.08344	0.16521	0.34513	0.82127	0.9055	0.88682	0.80522	0.88522
Meth__cg00918005__REG3G	0.031475	0.72241	0.02899	0.04975	0.41682	0.31524	0.047778	0.57417	0.14365	0.12811	0.051394	0.034809	0.12534	0.040323	0.037726	0.043386	0.39129	0.31686	0.16202	0.049876	0.3855	0.046597	0.039331	0.07183	0.044771	0.056515	0.036532
