Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
RS_G11315__FSTL1__FSTL1	6.1696	3.6176	6.5735	5.6716	12.563	0.96659	3.0155	9.048	1.7602	5.437	5.1741	7.2908	9.4235	10.3975	9.8128	7.9845	10.7719	0.77713	0.82926	0.93212	7.4038	8.5847	1.4346	1.2163	8.1641	3.6582	5.9561	8.1278	5.414	5.686	1.736	7.4048	1.7816	0.67477	0.38166
RS_G10552__CDA__CDA	0	1.6466	0.52859	0	0	0.49703	6.438	1.2407	0.51588	1.0834	0	6.746	7.4997	1.2901	0	7.0228	2.4749	1.9161	0	1.0277	4.0069	4.9695	1.8659	0	0	0	2.2379	9.57	4.4328	10.6457	4.0751	1.987	2.0333	1.9565	0
RS_G13967__SAA1__SAA1	5.8686	2.466	0.66682	0	0.60947	0	5.8748	1.1505	0	0	7.8222	2.818	8.6219	8.7643	1.3519	8.9175	0	0	0	0.35353	0.28384	2.3174	0	2.2873	14.6642	2.3878	0.9773	9.2618	0	9.6673	1.97	0	0	2.2783	0
RS_G3022__DHDH__DHDH	2.4187	2.2579	0	2.616	0.76248	0.93381	3.6498	0	0.9645	2.8425	5.3073	3.5907	4.9283	2.7314	0.60282	5.2884	0.84227	3.6193	2.6151	4.4139	1.6583	1.1133	1.3322	1.9645	5.9895	0	4.6054	2.7517	4.3504	4.0578	3.0985	3.2846	4.2986	3.1819	1.8332
RS_G13225__KRT75__KRT75	0.1001	0.48837	0.13704	2.6322	0	0.24517	5.1256	5.5198	0	0	2.0876	2.7652	3.4922	8.326	0	2.9312	1.6538	1.0494	0	0.44826	7.6739	0	0	0	3.081	1.8503	2.1211	0.93863	2.1169	3.1433	0.25517	0.87163	3.2242	0	0
RS_G10592__HOXB13__HOXB13	0.13852	0.41729	7.3933	4.8456	3.0727	0.090791	3.2697	0.58562	4.225	0	4.5096	4.0837	3.6472	0.82986	4.5798	0	2.4854	0.90775	0.86504	0	4.3853	0	1.7184	0	4.5655	0	2.9856	0	5.5425	3.0351	5.4196	0	6.077	0	0
RS_G4197__TBX18__TBX18	0	2.9032	0	0	6.7911	0	0	2.4184	0	0	5.9388	5.1825	0	5.3067	0	4.4794	0	0	0	0	0.32925	0	0	0	4.5783	1.4806	6.5899	5.9947	0	4.2898	0	0	0	0	0
RS_G17946__SBSN__SBSN	1.9388	3.1448	0.52859	1.4897	2.4916	0.49703	2.2271	6.162	0.70795	2.5177	0.92766	0	4.1818	2.7617	5.2222	2.5925	7.2725	4.2779	0.48448	1.4125	5.2712	0	1.0301	0.79145	8.658	0	2.6291	2.7459	2.1709	5.4825	0.5273	1.5102	0.73069	0	0.37031
RS_G18160__AC110754.4__AC110754.4	3.9514	0.83267	6.4627	8.8805	0.22701	6.9764	1.6741	1.5048	2.9835	9.6862	2.0801	1.2005	1.0817	1.6006	1.8395	0.67116	1.6999	9.1222	7.6365	6.6115	1.3	1.7317	8.7503	0.67996	0.23067	0.52524	1.0029	1.9295	1.1951	2.3357	2.9101	7.4037	8.649	8.6863	4.9591
RS_G21773__GPRIN2__GPRIN2	4.0001	8.3744	0	1.3437	0	0	5.3082	0	0	0	0.23152	4.3886	5.4473	5.982	5.0614	3.6002	0.40095	0.65392	0	0	6.6664	0	0.065818	0	4.1445	7.0097	0	6.2273	3.7935	4.7073	0.27671	4.0222	0.54066	0	0.18814
RS_G6246__SOX15__SOX15	3.4901	2.1503	6.5709	1.7357	3.2643	2.2208	6.5765	2.3815	2.2611	2.3751	1.84	9.8631	6.3973	5.6528	1.9218	2.6222	3.9876	3.721	3.1797	5.1665	5.5771	3.065	5.971	3.1706	4.3072	3.8824	3.8058	6.0787	4.1406	7.8524	7.5597	3.2225	2.4758	1.8228	1.6718
RS_G14379__SCUBE2__SCUBE2	3.7581	0.4963	3.3351	10.5351	1.9673	0.99746	0	0.85629	3.3606	10.4571	0.40431	0.41231	0.91397	0.27683	1.1985	0.064969	0.99204	3.0784	6.7906	7.358	5.7668	0.068117	5.2172	0	0.28661	0.5589	0.25173	0.14379	0.65985	0.21735	0.15444	8.5777	7.7732	6.1636	2.3288
RS_G16320__PCBP3__PCBP3	0	1.233	2.8412	5.1319	4.7329	0	1.8135	7.1215	2.717	1.4734	6.7411	1.1414	3.7919	3.7909	4.1238	5.8191	0.75128	4.5505	4.5556	4.431	2.5031	3.5964	0.47491	0	1.0568	0	3.3797	3.9459	5.3921	1.2824	5.3456	0	0	0	0
RS_G12983__SPRR1A__SPRR1A	2.6766	0	1.2073	4.6224	0	0	4.4152	0	0	1.1468	1.0479	0.96978	5.1369	0	0	4.4045	0	0.3708	0	0	6.2122	0	0.35494	0	2.7869	0	0	1.1341	2.8241	2.8212	1.2049	4.8655	3.6111	2.3955	2.8989
RS_G3379__MEST__MEST	0.28456	7.7409	7.8393	7.4767	7.0437	7.6778	7.4615	1.4366	1.0201	7.6848	0.16774	8.4186	6.9275	1.1371	11.3032	0.69041	4.0757	7.3671	8.1143	6.6208	7.5349	6.2993	7.2189	7.299	0.25759	9.0774	0.325	0	6.652	7.5819	0	1.0173	5.9816	6.7253	7.8146
RS_G22701__ATP10A__ATP10A	7.5074	0.25087	0	2.7124	0	0	4.4453	2.6536	0	0.069701	4.892	0.22617	4.9408	4.6253	0.75404	4.7523	3.1988	1.6168	0	0.049383	0	3.3339	0.08933	0.17543	6.8059	0	6.5671	0.10086	3.9696	4.7707	6.3999	5.6339	5.6284	3.9525	1.7496
RS_G21531__RAET1G__RAET1G	2.8144	2.9198	0.47879	0.54993	1.5764	0.57314	2.3707	3.0707	2.3424	1.2131	1.9137	2.2095	4.5472	1.926	1.1822	3.9902	1.8867	2.2481	1.3469	1.073	3.1325	3.5775	1.9008	0.51649	2.0151	3.4867	1.5783	5.3644	2.4284	7.7615	3.7997	4.5337	4.51	1.2429	1.1426
RS_G22652__SERPINB3__SERPINB3	0	0.25379	0	0	0	0	0	0.57895	0	0	0.82008	1.9225	3.3203	0.7401	0	9.5735	0	0	0	0	1.0359	0	0	0	6.7965	0	0	5.6438	0	4.325	0	0	0	0	0
RS_G7110__DSG3__DSG3	0.31416	0	0.29743	0.3494	0.85312	0.3551	8.2211	0.47605	0.28915	0.51326	0.64092	4.8091	5.1836	3.7617	3.7258	7.3705	0.30549	0.045416	0.092333	0.43276	0.50162	0.17663	0.17781	0.8118	8.8755	0.78938	0.65087	5.9837	3.3214	5.9508	0.20438	0.25707	0.21656	0.42995	0.32003
RS_G1917__LEPREL1__LEPREL1	1.6812	1.213	1.016	0.15032	9.6328	0	8.6274	7.5555	0	0.20528	2.3881	6.6588	10.0755	6.0855	6.9596	8.8539	6.6718	0.14834	0	0.54021	4.5962	7.6461	0.14506	0	5.0402	1.8994	2.7188	5.8777	1.6577	6.3893	3.8936	2.3297	1.1214	2.3917	0
RS_G1492__DUSP13__DUSP13	1.1639	3.9306	0	3.4195	0	0.39666	0.7545	0	4.3288	4.8779	0.46004	0	0	0	0.26614	0	0.56268	4.1128	4.8187	2.0092	0.887	1.9107	4.6054	0	0	3.3152	0	0.88679	0	1.9153	1.3829	2.1176	7.1145	2.0528	2.255
RS_G2464__PLTP__PLTP	0.11482	10.0545	0.75517	1.2357	10.9319	1.1199	0.90633	4.5863	1.0814	0	0.24629	9.5327	6.1663	0	7.9012	8.082	6.5859	4.17	1.6206	0.80808	4.8815	3.1098	0.52736	0	3.5639	7.9049	3.0229	6.1828	3.6044	10.4891	2.8626	3.5352	0.76102	0	0
RS_G10048__NCAM2__NCAM2	0.90591	0.059094	5.8956	5.5119	4.3315	7.6151	0.16098	0.37026	4.9363	5.8073	0.17185	2.3537	0.24293	0.80572	0	0.22422	0.99046	4.4702	5.91	4.3296	0.62114	0.23448	3.8161	5.5146	0	0.48347	0	0.25252	0.18146	0.1996	0	7.7429	2.5721	3.7889	2.5183
RS_G4220__LOX__LOX	0	0.68991	0.90169	0.66555	10.7791	0.13865	4.9709	5.7714	0.79742	0.96733	5.2774	4.4823	2.895	5.5501	7.6689	5.766	10.1643	0.90667	0.75454	0.48913	3.2735	6.0679	0.45546	0.44199	4.3449	0	11.6434	8.3827	2.7516	9.2551	0.4056	2.3981	0.6104	1.3457	0
RS_G8293__SLC39A6__SLC39A6	8.8456	6.3258	9.5638	10.7022	7.7275	8.8921	7.7677	9.1522	8.336	7.6195	7.5903	7.0645	5.996	7.5728	9.5847	8.0305	7.5875	8.7525	12.8675	9.3944	5.8965	7.7396	8.3482	7.0986	7.8108	7.6205	5.2143	7.2234	6.1811	6.7035	7.7701	7.9828	8.4218	10.7897	13.4745
