Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
RS_G2210__PRODH__PRODH	6.6996	8.8601	8.1502	4.8255	0.12095	8.7378	5.7577	0.77143	8.8848	5.7828	1.603	2.3836	5.1535	2.1092	6.5093	3.4667	0.7919	0.3561	1.043	4.9495	1.9741	5.4938	7.7774	0.11484	10.9405	11.3567	6.7245	8.0182	1.3588	2.1155	10.7743	4.0417	8.8787	7.139	9.1687	9.3919
RS_G3127__CLIP3__CLIP3	3.4888	1.9179	2.7426	4.3702	6.1435	3.4575	2.3396	2.7054	2.1188	4.0758	2.5388	0.93666	2.268	1.2496	3.2212	2.7524	5.653	2.6783	6.7723	2.8351	3.3253	7.0782	3.4057	1.4048	2.9147	4.1503	2.98	2.0431	7.9816	3.8348	2.9182	2.9307	1.8797	3.0238	2.909	2.4687
RS_G16556__SLIT3__SLIT3	2.2355	0	2.471	0.90403	8.9874	0.21763	0.33496	7.4124	4.7742	0.68628	0.18968	0.65273	3.7599	0.33265	0.10944	0	3.0493	0.96971	6.6132	0.20772	0.15986	0.57603	1.6904	0	1.9982	5.5376	1.4012	0	7.0337	1.139	1.3114	1.8365	0.83487	0.24237	2.7669	0.36437
RS_G16432__C1orf64__C1orf64	7.5817	5.6156	7.5603	5.6306	0	3.097	0.1454	0.9382	8.8167	1.8555	0.21876	0.25986	0.25555	0.15475	8.3654	0	0.16111	0.15095	0.4392	0.63111	0.17079	1.6817	2.3787	0	6.8421	1.2505	0	8.026	0	0.46451	4.2383	0	0.096899	2.7013	6.8627	5.9547
RS_G1983__CCDC80__CCDC80	3.047	4.5842	0.24634	0.95276	10.2098	0.12049	5.2177	5.0089	0	1.3406	1.1731	5.231	6.9418	3.9554	0.11679	7.2517	8.6794	7.4749	9.7159	2.3768	1.9402	0.12167	4.6807	6.4667	0.23618	0.2076	3.8	1.7652	4.6926	6.5604	0.13246	6.081	5.2147	2.8761	0.45007	0.086745
RS_G8562__RGS16__RGS16	3.6383	7.9152	3.1434	4.2812	0	2.3833	0.82754	4.8652	7.453	2.0693	4.5062	4.3101	2.672	4.8678	2.4771	1.5237	0.53533	2.5687	0.83849	5.7894	7.078	4.9839	6.6086	2.0042	4.5416	3.1614	10.591	6.6121	8.0521	3.1614	5.7208	4.6667	4.6968	5.3382	6.9381	6.5567
RS_G27296__IGHE__IGHE	0	6.9908	1.3543	4.0388	0	0.60738	0	0.51827	1.5466	1.1694	0	0.87206	0.6756	4.4599	0.58338	0.48354	0	0	0	4.756	1.6579	1.583	2.7019	0	1.3237	0	0	2.7515	0	0	0	0.68655	6.537	1.5464	4.3878	2.5552
RS_G5810__CD70__CD70	2.1298	0	0	0	9.7205	0	0	1.7744	0	0	2.6289	1.0273	7.8922	0	0	6.1861	6.9112	1.3388	6.277	2.7908	0	0	0	0	0	0	5.1436	0	9.1854	7.1955	0	5.7209	1.9353	4.0443	2.2205	0
RS_G2294__HMOX1__HMOX1	5.2324	7.003	4.0314	6.9044	8.3669	7.1545	6.8174	8.6229	4.7288	5.8914	7.281	6.3735	5.5572	5.7747	6.1383	8.4909	6.3885	7.3288	7.8988	5.4815	5.1931	6.5675	7.3741	6.3582	7.0571	5.3533	6.0138	7.157	13.0503	7.1352	7.3386	7.2448	6.2813	5.8474	9.0714	8.756
RS_G13164__FABP6__FABP6	2.3614	5.0613	0	1.2049	0	0	0	1.3002	6.2218	0.68448	0	5.6808	4.4541	2.3389	5.7149	0.74174	0	0	1.7984	3.477	3.3971	0	1.042	3.6119	0.39506	1.3707	0.94948	1.4427	0	0.53013	3.8371	0	6.9112	4.9649	0.70066	0
RS_G5988__EVI2A__EVI2A	1.2756	0.13752	0.30944	0	7.1056	0.15699	0.24882	4.0118	0	1.0625	0	0	1.3617	1.032	0.28992	0	6.1551	0.48768	3.8192	0	0	1.3205	0	6.7313	0.074104	0	0	0	1.1689	0.54354	0	0	0	0	0	0.40834
RS_G1700__WNT11__WNT11	0.95554	0.84773	1.4629	4.0612	2.4978	0.26815	2.2228	0.15487	0	2.7953	7.6623	1.9448	1.5183	0.12823	0	1.0841	1.9585	4.9662	1.6509	6.8246	2.6715	4.2544	3.4588	0.64391	1.6128	0	3.2041	0	0.94427	8.51	4.5096	3.1453	1.8569	2.1116	0.65293	0.19576
RS_G12889__AR__AR	4.6371	4.6227	6.4437	4.4301	5.9187	7.5601	0.19231	1.476	6.5225	6.1875	0.10622	0	0.18004	5.5774	9.2235	0.97224	0.22082	3.9166	3.5014	5.9163	6.3628	4.5895	2.3964	0.40029	7.5779	9.2818	0.68318	3.9527	5.974	0.23057	4.0998	2.03	0	4.8483	6.3137	3.0122
RS_G11429__CXCL3__CXCL3	0.33948	0	0	0	3.4106	0	2.5204	3.2775	0	0	4.4838	3.1649	1.7437	1.4393	0	4.6319	3.5497	3.3576	4.5588	0.22001	0	0	0.6239	2.2938	0	0	6.3879	0	6.9196	8.1321	1.9658	2.8659	0	0	0	0
RS_G5919__SLURP1__SLURP1	1.6964	3.5263	0.83884	1.8081	0	0.79327	0.67817	0	6.8835	1.3081	0	0	3.6621	0.41528	6.3316	0	0	2.1742	0	4.2731	2.746	0	5.2151	0	2.0254	0.72351	1.335	0	0	0.79023	4.85	0	2.5992	3.9811	2.0289	1.0161
RS_G7__CFH__CFH	1.2601	0.21358	0	0.12495	6.8359	0	0.20366	5.8212	0	0.86297	0.11269	5.1026	0.50616	6.0005	0	1.4161	4.6605	6.9368	6.3026	0	0	0.24742	0.19249	5.7137	0	0	0.17479	0	0	4.5765	1.8511	1.5146	0	0	0.17597	0
RS_G16566__CSF1__CSF1	4.9267	3.3068	0.63581	2.0826	5.2612	3.3153	1.4233	5.6818	2.1574	3.7992	8.8161	4.2899	6.4616	5.0175	0.91289	5.9173	8.2679	5.7738	6.5134	2.7338	1.7785	2.7317	4.4905	7.9524	1.6766	0.68883	8.8887	2.3696	8.6661	7.9034	3.0812	5.3272	1.8363	3.2028	2.5385	0.98173
RS_G1232__CRMP1__CRMP1	3.3209	0	3.014	5.2991	3.059	0.64075	0	2.2175	0.16006	3.0892	5.3528	2.3382	2.547	2.0576	0	5.2997	3.5543	0.87195	3.3146	0.28254	0.15011	9.1072	0	2.1643	5.713	3.2428	5.8901	0	2.8821	0.8311	2.2466	1.6613	2.1455	2.2182	5.8315	4.9652
RS_G35581__APOBEC3C__APOBEC3C	0.345	1.8556	0	1.6981	0	0	4.6314	6.3901	0	0	0.69901	7.656	7.9072	4.2884	0	6.6221	7.1835	5.6152	7.1315	2.1893	0	0.77854	7.2322	7.4238	6.7343	2.0552	0.57933	0	1.5503	7.4712	2.4223	7.3631	2.0175	0	0	0.59024
RS_G2940__PDGFRL__PDGFRL	2.6739	4.1099	2.9019	3.515	0	4.2179	3.9699	7.0584	1.7974	3.4083	3.6951	1.7797	1.169	2.143	3.6444	4.6062	1.2527	2.0745	4.794	4.7959	5.5508	0	4.1599	3.2887	1.1575	0	6.684	0	1.1272	1.7769	1.2043	0	1.0353	0	4.5822	3.1866
RS_G2541__SNPH__SNPH	2.8925	3.9239	4.8906	0.84562	2.9285	0.14503	0.11904	0.30233	0.35199	0.4352	2.042	2.2632	3.0856	0.067811	0.14062	2.5012	2.9514	0	3.3989	0.38045	0	0.34071	4.7678	3.1149	5.7164	7.3115	3.6028	0.38449	4.4226	0.91702	0.9952	1.9761	0.79539	2.1071	0.85718	1.1361
RS_G3514__ACTA2__ACTA2	1.4899	0.17287	2.2023	3.075	12.7191	6.5566	1.9507	8.7055	0.81938	1.9902	4.283	3.2771	4.8169	3.5235	3.9435	12.9136	9.2125	4.7159	8.2158	8.823	4.6158	0	6.0772	3.4109	1.6547	2.3654	9.0502	0	8.7349	3.9007	5.1671	4.9748	4.4277	7.0622	4.7747	5.8747
RS_G18078__SH2D5__SH2D5	0.21811	2.3234	1.2762	2.4179	5.7967	1.1809	4.2305	4.8873	0.91539	1.4472	5.1697	7.1606	4.7174	0.25198	1.0908	3.3957	4.006	0.24591	5.9778	3.6847	1.5134	2.4549	1.9279	4.9347	1.5129	0.72962	1.0212	0	8.9352	3.609	0.23661	3.6942	0.88422	0.72472	0.20018	0.38111
RS_G11127__OLFML2B__OLFML2B	0.42875	0.13423	0.23792	0.40981	5.7677	4.4756	3.339	9.4493	0.30186	0	1.2164	0.33768	1.2905	0.97504	0	1.9934	7.0512	2.5686	5.708	0.40258	0.28477	6.7681	1.3501	2.3956	0.30446	0.37271	2.8528	0	5.2065	0.9963	0	0.51857	7.5456	0	0.70319	0.30943
RS_G3823__CCND1__CCND1	11.467	10.2873	9.7956	11.0955	7.5774	10.8624	12.4704	7.9377	9.8988	10.1898	6.9323	10.1513	11.3166	11.978	7.0419	7.8671	9.0157	9.3554	10.1335	11.149	10.4301	15.2047	9.4841	10.5959	11.1601	10.8596	5.726	8.7887	8.7105	7.5246	10.0655	9.6036	9.6678	8.5391	11.3211	11.0084
RS_G922__CHI3L2__CHI3L2	3.2198	0.51024	0	0.56368	5.798	0.56836	0.66931	5.9387	0.46306	1.1011	8.7973	0	4.899	3.6758	0.55634	5.7246	5.4771	8.3731	1.2346	0	0	0.16809	3.2906	0	0.15241	0	9.8113	1.528	1.3437	1.671	4.1672	1.328	3.3623	0.96833	0	0
RS_G7983__GLIPR1__GLIPR1	0.55287	0.2859	0.94121	0.19873	8.8142	0.67508	3.8198	6.0225	0.83764	0.62063	3.6456	5.4165	4.5642	4.8421	0.25714	6.5035	8.1578	4.0803	7.825	0.6577	0.57361	0.73209	1.9436	6.5993	0.1263	0	4.548	1.235	1.7892	3.8954	0.71376	4.6243	0.72126	1.595	0.35881	0.094808
RS_G14028__SUSD5__SUSD5	4.1374	0.2278	1.652	1.4189	7.4136	0.79899	3.8409	6.9339	2.5299	0.95948	0.80769	2.9449	2.9382	3.1619	1.2317	4.0329	6.9944	0.6891	4.6281	0.52125	0.29324	2.9912	3.0817	7.5128	1.1616	0.81957	3.0604	1.4101	6.1608	1.8309	4.5563	2.0915	0.27212	3.4141	0.075385	0.35588
RS_G6259__MMP28__MMP28	0	0	0	1.6614	0	0	0	3.1625	0.41036	0.39913	0	3.4994	6.8926	1.2407	0	0.21236	0.10499	3.6345	0.4363	0	0.62521	1.5814	1.8646	0	1.1152	0.35892	0	0	0	3.2915	2.044	8.2419	0	2.4898	0.82317	0.15459
RS_G7748__IFI44__IFI44	3.8056	0.59385	0.46246	6.1055	2.1195	0.30353	2.8333	7.1034	0.31583	4.6246	9.3298	6.5299	7.3962	6.8635	4.9226	2.6237	7.0366	10.8415	2.8004	0	1.098	2.4211	0.44083	6.4009	0	0	6.2452	0	0.88563	5.9345	7.5377	4.7341	0.59359	4.5095	1.2093	0.41488
RS_G16319__SERHL2__SERHL2	5.5576	9.6885	4.2228	5.1276	3.5316	4.1391	4.4021	2.9824	9.3149	3.0556	6.0929	4.8312	4.2306	3.487	4.2993	5.1006	5.2126	4.4447	4.1099	5.1008	8.2175	3.9131	8.19	3.8247	5.6157	3.797	4.0032	11.2439	4.1716	4.2778	10.349	4.8636	3.1849	6.6946	10.0126	9.7217
RS_G13093__TM4SF1__TM4SF1	10.4225	8.9741	6.3961	10.5422	10.2741	5.8997	11.4386	9.303	3.5257	7.7572	12.9126	7.6636	9.4061	10.3038	6.8407	8.7437	10.129	12.1941	10.6962	5.09	6.0437	9.1954	9.319	10.9392	7.3568	10.462	11.4483	7.2096	10.7158	7.7496	10.4649	8.9015	9.9612	5.7164	8.242	3.2361
RS_G2004__TGM1__TGM1	5.3721	9.4474	2.3286	3.8808	1.7513	2.7163	4.4828	2.8924	2.0639	4.04	2.0162	2.9572	6.9913	2.9415	4.3939	4.9255	3.0329	2.556	1.8108	6.114	3.719	1.9212	6.4252	3.1641	2.8856	2.5922	5.9739	7.4251	2.4886	6.8145	5.2442	4.2484	3.6189	4.1613	4.3151	2.8052
RS_G7745__IFI44L__IFI44L	0.23732	0	0	4.5645	0.60514	0	0.99127	3.5141	0	2.0578	9.2152	1.5653	3.916	4.217	4.1907	0.47385	1.9555	10.2427	1.0245	0	0.60717	0.55766	1.1744	1.9467	0	0	5.3729	0	0	7.3195	7.3714	2.6778	0.41582	0	0	0
RS_G8682__OSR1__OSR1	0.11123	0.23849	0.2896	0	0.48045	0	4.8216	6.3439	1.8828	0	4.1075	0.57369	0.83199	0	0	4.8445	2.7179	0.34605	7.5551	0	0	0	4.4393	4.3569	0.57157	0.45115	7.4307	0	3.2881	3.4287	0	3.2369	0.52938	0	0	0.36537
RS_G1492__DUSP13__DUSP13	1.1639	3.9306	0	3.4195	0	0.39666	0.7545	0	4.3288	4.8779	0.46004	0	0	0.476	0.27248	0	0.26614	0	0.56268	4.1128	4.8187	2.0092	0.887	1.9107	4.6054	0	0	3.3152	0	0.88679	0	1.9153	1.3829	2.1176	2.0528	2.255
RS_G5325__CXCR4__CXCR4	1.569	1.7543	7.2597	2.8288	0	4.3832	5.1793	1.1974	3.2863	1.6411	1.3463	0.68114	1.3972	1.1626	5.2171	4.8636	1.6438	0.8891	0	6.3193	8.9219	8.2798	6.9471	0.23797	6.9206	5.7786	8.4628	0	1.0431	2.7266	0	3.6026	0.70369	3.4114	5.259	0.87922
RS_G2752__C13orf15__C13orf15	1.6778	0	0.2523	1.5405	1.0073	0	7.0141	5.6897	0	1.543	1.4384	2.3605	3.5916	1.9013	0	5.5066	1.8871	5.2724	0.83926	0	0.42973	0.44241	2.8603	4.7928	0.80035	0	3.8145	0	0.40215	4.3445	2.1148	2.0999	2.9343	1.478	2.636	1.8022
RS_G16385__ASCL2__ASCL2	1.3561	1.7678	6.3934	5.118	0	0.60927	3.6364	0	7.9802	1.7904	3.6262	1.2266	0.97424	1.6838	2.9164	0	0	0	0	6.1358	5.1486	2.6192	3.8314	0	4.9558	2.2584	3.9371	1.324	0	0	5.8229	3.1506	4.2456	3.9544	5.2367	5.0406
RS_G14377__NRIP3__NRIP3	0.68301	2.6914	2.4942	4.8866	3.843	0.17753	4.5493	4.685	5.3121	6.9244	3.4385	4.4969	2.6701	2.4016	0	0.6097	5.4067	2.5642	6.5177	0	0	8.4655	1.8015	0	1.9129	0	2.0344	1.5919	2.9304	1.0302	3.3696	2.0757	0	5.4952	2.2752	2.24
RS_G14859__SAMD9L__SAMD9L	3.4575	0.067225	0	2.1607	0.21202	0.077493	0.12401	3.0939	0	2.5986	4.7979	3.7721	2.6339	3.1608	1.4916	1.4255	2.658	6.9834	3.9452	0	0	0.1525	0.1189	3.4066	0	0	4.3633	0	0	0.41083	4.653	2.4155	3.3204	1.6339	0.10744	0.10906
RS_G10836__FGFR4__FGFR4	5.2034	7.7635	8.2284	8.4723	3.6823	11.0861	6.4162	5.236	9.6719	7.2021	7.4945	6.5832	6.241	8.4301	9.4006	5.9966	6.3794	4.5084	2.9314	7.9454	7.7888	7.8124	6.2404	4.8446	12.8321	13.6847	4.5816	6.4864	6.0949	5.9918	9.5218	6.8846	7.9866	6.6089	10.4536	9.5726
RS_G4856__MUC5B__MUC5B	5.381	6.3991	4.9033	7.2056	0	5.3345	6.1164	0.65399	1.8113	5.2883	6.5749	0.35429	2.0415	0.42452	4.7976	0.20737	0.10243	0.47117	1.1133	5.5399	4.5554	5.2356	5.2064	3.5201	7.1076	2.7576	8.4507	0.22595	0.60314	1.5779	1.4391	1.351	0.050499	0.13512	4.8458	6.9805
RS_G1328__ADD2__ADD2	0.20263	0.2254	0.4463	0.25086	0	0.13381	6.7679	7.3903	0	4.9889	4.1361	6.0514	7.516	0.33157	0	6.6719	5.0306	0.81879	0.28117	1.5899	0.13083	1.1201	3.7528	6.9199	4.0692	0.42801	3.3359	0	4.463	6.2682	1.4621	3.5953	0.073313	0	0.18417	0
RS_G8719__DQX1__DQX1	5.6099	3.965	0.20971	1.1459	0.57524	3.789	0.78162	0.57264	1.3792	0.37708	1.3782	1.3153	1.5275	0.84184	5.4246	4.096	0.87143	0.3289	1.2424	1.3906	1.5839	4.8405	0.98642	0	3.7419	4.363	0.38452	3.8751	1.7522	0.36883	0	3.2749	1.7461	2.8997	0.49587	0.69789
RS_G12225__A2ML1__A2ML1	0.55235	3.015	2.3348	1.6963	0.051186	0.20298	5.7466	0.4159	1.5662	4.2978	0.67252	2.6485	4.0087	2.6029	0.099228	1.1693	0.099944	5.3202	0.059283	1.3786	1.1201	0.84535	0.083725	0.049173	1.9963	0.48814	5.6281	5.0462	0	3.9701	3.2228	0.36821	4.9828	0.50916	1.3113	0.21477
RS_G35559__TMEM91__TMEM91	4.2382	1.256	1.804	2.3785	3.4402	2.3681	3.4004	4.0543	2.8339	3.9981	2.0048	0.82592	2.8736	2.3574	2.3332	1.9341	3.137	3.3686	4.3998	3.1478	3.2823	4.0808	2.882	2.6306	3.6812	4.6905	2.0237	1.8129	4.9835	4.6054	3.4734	3.0028	3.194	1.7962	3.0086	3.1924
RS_G4506__FN1__FN1	4.4659	5.6734	2.1232	6.6339	12.0664	2.308	6.2799	13.1575	2.6835	8.1794	5.3713	6.1008	6.4374	6.0504	5.7624	10.4557	11.6619	6.9695	14.314	7.9571	5.8399	8.6337	7.242	8.9032	4.4927	4.0323	12.6716	5.2383	3.1511	10.3215	1.9746	11.44	5.2825	5.777	3.9021	1.7401
RS_G6312__CDKN1C__CDKN1C	1.5663	3.4209	1.4135	4.1129	2.0193	1.5752	3.2115	1.6214	0.43044	1.3211	3.7532	1.1465	0.74775	1.2033	1.8338	1.872	1.8139	0.74747	2.187	2.5887	0.62031	5.8987	3.0673	3.0532	2.5782	2.8636	3.4979	0	3.0329	4.9828	4.3871	5.6167	2.6888	0.80526	3.0998	4.1276
RS_G14453__NR2F1__NR2F1	0	0.62002	0.26207	0	8.065	0	1.6759	1.1938	1.1083	3.4171	0.14742	3.5416	4.981	4.7643	0.56207	4.1435	1.2267	4.8295	7.9087	2.6308	0.72901	1.9212	1.1957	8.0721	9.375	10.4319	6.0049	0	6.7984	3.8738	4.7493	4.3224	1.7813	4.5034	4.6681	8.2892
RS_G10056__ADAMTS1__ADAMTS1	0.40649	0.19684	2.7451	4.6542	9.1222	3.9788	5.5768	5.2846	2.2992	7.1431	5.8779	7.4379	3.0483	2.3121	3.8107	6.6168	5.8881	3.6986	9.0055	0.10674	0.26857	2.8343	3.8711	3.8867	5.6499	6.545	7.2146	0	2.307	6.9795	5.0715	2.4462	1.1737	1.1843	4.9621	4.8179
RS_G8983__ODZ2__ODZ2	0.46196	0.21261	4.1691	1.3937	9.125	1.6831	0.51807	1.6057	1.8836	1.7042	0.025184	1.9378	4.7939	0.52982	0	2.6967	1.4508	0.84724	4.5337	0.10886	0.056207	4.5033	0.27275	0.89421	3.1193	0.47793	0.079403	0.449	0	4.3607	1.9389	1.3205	0	5.1209	3.252	0.48681
RS_G9937__PID1__PID1	3.531	3.4933	0.99515	2.4397	2.7231	0	3.8103	7.2734	3.7721	1.9968	4.77	1.9694	1.4947	1.1073	0.17537	5.107	5.6305	3.47	5.7238	0.46569	1.2408	3.3321	0.79121	3.9905	0	0	4.7638	4.4948	5.1605	9.1818	2.9212	4.2784	5.3652	0.53315	2.6993	1.5765
RS_G7026__NGF__NGF	0	0	0	0.44039	8.2263	0	1.5055	5.462	0	0	0	5.0698	3.456	0.41902	0	7.7309	6.0518	0	7.9757	1.5749	0	0	0.80236	4.6169	0	0	4.7268	0	4.7581	0.80466	3.4721	3.6174	0	0	0	0
RS_G9411__PAK1__PAK1	9.7379	3.6126	5.4375	6.8348	6.7525	4.9493	5.9938	7.1121	2.1414	5.6631	7.8099	8.5733	6.5653	6.9548	1.7217	6.8913	6.8685	7.7419	6.4967	3.6134	5.5626	11.6469	4.7882	7.3965	5.7512	5.6661	6.6821	5.3053	3.3435	6.0138	6.3652	4.9205	9.5501	7.7022	5.4982	5.2907
RS_G28782__AC132872.17__AC132872.17	6.5308	6.1527	0.42328	2.2275	0	1.6808	4.4574	1.9204	0	0.51717	6.643	0	0.56922	3.0712	5.0791	0	0	2.6223	3.7589	0	0	0.40071	0	0	3.9703	0	6.3505	4.6956	0	2.7046	3.2558	1.785	0.74842	0	1.8735	3.4862
RS_G2073__TDRD1__TDRD1	6.424	5.8676	0	0	0	0.10419	0.085849	0.055694	0.10872	6.1381	0.21942	0	0.080184	6.8676	0	1.2116	0	5.9104	0.11527	3.3172	4.4935	0	0.041047	0	0	0	0	6.8683	0	0	4.7758	0	6.067	1.306	1.0273	0
RS_G19300__APCDD1L__APCDD1L	0.069099	0.73015	0.34728	0.1681	0.31255	0.46148	3.8937	5.4361	0.98939	1.19	0	2.4493	3.5305	0	0.56885	1.4309	3.6234	2.4928	8.2577	0	0.57933	0.32832	2.602	1.7279	0.46267	0	0	0	0	4.6435	3.2218	6.2723	0	0.099032	0	0.34479
RS_G16526__ALDH1A3__ALDH1A3	6.9869	6.6244	3.4412	2.4634	1.2073	2.8938	11.2405	5.3582	10.9346	1.4376	5.1885	8.2874	10.8421	12.6084	5.5356	10.846	3.2546	8.3779	5.4292	5.6338	1.6124	1.2527	9.3386	4.3207	2.1737	1.7792	7.1079	7.9504	1.5677	6.6021	7.6667	9.1305	3.6909	6.7618	5.1568	3.5552
RS_G6626__MAP1B__MAP1B	1.6802	0.12335	2.6488	3.0439	5.4526	0.64596	7.5131	8.3394	1.0717	2.1305	6.6239	3.8912	4.0338	2.7093	5.0187	4.8936	8.088	4.8333	9.1024	2.9921	3.5005	3.9959	2.2071	7.6542	1.7013	0.79208	6.6151	0.17791	7.6968	2.768	5.9852	4.2327	2.5995	0.081101	2.7946	0.59431
RS_G7892__FGF2__FGF2	0.3704	0	0	0.15516	7.5818	0	5.2899	3.8378	0.38255	0.26018	7.8975	2.3116	5.2507	0.14505	0	6.8459	6.6202	2.6134	4.9625	0.11633	0.15511	0.26957	2.1954	0	0.019091	0.20773	6.8107	0	4.444	2.0561	0.77491	2.5446	0	0	0.72312	0.11461
RS_G11561__PRSS12__PRSS12	1.496	0.54609	0.25057	0.080545	5.6392	0.8661	5.8391	2.788	0.085993	0.31015	10.2082	5.2016	4.7765	2.0344	0.29579	9.7569	4.8767	1.5091	5.9064	0.22633	0.48493	0.61684	3.2744	4.7183	0.48861	0.70177	5.0703	0	4.227	6.4227	1.9942	5.4288	0.17025	0	1.3084	2.2724
RS_G3807__LPXN__LPXN	4.4572	3.8249	4.6454	3.0135	4.0192	4.0199	3.3559	5.9285	1.6903	3.703	5.2704	7.4217	5.7899	3.8946	3.3023	5.7034	3.7592	6.6655	8.9465	4.1342	2.9364	4.5474	3.5991	6.0065	3.4461	4.0319	6.1177	3.5122	4.9321	3.6065	5.8063	1.4933	4.6376	4.4154	3.882	3.6265
RS_G13766__MUCL1__MUCL1	8.2971	9.2684	12.3825	10.0828	0	8.4661	0	0.90826	7.872	5.344	1.4703	1.545	2.4156	8.9393	4.3595	0	0	5.508	0	7.4503	7.7859	7.1029	9.5099	0	13.1852	9.8025	5.3187	9.1199	1.9667	0.85403	14.8568	1.8097	13.9402	2.6873	11.3802	3.1773
RS_G1779__PTHLH__PTHLH	0	0	2.2732	1.8152	2.1658	0	7.2097	4.2484	0	0	0.32391	9.1068	2.3649	2.1959	0	2.287	1.3148	1.5258	4.0306	0	0.76599	3.356	1.957	0.83936	2.8815	1.3368	1.0677	0	1.8976	0.5104	2.0936	3.4073	2.0487	0	0.48471	0
RS_G3436__AMBP__AMBP	5.5216	4.1249	2.8804	5.6693	0	4.4106	0.30004	0.55576	3.6561	3.1994	0.31932	0.72738	0	0.32997	1.6721	0	0.34272	0	1.0688	2.9627	1.5467	6.1453	3.7678	0	9.687	5.2492	1.5675	0	0	0	3.1016	0	3.3531	0	3.6158	2.5328
RS_G17647__ARL4C__ARL4C	6.4058	3.9508	6.5819	4.9192	8.0292	4.7101	7.6877	9.0067	6.0138	2.9942	6.2663	7.0619	6.2607	5.9989	2.1991	6.9743	7.5755	6.7168	7.9861	5.7583	4.3584	5.9484	7.7683	7.5221	4.073	1.3609	5.306	5.4578	10.7033	6.3785	4.8348	5.2782	6.5854	3.1525	3.7385	3.6318
RS_G3861__SCGB2A2__SCGB2A2	13.9607	7.2469	8.4444	3.1721	0	5.1291	2.0737	4.905	7.1077	7.7127	0	0	0.67662	0	0	0	0	0.75343	0	1.9939	2.7482	1.1297	9.2795	0	12.9283	1.2589	1.064	9.6874	0	0	16.6899	0	11.1134	0	14.5809	5.6558
RS_G10899__PERLD1__PERLD1	7.7632	10.8788	10.843	8.1343	5.7015	7.023	5.4851	6.0545	11.6693	6.7597	1.9356	4.6347	4.808	11.5693	10.3273	7.3482	6.5941	7.0206	5.8111	6.5555	5.7895	6.5318	7.7669	5.3794	9.638	8.0489	7.0386	10.3657	5.6013	6.5852	14.7454	6.0695	5.4877	7.267	7.3184	6.7812
RS_G18071__CXCL17__CXCL17	1.6218	1.6066	6.1534	1.2095	0	0.74132	0.6322	0.45695	3.1228	1.3713	0	0	3.6124	9.5671	6.8488	3.7511	0	12.3037	0	2.1353	2.7126	0	7.6157	0	5.9685	0.3767	2.0065	0	0.38286	0	3.7402	1.4859	0	0	6.5787	4.2359
RS_G1917__LEPREL1__LEPREL1	1.6812	1.213	1.016	0.15032	9.6328	0	8.6274	7.5555	0	0.20528	2.3881	6.6588	10.0755	7.8581	0	6.0855	6.9596	8.8539	6.6718	0.14834	0	0.54021	4.5962	7.6461	0.14506	0	5.0402	1.8994	2.7188	5.8777	1.6577	6.3893	3.8936	2.3297	2.3917	0
RS_G13473__C18orf4__C18orf4	2.916	0.19285	1.8636	0.81516	6.8813	2.0898	3.5813	2.2879	0.32997	0.85351	1.2471	4.2512	0.70224	0.051857	2.0646	2.9336	0.30277	0.5877	5.6726	0.27885	0.83484	5.3935	0.6096	3.6129	0.593	0.79273	2.0735	0.074512	4.3534	3.7589	0.58445	2.8849	3.8849	0.37249	1.2527	2.7154
RS_G19176__ITGBL1__ITGBL1	0.16651	0	0	0	0.20264	0	4.0493	0.68818	0	0.28041	0	4.3601	7.3595	0.1923	0.54398	0	6.5539	0.69579	6.9503	0	0.29988	0	3.9306	6.4769	0.052559	0	0	0	6.6087	4.4647	0.23086	1.0651	0	1.5074	0	0
RS_G6735__POPDC3__POPDC3	0.57665	0.54819	0	1.155	5.5701	0	5.6997	0	1.7365	1.6638	9.4619	5.2097	3.2583	5.1209	0.49723	5.0981	5.9485	5.433	2.9252	0	1.0232	0.71731	3.294	5.9295	0.20004	0	4.2033	2.4234	4.7089	4.6043	3.7261	3.2768	6.8346	0.44169	0	1.6355
RS_G16982__IFIT1__IFIT1	4.0272	0.24404	1.6038	8.4349	2.6931	1.5317	3.5077	4.2694	0.73486	5.2973	9.1722	6.0939	6.5673	6.0911	6.388	1.8643	3.3544	10.3925	2.1393	3.6083	3.6486	6.109	2.752	6.2823	1.4311	1.9978	5.2218	0	1.8031	5.7124	8.5429	3.6724	3.048	5.5259	1.7547	0.9293
RS_G9624__KCTD14__KCTD14	1.3345	0	1.3939	0.15538	1.2875	0	1.4303	0.82766	0.44881	0.39689	4.2721	6.4763	4.9359	1.9413	0.53673	6.991	6.1103	3.674	4.8691	0.92268	1.2413	6.1017	6.5793	8.2157	0.66947	0	2.2392	0	1.3039	0	0	0.7793	2.9725	2.6382	0	0.41275
