Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg21178548__SAMD14	0.079662	0.14246	0.28604	0.034536	0.082963	0.33734	0.12859	0.047043	0.13561	0.093477	0.89944	0.22666	0.38579	0.13867	0.50537	0.077666	0.15909	0.10473	0.077859	0.097669	0.15139	0.14449	0.056934	0.20658	0.088875	0.27388	0.041549	0.05763	0.082631	0.13627	0.17283	0.17849	0.13411	0.094266	0.068594
Meth__cg19580810__RAB25	0.099988	0.050562	0.18107	0.088267	0.056962	0.86798	0.089921	0.15854	0.12851	0.14805	0.8073	0.2503	0.23371	0.11588	0.21856	0.86002	0.07881	0.80537	0.088248	0.074521	0.86245	0.85185	0.14751	0.10558	0.078888	0.27169	0.83685	0.080202	0.84889	0.03594	0.040285	0.078047	0.17464	0.037945	0.036921
Meth__cg15164958__MGC33530	0.46655	0.035166	0.75354	0.079062	0.29257	0.24831	0.66924	0.69063	0.083105	0.09901	0.12856	0.21682	0.27672	0.065531	0.0928	0.080145	0.10252	0.12673	0.27018	0.40643	0.067305	0.25248	0.16367	0.18205	0.39827	0.069507	0.15282	0.13504	0.082655	0.072128	0.21847	0.22386	0.0773	0.53771	0.44515
Meth__cg06479426__SLCO4A1	0.044132	0.038473	0.074175	0.046408	0.026472	0.038085	0.15906	0.035555	0.063489	0.060184	0.040625	0.074502	0.07578	0.065624	0.038552	0.03923	0.083787	0.075217	0.038888	0.047368	0.44254	0.92324	0.046442	0.045577	0.089423	0.09521	0.047936	0.034171	0.024218	0.025627	0.035888	0.13045	0.03606	0.035111	0.040414
Meth__cg18414381__EHF	0.078625	0.055305	0.065735	0.057748	0.078553	0.69809	0.10193	0.029721	0.80767	0.31158	0.83047	0.1032	0.089789	0.68616	0.19697	0.86029	0.15656	0.58178	0.84902	0.7167	0.83498	0.84179	0.12622	0.13814	0.099162	0.072017	0.89817	0.028652	0.86332	0.040141	0.039274	0.2032	0.064074	0.056128	0.043745
Meth__cg03522063__EMX2	0.54447	0.064638	0.080529	0.26854	0.13603	0.57436	0.78243	0.80786	0.072793	0.76457	0.54108	0.88006	0.76057	0.17301	0.14053	0.082627	0.17218	0.22876	0.76254	0.77701	0.074129	0.52252	0.79213	0.12959	0.69263	0.1192	0.061477	0.090794	0.57327	0.052478	0.54651	0.29668	0.87997	0.55597	0.51921
Meth__cg00995327__CHST2	0.67175	0.04784	0.84857	0.75502	0.49822	0.046874	0.9651	0.086184	0.057507	0.93258	0.10316	0.03836	0.75204	0.4142	0.054506	0.055154	0.082666	0.046193	0.97083	0.95221	0.051815	0.47195	0.95258	0.57525	0.91096	0.092729	0.057507	0.5015	0.056366	0.070247	0.8264	0.91942	0.50221	0.77903	0.8426
Meth__cg22254104__LHX6	0.18574	0.11562	0.78735	0.49043	0.32789	0.11293	0.57538	0.27281	0.085512	0.41394	0.36898	0.22298	0.60258	0.067135	0.13267	0.059002	0.11361	0.097647	0.1365	0.10616	0.085985	0.23032	0.099437	0.19374	0.64335	0.10307	0.16948	0.08111	0.091621	0.063639	0.75626	0.21468	0.36736	0.52415	0.65066
Meth__cg08569678__LY6K	0.79822	0.22158	0.069342	0.8864	0.86349	0.039585	0.86276	0.071613	0.056811	0.90052	0.79834	0.035944	0.12366	0.46143	0.056896	0.072963	0.23339	0.043153	0.84752	0.88424	0.041467	0.071037	0.88314	0.37056	0.84173	0.33484	0.060388	0.047138	0.056778	0.037799	0.92339	0.50023	0.89234	0.90284	0.87038
Meth__cg24713204__ZNF471	0.4787	0.054523	0.066749	0.52543	0.47306	0.028809	0.91455	0.58208	0.027639	0.043583	0.049849	0.07815	0.791	0.3946	0.036216	0.040037	0.09147	0.26946	0.79036	0.67628	0.13197	0.83872	0.059343	0.30687	0.90992	0.18272	0.040245	0.38722	0.66838	0.41964	0.94707	0.68208	0.1309	0.47568	0.40093
Meth__cg12195695__ARMC7	0.04897	0.068169	0.31817	0.22149	0.070468	0.076766	0.057034	0.061632	0.17703	0.12764	0.068182	0.20989	0.11492	0.15257	0.12653	0.10305	0.084741	0.11416	0.076831	0.055268	0.070754	0.499	0.27403	0.10134	0.10183	0.32087	0.03865	0.050891	0.10883	0.048546	0.049599	0.069354	0.058731	0.046432	0.057751
Meth__cg09038885__ADRA1B	0.069494	0.52094	0.66386	0.7653	0.38363	0.72175	0.43398	0.90826	0.023885	0.44271	0.32798	0.89433	0.47474	0.11669	0.027738	0.039947	0.13634	0.033391	0.49494	0.42727	0.43442	0.045039	0.040436	0.19084	0.95104	0.16914	0.063661	0.029241	0.8113	0.098265	0.95789	0.099108	0.41465	0.4033	0.84089
Meth__cg12447832__TTC15	0.079164	0.082491	0.093776	0.28735	0.3429	0.085375	0.11844	0.066144	0.17766	0.54447	0.079057	0.40467	0.1808	0.14216	0.10754	0.23789	0.15686	0.63098	0.081465	0.17597	0.20244	0.21336	0.45548	0.17695	0.12311	0.18601	0.11887	0.070095	0.15388	0.10432	0.089491	0.16662	0.10582	0.085517	0.07706
Meth__cg20543416__MMP25	0.048043	0.051777	0.22342	0.058624	0.031634	0.045718	0.044333	0.090433	0.058478	0.060507	0.16418	0.25033	0.62088	0.06368	0.71769	0.053542	0.082983	0.055198	0.038462	0.054284	0.065869	0.076282	0.058877	0.14187	0.13802	0.091339	0.056791	0.048322	0.056794	0.032854	0.071081	0.16163	0.051278	0.043651	0.045433
Meth__cg03475172__USP6NL	0.074178	0.1597	0.16924	0.23973	0.0503	0.74547	0.19023	0.88775	0.31726	0.070683	0.58999	0.64735	0.38526	0.28568	0.84397	0.73103	0.257	0.51561	0.20509	0.087166	0.75943	0.36386	0.21553	0.55421	0.2692	0.16346	0.85841	0.37261	0.19856	0.089666	0.26178	0.21812	0.081212	0.14298	0.27074
Meth__cg17132967__ZNF83	0.097468	0.29339	0.79411	0.63885	0.46186	0.29599	0.71719	0.79059	0.099693	0.76738	0.088081	0.23484	0.66099	0.077216	0.081462	0.093768	0.10467	0.059474	0.58612	0.6295	0.072718	0.63084	0.73412	0.60273	0.54263	0.44813	0.050353	0.68503	0.33589	0.30035	0.43141	0.13091	0.047205	0.50432	0.34528
Meth__cg13337865__TEKT1	0.061476	0.047768	0.52114	0.29855	0.093546	0.83946	0.10323	0.62267	0.47426	0.052388	0.53193	0.68235	0.15611	0.34826	0.6712	0.3694	0.17723	0.21255	0.071258	0.057808	0.27141	0.82381	0.087397	0.068968	0.67945	0.085915	0.049551	0.074002	0.83578	0.081574	0.56795	0.048207	0.041888	0.056362	0.070205
Meth__cg01784199__DNAJB4	0.13447	0.054732	0.088845	0.13841	0.11821	0.053328	0.19156	0.099751	0.060777	0.10862	0.098023	0.1241	0.13365	0.074202	0.088118	0.059087	0.10141	0.068624	0.096737	0.11214	0.088407	0.067995	0.13864	0.13306	0.12056	0.091346	0.046075	0.040579	0.074501	0.050351	0.070508	0.15591	0.098901	0.15849	0.097133
Meth__cg19005368__PRRG4	0.040734	0.037949	0.052116	0.042112	0.043024	0.89331	0.047416	0.31785	0.051001	0.034751	0.78426	0.039302	0.062116	0.062309	0.08515	0.058876	0.1221	0.85418	0.036115	0.048532	0.47659	0.87922	0.048893	0.061274	0.2197	0.072273	0.44462	0.03347	0.468	0.028329	0.022767	0.081963	0.038464	0.034041	0.041743
Meth__cg09226684__KLK10	0.57287	0.087975	0.20367	0.2924	0.10584	0.38722	0.10052	0.17463	0.11063	0.10219	0.86567	0.72887	0.12721	0.12949	0.12659	0.27874	0.10526	0.2206	0.095399	0.12513	0.098083	0.29566	0.11556	0.18784	0.56308	0.076601	0.11019	0.11508	0.09317	0.11836	0.11587	0.11765	0.088704	0.1027	0.086381
Meth__cg26320696__PARVA	0.045123	0.045545	0.06651	0.058436	0.21509	0.094598	0.13378	0.05585	0.057892	0.076424	0.098856	0.046501	0.11485	0.04316	0.042573	0.043187	0.080539	0.033349	0.3308	0.41893	0.04359	0.055866	0.044526	0.067879	0.11977	0.058355	0.032857	0.027294	0.26751	0.043754	0.062335	0.074991	0.040244	0.24667	0.35727
Meth__cg00412772__C19orf33	0.068704	0.052191	0.73034	0.2106	0.066568	0.947	0.086058	0.14333	0.95233	0.91071	0.94705	0.038785	0.11957	0.86368	0.77258	0.96437	0.68423	0.96634	0.068497	0.054887	0.95557	0.11069	0.94626	0.054679	0.91569	0.0625	0.76323	0.042516	0.051095	0.82763	0.042744	0.077298	0.05677	0.88517	0.93803
Meth__cg09257092__ITPR2	0.040779	0.033463	0.39633	0.10076	0.032991	0.89377	0.069544	0.33655	0.3551	0.048751	0.044896	0.046542	0.37703	0.31425	0.4252	0.044632	0.14104	0.066175	0.037153	0.071772	0.053942	0.26732	0.33378	0.060675	0.3288	0.048896	0.046472	0.033783	0.045202	0.05214	0.38054	0.088927	0.048492	0.23603	0.06979
Meth__cg24272559__LOC116123	0.069585	0.060052	0.2164	0.14199	0.13048	0.58204	0.30614	0.75531	0.56246	0.1159	0.82939	0.26026	0.14388	0.48132	0.78887	0.5846	0.11879	0.11105	0.10832	0.1105	0.1432	0.35921	0.14542	0.20372	0.34294	0.07621	0.32274	0.15471	0.10888	0.077178	0.28251	0.2039	0.085604	0.12295	0.090744
Meth__cg23843812__FLJ43582	0.076205	0.051596	0.064641	0.12175	0.43118	0.48328	0.26401	0.077203	0.036823	0.14489	0.053034	0.35818	0.33311	0.051706	0.07426	0.1456	0.22097	0.045782	0.47387	0.37129	0.14663	0.11787	0.31109	0.24535	0.25626	0.087721	0.042347	0.32327	0.052672	0.065053	0.13055	0.11797	0.27829	0.26723	0.50326
Meth__cg06022562__FLJ13841	0.085558	0.10554	0.81722	0.072057	0.059399	0.92006	0.080737	0.8998	0.1083	0.075742	0.67222	0.2069	0.27778	0.09894	0.84796	0.93214	0.19148	0.89282	0.074745	0.075066	0.93661	0.85915	0.12639	0.27999	0.097748	0.10402	0.93451	0.49174	0.8614	0.086884	0.36575	0.15427	0.081413	0.10217	0.27364
Meth__cg01408383__PIGA	0.42426	0.12482	0.056582	0.038997	0.20437	0.030929	0.044776	0.047741	0.044816	0.40579	0.044561	0.045385	0.073741	0.042131	0.042582	0.042979	0.31495	0.22273	0.03367	0.04479	0.27357	0.094785	0.034228	0.2986	0.34871	0.36099	0.43079	0.035303	0.38405	0.038091	0.026313	0.10003	0.30867	0.21259	0.046629
Meth__cg10731149__CYBRD1	0.052382	0.94934	0.045503	0.95274	0.96683	0.049284	0.94322	0.8353	0.10978	0.082103	0.073044	0.17319	0.94427	0.45443	0.88585	0.051862	0.079838	0.040109	0.9085	0.95095	0.039326	0.044867	0.29174	0.084211	0.10921	0.80396	0.35629	0.036511	0.19357	0.052561	0.57742	0.082051	0.29278	0.84934	0.94453
Meth__cg01986577__ARNTL2	0.34672	0.074497	0.15497	0.85174	0.55043	0.58859	0.5119	0.8423	0.070234	0.75947	0.33265	0.27658	0.2693	0.092252	0.31012	0.053701	0.068581	0.034539	0.763	0.2356	0.25341	0.069349	0.62554	0.45565	0.68782	0.20669	0.44821	0.029999	0.04295	0.058844	0.7756	0.26152	0.51562	0.5994	0.74746
Meth__cg03262773__RAD54L	0.08697	0.76596	0.13457	0.13919	0.096693	0.20252	0.15235	0.10997	0.37453	0.11753	0.40105	0.2514	0.59346	0.36896	0.22246	0.091951	0.14552	0.081149	0.16487	0.10138	0.6314	0.56093	0.20299	0.15419	0.13423	0.34471	0.11718	0.065746	0.14154	0.13139	0.35734	0.1822	0.091933	0.10678	0.10561
Meth__cg17740645__GRB7	0.026383	0.020314	0.02887	0.024664	0.016207	0.96282	0.017445	0.021405	0.022197	0.031168	0.015845	0.021025	0.029935	0.031476	0.022543	0.65322	0.037018	0.20297	0.021618	0.025644	0.95615	0.14106	0.018997	0.040881	0.043819	0.032267	0.91443	0.015787	0.28615	0.30652	0.018701	0.027146	0.017684	0.023099	0.018295
Meth__cg22983529__GNG11	0.60244	0.48225	0.88731	0.80903	0.6245	0.038265	0.7609	0.85711	0.22785	0.44553	0.090396	0.1039	0.86749	0.23518	0.53008	0.094661	0.13943	0.047273	0.50363	0.51777	0.058954	0.075092	0.50017	0.093424	0.1621	0.50088	0.051249	0.44782	0.05267	0.083809	0.69163	0.11326	0.62348	0.36757	0.75088
Meth__cg21825027__SH3YL1	0.038298	0.025129	0.034829	0.036103	0.030979	0.81016	0.036726	0.031537	0.3773	0.037829	0.038754	0.039823	0.079953	0.33283	0.24759	0.035975	0.078543	0.35381	0.024917	0.031535	0.24716	0.87962	0.042625	0.09269	0.073631	0.084143	0.051733	0.026934	0.7369	0.039897	0.027055	0.047659	0.031878	0.037232	0.040057
Meth__cg21295602__PSMB6	0.011341	0.013056	0.014999	0.015106	0.012869	0.01068	0.014025	0.039502	0.01348	0.014071	0.013562	0.0079988	0.033668	0.015352	0.011833	0.01461	0.022466	0.0084841	0.020281	0.012968	0.013169	0.027393	0.015706	0.019025	0.059076	0.024104	0.011666	0.01348	0.1251	0.011353	0.0095206	0.015793	0.014284	0.015654	0.015968
Meth__cg02654291__C9orf64	0.093588	0.20108	0.95046	0.83311	0.21853	0.93407	0.091411	0.10623	0.9677	0.11295	0.71293	0.89524	0.70121	0.91848	0.95689	0.24201	0.15421	0.65923	0.093917	0.10316	0.47601	0.14715	0.1465	0.16315	0.17897	0.18215	0.060419	0.56857	0.63157	0.08077	0.060522	0.58816	0.088672	0.098453	0.1171
Meth__cg09018810__IDS	0.53073	0.032129	0.028762	0.03355	0.3819	0.031353	0.044199	0.38348	0.03545	0.56449	0.031038	0.022836	0.069398	0.027688	0.39053	0.55168	0.12532	0.027881	0.025305	0.033802	0.11892	0.044708	0.033659	0.35008	0.40146	0.071703	0.54644	0.027454	0.57906	0.024037	0.29729	0.10005	0.59539	0.39907	0.032022
Meth__cg06156376__SHOX2	0.57908	0.061605	0.080222	0.077632	0.061844	0.057702	0.13508	0.093209	0.087495	0.51007	0.11364	0.10494	0.90514	0.53468	0.04842	0.061687	0.14892	0.04346	0.083275	0.55697	0.079182	0.068982	0.073516	0.58904	0.94429	0.090818	0.052372	0.070688	0.071768	0.55868	0.56319	0.81131	0.54545	0.6409	0.66166
Meth__cg19761273__CSNK1D	0.044021	0.031319	0.13788	0.035356	0.035196	0.17129	0.039393	0.1334	0.05564	0.038223	0.047313	0.18177	0.13329	0.051101	0.053411	0.34598	0.072838	0.039253	0.040657	0.044499	0.11037	0.14061	0.044173	0.066934	0.083018	0.085913	0.042489	0.046369	0.045997	0.035998	0.0269	0.060278	0.034958	0.036572	0.033209
Meth__cg21431091__TMEM9	0.036762	0.029847	0.51488	0.74845	0.028524	0.3731	0.042777	0.11122	0.11452	0.1059	0.059976	0.074133	0.11844	0.10834	0.048066	0.069113	0.058271	0.052273	0.055041	0.057435	0.070026	0.12126	0.093148	0.079901	0.096924	0.062935	0.031746	0.030242	0.048734	0.058041	0.037882	0.10176	0.067038	0.035347	0.043149
Meth__cg01468868__LIF	0.074275	0.053591	0.067821	0.068744	0.059942	0.054555	0.073357	0.044801	0.065839	0.063883	0.072154	0.073455	0.14849	0.073489	0.052981	0.063189	0.19171	0.56722	0.064103	0.078222	0.70719	0.83862	0.075605	0.1144	0.097285	0.10838	0.068122	0.068429	0.060246	0.054745	0.85267	0.13385	0.062803	0.066305	0.058879
Meth__cg22492020__FLJ20516	0.13526	0.099952	0.088627	0.12733	0.1674	0.06342	0.073527	0.090892	0.15613	0.25254	0.057956	0.053618	0.067828	0.16014	0.06073	0.059048	0.11692	0.064016	0.059138	0.070665	0.092954	0.093854	0.090132	0.098119	0.077187	0.11271	0.076951	0.062252	0.12162	0.084691	0.062927	0.057988	0.32902	0.17517	0.090952
Meth__cg13043862__EYA1	0.096784	0.03922	0.50846	0.073964	0.031179	0.076511	0.05091	0.35091	0.098465	0.047749	0.089543	0.30398	0.14759	0.11385	0.47919	0.10213	0.12015	0.055514	0.078992	0.065861	0.059719	0.29662	0.062644	0.14945	0.13964	0.073371	0.066756	0.049221	0.074296	0.09374	0.17804	0.12973	0.072299	0.056826	0.043886
Meth__cg01041367__TMEM70	0.072439	0.033363	0.093285	0.074522	0.04181	0.0483	0.062117	0.035783	0.11284	0.061827	0.16228	0.29986	0.30654	0.092996	0.11556	0.036313	0.1199	0.045567	0.052983	0.058231	0.074858	0.19135	0.090152	0.24367	0.077765	0.10123	0.051271	0.058985	0.070249	0.097326	0.063212	0.10664	0.059051	0.061492	0.056728
Meth__cg26756083__MMP16	0.075442	0.068217	0.58795	0.071437	0.057915	0.063984	0.067255	0.059425	0.058361	0.069688	0.52104	0.14607	0.2277	0.070196	0.073764	0.08274	0.17573	0.069949	0.065418	0.072203	0.069125	0.626	0.089178	0.18204	0.11323	0.1521	0.054638	0.056105	0.061743	0.065154	0.45082	0.096171	0.070409	0.067604	0.061974
Meth__cg03421300__SFN	0.056569	0.17243	0.05075	0.73084	0.70092	0.93658	0.049643	0.027856	0.93891	0.93343	0.93787	0.04737	0.076029	0.78265	0.048657	0.87348	0.083192	0.43023	0.051179	0.063101	0.93627	0.078703	0.057689	0.0952	0.10052	0.409	0.75603	0.022778	0.030144	0.026436	0.031509	0.17641	0.11395	0.048947	0.04539
Meth__cg09079593__TRIM7	0.078427	0.055303	0.90907	0.27533	0.77696	0.11976	0.12369	0.05031	0.07751	0.093689	0.70993	0.0823	0.41098	0.082671	0.88034	0.1207	0.12752	0.067734	0.84791	0.26469	0.26969	0.9065	0.73949	0.060881	0.51152	0.090828	0.28883	0.053816	0.079931	0.30269	0.91973	0.12959	0.097715	0.10452	0.12211
Meth__cg05208878__PRAME	0.49004	0.04226	0.055359	0.58349	0.85683	0.54018	0.61927	0.29364	0.032891	0.040924	0.034441	0.48965	0.27215	0.072542	0.54968	0.033333	0.11211	0.036541	0.069873	0.14597	0.29636	0.61042	0.25017	0.079889	0.37428	0.12897	0.069844	0.056518	0.4449	0.035327	0.031709	0.046995	0.61554	0.4078	0.44585
SNP__SLC25A37	0.027	-0.532	-0.856	-0.332	-0.456	0.511	-0.54	-0.425	0.152	-0.453	-0.37	-3.239	-0.59	-0.036	-4.159	-0.445	-1.129	0.047	-0.433	-0.537	-3.29	-0.251	-0.823	-0.414	-0.414	-0.552	-5.047	-0.129	0.026	-0.957	-0.746	-3.624	-0.274	-0.066	0.011
Meth__cg05443740__CSEN	0.040735	0.058622	0.92495	0.053004	0.036984	0.52847	0.050913	0.85076	0.62058	0.075257	0.39649	0.86574	0.5188	0.53105	0.4808	0.15613	0.35282	0.031072	0.063718	0.063073	0.71023	0.2908	0.086844	0.058512	0.1084	0.10542	0.060491	0.33859	0.039821	0.051984	0.32097	0.067279	0.044566	0.36734	0.11283
Meth__cg08831594__TSPAN15	0.046048	0.020593	0.077019	0.037313	0.04513	0.96431	0.053323	0.035126	0.04876	0.053385	0.7675	0.099624	0.078079	0.051595	0.042332	0.24267	0.054054	0.96724	0.037317	0.047001	0.058512	0.067132	0.060955	0.075117	0.10884	0.083126	0.044619	0.049299	0.3779	0.051772	0.049541	0.11403	0.044042	0.04555	0.045496
Meth__cg01770232__IL6	0.079977	0.059036	0.12088	0.19016	0.080809	0.28671	0.082384	0.1156	0.06123	0.062533	0.19062	0.35627	0.68932	0.08489	0.078972	0.090909	0.27279	0.067017	0.04754	0.077148	0.16344	0.13116	0.068051	0.11439	0.10474	0.10045	0.054982	0.081986	0.056313	0.076879	0.27029	0.14648	0.07355	0.07183	0.064257
Meth__cg16483916__PLAC2	0.077275	0.062593	0.080461	0.082285	0.038757	0.95649	0.087801	0.097129	0.050623	0.039532	0.12251	0.047206	0.096797	0.076176	0.081172	0.17003	0.079127	0.80321	0.027514	0.080213	0.092526	0.85646	0.12691	0.064756	0.11727	0.12985	0.37176	0.28642	0.18452	0.041361	0.49958	0.09085	0.047383	0.045858	0.083556
Meth__cg23989635__CDH1	0.050655	0.64228	0.09478	0.063581	0.035018	0.96862	0.048779	0.0549	0.040911	0.045953	0.050443	0.093967	0.077402	0.039968	0.045505	0.10406	0.076948	0.66219	0.038011	0.068377	0.10807	0.94931	0.055096	0.045754	0.066226	0.41594	0.049494	0.044189	0.12654	0.060104	0.032951	0.052377	0.047912	0.041385	0.036959
Meth__cg05860890__KCNV1	0.52731	0.50177	0.23228	0.39202	0.050959	0.58349	0.8508	0.69867	0.046065	0.62158	0.73457	0.4566	0.44474	0.18302	0.42856	0.1315	0.10165	0.070875	0.072019	0.070815	0.088568	0.81575	0.071237	0.083616	0.66476	0.56133	0.4184	0.48931	0.44972	0.060594	0.31433	0.12146	0.4123	0.52663	0.53564
Meth__cg05205664__UCP2	0.048833	0.050209	0.055604	0.17268	0.051534	0.53308	0.059087	0.03737	0.18104	0.040873	0.059234	0.30211	0.53041	0.18618	0.071615	0.048495	0.10988	0.73665	0.062141	0.058892	0.61892	0.08648	0.061642	0.12611	0.084647	0.12412	0.24015	0.074901	0.072538	0.046182	0.050626	0.10466	0.11408	0.05399	0.062003
Meth__cg04447890__GPR177	0.15905	0.32899	0.87005	0.16905	0.46659	0.17305	0.2317	0.5618	0.13535	0.15255	0.12891	0.15002	0.59003	0.13036	0.15853	0.13006	0.25038	0.15049	0.22883	0.1968	0.15012	0.21982	0.16952	0.23182	0.24444	0.2028	0.13259	0.1122	0.16326	0.12958	0.81796	0.20963	0.19689	0.19757	0.16647
Meth__cg09772154__FGFR2	0.051302	0.052388	0.13718	0.098032	0.050643	0.060641	0.073059	0.054132	0.080311	0.060474	0.071123	0.037939	0.50657	0.075339	0.077251	0.080112	0.12443	0.497	0.8306	0.61321	0.27884	0.91249	0.05893	0.041849	0.078138	0.10166	0.041212	0.041183	0.058456	0.058374	0.015353	0.10804	0.049771	0.033754	0.081591
Meth__cg25604883__AK5	0.92038	0.019489	0.97273	0.48484	0.69526	0.87564	0.88679	0.4759	0.031407	0.60207	0.27143	0.47054	0.91114	0.030543	0.086819	0.12145	0.069935	0.032727	0.83098	0.9485	0.36676	0.90101	0.31417	0.047571	0.7938	0.0289	0.022103	0.097709	0.65704	0.02942	0.52943	0.11933	0.52088	0.81993	0.92936
Meth__cg23413307__LCE1F	0.93902	0.032613	0.21569	0.94734	0.94516	0.051213	0.85413	0.32907	0.38308	0.34012	0.083517	0.29025	0.67017	0.34461	0.07154	0.13799	0.10165	0.057349	0.072638	0.15147	0.062328	0.096042	0.88003	0.21483	0.64557	0.12876	0.033431	0.083577	0.064938	0.05381	0.47586	0.20476	0.9169	0.70791	0.8137
Meth__cg03548857__FFAR2	0.079875	0.087769	0.13936	0.080786	0.10593	0.77832	0.081151	0.817	0.11076	0.079142	0.84925	0.76767	0.50164	0.1227	0.89507	0.94083	0.14705	0.086095	0.13614	0.15012	0.28511	0.69346	0.095972	0.10841	0.16752	0.099801	0.88278	0.49872	0.64525	0.056999	0.22451	0.24822	0.083093	0.095078	0.076451
Meth__cg14939652__NPAS3	0.069499	0.060462	0.52276	0.039395	0.43446	0.16855	0.12046	0.074851	0.039393	0.16083	0.05386	0.068874	0.16019	0.049535	0.098383	0.028093	0.11567	0.030882	0.26869	0.085854	0.054955	0.088299	0.031655	0.059643	0.10412	0.18489	0.035065	0.035197	0.046275	0.027761	0.16117	0.080392	0.33829	0.13561	0.12044
Meth__cg25668368__KCNH7	0.89286	0.04058	0.47678	0.085612	0.27845	0.16357	0.88782	0.92504	0.057117	0.059123	0.67214	0.55174	0.37535	0.054511	0.06809	0.15599	0.14818	0.093626	0.70869	0.87559	0.092681	0.51305	0.49964	0.283	0.4845	0.063432	0.055493	0.44866	0.10568	0.21325	0.88131	0.057334	0.56302	0.84626	0.82177
Meth__cg03139057__DLL3	0.023566	0.016275	0.45102	0.053216	0.023754	0.87786	0.14077	0.92098	0.080528	0.041389	0.63066	0.59284	0.66999	0.052819	0.79745	0.50525	0.062588	0.064459	0.16224	0.2523	0.94119	0.87085	0.060748	0.071511	0.072545	0.020128	0.81329	0.04417	0.058207	0.019963	0.76187	0.045556	0.028345	0.025753	0.25695
Meth__cg26297688__C12orf23	0.24554	0.08575	0.28767	0.92535	0.33339	0.057108	0.12632	0.16567	0.059943	0.21012	0.066399	0.73869	0.58399	0.067494	0.15325	0.032231	0.21898	0.044241	0.60807	0.2658	0.079978	0.050777	0.11118	0.056944	0.10768	0.15003	0.035054	0.048915	0.10469	0.080329	0.10386	0.076651	0.21033	0.48874	0.81809
Meth__cg24928378__RND1	0.072649	0.063564	0.12553	0.11257	0.07129	0.56158	0.091258	0.089245	0.11686	0.094483	0.91183	0.11869	0.28348	0.10292	0.62905	0.053829	0.12612	0.076627	0.080606	0.073747	0.085199	0.3815	0.0732	0.10588	0.13446	0.068596	0.066706	0.039021	0.059768	0.09373	0.29453	0.22446	0.056383	0.086633	0.096397
Meth__cg20541456__CYFIP2	0.11863	0.034644	0.70486	0.11687	0.097595	0.094144	0.75153	0.75701	0.10671	0.34798	0.10604	0.18896	0.32779	0.061352	0.2003	0.40056	0.13636	0.062481	0.71476	0.65238	0.10063	0.1442	0.57651	0.45663	0.41935	0.080316	0.060966	0.25333	0.12835	0.13829	0.062846	0.29341	0.098354	0.6381	0.58905
Meth__cg24146183__JMJD2D	0.027103	0.016529	0.022192	0.020077	0.026508	0.022029	0.0267	0.038286	0.016394	0.028317	0.013841	0.018368	0.019469	0.016452	0.012123	0.014867	0.031603	0.018375	0.021361	0.02426	0.015397	0.03148	0.023596	0.013865	0.022463	0.018681	0.029659	0.030902	0.17219	0.022347	0.018312	0.018174	0.01919	0.021137	0.022867
Meth__cg19843036__FLJ11155	0.044039	0.032372	0.18727	0.051698	0.034003	0.54277	0.033537	0.046196	0.39348	0.036166	0.14493	0.026676	0.11097	0.30998	0.051573	0.053153	0.099369	0.52216	0.049514	0.035024	0.13853	0.053337	0.04056	0.076372	0.10049	0.062615	0.047734	0.047198	0.045971	0.032684	0.1555	0.067991	0.035866	0.10231	0.075008
Meth__cg26537639__CYBA	0.061719	0.064782	0.98112	0.79791	0.026252	0.76589	0.042667	0.97916	0.052203	0.71423	0.062597	0.029764	0.91771	0.42009	0.97816	0.029679	0.97531	0.89151	0.040808	0.039585	0.10149	0.078128	0.96792	0.084243	0.1113	0.16118	0.71313	0.028359	0.046405	0.97383	0.98226	0.95199	0.746	0.059717	0.05103
Meth__cg05722552__NLGN1	0.077235	0.062436	0.092706	0.86177	0.25377	0.29756	0.4849	0.79152	0.085366	0.080921	0.17772	0.23223	0.6003	0.066834	0.073643	0.044657	0.054617	0.072177	0.07149	0.17325	0.079528	0.082728	0.075348	0.086839	0.54056	0.14586	0.050413	0.060362	0.10112	0.048931	0.064076	0.13204	0.11576	0.38554	0.75785
Meth__cg25559243__AAMP	0.040163	0.027229	0.038667	0.032017	0.033102	0.026677	0.0306	0.042126	0.025881	0.043215	0.026614	0.066364	0.045474	0.033412	0.031345	0.018913	0.059556	0.025837	0.030353	0.028981	0.058056	0.072907	0.035813	0.098673	0.051881	0.033002	0.023864	0.031018	0.40352	0.033605	0.030137	0.030452	0.04433	0.030346	0.038043
Meth__cg03852570__C10orf33	0.047725	0.043031	0.063823	0.05157	0.050602	0.84231	0.063832	0.034783	0.08257	0.05071	0.047473	0.084486	0.075315	0.090984	0.063647	0.16414	0.057223	0.060508	0.068053	0.057614	0.10153	0.079016	0.050487	0.085278	0.10065	0.07911	0.51705	0.047694	0.07032	0.041022	0.036824	0.1526	0.047945	0.049661	0.048345
