Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Meth__cg10237469__CEACAM4	0.36462	0.088282	0.57184	0.525	0.2659	0.1422	0.12192	0.13258	0.09033	0.36354	0.21838	0.60871	0.41285	0.11129	0.099877	0.20894	0.129	0.15923	0.099013	0.48406	0.57524	0.089245	0.62754	0.13645	0.35484	0.0925	0.1277	0.15083	0.083489	0.082742	0.13316	0.096881	0.16497	0.44496	0.1232	0.69524	0.28932	0.28576	0.3988
Meth__cg17022914__BATF2	0.17816	0.02159	0.54558	0.044781	0.15611	0.048321	0.03443	0.56504	0.024815	0.047552	0.04071	0.040355	0.065645	0.034451	0.026304	0.045963	0.032245	0.05599	0.024664	0.047665	0.16145	0.030626	0.058348	0.052188	0.045224	0.027159	0.34512	0.031023	0.04091	0.02669	0.045352	0.033671	0.14927	0.27173	0.043189	0.070199	0.04221	0.073602	0.042612
Meth__cg13733733__LILRA3	0.44166	0.086809	0.62473	0.15847	0.38345	0.15599	0.62936	0.82919	0.059313	0.36677	0.72235	0.58258	0.42836	0.067732	0.078657	0.57432	0.40417	0.09125	0.056174	0.67299	0.17779	0.15724	0.6266	0.13165	0.095363	0.10737	0.62234	0.1021	0.10675	0.071553	0.083805	0.068766	0.51643	0.39908	0.22434	0.50273	0.25434	0.29629	0.21302
Meth__cg04384208__FCGR3A	0.27601	0.036336	0.42684	0.59134	0.067887	0.12286	0.060762	0.82673	0.42987	0.10369	0.56283	0.61132	0.40708	0.018803	0.30864	0.30093	0.61151	0.10917	0.028824	0.15634	0.80165	0.07839	0.9432	0.11288	0.12275	0.041477	0.084906	0.084329	0.082844	0.17264	0.049561	0.046888	0.16552	0.057503	0.10079	0.42296	0.30001	0.30592	0.31545
Meth__cg04312209__IL7R	0.58178	0.083821	0.66622	0.35103	0.076196	0.22163	0.1755	0.13046	0.49608	0.11023	0.27554	0.31487	0.16302	0.21179	0.3293	0.098604	0.19351	0.13343	0.12727	0.22923	0.72619	0.059448	0.58373	0.20081	0.21846	0.17421	0.07196	0.18381	0.20323	0.0797	0.19687	0.079649	0.57403	0.092434	0.13605	0.37751	0.24938	0.21992	0.16247
Meth__cg09863066__PVALB	0.55139	0.026047	0.90552	0.77407	0.028381	0.80022	0.38844	0.45807	0.01866	0.58916	0.14277	0.61833	0.67873	0.022923	0.03794	0.18091	0.42688	0.029048	0.01573	0.50286	0.93065	0.21487	0.94277	0.071677	0.7965	0.029702	0.62099	0.05459	0.041721	0.027048	0.032773	0.020938	0.76926	0.20548	0.082698	0.90555	0.494	0.63674	0.50283
Meth__cg15210427__CST9L	0.89454	0.22279	0.89698	0.78067	0.028283	0.39384	0.023089	0.057645	0.10265	0.68244	0.12458	0.56696	0.41427	0.029804	0.11849	0.079038	0.12768	0.061728	0.030258	0.823	0.94388	0.033912	0.93696	0.031235	0.49292	0.58551	0.053419	0.037944	0.13013	0.04177	0.034676	0.048325	0.78658	0.14042	0.37707	0.86499	0.48963	0.051044	0.60433
Meth__cg04195127__WFDC1	0.081364	0.060436	0.62937	0.75313	0.039273	0.36285	0.18084	0.95425	0.032723	0.34888	0.91084	0.26098	0.78577	0.056954	0.031148	0.76046	0.046368	0.037198	0.026183	0.58624	0.94535	0.56949	0.11871	0.080925	0.18602	0.04999	0.7235	0.28567	0.14335	0.027295	0.028976	0.03284	0.49539	0.08684	0.074656	0.92969	0.08101	0.51031	0.06488
Meth__cg26036443__EHD2	0.056504	0.04708	0.90683	0.82286	0.045626	0.052403	0.08067	0.1139	0.068352	0.18485	0.90394	0.30208	0.10675	0.038588	0.059523	0.068838	0.048639	0.28776	0.046894	0.14278	0.17826	0.07628	0.48062	0.14294	0.69298	0.13265	0.92438	0.91163	0.098769	0.051464	0.036489	0.056873	0.30518	0.17823	0.11551	0.11252	0.060969	0.097892	0.071972
Meth__cg18294257__SEC14L3	0.03484	0.017329	0.60894	0.20212	0.02827	0.043394	0.086445	0.39618	0.040652	0.035403	0.12446	0.81475	0.16975	0.02135	0.030321	0.081782	0.047993	0.093863	0.016935	0.11077	0.89678	0.03635	0.16203	0.056557	0.040917	0.030803	0.035036	0.036616	0.029602	0.021482	0.032206	0.010945	0.14905	0.047182	0.049708	0.37924	0.052147	0.22199	0.042684
Meth__cg20555507__TRPM3	0.3123	0.057425	0.5755	0.11361	0.09597	0.24156	0.09502	0.90883	0.15849	0.071641	0.33544	0.24684	0.12987	0.063584	0.12943	0.089307	0.080128	0.075572	0.073314	0.078435	0.13803	0.059293	0.57994	0.16434	0.088767	0.10473	0.053372	0.25746	0.065849	0.080493	0.23866	0.068712	0.31991	0.081314	0.20378	0.068939	0.083586	0.10706	0.068346
Meth__cg27622610__OR1G1	0.84653	0.034333	0.54087	0.050528	0.022104	0.12101	0.11007	0.22143	0.022724	0.051416	0.087552	0.55085	0.21361	0.027741	0.021311	0.11171	0.87147	0.04328	0.042265	0.10756	0.81619	0.034797	0.064272	0.097161	0.039643	0.059263	0.02462	0.029762	0.061743	0.027516	0.023632	0.05324	0.44832	0.18568	0.061493	0.040137	0.059112	0.085822	0.035438
Meth__cg09551147__SORCS3	0.76925	0.019301	0.81321	0.15855	0.77105	0.53498	0.042147	0.56959	0.048127	0.17441	0.93942	0.50176	0.061078	0.016563	0.037786	0.25834	0.027821	0.037449	0.013921	0.84364	0.036174	0.035018	0.53293	0.24792	0.28946	0.032656	0.53875	0.034207	0.032444	0.021366	0.023298	0.037916	0.74044	0.72929	0.6925	0.6676	0.023729	0.69569	0.016801
Meth__cg26081162__C6orf141	0.068323	0.28075	0.06182	0.059891	0.89109	0.07758	0.36516	0.074452	0.065164	0.065237	0.11317	0.049904	0.4307	0.45534	0.072964	0.87028	0.065632	0.16265	0.21837	0.065039	0.060564	0.091435	0.059598	0.11812	0.063636	0.061656	0.90038	0.11651	0.11833	0.29656	0.053	0.5221	0.057065	0.44319	0.14848	0.068333	0.067889	0.10673	0.069644
Meth__cg01062029__ROR2	0.099696	0.049869	0.9046	0.81198	0.87369	0.45367	0.04447	0.19604	0.067585	0.84831	0.76419	0.58383	0.86382	0.041673	0.092974	0.53794	0.45332	0.13059	0.52004	0.81856	0.28611	0.15586	0.59242	0.8088	0.05922	0.048778	0.44275	0.56869	0.07186	0.090808	0.036074	0.060439	0.61582	0.29668	0.12344	0.82445	0.49891	0.1485	0.39369
Meth__cg01367992__LY9	0.65231	0.10224	0.78368	0.84833	0.054197	0.22222	0.21584	0.87381	0.80121	0.59528	0.14243	0.70392	0.7408	0.038835	0.64792	0.273	0.28136	0.31074	0.062479	0.65197	0.10938	0.088208	0.87144	0.23035	0.49133	0.10144	0.15503	0.52038	0.090342	0.073003	0.1322	0.078379	0.7983	0.19425	0.12087	0.66262	0.42857	0.14706	0.20834
Meth__cg11245384__PDYN	0.86312	0.066053	0.89532	0.88465	0.094195	0.26345	0.044085	0.76342	0.073097	0.066185	0.77291	0.90333	0.85056	0.029049	0.060988	0.46021	0.80444	0.054863	0.030367	0.72225	0.7801	0.31964	0.90877	0.062818	0.65494	0.044724	0.77863	0.13748	0.061499	0.49019	0.052625	0.23523	0.87577	0.4575	0.11088	0.77727	0.40554	0.073218	0.67478
Meth__cg26680127__MLCK	0.07862	0.03161	0.11884	0.096956	0.092675	0.045671	0.25	0.3473	0.044856	0.058072	0.07127	0.18304	0.13722	0.0733	0.055831	0.059378	0.15606	0.10477	0.047948	0.13431	0.52693	0.12393	0.2603	0.083847	0.056208	0.085907	0.062992	0.044316	0.042087	0.031631	0.033278	0.026906	0.14425	0.055097	0.046686	0.090101	0.052188	0.080719	0.05754
Meth__cg12682367__FLJ46358	0.069225	0.16463	0.92268	0.87381	0.56699	0.36627	0.76358	0.94254	0.026941	0.48171	0.52543	0.61677	0.45153	0.080248	0.045334	0.23518	0.81529	0.10648	0.022893	0.89224	0.82711	0.45095	0.94559	0.19472	0.78013	0.029859	0.33209	0.078967	0.14735	0.31335	0.5688	0.03021	0.73717	0.13388	0.26906	0.91733	0.62944	0.25632	0.37437
Meth__cg12181621__HIST1H3I	0.65339	0.091235	0.94651	0.79994	0.95282	0.73507	0.13243	0.94952	0.073329	0.94219	0.93684	0.085898	0.743	0.066725	0.18644	0.07074	0.069962	0.20125	0.61301	0.1135	0.95392	0.092546	0.94275	0.86845	0.096863	0.092038	0.091074	0.074113	0.1522	0.61263	0.093056	0.71121	0.087367	0.96363	0.13898	0.096373	0.94145	0.14239	0.92523
Meth__cg26822241__CYP2C9	0.89288	0.14968	0.90293	0.23734	0.17096	0.86864	0.65481	0.75354	0.89844	0.49225	0.75684	0.69149	0.30614	0.099135	0.63903	0.35655	0.49862	0.076722	0.11783	0.39137	0.85686	0.098555	0.9275	0.12447	0.38096	0.14966	0.20793	0.12797	0.1387	0.47871	0.80308	0.09142	0.92626	0.08209	0.16533	0.081787	0.58843	0.15145	0.74108
Meth__cg17190608__CUTL2	0.064465	0.045588	0.17132	0.053682	0.90394	0.91102	0.034304	0.96495	0.024437	0.55136	0.86014	0.36085	0.64513	0.13678	0.020212	0.01745	0.029742	0.03102	0.012125	0.1662	0.12012	0.044016	0.84919	0.70786	0.018285	0.023867	0.022727	0.57441	0.035391	0.016137	0.02199	0.023646	0.034727	0.15996	0.022513	0.067548	0.039102	0.52098	0.023
Meth__cg03804985__SLC2A8	0.0887	0.13687	0.061043	0.063253	0.061711	0.10408	0.18502	0.06355	0.089102	0.05863	0.11379	0.1806	0.13299	0.075955	0.066188	0.1123	0.07929	0.14476	0.67478	0.085987	0.074557	0.17546	0.068827	0.12815	0.10189	0.095568	0.08572	0.12965	0.10803	0.080362	0.057005	0.07319	0.063854	0.10332	0.15977	0.11838	0.11565	0.14552	0.10935
Meth__cg27132814__C20orf79	0.51757	0.051434	0.79757	0.68384	0.051717	0.34161	0.21536	0.87841	0.89837	0.46006	0.25412	0.6612	0.3957	0.051443	0.79917	0.56897	0.25382	0.36356	0.044186	0.57262	0.71461	0.069459	0.89586	0.066365	0.18178	0.10308	0.086715	0.35931	0.087176	0.090596	0.37188	0.086993	0.48375	0.23175	0.16645	0.34709	0.26514	0.35671	0.29013
Meth__cg06942445__TRO	0.77156	0.020993	0.79459	0.46917	0.024242	0.61942	0.07672	0.97017	0.65652	0.022255	0.90812	0.46907	0.49731	0.40665	0.61062	0.045223	0.016652	0.033725	0.021661	0.27617	0.80398	0.17253	0.95049	0.10563	0.48717	0.025773	0.040905	0.39125	0.024253	0.038526	0.030809	0.040236	0.89793	0.35709	0.028722	0.80816	0.39825	0.43782	0.19701
Meth__cg00666746__SYDE1	0.41238	0.030133	0.66617	0.77062	0.073923	0.94867	0.027552	0.052147	0.036128	0.34151	0.067596	0.032832	0.34307	0.15674	0.043688	0.091044	0.17529	0.024571	0.13046	0.57288	0.97031	0.082913	0.3788	0.094208	0.75963	0.13832	0.045614	0.031158	0.05243	0.078448	0.021204	0.074675	0.95397	0.93969	0.29767	0.14649	0.041897	0.28491	0.28929
Meth__cg05590982__P8	0.053018	0.038124	0.081393	0.6632	0.56191	0.048796	0.54995	0.084592	0.061207	0.27011	0.72697	0.12294	0.15609	0.039459	0.049806	0.2344	0.04502	0.046599	0.037704	0.87778	0.84855	0.75292	0.80679	0.55148	0.30465	0.071736	0.82627	0.066055	0.18115	0.037753	0.35099	0.073507	0.78839	0.041063	0.068759	0.15295	0.26244	0.10005	0.45714
Meth__cg00834796__JAKMIP2	0.11782	0.08133	0.60835	0.16274	0.052793	0.14758	0.11275	0.23501	0.27857	0.11108	0.074826	0.042602	0.14269	0.052778	0.25722	0.10835	0.051934	0.18757	0.058279	0.081812	0.29497	0.046137	0.27524	0.16433	0.16266	0.08658	0.05774	0.10208	0.052296	0.027932	0.060415	0.06913	0.25003	0.20255	0.091217	0.073985	0.15599	0.15382	0.21936
Meth__cg06256735__MFAP5	0.36047	0.054363	0.83534	0.47908	0.054447	0.40666	0.36862	0.75335	0.80821	0.52194	0.69524	0.39655	0.63729	0.076193	0.59187	0.28157	0.83392	0.12696	0.090909	0.1657	0.8784	0.092885	0.84331	0.065745	0.21824	0.24171	0.28448	0.10246	0.049099	0.058668	0.20204	0.19564	0.72083	0.29616	0.29286	0.1269	0.34018	0.36336	0.17583
Meth__cg19391527__PNOC	0.14887	0.048461	0.73781	0.35488	0.035851	0.19948	0.21746	0.89399	0.39724	0.443	0.1034	0.45685	0.56831	0.06161	0.26554	0.22403	0.11284	0.19048	0.033827	0.19855	0.60304	0.31237	0.88826	0.11577	0.16356	0.076018	0.11652	0.11367	0.082147	0.045763	0.049613	0.045843	0.2461	0.10822	0.1407	0.16497	0.07463	0.4555	0.065023
Meth__cg14686321__FLJ31951	0.10996	0.061095	0.81033	0.79157	0.039047	0.66688	0.021929	0.071703	0.039719	0.3677	0.042155	0.039587	0.090916	0.33875	0.12412	0.047426	0.038231	0.067608	0.037499	0.50943	0.89008	0.039272	0.79033	0.098761	0.81148	0.10066	0.03836	0.040145	0.08182	0.034303	0.045957	0.15162	0.71256	0.038448	0.14528	0.52683	0.49196	0.46297	0.77008
Meth__cg21301148__MYH6	0.25285	0.067911	0.66915	0.5794	0.097872	0.1594	0.10763	0.42115	0.26879	0.10687	0.1401	0.47904	0.17801	0.086147	0.21766	0.12395	0.12595	0.14001	0.05153	0.42952	0.59962	0.13033	0.88404	0.1189	0.22132	0.1219	0.13701	0.15574	0.11702	0.091789	0.075246	0.068529	0.34337	0.10355	0.3033	0.61074	0.14644	0.1251	0.14626
Meth__cg05205664__UCP2	0.048833	0.050209	0.17268	0.051534	0.53308	0.059087	0.043338	0.03737	0.18104	0.040873	0.059234	0.30211	0.53041	0.036324	0.18618	0.071615	0.048495	0.10988	0.73665	0.058892	0.045307	0.61892	0.047978	0.08648	0.061642	0.12611	0.96095	0.061019	0.12412	0.24015	0.074901	0.072538	0.059242	0.050626	0.10466	0.11408	0.05399	0.076813	0.062003
Meth__cg05921207__CHRDL1	0.43688	0.023732	0.85772	0.42932	0.17028	0.84217	0.38114	0.95028	0.11855	0.49955	0.88117	0.08706	0.83347	0.19692	0.12729	0.36604	0.9261	0.091591	0.021374	0.21501	0.46112	0.052887	0.56161	0.34777	0.5193	0.18255	0.76718	0.053579	0.043596	0.27825	0.028324	0.054999	0.8481	0.37041	0.78854	0.35721	0.57272	0.23671	0.8454
Meth__cg12348970__SLC24A2	0.83027	0.061648	0.79221	0.62597	0.10536	0.83973	0.13659	0.87984	0.90845	0.42715	0.82377	0.65527	0.40965	0.086327	0.82163	0.32367	0.84294	0.0694	0.12252	0.11404	0.85765	0.070384	0.86772	0.1592	0.16296	0.17335	0.35852	0.085206	0.12852	0.37765	0.78508	0.097175	0.89111	0.18968	0.12134	0.12283	0.50647	0.48994	0.49118
Meth__cg22864416__CCNJ	0.024655	0.55512	0.027465	0.020866	0.20422	0.73979	0.076136	0.016255	0.028488	0.031771	0.028843	0.052009	0.057937	0.017477	0.025698	0.44586	0.025824	0.052171	0.024492	0.023563	0.021946	0.034529	0.018651	0.036724	0.031486	0.042528	0.031383	0.030537	0.059156	0.022056	0.015913	0.020155	0.021488	0.9851	0.085526	0.030284	0.562	0.031242	0.96369
U133A__SDC2	7.6839	4.4758	5.471	5.8173	4.5404	5.3484	4.9752	10.2929	6.6377	9.2915	8.7747	4.6024	4.7327	7.4159	9.7014	7.0364	7.5149	4.7632	8.8181	6.728	7.8196	9.0147	5.4896	7.431	4.4419	4.9399	6.4263	4.3422	4.8889	6.2214	4.7253	5.4138	6.0161	4.9022	6.7886	5.683	4.8569	4.8693	6.2833
Meth__cg18565355__RBM35A	0.053114	0.06417	0.04936	0.045203	0.89511	0.049756	0.90761	0.042357	0.055787	0.052689	0.050598	0.089882	0.10983	0.061348	0.05262	0.053972	0.68863	0.11547	0.56503	0.051508	0.05243	0.89147	0.04287	0.74396	0.053287	0.09179	0.89736	0.061907	0.12594	0.83076	0.041838	0.86879	0.045591	0.039021	0.054825	0.048901	0.045585	0.13293	0.050395
Meth__cg25999867__LOC112937	0.96825	0.026758	0.83024	0.96207	0.76791	0.97911	0.087334	0.97308	0.023843	0.97699	0.7702	0.083739	0.8765	0.49274	0.030666	0.054917	0.026754	0.025358	0.029998	0.97599	0.34718	0.021057	0.97937	0.93117	0.91955	0.051366	0.024713	0.94056	0.031183	0.024266	0.16435	0.021369	0.027382	0.94543	0.73895	0.44533	0.96619	0.95565	0.9685
Meth__cg16792160__ASAH2	0.528	0.092821	0.83455	0.59709	0.086252	0.29702	0.23423	0.83119	0.69147	0.19881	0.39184	0.25323	0.56138	0.084795	0.4906	0.24364	0.52184	0.20271	0.11491	0.35355	0.36444	0.11705	0.89866	0.11907	0.20441	0.098761	0.2402	0.10464	0.13136	0.38658	0.74511	0.09446	0.64915	0.31839	0.068665	0.55661	0.35874	0.21314	0.18928
U133A__TNFAIP2	6.5795	8.2231	6.3738	6.1237	5.8589	6.542	7.6816	7.4465	8.7141	6.2884	5.9616	8.5324	7.833	6.9407	6.4399	7.8688	8.5522	9.3888	6.3682	6.5616	6.4062	8.2471	6.4737	6.5829	5.7377	6.762	7.6957	8.9943	7.0839	6.245	8.1	6.9614	6.0373	6.7441	6.7504	6.8502	5.7957	6.9406	6.5668
Meth__cg07637239__KCNK18	0.89531	0.027951	0.88551	0.83159	0.12817	0.64108	0.11634	0.53946	0.42794	0.45269	0.63835	0.41311	0.24382	0.034483	0.37585	0.3801	0.85057	0.073238	0.037095	0.79132	0.090987	0.053188	0.94385	0.10905	0.53359	0.051062	0.33539	0.063855	0.10317	0.049801	0.3717	0.036266	0.36402	0.068764	0.18325	0.88663	0.48895	0.2783	0.70708
Meth__cg21930712__FLJ40235	0.4939	0.073451	0.92171	0.79596	0.053653	0.10353	0.26904	0.21214	0.053672	0.70845	0.1919	0.41049	0.45678	0.041994	0.058694	0.18407	0.33822	0.13909	0.049105	0.46081	0.21238	0.13524	0.8104	0.13144	0.6275	0.092767	0.16743	0.096507	0.087048	0.064522	0.088724	0.057649	0.093268	0.27782	0.32316	0.82109	0.16352	0.13082	0.25599
U133A__LMCD1	6.5609	6.4091	6.1756	7.4953	5.3439	6.2751	5.829	7.8319	5.3364	7.8935	7.3762	5.7221	5.6691	5.9457	7.0603	5.1047	6.4592	6.3042	5.9992	5.9717	8.0941	5.9372	7.2973	5.7364	6.2042	7.0151	5.3802	5.0196	6.1463	5.4766	5.0203	5.7004	7.9499	7.4884	7.5056	8.1009	6.6191	8.1152	5.7219
Meth__cg17718302__HIST1H3J	0.037683	0.030638	0.96437	0.71745	0.15351	0.56176	0.078292	0.9659	0.08557	0.94635	0.5356	0.029211	0.50223	0.94708	0.10196	0.030692	0.025689	0.35911	0.68555	0.036968	0.95356	0.033129	0.60413	0.49521	0.36821	0.10951	0.054074	0.024528	0.057543	0.82455	0.9675	0.058708	0.71364	0.38567	0.48105	0.035367	0.040732	0.2224	0.034055
Meth__cg03294619__NKX2-5	0.32369	0.023222	0.97736	0.93712	0.9048	0.9786	0.90324	0.98877	0.037901	0.96336	0.84123	0.022599	0.91418	0.084267	0.029484	0.020774	0.023903	0.048891	0.026948	0.98313	0.77589	0.94413	0.90778	0.71556	0.035306	0.031026	0.016382	0.41479	0.036514	0.89752	0.23458	0.028546	0.81933	0.45185	0.87679	0.97162	0.42354	0.91804	0.94715
Meth__cg20166532__EDG1	0.49884	0.059168	0.1478	0.57552	0.056678	0.87288	0.04001	0.91116	0.056329	0.63674	0.3702	0.14198	0.70214	0.37579	0.055415	0.65042	0.047442	0.15215	0.46839	0.85237	0.73482	0.065538	0.89128	0.77479	0.81224	0.35453	0.053036	0.57701	0.11004	0.077375	0.04496	0.26194	0.44945	0.47955	0.6098	0.56245	0.61782	0.50311	0.43341
Meth__cg19836808__S100A7	0.1007	0.029239	0.48766	0.15662	0.024322	0.056017	0.073963	0.12422	0.041285	0.045372	0.036956	0.30175	0.20595	0.017286	0.062784	0.058962	0.052161	0.038943	0.023663	0.14406	0.64004	0.025433	0.60467	0.044653	0.036059	0.03812	0.15132	0.11649	0.085762	0.071793	0.026687	0.022527	0.1777	0.10463	0.075774	0.035816	0.062023	0.02395	0.10381
Meth__cg26252167__GPR6	0.57239	0.017699	0.35039	0.93792	0.97393	0.95933	0.90182	0.80764	0.020038	0.95999	0.97339	0.86268	0.61853	0.032482	0.16592	0.026479	0.28689	0.05856	0.042444	0.63991	0.97557	0.050976	0.98052	0.92962	0.34716	0.15136	0.104	0.31747	0.36481	0.032097	0.29807	0.072282	0.030337	0.96751	0.12854	0.87335	0.38251	0.063452	0.13161
Meth__cg06123346__ATP4A	0.072149	0.042943	0.57984	0.37544	0.08304	0.096061	0.10458	0.4533	0.037512	0.13282	0.20349	0.57916	0.12375	0.021091	0.049899	0.41215	0.15139	0.054883	0.044314	0.24426	0.36028	0.11383	0.38825	0.09273	0.089856	0.10716	0.1593	0.092651	0.10134	0.093641	0.053729	0.054402	0.093918	0.12284	0.12559	0.11846	0.097931	0.15137	0.063226
Meth__cg04478795__SMO	0.83456	0.058506	0.68091	0.93382	0.11996	0.84402	0.26029	0.24897	0.026561	0.85978	0.048779	0.82011	0.78753	0.23198	0.035744	0.079333	0.032082	0.42768	0.041463	0.8766	0.96764	0.24768	0.67486	0.84293	0.16725	0.047783	0.49251	0.36157	0.16635	0.058248	0.16556	0.18879	0.8826	0.7665	0.14043	0.93116	0.95389	0.54824	0.91399
Meth__cg21353232__SEZ6L	0.68066	0.019926	0.90699	0.85435	0.079869	0.1228	0.14314	0.41431	0.024035	0.45243	0.12836	0.2332	0.13888	0.020375	0.023372	0.42047	0.7473	0.08573	0.019244	0.62399	0.94273	0.60563	0.91677	0.049462	0.58915	0.039147	0.81342	0.035115	0.033469	0.37947	0.029323	0.016722	0.23692	0.075953	0.05853	0.93098	0.60078	0.47407	0.64864
Meth__cg00744433__CXADR	0.6776	0.055196	0.67523	0.41204	0.82627	0.40167	0.10215	0.36912	0.065359	0.10078	0.13918	0.18319	0.31677	0.10983	0.069799	0.10036	0.055801	0.11555	0.082476	0.71393	0.85888	0.078513	0.64263	0.21277	0.80919	0.71849	0.044451	0.076957	0.17533	0.78153	0.047712	0.068662	0.83467	0.49955	0.15277	0.077679	0.39137	0.28453	0.58026
Meth__cg09022808__GAL3ST1	0.60383	0.073743	0.8694	0.54576	0.12929	0.49182	0.59254	0.93312	0.11901	0.3581	0.21571	0.81284	0.74854	0.070677	0.078487	0.33611	0.75651	0.11084	0.042775	0.62323	0.88594	0.71326	0.8527	0.12827	0.36105	0.06549	0.45622	0.22737	0.11678	0.55692	0.42261	0.086492	0.45644	0.19094	0.1268	0.71285	0.19396	0.257	0.12196
Meth__cg24053587__PTPRO	0.26467	0.24165	0.53874	0.44942	0.090618	0.76466	0.09189	0.15421	0.044302	0.088764	0.11011	0.077887	0.56497	0.098257	0.19426	0.093754	0.069557	0.12859	0.052304	0.78979	0.1915	0.072575	0.5626	0.71439	0.11281	0.14191	0.040202	0.096024	0.097927	0.059165	0.034094	0.085157	0.7738	0.75946	0.39246	0.077007	0.25194	0.39926	0.33689
Meth__cg11195002__ICAM5	0.032387	0.046478	0.5824	0.036482	0.031778	0.22894	0.94209	0.034591	0.24519	0.052085	0.25322	0.5927	0.90509	0.029783	0.26939	0.9333	0.43333	0.46265	0.67914	0.034725	0.43048	0.42091	0.23627	0.10608	0.11452	0.75669	0.88328	0.58018	0.056406	0.34602	0.14567	0.91506	0.040252	0.67254	0.78418	0.91124	0.27593	0.47633	0.042066
Meth__cg12256228__RING1	0.049433	0.042719	0.073188	0.05893	0.040867	0.10559	0.037606	0.057219	0.048958	0.08041	0.059918	0.041898	0.077789	0.054125	0.052867	0.036178	0.038572	0.09539	0.030544	0.047005	0.056043	0.055302	0.09856	0.099485	0.043849	0.062046	0.042484	0.047296	0.072794	0.040364	0.029499	0.036902	0.40584	0.037279	0.075922	0.079156	0.040248	0.090086	0.044557
Meth__cg01599709__HBEGF	0.29577	0.61804	0.96103	0.92748	0.04194	0.78573	0.047039	0.30018	0.047499	0.91637	0.066651	0.24879	0.90121	0.052096	0.23196	0.07229	0.049297	0.11704	0.040864	0.93201	0.8416	0.17806	0.57214	0.058901	0.10289	0.096518	0.047942	0.0747	0.50592	0.041271	0.039621	0.048337	0.87123	0.91973	0.095479	0.45584	0.63075	0.86327	0.89925
Meth__cg25093045__FLJ46481	0.10205	0.032211	0.35298	0.5327	0.067861	0.38321	0.18789	0.83974	0.031731	0.76777	0.52014	0.26509	0.50292	0.028019	0.030169	0.22574	0.33483	0.17331	0.030835	0.44765	0.9276	0.053784	0.75588	0.074183	0.59426	0.050382	0.74566	0.045061	0.071114	0.027496	0.033277	0.036804	0.03436	0.30744	0.15661	0.46086	0.26481	0.18794	0.23253
Meth__cg26415633__KLK1	0.30214	0.032941	0.84452	0.56845	0.13461	0.20517	0.21147	0.86227	0.038336	0.32002	0.31383	0.79195	0.64356	0.022639	0.036506	0.43373	0.3614	0.051494	0.027902	0.57178	0.15106	0.17863	0.83319	0.1106	0.2306	0.059011	0.54028	0.20606	0.062562	0.37238	0.049292	0.070925	0.70783	0.54378	0.23353	0.68988	0.13359	0.15589	0.2081
Meth__cg21210789__BAI1	0.38605	0.028531	0.89384	0.81761	0.28458	0.73894	0.41048	0.61877	0.020386	0.86004	0.64807	0.58675	0.66821	0.025969	0.069617	0.59038	0.50694	0.048965	0.025212	0.79432	0.75155	0.80818	0.77953	0.10323	0.48488	0.034753	0.71652	0.092539	0.034228	0.80984	0.070577	0.032377	0.1902	0.52221	0.095252	0.76288	0.325	0.34236	0.73141
Meth__cg09706243__POLD4	0.23255	0.028337	0.25996	0.03755	0.24247	0.042912	0.39641	0.20877	0.086161	0.14757	0.081258	0.87203	0.22966	0.019986	0.081263	0.093346	0.019477	0.053172	0.018952	0.17321	0.33851	0.042303	0.32764	0.26631	0.25421	0.066354	0.079918	0.58528	0.045061	0.040404	0.032972	0.025304	0.50775	0.053127	0.071803	0.086742	0.026864	0.040789	0.019635
Meth__cg19389852__TXNIP	0.13231	0.10742	0.16075	0.090387	0.24217	0.12279	0.25426	0.094132	0.8084	0.12219	0.17072	0.31131	0.21815	0.088692	0.68849	0.18534	0.2861	0.20385	0.14739	0.08394	0.10023	0.21517	0.09037	0.18007	0.18245	0.16292	0.079588	0.7931	0.14786	0.2072	0.21648	0.16245	0.13477	0.13918	0.3132	0.092723	0.096135	0.20601	0.099944
Meth__cg23765993__SPINLW1	0.15745	0.057783	0.60334	0.66852	0.11103	0.15363	0.22394	0.75705	0.82599	0.37694	0.3487	0.64693	0.67879	0.14152	0.61293	0.52517	0.42477	0.17079	0.052511	0.50177	0.90213	0.10548	0.80158	0.090402	0.1931	0.14074	0.28377	0.13487	0.085068	0.081764	0.13647	0.14207	0.78983	0.1217	0.1455	0.11024	0.30148	0.24371	0.50252
Meth__cg14204735__CYB561	0.023614	0.023708	0.03906	0.018709	0.037827	0.037026	0.86812	0.028391	0.041853	0.028119	0.03518	0.044831	0.084079	0.028815	0.050571	0.052551	0.023907	0.16503	0.027255	0.024054	0.033463	0.82169	0.029125	0.086685	0.045172	0.044957	0.97283	0.058304	0.043982	0.53626	0.030021	0.94483	0.025834	0.020538	0.068865	0.031544	0.059071	0.082945	0.033729
