Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
RS_G12288__SCNN1G__SCNN1G	0	4.2825	0	4.9145	0	6.1694	5.6465	0.51299	0	4.2032	0.1358	0.4365	1.994	3.6997	0	2.0358	0	1.0232	0	1.07	0	0.17844	0.26289	1.7543	0.49282	0.92144	1.1277	8.2633	6.8146	0.91373	3.0802	0.48344
RS_G16452__NPW__NPW	0.92642	1.4213	0	2.4697	0.2454	0.65448	1.172	0.5077	0.26622	1.0368	5.9176	4.5334	4.1669	0	3.1399	0	0.4498	2.1341	0	1.085	0	2.8689	1.2498	1.1663	5.1687	4.4809	0	6.0124	1.5207	4.5138	4.8912	1.5426
RS_G15160__THBD__THBD	2.1121	3.0337	1.9883	4.929	0	3.8626	0	1.4846	0.37671	2.3226	0.27449	6.4554	0	0	0	0	0.1815	0.17079	1.0032	4.1804	4.9336	6.3586	6.7423	1.4443	7.6701	3.2897	3.8937	6.9106	0.26966	0.40369	3.7341	0
RS_G12862__LGALS9__LGALS9	6.1513	3.8085	2.4838	4.3619	1.2065	0.16906	1.1498	2.0604	1.6809	0.81283	3.6725	3.8578	4.5519	8.239	2.1576	3.5171	1.8164	8.8117	1.1612	0	1.098	1.1014	0	4.3563	0.74292	5.2937	7.885	4.2458	2.1547	2.1856	1.8861	0.97357
RS_G6622__BARX1__BARX1	0.22949	0	0	0.14871	0	0	0.23826	0	0.30134	0.36785	7.1091	3.5355	2.0759	0.38231	0.27778	1.3499	7.1959	0	0.31829	0.28343	0	0	0	0	5.4178	0	2.1329	4.5806	0.55638	0.58125	0	0
RS_G7642__TLR2__TLR2	2.5793	0.14593	0.67119	2.3389	0	0.88694	1.7219	0	0	0.22213	6.8794	3.7904	3.5507	0.63858	1.1242	0	0.71287	4.8139	0	1.4172	0	0.83802	0.28381	0	0	4.1149	3.9822	4.0658	0	0	1.6521	0
RS_G5278__CSTA__CSTA	0.45526	1.7151	4.4625	1.6336	2.2838	0	0	3.9302	2.4582	4.8816	5.0285	8.4207	6.5421	5.1336	0	5.5396	3.5366	8.6231	1.5014	9.801	0	3.0641	0.883	5.5628	0	6.7393	6.2582	7.0626	3.4916	2.8224	5.4387	1.2257
RS_G6482__C1orf38__C1orf38	3.3974	4.2439	0.54942	4.0843	2.7127	1.5549	3.9616	3.7584	0.4539	1.7862	8.1282	2.2046	2.9444	2.8256	4.0857	3.0815	3.6422	7.8373	2.5597	1.6665	3.1583	0.26791	1.2635	2.3138	5.525	5.0194	4.5227	5.1718	0.38634	0.78702	0	0.26986
RS_G4095__RBM24__RBM24	0	0.18099	2.7361	6.8059	5.2114	5.5365	3.1305	0.67503	2.4326	6.8352	1.4929	1.5526	2.9359	0.57117	0.20004	4.7801	6.5447	0.48409	3.744	2.8777	7.44	4.9553	0	0	4.2684	0.54062	0	0.30704	0	5.4843	3.1769	2.4745
RS_G6637__RARA__RARA	7.4958	9.1151	6.2662	9.3666	5.5867	8.6755	5.3	5.5698	6.1388	8.1484	6.2953	6.0039	5.8682	7.1367	6.3018	6.4304	5.9595	5.8703	6.0758	7.118	5.7313	7.2389	5.8846	8.386	6.6856	6.8134	7.2525	7.9308	6.8151	8.3269	8.5605	8.8544
RS_G2508__NTSR1__NTSR1	1.3246	5.0179	0.64197	1.934	0.12025	2.9231	0.62092	0.6549	0.13696	0.47215	0.11583	8.1986	1.0561	0	0	1.5179	0.82061	0.32384	2.1817	2.5628	0.99971	1.2335	0.22427	0.88219	0.11781	3.3646	2.8194	0.28878	0.43836	0.075228	0.41548	0
RS_G13648__CALB2__CALB2	7.6915	2.1737	1.662	6.2908	0	0	5.2036	3.9799	1.7043	5.3998	10.1444	5.0336	6.1106	8.6075	1.028	8.2301	3.0522	9.9809	0.80746	2.3077	2.8203	1.4489	0.55944	0	0.79094	2.0732	8.9452	4.5404	7.127	0.38243	2.8904	0.46928
RS_G23634__hsa-mir-205__hsa-mir-205	4.7533	1.3542	0	0	0	0	0	0	0	0	0	4.5349	4.3277	4.3498	0	0	0	3.377	0	0	0	1.395	0	0	0	2.9965	0	2.7057	2.7566	0	0	0
RS_G9383__SYT8__SYT8	5.2006	6.4758	0.42144	3.4629	0.20705	0.21585	2.0059	0	2.1773	4.7176	0.8256	1.403	3.6542	6.7637	2.0937	7.5701	0	0.70535	0.44075	0.21117	1.305	3.2331	0.36373	6.8044	1.207	5.1812	7.6667	7.8559	7.1945	8.3643	8.8617	3.4887
RS_G5561__PI3__PI3	3.0706	3.6429	3.0152	0	2.5138	0.73253	5.0806	3.2166	0.42835	0.53604	11.0888	3.8493	12.335	8.9357	0	5.0919	5.1559	10.2125	0.7907	0	0	0.39099	0	7.5841	0.66256	11.976	8.1079	9.9971	2.5749	0	0	0
RS_G6438__H19__H19	1.1105	10.4938	2.6615	4.2746	0.23891	1.0195	3.0509	2.0724	0.83467	4.1738	2.527	9.1435	2.137	3.2118	2.9071	4.9475	0.12357	0.57515	9.9367	2.9375	0.51368	4.7313	1.5866	12.8147	1.434	0.45922	3.8168	12.6438	9.9543	5.8115	3.5258	2.5666
RS_G17782__NCCRP1__NCCRP1	1.9723	8.6754	1.5981	1.8852	0.54713	1.1785	1.3837	1.3348	2.5779	2.3662	2.0152	1.3556	6.4577	2.5357	1.3406	0	0.72975	7.6867	0.73063	0.12719	0	1.4329	0.61219	6.3994	0.23329	0.67322	9.318	6.9508	5.0823	2.535	6.7479	0.97934
RS_G12150__PLEKHF1__PLEKHF1	4.5664	7.5697	3.2743	4.3786	6.093	7.1768	6.4073	4.6835	1.364	8.3562	10.9616	8.2934	7.2064	6.3537	5.3658	4.6339	2.4264	8.5432	5.7401	2.8211	4.6745	6.4721	7.3023	7.3531	10.6223	7.1304	7.5789	5.6561	5.6202	5.5604	5.8939	5.0086
RS_G16044__NXPH3__NXPH3	0.63973	1.6768	3.3225	4.9965	1.4449	1.8154	3.7241	2.1343	4.6757	4.5822	0.48173	0.35093	1.4048	1.158	2.7146	3.0732	2.7136	0.83939	3.4998	3.6032	2.3113	6.4008	3.532	0	1.4849	1.5721	2.5857	2.0227	0.82821	1.8999	4.1853	1.3407
RS_G566__CSPG2__CSPG2	0.20025	0.043506	1.2122	0.88034	1.8343	0.21093	4.7871	6.1112	1.7258	0.13026	0.20687	1.5527	1.0484	0	3.3124	1.5387	8.8786	0.043736	8.7002	0.11893	0.61441	1.3727	1.9183	0	3.5182	3.6374	0.39102	2.7013	0.27189	0.80559	0.66906	0.65313
RS_G14837__CASKIN2__CASKIN2	6.7178	7.0439	5.436	7.3426	5.7023	6.831	7.2235	5.7037	5.7827	7.7974	6.7524	5.9286	5.9362	6.0584	7.4702	6.4785	5.6453	5.5926	6.0022	7.6481	6.0895	8.8242	8.7561	7.1349	7.4565	7.0461	7.2433	7.3888	6.9692	6.3188	7.058	7.0492
RS_G4418__TNNC1__TNNC1	7.2226	5.0273	0.68999	2.5897	1.6757	1.9519	1.5256	2.8095	2.0984	4.8172	2.9622	3.1841	6.4453	0	3.3824	7.7205	1.3897	3.3953	0.7113	2.1227	2.2995	4.0797	3.6074	3.716	3.0466	4.0773	0	3.363	3.2541	7.0446	1.5871	1.6021
SNP__LOC402095	0.006	0.099	-0.053	-0.097	-0.173	-0.161	-0.06	-3.918	-3.632	-0.071	-3.064	-4.13	0.029	0.046	0.06	-0.404	-0.742	0.019	-0.01	0.096	-4.366	0.429	-3.944	0.067	0.161	-0.168	0.009	0.031	0.03	-3.42	-0.066	-0.373
SNP__SMAD4	0.013	-0.541	0.086	-0.128	-0.147	-0.178	-0.444	2.935	-0.47	-0.437	-0.426	-0.773	-1.002	-0.497	-0.318	-0.454	-0.443	-0.217	-0.028	-0.556	-0.525	-0.405	-0.031	-0.56	0.211	-0.147	-0.629	-0.367	-0.793	-0.615	0.239	0.234
RS_G2016__COL9A3__COL9A3	1.4993	4.0111	0.88215	3.5012	1.2322	0.70713	6.8804	0.60545	2.0714	1.1249	5.9643	2.9465	2.6759	0	2.792	0.21295	2.7092	0.925	0.61144	1.6879	0.36722	3.2525	4.299	0.38251	0.35941	9.2432	5.9379	4.908	2.9855	4.585	1.077	0.53092
RS_G7932__FBN2__FBN2	0.019862	0.045061	0.57831	1.1596	1.946	1.6834	5.1368	4.5745	0.054308	0.22874	1.2318	3.0649	0.29171	1.1022	1.0422	5.0247	7.6781	0.089204	5.8631	0.47837	0.45439	2.9296	1.8496	0	0.99648	1.3781	0.61224	3.0375	0	0.11434	0.49504	0.20828
RS_G11101__FAM5C__FAM5C	0.21266	3.6632	2.4902	0.60928	0	0.91414	0	0.38169	7.4316	0	0	1.3209	0	0	5.7033	1.0654	0.72076	4.5769	1.4133	0.61657	0	6.0253	7.372	0.68983	0	0	5.1657	0	0.90882	0	9.1072	8.0858
RS_G10072__APCDD1__APCDD1	3.6283	0	3.4981	1.7279	5.1196	0.94106	8.1676	5.0126	4.698	4.311	0.49093	0.3134	4.4235	0.7662	0	5.3693	0.79178	4.2019	6.4553	1.278	0.77135	4.5634	0	0	1.5594	0	3.3661	0	3.1684	0.75881	3.3698	2.6144
RS_G14453__NR2F1__NR2F1	0	0.62002	0.26207	0	8.065	0	1.6759	1.1938	1.1083	3.4171	0.14742	3.5416	4.981	4.7643	0.56207	4.1435	1.2267	4.8295	7.9087	0.72901	8.0721	9.375	10.4319	0	6.7984	3.8738	4.7493	4.3224	1.7813	4.5034	4.6681	8.2892
RS_G2254__SEPT3__SEPT3	6.0681	2.128	4.9259	6.2715	4.0342	7.0323	5.5395	6.587	2.8368	6.2334	9.9177	2.4132	3.8373	5.0382	6.7193	6.0119	6.3541	7.4978	1.0676	4.4659	2.331	4.6968	5.3424	1.0761	2.2186	3.1444	4.9445	2.392	1.7564	4.2999	6.3302	6.7753
RS_G13227__CD14__CD14	4.5079	2.146	0	2.1032	1.7905	2.0092	5.0494	1.3892	0.86762	0.93813	0.75898	3.0681	4.1249	2.2887	0.9009	1.3699	3.1865	9.9831	2.4861	2.7439	1.3486	1.2355	0.47784	2.2491	0.49366	6.0549	6.8506	3.0821	6.2816	1.3333	2.5184	0.4014
RS_G16619__SLITRK6__SLITRK6	5.6921	0	5.1781	2.1211	3.7194	4.5245	4.5316	4.1927	7.8925	0.92272	0.41187	5.1835	2.3251	5.4726	0.93462	3.9073	3.1682	3.1583	0.39362	1.5436	0.83012	4.428	1.1176	0	0	2.1558	0.96991	0.90457	2.6655	0	2.9342	1.3351
RS_G13235__KRT4__KRT4	9.3812	11.4788	3.7138	6.6081	0.19191	1.292	4.5089	0.67209	6.6696	4.7751	0.6186	9.2252	10.5856	8.4049	7.4345	5.9863	0.10105	10.3706	1.7151	1.7253	0.82122	4.2504	1.1517	10.7577	0	1.1482	6.9112	3.9312	8.1608	5.2153	4.5519	0.62627
RS_G14281__AMZ1__AMZ1	4.3637	2.5402	1.9577	6.2024	0	0.80029	0.097203	0.82505	2.9497	7.2086	0.50476	4.8755	3.3	0.55233	2.0374	0.33663	2.2512	0	1.4567	4.4576	0.26129	5.3051	0.82924	1.2553	1.7794	3.5693	2.3375	1.8046	0.50673	7.1278	5.9031	2.0128
RS_G6437__TNNI2__TNNI2	5.5108	4.0471	0	0.54654	0	0	2.8379	0	0.78747	4.3348	0.49938	1.2993	3.7959	7.8367	0	7.3623	0	0	0	0.54639	1.05	1.3885	0	3.9243	0	3.9936	5.4738	7.2947	5.1908	7.7682	7.5799	2.5807
RS_G10216__C8orf38__C8orf38	5.1491	2.3135	7.2087	6.021	6.0859	6.1608	5.772	5.2176	9.8137	6.1035	5.9847	4.9133	6.629	6.0311	6.1521	5.9104	5.835	6.3356	6.2182	6.6008	5.874	4.967	4.503	4.5255	4.0145	4.2857	5.8105	4.629	4.5804	5.8105	4.6899	5.1276
RS_G17229__CYP4F3__CYP4F3	2.8276	0.42396	0.82997	2.1145	0	0	1.9205	3.0475	0.096044	0.23782	0.76	3.2897	5.8049	5.0833	0.17316	0.17701	0	3.2122	0	0.71066	0	0.99839	0	0	0	3.0069	2.4756	1.7387	4.6287	0	3.1686	0.3519
RS_G21976__PSORS1C2__PSORS1C2	3.4262	3.392	0	0.22306	0	0.42468	3.1842	1.3329	0	1.2556	1.3194	1.9812	1.3602	0.38672	3.262	3.807	0.57295	2.4497	0.25105	0	1.8696	1.981	1.9018	5.3528	1.1628	3.4737	6.7636	3.6252	0.44865	0	0.56515	1.432
RS_G15192__FAM101A__FAM101A	0	0	5.0831	3.729	0	4.3808	1.9118	0.12967	0.23103	1.0259	0	1.2172	2.5187	0	1.0962	0	0.48686	0	0.24737	0	0.95138	4.1848	3.6832	0	0	5.271	0	0	0	0	5.5645	8.5957
RS_G12889__AR__AR	4.6371	4.6227	6.4437	4.4301	5.9187	7.5601	0.19231	1.476	6.5225	6.1875	0.10622	0	0.18004	5.5774	9.2235	0.97224	0.22082	3.9166	3.5014	6.3628	0.40029	7.5779	9.2818	3.9527	5.974	0.23057	4.0998	2.03	0	4.8483	6.3137	3.0122
RS_G16393__AC011443.6__AC011443.6	0.78149	0	0	2.0242	0.98271	0	2.6501	0.13026	0.43563	0.15815	5.8548	2.0264	5.1701	0.82457	0	0	0	0	1.7873	0.57774	0	0.39217	0	0	0.38765	4.7857	2.489	5.3562	0	1.979	2.0745	0.97076
RS_G3648__CCL2__CCL2	3.6403	0.54392	0.65074	3.6296	6.3911	2.7066	0	3.1093	0	0.783	2.6054	0	0	6.1951	3.0177	6.4836	4.4802	6.7484	5.2483	0	10.2673	3.763	0	0	0	3.3073	3.2444	1.3981	0	0	0	0.81051
RS_G6638__PPP1R1B__PPP1R1B	9.1888	7.6126	4.4299	3.4995	0.23954	0.35988	1.8579	0.70371	8.2727	0.7143	13.4847	0.80076	4.3668	6.14	5.4565	6.6736	0.53447	6.17	0.79314	0	0	5.8269	0	8.7928	0.59718	2.5011	7.2683	2.2995	2.5734	1.9065	1.0367	0
RS_G4537__IL1R2__IL1R2	1.0369	2.5004	0	1.733	0	0.17018	0.49293	1.6866	0	0	4.4036	4.9638	6.64	0.64775	0.96617	5.6003	0.30776	0	0.18783	0.30816	0.75668	2.2311	3.5958	0	1.3658	3.235	0	1.3483	1.5253	0	0	0.23652
RS_G9625__THRSP__THRSP	2.1278	4.3884	0.78214	4.4766	0	7.3255	0.86725	0.45662	3.8694	9.4885	0.66446	1.0359	0.82234	1.964	3.2841	0	0.56364	0	0	1.0951	0	0.55945	1.7591	2.4593	0	1.0012	5.8862	0	4.518	0	6.3295	1.2806
RS_G21898__CARD16__CARD16	0.84619	1.2359	0	0	0	0	0	0	0	0.4364	1.243	4.3336	2.7053	4.9938	2.0011	3.3761	0	7.5705	1.1067	0	1.5332	0	0	3.0494	0	2.3581	5.1972	4.1815	3.8427	5.8372	0	0
RS_G402__CD74__CD74	4.4509	2.0172	0.18629	6.0079	0	2.2892	5.7658	5.5748	0	3.7089	3.9676	8.1818	9.1643	2.2907	2.4563	0	2.0276	10.3163	0.89633	0.59187	0.96601	0.79006	0.54729	0	3.046	4.6483	3.806	9.5475	0.35449	6.7285	0.93132	0
SNP__ESR1	0.006	0.125	-0.415	-0.507	-0.091	-0.558	0.167	0.04	0.076	0.336	-0.062	-0.139	-0.56	-0.084	-0.452	-0.42	-4.299	-0.261	-0.076	0.236	-0.118	0.237	-0.704	0.044	0.161	-0.195	-0.001	-0.147	0.226	-0.325	-0.454	0.015
RS_G3849__UPK2__UPK2	1.2179	2.5918	2.4864	2.9857	2.6149	1.444	2.281	2.1097	3.0251	2.428	2.8133	5.2106	4.5908	3.0002	1.8	1.4478	0	3.7605	0	6.3477	1.1257	4.7025	2.0134	0.63424	0.47434	5.77	3.8561	5.3843	3.8374	6.7099	0.91701	2.3886
RS_G9463__JPH2__JPH2	2.9164	6.4318	0.050524	2.0686	6.643	0.13498	3.9489	2.8076	0.049104	4.1973	3.0619	4.5416	6.5243	4.1531	0.17304	6.73	3.4244	3.5498	4.8069	0	0.41633	1.7217	0.15656	4.5877	0.16338	7.7631	6.2006	4.8813	4.0896	5.5659	1.3387	0
RS_G10662__SPON2__SPON2	2.7812	6.1264	1.323	1.9091	9.9503	1.7098	1.7203	1.2119	0.29091	0.37481	4.2431	0.42609	1.4054	0	0.26969	1.9704	1.2893	1.9114	4.3765	1.8656	0	2.7858	0.82777	0	5.8784	7.0758	4.2263	5.7229	3.9687	2.5838	1.0492	0.68924
RS_G3172__GRIN2D__GRIN2D	1.2815	7.681	0.11453	0.68008	6.2801	0.3443	5.0838	1.1036	1.736	0.83669	0.90964	7.0748	2.9299	1.246	1.8482	4.2991	1.361	3.6096	2.9072	3.0676	1.1365	0.84688	0.18568	7.0486	4.253	3.6892	1.2689	8.309	7.4344	1.1701	2.5652	2.0206
RS_G17967__APOD__APOD	7.9573	4.7281	1.1531	4.2103	0	0	1.3402	1.4179	5.0426	1.8301	8.9852	0	3.1323	1.6186	0.76176	0.46548	0	0	0.86846	7.8269	1.8524	1.6608	0	7.8481	0	0.81118	1.4761	0.66133	9.7289	10.7762	11.3141	2.7866
RS_G12287__ANPEP__ANPEP	4.6781	3.3458	0.4918	2.3499	9.3546	0.34204	0.60793	3.8277	2.1245	1.2098	2.4168	4.5501	9.2789	0.94625	1.0267	0.81235	7.8441	6.672	8.9544	1.5798	0.4706	0.586	0.65303	2.6835	13.7475	11.5166	0.084498	7.974	0.8554	1.2223	1.7071	0.4654
RS_G11572__GUCY1A3__GUCY1A3	2.1771	3.1726	6.4643	3.3749	2.7359	0	6.4477	4.1023	6.8828	0	3.6806	4.4499	2.4961	6.7048	5.4754	0.41764	2.2033	8.1568	0.45496	2.1317	0	5.9314	6.7064	0	1.7081	3.0364	3.5309	1.891	0	0	3.6042	3.0295
RS_G4540__IL1R1__IL1R1	4.9293	5.3503	6.1326	5.7879	5.7802	6.7812	3.83	7.6426	1.4323	0.5453	5.6833	1.8561	2.3334	3.9906	6.425	4.3181	5.6161	6.8987	4.797	4.4596	2.3978	7.8189	9.8271	4.5598	5.3798	4.7278	3.3491	4.8614	5.7579	4.9069	5.7761	2.4173
RS_G17492__ISG15__ISG15	6.4321	6.9046	2.9269	10.0182	6.764	6.0566	9.1661	6.4525	4.276	6.7748	13.2442	8.6945	9.4258	8.5081	9.9575	5.4459	6.6266	12.9362	7.4773	9.4628	8.7902	9.0957	8.6562	5.7117	9.647	11.3793	11.8597	10.9453	4.6944	7.2104	6.6969	5.3683
RS_G3173__SYNGR4__SYNGR4	2.0634	2.6928	1.8951	3.4784	1.779	1.4674	1.5507	1.0613	2.6119	1.7646	1.6931	0.38898	2.3656	1.0514	4.7824	1.7469	0.45738	2.2555	0.28469	2.71	0	4.58	2.7149	4.2009	0.77481	4.693	3.7437	1.1459	10.265	2.5468	1.0684	0.85816
RS_G12549__ANGPTL4__ANGPTL4	1.3628	1.7355	0.28988	1.6842	7.1002	2.6448	1.0067	0.41541	3.6172	2.1231	3.7472	4.8525	6.5014	3.8004	0.47775	3.7687	4.8409	3.5734	5.2861	6.1066	5.4475	1.9371	3.028	5.5559	7.218	7.3786	5.6931	6.5586	10.3721	5.9315	6.2922	1.8001
RS_G2904__AP3B2__AP3B2	3.9601	0.94326	2.1616	3.7524	2.183	3.0899	3.2043	1.4364	2.4123	3.1995	6.6873	0.22078	1.7717	3.8345	0	3.8864	3.1116	0.12832	0.082787	3.581	0.47431	0.54854	0	0	2.7378	3.8444	1.2183	2.7695	4.0024	0.82217	3.2767	0.6802
RS_G16170__PCP4__PCP4	9.5795	2.6308	3.4364	5.2434	0	4.7144	0	1.3531	1.0717	2.5298	0	0	1.3561	0	7.0045	0.43605	0	1.1567	0	5.15	0	1.8418	0	7.0218	2.0636	0	1.9718	0	6.293	6.6928	1.5702	0
RS_G10310__B3GNT7__B3GNT7	1.9575	6.7957	2.5367	2.8094	0.71449	2.0155	3.0554	2.9018	4.9398	2.4987	5.2298	3.0633	2.2075	0.78054	1.7377	4.3722	1.6533	5.1816	0.60552	1.9281	1.8291	1.8655	1.1453	2.2539	0.5586	2.7381	2.8803	5.1953	1.9897	1.9283	1.892	3.3691
RS_G19250__ABCA4__ABCA4	2.5925	1.8337	3.9603	5.4901	0.26948	0.28068	0.23368	4.4163	1.9681	6.1509	2.5443	0.3723	2.4337	1.3841	6.106	1.9661	0.29762	0.88168	1.2798	0.99615	1.4951	0.99526	0.25117	3.5587	1.6032	3.7364	1.1507	1.4958	1.6978	2.6309	4.9307	0.65076
RS_G178__GAS7__GAS7	0.23393	0.79868	3.7512	0.60208	0.060325	0.26435	0.4579	0.89591	1.6052	0.58061	7.4591	0.81088	3.7882	3.5067	0.18004	2.8269	0.42668	0.02884	0.46526	0.1238	0.059891	0.18529	0.057997	0.53052	0.11579	0.34439	5.4391	0.43877	3.5497	2.8263	0.13361	0.17756
RS_G4362__HYAL1__HYAL1	2.7501	8.2466	0.78252	1.8033	1.8316	2.4569	4.2535	2.8732	1.6011	2.2722	2.2137	0.61428	1.9518	1.3981	1.7949	1.7454	1.606	1.6933	2.0174	1.2474	2.3083	2.072	2.3372	5.8494	2.1401	3.2022	2.2754	6.4993	5.5753	3.8059	0.64515	2.4316
RS_G6331__SYT5__SYT5	4.0132	1.9982	0	3.7529	2.1684	1.3292	2.751	0.67081	3.6205	6.3433	0	4.089	0.97998	1.0482	1.0314	0.72222	0.2672	1.0837	2.4688	0.96197	0	0.38058	0.46803	0	5.6054	1.1831	1.9308	6.7945	8.1888	2.8824	4.9334	3.0571
RS_G19430__TGM2__TGM2	5.7731	4.6351	0.075916	1.8639	2.1072	1.5359	1.1001	3.5707	1.4478	2.0468	2.7949	4.4499	9.0075	9.2277	0	2.5436	7.904	4.964	6.8507	2.0974	7.9893	1.2109	1.8048	2.1179	2.6677	8.7502	0	12.5541	5.6263	0.8381	1.5682	0
RS_G12878__KLK7__KLK7	0.43855	0	0.13593	1.9992	0.11677	0.12675	2.968	0	0.25641	2.2202	1.3488	2.5039	6.8763	5.6672	0.43133	5.4814	0	2.4911	0.14189	0.1255	0.22201	0.12111	0.41216	0.30901	0.22455	0.24511	8.0034	11.1557	3.7048	0.50406	2.2158	0.33096
RS_G2467__MMP9__MMP9	0.3352	4.7331	0	1.8897	7.2801	1.3299	2.8432	7.1538	0.43548	1.2458	3.165	1.5059	6.2936	0.93467	0	3.1581	0.63889	0.45168	0.35709	3.1157	0	1.3653	0	2.3144	0.54164	4.3212	0	5.3232	3.8646	1.7067	2.9642	1.4825
RS_G12982__SPRR1B__SPRR1B	2.2988	0.63608	0	3.8097	1.4994	0	7.092	1.2683	0	0	0.64046	4.8334	7.6626	4.7816	0	0	0	4.001	0	0	0	1.214	1.092	2.0942	1.1062	1.5367	5.0083	7.3536	0	2.1888	0	1.2275
RS_G118__CRLF1__CRLF1	0.95481	3.4098	2.7357	4.2579	1.8533	0.82276	2.3065	1.9642	3.8323	5.0392	4.7469	5.1545	3.3215	3.831	2.3885	3.3975	1.0969	0.8225	3.868	6.8572	0.48881	6.5761	1.7395	1.4224	1.8384	1.5634	6.8312	4.8437	4.7497	6.5653	4.4083	3.7399
RS_G8983__ODZ2__ODZ2	0.46196	0.21261	4.1691	1.3937	9.125	1.6831	0.51807	1.6057	1.8836	1.7042	0.025184	1.9378	4.7939	0.52982	0	2.6967	1.4508	0.84724	4.5337	0.056207	0.89421	3.1193	0.47793	0.449	0	4.3607	1.9389	1.3205	0	5.1209	3.252	0.48681
RS_G2490__SALL4__SALL4	0.87541	3.0032	3.7493	1.5847	0	0.22779	2.8696	2.4846	1.3087	0.46749	2.5464	5.4893	4.1678	1.6176	0.15106	0.48619	4.7341	2.6721	2.5211	6.0056	0	3.7915	0	1.9441	2.9444	2.851	2.0342	4.282	0	0	0.30869	1.1997
RS_G6639__KHDRBS3__KHDRBS3	2.7656	1.8859	6.3116	2.5982	3.6717	3.9119	7.3774	8.9619	0.14162	3.5335	5.9593	3.7957	4.6798	4.5205	1.334	3.9564	3.1927	3.2543	5.0197	1.6897	7.1711	4.1739	3.1378	0.99985	6.8705	2.3588	5.4535	0.69378	2.4602	2.8818	4.0691	5.0319
RS_G9697__SACS__SACS	2.067	1.5539	2.7128	2.6618	7.5446	3.9356	3.7448	6.2877	3.522	2.4697	2.1369	4.2963	3.1799	3.5032	0.069102	3.8339	6.3153	2.2163	5.8931	2.3215	5.6932	0.64456	0.83687	1.783	3.7786	3.1724	0.61696	2.3061	1.7719	2.088	1.5692	3.5968
RS_G3505__UNC5B__UNC5B	1.569	4.6928	2.858	2.9021	1.2545	2.3139	2.4338	4.1346	1.5493	1.6312	3.6245	5.6769	5.2498	2.9491	2.4618	5.1625	2.3407	2.4117	4.4737	2.8653	0.54177	6.0143	8.494	6.1432	7.6038	5.3655	9.7414	6.9528	3.0871	3.181	5.5405	5.4248
RS_G8221__CDH11__CDH11	0.79052	0.19957	1.1551	0	8.6171	1.5558	5.8768	8.8783	0.1995	0.15665	0.46098	2.9491	6.0302	4.7511	1.4071	2.1427	5.2153	0.78652	7.7193	0.078446	7.6977	0.12672	0	0	6.0073	0.74857	1.9015	0	0	0	0.40122	0
RS_G1906__ICAM1__ICAM1	5.8954	4.5585	0.6419	3.9904	0.75254	4.0039	3.6008	1.596	2.0527	4.2381	11.2307	4.9372	7.9394	6.7583	4.6935	4.4833	3.4969	7.6289	2.6603	5.0179	4.6042	5.1194	5.6166	4.1407	1.2766	8.1046	4.9539	4.9325	0	4.0788	4.029	1.5646
RS_G1887__ARHGAP4__ARHGAP4	4.1786	3.0121	1.9665	7.2583	1.9084	2.7376	1.9753	1.4454	1.9656	6.1295	2.5424	1.2974	1.0461	1.8831	5.4233	1.9435	1.0348	1.9753	1.5813	4.0368	1.1546	3.2345	4.0066	2.8494	9.6532	5.0163	4.6067	3.4539	3.2018	6.2045	8.5811	8.4355
RS_G22042__HLA-F__HLA-F	4.748	2.4472	0.95172	6.5911	0	4.0757	5.6306	6.511	1.1434	3.8771	9.1074	6.966	7.902	5.9406	2.5906	6.6764	6.4276	9.9102	1.1237	3.8954	3.2625	3.8368	1.838	0.99069	6.9802	8.3968	8.494	6.9181	5.328	7.0422	6.3212	6.1653
RS_G4225__SPARC__SPARC	0.1343	0.14978	0.094438	0.083816	14.1217	2.1509	6.2713	9.2733	0.091823	0.11392	4.201	0.91565	6.6944	2.2353	0	11.9638	11.47	4.5495	13.0059	0.63481	6.8619	0.63899	1.2224	0	6.5885	3.3867	0	2.9029	0	0	0.4355	0
RS_G5781__OPRL1__OPRL1	4.534	1.6695	0.95283	4.2781	1.5212	1.6941	1.5183	0.62697	2.1401	1.4334	3.2103	0.3316	0.80273	0	0.79524	2.1467	2.3743	2.1919	1.2947	3.2073	0.48697	1.694	1.73	1.6668	6.922	3.9209	3.0435	1.6348	1.7889	1.0742	3.8285	3.6366
RS_G12844__ENHO__ENHO	2.9089	5.5123	0	3.6537	3.6418	5.0534	0.67716	1.9285	2.9711	3.5391	5.7918	0.65661	2.1981	1.4936	1.0345	4.7065	3.0499	1.6959	5.1131	2.2441	0	4.6541	3.5098	6.3113	4.2099	5.1553	3.18	0.6459	3.5066	2.3488	2.3467	1.2003
RS_G21897__C6orf27__C6orf27	4.0436	2.3377	0	1.4627	1.5076	1.1811	2.3572	1.6498	0.50386	0.99374	1.43	2.4612	1.6903	2.4383	1.7266	3.7011	2.2579	3.9854	1.6557	3.4435	2.3866	2.0866	1.8419	2.6372	3.4925	7.0749	3.599	4.4907	2.9356	2.4758	3.6532	2.0079
