Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM52PE	UACC812	ZR751	ZR75B
Meth__cg07879977__OR1F1	0.17056	0.017291	0.49545	0.62773	0.49756	0.49006	0.96567	0.39958	0.79858	0.90534	0.72173	0.015502	0.55128	0.7278	0.053385	0.015665	0.41807	0.64794	0.4494	0.59044	0.053911	0.016559	0.043405	0.026083	0.44397	0.42209	0.3577	0.95623	0.41716	0.15209
Meth__cg01655355__SLC5A5	0.27949	0.06467	0.30092	0.40528	0.18487	0.17057	0.74151	0.068632	0.52589	0.51692	0.46918	0.024411	0.41315	0.089636	0.060936	0.026614	0.12232	0.11068	0.69482	0.66102	0.16371	0.12148	0.41387	0.11588	0.14825	0.10617	0.089795	0.052179	0.28606	0.35365
RS_G17647__ARL4C__ARL4C	6.4058	3.9508	6.5819	4.9192	8.0292	4.7101	7.6877	2.9942	6.2663	6.2607	5.9989	2.1991	6.9743	7.5755	6.7168	7.9861	5.7583	4.3584	5.9484	7.7683	7.5221	4.073	1.3609	5.4578	10.7033	6.3785	6.5854	4.5654	3.7385	3.6318
Meth__cg00651216__HSP90AB1	0.05165	0.063254	0.37792	0.25791	0.8788	0.45155	0.58833	0.25853	0.23263	0.90971	0.32777	0.038854	0.26017	0.41064	0.42914	0.49139	0.34909	0.25878	0.25451	0.16437	0.68549	0.14942	0.15459	0.12561	0.26386	0.072957	0.19423	0.049258	0.16207	0.11802
RS_G7939__LL22NC03-75B3.6__LL22NC03-75B3.6	2.4782	0.1394	0.49211	1.2766	4.5176	0.15466	4.1286	0.053937	1.2511	4.4105	0.61415	0	3.9325	6.1773	0.071757	8.1771	0.83738	0	1.5554	1.6898	2.2202	0.76908	0.13865	0.10411	3.9719	0	0.63433	0.50332	0.21832	0.31876
Meth__cg18241160__CDC2L2	0.051236	0.028507	0.049259	0.046995	0.017644	0.11881	0.27936	0.029282	0.051181	0.13383	0.091107	0.12899	0.031114	0.070343	0.057386	0.036971	0.042847	0.046387	0.05457	0.056546	0.76748	0.032341	0.056392	0.034954	0.045054	0.031048	0.025651	0.031464	0.043225	0.04156
Meth__cg05215575__FLJ25410	0.034379	0.032988	0.038619	0.023176	0.83166	0.035623	0.92576	0.029324	0.75914	0.85146	0.41107	0.028859	0.58972	0.93361	0.44368	0.045638	0.033524	0.027996	0.031053	0.07105	0.072207	0.026062	0.060245	0.046246	0.62613	0.36891	0.09767	0.031693	0.039973	0.027926
Meth__cg02998425__ADAM21	0.91957	0.022214	0.87992	0.61775	0.060832	0.59729	0.96052	0.34254	0.65188	0.48407	0.28164	0.037316	0.43903	0.74457	0.072522	0.041828	0.14546	0.33397	0.92567	0.94117	0.0625	0.22864	0.2955	0.058077	0.14016	0.24169	0.36878	0.51482	0.55082	0.31261
RS_G6639__KHDRBS3__KHDRBS3	2.7656	1.8859	6.3116	2.5982	3.6717	3.9119	7.3774	3.5335	5.9593	4.6798	4.5205	1.334	3.9564	3.1927	3.2543	5.0197	0.13271	1.6897	3.5037	3.0254	7.1711	4.1739	3.1378	0.99985	6.8705	2.3588	2.4602	4.0823	4.0691	5.0319
Meth__cg02217159__KHDRBS2	0.39619	0.031793	0.92741	0.45692	0.58372	0.83821	0.9614	0.050885	0.86094	0.73576	0.25459	0.91372	0.59603	0.31553	0.36988	0.040216	0.11533	0.12334	0.55324	0.42473	0.80883	0.36369	0.86539	0.057263	0.5262	0.47622	0.34206	0.40433	0.65143	0.6091
RS_G4882__NRP2__NRP2	0.9771	0.20883	0.35126	0.070484	5.1284	0	4.7753	0	6.9605	6.1647	1.8408	0	5.4395	6.3585	3.0381	4.719	0.93829	0.60902	2.8202	1.0506	4.1193	0.27601	0.53772	1.3656	9.3677	1.3344	2.2134	0.047311	0	0.1009
Meth__cg19356189__KLK10	0.11129	0.082353	0.41018	0.39302	0.11997	0.24895	0.34246	0.078506	0.5566	0.91555	0.57589	0.071381	0.68844	0.4355	0.30062	0.06801	0.18811	0.18347	0.90827	0.14488	0.12476	0.41859	0.20444	0.11531	0.24514	0.0795	0.71902	0.13097	0.15143	0.13023
Meth__cg09022808__GAL3ST1	0.60383	0.073743	0.8694	0.54576	0.12929	0.49182	0.93312	0.3581	0.21571	0.81284	0.74854	0.070677	0.33611	0.75651	0.11084	0.042775	0.61612	0.62323	0.88594	0.8527	0.12827	0.36105	0.19813	0.11678	0.55692	0.42261	0.19094	0.71285	0.19396	0.12196
RS_G18078__SH2D5__SH2D5	0.21811	2.3234	1.2762	2.4179	5.7967	1.1809	4.2305	1.4472	5.1697	4.7174	0.25198	1.0908	3.3957	4.006	0.24591	5.9778	3.6847	1.5134	2.4549	1.9279	4.9347	1.5129	0.72962	0	8.9352	3.609	0.88422	1.7876	0.20018	0.38111
Meth__cg21808053__DIRAS3	0.25428	0.028376	0.66978	0.15733	0.47488	0.15558	0.2733	0.3293	0.52381	0.36224	0.10959	0.21326	0.086288	0.68999	0.083697	0.042606	0.07919	0.16006	0.14208	0.283	0.22977	0.10821	0.16906	0.054756	0.2821	0.25525	0.075532	0.20857	0.077445	0.061839
Meth__cg01934790__FBXL16	0.051527	0.1927	0.27971	0.16304	0.16109	0.54812	0.43969	0.047925	0.68644	0.4825	0.78443	0.33629	0.63273	0.33832	0.28018	0.038323	0.35667	0.39315	0.61962	0.12559	0.75061	0.11512	0.16179	0.10304	0.053463	0.10091	0.054936	0.062885	0.15221	0.1294
Meth__cg02989940__ERAF	0.36991	0.033652	0.59051	0.30758	0.45635	0.79674	0.69228	0.56334	0.70852	0.73667	0.05742	0.023081	0.86209	0.84547	0.048571	0.028234	0.80173	0.65135	0.063035	0.4008	0.077367	0.37622	0.058593	0.050573	0.60621	0.037256	0.37178	0.82142	0.3217	0.59799
Meth__cg13905388__CDCA4	0.10255	0.077292	0.11657	0.061063	0.10533	0.12832	0.74455	0.099053	0.12982	0.19693	0.12244	0.071729	0.13941	0.08441	0.13153	0.12389	0.075459	0.1006	0.11992	0.086317	0.15595	0.1056	0.1117	0.095718	0.11265	0.084808	0.06315	0.11334	0.093197	0.11071
Meth__cg21491308__TEX101	0.38903	0.059627	0.29142	0.1313	0.69302	0.24811	0.40108	0.14095	0.25863	0.29641	0.40573	0.042865	0.33692	0.64141	0.052303	0.070131	0.099004	0.10894	0.16375	0.41995	0.34839	0.068798	0.21021	0.099237	0.24074	0.089704	0.64626	0.23892	0.139	0.17735
Meth__cg03475172__USP6NL	0.074178	0.1597	0.23973	0.0503	0.74547	0.19023	0.88775	0.070683	0.58999	0.64735	0.38526	0.08425	0.84397	0.73103	0.257	0.51561	0.20509	0.087166	0.21099	0.16908	0.36386	0.21553	0.2692	0.16346	0.85841	0.37261	0.26178	0.081212	0.14298	0.27074
Meth__cg05593325__GALNT12	0.047858	0.069214	0.049	0.039134	0.68364	0.062393	0.95556	0.054137	0.61865	0.76862	0.2865	0.04416	0.86222	0.61069	0.24941	0.65437	0.047898	0.057826	0.15628	0.29201	0.83304	0.041789	0.08356	0.079646	0.085818	0.082019	0.78032	0.068765	0.063438	0.041036
Meth__cg07139440__MLLT11	0.040097	0.035323	0.083636	0.025956	0.362	0.053269	0.64839	0.068954	0.055016	0.62399	0.022833	0.031535	0.67368	0.069369	0.068966	0.044846	0.047696	0.050943	0.056823	0.1471	0.22795	0.058661	0.057692	0.1109	0.05723	0.5336	0.034902	0.1224	0.037825	0.039804
Meth__cg26822241__CYP2C9	0.89288	0.14968	0.90293	0.23734	0.17096	0.86864	0.75354	0.49225	0.75684	0.69149	0.30614	0.099135	0.35655	0.49862	0.076722	0.11783	0.24726	0.39137	0.85686	0.9275	0.12447	0.38096	0.31697	0.1387	0.47871	0.80308	0.08209	0.081787	0.58843	0.74108
Meth__cg03003745__UNQ473	0.023829	0.021727	0.03205	0.024317	0.76967	0.032516	0.94579	0.028213	0.33372	0.36855	0.11754	0.015164	0.24389	0.92538	0.28638	0.020053	0.022614	0.023669	0.036617	0.020176	0.10883	0.025744	0.069658	0.10154	0.58374	0.10797	0.049721	0.020689	0.024956	0.018402
Meth__cg05019001__AR	0.56703	0.041695	0.047653	0.18276	0.033377	0.041115	0.97755	0.076123	0.97909	0.94776	0.045564	0.028564	0.95135	0.72618	0.20724	0.037655	0.063451	0.057139	0.5413	0.46397	0.94506	0.049561	0.35048	0.063699	0.16346	0.15068	0.86384	0.41686	0.15553	0.048337
RS_G7983__GLIPR1__GLIPR1	0.55287	0.2859	0.94121	0.19873	8.8142	0.67508	3.8198	0.62063	3.6456	4.5642	4.8421	0.25714	6.5035	8.1578	4.0803	7.825	0.6577	0.57361	0.73209	1.9436	6.5993	0.1263	0	1.235	1.7892	3.8954	0.72126	0.29975	0.35881	0.094808
Meth__cg20931907__LOC340602	0.47844	0.17287	0.91524	0.52281	0.2503	0.927	0.96729	0.37128	0.87518	0.80924	0.093101	0.082047	0.32491	0.87743	0.084626	0.03864	0.65959	0.46881	0.5609	0.85336	0.08117	0.17426	0.79872	0.085845	0.64467	0.041988	0.94606	0.78237	0.34536	0.52764
RS_G12839__VAMP5__VAMP5	5.7475	8.4989	5.1276	6.3466	1.0717	4.2899	3.8161	7.4263	5.181	4.28	5.4616	6.2318	3.5479	2.1294	5.8416	0.73065	7.4246	6.901	7.2724	7.3036	3.5044	5.257	6.3869	6.3121	1.0478	5.9949	5.9869	10.8607	7.7928	6.4989
Meth__cg07378350__GDF5	0.54505	0.049725	0.80505	0.11172	0.92972	0.79963	0.82574	0.069669	0.36406	0.49491	0.61789	0.079766	0.26573	0.73576	0.42381	0.4	0.17077	0.14908	0.61453	0.1899	0.83013	0.17538	0.22653	0.069715	0.071293	0.070783	0.61665	0.07062	0.059329	0.12474
Meth__cg12589433__AR	0.44381	0.027046	0.04076	0.058053	0.052533	0.045763	0.46362	0.056102	0.8656	0.94835	0.064918	0.031479	0.81144	0.41988	0.2769	0.038885	0.046393	0.046603	0.36332	0.58539	0.8606	0.039352	0.51362	0.04685	0.4956	0.059393	0.53319	0.35938	0.058683	0.051816
Meth__cg26198807__C11orf49	0.3585	0.050406	0.37388	0.18144	0.40242	0.31939	0.58882	0.093693	0.3008	0.48553	0.44789	0.10242	0.19649	0.78751	0.24759	0.076038	0.087028	0.069327	0.57528	0.18636	0.29339	0.1247	0.30413	0.12077	0.062239	0.14204	0.15319	0.14648	0.10379	0.069735
Meth__cg13311440__CD48	0.6998	0.062975	0.80853	0.67899	0.076119	0.27632	0.9689	0.36003	0.56439	0.83292	0.89302	0.028932	0.45505	0.85646	0.080336	0.023366	0.66873	0.42286	0.055291	0.7917	0.69136	0.17649	0.077495	0.042389	0.84648	0.05504	0.18618	0.7034	0.42955	0.50576
Meth__cg19669036__SNAP29	0.017918	0.019556	0.021344	0.025859	0.037526	0.027585	0.10607	0.025381	0.060621	0.11428	0.035795	0.017285	0.042409	0.023086	0.039591	0.01627	0.01769	0.02	0.032797	0.03905	0.17417	0.024745	0.037789	0.029828	0.032908	0.029614	0.01912	0.019043	0.041272	0.028602
Meth__cg07014174__KRTAP11-1	0.80108	0.066227	0.61858	0.40092	0.083158	0.59849	0.86289	0.075982	0.69621	0.56912	0.16808	0.60216	0.42553	0.2621	0.16827	0.086181	0.047993	0.10855	0.4179	0.79426	0.17119	0.092457	0.25505	0.087419	0.065658	0.41576	0.094361	0.06405	0.26889	0.3176
Meth__cg03139057__DLL3	0.023566	0.016275	0.053216	0.023754	0.87786	0.14077	0.92098	0.041389	0.63066	0.59284	0.66999	0.016933	0.79745	0.50525	0.062588	0.064459	0.16224	0.2523	0.59361	0.027521	0.87085	0.060748	0.072545	0.020128	0.81329	0.04417	0.76187	0.028345	0.025753	0.25695
Meth__cg18809289__ALOX5	0.16115	0.17799	0.23337	0.10928	0.91561	0.14933	0.47892	0.10298	0.65779	0.1651	0.20122	0.22137	0.48377	0.38339	0.1456	0.43729	0.12395	0.20169	0.18772	0.33154	0.84574	0.11345	0.83329	0.13857	0.25603	0.1343	0.1742	0.11811	0.11157	0.13307
Meth__cg21091629__FRAG1	0.022814	0.016036	0.024762	0.021006	0.038032	0.024711	0.030894	0.024567	0.02394	0.025718	0.025535	0.022396	0.021172	0.098538	0.02976	0.01714	0.018889	0.021424	0.03411	0.021977	0.09323	0.024399	0.027207	0.020181	0.0255	0.023872	0.014646	0.022603	0.021099	0.01732
Meth__cg19954000__FGF1	0.043041	0.019314	0.0879	0.037262	0.83658	0.46686	0.26957	0.041957	0.74393	0.070178	0.04373	0.030773	0.087769	0.74644	0.081575	0.039339	0.33012	0.66411	0.55499	0.32187	0.41892	0.11955	0.14081	0.054679	0.89573	0.29834	0.10116	0.069041	0.080525	0.20385
Meth__cg03548857__FFAR2	0.079875	0.087769	0.080786	0.10593	0.77832	0.081151	0.817	0.079142	0.84925	0.76767	0.50164	0.080051	0.89507	0.94083	0.14705	0.086095	0.13614	0.15012	0.10788	0.18836	0.69346	0.095972	0.16752	0.099801	0.88278	0.49872	0.22451	0.083093	0.095078	0.076451
Meth__cg15642035__C8ORFK32	0.77549	0.20043	0.8502	0.0679	0.11184	0.16871	0.5029	0.1487	0.80533	0.17131	0.34635	0.10124	0.1899	0.23436	0.20348	0.11203	0.11913	0.15249	0.57991	0.91675	0.24373	0.13696	0.18506	0.31085	0.43278	0.1562	0.14307	0.34655	0.28151	0.4299
Meth__cg04740359__NTF3	0.67843	0.38991	0.8808	0.76061	0.11359	0.61325	0.82815	0.12563	0.82837	0.88698	0.19111	0.046012	0.47189	0.36413	0.068614	0.034691	0.5113	0.55215	0.14016	0.7022	0.18697	0.75567	0.1662	0.076645	0.34877	0.059185	0.27146	0.2039	0.19684	0.31254
Meth__cg19626078__KNDC1	0.054987	0.03652	0.071466	0.045098	0.048651	0.065951	0.093168	0.0519	0.95812	0.61269	0.11925	0.038163	0.12997	0.060097	0.073171	0.037598	0.05064	0.045738	0.045664	0.085291	0.17112	0.086204	0.95312	0.057941	0.085298	0.05056	0.042937	0.07006	0.065576	0.081958
RS_G11943__C10orf10__C10orf10	6.4294	2.4145	3.8936	2.0915	3.4013	0.56101	6.3853	1.5633	7.4403	5.9323	4.8405	1.5111	5.9809	4.172	7.2064	3.6636	0.63589	2.0915	3.3694	6.6362	2.4972	2.1318	2.6079	0	6.2562	1.5369	1.1558	3.1047	1.3846	2.7746
Meth__cg11884546__ITGAX	0.33788	0.039255	0.60775	0.1173	0.55925	0.12878	0.81854	0.12123	0.3943	0.19131	0.15608	0.034941	0.20822	0.23529	0.047021	0.038861	0.11363	0.1206	0.47438	0.53069	0.081432	0.18442	0.11976	0.074236	0.094502	0.042346	0.1723	0.13918	0.17559	0.15522
Meth__cg06244906__ZIM2	0.90163	0.042749	0.41479	0.91824	0.42462	0.65708	0.32653	0.084705	0.85888	0.62466	0.20225	0.15072	0.80712	0.30622	0.051761	0.044238	0.12761	0.32078	0.91375	0.88519	0.19414	0.04835	0.27518	0.064573	0.75574	0.16317	0.51542	0.9171	0.070821	0.066571
Meth__cg14833385__HLA-DMA	0.055157	0.032845	0.75122	0.44865	0.74249	0.091769	0.54357	0.13254	0.23746	0.17671	0.095985	0.040729	0.50161	0.76054	0.20608	0.14073	0.060226	0.07306	0.41362	0.048464	0.38829	0.16749	0.072768	0.10644	0.43999	0.3504	0.15158	0.052176	0.061522	0.10205
Meth__cg15940569__GABRB3	0.85004	0.060566	0.83643	0.31995	0.2224	0.45226	0.65178	0.11251	0.83161	0.6644	0.15618	0.083212	0.71732	0.12087	0.12602	0.087945	0.11579	0.16034	0.8594	0.71606	0.21775	0.14846	0.34838	0.25565	0.095339	0.062286	0.16701	0.14585	0.32489	0.13651
RS_G1492__DUSP13__DUSP13	1.1639	3.9306	0	3.4195	0	0.39666	0.7545	4.8779	0.46004	0	0.476	0.27248	0	0.26614	0	0.56268	4.1128	4.8187	2.0092	0.887	1.9107	4.6054	0	3.3152	0	0.88679	1.3829	7.1145	2.0528	2.255
Meth__cg27622610__OR1G1	0.84653	0.034333	0.54087	0.050528	0.022104	0.12101	0.22143	0.051416	0.087552	0.55085	0.21361	0.027741	0.11171	0.87147	0.04328	0.042265	0.039789	0.10756	0.81619	0.064272	0.097161	0.039643	0.097703	0.061743	0.027516	0.023632	0.18568	0.040137	0.059112	0.035438
Meth__cg08548888__MYD88	0.077687	0.065282	0.52453	0.10426	0.7097	0.7001	0.24066	0.085967	0.089083	0.31097	0.15785	0.059	0.18224	0.083503	0.1528	0.097357	0.16513	0.11618	0.17724	0.13201	0.52875	0.087104	0.12146	0.078477	0.13257	0.077423	0.11264	0.36847	0.080733	0.087002
Meth__cg18979491__LBP	0.17217	0.048797	0.51741	0.26538	0.088703	0.3393	0.62216	0.24355	0.24041	0.75264	0.43094	0.0578	0.16653	0.34546	0.13072	0.06592	0.27966	0.24283	0.89415	0.17369	0.072552	0.20113	0.11815	0.064395	0.13314	0.061055	0.12134	0.2705	0.15196	0.097749
Meth__cg25736482__TMC4	0.077592	0.051087	0.73013	0.076099	0.91311	0.099056	0.71058	0.49772	0.417	0.81624	0.33098	0.088	0.32839	0.82001	0.073094	0.43358	0.21499	0.12149	0.14838	0.20641	0.79882	0.41641	0.67339	0.074896	0.79501	0.24056	0.33862	0.073974	0.092807	0.093068
Meth__cg15983538__SEMA4A	0.055037	0.074217	0.22341	0.063748	0.84618	0.24595	0.15183	0.082469	0.094494	0.10354	0.11895	0.066634	0.36339	0.8837	0.14457	0.2754	0.097663	0.1093	0.07786	0.11403	0.81885	0.082458	0.11087	0.074811	0.21347	0.36508	0.084733	0.076692	0.066837	0.068948
Meth__cg22268164__TRHR	0.57429	0.048519	0.80406	0.60388	0.040804	0.58111	0.82198	0.041128	0.27461	0.17896	0.19433	0.61646	0.10983	0.8143	0.086848	0.11223	0.024761	0.15936	0.21447	0.89483	0.55575	0.26702	0.43692	0.10635	0.53143	0.27608	0.046432	0.038253	0.33626	0.21672
Meth__cg00540544__CSRP1	0.052805	0.58463	0.034001	0.24706	0.61403	0.065253	0.051289	0.044918	0.55124	0.040902	0.12555	0.18352	0.045583	0.036929	0.073306	0.025514	0.67469	0.56619	0.03481	0.035234	0.059426	0.057306	0.13616	0.11627	0.034514	0.036143	0.13467	0.041238	0.055111	0.24582
Meth__cg15612436__MPPED1	0.29544	0.016418	0.38883	0.23512	0.038556	0.32837	0.79577	0.054453	0.10292	0.36608	0.33508	0.023475	0.060209	0.45336	0.029026	0.023662	0.48399	0.38087	0.65658	0.78027	0.041153	0.11905	0.19388	0.026986	0.26268	0.025477	0.042239	0.36844	0.22685	0.06719
Meth__cg09413557__S100A6	0.030585	0.53436	0.033124	0.14395	0.59541	0.039195	0.034683	0.57648	0.16096	0.017639	0.63744	0.53135	0.10997	0.026498	0.058238	0.034959	0.66241	0.52445	0.22084	0.023695	0.053248	0.033652	0.47544	0.1352	0.029632	0.026279	0.028008	0.1551	0.27423	0.15056
Meth__cg24759821__PAH	0.13827	0.11472	0.9063	0.057556	0.17517	0.37931	0.11178	0.047234	0.71799	0.10105	0.5855	0.056849	0.53574	0.073042	0.086649	0.039733	0.054395	0.046501	0.49971	0.066756	0.41737	0.039509	0.12892	0.099536	0.28511	0.05977	0.80357	0.047568	0.065221	0.2336
Meth__cg07022477__HIF3A	0.064374	0.049826	0.66798	0.53732	0.067326	0.50945	0.41571	0.059675	0.10878	0.6202	0.35864	0.060823	0.16009	0.12497	0.10694	0.072082	0.1991	0.19076	0.7993	0.76254	0.13023	0.25355	0.38807	0.10657	0.27808	0.061911	0.2787	0.29838	0.18839	0.13455
RS_G1470__BPIL1__BPIL1	9.0019	2.3379	6.5411	4.0732	0.67379	1.6678	0	0.35871	0.2413	0.21207	2.5818	3.5613	0	0	0.62709	0.42834	0.26293	0.58624	0.70384	1.2384	0	4.738	4.0067	2.2751	0	0	10.7986	4.7405	1.2949	0.37323
Meth__cg23910835__SFRP2	0.30301	0.070523	0.21503	0.070477	0.17463	0.20075	0.44089	0.072834	0.44984	0.1105	0.17267	0.070812	0.2404	0.19606	0.24881	0.077012	0.092311	0.1344	0.3495	0.3125	0.14959	0.22596	0.24072	0.092015	0.083219	0.048535	0.052525	0.16108	0.094754	0.089463
Meth__cg01911082__CSMD3	0.14959	0.012962	0.20964	0.021941	0.096183	0.7801	0.7405	0.030032	0.17742	0.52549	0.34704	0.1276	0.31183	0.055433	0.053961	0.017936	0.057812	0.56524	0.62828	0.23306	0.89605	0.032069	0.75204	0.027266	0.024689	0.25121	0.068251	0.15682	0.050972	0.021657
RS_G3173__SYNGR4__SYNGR4	2.0634	2.6928	1.8951	3.4784	1.779	1.4674	1.5507	1.7646	1.6931	2.3656	1.0514	4.7824	1.7469	0.45738	2.2555	0.28469	4.6505	2.71	3.4658	1.1654	0	4.58	2.7149	4.2009	0.77481	4.693	10.265	4.6716	1.0684	0.85816
Meth__cg00718440__CDKN2A	0.082699	0.06867	0.082562	0.032447	0.041457	0.078407	0.1032	0.038478	0.17803	0.065664	0.069042	0.033795	0.039581	0.56842	0.16204	0.027694	0.030568	0.059905	0.056444	0.036998	0.61271	0.06185	0.080973	0.071986	0.49263	0.038048	0.026792	0.036668	0.048871	0.072829
Meth__cg01124420__EDAR	0.026976	0.020655	0.17069	0.041342	0.060678	0.052899	0.95085	0.032888	0.17397	0.044727	0.41504	0.027805	0.52541	0.025934	0.092154	0.021796	0.037408	0.034573	0.69804	0.15452	0.06687	0.11133	0.061634	0.049651	0.33316	0.036383	0.23182	0.029316	0.033753	0.054907
RS_G11127__OLFML2B__OLFML2B	0.42875	0.13423	0.23792	0.40981	5.7677	4.4756	3.339	0	1.2164	1.2905	0.97504	0	1.9934	7.0512	2.5686	5.708	0.40258	0.28477	6.7681	1.3501	2.3956	0.30446	0.37271	0	5.2065	0.9963	7.5456	0.44843	0.70319	0.30943
Meth__cg26643856__HLA-DOA	0.48349	0.026974	0.77737	0.66865	0.11739	0.48719	0.78748	0.39578	0.31022	0.54815	0.36664	0.021483	0.1627	0.68436	0.064687	0.017583	0.23163	0.24603	0.82099	0.62537	0.11266	0.057215	0.047282	0.037677	0.14938	0.054486	0.22557	0.70781	0.39178	0.44354
Meth__cg15352315__CD302	0.16573	0.07912	0.43093	0.099405	0.75095	0.43925	0.94651	0.093808	0.16681	0.71138	0.77409	0.12145	0.70488	0.13455	0.43344	0.066828	0.11712	0.091824	0.89241	0.70011	0.13111	0.059661	0.44132	0.23428	0.91139	0.2945	0.63596	0.11237	0.1917	0.1924
Meth__cg03565081__C14orf93	0.5648	0.25483	0.31894	0.28647	0.16453	0.58903	0.58964	0.13611	0.074692	0.41248	0.23514	0.206	0.42725	0.34852	0.15225	0.062252	0.072549	0.23644	0.70816	0.23651	0.67726	0.23807	0.15296	0.25265	0.091634	0.055094	0.31214	0.063679	0.23948	0.35896
RS_G18635__AL390294.19__AL390294.19	3.2266	0	0.25251	6.1877	0	2.0959	0.18879	4.1179	0.62467	0.95932	1.0309	6.4133	0.61877	0.66985	2.2412	0.37138	7.1617	6.5877	6.6266	1.0383	0.21678	5.6484	7.8851	1.0982	0.40247	3.0376	4.3264	2.7329	3.6191	5.5031
Meth__cg06256735__MFAP5	0.36047	0.054363	0.83534	0.47908	0.054447	0.40666	0.75335	0.52194	0.69524	0.39655	0.63729	0.076193	0.28157	0.83392	0.12696	0.090909	0.23179	0.1657	0.8784	0.84331	0.065745	0.21824	0.19701	0.049099	0.058668	0.20204	0.29616	0.1269	0.34018	0.17583
Meth__cg00564163__STEAP4	0.06803	0.037418	0.93583	0.37418	0.92645	0.65849	0.91382	0.0882	0.8647	0.13074	0.10597	0.052919	0.67331	0.62713	0.072762	0.47339	0.32304	0.054873	0.93298	0.067387	0.89562	0.93128	0.29771	0.096047	0.56111	0.038154	0.94419	0.084757	0.12978	0.1586
Meth__cg07102705__HTR4	0.43928	0.015076	0.69156	0.66315	0.54811	0.71804	0.97699	0.76283	0.63935	0.93674	0.53858	0.21897	0.039791	0.31391	0.030165	0.024775	0.22476	0.51853	0.3596	0.56007	0.77642	0.26399	0.76264	0.052542	0.71436	0.037525	0.68262	0.021938	0.52498	0.19737
Meth__cg27015931__MGC50721	0.066943	0.050145	0.63601	0.058292	0.081019	0.07834	0.12373	0.062254	0.072976	0.074566	0.15783	0.056707	0.06653	0.08621	0.13793	0.057399	0.061132	0.068112	0.086963	0.073162	0.1292	0.062049	0.058621	0.067851	0.073974	0.075974	0.057743	0.26761	0.069002	0.062096
Meth__cg08800033__CETN2	0.57626	0.09642	0.14304	0.19934	0.044644	0.12809	0.69356	0.097967	0.13646	0.33611	0.21063	0.059097	0.257	0.34402	0.101	0.14213	0.083447	0.074895	0.48397	0.38961	0.13421	0.074832	0.27839	0.28211	0.43589	0.05696	0.12612	0.66982	0.26299	0.12634
Meth__cg01888566__MEST	0.62762	0.017643	0.3121	0.020258	0.98538	0.65902	0.80943	0.017237	0.98918	0.72074	0.40524	0.016306	0.98138	0.021216	0.31079	0.64246	0.018481	0.017339	0.68134	0.020724	0.65529	0.021608	0.03247	0.0317	0.98076	0.74062	0.98014	0.018447	0.021045	0.025861
Meth__cg21966410__AR	0.56933	0.032125	0.039161	0.23654	0.034815	0.03352	0.82621	0.046639	0.92674	0.93937	0.048535	0.025605	0.93539	0.6363	0.35405	0.029977	0.047704	0.039575	0.53367	0.82955	0.69698	0.047297	0.36496	0.054207	0.53563	0.056747	0.94602	0.51909	0.33454	0.060654
Meth__cg15958424__ACPP	0.081619	0.054936	0.057897	0.17052	0.64915	0.11261	0.42689	0.22954	0.41355	0.24419	0.11825	0.11656	0.36306	0.81598	0.088472	0.64299	0.065888	0.060295	0.30969	0.15278	0.70139	0.094867	0.15679	0.13556	0.82287	0.091768	0.21919	0.14562	0.098747	0.10263
Meth__cg22862656__SCGB2A2	0.055845	0.047079	0.24138	0.22013	0.70361	0.095397	0.84339	0.36142	0.87111	0.17338	0.22479	0.069192	0.46196	0.671	0.090973	0.84613	0.13823	0.13718	0.74933	0.12477	0.82923	0.129	0.16283	0.054846	0.59018	0.30056	0.146	0.18009	0.076393	0.074453
Meth__cg10758292__DEFA1	0.16248	0.068423	0.33185	0.1273	0.066962	0.1376	0.58153	0.10036	0.76492	0.62327	0.86463	0.057351	0.143	0.63345	0.15311	0.033838	0.30105	0.18921	0.15366	0.73651	0.15921	0.13974	0.39428	0.04676	0.10331	0.047098	0.31738	0.37842	0.091669	0.076957
RS_G11561__PRSS12__PRSS12	1.496	0.54609	0.25057	0.080545	5.6392	0.8661	5.8391	0.31015	10.2082	4.7765	2.0344	0.29579	9.7569	4.8767	1.5091	5.9064	0.22633	0.48493	0.61684	3.2744	4.7183	0.48861	0.70177	0	4.227	6.4227	0.17025	0.1576	1.3084	2.2724
Meth__cg07629017__NPBWR1	0.21412	0.026729	0.70462	0.20359	0.24813	0.25824	0.92345	0.082041	0.84587	0.60395	0.84297	0.16056	0.72732	0.075414	0.54651	0.032906	0.35799	0.35577	0.59927	0.9439	0.61655	0.28008	0.4629	0.073766	0.23572	0.048801	0.095186	0.68269	0.65619	0.31899
Meth__cg22477971__C1QB	0.66867	0.042449	0.58753	0.35406	0.055725	0.27506	0.509	0.09166	0.092337	0.26225	0.63026	0.056075	0.48365	0.47889	0.14958	0.058087	0.24202	0.24173	0.90206	0.37689	0.10715	0.21514	0.096581	0.090375	0.25924	0.056673	0.56406	0.10687	0.11169	0.079979
