Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
SNP__LOC402095	0.006	0.099	-0.053	-0.097	-0.173	-0.161	-0.06	-3.918	-3.632	-0.071	-3.064	-4.13	0.029	0.046	0.06	-0.404	-0.742	0.019	-0.01	0.082	0.096	-4.366	0.429	-3.944	0.067	0.161	-0.168	0.009	0.031	0.03	-3.42	-0.066	-0.373
RS_G7014__HMGCS2__HMGCS2	3.2458	4.7467	9.5647	0	0	2.0295	0	0.27949	6.5198	1.1194	0	0	0.66734	0	3.1984	0	0	0	0	2.1169	1.2016	1.5586	8.5555	0	3.6267	0	0	4.2566	0	4.6803	5.0264	4.8179	3.1114
RS_G2541__SNPH__SNPH	2.8925	3.9239	4.8906	0.84562	2.9285	0.14503	0.11904	0.30233	0.35199	0.4352	2.042	2.2632	3.0856	0.067811	0.14062	2.5012	2.9514	0	3.3989	0.38045	0	3.1149	5.7164	7.3115	0.38449	4.4226	0.91702	0.9952	1.9761	0.79539	2.1071	0.85718	1.1361
RS_G13477__EGFL9__EGFL9	0.35305	1.0213	0.17399	0.30014	7.0141	1.1287	6.5699	1.9639	1.6324	3.5774	4.4184	6.5339	5.819	1.846	0	4.6749	3.1119	2.0049	4.3364	3.4908	1.4514	4.4761	2.3108	2.1277	0	7.3809	3.9582	1.752	9.0993	6.445	4.0929	1.9344	0
RS_G6759__XAF1__XAF1	0.70494	0.24912	0.077767	3.8743	4.3757	0.34105	0.51684	0.78531	0.15423	0.37371	8.1182	1.6447	5.2741	3.6319	3.557	0.3472	4.516	7.9514	1.8859	0.74722	0.55715	0.070228	0	0.25471	0	2.2428	4.2314	6.9815	4.6265	0.15909	0.9767	0.10585	0.10335
RS_G17665__FAM25A__FAM25A	0.91608	7.1962	4.2358	5.7438	0	3.7671	0	0	3.3216	3.1388	0	4.8461	0	2.0457	1.6908	2.761	0	0	0	6.2332	0	0	4.6771	0	5.606	0	2.74	0	0	3.3555	4.3747	0	2.0778
RS_G12889__AR__AR	4.6371	4.6227	6.4437	4.4301	5.9187	7.5601	0.19231	1.476	6.5225	6.1875	0.10622	0	0.18004	5.5774	9.2235	0.97224	0.22082	3.9166	3.5014	5.9163	6.3628	0.40029	7.5779	9.2818	3.9527	5.974	0.23057	4.0998	2.03	0	4.8483	6.3137	3.0122
RS_G12839__VAMP5__VAMP5	5.7475	8.4989	5.1276	6.3466	1.0717	4.2899	3.8161	1.723	10.6318	7.4263	5.181	1.7151	4.28	5.4616	6.2318	3.5479	2.1294	5.8416	0.73065	7.4246	6.901	3.5044	5.257	6.3869	6.3121	1.0478	5.9949	5.9216	5.0818	5.9869	5.1714	7.7928	6.4989
RS_G9462__TAGLN__TAGLN	2.8945	4.626	4.3649	5.0176	12.9074	2.7645	8.6642	6.4471	4.1793	6.7896	7.2393	4.7579	8.3802	3.7555	5.0574	12.7347	3.7073	4.379	11.2783	6.5618	4.1273	7.1779	5.9616	5.788	4.45	5.9423	5.8261	5.9848	9.884	2.3748	5.4031	4.2217	3.2621
RS_G16619__SLITRK6__SLITRK6	5.6921	0	5.1781	2.1211	3.7194	4.5245	4.5316	4.1927	7.8925	0.92272	0.41187	5.1835	2.3251	5.4726	0.93462	3.9073	3.1682	3.1583	0.39362	2.9345	1.5436	0.83012	4.428	1.1176	0	0	2.1558	0.96991	0.90457	2.6655	0	2.9342	1.3351
RS_G2752__C13orf15__C13orf15	1.6778	0	0.2523	1.5405	1.0073	0	7.0141	5.6897	0	1.543	1.4384	2.3605	3.5916	1.9013	0	5.5066	1.8871	5.2724	0.83926	0	0.42973	4.7928	0.80035	0	0	0.40215	4.3445	2.1148	2.0999	2.9343	1.478	2.636	1.8022
RS_G692__DKK3__DKK3	0.44322	0	0	0.54068	8.236	0.18041	2.3601	6.9924	0	0.99415	0	5.0446	1.443	0.084903	0.33102	3.855	7.9864	1.2245	6.1166	0.81839	0	3.1985	0	0.7714	0	6.645	0.60379	0	5.2981	0	0	0	0
RS_G5811__C3__C3	7.1207	1.6685	0.69203	2.2919	1.3461	1.109	9.5755	2.9582	0.52857	1.3027	11.5641	5.0096	9.6169	3.7993	0.8653	8.5745	3.1161	10.7546	3.071	1.0739	0.71163	1.766	0.54314	1.4735	0.3753	3.3306	13.2011	3.4851	7.8954	3.5917	3.7685	3.2756	2.3797
RS_G10836__FGFR4__FGFR4	5.2034	7.7635	8.2284	8.4723	3.6823	11.0861	6.4162	5.236	9.6719	7.2021	7.4945	6.5832	6.241	8.4301	9.4006	5.9966	6.3794	4.5084	2.9314	7.9454	7.7888	4.8446	12.8321	13.6847	6.4864	6.0949	5.9918	9.5218	6.8846	7.9866	6.6089	10.4536	9.5726
RS_G12795__NPNT__NPNT	7.6213	2.5915	4.7165	6.7604	0	9.7292	6.8894	0.69471	5.5643	11.2166	9.5247	2.0807	6.5407	4.0569	8.8576	6.2473	0.95379	7.1449	0.13153	7.0112	6.9973	0.55913	6.476	7.469	2.3733	0.20857	2.0193	2.2592	2.6366	2.0589	3.9583	7.4204	3.5592
RS_G2995__SLC39A14__SLC39A14	6.5459	5.6769	5.6594	5.6152	8.7657	6.1716	7.0063	7.7195	6.3535	6.2607	9.1892	7.0224	6.7042	5.8478	5.3048	7.8421	8.046	5.0282	8.6902	5.9951	5.871	7.8138	5.2543	5.461	6.3889	11.4705	6.4913	4.5856	7.4146	6.5071	6.5466	6.9246	7.2669
RS_G6171__FLNC__FLNC	0.72108	1.443	0.40371	2.333	2.8047	0.14743	0.23239	5.9802	0	0.23061	5.3657	5.9628	3.5925	0.15895	1.296	0.73725	7.1029	0.20172	10.6715	3.68	0.059404	8.2159	0.53496	0.46659	0.91112	8.2838	0.88729	1.6241	3.7539	0	3.0293	1.0376	1.1445
RS_G7308__CAPN9__CAPN9	6.4438	3.1332	3.5347	3.5598	0	1.0939	0.31269	0.32114	6.6264	0.27084	0.18039	0	0.54781	0.42803	2.2606	0	0	0.48368	0.58627	2.7745	2.9198	0	6.9213	2.4802	2.4484	0	0	3.2866	0	2.8086	4.4383	5.3116	6.7046
RS_G13255__CDH2__CDH2	0.95252	0.11179	3.8179	3.037	9.5863	0.59708	7.9074	7.9637	0.065964	0	3.3876	4.6749	1.3151	0.59305	0.62312	7.3261	9.9603	0.65088	8.8508	0.061776	0.34768	0.95446	5.4598	2.9731	0	2.3343	4.6813	0	5.7937	0	0.64866	1.9772	1.4403
RS_G7892__FGF2__FGF2	0.3704	0	0	0.15516	7.5818	0	5.2899	3.8378	0.38255	0.26018	7.8975	2.3116	5.2507	0.14505	0	6.8459	6.6202	2.6134	4.9625	0.11633	0.15511	0	0.019091	0.20773	0	4.444	2.0561	0.77491	2.5446	0	0	0.72312	0.11461
RS_G3929__WNT5B__WNT5B	0.17786	0.10307	1.1297	1.7302	8.87	0.74258	6.8221	4.4856	4.0543	1.1046	0	1.3045	5.6642	0	0.72298	6.0588	4.6812	7.2372	8.6155	3.7836	1.3629	6.5414	0.86647	0.68258	0	7.6602	1.0118	6.464	2.4135	0	0.36393	0.77869	0.87589
RS_G7745__IFI44L__IFI44L	0.23732	0	0	4.5645	0.60514	0	0.99127	3.5141	0	2.0578	9.2152	1.5653	3.916	4.217	4.1907	0.47385	1.9555	10.2427	1.0245	0	0.60717	1.9467	0	0	0	0	7.3195	7.3714	2.6778	0.41582	0	0	0
RS_G16556__SLIT3__SLIT3	2.2355	0	2.471	0.90403	8.9874	0.21763	0.33496	7.4124	4.7742	0.68628	0.18968	0.65273	3.7599	0.33265	0.10944	0	3.0493	0.96971	6.6132	0.20772	0.15986	0	1.9982	5.5376	0	7.0337	1.139	1.3114	1.8365	0.83487	0.24237	2.7669	0.36437
RS_G386__CNTN1__CNTN1	5.1297	4.4821	4.0003	1.6827	0.2822	2.6966	1.4143	0.16983	5.5541	0.38665	0	5.2014	7.4095	5.7192	4.6712	3.524	0.40369	0	0	0	0	1.6466	1.0276	0	1.9387	0	4.7842	2.2935	2.9306	3.7199	0.17292	4.0685	1.9316
RS_G16319__SERHL2__SERHL2	5.5576	9.6885	4.2228	5.1276	3.5316	4.1391	4.4021	2.9824	9.3149	3.0556	6.0929	4.8312	4.2306	3.487	4.2993	5.1006	5.2126	4.4447	4.1099	5.1008	8.2175	3.8247	5.6157	3.797	11.2439	4.1716	4.2778	10.349	4.8636	3.1849	6.6946	10.0126	9.7217
RS_G13853__MYEOV__MYEOV	6.3729	7.3037	0.94306	2.7936	0.86396	5.76	8.559	0.96641	2.897	1.1154	1.0353	7.6376	8.0653	11.6292	1.6551	8.5816	0	2.3799	2.052	5.606	1.7781	8.4674	1.4604	0.38509	5.6216	6.1858	0.41537	4.5424	7.588	9.6487	4.8669	5.1539	1.1507
RS_G18796__ZNF323__ZNF323	4.0592	4.7404	4.0046	3.0955	0.64925	4.6182	4.4034	5.7516	3.7182	1.871	1.786	3.694	2.5334	3.3804	8.9602	4.7592	3.1953	5.4161	2.505	2.6108	3.7035	2.41	4.2997	3.2401	4.3569	1.7508	4.3278	7.3598	2.2784	3.8048	3.1218	2.4992	3.5796
RS_G22042__HLA-F__HLA-F	4.748	2.4472	0.95172	6.5911	0	4.0757	5.6306	6.511	1.1434	3.8771	9.1074	6.966	7.902	5.9406	2.5906	6.6764	6.4276	9.9102	1.1237	5.6214	3.8954	3.2625	3.8368	1.838	0.99069	6.9802	8.3968	8.494	6.9181	5.328	7.0422	6.3212	6.1653
RS_G8859__UCN2__UCN2	1.2845	0.29972	1.361	0	0	0.61433	0	1.8619	1.077	1.9504	1.1088	3.1138	1.5959	2.007	0	1.9642	2.2167	0	7.4621	0.92346	0.33255	4.0658	2.3384	2.7354	0	3.5893	4.6056	0	7.5876	2.913	2.3249	0	0
RS_G4435__IL1A__IL1A	0.69823	0	0.28336	0.54584	0	0	0.15257	0.20064	0.35738	0.23797	1.0015	6.1503	3.2881	0	0	3.1838	0.76755	0.77038	0.20083	0.17577	0.17804	0.4537	0.044939	0	0	0	2.6039	0.33376	1.5682	0.36359	0	0	0
RS_G4882__NRP2__NRP2	0.9771	0.20883	0.35126	0.070484	5.1284	0	4.7753	5.4477	2.767	0	6.9605	5.4682	6.1647	1.8408	0	5.4395	6.3585	3.0381	4.719	0.93829	0.60902	4.1193	0.27601	0.53772	1.3656	9.3677	1.3344	1.1954	6.321	2.2134	0.87418	0	0.1009
RS_G5325__CXCR4__CXCR4	1.569	1.7543	7.2597	2.8288	0	4.3832	5.1793	1.1974	3.2863	1.6411	1.3463	0.68114	1.3972	1.1626	5.2171	4.8636	1.6438	0.8891	0	6.3193	8.9219	0.23797	6.9206	5.7786	0	1.0431	2.7266	0	3.6026	0.70369	3.4114	5.259	0.87922
RS_G10718__TFF3__TFF3	9.803	7.179	11.1887	12.8489	0	6.3298	0.97441	0.986	13.1896	11.0513	1.8337	0	0.53575	1.7682	9.6535	2.2698	0	0	1.8517	9.9781	8.776	5.8853	12.3423	6.3096	5.0467	0	0	6.5283	0	0.69196	8.9041	12.4151	11.5272
RS_G3379__MEST__MEST	0.28456	7.7409	7.8393	7.4767	7.0437	7.6778	7.4615	1.4366	1.0201	7.6848	0.16774	8.4186	6.9275	6.6173	8.08	1.1371	11.3032	0.69041	4.0757	7.3671	8.1143	6.2993	7.2189	7.299	9.0774	0.325	0	6.652	7.5819	0	1.0173	6.7253	7.8146
RS_G15926__RGMA__RGMA	6.6212	0.66506	2.3204	1.4114	3.8693	0	2.3197	7.0042	0.32865	1.3678	8.8727	1.2891	5.0712	0.52872	0	3.1229	0.60114	5.4599	0.17933	3.2546	0.92041	0	1.6905	0	0	3.5632	3.6555	4.1386	1.3777	0.33244	4.1545	1.9628	1.7706
RS_G11127__OLFML2B__OLFML2B	0.42875	0.13423	0.23792	0.40981	5.7677	4.4756	3.339	9.4493	0.30186	0	1.2164	0.33768	1.2905	0.97504	0	1.9934	7.0512	2.5686	5.708	0.40258	0.28477	2.3956	0.30446	0.37271	0	5.2065	0.9963	0	0.51857	7.5456	0	0.70319	0.30943
RS_G1983__CCDC80__CCDC80	3.047	4.5842	0.24634	0.95276	10.2098	0.12049	5.2177	5.0089	0	1.3406	1.1731	5.231	6.9418	3.9554	0.11679	7.2517	8.6794	7.4749	9.7159	2.3768	1.9402	6.4667	0.23618	0.2076	1.7652	4.6926	6.5604	0.13246	6.081	5.2147	2.8761	0.45007	0.086745
RS_G5897__C20orf114__C20orf114	7.2811	4.1593	6.4009	4.4106	0	0.79278	0.42508	0.85199	5.3667	1.576	0.63302	0	6.651	7.7517	0.67061	0	0.2615	6.3258	0.30149	2.4042	2.3954	0	6.9239	0.24599	6.1223	0	0.87411	2.0639	0	3.1221	4.9933	8.9966	6.0651
RS_G7110__DSG3__DSG3	0.31416	0	0.29743	0.3494	0.85312	0.3551	8.2211	0.47605	0.28915	0.51326	0.64092	4.8091	5.1836	0.21534	0.3409	3.7617	3.7258	7.3705	0.30549	0.045416	0.092333	0.17663	0.17781	0.8118	0.78938	0.65087	5.9837	3.3214	5.9508	0.20438	0.25707	0.42995	0.32003
RS_G7026__NGF__NGF	0	0	0	0.44039	8.2263	0	1.5055	5.462	0	0	0	5.0698	3.456	0.41902	0	7.7309	6.0518	0	7.9757	1.5749	0	4.6169	0	0	0	4.7581	0.80466	3.4721	3.6174	0	0	0	0
RS_G3853__C11orf41__C11orf41	0.10845	0.061167	0.16984	0.13559	1.3798	0	4.781	3.4279	0.097979	0.21235	5.1998	6.1774	4.1824	1.2452	0.089237	1.3581	2.648	2.5653	6.7553	0.80288	0.11354	0.14799	0	0	0.11867	2.9811	0.64591	0.3339	1.7011	0.51858	0	0.27734	0.58324
RS_G13164__FABP6__FABP6	2.3614	5.0613	0	1.2049	0	0	0	1.3002	6.2218	0.68448	0	5.6808	4.4541	2.3389	5.7149	0.74174	0	0	1.7984	3.477	3.3971	3.6119	0.39506	1.3707	1.4427	0	0.53013	3.8371	0	6.9112	4.9649	0.70066	0
RS_G170__PROM1__PROM1	6.3993	3.9981	0.79538	1.1372	0	0.49645	4.3908	0.20402	1.6844	0	1.9471	1.2635	0.70091	2.4703	5.2802	6.4962	1.5902	9.078	0	0.17876	0	0.46159	0.39789	0.31413	4.5082	0	0.34762	0.15302	0.27662	0.66674	0.74765	3.6763	1.9301
RS_G7983__GLIPR1__GLIPR1	0.55287	0.2859	0.94121	0.19873	8.8142	0.67508	3.8198	6.0225	0.83764	0.62063	3.6456	5.4165	4.5642	4.8421	0.25714	6.5035	8.1578	4.0803	7.825	0.6577	0.57361	6.5993	0.1263	0	1.235	1.7892	3.8954	0.71376	4.6243	0.72126	1.595	0.35881	0.094808
RS_G8362__PNMT__PNMT	0.44623	4.8999	7.3726	5.2727	0	1.4466	0.33162	0.4332	11.4553	1.7285	1.4818	0.57924	0	3.0748	8.8248	0	2.0961	0.97013	0.42865	1.4931	0.68934	0	6.2953	2.8879	4.8305	0	1.6774	5.8587	2.6683	0	2.3264	2.1811	0
RS_G8354__PMAIP1__PMAIP1	4.0124	3.1341	5.0862	4.7247	5.4108	3.4802	5.7681	5.6443	0.25956	3.9484	9.8502	4.4074	4.8414	5.4832	0	2.9297	7.3392	6.0246	5.9079	2.6823	2.1942	6.9079	4.193	0.73814	1.8729	4.2525	4.0255	3.8656	5.387	2.6193	2.8566	4.9198	3.01
RS_G12846__TMEM22__TMEM22	0.12489	0	0.32872	0.95172	4.2412	0.87813	2.461	4.4274	0.80793	3.5709	4.2807	6.2727	4.3571	0	1.7302	0	7.038	2.6853	6.3906	0	0.5475	7.9347	1.5709	0.51138	0	0.28293	4.4032	1.3373	4.1658	0	0	0	0
RS_G10662__SPON2__SPON2	2.7812	6.1264	1.323	1.9091	9.9503	1.7098	1.7203	1.2119	0.29091	0.37481	4.2431	0.42609	1.4054	0	0.26969	1.9704	1.2893	1.9114	4.3765	1.8882	1.8656	0	2.7858	0.82777	0	5.8784	7.0758	4.2263	5.7229	3.9687	2.5838	1.0492	0.68924
RS_G1700__WNT11__WNT11	0.95554	0.84773	1.4629	4.0612	2.4978	0.26815	2.2228	0.15487	0	2.7953	7.6623	1.9448	1.5183	0.12823	0	1.0841	1.9585	4.9662	1.6509	6.8246	2.6715	0.64391	1.6128	0	0	0.94427	8.51	4.5096	3.1453	1.8569	2.1116	0.65293	0.19576
RS_G4349__WNT5A__WNT5A	3.982	2.045	1.8769	1.9481	4.5212	0	3.6975	6.6438	0	0.12663	2.9122	2.7777	4.8234	4.5715	0.33471	3.6876	7.6926	5.9567	8.5689	0.47057	0.98972	4.6257	0.93054	3.3416	6.5403	5.0767	6.3914	3.2081	0	5.2859	0.33479	3.2077	1.2231
RS_G6626__MAP1B__MAP1B	1.6802	0.12335	2.6488	3.0439	5.4526	0.64596	7.5131	8.3394	1.0717	2.1305	6.6239	3.8912	4.0338	2.7093	5.0187	4.8936	8.088	4.8333	9.1024	2.9921	3.5005	7.6542	1.7013	0.79208	0.17791	7.6968	2.768	5.9852	4.2327	2.5995	0.081101	2.7946	0.59431
RS_G13766__MUCL1__MUCL1	8.2971	9.2684	12.3825	10.0828	0	8.4661	0	0.90826	7.872	5.344	1.4703	1.545	2.4156	8.9393	4.3595	0	0	5.508	0	7.4503	7.7859	0	13.1852	9.8025	9.1199	1.9667	0.85403	14.8568	1.8097	13.9402	2.6873	11.3802	3.1773
RS_G12262__NNMT__NNMT	8.5516	2.0132	0.48442	0	9.4448	0	1.147	7.6778	0	0	1.6205	1.4637	5.9883	7.7288	0	5.9076	6.1323	8.4278	6.7404	1.7656	0	0.7415	0.55533	0.52928	0	9.0646	10.6571	6.6568	6.8006	9.2782	0	0.22668	0
RS_G5079__IFIT2__IFIT2	3.9033	0.57291	1.0182	4.2654	1.9049	0.74433	3.1547	3.2978	0.16058	3.692	11.0262	4.9108	6.1426	6.1351	3.4737	2.9153	3.2552	8.711	2.4582	0.97812	1.9047	6.3895	1.2038	1.6276	0	0.49342	3.8401	5.7031	3.4226	2.3313	3.0752	1.0737	1.03
RS_G16170__PCP4__PCP4	9.5795	2.6308	3.4364	5.2434	0	4.7144	0	1.3531	1.0717	2.5298	0	0	1.3561	0	7.0045	0.43605	0	1.1567	0	4.5612	5.15	0	1.8418	0	7.0218	2.0636	0	1.9718	0	6.293	6.6928	1.5702	0
RS_G14507__AL133445.4__AL133445.4	3.9862	4.92	6.1168	4.9254	0	3.5289	0.34141	0	2.9907	0.73593	0	0.82434	2.311	0	0.95206	0	0.69544	1.8332	0.44594	2.7258	3.3483	0	2.881	3.5843	2.2355	0	0.72157	2.7742	0.58825	0.76526	5.1359	2.6906	0
SNP__LOC643847	-0.033	0.113	0.435	-0.1	0.207	-0.493	-0.09	0.515	-0.981	0.285	-0.048	-0.067	0.199	0.093	0.041	0.23	-0.021	-0.225	-0.181	0.177	0.093	0.111	-0.222	-0.033	0.051	-0.159	0.307	0.153	-0.242	0.194	0.326	-0.458	-0.383
RS_G13359__HAS2__HAS2	0	0	0	0	6.2901	0	0.50167	7.8174	0.34679	2.7205	0	8.4229	1.3124	0	0	0	3.943	0.54231	8.0381	0	0	3.7323	0	0	0	0	2.9735	0	1.4913	0.35491	0	0	0
RS_G7879__HERC5__HERC5	2.3699	0	1.1018	4.8412	0.14696	1.4218	4.5886	2.5298	0.90345	1.1983	8.0916	2.7091	5.6631	4.4059	1.7557	2.964	4.5001	7.8085	0.083816	0.81141	0.62941	5.3756	0.78169	0	0	3.9803	3.3359	4.2521	3.2928	2.1255	1.4633	0.70351	0.21229
RS_G3127__CLIP3__CLIP3	3.4888	1.9179	2.7426	4.3702	6.1435	3.4575	2.3396	2.7054	2.1188	4.0758	2.5388	0.93666	2.268	1.2496	3.2212	2.7524	5.653	2.6783	6.7723	2.8351	3.3253	1.4048	2.9147	4.1503	2.0431	7.9816	3.8348	2.9182	2.9307	1.8797	3.0238	2.909	2.4687
RS_G6639__KHDRBS3__KHDRBS3	2.7656	1.8859	6.3116	2.5982	3.6717	3.9119	7.3774	8.9619	0.14162	3.5335	5.9593	3.7957	4.6798	4.5205	1.334	3.9564	3.1927	3.2543	5.0197	0.13271	1.6897	7.1711	4.1739	3.1378	0.99985	6.8705	2.3588	5.4535	0.69378	2.4602	2.8818	4.0691	5.0319
RS_G3861__SCGB2A2__SCGB2A2	13.9607	7.2469	8.4444	3.1721	0	5.1291	2.0737	4.905	7.1077	7.7127	0	0	0.67662	0	0	0	0	0.75343	0	1.9939	2.7482	0	12.9283	1.2589	9.6874	0	0	16.6899	0	11.1134	0	14.5809	5.6558
RS_G22491__AC008734.7__AC008734.7	2.8709	6.4765	0.59515	2.5045	0	0	6.2257	0.13237	0.12501	0.078348	0.813	3.8512	5.8028	0.55869	3.9361	3.0198	0	3.8887	0	0.17013	1.8018	0	0.13791	0.54559	6.0522	0	3.4623	2.5347	4.1309	0	0	1.6888	0.84556
RS_G6312__CDKN1C__CDKN1C	1.5663	3.4209	1.4135	4.1129	2.0193	1.5752	3.2115	1.6214	0.43044	1.3211	3.7532	1.1465	0.74775	1.2033	1.8338	1.872	1.8139	0.74747	2.187	2.5887	0.62031	3.0532	2.5782	2.8636	0	3.0329	4.9828	4.3871	5.6167	2.6888	0.80526	3.0998	4.1276
RS_G566__CSPG2__CSPG2	0.20025	0.043506	1.2122	0.88034	1.8343	0.21093	4.7871	6.1112	1.7258	0.13026	0.20687	1.5527	1.0484	0	3.3124	1.5387	8.8786	0.043736	8.7002	0.046891	0.11893	0.61441	1.3727	1.9183	0	3.5182	3.6374	0.39102	2.7013	0.27189	0.80559	0.66906	0.65313
RS_G1917__LEPREL1__LEPREL1	1.6812	1.213	1.016	0.15032	9.6328	0	8.6274	7.5555	0	0.20528	2.3881	6.6588	10.0755	7.8581	0	6.0855	6.9596	8.8539	6.6718	0.14834	0	7.6461	0.14506	0	1.8994	2.7188	5.8777	1.6577	6.3893	3.8936	2.3297	2.3917	0
RS_G11561__PRSS12__PRSS12	1.496	0.54609	0.25057	0.080545	5.6392	0.8661	5.8391	2.788	0.085993	0.31015	10.2082	5.2016	4.7765	2.0344	0.29579	9.7569	4.8767	1.5091	5.9064	0.22633	0.48493	4.7183	0.48861	0.70177	0	4.227	6.4227	1.9942	5.4288	0.17025	0	1.3084	2.2724
RS_G16925__AHNAK2__AHNAK2	2.7225	0.32426	0.85377	2.7863	5.6329	5.2479	8.636	6.0167	1.9327	4.4501	1.9293	5.065	4.1081	4.5002	0.58031	5.196	4.1838	4.2729	5.531	2.8578	2.6507	4.6099	0.72887	0.4055	0	9.8171	6.7573	4.612	6.1168	1.6537	2.9451	2.6246	3.0882
RS_G14028__SUSD5__SUSD5	4.1374	0.2278	1.652	1.4189	7.4136	0.79899	3.8409	6.9339	2.5299	0.95948	0.80769	2.9449	2.9382	3.1619	1.2317	4.0329	6.9944	0.6891	4.6281	0.52125	0.29324	7.5128	1.1616	0.81957	1.4101	6.1608	1.8309	4.5563	2.0915	0.27212	3.4141	0.075385	0.35588
RS_G21817__COL5A2__COL5A2	2.0325	2.4879	4.2716	1.7192	11.4161	1.8125	2.7886	3.2901	2.1766	2.6395	1.0823	4.7681	2.9836	1.2547	1.4858	2.2847	10.9635	3.0288	8.2933	2.2846	2.8326	2.519	1.951	2.3008	2.4832	10.0055	1.6485	5.2249	1.7676	2.5043	3.9287	2.0477	2.0215
SNP__LOC441440	-0.26	-0.178	1.861	2.288	2.394	0.064	-0.573	0.094	0.347	1.881	0.04	-0.124	-0.018	0.1	0.011	-0.094	2.423	0.464	-0.088	-0.006	1.694	-0.159	-0.186	2.292	0.047	-0.211	2.084	2.049	-0.378	2.062	-0.139	1.735	0.024
RS_G2073__TDRD1__TDRD1	6.424	5.8676	0	0	0	0.10419	0.085849	0.055694	0.10872	6.1381	0.21942	0	0.080184	6.8676	0	1.2116	0	5.9104	0.11527	3.3172	4.4935	0	0	0	6.8683	0	0	4.7758	0	6.067	1.306	1.0273	0
RS_G8562__RGS16__RGS16	3.6383	7.9152	3.1434	4.2812	0	2.3833	0.82754	4.8652	7.453	2.0693	4.5062	4.3101	2.672	4.8678	2.4771	1.5237	0.53533	2.5687	0.83849	5.7894	7.078	2.0042	4.5416	3.1614	6.6121	8.0521	3.1614	5.7208	4.6667	4.6968	5.3382	6.9381	6.5567
SNP__CFHL4	0.651	0.5	0.706	0.482	0.492	0.442	2.355	-2.181	0.09	-0.838	0.434	0.253	0.026	0.136	-1.672	0.221	2.628	-2.421	-0.061	0.408	0.351	0.099	2.833	0.745	0.263	-0.264	-1.268	0.153	0.243	0.291	0.282	0.569	-2.009
RS_G12106__FBN1__FBN1	1.2014	1.8895	2.1102	0.65511	7.5586	2.1463	1.108	8.4746	0.6436	0.18388	0.66708	3.0923	4.1752	1.0146	0.74839	4.3982	6.9848	4.5742	9.8221	0.29333	1.5016	5.7106	1.3307	3.0962	1.224	5.4877	1.9859	0.49329	2.2667	1.2437	0.29429	1.0261	0.5397
RS_G9411__PAK1__PAK1	9.7379	3.6126	5.4375	6.8348	6.7525	4.9493	5.9938	7.1121	2.1414	5.6631	7.8099	8.5733	6.5653	6.9548	1.7217	6.8913	6.8685	7.7419	6.4967	3.6134	5.5626	7.3965	5.7512	5.6661	5.3053	3.3435	6.0138	6.3652	4.9205	9.5501	7.7022	5.4982	5.2907
RS_G5919__SLURP1__SLURP1	1.6964	3.5263	0.83884	1.8081	0	0.79327	0.67817	0	6.8835	1.3081	0	0	3.6621	0.41528	6.3316	0	0	2.1742	0	4.2731	2.746	0	2.0254	0.72351	0	0	0.79023	4.85	0	2.5992	3.9811	2.0289	1.0161
RS_G10481__SLC13A3__SLC13A3	0.8818	0.055746	3.7237	0.80626	1.8261	3.3395	0	0.42843	4.2751	0	8.2186	0.19007	2.845	1.6482	0	3.0073	2.9172	0.10998	0.26446	0.80051	1.0078	1.7158	0.81066	0.11165	0.36805	0.21899	4.581	0.84976	1.4916	5.2448	4.6136	1.7166	1.9336
RS_G14203__IL20RB__IL20RB	2.3285	2.3977	1.9633	2.6694	2.9313	3.6584	3.7298	3.6464	2.6596	2.0501	4.4568	7.3998	6.0774	2.1694	2.4511	3.8537	4.2693	3.4924	3.1903	2.3034	3.4285	2.316	2.3458	2.0891	1.235	3.8664	6.4871	3.0164	8.9032	4.6157	2.8394	2.5497	2.8662
RS_G6735__POPDC3__POPDC3	0.57665	0.54819	0	1.155	5.5701	0	5.6997	0	1.7365	1.6638	9.4619	5.2097	3.2583	5.1209	0.49723	5.0981	5.9485	5.433	2.9252	0	1.0232	5.9295	0.20004	0	2.4234	4.7089	4.6043	3.7261	3.2768	6.8346	0.44169	0	1.6355
RS_G7939__LL22NC03-75B3.6__LL22NC03-75B3.6	2.4782	0.1394	0.49211	1.2766	4.5176	0.15466	4.1286	7.2692	0.15764	0.053937	1.2511	3.8732	4.4105	0.61415	0	3.9325	6.1773	0.071757	8.1771	0.83738	0	2.2202	0.76908	0.13865	0.10411	3.9719	0	4.6122	1.4349	0.63433	0.25885	0.21832	0.31876
RS_G748__FOXC1__FOXC1	1.3467	0	0.44926	2.662	6.5029	0	5.6404	4.9248	2.525	1.692	6.4469	6.2567	3.7813	5.4285	0.63345	5.0029	5.1006	7.1906	5.3363	5.2142	3.7327	4.0817	1.8569	0.68469	0	5.4878	4.8565	4.7414	6.0806	4.0297	4.116	2.8678	2.8369
