Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Meth__cg03565081__C14orf93	0.5648	0.25483	0.43173	0.31894	0.28647	0.16453	0.58903	0.58964	0.10881	0.13611	0.074692	0.41248	0.23514	0.206	0.11426	0.42725	0.34852	0.15225	0.062252	0.072549	0.23644	0.70816	0.13793	0.23651	0.67726	0.23807	0.12477	0.15296	0.25265	0.091634	0.055094	0.090355	0.5778	0.31214	0.11782	0.063679	0.23948	0.32664	0.35896
Meth__cg06963844__FBXO6	0.067333	0.042227	0.47657	0.068838	0.07431	0.048201	0.072539	0.074847	0.059912	0.062398	0.07062	0.09691	0.12893	0.037416	0.060855	0.89835	0.054893	0.09266	0.056227	0.04095	0.063031	0.055231	0.39976	0.093886	0.098601	0.053905	0.12773	0.15816	0.10747	0.052048	0.038571	0.10309	0.057713	0.053958	0.079375	0.07352	0.056705	0.11331	0.049377
Meth__cg09863066__PVALB	0.55139	0.026047	0.88053	0.90552	0.77407	0.028381	0.80022	0.45807	0.01866	0.58916	0.14277	0.61833	0.67873	0.022923	0.03794	0.18091	0.42688	0.029048	0.01573	0.72796	0.50286	0.93065	0.21487	0.94277	0.071677	0.7965	0.029702	0.42108	0.041721	0.027048	0.032773	0.020938	0.76926	0.20548	0.082698	0.90555	0.494	0.63674	0.50283
Meth__cg19996355__PBX4	0.64641	0.022544	0.059631	0.21257	0.72977	0.021873	0.57935	0.030177	0.029908	0.034115	0.069503	0.015245	0.67611	0.97387	0.039958	0.030008	0.060914	0.12106	0.099242	0.025969	0.053575	0.96779	0.036554	0.59745	0.09359	0.64494	0.033755	0.94459	0.038838	0.019609	0.022614	0.030651	0.65907	0.031208	0.079768	0.023278	0.82549	0.9378	0.6084
Meth__cg22189725__ADC	0.10135	0.06271	0.086119	0.079692	0.10778	0.052966	0.095324	0.0635	0.053596	0.073442	0.058901	0.17123	0.82982	0.061015	0.060966	0.065118	0.046558	0.077304	0.086088	0.091183	0.10382	0.093117	0.09086	0.11401	0.15464	0.082623	0.1439	0.11425	0.083051	0.052977	0.048093	0.095546	0.069834	0.06116	0.12584	0.10867	0.10769	0.15269	0.097124
Meth__cg05338155__IFIT5	0.02758	0.022015	0.029253	0.034567	0.02195	0.018038	0.03056	0.042542	0.020236	0.023049	0.024909	0.02486	0.056657	0.017936	0.020442	0.056674	0.018857	0.041856	0.020407	0.015711	0.031037	0.021577	0.024931	0.048128	0.034969	0.02216	0.025167	0.042204	0.035888	0.023107	0.017479	0.016025	0.020868	0.013936	0.03489	0.020299	0.023819	0.042968	0.21211
Meth__cg15700197__OR10J1	0.14578	0.095172	0.14539	0.27892	0.097314	0.72649	0.11439	0.078697	0.21073	0.22803	0.16109	0.090962	0.42936	0.058824	0.16884	0.12955	0.18571	0.19674	0.1519	0.09803	0.13285	0.15578	0.16842	0.056467	0.5508	0.19874	0.22756	0.28187	0.11899	0.117	0.69843	0.68293	0.12701	0.13352	0.14811	0.1402	0.1197	0.11724	0.13617
Meth__cg00047050__CUL5	0.092269	0.057714	0.10811	0.44268	0.25242	0.068272	0.10797	0.19343	0.12252	0.078839	0.049287	0.17286	0.087833	0.23708	0.1151	0.075434	0.05739	0.16017	0.032915	0.066264	0.080443	0.18814	0.066986	0.088729	0.14348	0.061065	0.13701	0.09455	0.12433	0.033899	0.049064	0.38935	0.49012	0.068864	0.062553	0.068174	0.07166	0.17879	0.087823
Meth__cg26803566__SGPP1	0.046025	0.041542	0.068353	0.11419	0.11042	0.15575	0.15105	0.38267	0.47211	0.10898	0.076634	0.22436	0.063582	0.14455	0.081247	0.088436	0.041768	0.2239	0.063811	0.10493	0.075041	0.098817	0.1458	0.33872	0.13108	0.05841	0.13648	0.14901	0.10578	0.047287	0.041449	0.03159	0.30908	0.065836	0.12871	0.037264	0.05536	0.18845	0.063159
Meth__cg16488098__PODXL	0.26743	0.28304	0.95037	0.35252	0.73236	0.81454	0.83931	0.44634	0.12599	0.6195	0.28246	0.23054	0.93242	0.13555	0.16524	0.23725	0.071209	0.079926	0.072844	0.56096	0.074299	0.87558	0.86759	0.82908	0.51585	0.36532	0.058377	0.1896	0.40057	0.029401	0.031427	0.083594	0.91189	0.80267	0.13254	0.82847	0.65974	0.23365	0.79777
Meth__cg00707317__NMNAT2	0.44644	0.018608	0.047463	0.096154	0.033648	0.54513	0.65071	0.29211	0.022978	0.05353	0.31243	0.61645	0.93159	0.019721	0.023005	0.41447	0.041032	0.048409	0.23974	0.4339	0.31849	0.11132	0.021847	0.47681	0.087807	0.046111	0.14575	0.86271	0.045455	0.035586	0.066507	0.041901	0.10839	0.71955	0.11803	0.035838	0.033272	0.90398	0.31151
Meth__cg26512148__SOS2	0.038607	0.025139	0.050802	0.036146	0.020763	0.034289	0.050233	0.038025	0.043559	0.036621	0.049635	0.04502	0.10345	0.045239	0.038164	0.032185	0.029296	0.04872	0.019487	0.022881	0.03106	0.096466	0.038399	0.033034	0.056591	0.03139	0.086007	0.067961	0.074214	0.026333	0.017986	0.029062	0.25688	0.023933	0.059466	0.035246	0.029004	0.056955	0.029871
Meth__cg19125999__C1orf172	0.074993	0.030801	0.050074	0.058096	0.044485	0.20764	0.034081	0.043977	0.074663	0.041112	0.057514	0.057778	0.061305	0.033389	0.067221	0.054933	0.39165	0.072659	0.050393	0.043712	0.058484	0.038323	0.73115	0.045817	0.71607	0.056483	0.059149	0.055103	0.088105	0.45386	0.026993	0.81534	0.031176	0.044297	0.29478	0.090963	0.056438	0.075051	0.055575
Meth__cg14045283__MADCAM1	0.31483	0.027421	0.10352	0.10279	0.034936	0.075499	0.067055	0.41334	0.027815	0.038165	0.12446	0.034935	0.18278	0.031278	0.035842	0.12111	0.057812	0.071257	0.030371	0.061611	0.12396	0.08124	0.4019	0.21683	0.047081	0.05592	0.061377	0.19614	0.075852	0.026379	0.03569	0.024165	0.048311	0.070153	0.052009	0.03413	0.039495	0.088748	0.052927
Meth__cg07611334__C20orf98	0.078128	0.92055	0.94229	0.079551	0.060195	0.051695	0.0699	0.074969	0.054332	0.057244	0.10033	0.5728	0.52537	0.15264	0.37607	0.13794	0.064871	0.098354	0.052031	0.055884	0.060912	0.052361	0.59193	0.11156	0.10755	0.068359	0.099903	0.09125	0.54733	0.043418	0.046276	0.081049	0.06141	0.044704	0.05874	0.051927	0.053636	0.27744	0.088096
Meth__cg00567749__CSPG2	0.31959	0.062123	0.8552	0.29593	0.22741	0.14775	0.85842	0.051685	0.1442	0.61527	0.45644	0.60011	0.85707	0.10387	0.18311	0.84773	0.052642	0.36783	0.058871	0.84183	0.54248	0.17109	0.080247	0.70058	0.78676	0.56475	0.12826	0.85537	0.34906	0.055763	0.050755	0.074334	0.87734	0.58371	0.39576	0.10578	0.85412	0.6466	0.85893
Meth__cg01798589__STAC	0.40775	0.055888	0.33598	0.73801	0.17076	0.1859	0.5078	0.18959	0.17414	0.25612	0.49614	0.3848	0.37017	0.76253	0.10344	0.40438	0.098271	0.15934	0.19036	0.27297	0.26719	0.13715	0.17653	0.91251	0.07462	0.26199	0.092414	0.20794	0.090772	0.042413	0.39363	0.092184	0.46842	0.10829	0.065069	0.12448	0.77931	0.21564	0.38727
Meth__cg24256211__SAMD4A	0.25445	0.32127	0.060854	0.76729	0.68995	0.038066	0.75559	0.082467	0.16908	0.33409	0.22815	0.31118	0.27128	0.18784	0.12834	0.082049	0.021355	0.14011	0.040153	0.54842	0.35634	0.91081	0.20628	0.83815	0.081409	0.67088	0.1095	0.50788	0.25002	0.05856	0.034255	0.073037	0.75977	0.03643	0.082951	0.22215	0.66461	0.33968	0.63614
Meth__cg04478795__SMO	0.83456	0.058506	0.97049	0.68091	0.93382	0.11996	0.84402	0.24897	0.026561	0.85978	0.048779	0.82011	0.78753	0.23198	0.035744	0.079333	0.032082	0.42768	0.041463	0.875	0.8766	0.96764	0.24768	0.67486	0.84293	0.16725	0.047783	0.8648	0.16635	0.058248	0.16556	0.18879	0.8826	0.7665	0.14043	0.93116	0.95389	0.54824	0.91399
Meth__cg12099051__SAMHD1	0.048253	0.06304	0.3152	0.63832	0.1596	0.055806	0.088271	0.20773	0.06448	0.066683	0.055148	0.13073	0.17599	0.071494	0.070563	0.063759	0.047296	0.16005	0.040046	0.068879	0.085721	0.13011	0.054571	0.24596	0.083741	0.074336	0.080096	0.16399	0.14537	0.043354	0.058827	0.040831	0.29915	0.069412	0.12933	0.064657	0.1475	0.11831	0.36414
Meth__cg09533293__ANXA2	0.063488	0.060221	0.075691	0.09808	0.069421	0.059448	0.063317	0.062654	0.062179	0.053723	0.049904	0.090615	0.10597	0.072996	0.064499	0.099781	0.075558	0.091515	0.086626	0.065252	0.071102	0.84371	0.072299	0.08596	0.071257	0.062241	0.11932	0.15842	0.11127	0.057842	0.090347	0.067506	0.067658	0.053482	0.16781	0.062047	0.065327	0.17389	0.058416
Meth__cg17425616__SNX2	0.24701	0.10561	0.72796	0.79062	0.59314	0.17678	0.20892	0.65715	0.43891	0.46776	0.11445	0.27978	0.71866	0.13819	0.3959	0.37202	0.16579	0.24148	0.37272	0.24278	0.14968	0.5302	0.089211	0.33755	0.13865	0.2475	0.1764	0.18174	0.14785	0.077325	0.50569	0.092111	0.73891	0.2117	0.13739	0.095087	0.6082	0.49174	0.74719
Meth__cg11565248__RPS6KA3	0.52333	0.059523	0.053685	0.077648	0.2153	0.025604	0.056253	0.030186	0.023487	0.083811	0.05273	0.42235	0.4507	0.75854	0.029827	0.024589	0.02602	0.25814	0.51615	0.021986	0.038924	0.55399	0.31585	0.47543	0.087549	0.45383	0.35763	0.68629	0.4211	0.51384	0.023891	0.50042	0.52048	0.030005	0.16776	0.4552	0.36121	0.65521	0.054287
Meth__cg13183496__CXorf17	0.37856	0.037154	0.09538	0.056797	0.18294	0.040589	0.076562	0.069891	0.14501	0.30607	0.056912	0.33009	0.28502	0.057132	0.152	0.44968	0.037668	0.32402	0.095339	0.056027	0.056372	0.36624	0.16537	0.28659	0.15117	0.26304	0.10072	0.42698	0.16336	0.36948	0.037786	0.077506	0.067041	0.060193	0.059892	0.28978	0.11117	0.3805	0.053608
Meth__cg26024531__CHAF1B	0.065669	0.043904	0.12365	0.35682	0.17255	0.05109	0.058591	0.089276	0.080285	0.081214	0.053254	0.16624	0.16794	0.064509	0.0841	0.087896	0.050793	0.060915	0.082639	0.303	0.069755	0.13659	0.12357	0.6612	0.23529	0.15015	0.08986	0.12426	0.060253	0.057989	0.046172	0.066658	0.071246	0.045381	0.075472	0.10056	0.32696	0.3432	0.077093
Meth__cg20166532__EDG1	0.49884	0.059168	0.53655	0.1478	0.57552	0.056678	0.87288	0.91116	0.056329	0.63674	0.3702	0.14198	0.70214	0.37579	0.055415	0.65042	0.047442	0.15215	0.46839	0.66689	0.85237	0.73482	0.065538	0.89128	0.77479	0.81224	0.35453	0.82819	0.11004	0.077375	0.04496	0.26194	0.44945	0.47955	0.6098	0.56245	0.61782	0.50311	0.43341
Meth__cg20029652__PGBD1	0.13387	0.053372	0.055841	0.062228	0.1619	0.041018	0.86096	0.57047	0.035635	0.13054	0.074735	0.14444	0.86122	0.68366	0.058263	0.044337	0.042048	0.17565	0.042676	0.047817	0.051119	0.10565	0.064587	0.043869	0.18974	0.046168	0.093004	0.12974	0.059391	0.045883	0.046731	0.055606	0.70534	0.91891	0.063773	0.065139	0.067343	0.090036	0.067628
Meth__cg07031996__MTF1	0.73507	0.039499	0.41702	0.44024	0.10082	0.047448	0.2619	0.23157	0.20246	0.18537	0.14455	0.157	0.097303	0.049571	0.20813	0.062423	0.023207	0.085354	0.10585	0.084842	0.056903	0.12121	0.062582	0.90034	0.37892	0.15474	0.048267	0.29812	0.06485	0.02577	0.0232	0.042664	0.4267	0.1262	0.056683	0.050524	0.15297	0.91393	0.067504
Meth__cg21747271__AIP	0.16525	0.075618	0.14424	0.43099	0.62178	0.43037	0.72878	0.19649	0.16871	0.73957	0.12801	0.30727	0.13585	0.50999	0.1765	0.087607	0.09655	0.11617	0.44654	0.37825	0.15991	0.71807	0.075412	0.11539	0.17946	0.18132	0.39846	0.29234	0.082703	0.0504	0.067857	0.18065	0.77389	0.55293	0.399	0.073323	0.21313	0.41832	0.63078
Meth__cg24599739__DDT	0.026185	0.55288	0.96762	0.97456	0.13907	0.031453	0.4202	0.97818	0.12049	0.96723	0.028793	0.04171	0.95969	0.53901	0.37469	0.96726	0.025299	0.26369	0.60455	0.64339	0.96772	0.029468	0.55407	0.39723	0.048058	0.035868	0.055177	0.047608	0.43616	0.86588	0.026071	0.020525	0.6929	0.018443	0.058155	0.035451	0.56346	0.58408	0.95016
Meth__cg02168291__CDH13	0.80182	0.10518	0.77297	0.77721	0.50704	0.77059	0.24662	0.93195	0.06427	0.084976	0.12063	0.83067	0.62766	0.061224	0.071013	0.30828	0.085621	0.08024	0.25261	0.26226	0.15825	0.2241	0.53333	0.90436	0.66994	0.22847	0.11167	0.16795	0.15593	0.067965	0.24111	0.16166	0.85205	0.17943	0.13801	0.75109	0.23887	0.14708	0.2317
Meth__cg04416752__ST6GALNAC4	0.064354	0.035245	0.81538	0.81899	0.38997	0.056826	0.13709	0.13483	0.43592	0.071802	0.056831	0.84724	0.47171	0.13928	0.40007	0.78969	0.065051	0.10071	0.055751	0.41286	0.29469	0.35996	0.084138	0.15021	0.11282	0.82641	0.11253	0.72744	0.15955	0.065586	0.042519	0.051094	0.25887	0.066692	0.2224	0.06223	0.076923	0.54198	0.068644
Meth__cg11368946__GCAT	0.082723	0.082114	0.37069	0.082398	0.13156	0.1313	0.11937	0.10955	0.095322	0.11644	0.23599	0.57901	0.27468	0.061367	0.10094	0.11038	0.10908	0.46038	0.22816	0.13024	0.086622	0.13608	0.076342	0.34053	0.25848	0.16158	0.097483	0.15176	0.18156	0.048945	0.059816	0.086075	0.10011	0.046471	0.080353	0.098343	0.13465	0.16435	0.14687
Meth__cg04444771__C10orf10	0.049124	0.080543	0.035194	0.033884	0.031894	0.58503	0.043196	0.422	0.3801	0.040331	0.087482	0.1177	0.06305	0.033185	0.31408	0.35654	0.056718	0.050441	0.042652	0.038024	0.039169	0.044165	0.84506	0.022256	0.48206	0.036273	0.083599	0.048407	0.031978	0.85503	0.84182	0.15447	0.021963	0.16001	0.054477	0.035515	0.035007	0.11089	0.034544
Meth__cg03495868__PTGFR	0.23126	0.049485	0.82489	0.056408	0.33505	0.045487	0.085833	0.05499	0.042466	0.05745	0.08086	0.10369	0.68079	0.15322	0.049937	0.045513	0.039923	0.067821	0.040475	0.7118	0.54085	0.20379	0.042936	0.57046	0.095482	0.55823	0.11736	0.76571	0.2815	0.038888	0.039607	0.031788	0.066423	0.5991	0.15897	0.38121	0.34064	0.70273	0.37514
Meth__cg00514407__SERPINE2	0.58217	0.033351	0.9435	0.63094	0.55902	0.95539	0.8139	0.66957	0.048716	0.068034	0.45585	0.46366	0.91599	0.058593	0.034898	0.88727	0.51229	0.10008	0.94061	0.19381	0.35856	0.7474	0.8438	0.63541	0.76788	0.058328	0.06514	0.28167	0.065276	0.14975	0.036565	0.21675	0.84293	0.93854	0.12583	0.24051	0.29509	0.43736	0.88356
Meth__cg12256228__RING1	0.049433	0.042719	0.08849	0.073188	0.05893	0.040867	0.10559	0.057219	0.048958	0.08041	0.059918	0.041898	0.077789	0.054125	0.052867	0.036178	0.038572	0.09539	0.030544	0.063133	0.047005	0.056043	0.055302	0.09856	0.099485	0.043849	0.062046	0.082669	0.072794	0.040364	0.029499	0.036902	0.40584	0.037279	0.075922	0.079156	0.040248	0.090086	0.044557
Meth__cg18108623__FLJ34922	0.52587	0.047571	0.51125	0.91194	0.44684	0.040587	0.87042	0.44943	0.048214	0.83359	0.19178	0.21032	0.60872	0.089523	0.053182	0.77523	0.041857	0.13461	0.73477	0.92731	0.89752	0.73239	0.38979	0.36355	0.87113	0.57632	0.74308	0.84745	0.10458	0.53508	0.45835	0.04187	0.88908	0.55394	0.40836	0.062218	0.2376	0.78113	0.10762
Meth__cg07864632__TRIP12	0.048921	0.40984	0.069061	0.079124	0.089538	0.046805	0.63421	0.068828	0.05293	0.75428	0.048793	0.094144	0.15128	0.42627	0.077959	0.053146	0.037898	0.088566	0.034536	0.27101	0.082685	0.26105	0.32091	0.48553	0.38403	0.14376	0.068167	0.10781	0.52663	0.043776	0.038172	0.096879	0.67073	0.14466	0.099951	0.10778	0.13061	0.1385	0.20679
Meth__cg15056412__APBA2BP	0.016592	0.12145	0.39859	0.26992	0.12182	0.02161	0.086879	0.26364	0.072315	0.23118	0.02532	0.51977	0.55477	0.17219	0.085778	0.2259	0.013313	0.11946	0.021026	0.31791	0.22512	0.11342	0.24542	0.25709	0.12112	0.19671	0.055241	0.090095	0.18077	0.015501	0.030335	0.58453	0.259	0.032724	0.059204	0.020569	0.24169	0.10135	0.1167
Meth__cg20430816__GENX-3414	0.052681	0.046878	0.17375	0.065164	0.04544	0.042723	0.053695	0.22506	0.031429	0.047122	0.038027	0.081762	0.064143	0.044404	0.053236	0.036481	0.044567	0.061421	0.033629	0.032035	0.042745	0.18379	0.042386	0.040666	0.068514	0.061372	0.084208	0.35739	0.13581	0.039769	0.039908	0.036988	0.2018	0.044301	0.050005	0.041361	0.077145	0.095225	0.051038
Meth__cg00678539__MNS1	0.12761	0.089527	0.48841	0.11688	0.35089	0.4501	0.77729	0.97338	0.26359	0.065668	0.45936	0.29405	0.60194	0.07745	0.16782	0.21975	0.1009	0.12063	0.11011	0.36392	0.34278	0.48947	0.10493	0.10944	0.56164	0.1023	0.35993	0.70979	0.1077	0.069171	0.077688	0.088718	0.16255	0.094602	0.20243	0.073974	0.11138	0.10475	0.58069
Meth__cg16168311__APOA1BP	0.06511	0.022157	0.1571	0.14415	0.085667	0.073387	0.07233	0.88964	0.076569	0.17188	0.07316	0.11225	0.22703	0.050888	0.074836	0.068097	0.093374	0.053693	0.023383	0.10088	0.13527	0.18989	0.16032	0.17885	0.064622	0.1014	0.061848	0.078878	0.066501	0.047527	0.027192	0.029414	0.067247	0.03515	0.061897	0.11223	0.041714	0.13867	0.030127
Meth__cg01472101__CLEC10A	0.17285	0.047233	0.57674	0.65068	0.69098	0.061307	0.2611	0.71226	0.053209	0.3716	0.30584	0.41434	0.50824	0.065149	0.048895	0.20037	0.54568	0.097314	0.041674	0.53987	0.48621	0.5924	0.53133	0.89349	0.083321	0.15966	0.08407	0.16817	0.12245	0.050754	0.053935	0.11733	0.33378	0.3652	0.15275	0.87096	0.27344	0.40986	0.21949
Meth__cg12340144__XYLB	0.65325	0.056081	0.10624	0.14945	0.13566	0.050363	0.19597	0.05518	0.85666	0.24617	0.055583	0.24884	0.27694	0.58664	0.62021	0.15282	0.042519	0.08544	0.21543	0.34581	0.12046	0.24369	0.22601	0.55372	0.14331	0.75384	0.0938	0.071719	0.086655	0.044638	0.087059	0.1949	0.45196	0.046772	0.1161	0.08024	0.067069	0.36868	0.057361
Meth__cg26246138__SCML2	0.54403	0.034553	0.053076	0.030344	0.33526	0.021586	0.039254	0.029239	0.042764	0.40156	0.036198	0.6454	0.60728	0.29993	0.027673	0.030971	0.023246	0.33118	0.099443	0.055238	0.037606	0.57725	0.16913	0.56051	0.058864	0.43522	0.27781	0.46871	0.38793	0.60125	0.020488	0.5848	0.59378	0.015386	0.076231	0.34879	0.39263	0.54775	0.022643
Meth__cg21126943__CEACAM6	0.064418	0.032708	0.14028	0.49829	0.7484	0.032489	0.68056	0.50977	0.024884	0.62855	0.11202	0.46522	0.17286	0.78932	0.03578	0.23201	0.039335	0.17381	0.018747	0.76986	0.85478	0.91795	0.062877	0.63094	0.073208	0.61102	0.079279	0.47588	0.1434	0.029848	0.031597	0.028754	0.59667	0.79923	0.31641	0.24826	0.46632	0.18687	0.61386
Meth__cg15547534__MGC22793	0.057866	0.039319	0.31873	0.040413	0.20542	0.10063	0.069442	0.067645	0.092118	0.081764	0.21177	0.10609	0.079416	0.26668	0.12	0.04929	0.10574	0.092042	0.25308	0.061672	0.081693	0.51516	0.076806	0.066831	0.12808	0.096682	0.10349	0.12754	0.11414	0.036279	0.051497	0.027268	0.20306	0.048105	0.089606	0.043247	0.052554	0.16821	0.050973
Meth__cg06220958__MYH2	0.23574	0.037092	0.71692	0.13544	0.27725	0.035966	0.097533	0.096126	0.056668	0.13782	0.23326	0.14682	0.15288	0.053264	0.069649	0.07415	0.077239	0.10347	0.068061	0.097058	0.077442	0.21619	0.11018	0.11753	0.083922	0.079345	0.16946	0.32157	0.12996	0.061541	0.051586	0.15072	0.056531	0.11432	0.35734	0.12778	0.13862	0.17737	0.15214
Meth__cg11897314__LOC51334	0.05228	0.036912	0.31728	0.061787	0.033483	0.03503	0.63052	0.063138	0.048107	0.070132	0.051	0.078501	0.099502	0.08733	0.051224	0.05825	0.032106	0.057775	0.047603	0.052691	0.041937	0.49512	0.066446	0.035845	0.079349	0.047627	0.071235	0.10817	0.074438	0.02551	0.046114	0.038534	0.046925	0.091723	0.081071	0.076844	0.059738	0.077947	0.036787
Meth__cg16664233__ETHE1	0.052234	0.025777	0.043646	0.041151	0.027728	0.028175	0.037047	0.4057	0.032648	0.05079	0.047608	0.12775	0.052491	0.02887	0.029779	0.041504	0.028395	0.048246	0.029671	0.043752	0.046432	0.041257	0.070597	0.019882	0.03587	0.038951	0.062567	0.07094	0.059513	0.025699	0.036803	0.034721	0.031005	0.023537	0.096631	0.034334	0.037789	0.059094	0.029617
Meth__cg14939652__NPAS3	0.069499	0.060462	0.52276	0.039395	0.43446	0.16855	0.12046	0.074851	0.039393	0.16083	0.05386	0.068874	0.16019	0.12142	0.049535	0.098383	0.028093	0.11567	0.030882	0.26869	0.085854	0.67127	0.054955	0.073921	0.088299	0.031655	0.059643	0.10412	0.18489	0.035065	0.035197	0.046275	0.060071	0.16117	0.080392	0.33829	0.13561	0.10549	0.12044
Meth__cg06245154__ERCC2	0.042574	0.038419	0.6321	0.15804	0.065941	0.031389	0.096654	0.096829	0.034451	0.17459	0.039395	0.13323	0.047642	0.053749	0.044496	0.038694	0.04537	0.09918	0.035283	0.047171	0.049577	0.18528	0.071905	0.057487	0.20812	0.13315	0.050641	0.064516	0.053655	0.043467	0.036117	0.035502	0.060941	0.071476	0.060899	0.04986	0.034141	0.1357	0.048961
Meth__cg17329249__MAT2B	0.43882	0.063767	0.083899	0.18057	0.33502	0.062172	0.26965	0.14082	0.10166	0.089048	0.059352	0.060973	0.12022	0.077224	0.12257	0.1223	0.073809	0.19623	0.083295	0.080666	0.077695	0.89157	0.057183	0.072217	0.11885	0.092842	0.11558	0.13575	0.12915	0.056557	0.080475	0.084414	0.83202	0.06758	0.08991	0.064329	0.15721	0.12007	0.59465
Meth__cg02293044__GAS2L1	0.049892	0.034499	0.76205	0.063633	0.074442	0.055323	0.49429	0.042724	0.050426	0.086557	0.046696	0.91737	0.056791	0.82855	0.07527	0.13675	0.060378	0.28089	0.031995	0.26409	0.3257	0.15572	0.12446	0.062683	0.04469	0.59418	0.14174	0.11058	0.074515	0.030167	0.036728	0.04585	0.040131	0.037624	0.052821	0.10993	0.040003	0.11888	0.03087
Meth__cg24616736__HDAC6	0.10917	0.027639	0.059698	0.039839	0.033174	0.035033	0.06875	0.067769	0.045137	0.58327	0.029977	0.32571	0.16259	0.044771	0.043123	0.16957	0.05678	0.16548	0.04711	0.049052	0.055735	0.43125	0.050567	0.091111	0.1392	0.28819	0.10182	0.3209	0.059976	0.29828	0.036475	0.044855	0.087264	0.067355	0.07795	0.066912	0.058677	0.45077	0.050277
Meth__cg24107665__ZNF696	0.04739	0.77263	0.56866	0.13183	0.41724	0.69155	0.89164	0.16336	0.070785	0.83393	0.052957	0.85509	0.5019	0.86975	0.08574	0.38359	0.056656	0.29793	0.90195	0.34316	0.090178	0.62243	0.89683	0.13021	0.29212	0.58787	0.33412	0.25069	0.23249	0.048439	0.03174	0.87177	0.7051	0.041301	0.27356	0.75063	0.37421	0.24108	0.52743
Meth__cg01784199__DNAJB4	0.13447	0.054732	0.088845	0.13841	0.11821	0.053328	0.19156	0.099751	0.060777	0.10862	0.098023	0.1241	0.13365	0.037696	0.074202	0.088118	0.059087	0.10141	0.068624	0.096737	0.11214	0.11855	0.088407	0.11153	0.067995	0.13864	0.13306	0.12056	0.091346	0.046075	0.040579	0.074501	0.73506	0.070508	0.15591	0.098901	0.15849	0.17006	0.097133
Meth__cg21681756__NDUFS3	0.016083	0.021694	0.072687	0.034081	0.023798	0.023013	0.025551	0.038838	0.022771	0.018764	0.020997	0.13012	0.046731	0.025682	0.021069	0.042711	0.014149	0.03987	0.01954	0.035886	0.022108	0.027688	0.031852	0.02153	0.23893	0.027769	0.024249	0.026615	0.03527	0.022426	0.017286	0.017601	0.013951	0.012959	0.021655	0.020534	0.02401	0.034977	0.023996
Meth__cg09479015__KIRREL2	0.54909	0.071672	0.96037	0.9636	0.81224	0.031431	0.95752	0.93964	0.039045	0.95909	0.0617	0.47166	0.9347	0.22125	0.11349	0.25654	0.064565	0.18923	0.19374	0.95825	0.95868	0.050253	0.64257	0.28474	0.87813	0.91586	0.12804	0.92419	0.15898	0.053487	0.042169	0.038565	0.22381	0.73594	0.88674	0.45598	0.59731	0.90473	0.92828
Meth__cg07581973__PRDX4	0.66272	0.024045	0.027825	0.023573	0.26951	0.01681	0.021143	0.023671	0.017122	0.59308	0.018092	0.80086	0.70516	0.74627	0.021798	0.016369	0.021456	0.52644	0.73399	0.01057	0.025727	0.70536	0.025295	0.67875	0.04235	0.63595	0.65706	0.51515	0.087014	0.66955	0.016415	0.7225	0.71746	0.0084535	0.060676	0.65309	0.54434	0.68222	0.022853
Meth__cg19278165__DSCR1	0.038947	0.033684	0.63265	0.33829	0.05358	0.024423	0.072283	0.034638	0.031549	0.044172	0.025247	0.053374	0.085199	0.03892	0.037187	0.044546	0.027955	0.053724	0.028362	0.4612	0.34058	0.0515	0.029243	0.041856	0.47306	0.0718	0.073494	0.78789	0.049446	0.027261	0.022155	0.028831	0.19937	0.029878	0.12523	0.030788	0.044752	0.094595	0.0554
Meth__cg04993257__PLAC2	0.050234	0.056214	0.074614	0.071465	0.048435	0.90588	0.090424	0.35652	0.49833	0.064161	0.38732	0.067105	0.11862	0.067768	0.41367	0.22762	0.41563	0.075083	0.83776	0.061686	0.046958	0.10669	0.050662	0.049068	0.88682	0.060935	0.073114	0.091118	0.060272	0.45007	0.3686	0.12381	0.042119	0.65453	0.093518	0.058035	0.05034	0.09948	0.053526
Meth__cg22580512__NCOR2	0.07025	0.073639	0.087279	0.060191	0.0439	0.078043	0.17093	0.066905	0.070385	0.61128	0.075187	0.085945	0.16229	0.065938	0.084088	0.083311	0.057488	0.079096	0.068508	0.54398	0.46087	0.59004	0.27206	0.71128	0.14078	0.046239	0.11857	0.11468	0.15237	0.065555	0.056359	0.070692	0.67294	0.15921	0.12927	0.16332	0.065551	0.1309	0.075888
Meth__cg05249393__LDLR	0.10354	0.1007	0.10162	0.066476	0.10656	0.062105	0.089097	0.069321	0.077802	0.30614	0.082495	0.082943	0.1066	0.062528	0.055914	0.072772	0.067479	0.18537	0.60566	0.068943	0.078363	0.42594	0.061934	0.053156	0.12105	0.081962	0.15555	0.10223	0.15194	0.047716	0.046391	0.095588	0.16691	0.065956	0.14876	0.10633	0.10114	0.32047	0.093299
