Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751
RS_G2464__PLTP__PLTP	0.11482	10.0545	0.75517	1.2357	10.9319	1.1199	0.90633	4.5863	1.0814	0	0.24629	9.5327	6.1663	0.4738	0	7.9012	8.082	6.5859	1.6206	0.80808	4.8815	3.1098	0.52736	0	3.5639	7.9049	3.0229	6.1828	3.6044	10.4891	2.8626	3.5352	0.76102	0
RS_G13459__KRT9__KRT9	0.41554	1.4828	0.54886	0.32451	0	0.1191	4.4878	3.1374	4.9813	0.76367	0	3.221	6.3236	1.2658	4.1905	0	2.8564	3.3175	0.58379	0.90253	4.5933	0	0.70049	0	5.2496	2.5455	0	3.6507	3.1486	1.0384	1.7982	0	0.42014	0.97419
RS_G11089__FAM102B__FAM102B	4.7681	4.3549	4.9539	5.1912	4.7079	6.5703	4.2957	4.4037	6.2818	5.6482	4.1809	3.3366	4.1433	5.0864	6.1751	6.3835	5.8081	3.9008	9.6937	6.6725	3.8133	7.2909	4.2476	3.6212	4.1172	5.8356	4.6297	3.0788	2.268	1.297	4.307	4.2755	2.9334	4.4104
RS_G11943__C10orf10__C10orf10	6.4294	2.4145	3.8936	2.0915	3.4013	0.56101	6.3853	5.9015	2.378	1.5633	7.4403	1.1295	5.9323	4.8405	5.9809	4.172	7.2064	3.6636	2.0915	3.3694	6.6362	2.4972	2.1318	2.6079	8.6536	0	6.2562	1.5369	5.9749	4.0583	1.1558	2.2516	3.1047	1.3846
RS_G5810__CD70__CD70	2.1298	0	0	0	9.7205	0	0	1.7744	0	0	2.6289	1.0273	7.8922	0	6.1861	6.9112	1.3388	6.277	0	0	0	0	0	0	5.1436	0	9.1854	7.1955	0	5.7209	1.9353	4.0443	2.049	2.2205
RS_G2995__SLC39A14__SLC39A14	6.5459	5.6769	5.6594	5.6152	8.7657	6.1716	7.0063	7.7195	6.3535	6.2607	9.1892	7.0224	6.7042	5.8478	7.8421	8.046	5.0282	8.6902	5.871	5.7726	6.4523	7.8138	5.2543	5.461	9.0738	6.3889	11.4705	6.4913	4.5856	7.4146	6.5071	6.5466	6.7714	6.9246
RS_G9825__PRDM8__PRDM8	0	0.22311	0.14198	0	1.2978	0	1.8698	2.636	0.53811	0	0.059588	3.1775	0.72884	1.1762	0	3.6636	2.422	4.8363	0	0.61495	0.10572	6.586	0.45871	0	0.54515	0	8.9585	1.6272	0	2.1404	0	0	0.39293	0
RS_G12178__SERPINB7__SERPINB7	0.9442	0	0	0	5.6432	0	4.7067	3.7483	0	0	5.5995	5.3599	5.0834	3.2114	4.5919	3.2161	2.0948	3.124	0	0.75502	3.0792	2.3119	0	0	9.9222	2.1682	0	4.6954	0.18709	3.6766	0.6301	0	0	0
RS_G27825__RP5-857K21.11__RP5-857K21.11	10.9434	6.6704	13.2896	12.1731	10.1851	12.3866	12.2165	12.1985	12.3339	11.8487	10.0205	11.1852	10.4344	10.7845	10.3199	11.7062	10.6909	11.5127	11.6662	11.723	9.4247	10.3684	10.1889	9.1151	9.3724	9.7862	8.7916	12.4549	15.3032	9.1959	9.7	10.1982	9.1015	9.4473
RS_G1983__CCDC80__CCDC80	3.047	4.5842	0.24634	0.95276	10.2098	0.12049	5.2177	5.0089	0	1.3406	1.1731	5.231	6.9418	3.9554	7.2517	8.6794	7.4749	9.7159	1.9402	0.12167	4.6807	6.4667	0.23618	0.2076	3.8	1.7652	4.6926	6.5604	0.13246	6.081	5.2147	2.8761	0.70055	0.45007
RS_G2301__RASD2__RASD2	4.5481	6.2115	2.1119	2.4793	1.3613	2.4544	5.2822	5.7371	1.482	1.2282	6.6562	1.6672	4.6446	4.05	4.0684	0.46126	5.3658	2.0311	1.2697	3.6782	5.0976	1.6692	1.3274	1.8435	8.0263	5.8517	6.667	1.033	3.8066	6.1902	4.075	1.5484	3.506	6.948
RS_G11215__EN1__EN1	0	1.6203	1.7416	2.0997	3.3363	0	6.9753	4.5556	2.3857	0	6.6847	4.0274	2.9926	1.3909	6.7749	1.863	2.198	4.1982	0	0	4.627	0	0.12776	0.30582	7.8873	0	5.4291	7.244	3.8745	1.2845	0	0	0.33268	0
RS_G4919__CTGF__CTGF	9.505	4.4992	0.78195	1.8219	12.8527	0	8.7089	7.2404	1.2136	1.2462	8.3956	5.4822	6.3887	7.5308	10.7526	9.5522	5.6891	12.5646	1.758	0.22651	5.5647	10.5691	3.2516	1.4824	11.3633	4.5607	6.2663	7.3857	6.1576	5.3545	6.591	2.1019	4.4628	1.8454
RS_G4506__FN1__FN1	4.4659	5.6734	2.1232	6.6339	12.0664	2.308	6.2799	13.1575	2.6835	8.1794	5.3713	6.1008	6.4374	6.0504	10.4557	11.6619	6.9695	14.314	5.8399	8.6337	7.242	8.9032	4.4927	4.0323	12.6716	5.2383	3.1511	10.3215	1.9746	11.44	5.2825	5.777	7.7872	3.9021
RS_G14301__CHST2__CHST2	1.0835	0.13336	0.23835	2.7032	4.1777	0	3.102	3.8426	0.1568	0	2.6096	1.3665	1.1804	0.13922	1.2898	4.074	0	6.1227	0	0.15375	1.5489	4.6798	0	0.26037	6.8572	0	5.0333	4.8977	1.8192	2.0316	2.7945	0	4.0125	0.62457
RS_G29190__AC023300.19__AC023300.19	0	1.2367	0	1.186	0	0	0.51339	0	0	0	0	0	2.5168	3.9066	1.3632	1.6846	5.3328	0	0	0	1.6133	0	0	0	0	0	0	4.4664	0	6.5868	0.35615	0	0.99619	1.3003
RS_G12262__NNMT__NNMT	8.5516	2.0132	0.48442	0	9.4448	0	1.147	7.6778	0	0	1.6205	1.4637	5.9883	7.7288	5.9076	6.1323	8.4278	6.7404	0	0.46256	3.0779	0.7415	0.55533	0.52928	6.6938	0	9.0646	10.6571	6.6568	6.8006	9.2782	0	1.7073	0.22668
RS_G8354__PMAIP1__PMAIP1	4.0124	3.1341	5.0862	4.7247	5.4108	3.4802	5.7681	5.6443	0.25956	3.9484	9.8502	4.4074	4.8414	5.4832	2.9297	7.3392	6.0246	5.9079	2.1942	6.0173	3.7396	6.9079	4.193	0.73814	7.4225	1.8729	4.2525	4.0255	3.8656	5.387	2.6193	2.8566	3.0695	4.9198
RS_G9666__DPYSL4__DPYSL4	2.1402	2.0732	0.10834	2.7477	6.5065	0.36733	0.66651	6.9015	0.20354	0.57452	5.8937	5.5149	3.6203	0	0.89312	7.2924	0	8.4033	5.4214	7.126	3.1706	0.18027	2.5149	2.3566	4.7578	1.5021	3.1696	0.35504	3.2394	0	5.5632	1.3874	7.3126	1.3908
RS_G7629__CLPS__CLPS	0.64757	0.39797	0.47804	4.1686	0	0	2.6577	2.6416	0	7.2248	5.6025	0	0.63906	0	0	0	1.542	0.84833	0	3.3994	0	0	1.6654	0	5.4581	0	0	0	0	0	4.9291	0.86004	3.2082	3.7855
RS_G21756__C6orf127__C6orf127	1.5522	1.1548	0	6.1193	0	0.77551	4.3736	6.2033	0	7.6116	8.1751	0	0	2.5337	0	0	5.3027	0.83621	0.76147	4.2127	1.4252	0	5.6087	0	7.7884	0	0	2.387	0	1.677	7.4612	5.5974	3.7886	6.2311
RS_G9764__SPOCK1__SPOCK1	0.73188	1.8385	1.5447	1.885	8.7612	0.26671	2.8401	8.7292	0.11606	1.9726	0.51264	3.357	5.8754	3.6344	2.2589	3.2299	1.9918	9.0647	0.30801	5.5589	1.2868	1.0533	0.76718	0	5.2564	1.6003	3.5414	1.622	0.23799	3.8591	0.52115	0	4.5238	0.29584
RS_G11572__GUCY1A3__GUCY1A3	2.1771	3.1726	6.4643	3.3749	2.7359	0	6.4477	4.1023	6.8828	0	3.6806	4.4499	2.4961	6.7048	0.41764	2.2033	8.1568	0.45496	2.1317	0.22101	4.4527	0	5.9314	6.7064	4.7362	0	1.7081	3.0364	3.5309	1.891	0	0	1.1889	3.6042
RS_G5561__PI3__PI3	3.0706	3.6429	3.0152	0	2.5138	0.73253	5.0806	3.2166	0.42835	0.53604	11.0888	3.8493	12.335	8.9357	5.0919	5.1559	10.2125	0.7907	0	0	10.7066	0	0.39099	0	7.2484	7.5841	0.66256	11.976	8.1079	9.9971	2.5749	0	1.8475	0
RS_G3666__COL1A1__COL1A1	7.0178	5.8669	5.2157	4.9805	12.7199	4.4818	5.4327	8.3594	5.664	5.5108	5.3331	4.4917	5.1978	3.203	7.323	12.3383	4.2739	13.8339	4.6523	5.9925	5.6444	3.9943	8.6679	8.3648	5.4682	4.2095	10.3027	7.4964	3.5388	6.309	6.4214	6.9884	4.6794	7.4222
RS_G3762__SLC2A9__SLC2A9	1.4954	0.57568	0.93317	0	0	0.89166	2.8768	0.14422	0.84178	0	2.7674	2.9945	4.708	2.8274	3.9188	0.23875	4.7518	0	0	0	3.5199	0	2.0806	2.3324	2.0517	0.56566	0	0.79858	5.2984	5.7181	2.0498	0	3.8285	2.6854
RS_G463__VIM__VIM	2.9652	2.2052	5.3309	4.7875	13.722	3.764	13.663	13.843	4.156	0	10.3261	6.4127	8.4787	10.5793	11.7234	13.9024	10.1043	15.089	3.1521	9.4838	11.1994	13.7198	1.8929	3.5908	12.9747	2.3972	16.3769	9.8039	3.625	11.237	3.9594	5.7587	8.8159	3.9298
RS_G13477__EGFL9__EGFL9	0.35305	1.0213	0.17399	0.30014	7.0141	1.1287	6.5699	1.9639	1.6324	3.5774	4.4184	6.5339	5.819	1.846	4.6749	3.1119	2.0049	4.3364	1.4514	1.356	2.8469	4.4761	2.3108	2.1277	3.36	0	7.3809	3.9582	1.752	9.0993	6.445	4.0929	3.8002	1.9344
RS_G3172__GRIN2D__GRIN2D	1.2815	7.681	0.11453	0.68008	6.2801	0.3443	5.0838	1.1036	1.736	0.83669	0.90964	7.0748	2.9299	1.246	4.2991	1.361	3.6096	2.9072	3.0676	2.3793	3.8963	1.1365	0.84688	0.18568	6.2513	7.0486	4.253	3.6892	1.2689	8.309	7.4344	1.1701	0.90614	2.5652
RS_G12622__ENTPD3__ENTPD3	4.2057	1.6276	2.4329	2.2836	0.094504	1.3137	2.4286	0.70161	2.6439	0.25413	0.3192	4.9483	0.97482	2.9286	0.36104	0	5.8247	0	1.5158	0.18811	0.28822	1.9706	0.86462	0.46191	0.47913	1.6258	0.17393	0.98866	4.5946	0.52321	0.10292	2.4856	4.1525	0
RS_G18145__ACADSB__ACADSB	5.7144	2.0174	6.2904	6.2849	3.5409	4.8607	3.4732	4.5269	6.9104	4.8351	4.3707	5.0549	4.8191	4.277	4.398	4.0563	3.7095	2.9234	5.8543	6.4362	1.8393	5.1703	4.2944	4.8621	3.5718	3.4325	1.8983	3.7738	2.7996	0.85369	10.8001	5.2469	5.1251	5.6484
RS_G7852__SLC40A1__SLC40A1	8.1261	6.0053	7.765	8.1177	0	7.1984	1.8182	1.1013	7.0717	9.5596	4.9572	4.0017	0.11962	2.6831	2.3757	3.5437	5.1833	0	0.15331	0.15829	5.071	2.5055	7.5995	9.0335	0	6.8656	0.27233	0.42348	6.3631	0.91534	4.6019	10.0753	3.8126	7.1722
RS_G4882__NRP2__NRP2	0.9771	0.20883	0.35126	0.070484	5.1284	0	4.7753	5.4477	2.767	0	6.9605	5.4682	6.1647	1.8408	5.4395	6.3585	3.0381	4.719	0.60902	2.8202	1.0506	4.1193	0.27601	0.53772	8.4982	1.3656	9.3677	1.3344	1.1954	6.321	2.2134	0.87418	0.047311	0
RS_G11366__IFI16__IFI16	1.3751	1.0912	0.088938	0.077879	0.1516	0	0.25526	8.0208	0	0	6.9257	7.8901	6.2163	8.4592	1.9825	7.2647	10.0474	5.8672	0	0	0.49689	6.093	0	0	2.2315	0	0	5.6095	5.4474	6.2941	1.6259	3.4074	0.10754	0.73329
RS_G1039__SYT1__SYT1	1.123	2.1228	4.824	8.2377	4.8047	0.86198	1.222	0.68231	5.6408	5.3681	0	3.4414	1.3791	4.1984	1.2674	3.4954	4.8334	2.6812	5.8949	8.1976	0.47919	3.3375	2.2683	0.18611	0.34465	4.36	5.568	0.54555	2.9818	2.9818	4.8527	4.0193	0.88003	2.2162
RS_G10667__TPPP3__TPPP3	2.2526	0	2.186	6.7959	0.41479	1.8475	2.3133	1.109	7.6865	0	4.4312	2.1008	0.83472	0	0.90646	1.6514	5.3208	2.3318	0.42247	5.9442	5.773	0	1.9225	0	3.125	0	3.6597	4.4601	0	3.6464	0.64202	2.8537	5.2787	7.4528
RS_G4220__LOX__LOX	0	0.68991	0.90169	0.66555	10.7791	0.13865	4.9709	5.7714	0.79742	0.96733	5.2774	4.4823	2.895	0.54503	5.5501	7.6689	5.766	10.1643	0.75454	0.48913	3.2735	6.0679	0.45546	0.44199	4.3449	0	11.6434	8.3827	2.7516	9.2551	0.4056	2.3981	0.6104	1.3457
RS_G19245__PAPSS2__PAPSS2	4.7504	6.5983	4.0619	7.0498	8.042	1.3024	4.17	5.4592	6.5039	0.8696	4.569	4.1836	0.38472	7.7571	0	6.2425	8.4018	5.8728	6.6965	3.3596	6.2762	8.5553	4.5095	0.23329	6.3454	5.2053	3.3438	5.187	6.174	4.5244	6.5563	6.9514	8.76	8.8967
RS_G12470__CORO6__CORO6	1.3736	5.0261	0.59829	1.6239	4.7642	1.2424	0.53723	2.196	0.58695	1.6114	3.6444	2.0788	3.9669	3.775	4.9726	3.2655	1.2535	2.6312	0.41837	2.0176	3.8302	3.9416	2.9862	3.0768	3.4635	4.5564	1.1636	4.1819	1.6303	5.1099	4.2711	2.3894	5.3274	2.0977
RS_G15600__TMEM46__TMEM46	2.893	0	7.3461	8.6498	7.9881	6.3119	5.7037	0.74527	1.9434	4.0751	0.30927	1.052	5.2526	4.1	3.8335	2.9939	0	0.20205	4.4623	8.0956	2.7918	0.70078	5.6394	3.8354	0	0	0.68267	2.7968	3.177	2.0895	1.2532	6.1793	5.6331	4.0311
RS_G11471__NMNAT3__NMNAT3	3.2876	0.98265	3.7081	3.9964	0.2993	6.1909	0.33705	1.2249	1.0633	4.365	0	2.136	3.923	1.0631	0	2.6955	0.097999	0	2.2258	7.3217	4.0756	1.1246	1.6219	3.0718	2.3893	0	1.3699	1.3746	4.781	2.5735	5.1841	5.1134	3.8199	0
RS_G4225__SPARC__SPARC	0.1343	0.14978	0.094438	0.083816	14.1217	2.1509	6.2713	9.2733	0.091823	0.11392	4.201	0.91565	6.6944	2.2353	11.9638	11.47	4.5495	13.0059	0.63481	5.5294	3.5813	6.8619	0.63899	1.2224	2.1099	0	6.5885	3.3867	0	2.9029	0	0	0.40268	0.4355
RS_G807__CAMK2B__CAMK2B	2.055	1.083	4.9995	6.7296	0.2691	2.5981	1.3003	0.35965	1.7145	6.897	0.053428	0.80048	2.9125	1.3969	1.2759	0.92393	0.20156	0.69563	4.0117	6.9571	3.3654	0.35082	3.2641	0.38027	0.44242	1.0315	0.54473	1.0781	3.6915	0.79091	0.12731	2.5763	6.9971	4.9143
RS_G9868__CLGN__CLGN	5.351	2.4399	1.2214	3.5153	0	4.207	0.95697	1.7001	4.7741	2.5942	6.9704	1.2397	0.41511	1.7557	4.1594	1.7729	2.528	0.40433	2.4317	2.5282	0.83646	5.2919	2.3854	3.6129	2.9021	4.9395	1.856	1.5868	7.074	0.29254	5.7486	2.1471	0.64985	5.6069
