Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM44PE	SUM52PE	T47D	UACC812
Meth__cg07075930__PTPRM	0.02331	0.02375	0.024274	0.1969	0.067501	0.91115	0.03551	0.02395	0.1216	0.098853	0.21881	0.020626	0.5131	0.42113	0.1166	0.09877	0.01539	0.019429	0.033847	0.013772	0.61047	0.032897	0.028993	0.025566	0.054526	0.018479	0.34473	0.34453	0.035935	0.019266	0.01304	0.37071	0.018469	0.0237	0.94455	0.9339	0.026244	0.022911
Meth__cg25957124__DNAH3	0.03284	0.015667	0.025723	0.026286	0.021258	0.80174	0.025798	0.96395	0.027903	0.021162	0.020719	0.022183	0.022542	0.036247	0.037611	0.019752	0.19153	0.30428	0.039688	0.97339	0.031101	0.97454	0.94477	0.02393	0.036635	0.98339	0.034003	0.028604	0.038737	0.82312	0.033216	0.97473	0.015385	0.022033	0.028705	0.022526	0.046948	0.030246
Meth__cg23815845__ARHGEF5	0.01908	0.018252	0.032457	0.032017	0.016705	0.63352	0.022059	0.18859	0.035141	0.021825	0.02257	0.020534	0.029756	0.043231	0.021796	0.029728	0.19029	0.038138	0.065235	0.02457	0.032922	0.093376	0.59579	0.028056	0.040764	0.65569	0.039187	0.032212	0.025036	0.094531	0.04581	0.25862	0.03163	0.033061	0.033933	0.045095	0.049661	0.027504
Meth__cg12400881__PPL	0.037612	0.042573	0.048674	0.041596	0.026891	0.90836	0.043749	0.86979	0.056685	0.026984	0.035215	0.43935	0.043209	0.046124	0.022427	0.03587	0.03371	0.054953	0.056037	0.15321	0.042615	0.62091	0.8052	0.03743	0.067464	0.17434	0.077351	0.48511	0.04651	0.35634	0.026324	0.41415	0.028904	0.024277	0.026053	0.025551	0.098641	0.033588
Meth__cg05191071__MRPS21	0.16976	0.056926	0.085966	0.3638	0.57311	0.044092	0.12725	0.0795	0.068241	0.36562	0.5801	0.68679	0.057	0.70516	0.63543	0.35779	0.048663	0.096396	0.082204	0.049142	0.1286	0.053453	0.67296	0.55718	0.298	0.063191	0.51048	0.14659	0.11614	0.044819	0.28309	0.45469	0.35666	0.4977	0.12428	0.0909	0.58226	0.15678
Meth__cg04444771__C10orf10	0.049124	0.080543	0.035194	0.033884	0.031894	0.58503	0.043196	0.21109	0.422	0.3801	0.040331	0.087482	0.1177	0.06305	0.033185	0.31408	0.35654	0.056718	0.050441	0.042652	0.039169	0.84506	0.48206	0.036273	0.083599	0.90655	0.048407	0.031762	0.031978	0.85503	0.84182	0.15447	0.021963	0.10432	0.035851	0.16001	0.054477	0.035515
Meth__cg08820801__FBXO17	0.93584	0.80773	0.06298	0.97276	0.033358	0.016496	0.79433	0.42238	0.01796	0.13021	0.56912	0.031096	0.064203	0.95169	0.21527	0.22527	0.019565	0.014604	0.43192	0.014157	0.82559	0.023953	0.031208	0.72689	0.078879	0.022279	0.89326	0.42246	0.85478	0.02684	0.019343	0.022066	0.95985	0.84976	0.97113	0.016953	0.048014	0.73798
Meth__cg00466249__MGC15523	0.092023	0.065303	0.2403	0.071753	0.15167	0.76543	0.1075	0.88259	0.35207	0.37706	0.20109	0.10238	0.63695	0.43023	0.050742	0.32491	0.36145	0.24243	0.083399	0.89086	0.068353	0.77008	0.25636	0.06278	0.14313	0.89818	0.10094	0.16991	0.12175	0.32064	0.047963	0.23162	0.53284	0.095648	0.62431	0.53721	0.19014	0.32812
Meth__cg01738359__RB1	0.051467	0.048716	0.050846	0.069057	0.041831	0.053045	0.056799	0.040892	0.047263	0.54809	0.050775	0.051824	0.0253	0.11255	0.051468	0.47905	0.051501	0.04948	0.07689	0.042714	0.055284	0.050432	0.086682	0.049596	0.079705	0.046409	0.096209	0.045692	0.051862	0.055404	0.045578	0.044655	0.044914	0.046616	0.04073	0.04688	0.042734	0.052536
Meth__cg27648946__RHOBTB1	0.094307	0.074576	0.089362	0.13993	0.078052	0.79831	0.20646	0.63415	0.84827	0.19471	0.058956	0.70694	0.52147	0.24935	0.042739	0.17597	0.3361	0.31514	0.18854	0.67314	0.080154	0.1215	0.3759	0.14613	0.18424	0.6042	0.75419	0.43161	0.072351	0.085406	0.35233	0.073378	0.17787	0.084916	0.33942	0.30742	0.06972	0.071443
Meth__cg01254505__BST2	0.0529	0.05737	0.032168	0.86271	0.059505	0.82313	0.037133	0.19134	0.355	0.025393	0.040973	0.047926	0.040457	0.10246	0.037736	0.064596	0.24002	0.78776	0.043948	0.16586	0.18821	0.14348	0.49107	0.38278	0.13129	0.87003	0.064168	0.1671	0.15357	0.81867	0.022638	0.037982	0.048171	0.034494	0.050218	0.061135	0.069307	0.41292
Meth__cg22284975__C7orf11	0.10886	0.13189	0.56733	0.24543	0.14797	0.052907	0.43054	0.096147	0.082591	0.078118	0.08435	0.07701	0.042958	0.51493	0.31083	0.08169	0.11364	0.055527	0.10126	0.058477	0.19567	0.087311	0.69391	0.26733	0.082466	0.058097	0.62751	0.16125	0.18829	0.065607	0.06079	0.12378	0.15039	0.14701	0.46337	0.47676	0.096369	0.47936
Meth__cg04999036__GANC	0.035851	0.062243	0.032261	0.048033	0.040701	0.024334	0.085129	0.047289	0.044186	0.068507	0.05897	0.045669	0.042206	0.074165	0.02749	0.073812	0.032585	0.028078	0.044367	0.026095	0.054536	0.044151	0.056859	0.042731	0.052553	0.02839	0.060788	0.04553	0.059456	0.027264	0.026264	0.056861	0.042016	0.029991	0.042947	0.024062	0.10379	0.047894
Meth__cg26991199__FUSIP1	0.088694	0.058982	0.09068	0.09071	0.11954	0.048743	0.096195	0.17883	0.039993	0.37303	0.37965	0.07783	0.10917	0.084309	0.060901	0.30214	0.10214	0.059729	0.069238	0.038521	0.091588	0.072557	0.059371	0.09763	0.1131	0.055866	0.090031	0.086997	0.10313	0.044136	0.046436	0.059273	0.057066	0.20675	0.11146	0.043239	0.070687	0.073557
Meth__cg08715837__TUBA8	0.048861	0.089512	0.21162	0.082713	0.031109	0.59902	0.061183	0.96023	0.10271	0.046418	0.040038	0.089245	0.092833	0.83269	0.033928	0.042198	0.95048	0.040639	0.073643	0.042937	0.048996	0.96169	0.92066	0.058218	0.13405	0.35092	0.61682	0.073658	0.092429	0.51687	0.098516	0.067678	0.8609	0.040812	0.11054	0.97015	0.048402	0.048092
Meth__cg25162921__MTAP	0.29488	0.60712	0.15377	0.58068	0.11256	0.92543	0.83463	0.19972	0.12177	0.27077	0.12107	0.089474	0.29429	0.13342	0.053906	0.2662	0.11989	0.10348	0.10605	0.12246	0.11713	0.21272	0.66735	0.36454	0.23847	0.86973	0.27156	0.28014	0.20033	0.60137	0.58277	0.69033	0.11617	0.10742	0.2093	0.098776	0.32122	0.16994
Meth__cg12412075__LIN7B	0.019378	0.031262	0.038968	0.1419	0.019518	0.028455	0.022231	0.90408	0.38747	0.016206	0.056106	0.021103	0.64663	0.54823	0.011108	0.018942	0.19133	0.18421	0.017532	0.023797	0.028873	0.96065	0.915	0.04263	0.037757	0.051532	0.040571	0.19066	0.052665	0.016518	0.029959	0.043306	0.045624	0.01903	0.032724	0.016792	0.035726	0.022361
Meth__cg15146752__EPHA2	0.032391	0.074348	0.051232	0.1159	0.94551	0.048921	0.31998	0.04195	0.054266	0.30754	0.8883	0.051848	0.072361	0.04535	0.081348	0.26859	0.038475	0.031713	0.44245	0.026241	0.46098	0.037639	0.14589	0.084067	0.10813	0.027041	0.14188	0.058056	0.11894	0.032378	0.022	0.02751	0.17507	0.031301	0.21348	0.030308	0.40559	0.74714
Meth__cg10951619__FAM5C	0.26611	0.056186	0.20346	0.10926	0.068854	0.83588	0.1214	0.45455	0.36509	0.085425	0.19165	0.32089	0.20645	0.47664	0.064942	0.099781	0.56795	0.09	0.24176	0.17204	0.19525	0.16094	0.59223	0.14799	0.33596	0.10691	0.36968	0.28154	0.1029	0.14526	0.31904	0.24864	0.71609	0.076741	0.15322	0.6712	0.13338	0.063958
Meth__cg22244122__SURF4	0.45719	0.06406	0.84437	0.17527	0.048006	0.52404	0.52562	0.93597	0.79109	0.23385	0.19505	0.043519	0.24201	0.27204	0.080266	0.21292	0.45473	0.12524	0.12448	0.52166	0.57548	0.67772	0.8765	0.71405	0.098566	0.11508	0.048762	0.84623	0.10771	0.03548	0.042559	0.50019	0.20895	0.055139	0.4946	0.48419	0.54968	0.060041
Meth__cg25692323__ZNF485	0.087108	0.15162	0.2213	0.033591	0.031858	0.44061	0.046127	0.68032	0.78223	0.50887	0.039526	0.59286	0.43867	0.47698	0.025165	0.45543	0.39686	0.31686	0.13512	0.11028	0.035356	0.31127	0.63543	0.037032	0.073809	0.63146	0.089084	0.58729	0.11232	0.2858	0.65739	0.68933	0.045598	0.053071	0.038705	0.060431	0.079449	0.040326
Meth__cg13801416__AKR1B1	0.97123	0.82433	0.036073	0.98155	0.94261	0.035948	0.97782	0.053689	0.67039	0.23164	0.037654	0.66435	0.039406	0.96003	0.98385	0.53732	0.54274	0.026251	0.088134	0.028486	0.97288	0.037808	0.064738	0.97336	0.26649	0.039207	0.95129	0.41902	0.67976	0.038822	0.030692	0.039322	0.97136	0.98042	0.98438	0.97552	0.78225	0.97689
Meth__cg22794078__C15orf44	0.023505	0.1029	0.090325	0.56474	0.19278	0.023428	0.059268	0.054817	0.034456	0.13252	0.27868	0.018409	0.044544	0.23551	0.1073	0.12531	0.045632	0.062147	0.051631	0.01614	0.060408	0.025277	0.05712	0.054984	0.037746	0.027871	0.10006	0.086677	0.073755	0.022716	0.017994	0.022409	0.85055	0.03351	0.048978	0.045975	0.10319	0.032201
Meth__cg13631259__NUDT8	0.095112	0.11103	0.14713	0.50161	0.34255	0.11607	0.14408	0.049205	0.067273	0.14318	0.10143	0.10339	0.20845	0.21991	0.10175	0.12548	0.13162	0.10968	0.16074	0.096695	0.13804	0.29535	0.099208	0.0993	0.12599	0.074118	0.19382	0.1455	0.13232	0.067578	0.10078	0.071934	0.088439	0.13617	0.14519	0.084181	0.14561	0.60467
Meth__cg12650780__SH3BGRL	0.40382	0.0522	0.88795	0.41202	0.60504	0.035986	0.0795	0.13763	0.30728	0.68622	0.5448	0.052804	0.21896	0.27407	0.6621	0.65262	0.23975	0.06691	0.084105	0.051074	0.088145	0.13043	0.10877	0.080485	0.065335	0.048721	0.31265	0.059761	0.30242	0.04951	0.17535	0.1789	0.87701	0.61131	0.68076	0.58688	0.29899	0.66921
Meth__cg10812811__C20orf112	0.057639	0.92432	0.94684	0.16062	0.16096	0.035762	0.20318	0.29549	0.29805	0.039982	0.55068	0.043157	0.03763	0.20858	0.034213	0.049376	0.039502	0.029595	0.072469	0.036413	0.056402	0.049165	0.10428	0.060512	0.071733	0.040556	0.11632	0.046398	0.25616	0.036897	0.040808	0.034074	0.030756	0.13001	0.32945	0.63748	0.074135	0.064318
Meth__cg21717724__PSMD5	0.23575	0.12843	0.12557	0.08866	0.18649	0.93545	0.61188	0.67474	0.61714	0.27949	0.63833	0.12859	0.22455	0.1264	0.089113	0.26464	0.14981	0.084044	0.14588	0.27287	0.105	0.19771	0.86552	0.14558	0.20127	0.153	0.14775	0.14114	0.127	0.1007	0.13224	0.13804	0.087146	0.083317	0.15223	0.12712	0.21689	0.12831
Meth__cg06953995__PALM2-AKAP2	0.03849	0.042196	0.052538	0.43125	0.061552	0.03193	0.53555	0.023386	0.020859	0.035055	0.04219	0.031588	0.062429	0.083712	0.16649	0.044139	0.047681	0.031808	0.059098	0.032092	0.27469	0.0483	0.056929	0.049773	0.051387	0.046955	0.61766	0.03844	0.10278	0.035915	0.031697	0.032017	0.11345	0.042383	0.50093	0.13207	0.064151	0.053695
Meth__cg11638200__PRKCQ	0.039644	0.026217	0.96531	0.61618	0.38287	0.8574	0.95295	0.1613	0.040155	0.07169	0.73692	0.055092	0.067536	0.17508	0.89029	0.24602	0.049483	0.040014	0.34859	0.59855	0.95191	0.12546	0.87647	0.066708	0.30926	0.053953	0.82251	0.061085	0.073962	0.040106	0.052332	0.06873	0.048711	0.20968	0.94576	0.69069	0.71087	0.056112
Meth__cg05940536__ACVR1B	0.092568	0.063952	0.53519	0.052368	0.053964	0.066556	0.076233	0.21034	0.10468	0.080114	0.068455	0.10882	0.3054	0.22029	0.04196	0.081883	0.1047	0.076575	0.13893	0.090431	0.074358	0.10108	0.13985	0.058107	0.15634	0.57787	0.16008	0.10342	0.076482	0.087938	0.084439	0.058226	0.25015	0.071174	0.075356	0.061363	0.086528	0.077661
Meth__cg25553916__FLJ22318	0.089485	0.11383	0.16207	0.18897	0.20191	0.71702	0.14667	0.83119	0.33907	0.50594	0.16439	0.44825	0.69358	0.21934	0.080068	0.41497	0.20196	0.29046	0.1814	0.85917	0.091174	0.82307	0.65092	0.093989	0.23545	0.40394	0.18641	0.33	0.17264	0.32593	0.49938	0.53574	0.12093	0.14055	0.078503	0.11189	0.12436	0.1739
Meth__cg20728496__NADSYN1	0.18961	0.067592	0.078265	0.082126	0.059322	0.48085	0.16912	0.69186	0.078497	0.075708	0.093968	0.25462	0.10682	0.3401	0.04755	0.063291	0.074893	0.089141	0.13282	0.74925	0.070952	0.87195	0.82452	0.094749	0.21132	0.62926	0.14339	0.092228	0.19573	0.36442	0.058261	0.77989	0.069515	0.04233	0.03633	0.086063	0.23026	0.054692
Meth__cg14686321__FLJ31951	0.10996	0.061095	0.03906	0.81033	0.79157	0.039047	0.66688	0.021929	0.071703	0.039719	0.3677	0.042155	0.039587	0.090916	0.33875	0.12412	0.047426	0.038231	0.067608	0.037499	0.50943	0.039272	0.098761	0.81148	0.10066	0.03836	0.76983	0.040145	0.08182	0.034303	0.045957	0.15162	0.71256	0.39659	0.85377	0.038448	0.14528	0.52683
Meth__cg13799206__ASRGL1	0.095206	0.063399	0.077998	0.164	0.020308	0.026843	0.95013	0.026953	0.030381	0.0427	0.027753	0.068293	0.038212	0.59316	0.46028	0.04461	0.025902	0.02817	0.13156	0.061462	0.50466	0.039805	0.61518	0.047754	0.072302	0.04214	0.53225	0.034159	0.046228	0.025758	0.029921	0.10298	0.026757	0.15542	0.032858	0.029112	0.0823	0.031937
Meth__cg26873164__SNAI1	0.047345	0.13833	0.29395	0.20388	0.083101	0.774	0.076615	0.54286	0.10965	0.052494	0.064004	0.63402	0.28995	0.3935	0.03969	0.06858	0.18122	0.6087	0.20486	0.80043	0.10051	0.55017	0.29236	0.094837	0.11353	0.55479	0.093786	0.12779	0.1671	0.40104	0.40105	0.18248	0.10926	0.048156	0.07858	0.091599	0.086283	0.084615
Meth__cg01124420__EDAR	0.026976	0.020655	0.24843	0.17069	0.041342	0.060678	0.052899	0.27028	0.95085	0.090051	0.032888	0.17397	0.044727	0.41504	0.027805	0.0659	0.52541	0.025934	0.092154	0.021796	0.034573	0.45909	0.06687	0.11133	0.047798	0.42482	0.061634	0.097687	0.049651	0.33316	0.036383	0.028086	0.4661	0.026851	0.066296	0.23182	0.11435	0.029316
Meth__cg15299721__LOC133308	0.030073	0.029655	0.49595	0.033639	0.34725	0.029434	0.51055	0.042263	0.025893	0.025332	0.036571	0.029243	0.021677	0.26021	0.019971	0.030094	0.023818	0.026575	0.02684	0.020327	0.035201	0.03243	0.93428	0.032098	0.042411	0.025957	0.92075	0.030895	0.091633	0.027222	0.025287	0.029427	0.026942	0.030281	0.91009	0.95607	0.055428	0.036221
Meth__cg07640473__SEMA3F	0.026867	0.025677	0.88506	0.040579	0.039975	0.8	0.048008	0.92513	0.85396	0.03167	0.049449	0.97912	0.12626	0.08538	0.040121	0.037801	0.53039	0.030363	0.048484	0.25015	0.058389	0.75673	0.9603	0.037097	0.10301	0.85513	0.060152	0.046053	0.08906	0.60151	0.58203	0.765	0.034869	0.043344	0.056978	0.048554	0.18153	0.028054
Meth__cg02154186__PNMA2	0.46875	0.54852	0.70109	0.33736	0.1365	0.66625	0.95078	0.79819	0.1659	0.45899	0.32462	0.1735	0.95309	0.86561	0.18159	0.50014	0.0633	0.12616	0.31567	0.12938	0.65733	0.070667	0.25244	0.095109	0.11065	0.05919	0.93008	0.1271	0.28611	0.052321	0.17927	0.67307	0.091515	0.082988	0.4312	0.18624	0.11791	0.10416
Meth__cg19843429__OSBPL3	0.045508	0.034982	0.037428	0.49253	0.040724	0.032161	0.5657	0.0382	0.033012	0.028611	0.051974	0.04058	0.019838	0.21767	0.24488	0.039519	0.033226	0.034016	0.18982	0.029494	0.95319	0.03933	0.07351	0.044205	0.056436	0.032468	0.075967	0.033192	0.068426	0.035642	0.026856	0.024848	0.036571	0.031691	0.9284	0.026505	0.084487	0.039532
Meth__cg22657536__LSM16	0.086308	0.082837	0.081771	0.25601	0.43065	0.070678	0.36516	0.097297	0.074473	0.40508	0.10574	0.084115	0.112	0.28646	0.40084	0.3473	0.13523	0.064861	0.35978	0.087511	0.093974	0.091445	0.13654	0.086069	0.16219	0.087159	0.16396	0.14394	0.12984	0.044802	0.062555	0.10396	0.081011	0.064475	0.1212	0.14112	0.26697	0.076846
Meth__cg20876010__CACHD1	0.084818	0.13883	0.20248	0.081795	0.1414	0.71565	0.079577	0.85052	0.90715	0.1221	0.094518	0.70718	0.78667	0.32853	0.094255	0.15839	0.70968	0.24072	0.21864	0.11676	0.07805	0.65817	0.19294	0.080567	0.11655	0.67896	0.08649	0.25417	0.12713	0.59703	0.069117	0.10954	0.56297	0.075446	0.083125	0.063041	0.05982	0.10072
Meth__cg18180155__RIBC2	0.39572	0.04953	0.072695	0.037936	0.034353	0.37333	0.10535	0.043615	0.31235	0.032711	0.079585	0.039447	0.04625	0.089948	0.027508	0.033891	0.24395	0.065789	0.051828	0.048177	0.043552	0.34918	0.074815	0.062309	0.058407	0.034361	0.090524	0.88362	0.1662	0.042181	0.27491	0.049566	0.037159	0.024538	0.045505	0.024018	0.077699	0.042916
Meth__cg15014458__LYPD3	0.022762	0.015946	0.02478	0.0206	0.044169	0.9626	0.028331	0.58894	0.02388	0.022456	0.018656	0.10169	0.042575	0.024098	0.019187	0.019666	0.026175	0.33324	0.024142	0.075374	0.021623	0.29879	0.85454	0.021726	0.038514	0.063637	0.07516	0.03009	0.03547	0.86683	0.020285	0.024045	0.019967	0.019013	0.026722	0.016825	0.035497	0.024875
Meth__cg10296238__C21orf56	0.082127	0.77783	0.58543	0.65587	0.88539	0.076826	0.12976	0.72097	0.91094	0.10399	0.53418	0.89311	0.092672	0.15696	0.066623	0.40141	0.18011	0.5394	0.21287	0.12462	0.33068	0.077023	0.20121	0.66385	0.51025	0.10175	0.4994	0.75825	0.80896	0.043885	0.051639	0.54941	0.1961	0.36523	0.77009	0.50896	0.1009	0.074715
Meth__cg03600318__SFTPD	0.22594	0.11249	0.7648	0.807	0.7643	0.031787	0.58959	0.082233	0.70074	0.83226	0.82774	0.23052	0.19971	0.81402	0.052953	0.72817	0.29737	0.82003	0.0775	0.032913	0.68054	0.053594	0.050706	0.34392	0.070709	0.29439	0.15285	0.20489	0.061396	0.042538	0.063963	0.031618	0.82353	0.067044	0.69601	0.54117	0.087042	0.8698
Meth__cg21224759__PIN4	0.51049	0.097465	0.079934	0.074761	0.34946	0.076505	0.074415	0.060105	0.089047	0.44019	0.091592	0.072021	0.070807	0.098396	0.34665	0.42054	0.15797	0.4107	0.30988	0.066562	0.075813	0.16732	0.094324	0.081046	0.49845	0.45602	0.21421	0.076114	0.39924	0.070252	0.068158	0.47327	0.067196	0.080558	0.14427	0.38302	0.10186	0.43862
Meth__cg14737977__ITGA3	0.065457	0.11248	0.080396	0.19356	0.24761	0.071128	0.1975	0.057049	0.038292	0.37274	0.061105	0.77974	0.1445	0.11204	0.7179	0.375	0.07349	0.056862	0.12216	0.095521	0.062694	0.06955	0.17699	0.10404	0.15631	0.068721	0.12191	0.097938	0.14787	0.08362	0.083322	0.072556	0.28878	0.097536	0.10884	0.10495	0.11757	0.25204
Meth__cg11207564__CCL3L3	0.683	0.083652	0.33438	0.57937	0.5918	0.029621	0.39088	0.16137	0.15402	0.3615	0.18582	0.14155	0.14307	0.20643	0.031806	0.1758	0.10992	0.48695	0.036469	0.039814	0.32697	0.030731	0.071772	0.21325	0.060282	0.19905	0.23149	0.043154	0.079416	0.060593	0.031548	0.050913	0.14409	0.067419	0.63364	0.11219	0.071392	0.78362
Meth__cg22956956__TFRC	0.09802	0.084998	0.10657	0.082647	0.072566	0.34234	0.13269	0.3672	0.093546	0.10509	0.089306	0.1181	0.060689	0.099975	0.029671	0.085514	0.060066	0.056642	0.12338	0.10282	0.096765	0.157	0.15682	0.10199	0.15049	0.51163	0.082663	0.10429	0.15081	0.12382	0.27512	0.090635	0.13608	0.071141	0.14661	0.061352	0.095533	0.085453
Meth__cg22161476__FSTL5	0.90636	0.022068	0.71867	0.66574	0.020224	0.61909	0.03125	0.64578	0.89753	0.6817	0.027152	0.11913	0.093417	0.057291	0.54237	0.27661	0.056675	0.083276	0.044672	0.60865	0.021166	0.6805	0.33187	0.10485	0.040678	0.46265	0.73716	0.60066	0.037443	0.019639	0.35734	0.034902	0.043871	0.021698	0.054016	0.026406	0.048183	0.021222
Meth__cg10056627__GNMT	0.037872	0.033369	0.035688	0.035415	0.034823	0.96978	0.032241	0.96702	0.17536	0.031639	0.039107	0.50741	0.042186	0.091908	0.025317	0.038654	0.036747	0.1342	0.079862	0.59919	0.14124	0.97305	0.92815	0.037462	0.055978	0.92115	0.062828	0.031681	0.067712	0.39016	0.028179	0.08957	0.035873	0.032133	0.031493	0.028195	0.13919	0.040544
Meth__cg23287547__MYO5A	0.051966	0.094028	0.05802	0.44907	0.30091	0.03456	0.38716	0.11939	0.05432	0.051921	0.066797	0.052166	0.27888	0.19912	0.19708	0.067834	0.046784	0.057179	0.10059	0.055425	0.095746	0.057017	0.046869	0.15754	0.085841	0.037585	0.91906	0.070047	0.062951	0.05205	0.044198	0.047212	0.70927	0.20511	0.77584	0.11533	0.11702	0.057351
Meth__cg03256955__TGFBR2	0.055375	0.084128	0.069305	0.14645	0.36047	0.048731	0.20211	0.095238	0.042862	0.059697	0.37092	0.078094	0.084879	0.17671	0.24095	0.091266	0.050714	0.032389	0.081879	0.051855	0.10314	0.057966	0.10633	0.45152	0.10365	0.032313	0.28386	0.074511	0.10283	0.053641	0.046627	0.042829	0.68823	0.052677	0.434	0.88452	0.084514	0.19387
Meth__cg04882894__IGSF1	0.069861	0.041123	0.49345	0.67445	0.039205	0.3192	0.1683	0.098308	0.59207	0.032517	0.033714	0.39274	0.38147	0.27779	0.049963	0.042039	0.065547	0.049108	0.079297	0.048766	0.045942	0.29295	0.63593	0.071958	0.037319	0.085675	0.31987	0.051933	0.069841	0.063239	0.074865	0.059369	0.61427	0.052584	0.043904	0.047491	0.20942	0.31555
Meth__cg16772207__MYT1	0.083169	0.063827	0.40891	0.072753	0.082072	0.91204	0.084928	0.8744	0.78872	0.89657	0.10856	0.91417	0.90116	0.20018	0.077371	0.59751	0.39567	0.55897	0.21709	0.19375	0.18205	0.6681	0.67216	0.067885	0.18433	0.67685	0.12749	0.28674	0.094582	0.090199	0.5259	0.14954	0.1208	0.050161	0.070417	0.058513	0.19256	0.1276
Meth__cg24797967__FLJ39739	0.28104	0.10701	0.50104	0.08409	0.1958	0.50792	0.27266	0.042396	0.089961	0.088113	0.088004	0.13371	0.080948	0.14551	0.56208	0.094581	0.084491	0.087211	0.12968	0.08005	0.30622	0.10166	0.18241	0.078473	0.16915	0.085734	0.69833	0.11568	0.11196	0.07942	0.075041	0.088802	0.20868	0.087024	0.89986	0.60299	0.13749	0.091705
Meth__cg17332016__FLJ10847	0.051957	0.038504	0.70484	0.44518	0.28407	0.34099	0.090765	0.038331	0.096548	0.05826	0.64825	0.1629	0.10919	0.73806	0.045866	0.21864	0.12913	0.039659	0.069547	0.031161	0.31265	0.037299	0.085788	0.13357	0.12439	0.042989	0.79967	0.19706	0.089927	0.037566	0.04451	0.044406	0.28562	0.088359	0.39675	0.50234	0.06174	0.052873
Meth__cg02334775__ISG20	0.042151	0.028441	0.32816	0.049459	0.045846	0.93897	0.03898	0.70888	0.096791	0.38719	0.053914	0.87268	0.38495	0.094983	0.033055	0.30749	0.070807	0.080655	0.075539	0.04414	0.0368	0.27801	0.78524	0.045113	0.068625	0.71836	0.088208	0.17939	0.050047	0.16537	0.16942	0.12304	0.03088	0.032684	0.029062	0.030822	0.09307	0.042255
Meth__cg11314684__AKT3	0.27401	0.061147	0.91953	0.66658	0.057193	0.89691	0.10636	0.16166	0.12165	0.037263	0.089902	0.16762	0.14106	0.11191	0.045578	0.054893	0.078065	0.046884	0.098958	0.070976	0.083675	0.17948	0.10866	0.08961	0.13039	0.1193	0.11027	0.1738	0.082789	0.065657	0.68383	0.10105	0.38517	0.041501	0.14925	0.043773	0.13961	0.35915
Meth__cg24063470__FOXC2	0.072988	0.10829	0.43956	0.27355	0.11996	0.3239	0.082231	0.037715	0.040381	0.074407	0.48577	0.42477	0.026999	0.54272	0.0867	0.077062	0.060017	0.048558	0.080861	0.034822	0.53435	0.099677	0.89253	0.56716	0.097273	0.053041	0.41494	0.060593	0.097194	0.055042	0.053102	0.052895	0.057008	0.045653	0.86511	0.46182	0.12618	0.62112
Meth__cg24408313__BCL2	0.092924	0.26644	0.85352	0.05112	0.10681	0.89925	0.072043	0.82748	0.85645	0.73872	0.044376	0.88951	0.86823	0.75592	0.12655	0.66092	0.89026	0.91772	0.6388	0.68451	0.07515	0.88796	0.90598	0.066455	0.076456	0.94543	0.08786	0.7413	0.20824	0.50751	0.63588	0.93945	0.63184	0.044232	0.040467	0.16185	0.08773	0.45824
Meth__cg24638647__TMEM101	0.070623	0.4232	0.07139	0.076914	0.94771	0.066227	0.91224	0.087789	0.069864	0.071272	0.93344	0.072487	0.16445	0.14839	0.054843	0.25341	0.071869	0.055828	0.12044	0.065412	0.087444	0.072756	0.10423	0.080258	0.083895	0.076272	0.89211	0.065898	0.79682	0.056463	0.059181	0.06907	0.063871	0.061012	0.91147	0.93135	0.33978	0.07886
Meth__cg02168291__CDH13	0.80182	0.10518	0.77297	0.77721	0.50704	0.77059	0.24662	0.49944	0.93195	0.06427	0.084976	0.12063	0.83067	0.62766	0.061224	0.071013	0.30828	0.085621	0.08024	0.25261	0.15825	0.53333	0.66994	0.22847	0.11167	0.23026	0.16795	0.059713	0.15593	0.067965	0.24111	0.16166	0.85205	0.10705	0.65447	0.17943	0.13801	0.75109
Meth__cg24698622__PPP2CB	0.05631	0.041819	0.61176	0.095354	0.37609	0.052069	0.15428	0.049571	0.058383	0.050388	0.21657	0.03452	0.043821	0.054806	0.051267	0.059751	0.051203	0.032803	0.40517	0.034464	0.048412	0.040888	0.099486	0.18025	0.052645	0.040802	0.093153	0.047845	0.062017	0.037702	0.031313	0.042764	0.12044	0.37076	0.56528	0.12758	0.058271	0.52248
Meth__cg03875678__GZMB	0.76693	0.13995	0.55584	0.79379	0.76556	0.074159	0.60506	0.22609	0.1557	0.50367	0.20271	0.6396	0.16981	0.36327	0.20162	0.34033	0.1604	0.11576	0.52789	0.10683	0.41202	0.13651	0.10648	0.47075	0.16153	0.07904	0.23757	0.081674	0.22491	0.11012	0.17575	0.13672	0.83824	0.079908	0.82103	0.31111	0.29551	0.10679
