Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR7530
Meth__cg01663968__CTSZ	0.05678	0.042954	0.035347	0.061075	0.73201	0.67571	0.059328	0.31116	0.73933	0.36671	0.78695	0.056506	0.10379	0.42341	0.57354	0.65803	0.035074	0.11067	0.053656	0.94142	0.91087	0.14184	0.49429	0.063647	0.072266	0.064281	0.057491	0.28843	0.07678	0.057934	0.039768	0.56736	0.030465	0.082728	0.042172	0.11649
Meth__cg19055231__STAC	0.76327	0.065162	0.039476	0.92712	0.13442	0.038438	0.92847	0.023621	0.050088	0.089373	0.90614	0.053059	0.10935	0.92654	0.051187	0.49542	0.040867	0.089246	0.029941	0.35623	0.40602	0.29855	0.081727	0.92573	0.09228	0.63863	0.10303	0.86768	0.29445	0.068551	0.032966	0.91124	0.6006	0.055533	0.11865	0.52608
Meth__cg11665588__SESN3	0.049422	0.067483	0.10433	0.047829	0.030634	0.70987	0.98212	0.10735	0.038876	0.045797	0.05921	0.070049	0.079622	0.29477	0.041094	0.037612	0.056668	0.083866	0.032455	0.048903	0.048603	0.058874	0.05161	0.038157	0.31293	0.052791	0.035209	0.21899	0.069002	0.046032	0.040401	0.046793	0.035509	0.83251	0.050408	0.081857
Meth__cg00768439__NAP1L3	0.53531	0.045781	0.89002	0.052288	0.32945	0.62118	0.9117	0.60576	0.26239	0.2656	0.076942	0.79752	0.37203	0.049024	0.26003	0.067948	0.38595	0.3531	0.037672	0.063291	0.071953	0.52151	0.067254	0.45965	0.45674	0.053264	0.089327	0.41213	0.11032	0.063392	0.37107	0.05007	0.8934	0.19429	0.55812	0.54544
Meth__cg13353683__PTRF	0.053574	0.045889	0.067727	0.61331	0.17539	0.042082	0.088897	0.06345	0.058739	0.078962	0.090078	0.049074	0.65513	0.075033	0.04767	0.71422	0.03826	0.17426	0.048335	0.097944	0.081154	0.11697	0.058035	0.50634	0.13322	0.15064	0.088593	0.70154	0.1418	0.047622	0.050191	0.10722	0.90249	0.046598	0.079132	0.16416
Meth__cg03529436__ORF1-FL49	0.055066	0.39409	0.62844	0.80856	0.67765	0.16734	0.056884	0.054205	0.42852	0.70077	0.075271	0.22571	0.57156	0.57212	0.43958	0.056963	0.047627	0.24362	0.080625	0.3414	0.35065	0.09823	0.43769	0.067251	0.06041	0.14851	0.098186	0.14533	0.4465	0.035335	0.029152	0.33833	0.17739	0.092474	0.049671	0.40078
Meth__cg12585943__PPT2	0.30865	0.57812	0.043019	0.90982	0.12722	0.066536	0.87001	0.56367	0.91716	0.6522	0.035566	0.37036	0.87311	0.92696	0.74492	0.42026	0.03986	0.69158	0.034016	0.064466	0.41277	0.058796	0.73601	0.04006	0.070792	0.060277	0.14437	0.068714	0.64266	0.064709	0.064034	0.83822	0.83666	0.11384	0.33784	0.64338
Meth__cg16679837__AR	0.57277	0.57541	0.86871	0.15558	0.35369	0.10693	0.13149	0.95871	0.079368	0.10335	0.59387	0.94991	0.22349	0.05504	0.094144	0.40453	0.12901	0.16487	0.086297	0.094722	0.14253	0.4844	0.13246	0.49497	0.94446	0.15535	0.10087	0.54663	0.25179	0.049315	0.10979	0.037076	0.7558	0.22991	0.42525	0.60819
Meth__cg07160163__SYK	0.028546	0.44521	0.39231	0.040283	0.037514	0.88107	0.062463	0.084334	0.03164	0.064848	0.59895	0.096186	0.046453	0.040498	0.041803	0.028983	0.1386	0.060597	0.033209	0.025822	0.03286	0.2368	0.049264	0.03287	0.83051	0.028272	0.048763	0.1385	0.17771	0.033415	0.044803	0.068081	0.039067	0.21236	0.044321	0.10955
Meth__cg23706211__CELSR2	0.066642	0.084048	0.56494	0.28676	0.039293	0.72559	0.41593	0.44019	0.10187	0.049425	0.88545	0.47567	0.17902	0.13311	0.10198	0.41362	0.25575	0.055823	0.14088	0.053288	0.10859	0.037496	0.87533	0.53166	0.7673	0.2634	0.15691	0.45314	0.1834	0.50101	0.27864	0.062123	0.43932	0.18096	0.11298	0.6084
Meth__cg02282237__PRKCH	0.037052	0.034112	0.042032	0.04672	0.045245	0.35064	0.033673	0.047537	0.037083	0.027137	0.52881	0.062951	0.083862	0.021405	0.035163	0.033821	0.082258	0.071117	0.23806	0.031315	0.036207	0.051635	0.055514	0.67167	0.83074	0.029517	0.056158	0.07084	0.049731	0.38074	0.080095	0.031255	0.032091	0.054556	0.034876	0.051009
Meth__cg22472290__ZNF577	0.06859	0.073126	0.86886	0.2369	0.067616	0.24225	0.88331	0.8116	0.067315	0.8552	0.81381	0.1843	0.77333	0.90273	0.32409	0.14752	0.36997	0.13903	0.41078	0.5469	0.38539	0.074612	0.1248	0.17333	0.35965	0.11922	0.090783	0.36611	0.099773	0.083447	0.08313	0.84584	0.14891	0.78368	0.0668	0.71866
Meth__cg04241572__HADH2	0.49352	0.036559	0.043958	0.034968	0.3162	0.037903	0.045265	0.040282	0.48763	0.045005	0.042851	0.40569	0.32677	0.39213	0.43313	0.044317	0.035817	0.50589	0.041312	0.034465	0.04086	0.47517	0.58287	0.44237	0.06643	0.039254	0.28784	0.29569	0.38075	0.48172	0.54172	0.041832	0.03029	0.068996	0.45576	0.52691
Meth__cg13794888__RNUT1	0.073685	0.070883	0.083143	0.6934	0.30232	0.049213	0.074253	0.098152	0.062044	0.069888	0.073051	0.03029	0.6326	0.56246	0.25742	0.062086	0.060068	0.11336	0.059598	0.61962	0.64267	0.14425	0.06178	0.054646	0.14743	0.62673	0.091897	0.086771	0.071663	0.052397	0.05947	0.26572	0.053678	0.10141	0.43058	0.071679
Meth__cg01025842__TRADD	0.073165	0.057189	0.051241	0.060875	0.036693	0.046421	0.057152	0.039565	0.054768	0.044448	0.065899	0.26414	0.075688	0.037938	0.056104	0.053191	0.88736	0.068413	0.049223	0.048029	0.050203	0.077719	0.052234	0.046119	0.078115	0.042601	0.078131	0.098894	0.09497	0.043745	0.061493	0.033121	0.04543	0.081029	0.063287	0.085803
Meth__cg15373633__DACH2	0.5765	0.056085	0.93513	0.090805	0.083689	0.82138	0.075527	0.63778	0.053526	0.041251	0.048181	0.17387	0.44461	0.98248	0.060905	0.10217	0.38487	0.21831	0.059609	0.067686	0.085472	0.67771	0.18026	0.51867	0.65048	0.37481	0.096448	0.33712	0.071142	0.04386	0.089994	0.069838	0.79327	0.18765	0.41247	0.91401
Meth__cg06111454__NFATC4	0.031008	0.91534	0.93899	0.95181	0.89464	0.03078	0.95067	0.63793	0.044619	0.7664	0.68037	0.95046	0.9205	0.94885	0.64319	0.62251	0.9343	0.56835	0.032155	0.89111	0.95279	0.045378	0.94123	0.0278	0.66808	0.96337	0.050688	0.79922	0.83139	0.030141	0.040214	0.96661	0.94151	0.067546	0.076669	0.13418
Meth__cg12549513__BEX2	0.54079	0.028396	0.033925	0.034636	0.34903	0.3997	0.033857	0.55361	0.040263	0.51523	0.36589	0.023252	0.066037	0.031084	0.12509	0.13327	0.56606	0.092978	0.033879	0.021778	0.025912	0.56427	0.48116	0.54148	0.40189	0.032272	0.25706	0.90798	0.11721	0.028383	0.12585	0.025912	0.47009	0.048995	0.5893	0.55783
Meth__cg15202954__VGCNL1	0.093219	0.3787	0.10201	0.95781	0.097981	0.67191	0.94787	0.057675	0.15616	0.11458	0.21149	0.11687	0.44592	0.95607	0.19531	0.068708	0.084924	0.51367	0.094101	0.93288	0.93658	0.24631	0.12817	0.12064	0.18383	0.82348	0.17466	0.87852	0.21743	0.085475	0.12145	0.79869	0.83787	0.13167	0.17544	0.14489
Meth__cg07699440__FAH	0.019971	0.022935	0.021794	0.019462	0.022929	0.015399	0.019689	0.019522	0.016955	0.017143	0.016567	0.034418	0.031505	0.013245	0.021529	0.012481	0.016733	0.02603	0.011525	0.015023	0.016792	0.020918	0.024039	0.013089	0.030586	0.27491	0.038634	0.059209	0.039851	0.017962	0.01129	0.015469	0.013203	0.051118	0.021431	0.050686
Meth__cg15480941__PIM2	0.60104	0.35192	0.79318	0.032323	0.47551	0.043202	0.031966	0.032674	0.52564	0.72049	0.035671	0.72594	0.61134	0.51941	0.48673	0.68699	0.033771	0.32763	0.10983	0.023041	0.037722	0.60709	0.63353	0.56867	0.080345	0.61448	0.42044	0.5313	0.32743	0.6228	0.57262	0.04104	0.034919	0.072065	0.55459	0.63447
Meth__cg17749443__ZFP37	0.71083	0.021507	0.028475	0.97393	0.018479	0.019686	0.6997	0.02128	0.023233	0.026442	0.024116	0.015272	0.74645	0.74024	0.27067	0.032156	0.0207	0.055728	0.024789	0.91971	0.62849	0.53117	0.026189	0.018505	0.4551	0.44766	0.031776	0.072778	0.037789	0.028431	0.030686	0.13421	0.31613	0.046866	0.034275	0.10551
Meth__cg21888438__MID1IP1	0.57708	0.076484	0.15808	0.067477	0.064673	0.1572	0.10863	0.043569	0.2029	0.28635	0.10525	0.5753	0.51733	0.53577	0.17767	0.064955	0.05407	0.41169	0.04578	0.047347	0.12655	0.47762	0.16874	0.41626	0.10343	0.5446	0.24744	0.47331	0.31632	0.58224	0.47434	0.40422	0.064573	0.11795	0.3828	0.62027
Meth__cg06720956__ONECUT1	0.69629	0.035124	0.92503	0.059915	0.047998	0.12812	0.083339	0.14147	0.08733	0.053945	0.087014	0.12964	0.18929	0.043261	0.089146	0.047918	0.096703	0.16964	0.052604	0.28098	0.053564	0.1007	0.067269	0.058809	0.86628	0.08792	0.50528	0.61568	0.10156	0.05459	0.23207	0.050416	0.13783	0.16072	0.065187	0.4781
Meth__cg00290028__RFXAP	0.047331	0.029322	0.095903	0.036749	0.027944	0.051549	0.033723	0.029269	0.03161	0.032576	0.037758	0.099786	0.12222	0.025438	0.03558	0.031469	0.066709	0.066852	0.028975	0.029684	0.036454	0.036551	0.077577	0.029607	0.065511	0.028954	0.078195	0.08213	0.067116	0.028535	0.42691	0.027346	0.031256	0.075547	0.043223	0.089558
Meth__cg15485859__C1orf116	0.051914	0.04523	0.60451	0.070221	0.11278	0.46861	0.067868	0.10776	0.055734	0.070759	0.20135	0.26478	0.19879	0.037497	0.070686	0.34061	0.86098	0.11283	0.31726	0.065925	0.10369	0.31997	0.41817	0.15334	0.83616	0.071188	0.085886	0.52881	0.093844	0.82889	0.84192	0.35474	0.092157	0.20738	0.15192	0.084623
Meth__cg21934269__RPL39	0.6101	0.035922	0.028665	0.043674	0.37412	0.030115	0.038391	0.44459	0.55031	0.65107	0.039043	0.044578	0.042946	0.035165	0.48712	0.34335	0.55873	0.067916	0.035111	0.02475	0.028463	0.54493	0.047278	0.54098	0.087525	0.056457	0.1365	0.45986	0.080152	0.57222	0.099526	0.040819	0.2668	0.083699	0.61755	0.54429
Meth__cg03875678__GZMB	0.76693	0.13995	0.55584	0.79379	0.76556	0.074159	0.60506	0.1557	0.50367	0.20271	0.6396	0.16981	0.36327	0.20162	0.34033	0.1604	0.11576	0.52789	0.10683	0.40727	0.41202	0.79602	0.13651	0.52536	0.10648	0.47075	0.16153	0.23757	0.22491	0.11012	0.13672	0.83824	0.31111	0.29551	0.10679	0.21415
Meth__cg10318351__GNL3L	0.48139	0.058479	0.067077	0.050538	0.079392	0.045821	0.068098	0.040686	0.3336	0.40056	0.049012	0.35779	0.24081	0.2032	0.31265	0.29346	0.047549	0.27075	0.05275	0.04257	0.056834	0.44074	0.40058	0.38519	0.089907	0.34862	0.2148	0.44147	0.13404	0.43165	0.072914	0.052251	0.053226	0.058184	0.34736	0.4819
Meth__cg01277844__PYGO2	0.062232	0.080583	0.19181	0.059274	0.059323	0.067605	0.061355	0.073744	0.064862	0.11915	0.080235	0.49435	0.36708	0.054613	0.059094	0.060017	0.058883	0.073025	0.082572	0.12077	0.084134	0.060645	0.11369	0.067922	0.12291	0.072915	0.14542	0.1519	0.16484	0.066166	0.24386	0.055177	0.058721	0.086064	0.08871	0.16307
Meth__cg00096922__DLX5	0.30221	0.057017	0.2724	0.055451	0.030236	0.32999	0.30697	0.059143	0.058187	0.048798	0.047004	0.65195	0.071389	0.047427	0.035272	0.046404	0.034129	0.17173	0.046309	0.0255	0.17677	0.12177	0.043787	0.11942	0.77153	0.065611	0.11387	0.62253	0.19287	0.045366	0.052008	0.043959	0.57231	0.16577	0.06333	0.27441
Meth__cg12900739__RRAGB	0.42891	0.021925	0.031051	0.021912	0.02239	0.017987	0.023856	0.026547	0.018679	0.030743	0.025719	0.052854	0.22938	0.1545	0.028326	0.043387	0.31459	0.055815	0.03028	0.018003	0.029034	0.42382	0.032175	0.41756	0.092194	0.024112	0.027897	0.052711	0.046355	0.46324	0.02357	0.020755	0.029532	0.04502	0.33875	0.25069
Meth__cg17694877__DIAPH2	0.48242	0.057047	0.084252	0.070154	0.10033	0.065725	0.064035	0.42554	0.46313	0.077834	0.060523	0.066795	0.10362	0.053443	0.46016	0.40767	0.073102	0.15999	0.043593	0.049507	0.066977	0.10547	0.32754	0.46253	0.092535	0.067513	0.13166	0.51585	0.086557	0.073527	0.42961	0.05864	0.45064	0.10263	0.53664	0.49918
Meth__cg18414950__PDK3	0.57559	0.035905	0.13752	0.035206	0.37062	0.049554	0.049243	0.046159	0.053902	0.78487	0.045536	0.32094	0.50091	0.084905	0.052308	0.09675	0.054105	0.4463	0.05438	0.039648	0.053913	0.52815	0.19335	0.52729	0.37222	0.49526	0.45847	0.45891	0.20126	0.67356	0.21479	0.2012	0.032379	0.10857	0.52191	0.52751
Meth__cg04280480__PPARA	0.072396	0.16059	0.09332	0.16131	0.031032	0.037632	0.39253	0.1055	0.055901	0.03377	0.080602	0.035783	0.068855	0.019563	0.035448	0.036945	0.05133	0.090192	0.021912	0.026337	0.074867	0.028168	0.063174	0.11463	0.080328	0.76936	0.028444	0.86933	0.068991	0.029113	0.021127	0.025026	0.023378	0.085417	0.051012	0.81161
Meth__cg12589433__AR	0.44381	0.027046	0.81131	0.04076	0.058053	0.052533	0.045763	0.46362	0.28693	0.056102	0.8656	0.94835	0.064918	0.031479	0.24679	0.81144	0.41988	0.2769	0.038885	0.046393	0.046603	0.36332	0.083511	0.58539	0.8606	0.039352	0.053199	0.51362	0.04685	0.4956	0.058625	0.033684	0.53319	0.079243	0.35938	0.55447
Meth__cg25923018__C1orf75	0.051915	0.054633	0.091972	0.04906	0.032163	0.029017	0.047358	0.039298	0.023651	0.025829	0.050447	0.036932	0.050373	0.020789	0.033174	0.034325	0.028036	0.078277	0.021899	0.021501	0.046187	0.044383	0.053847	0.043412	0.26824	0.050157	0.039225	0.067761	0.094396	0.025917	0.024642	0.028491	0.02096	0.093338	0.032712	0.086123
Meth__cg13575604__TCP11L1	0.092065	0.065335	0.096497	0.068663	0.031445	0.055258	0.072585	0.59653	0.057985	0.052238	0.066964	0.040946	0.089495	0.027449	0.046015	0.041569	0.051703	0.078491	0.042351	0.046783	0.08342	0.052119	0.071967	0.042052	0.10266	0.075508	0.082052	0.096929	0.12079	0.044035	0.045172	0.039682	0.029488	0.092767	0.049428	0.075965
Meth__cg00474209__DLL1	0.070914	0.04739	0.16884	0.10244	0.10234	0.052378	0.15539	0.098332	0.10188	0.088023	0.28492	0.1087	0.22306	0.1143	0.11423	0.68988	0.078526	0.15819	0.30549	0.065263	0.06555	0.064966	0.10561	0.073883	0.91921	0.09009	0.18295	0.074466	0.098198	0.053646	0.066968	0.10825	0.066941	0.19434	0.078782	0.13846
Meth__cg03167883__FLJ46365	0.78458	0.066197	0.55375	0.77302	0.85591	0.057775	0.71062	0.83098	0.048406	0.37563	0.78852	0.35561	0.53666	0.08947	0.065444	0.62875	0.07173	0.54714	0.039449	0.75058	0.68991	0.13063	0.060925	0.84019	0.15672	0.27013	0.14494	0.5683	0.11122	0.05162	0.059578	0.82152	0.76068	0.11388	0.59709	0.54082
Meth__cg15410903__GSTO2	0.048314	0.034545	0.046984	0.044874	0.029777	0.034373	0.050244	0.04085	0.023905	0.030299	0.037359	0.04295	0.02905	0.019192	0.033097	0.026101	0.03329	0.081253	0.96044	0.022114	0.036295	0.030858	0.050922	0.025434	0.06643	0.038743	0.041223	0.10586	0.043183	0.62545	0.73808	0.034991	0.020755	0.10372	0.034006	0.083145
Meth__cg04141379__SPATA6	0.029775	0.010845	0.024602	0.012606	0.0071274	0.53341	0.020452	0.017312	0.010467	0.014545	0.015161	0.014884	0.016708	0.01402	0.010154	0.0081301	0.011663	0.022004	0.008299	0.011382	0.01668	0.011645	0.0151	0.0084017	0.60113	0.017648	0.012103	0.016253	0.026512	0.0095958	0.01051	0.0078617	0.010117	0.021481	0.012076	0.017684
Meth__cg03835332__ELL3	0.069965	0.069059	0.11619	0.054079	0.046694	0.051978	0.05682	0.045936	0.057151	0.059999	0.061218	0.050863	0.075359	0.04273	0.050741	0.055444	0.052738	0.13903	0.049908	0.043963	0.062595	0.056626	0.55798	0.045381	0.088843	0.055612	0.082335	0.087146	0.081719	0.048917	0.062759	0.045221	0.045084	0.10186	0.063851	0.083624
Meth__cg18453621__LMX1B	0.023826	0.026754	0.69763	0.014837	0.022385	0.98812	0.015983	0.04518	0.90641	0.019074	0.98526	0.78302	0.068508	0.36068	0.66639	0.028522	0.022112	0.025037	0.015054	0.63657	0.019065	0.02169	0.95988	0.034038	0.96424	0.025118	0.066847	0.044774	0.04503	0.025928	0.46961	0.014805	0.01865	0.059261	0.055622	0.037363
Meth__cg06273903__UBE2A	0.50876	0.030473	0.029101	0.047102	0.045873	0.037544	0.041673	0.38992	0.46559	0.03372	0.027048	0.033867	0.067118	0.042894	0.42792	0.12098	0.054444	0.080298	0.033988	0.023673	0.036364	0.53436	0.045235	0.20599	0.104	0.037425	0.06643	0.3778	0.05552	0.27793	0.049258	0.052609	0.22191	0.21275	0.59511	0.3939
Meth__cg00935364__PKP3	0.033604	0.03193	0.036381	0.031205	0.017792	0.85461	0.03652	0.03304	0.028776	0.032853	0.040203	0.032431	0.042181	0.021635	0.040851	0.024946	0.027307	0.051661	0.022844	0.023269	0.043182	0.041922	0.21931	0.027817	0.066732	0.043074	0.06101	0.072925	0.030773	0.10699	0.023925	0.026104	0.016938	0.050063	0.032647	0.047567
Meth__cg04133652__MLLT6	0.032843	0.057746	0.08567	0.056751	0.040082	0.44755	0.044089	0.070432	0.31849	0.042027	0.044627	0.11246	0.10003	0.027058	0.30016	0.10993	0.069603	0.19784	0.0237	0.03925	0.04137	0.050897	0.12889	0.039199	0.056193	0.048889	0.03876	0.057351	0.043373	0.044936	0.21495	0.06981	0.030065	0.060203	0.084207	0.083466
Meth__cg06899582__SUHW3	0.18531	0.029999	0.03766	0.05743	0.17588	0.02938	0.051442	0.2072	0.035553	0.037528	0.035861	0.044071	0.078063	0.093304	0.049286	0.060237	0.46475	0.069565	0.035505	0.040257	0.040405	0.45433	0.05374	0.46299	0.068238	0.055991	0.16076	0.35773	0.068409	0.46333	0.39419	0.049097	0.086844	0.12754	0.5312	0.50081
Meth__cg07518362__NOTCH2	0.03097	0.027442	0.035026	0.027299	0.00997	0.27741	0.022307	0.022396	0.01314	0.017268	0.023212	0.015352	0.029565	0.014012	0.015175	0.013278	0.012831	0.018879	0.013487	0.018043	0.024454	0.019967	0.026805	0.021084	0.032812	0.01867	0.025708	0.03557	0.024007	0.016317	0.01027	0.010191	0.0089036	0.034182	0.015069	0.026382
Meth__cg18335068__ZNF677	0.42356	0.051365	0.39538	0.95047	0.29806	0.61395	0.93149	0.96116	0.20221	0.80268	0.95149	0.068351	0.40136	0.5159	0.17876	0.66161	0.027996	0.3627	0.041031	0.88043	0.64354	0.036104	0.03575	0.079372	0.66219	0.67995	0.33768	0.90756	0.15916	0.10864	0.098178	0.48366	0.25807	0.2661	0.033494	0.81237
Meth__cg01120308__PICALM	0.10948	0.057783	0.1458	0.69281	0.37181	0.060406	0.80778	0.046029	0.85136	0.50536	0.054097	0.057689	0.17855	0.80186	0.54096	0.047176	0.15733	0.39901	0.039891	0.86158	0.87457	0.53819	0.061223	0.064053	0.075167	0.37706	0.70669	0.5674	0.10477	0.055519	0.059003	0.11608	0.17651	0.22813	0.11697	0.22989
Meth__cg23922708__PARD6G	0.069539	0.09157	0.13307	0.071055	0.030874	0.061108	0.071551	0.082239	0.041123	0.039393	0.11599	0.073643	0.10435	0.026385	0.07222	0.03969	0.090458	0.2202	0.068701	0.030753	0.106	0.31982	0.063343	0.03608	0.23489	0.14412	0.051005	0.10222	0.10107	0.04136	0.14156	0.026106	0.031887	0.096961	0.035971	0.073369
Meth__cg15783027__NFKBIL2	0.30593	0.099826	0.27722	0.10904	0.10175	0.10164	0.057504	0.050488	0.070853	0.12067	0.05886	0.48763	0.26254	0.024468	0.076923	0.23037	0.045312	0.1008	0.027678	0.084644	0.18275	0.069578	0.48282	0.21061	0.28591	0.1224	0.080675	0.26383	0.25	0.039134	0.17354	0.062392	0.052078	0.40856	0.072257	0.2619
Meth__cg20352798__ZP3	0.041083	0.046584	0.044064	0.59501	0.030289	0.83275	0.098987	0.041238	0.031168	0.030487	0.027579	0.03377	0.048712	0.01942	0.028495	0.066212	0.060017	0.043633	0.11667	0.028563	0.038779	0.83371	0.36624	0.03391	0.86693	0.73987	0.058699	0.9406	0.03493	0.031832	0.10437	0.035733	0.041427	0.064449	0.057344	0.050514
Meth__cg01063813__STAT6	0.13023	0.45058	0.13625	0.81693	0.12956	0.33517	0.73455	0.094705	0.12132	0.13913	0.48873	0.11196	0.67635	0.10609	0.3012	0.27737	0.10068	0.24815	0.093581	0.59981	0.83351	0.1114	0.24216	0.097788	0.16682	0.12439	0.17718	0.2161	0.48073	0.11878	0.11278	0.80326	0.094573	0.15044	0.81289	0.092105
Meth__cg25538571__FLJ46365	0.63632	0.049414	0.77616	0.88542	0.86416	0.0529	0.79767	0.85804	0.041181	0.69052	0.8142	0.66443	0.73608	0.11111	0.046419	0.79859	0.054017	0.52236	0.022744	0.78429	0.68038	0.053338	0.029014	0.9035	0.081007	0.26716	0.13779	0.78446	0.069476	0.031466	0.053154	0.91338	0.84342	0.065722	0.89729	0.42107
Meth__cg16509658__GABRB2	0.74283	0.021736	0.8449	0.93785	0.27919	0.92536	0.94182	0.93019	0.025088	0.022518	0.93413	0.33561	0.59539	0.86785	0.088533	0.85192	0.12824	0.060827	0.018508	0.89082	0.94343	0.25624	0.06289	0.04101	0.72049	0.27972	0.33892	0.85873	0.038659	0.037759	0.019834	0.93085	0.84796	0.055162	0.87883	0.070845
Meth__cg18392783__PRKCDBP	0.72279	0.05668	0.10198	0.92889	0.92279	0.39119	0.92838	0.068458	0.092324	0.9204	0.095684	0.097667	0.89594	0.040635	0.10376	0.072654	0.064022	0.1539	0.050832	0.93983	0.9281	0.081283	0.10755	0.064907	0.12885	0.90392	0.11032	0.85172	0.13426	0.060323	0.053102	0.91698	0.91754	0.83479	0.87116	0.42539
Meth__cg09239756__CKAP4	0.051788	0.64307	0.16806	0.36598	0.46991	0.039158	0.7391	0.096446	0.11543	0.5817	0.066964	0.82841	0.32701	0.88083	0.087754	0.19461	0.041916	0.15385	0.055364	0.57502	0.75641	0.10624	0.064356	0.15807	0.072065	0.091	0.15537	0.18458	0.20444	0.047488	0.10132	0.91774	0.047463	0.15739	0.35273	0.11042
Meth__cg12576145__AMMECR1	0.44308	0.031657	0.042054	0.048755	0.082143	0.038323	0.052395	0.3584	0.067821	0.26031	0.037575	0.058747	0.08672	0.032847	0.068102	0.38481	0.31284	0.12758	0.036339	0.050803	0.034284	0.40325	0.1122	0.38514	0.15086	0.060225	0.20653	0.32196	0.061009	0.44187	0.12452	0.041734	0.18882	0.048482	0.48822	0.51303
Meth__cg04650786__OSTM1	0.052843	0.16852	0.073386	0.060003	0.045669	0.053189	0.056717	0.17297	0.047883	0.057639	0.072707	0.053302	0.070786	0.04444	0.061833	0.052279	0.049901	0.063801	0.032272	0.073047	0.054062	0.073963	0.19922	0.04795	0.39271	0.061686	0.067985	0.076304	0.064768	0.036885	0.14163	0.045922	0.045976	0.090601	0.048582	0.18167
Meth__cg21574752__COPG2	0.27238	0.16058	0.057958	0.064118	0.035847	0.056261	0.035502	0.064935	0.06375	0.039412	0.035191	0.062209	0.14042	0.022679	0.07456	0.041764	0.022422	0.03593	0.029391	0.042142	0.037116	0.05966	0.030073	0.13655	0.096154	0.037422	0.20401	0.081326	0.076384	0.030389	0.054367	0.049232	0.054785	0.097234	0.054875	0.23811
Meth__cg22007439__DMRTA1	0.03712	0.023741	0.029821	0.040833	0.02087	0.02305	0.41087	0.017273	0.021698	0.029984	0.022232	0.054474	0.049993	0.016045	0.027587	0.0238	0.46883	0.053432	0.014885	0.021371	0.028183	0.027465	0.028796	0.025417	0.33486	0.033467	0.07628	0.90106	0.037312	0.4819	0.36872	0.027778	0.02259	0.12204	0.032898	0.054599
Meth__cg09581098__SEPT6	0.48864	0.050756	0.050489	0.054866	0.032877	0.026488	0.058522	0.4255	0.081448	0.029147	0.044708	0.026175	0.046104	0.061622	0.085992	0.084861	0.025353	0.046714	0.035525	0.027964	0.039797	0.47774	0.037638	0.44048	0.10616	0.047637	0.26189	0.36843	0.04678	0.059428	0.44458	0.028423	0.070574	0.079485	0.58401	0.71722
Meth__cg25424556__USP51	0.52046	0.021199	0.038343	0.027346	0.36453	0.12866	0.028619	0.0294	0.2222	0.28863	0.030503	0.53006	0.45873	0.51036	0.1952	0.60653	0.5272	0.4111	0.31787	0.02507	0.029845	0.48341	0.26796	0.52912	0.88964	0.32663	0.39349	0.47975	0.46546	0.57989	0.31461	0.030241	0.031285	0.069556	0.49067	0.63651
Meth__cg04603184__RNF182	0.09255	0.095121	0.70777	0.84881	0.27412	0.048968	0.63214	0.26556	0.20033	0.066139	0.152	0.15499	0.7051	0.50134	0.20669	0.3725	0.075031	0.20778	0.21998	0.22624	0.066829	0.426	0.061997	0.17016	0.11003	0.1976	0.087098	0.84969	0.17801	0.034155	0.11237	0.28111	0.86819	0.10928	0.33458	0.18838
Meth__cg10193817__IGSF4	0.050422	0.04554	0.59896	0.046009	0.032754	0.6459	0.057136	0.14848	0.036415	0.041918	0.039782	0.038267	0.14666	0.043466	0.040859	0.087531	0.095038	0.1301	0.035418	0.042102	0.050282	0.058651	0.049955	0.031078	0.90713	0.053709	0.11095	0.58288	0.080589	0.058643	0.065649	0.041797	0.044357	0.092259	0.043948	0.081231
Meth__cg24313770__CGI-115	0.040811	0.031407	0.049518	0.035356	0.033083	0.52669	0.037631	0.031913	0.037861	0.036015	0.040365	0.032959	0.080006	0.033112	0.031933	0.027559	0.036175	0.059049	0.040619	0.039876	0.035614	0.13436	0.041421	0.034356	0.32387	0.04073	0.054875	0.062291	0.075038	0.035106	0.040213	0.026266	0.034317	0.062533	0.036768	0.065957
Meth__cg18962105__RBM4B	0.040059	0.05688	0.21186	0.087876	0.057862	0.45771	0.052519	0.085752	0.075505	0.18826	0.041789	0.1715	0.10805	0.036467	0.10913	0.047504	0.047396	0.066678	0.050444	0.13109	0.052338	0.095127	0.067693	0.21472	0.33993	0.31635	0.24484	0.059786	0.13626	0.044838	0.44871	0.0574	0.045213	0.11001	0.052872	0.24206
Meth__cg22395019__GALNT14	0.09093	0.20756	0.91514	0.77978	0.78238	0.82551	0.54473	0.16611	0.053108	0.081696	0.5513	0.62261	0.66342	0.24323	0.08387	0.35418	0.089934	0.11604	0.16004	0.76682	0.63932	0.16028	0.28946	0.40675	0.42908	0.10975	0.13021	0.078129	0.13996	0.062829	0.069707	0.51551	0.87919	0.13125	0.23173	0.18351
