Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM44PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__NNMT	8.175	4.8089	3.8271	4.1496	8.2242	3.6997	6.7616	3.8335	3.9479	6.2424	3.9401	3.567	3.7123	3.8429	5.4458	7.3319	4.2657	4.5212	4.3755	6.0984	6.0797	6.0012	4.1344	4.306	7.3124	3.8669	3.1296	4.1849	5.5518	4.4702	4.0915	4.3726	7.4463	8.63	7.9916	3.8228	3.5883	5.2161	4.3412	4.1349	4.3434	3.8635
EA_G__MEX3A	6.9085	6.1795	6.7054	8.166	6.6277	7.1697	6.1314	5.6068	8.748	6.6212	4.9417	5.7638	7.7913	6.1806	5.7301	5.8253	8.1566	6.9167	6.2928	7.4725	6.6572	5.8291	6.5326	6.7018	6.635	5.482	5.7599	5.5121	6.251	6.199	6.9799	6.6456	5.51	5.887	5.9952	6.5633	5.9531	5.6607	6.2936	6.2476	5.9397	6.663
EA_G__MAPT	5.7018	5.1448	6.9443	9.1397	5.1979	8.0624	5.874	5.4416	6.2766	5.0627	4.9614	9.0827	5.6293	5.3387	5.1081	5.4602	6.1583	5.7802	6.5011	5.2449	5.3896	5.4343	7.0464	7.1596	5.1361	5.4871	5.6839	6.2724	6.2586	6.3443	5.5775	5.4325	5.4093	5.6854	5.1477	5.3825	6.7056	5.8018	5.8948	7.4277	7.6494	7.3209
EA_G__DAB2	5.6629	6.0574	4.4007	3.9271	9.6669	4.0868	8.4731	7.4827	6.3865	9.0069	10.8663	10.103	5.6433	6.1758	5.0374	6.1662	5.649	4.7337	6.9188	7.4558	7.2915	9.8138	3.729	5.115	9.5508	7.8924	4.6273	8.6039	8.6343	4.8335	5.6841	6.3081	8.1656	5.948	8.5452	6.1107	4.7758	6.5954	4.5375	3.8524	6.5683	3.8021
EA_G__MEST	3.7821	8.4329	8.1036	7.8282	5.1585	8.0538	7.9889	7.5372	8.5749	4.1282	3.9542	8.2015	4.1632	7.7767	7.7725	6.9852	8.4439	7.9736	4.1779	10.2616	3.9201	5.9893	8.2535	8.0721	8.4844	7.003	7.3438	6.4017	5.4987	7.9458	8.3275	9.0529	5.6433	4.3579	7.0465	7.9342	8.2525	4.2239	4.1949	7.1188	7.7275	8.3201
EA_G__KIAA0195	9.2317	8.1195	8.4064	8.8743	7.8452	8.7581	8.4206	7.6728	8.2281	8.5923	7.9728	8.9658	8.4402	7.6967	7.5845	7.5539	8.2679	8.6972	8.2867	8.4437	8.0899	7.5258	9.0136	9.5723	7.8019	7.7026	10.6093	7.8048	7.7409	9.2293	8.3702	8.7163	8.6271	7.8546	7.5508	7.9325	8.6568	8.1096	8.3298	9.5459	9.2109	9.2433
EA_G__ATP7B	6.2045	5.8567	8.4859	7.6758	5.5861	8.0376	5.5475	6.1909	6.562	5.3359	7.9776	9.3079	6.3782	5.2183	4.7565	5.8059	7.0642	5.7551	5.9086	5.888	5.2875	4.8425	6.5883	6.4678	6.1273	5.1534	9.4854	8.2401	6.3691	5.8082	6.1943	6.645	6.3643	5.7143	5.6434	6.7281	6.8686	6.1749	6.2514	9.3683	7.6427	6.5602
EA_G__KLRG2	6.9239	8.089	8.4057	7.5283	6.4	9.6446	6.7389	7.8073	7.8405	6.0509	7.7071	6.9473	6.3701	7.4151	7.5596	6.6501	7.6893	8.4247	7.0207	6.3157	7.1726	6.2275	7.2573	7.355	6.4254	6.1478	7.9256	9.0586	6.6379	8.2741	7.1171	8.7105	6.5291	6.5715	6.701	8.0547	7.3797	6.6918	7.2045	7.9626	8.9974	8.1477
EA_G__MMP2	4.619	4.7727	4.5862	4.3656	4.9219	4.4867	6.4642	7.6929	5.7732	10.9422	4.4826	4.4733	4.9088	6.0595	5.4077	5.6186	4.9253	4.9941	4.6012	7.4544	5.7767	10.3265	5.0395	4.9834	9.8229	4.6176	4.5248	5.481	7.0672	5.6996	6.143	5.2895	9.6213	7.411	9.4531	4.7076	4.6315	5.1411	4.8119	5.1935	4.914	4.563
EA_G__SH3RF2	7.3729	6.0867	6.2286	5.9256	5.639	5.3667	7.9792	7.43	6.1878	6.4714	6.1167	6.2721	5.2171	7.5054	8.7813	6.9138	5.9921	6.4435	6.5822	6.3956	7.0495	7.113	5.5176	5.8152	5.7632	7.6185	6.5312	6.7045	5.9852	6.1989	6.9096	5.8138	8.4877	6.646	6.2157	6.4112	6.446	6.9071	7.2445	5.9877	6.7448	5.5621
EA_G__PRKAR2B	3.6639	4.751	6.673	7.3892	4.2612	5.5339	5.7103	6.1629	5.6519	5.6035	7.3352	8.2984	6.7023	3.924	7.0818	5.0653	4.5253	7.3375	6.4084	5.38	8.6228	5.2452	7.008	6.7479	6.3269	5.5951	6.3291	4.8747	6.2449	4.7273	7.7586	5.1911	6.4866	4.6942	3.6612	6.1377	8.1839	5.7235	5.3886	6.9424	6.823	6.4128
EA_G__LGALS1	9.5939	7.899	6.574	9.6496	11.277	11.2005	11.4139	10.6348	10.804	11.7239	8.5854	10.1779	10.2933	8.0472	9.9389	9.7448	9.6952	6.6399	9.8953	11.0029	10.3007	12.1505	8.6291	8.5415	11.8084	10.9971	7.1961	10.4959	10.8353	9.9326	9.5556	8.5912	11.5902	10.2838	11.5369	6.7362	11.2416	9.4367	10.1992	8.4422	6.9899	7.1286
EA_G__ISOC1	7.1234	7.7312	8.4881	7.9468	7.1505	10.1811	6.5101	6.8003	8.3692	6.4391	7.8247	9.2481	8.0613	7.4609	7.6971	7.3787	7.5518	7.7585	7.7394	6.4754	6.4981	7.13	9.3042	9.2846	6.4466	8.0524	8.6912	8.875	7.0379	8.4946	7.4928	7.982	7.6054	7.2698	7.2342	8.2947	8.6735	7.1917	8.0935	7.8404	9.2017	8.2137
EA_G__ELK3	6.214	5.7875	5.0173	5.7208	6.3793	6.0668	6.8557	6.2242	5.6844	6.4943	6.0164	6.0869	6.0582	6.9747	5.8821	6.9185	5.3533	4.5117	6.5217	6.7734	6.2157	7.2924	6.2209	5.6102	6.1929	8.1946	5.6704	5.4659	6.838	5.4923	5.619	6.0903	8.2677	6.319	8.0026	5.7072	5.8062	5.9615	5.5961	5.5168	5.4524	5.4035
EA_G__CDC42EP3	9.0257	7.1684	6.4466	5.5439	6.0591	5.2021	8.0448	8.6114	5.8992	7.0122	6.1762	6.0531	6.2691	8.2591	7.7353	7.5788	6.1763	7.0087	7.4932	6.3863	6.5898	9.4579	5.4725	5.3958	7.5972	9.2612	6.0781	7.1779	8.1474	5.7903	7.7506	7.6114	6.5633	7.1839	7.8793	6.2241	6.0275	8.4548	6.881	6.5467	5.3772	5.4262
EA_G__KCNK5	7.1892	7.6768	6.3405	9.3414	4.9843	8.6618	6.0942	7.4348	7.2036	5.7724	4.9976	9.8878	9.3335	7.2929	8.1296	6.3744	5.5838	8.5578	6.7799	6.0831	7.8641	4.7487	6.6911	6.548	5.8044	6.3282	6.2406	10.3354	5.9231	5.7042	8.5972	7.4838	5.9933	6.7772	5.3122	5.9738	5.4865	5.8335	5.4823	9.2462	5.0166	6.0554
EA_G__RND3	10.1573	7.8999	6.1271	6.4514	9.3787	6.5605	8.5919	9.1991	7.1835	8.7782	9.0163	5.1647	6.6321	8.5989	9.4839	9.9065	8.1357	10.6716	9.4119	9.059	9.3223	10.8501	8.1155	8.1217	9.0663	9.5673	7.2105	7.5672	10.0562	7.4692	8.5887	7.9216	7.9453	9.0072	8.2004	7.6541	7.0135	8.1492	7.8509	4.3407	5.9197	5.8057
EA_G__FGFR2	7.7392	7.3787	4.3905	6.6451	4.9796	4.4323	5.1434	7.4629	5.9231	6.4663	4.0039	7.5098	8.9675	6.1736	7.0465	4.5214	4.3106	9.1325	6.0005	5.084	5.195	4.1274	5.979	6.4101	4.1797	4.0741	5.4025	8.4966	6.4884	4.8135	5.7645	7.4323	4.5797	5.3091	4.0944	5.499	5.5662	11.9795	7.5927	5.2593	5.514	6.6464
EA_G__GFRA1	4.3521	4.1412	5.4443	10.8364	10.5529	7.342	8.0869	4.1267	9.2337	4.7233	4.2298	5.6427	4.5953	4.5522	5.9682	4.5526	4.3163	4.3998	7.365	7.0256	4.3539	4.3863	9.5023	10.8982	5.6593	4.3427	9.6117	7.3103	7.8226	5.0388	3.9902	4.5726	4.6636	4.5616	4.5873	4.644	8.3473	4.9426	4.8111	4.3584	4.6337	5.7545
EA_G__KIAA1754	5.6979	6.2297	5.8518	5.2852	6.9463	5.4686	7.0273	6.2887	5.9089	7.0913	6.134	4.8143	5.9613	7.0933	6.3267	6.952	5.9693	5.6172	6.357	5.9586	6.7698	8.4302	6.1948	5.7878	6.2668	7.5315	5.084	5.6017	7.639	5.8272	6.4147	6.0504	8.4361	6.3043	7.7256	7.0121	5.2602	5.8607	5.6484	5.4141	5.5	5.3359
SNP__CFHL4	0.651	0.5	0.706	0.482	0.492	0.442	0.058	2.355	0.418	-2.181	0.09	-0.838	0.434	0.253	0.026	0.136	-1.672	0.176	0.221	2.628	-2.421	-0.061	0.408	0.351	0.315	0.099	2.833	0.39	0.207	0.745	0.152	0.263	-0.264	-1.268	0	0.029	0.502	0.291	0.282	1.222	0.569	-2.009
EA_G__EPHA2	9.1154	8.5414	7.3461	6.8444	9.4567	7.1665	9.5499	8.6973	7.4528	7.6542	8.0337	6.4815	6.9884	9.9389	10.0314	10.1517	7.8157	8.3948	9.354	9.0916	8.7865	9.6476	7.7947	7.5449	9.4881	10.4042	6.9463	7.1418	9.3141	7.4838	8.4318	8.3671	8.6969	9.6151	9.4186	8.7254	7.0295	7.5725	7.0417	7.2961	6.8289	7.5115
EA_G__TPD52	5.9209	8.4542	7.0653	6.6962	5.3719	6.8489	4.7685	6.829	4.9629	5.1704	7.2799	6.5672	7.0081	5.6315	6.5702	6.5929	6.3041	6.491	5.8988	5.8681	5.9646	3.9806	6.3341	6.808	4.2657	5.3093	6.894	6.7619	5.0152	6.1522	5.8764	8.3772	5.8053	5.8745	5.9066	6.8577	6.7995	6.5493	5.7787	7.5175	7.2785	6.8565
EA_G__HIG2	7.7193	10.3182	9.7982	8.3094	7.1806	8.8925	7.3002	6.8114	9.2443	7.6533	8.9429	8.8777	8.7612	7.0476	7.034	6.886	8.9602	9.728	7.6702	6.7164	7.1713	7.7054	9.4173	8.7386	7.3557	7.2633	9.5566	8.4201	7.5815	8.6189	8.0205	9.6608	7.134	7.2611	7.6784	8.9239	8.4988	8.4674	9.1108	7.9012	8.5845	8.2687
SNP__LOC646227	0.007	-2.69	0.102	0.164	0.226	-0.061	-1.058	-2.097	-1.775	0.118	-0.189	-1.061	0.016	-0.155	-1.532	1.382	0.039	-0.318	-2.287	-0.019	-0.26	0.33	0.264	0.317	0.414	0.366	-0.158	0.3	-2.082	-1.661	0.421	-1.859	0.7	-0.195	0.037	-2.05	0.044	0.217	0.053	0.104	-0.013	0.319
EA_G__TRIM6	7.2488	7.7506	6.076	6.0834	5.086	4.942	6.7306	4.6371	5.6672	5.705	6.0619	6.1178	4.8287	5.5934	7.0117	8.8319	5.6384	7.1758	5.1548	6.4833	6.7519	6.4664	4.9787	4.5116	6.648	5.7892	5.3345	7.1478	6.3921	4.8862	6.9166	7.1092	9.3287	5.2693	5.5288	4.6399	7.8356	7.2504	5.2099	4.6486	5.8591	4.822
SNP__BTNL3	0.007	-2.69	0.102	0.164	0.226	-0.061	-1.058	-2.097	-1.775	0.118	-0.189	-1.061	0.016	-0.155	-1.532	1.382	0.039	-0.318	-2.287	-0.019	-0.26	0.33	0.264	0.317	0.414	0.366	-0.158	0.3	-2.082	-1.661	0.421	-1.859	0.7	-0.195	0.037	-2.05	0.044	0.217	0.053	0.104	-0.013	0.319
EA_G__MLLT11	8.007	6.2008	5.7109	6.3736	8.5988	6.3349	7.4033	5.8992	6.8591	6.23	6.483	6.4591	6.2006	8.6925	5.9117	5.5161	7.3871	5.3775	5.7241	9.0878	6.1603	7.701	6.562	7.0744	9.0157	6.7845	8.4846	7.7671	8.6984	7.8246	6.7332	5.9092	7.6861	6.9994	8.4946	5.9528	6.9403	6.7688	7.357	6.6726	6.1401	5.5694
EA_G__ANXA1	9.3451	3.6072	4.0476	6.3945	10.2017	3.5434	9.8127	10.6675	5.6443	9.7178	5.7747	3.241	9.4661	10.3797	10.7509	10.8582	5.3532	5.1369	10.5083	10.031	11.0436	10.0326	3.448	3.7029	10.0666	9.9841	4.7581	8.4359	10.6138	3.764	9.3598	5.1137	11.0653	10.5969	9.902	8.9069	3.3449	8.2487	5.7561	3.9458	3.0291	3.6732
EA_G__EVI1	5.6366	5.0811	4.0497	4.4005	3.903	4.6795	6.9382	4.5918	3.9043	4.6136	4.1728	3.8124	3.7477	6.6586	6.375	6.937	6.7405	7.217	5.6055	3.7139	7.5972	6.3319	5.4193	5.4397	4.2674	7.6012	5.1023	5.962	4.6745	4.6646	3.4113	5.7564	3.979	4.8133	7.3787	4.8373	6.4731	6.4312	6.407	5.5098	5.844	4.9089
EA_G__FBXL20	7.3867	9.6977	9.7985	7.0258	6.0861	7.4454	6.0919	6.098	4.2264	6.3497	6.3422	6.6481	6.4926	5.3478	6.6244	6.0367	8.3953	6.3479	6.8238	7.353	5.6801	5.9878	6.0109	6.1433	6.7504	5.574	7.2347	6.7995	6.4214	6.3133	6.8288	9.2947	6.6314	6.4588	6.3346	6.8073	6.273	6.5619	7.0911	9.6044	6.5275	6.7714
