Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC3153	HCC38	HCC70	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg16990174__RYBP	0.056658	0.063798	0.066485	0.07787	0.60388	0.057451	0.059225	0.090207	0.059546	0.13165	0.28791	0.12151	0.71702	0.13511	0.086082	0.062061	0.070735	0.093539	0.51263	0.075192	0.063947	0.096454	0.49865	0.098145	0.061389	0.12318	0.060972	0.056229	0.074224
Meth__cg21663122__HIST1H2BH	0.39097	0.068139	0.20817	0.054344	0.25687	0.85333	0.79982	0.081577	0.11022	0.12619	0.27584	0.052244	0.055105	0.19455	0.059593	0.083167	0.073784	0.46794	0.83002	0.10047	0.17042	0.16508	0.045401	0.055738	0.81181	0.088995	0.082953	0.81416	0.84299
RS_G2467__MMP9__MMP9	0.3352	4.7331	0	1.8897	7.2801	1.3299	2.8432	1.2458	3.165	6.2936	0.93467	3.1581	0.63889	0.45168	3.8095	3.1157	2.482	1.5826	0	1.3653	0	2.3144	0.54164	4.3212	3.8646	1.7067	1.7646	2.9642	1.4825
RS_G12795__NPNT__NPNT	7.6213	2.5915	4.7165	6.7604	0	9.7292	6.8894	11.2166	9.5247	6.5407	4.0569	6.2473	0.95379	7.1449	7.0112	6.9973	6.7223	3.7574	0.55913	6.476	7.469	2.3733	0.20857	2.0193	2.0589	3.9583	5.7569	7.4204	3.5592
Meth__cg02905245__URB	0.62038	0.090416	0.68199	0.44374	0.069683	0.49587	0.58756	0.11815	0.087965	0.067894	0.54506	0.084349	0.091989	0.10616	0.19756	0.22478	0.40206	0.075363	0.1314	0.29132	0.59467	0.1586	0.070355	0.0825	0.3781	0.12396	0.61983	0.55223	0.57352
Meth__cg03933322__CSAD	0.20299	0.18652	0.3121	0.061424	0.11079	0.2467	0.96276	0.16347	0.37706	0.071012	0.13559	0.057476	0.088347	0.30855	0.18331	0.26353	0.25669	0.31524	0.10291	0.18069	0.23947	0.082491	0.16355	0.072297	0.08012	0.1283	0.073333	0.070257	0.17652
Meth__cg13530039__CHRM1	0.06439	0.082143	0.094575	0.14846	0.48754	0.12825	0.054517	0.097508	0.25743	0.58388	0.57481	0.30675	0.078571	0.087242	0.14709	0.39049	0.6152	0.10117	0.13998	0.092443	0.13777	0.19518	0.81592	0.51677	0.67163	0.22987	0.3953	0.084013	0.072868
Meth__cg20131968__CCDC47	0.075696	0.049002	0.10157	0.47823	0.27086	0.14443	0.16897	0.39166	0.085405	0.10526	0.10726	0.075864	0.037383	0.12556	0.054949	0.069752	0.11687	0.78444	0.26394	0.084914	0.081447	0.064599	0.035906	0.059837	0.025716	0.057344	0.072253	0.08221	0.29835
Meth__cg12078929__SERHL	0.013216	0.028747	0.86183	0.98834	0.98911	0.13865	0.62445	0.98092	0.014956	0.96952	0.97087	0.93122	0.98463	0.57647	0.99104	0.98778	0.15595	0.010608	0.96872	0.98868	0.9794	0.75361	0.22278	0.031379	0.28798	0.031542	0.014384	0.016963	0.019912
Meth__cg17327492__FSHR	0.85778	0.073968	0.87912	0.71675	0.089003	0.83817	0.84821	0.28692	0.68529	0.093849	0.32314	0.35796	0.83475	0.38181	0.061077	0.09776	0.87542	0.8498	0.092186	0.49684	0.55206	0.12072	0.85142	0.81418	0.098994	0.19494	0.084184	0.53933	0.50964
Meth__cg23721140__ZNF514	0.043708	0.019812	0.029179	0.018096	0.026533	0.031936	0.071163	0.027182	0.024779	0.018625	0.035588	0.031819	0.01987	0.05912	0.018238	0.029429	0.031795	0.025087	0.20759	0.032947	0.18246	0.038409	0.021452	0.027453	0.013379	0.1284	0.031128	0.037598	0.028503
Meth__cg03548857__FFAR2	0.079875	0.087769	0.080786	0.10593	0.77832	0.081151	0.817	0.079142	0.84925	0.76767	0.50164	0.89507	0.94083	0.14705	0.13614	0.15012	0.10788	0.18836	0.69346	0.095972	0.16752	0.099801	0.88278	0.49872	0.22451	0.24822	0.083093	0.095078	0.076451
Meth__cg06313930__MAGEA5	0.41441	0.32612	0.73324	0.060529	0.098086	0.75768	0.52998	0.18666	0.71856	0.65655	0.79877	0.30338	0.20313	0.18037	0.073844	0.12191	0.059739	0.53274	0.3048	0.088387	0.82309	0.25561	0.03469	0.82282	0.084221	0.24187	0.55919	0.40612	0.53338
Meth__cg02433671__RGL3	0.59803	0.035935	0.030846	0.97968	0.97669	0.63179	0.96479	0.040266	0.94744	0.98638	0.96664	0.96784	0.66883	0.11398	0.98044	0.9721	0.97273	0.97763	0.076197	0.96592	0.065528	0.085685	0.63638	0.95695	0.97652	0.059363	0.041598	0.042096	0.035875
Meth__cg25025243__GSTP1	0.16491	0.13901	0.11518	0.15738	0.85582	0.13119	0.12573	0.13017	0.13622	0.31532	0.30233	0.5543	0.61085	0.28177	0.11601	0.16284	0.064457	0.11955	0.7621	0.15389	0.21482	0.24667	0.33212	0.35516	0.19528	0.13169	0.15115	0.094258	0.077987
Meth__cg08463485__ILDR1	0.068568	0.76778	0.21569	0.40164	0.77032	0.17638	0.052549	0.084474	0.86962	0.37368	0.49493	0.86056	0.51124	0.14138	0.50987	0.21247	0.34238	0.084956	0.68018	0.063174	0.14954	0.34588	0.36047	0.059145	0.053258	0.07559	0.067915	0.071669	0.40014
Meth__cg06254453__HIST1H3F	0.40691	0.038837	0.19222	0.039745	0.24472	0.84589	0.88613	0.051801	0.052925	0.058889	0.1148	0.033897	0.042371	0.11937	0.038264	0.043404	0.045684	0.48663	0.83213	0.062314	0.048091	0.11035	0.030673	0.040229	0.85963	0.097537	0.052636	0.84876	0.84889
Meth__cg25549413__ZNF688	0.08343	0.065381	0.068923	0.023931	0.036281	0.050576	0.12648	0.065167	0.097204	0.058505	0.051621	0.047893	0.06119	0.084874	0.14815	0.068925	0.061319	0.071461	0.084952	0.05447	0.079946	0.058848	0.042742	0.042814	0.033709	0.043966	0.062363	0.062167	0.048442
Meth__cg00653387__PTN	0.89716	0.045683	0.79197	0.053582	0.72814	0.91778	0.88911	0.053831	0.79862	0.11823	0.29949	0.64109	0.15572	0.16559	0.15578	0.31242	0.18561	0.69463	0.2767	0.42605	0.85302	0.076012	0.09352	0.42925	0.27582	0.15375	0.058323	0.087615	0.35434
Meth__cg13959523__CHST8	0.85996	0.039573	0.049191	0.036595	0.18927	0.46472	0.70799	0.037418	0.81051	0.18785	0.10946	0.14281	0.098226	0.10588	0.04191	0.12565	0.87329	0.059168	0.44803	0.039927	0.71441	0.034727	0.033522	0.038504	0.29026	0.094459	0.54091	0.51636	0.36706
Meth__cg15520279__HOXD8	0.98144	0.018905	0.023171	0.020308	0.89328	0.026691	0.020341	0.034736	0.50134	0.13261	0.97556	0.025898	0.41585	0.060801	0.015127	0.027154	0.90997	0.98442	0.96206	0.97679	0.43635	0.040184	0.62465	0.69662	0.014354	0.86949	0.97762	0.98597	0.98279
Meth__cg08724563__RAX	0.1431	0.043422	0.1511	0.09706	0.086692	0.2094	0.40924	0.053441	0.37822	0.063287	0.096417	0.069422	0.039329	0.080651	0.044465	0.049682	0.5772	0.8604	0.16795	0.055255	0.11848	0.10343	0.045847	0.043203	0.15467	0.052484	0.059403	0.045041	0.10929
Meth__cg16431978__KRTAP13-3	0.91546	0.11336	0.8727	0.56309	0.1856	0.65723	0.96686	0.1252	0.78814	0.15811	0.14538	0.4421	0.12492	0.17376	0.16782	0.12839	0.20757	0.67848	0.11816	0.12601	0.14899	0.11274	0.12642	0.60003	0.092801	0.099415	0.11294	0.29879	0.41199
Meth__cg11953868__WFDC10A	0.059146	0.038551	0.38006	0.035308	0.043733	0.052412	0.16878	0.069179	0.094522	0.04771	0.079077	0.051404	0.032378	0.059715	0.038951	0.053248	0.64397	0.027934	0.059852	0.050521	0.11639	0.03257	0.046575	0.043033	0.039638	0.042865	0.057131	0.038178	0.028133
Meth__cg19759064__PHKG1	0.019916	0.017709	0.20044	0.01781	0.018986	0.021363	0.38986	0.019038	0.019541	0.026409	0.027098	0.018599	0.01328	0.046314	0.026653	0.036318	0.553	0.091717	0.033122	0.026063	0.034228	0.033551	0.01832	0.68588	0.018199	0.028411	0.03078	0.018764	0.023156
RS_G21888__SLC44A4__SLC44A4	10.1997	2.5993	3.2179	3.4584	0.35858	1.975	0.68161	1.6234	1.0694	1.3511	0.95468	0.2895	0.70528	5.6633	1.3571	1.618	5.8168	4.6087	0.18325	5.3455	5.4773	5.7888	0.4787	1.0129	1.277	2.3329	4.2833	8.7733	7.8269
Meth__cg14950072__LAMA1	0.86176	0.061177	0.46649	0.086907	0.41559	0.81447	0.8267	0.3244	0.87628	0.47221	0.25307	0.43897	0.18504	0.096697	0.5211	0.36267	0.29576	0.84503	0.40285	0.68601	0.7364	0.13232	0.25459	0.054838	0.37771	0.39477	0.75061	0.49819	0.18975
Meth__cg22155248__TAPBPL	0.073721	0.77379	0.076622	0.075858	0.85085	0.42446	0.12346	0.12219	0.083322	0.078253	0.76807	0.7318	0.086836	0.16227	0.56588	0.12621	0.062661	0.074634	0.14823	0.06617	0.17348	0.62713	0.35593	0.28339	0.67116	0.19446	0.12456	0.32294	0.67451
Meth__cg13784855__PVT1	0.043054	0.035733	0.055166	0.02556	0.039094	0.038652	0.02766	0.048982	0.037943	0.029255	0.054941	0.037221	0.027351	0.18715	0.027929	0.048702	0.061362	0.083664	0.070521	0.24427	0.061782	0.063238	0.030989	0.030337	0.026112	0.049696	0.039633	0.033321	0.037905
Meth__cg02286642__ZNF254	0.1164	0.44345	0.11191	0.082791	0.08069	0.256	0.92106	0.89968	0.86589	0.15768	0.41892	0.075045	0.099595	0.13541	0.071952	0.078075	0.40714	0.091872	0.11481	0.091965	0.86098	0.57422	0.078352	0.67014	0.88917	0.17217	0.61104	0.77955	0.81618
Meth__cg26303908__GNPDA2	0.046787	0.094929	0.082929	0.066554	0.065481	0.045806	0.12977	0.082106	0.070523	0.11101	0.68126	0.063487	0.064933	0.12935	0.73534	0.47318	0.070343	0.04184	0.082711	0.05912	0.08122	0.18774	0.063687	0.056992	0.92151	0.11028	0.078555	0.058217	0.05019
Meth__cg15812957__VCY	0.42279	0.03425	0.76853	0.14302	0.57044	0.66698	0.68994	0.12573	0.47066	0.48983	0.55757	0.054054	0.11915	0.051702	0.067445	0.18313	0.5625	0.67216	0.17733	0.13459	0.36418	0.060613	0.053478	0.23819	0.26113	0.092133	0.87162	0.22573	0.41281
Meth__cg02007844__KCNJ8	0.53156	0.039699	0.76922	0.63415	0.77911	0.88652	0.95577	0.061965	0.21157	0.19669	0.65826	0.59515	0.068051	0.14047	0.19454	0.083751	0.92715	0.73395	0.64901	0.87856	0.7086	0.17293	0.070813	0.30372	0.80853	0.093773	0.51428	0.64753	0.70996
Meth__cg06044900__GNAS	0.058594	0.025734	0.03301	0.022071	0.017492	0.048381	0.026248	0.04038	0.031569	0.027252	0.02343	0.034415	0.023337	0.045496	0.022662	0.025373	0.29176	0.022795	0.05578	0.042029	0.088565	0.069881	0.029319	0.019174	0.014607	0.071113	0.025859	0.028086	0.029544
RS_G8446__RCN3__RCN3	2.5656	5.646	0.1561	1.0231	6.0513	0.50087	6.6643	1.7805	6.5676	4.1885	2.6545	3.5399	4.4844	5.4142	4.8105	2.497	2.3104	2.3304	0.46976	1.1202	1.2148	4.6915	9.0074	0	0.54176	3.3249	2.4497	3.0716	0
Meth__cg12348970__SLC24A2	0.83027	0.061648	0.79221	0.62597	0.10536	0.83973	0.87984	0.42715	0.82377	0.65527	0.40965	0.32367	0.84294	0.0694	0.10511	0.11404	0.85765	0.86772	0.1592	0.16296	0.52326	0.12852	0.37765	0.78508	0.18968	0.12134	0.12283	0.50647	0.49118
Meth__cg13948987__HCRTR2	0.67377	0.022729	0.66716	0.36555	0.81381	0.9165	0.98124	0.030035	0.4965	0.04801	0.33855	0.52767	0.032308	0.069981	0.40848	0.85279	0.88684	0.9529	0.82127	0.92598	0.5418	0.062438	0.019771	0.39618	0.52506	0.020242	0.38517	0.31672	0.053469
Meth__cg23307338__MS4A12	0.82011	0.065797	0.878	0.79959	0.063929	0.74208	0.64687	0.1826	0.69952	0.073604	0.70437	0.27083	0.2795	0.10716	0.25695	0.22124	0.82485	0.81949	0.12099	0.59733	0.59696	0.13415	0.27858	0.064525	0.60982	0.10355	0.83054	0.74878	0.6684
RS_G15100__GLDC__GLDC	0.26029	7.2337	0.40726	4.2944	3.4418	1.2426	4.4118	4.7534	2.0712	4.4029	3.9346	6.0442	2.116	0.61603	2.7527	2.1304	4.7021	3.7115	0.45811	0.48042	0	7.546	3.6024	1.4389	7.1951	4.7089	7.464	4.8515	3.1124
Meth__cg05661838__MOS	0.55064	0.025489	0.78511	0.18028	0.43625	0.58524	0.83057	0.22479	0.6783	0.24283	0.33786	0.69459	0.13011	0.11346	0.27015	0.2424	0.065474	0.63439	0.46893	0.096899	0.32947	0.058949	0.084129	0.48926	0.46875	0.10784	0.60336	0.36567	0.58984
Meth__cg15713086__C20orf108	0.1217	0.02196	0.64021	0.084087	0.12515	0.11463	0.74774	0.034101	0.082733	0.080357	0.095018	0.063567	0.077366	0.15293	0.054678	0.041069	0.071104	0.057492	0.15553	0.31447	0.34155	0.047619	0.080335	0.078314	0.095024	0.10043	0.052946	0.10481	0.22016
Meth__cg11563860__CNTN4	0.83424	0.057111	0.71136	0.47753	0.61884	0.8342	0.62559	0.07344	0.82098	0.51049	0.17296	0.53723	0.35958	0.19589	0.1294	0.3207	0.51431	0.80234	0.23269	0.063268	0.79616	0.06166	0.075088	0.42325	0.17316	0.25623	0.079894	0.80379	0.65853
Meth__cg07014174__KRTAP11-1	0.80108	0.066227	0.61858	0.40092	0.083158	0.59849	0.86289	0.075982	0.69621	0.56912	0.16808	0.42553	0.2621	0.16827	0.047993	0.10855	0.4179	0.79426	0.17119	0.092457	0.25505	0.087419	0.065658	0.41576	0.094361	0.11243	0.06405	0.26889	0.3176
RS_G4157__PDE10A__PDE10A	0.24391	1.0968	0.56945	1.6686	0	1.8322	1.7856	0	3.5858	0.10121	0.86591	0.36315	4.6507	3.6118	0.18602	0.92933	6.2747	0.82034	4.6996	0.24783	0.22552	0.35049	0	2.3777	0	0	3.1557	2.3037	1.2322
RS_G7729__STRA6__STRA6	3.1212	4.9445	0.43073	2.7663	2.5699	0.6656	0.51212	0	0.29404	4.9074	6.5711	5.3369	5.7205	8.8652	1.7416	1.1844	0.48367	3.9368	0.44146	1.3397	0	4.7034	0.16212	7.6926	2.7278	0.73423	3.3866	0	0.24733
Meth__cg15642035__C8ORFK32	0.77549	0.20043	0.8502	0.0679	0.11184	0.16871	0.5029	0.1487	0.80533	0.17131	0.34635	0.1899	0.23436	0.20348	0.11913	0.15249	0.57991	0.91675	0.24373	0.13696	0.18506	0.31085	0.43278	0.1562	0.14307	0.16595	0.34655	0.28151	0.4299
Meth__cg01798589__STAC	0.40775	0.055888	0.73801	0.17076	0.1859	0.5078	0.18959	0.25612	0.49614	0.3848	0.37017	0.40438	0.098271	0.15934	0.27297	0.26719	0.13715	0.91251	0.07462	0.26199	0.20794	0.090772	0.042413	0.39363	0.10829	0.065069	0.12448	0.77931	0.38727
Meth__cg01539186__ZNF336	0.08821	0.049691	0.25337	0.057926	0.071883	0.11554	0.33543	0.090018	0.04524	0.62791	0.27415	0.076476	0.068981	0.10377	0.039696	0.092442	0.096786	0.067983	0.49676	0.11251	0.29392	0.063511	0.068414	0.06989	0.093441	0.089138	0.14441	0.10243	0.11136
Meth__cg16085042__HSP90B1	0.055566	0.045474	0.05123	0.037598	0.048438	0.057207	0.46025	0.058797	0.048245	0.042776	0.090512	0.049433	0.044769	0.12327	0.036481	0.053996	0.049083	0.045157	0.074355	0.054488	0.14595	0.069979	0.047545	0.048434	0.041619	0.05961	0.051895	0.052153	0.056703
Meth__cg05709923__SAMM50	0.069541	0.067979	0.068116	0.038532	0.048796	0.5361	0.069942	0.052187	0.082269	0.036834	0.080476	0.036755	0.062212	0.092665	0.045181	0.064903	0.061329	0.046132	0.081541	0.065458	0.13976	0.066435	0.048959	0.046632	0.051854	0.063889	0.073211	0.042895	0.054694
Meth__cg10872209__ARL3	0.071382	0.17389	0.83849	0.42853	0.18749	0.50659	0.14587	0.54816	0.12925	0.64322	0.53213	0.16805	0.14879	0.23764	0.10638	0.10366	0.71165	0.20892	0.45719	0.5736	0.21484	0.17577	0.050043	0.43808	0.042949	0.061275	0.81327	0.18969	0.12074
Meth__cg25510610__WHSC1L1	0.065297	0.84063	0.2792	0.10846	0.094192	0.093313	0.1183	0.083563	0.038154	0.14409	0.55695	0.16021	0.040709	0.14851	0.091227	0.12076	0.063158	0.069904	0.068132	0.051708	0.062059	0.45036	0.059879	0.05782	0.097326	0.18265	0.085613	0.046833	0.1329
Meth__cg17074212__ZNF215	0.97205	0.068662	0.75008	0.20639	0.45317	0.93288	0.1933	0.072445	0.09769	0.14137	0.19139	0.090379	0.051815	0.19783	0.16188	0.21831	0.10083	0.92322	0.13321	0.3232	0.62155	0.037302	0.051181	0.076269	0.73017	0.066667	0.31298	0.4701	0.48267
Meth__cg07706362__ZNF91	0.062832	0.02389	0.063875	0.052571	0.049325	0.15351	0.44974	0.25966	0.25536	0.094027	0.1118	0.095408	0.056635	0.068056	0.077313	0.07734	0.082076	0.073781	0.14128	0.071208	0.33607	0.057427	0.06927	0.21862	0.2585	0.22469	0.17681	0.20092	0.36876
Meth__cg01125463__PEX6	0.043703	0.052371	0.10252	0.36419	0.26509	0.084644	0.039857	0.064592	0.13233	0.37773	0.48548	0.16993	0.061911	0.096372	0.69634	0.57856	0.1292	0.088202	0.12615	0.34223	0.058529	0.1696	0.046288	0.049519	0.052268	0.10577	0.13488	0.048368	0.037725
Meth__cg22919370__HIST1H3I	0.37939	0.12404	0.69837	0.42974	0.50362	0.43694	0.64234	0.68066	0.67206	0.18058	0.62628	0.064812	0.076887	0.14063	0.12992	0.14669	0.62225	0.72649	0.38346	0.14632	0.33191	0.30338	0.1052	0.065707	0.58408	0.27637	0.12602	0.69622	0.60405
Meth__cg06284322__TAF7	0.21159	0.040821	0.14696	0.07168	0.053418	0.060062	0.080219	0.11468	0.48487	0.052048	0.11771	0.12388	0.076612	0.09344	0.039974	0.076315	0.06138	0.071155	0.078851	0.098032	0.079383	0.1087	0.045881	0.079325	0.066627	0.065205	0.096681	0.081933	0.074691
Meth__cg20588045__PCDH15	0.86773	0.073037	0.48757	0.082664	0.57246	0.30279	0.74906	0.098364	0.52268	0.14969	0.43539	0.23222	0.1647	0.23302	0.10906	0.087918	0.87976	0.11643	0.62588	0.16553	0.25297	0.13664	0.10254	0.68032	0.39018	0.38457	0.21544	0.21876	0.22444
Meth__cg19403377__TMEM100	0.87205	0.094664	0.78856	0.77704	0.20371	0.46617	0.901	0.27825	0.25978	0.062813	0.80512	0.33581	0.23041	0.54727	0.054333	0.28625	0.87037	0.44726	0.35088	0.67378	0.2951	0.11718	0.062909	0.088193	0.57393	0.11334	0.086193	0.73487	0.71479
RS_G2254__SEPT3__SEPT3	6.0681	2.128	4.9259	6.2715	4.0342	7.0323	5.5395	6.2334	9.9177	3.8373	5.0382	6.0119	6.3541	7.4978	3.8242	4.4659	7.7589	3.6069	2.331	4.6968	5.3424	1.0761	2.2186	3.1444	1.7564	4.2999	3.5537	6.3302	6.7753
RS_G2947__CA2__CA2	2.326	1.607	3.8479	3.7463	0	6.1112	9.8755	0.40209	6.167	6.1392	0.89211	2.716	7.8988	6.5331	0.29416	6.3826	7.1346	2.8174	4.6533	5.8083	4.2171	0	1.1873	6.3905	4.507	0	2.4798	6.8713	5.8722
Meth__cg07588779__BAD	0.061686	0.052032	0.059306	0.081187	0.054064	0.13534	0.092616	0.077639	0.076571	0.5288	0.1365	0.056555	0.066214	0.12832	0.090498	0.10181	0.14248	0.11741	0.14745	0.082247	0.20015	0.051983	0.05548	0.18668	0.075763	0.080181	0.10274	0.11144	0.082172
Meth__cg03751799__SRPRB	0.070363	0.049246	0.10586	0.025767	0.055498	0.099713	0.042254	0.073961	0.040834	0.029842	0.097832	0.072583	0.034396	0.075538	0.035133	0.083026	0.082957	0.035199	0.16208	0.067206	0.11249	0.11011	0.040728	0.062845	0.041112	0.054777	0.053707	0.097764	0.08709
Meth__cg00718513__	0.28091	0.04774	0.12325	0.38122	0.046487	0.06697	0.11187	0.12091	0.13058	0.11412	0.085273	0.075766	0.044891	0.059576	0.066601	0.064197	0.054758	0.21622	0.10417	0.12465	0.10309	0.057172	0.041052	0.062521	0.060901	0.18206	0.17159	0.11628	0.099275
Meth__cg07311845__TMLHE	0.39225	0.31204	0.2329	0.18401	0.050605	0.34183	0.38515	0.074254	0.1299	0.1907	0.12463	0.10601	0.19568	0.16114	0.10374	0.077408	0.56592	0.4855	0.37351	0.21777	0.30023	0.35403	0.10181	0.065377	0.47885	0.35608	0.5639	0.60091	0.48397
Meth__cg12648263__PIGH	0.02621	0.013555	0.028335	0.015221	0.015	0.021463	0.034747	0.01802	0.028107	0.017525	0.027893	0.02392	0.017726	0.026679	0.016259	0.023309	0.23841	0.016678	0.032535	0.021733	0.039849	0.025118	0.019009	0.016946	0.017159	0.023759	0.016917	0.021116	0.020324
Meth__cg17009433__GLDC	0.87673	0.063463	0.077768	0.052545	0.061966	0.54201	0.043595	0.070801	0.88436	0.10373	0.25351	0.047316	0.20419	0.35574	0.069499	0.082967	0.053364	0.061098	0.80459	0.52493	0.8327	0.12489	0.041281	0.072931	0.042705	0.074407	0.061172	0.40316	0.57563
Meth__cg23192899__MGC15407	0.035335	0.031858	0.078947	0.035925	0.039948	0.31327	0.079579	0.044006	0.03635	0.021947	0.082228	0.031693	0.047994	0.051065	0.023863	0.03038	0.041185	0.051637	0.12577	0.040096	0.08752	0.062285	0.029653	0.028864	0.033859	0.073504	0.044514	0.040181	0.047831
Meth__cg22780475__CBLC	0.058057	0.10715	0.88682	0.12563	0.88433	0.0671	0.041174	0.89703	0.23072	0.24218	0.75189	0.62618	0.91973	0.34914	0.91724	0.9219	0.071306	0.049834	0.90187	0.90971	0.12073	0.14115	0.38874	0.052673	0.67001	0.096273	0.064303	0.063387	0.057302
Meth__cg16523424__TIMP1	0.1493	0.040275	0.32885	0.055145	0.047555	0.23748	0.06765	0.044866	0.054881	0.14177	0.086689	0.14249	0.049469	0.15741	0.04027	0.05987	0.2159	0.29016	0.13876	0.21291	0.31999	0.37129	0.040895	0.041518	0.1195	0.061725	0.11783	0.15374	0.092786
Meth__cg25128803__SLC16A1	0.34989	0.022799	0.28168	0.036867	0.021644	0.023908	0.021319	0.031802	0.023515	0.026178	0.1239	0.019518	0.025543	0.042989	0.020708	0.023684	0.028947	0.045876	0.89039	0.039936	0.040738	0.035623	0.019406	0.020128	0.020476	0.072393	0.73456	0.037481	0.026558
Meth__cg26822241__CYP2C9	0.89288	0.14968	0.90293	0.23734	0.17096	0.86864	0.75354	0.49225	0.75684	0.69149	0.30614	0.35655	0.49862	0.076722	0.24726	0.39137	0.85686	0.9275	0.12447	0.38096	0.31697	0.1387	0.47871	0.80308	0.08209	0.16533	0.081787	0.58843	0.74108
Meth__cg26024843__COL5A1	0.50198	0.041928	0.21124	0.030332	0.032153	0.63292	0.60689	0.044412	0.40433	0.04609	0.066657	0.046858	0.052078	0.075456	0.21776	0.17229	0.16464	0.15244	0.12891	0.065176	0.86843	0.077273	0.08904	0.075437	0.29435	0.040088	0.068176	0.055375	0.076412
Meth__cg12128017__EPHA10	0.10711	0.031732	0.25786	0.038744	0.57283	0.16437	0.98052	0.55161	0.82205	0.6093	0.38514	0.045204	0.40732	0.092012	0.19516	0.51118	0.53949	0.2549	0.71645	0.58837	0.8551	0.040771	0.041823	0.054132	0.52167	0.069877	0.49882	0.50506	0.53704
Meth__cg07684796__DKK1	0.05063	0.041861	0.052029	0.02878	0.037552	0.057752	0.90908	0.60137	0.059309	0.098838	0.044254	0.58059	0.038628	0.091394	0.031821	0.047029	0.59975	0.034524	0.052819	0.73334	0.63656	0.050923	0.035332	0.034691	0.026794	0.84865	0.44237	0.03886	0.055356
Meth__cg03289872__ZNF667	0.94389	0.041867	0.90315	0.027271	0.016565	0.92709	0.49939	0.92602	0.048038	0.076653	0.90945	0.053988	0.020615	0.14214	0.73242	0.90972	0.47119	0.023711	0.83436	0.24297	0.70931	0.31653	0.026463	0.4036	0.66551	0.066995	0.88613	0.84158	0.62071
Meth__cg14592099__PCDHB13	0.42486	0.031692	0.83858	0.024439	0.41555	0.3397	0.8628	0.06088	0.52474	0.22947	0.43908	0.44084	0.094061	0.12519	0.053853	0.3699	0.68808	0.60188	0.077865	0.45489	0.3187	0.099615	0.098111	0.33522	0.10903	0.073681	0.19962	0.18653	0.34402
Meth__cg03833068__HIST1H2BN	0.056039	0.05316	0.054611	0.043961	0.050731	0.059953	0.058799	0.061218	0.070776	0.057719	0.077487	0.058999	0.045505	0.15369	0.040879	0.059232	0.062764	0.064767	0.42265	0.055243	0.081413	0.087225	0.051506	0.060674	0.052858	0.12306	0.061039	0.066523	0.058051
Meth__cg23158811__PBX4	0.57095	0.038751	0.40263	0.64015	0.034866	0.55801	0.033626	0.039153	0.052979	0.023789	0.49379	0.031429	0.11143	0.098042	0.044177	0.045156	0.94676	0.50143	0.071937	0.5325	0.88543	0.054145	0.03144	0.03453	0.035785	0.062815	0.036366	0.72814	0.57102
Meth__cg16372520__NRXN3	0.55083	0.081887	0.72632	0.42532	0.088629	0.082537	0.072677	0.087107	0.16405	0.17063	0.1666	0.06429	0.044681	0.087323	0.046332	0.079712	0.89484	0.10753	0.089945	0.094039	0.18879	0.080154	0.065153	0.10187	0.14425	0.063037	0.099425	0.19954	0.12073
Meth__cg06423920__ZNF312	0.50503	0.038173	0.91933	0.31646	0.62801	0.72646	0.91804	0.052373	0.68003	0.30496	0.42283	0.065479	0.43489	0.089205	0.62044	0.5444	0.47993	0.60753	0.52895	0.37669	0.83895	0.069809	0.040349	0.16369	0.3724	0.070108	0.7639	0.29709	0.50457
Meth__cg19439399__ELOVL4	0.286	0.066304	0.57578	0.062285	0.072589	0.35311	0.068738	0.066314	0.25772	0.24474	0.46672	0.10435	0.065141	0.18063	0.068917	0.062581	0.12526	0.44284	0.84488	0.69264	0.82903	0.092724	0.058833	0.062706	0.55721	0.098748	0.067863	0.17947	0.093158
Meth__cg07068998__NRAS	0.047341	0.049213	0.077123	0.048546	0.041993	0.035095	0.11322	0.09926	0.94866	0.11676	0.18759	0.046591	0.036206	0.62382	0.075417	0.07542	0.070721	0.083115	0.069266	0.13345	0.22168	0.059261	0.034575	0.35139	0.43314	0.13612	0.91194	0.93361	0.93911
Meth__cg24358529__PPIE	0.10525	0.053822	0.074115	0.068723	0.059791	0.11591	0.067174	0.15436	0.086481	0.055295	0.12157	0.077934	0.051282	0.15452	0.097968	0.10108	0.19698	0.074881	0.097925	0.096986	0.16906	0.099145	0.054296	0.05043	0.048792	0.13338	0.093098	0.59153	0.63759
Meth__cg07841014__REG1B	0.65353	0.092908	0.87891	0.075168	0.42512	0.73553	0.69477	0.096556	0.88057	0.15293	0.30421	0.60014	0.50887	0.19141	0.061644	0.13258	0.40553	0.61234	0.45472	0.11636	0.64121	0.14965	0.24584	0.60895	0.29831	0.15499	0.15085	0.19253	0.1408
Meth__cg13365761__SCNN1G	0.064708	0.044809	0.090955	0.044711	0.97221	0.056966	0.056782	0.074194	0.094752	0.04327	0.090732	0.051347	0.06698	0.11002	0.049464	0.054769	0.056122	0.049149	0.77426	0.058337	0.088295	0.054557	0.056082	0.048559	0.039362	0.04687	0.057787	0.053567	0.053513
