Cell lines	600MPE	AU565	BT474	BT483	BT549	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
RS_G3929__WNT5B__WNT5B	0.17786	0.10307	1.1297	1.7302	8.87	6.8221	4.4856	4.0543	1.1046	0	1.3045	5.6642	0	0.72298	6.0588	4.6812	7.2372	8.6155	3.7836	1.3629	1.0212	4.5464	6.5414	0.86647	0.68258	0	7.6602	1.0118	2.4135	0	0.36393	0.63445	1.4996	0.77869	0.87589
RS_G9624__KCTD14__KCTD14	1.3345	0	1.3939	0.15538	1.2875	1.4303	0.82766	0.44881	0.39689	4.2721	6.4763	4.9359	1.9413	0.53673	6.991	6.1103	3.674	4.8691	0.92268	1.2413	6.1017	6.5793	8.2157	0.66947	0	0	1.3039	0	0.7793	2.9725	2.6382	0	0.21085	0	0.41275
RS_G28782__AC132872.17__AC132872.17	6.5308	6.1527	0.42328	2.2275	0	4.4574	1.9204	0	0.51717	6.643	0	0.56922	3.0712	5.0791	0	0	2.6223	3.7589	0	0	0.40071	0	0	3.9703	0	4.6956	0	2.7046	1.785	0.74842	0	0	2.6893	1.8735	3.4862
RS_G5719__SCGB1D2__SCGB1D2	10.1167	3.7969	7.435	0	0	0	2.4518	1.2703	1.7869	2.4186	0	0	0	0	0	0	0	0	0	0	2.214	4.949	0	9.8672	0	6.6518	0	1.4816	0	5.8401	0	9.357	0.68612	12.3511	1.1901
RS_G6542__C1QL1__C1QL1	3.763	4.6965	0.75664	6.0783	6.7676	7.5882	5.6589	1.999	4.6891	4.5608	2.6627	4.9491	2.2673	0	5.8265	4.975	2.0219	4.1685	5.4241	5.4863	4.5279	3.8951	3.1588	3.6742	0.55244	4.3193	4.3657	9.8207	4.538	3.6612	6.0295	4.0256	3.5289	6.7244	5.8191
RS_G7392__SCEL__SCEL	7.4589	0.19101	0.23274	0.90402	0	1.0418	0.11996	0.22106	0	0	2.4506	4.643	5.5403	0.70496	4.4201	0	2.1167	0	0	0	0.21956	0.52832	3.143	0.15304	0.65658	1.2372	0	2.3295	4.6049	0.43201	0.24223	1.9148	0	0	0
RS_G2058__PTGS1__PTGS1	1.2823	5.5913	0.41366	0.89833	0.19889	0.3255	0.42546	1.1935	0.50646	0	3.0479	5.1685	2.3629	0.91684	0	0.59629	4.5669	2.8314	3.7334	1.0897	1.5971	1.4029	0	0.14514	0.49771	5.6939	0	6.3472	7.7469	0.65876	0.72306	0	4.7888	0.28281	0.28682
RS_G18635__AL390294.19__AL390294.19	3.2266	0	0.25251	6.1877	0	0.18879	0	1.4648	4.1179	0.62467	0.76578	0.95932	1.0309	6.4133	0.61877	0.66985	2.2412	0.37138	7.1617	6.5877	6.6266	1.0383	0.21678	5.6484	7.8851	1.0982	0.40247	3.0376	0.49741	4.3264	8.3645	2.7329	1.0039	3.6191	5.5031
RS_G8410__EMP3__EMP3	2.911	2.2536	0	5.4885	10.665	8.5826	10.5314	2.4683	3.5154	2.9505	6.6359	7.2148	2.5904	2.7206	3.8705	10.036	5.246	12.2115	4.767	4.5667	2.7647	3.9866	11.253	3.255	3.7386	1.1597	11.5916	9.0071	8.949	4.0601	3.8818	2.6646	3.4737	3.7137	1.0148
RS_G10339__NRG1__NRG1	0.58693	0	0	0	7.7389	1.7934	2.0408	0	1.7451	0.088641	8.0487	5.3378	0.13453	0	4.7885	5.8443	0.70526	6.4738	0.096448	0	0	1.3846	6.0583	0	0	0	5.8239	1.5169	1.5046	0.30151	0	0	0	1.9553	0.64638
RS_G3758__SOD3__SOD3	7.5192	4.4952	4.6305	5.0809	0	0	0.99346	2.2897	0.9042	6.7181	5.3406	3.1972	0	3.5966	6.5962	1.8315	1.4813	0.36301	0.31984	0	0.60126	0	4.7235	5.6337	0	5.5921	0.3023	0	2.5767	0	9.7077	0.80941	7.9523	0	0.23985
RS_G11572__GUCY1A3__GUCY1A3	2.1771	3.1726	6.4643	3.3749	2.7359	6.4477	4.1023	6.8828	0	3.6806	4.4499	2.4961	6.7048	5.4754	0.41764	2.2033	8.1568	0.45496	0.056954	2.1317	0.22101	4.4527	0	5.9314	6.7064	0	1.7081	3.0364	1.891	0	0	1.1889	2.8438	3.6042	3.0295
RS_G2877__XYLT1__XYLT1	2.0844	5.3814	2.4407	4.4724	0	0	4.3641	0.50241	0.97748	5.7699	1.0611	4.0689	2.9429	0.11321	0	0.084142	2.9742	6.5261	3.5265	3.3908	4.8806	2.0604	0	2.621	0.37812	5.1266	7.6523	3.9492	1.0292	1.651	2.5806	4.1291	0	2.3564	1.7844
RS_G28096__CRIP1__CRIP1	7.9844	4.1652	10.7307	13.429	1.4617	3.1334	1.3965	13.7478	3.9517	9.5409	7.9296	1.0811	2.5807	9.3256	4.013	2.5551	10.3575	2.4509	6.32	4.123	11.2384	9.4178	0	11.4462	10.3518	3.7792	3.5393	12.4211	12.4714	1.3665	11.503	12.5563	13.9706	13.3168	13.0061
RS_G22203__AC068228.8__AC068228.8	1.211	3.9353	2.0361	0.41371	0	0	1.0851	1.6436	1.8201	0	5.6945	3.5015	1.7286	1.8523	0.743	0	2.3202	0.24946	1.7006	1.2123	0	0.85055	0	1.6003	0.68164	0	0.38692	0	5.0313	1.583	0	0	2.7142	0	0
RS_G8613__HHIPL2__HHIPL2	8.1735	2.9216	2.0688	3.2534	0.85142	2.3892	2.43	5.393	1.8465	0.34295	0.97012	0.85906	0.97257	6.2985	1.6534	4.7801	3.951	1.9571	1.4294	1.1774	3.2687	3.3743	1.0849	1.6024	0.4932	1.6139	5.5276	2.1155	2.1425	3.2963	0	1.7332	5.1047	4.8423	3.6282
RS_G35559__TMEM91__TMEM91	4.2382	1.256	1.804	2.3785	3.4402	3.4004	4.0543	2.8339	3.9981	2.0048	0.82592	2.8736	2.3574	2.3332	1.9341	3.137	3.3686	4.3998	3.1478	3.2823	4.0808	2.882	2.6306	3.6812	4.6905	1.8129	4.9835	4.6054	3.0028	3.194	1.7962	2.832	3.4935	3.0086	3.1924
RS_G16049__EPGN__EPGN	0.62908	1.2748	0.81396	1.382	0	2.3756	0	0.79607	0.96975	0.49786	3.9373	1.4815	5.3723	1.695	2.3909	0	3.8394	0	0	0	0.56023	0.80166	0	1.4689	0	1.4898	0.88324	4.5126	2.7586	6.7991	2.2266	0	2.872	0	0
RS_G8983__ODZ2__ODZ2	0.46196	0.21261	4.1691	1.3937	9.125	0.51807	1.6057	1.8836	1.7042	0.025184	1.9378	4.7939	0.52982	0	2.6967	1.4508	0.84724	4.5337	0.10886	0.056207	4.5033	0.27275	0.89421	3.1193	0.47793	0.449	0	4.3607	1.3205	0	5.1209	0.92925	0.12932	3.252	0.48681
RS_G11332__ADORA1__ADORA1	5.2602	7.5821	4.3407	5.7905	1.3796	2.4307	4.4577	1.2844	5.7516	2.6216	2.4669	3.5531	5.6829	2.8779	6.0126	3.1907	4.9275	1.8691	5.4965	2.4472	5.9402	6.9895	2.2833	9.5896	5.6897	7.3232	0.45264	6.3153	3.6816	0	2.5893	8.0954	9.2508	5.4491	2.7266
RS_G3514__ACTA2__ACTA2	1.4899	0.17287	2.2023	3.075	12.7191	1.9507	8.7055	0.81938	1.9902	4.283	3.2771	4.8169	3.5235	3.9435	12.9136	9.2125	4.7159	8.2158	8.823	4.6158	0	6.0772	3.4109	1.6547	2.3654	0	8.7349	3.9007	4.9748	4.4277	7.0622	4.8706	0	4.7747	5.8747
RS_G10667__TPPP3__TPPP3	2.2526	0	2.186	6.7959	0.41479	2.3133	1.109	7.6865	0	4.4312	2.1008	0.83472	0	3.8775	0.90646	1.6514	5.3208	2.3318	1.3278	0.42247	5.9442	5.773	0	1.9225	0	0	3.6597	4.4601	3.6464	0.64202	2.8537	5.2787	2.0102	7.4528	1.5766
RS_G4537__IL1R2__IL1R2	1.0369	2.5004	0	1.733	0	0.49293	1.6866	0	0	4.4036	4.9638	6.64	0.64775	0.96617	5.6003	0.30776	0	0.18783	0.31179	0.30816	2.1815	4.1934	0.75668	2.2311	3.5958	0	1.3658	3.235	1.3483	1.5253	0	3.4121	1.1074	0	0.23652
RS_G12982__SPRR1B__SPRR1B	2.2988	0.63608	0	3.8097	1.4994	7.092	1.2683	0	0	0.64046	4.8334	7.6626	4.7816	0	0	0	4.001	0	0.69033	0	0	5.8907	0	1.214	1.092	2.0942	1.1062	1.5367	7.3536	0	2.1888	3.3389	0	0	1.2275
