Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
RS_G14500__LRRN1__LRRN1	3.9334	0	7.2765	4.8669	8.4806	6.9925	0.41799	0.84531	0.76506	5.0522	0.23961	0	2.8126	1.741	6.5901	0	0.31549	0.89135	0.2284	1.1056	6.3581	3.3755	0.64811	2.9294	5.0914	2.8801	0	0	0	1.1915	0.21281	0	1.3224	2.4091	1.6057
RS_G10056__ADAMTS1__ADAMTS1	0.40649	0.19684	2.7451	4.6542	9.1222	3.9788	5.5768	5.2846	2.2992	7.1431	5.8779	7.4379	3.0483	2.3121	3.8107	6.6168	5.8881	3.6986	9.0055	0.26857	2.8343	3.8711	3.8867	5.6499	6.545	7.2146	0	2.307	6.9795	5.0715	2.4462	1.1737	1.1843	4.9621	4.8179
RS_G3786__CRYAB__CRYAB	7.266	8.3291	0	2.3366	1.0408	1.6832	8.482	1.5039	2.9838	5.1028	5.354	4.559	7.128	0.31225	4.7328	9.9378	4.6023	7.0517	3.9155	1.0565	0.87791	7.1533	0	1.715	0.98245	10.8931	7.0148	4.779	4.9852	10.0216	3.5368	5.8363	4.1438	0	1.7462
RS_G2490__SALL4__SALL4	0.87541	3.0032	3.7493	1.5847	0	0.22779	2.8696	2.4846	1.3087	0.46749	2.5464	5.4893	4.1678	1.6176	0.15106	0.48619	4.7341	2.6721	2.5211	6.0056	1.2161	1.2598	0	3.7915	0	2.0331	1.9441	2.9444	2.851	2.0342	4.282	0	0	0.30869	1.1997
RS_G3964__MGP__MGP	12.7444	2.1266	10.3876	13.053	10.6511	7.0869	8.0389	10.2032	3.1229	10.7774	3.9569	1.3697	8.6133	12.1311	8.8839	10.4834	4.1418	13.2784	6.112	6.4925	6.6738	9.692	3.8402	8.314	6.6113	11.2311	3.6695	1.0938	9.938	8.0841	2.1658	3.1152	12.988	8.1643	5.2927
RS_G5781__OPRL1__OPRL1	4.534	1.6695	0.95283	4.2781	1.5212	1.6941	1.5183	0.62697	2.1401	1.4334	3.2103	0.3316	0.80273	0	0.79524	2.1467	2.3743	2.1919	1.2947	3.2073	3.3572	0.86525	0.48697	1.694	1.73	3.8516	1.6668	6.922	3.9209	3.0435	1.6348	1.7889	1.0742	3.8285	3.6366
RS_G8293__SLC39A6__SLC39A6	8.8456	6.3258	9.5638	10.7022	7.7275	8.8921	7.7677	9.1522	8.336	7.6195	7.5903	7.0645	5.996	7.6826	8.0269	7.5728	9.5847	8.0305	7.5875	12.8675	9.3944	5.8965	7.7396	8.3482	7.0986	7.8108	7.6205	5.2143	7.2234	6.1811	6.7035	7.7701	7.9828	10.7897	13.4745
RS_G6452__GATA5__GATA5	0	4.94	1.3896	5.8865	0	0.8752	0	0	0.38815	6.1074	0	3.0853	1.4507	0.092615	0	0	1.0026	0	0	0.28951	4.6308	0.56404	0	3.0839	0.85482	0	0	0	0	4.1711	0.66483	4.124	4.5765	2.8352	0.27519
RS_G12862__LGALS9__LGALS9	6.1513	3.8085	2.4838	4.3619	1.2065	0.16906	1.1498	2.0604	1.6809	0.81283	3.6725	3.8578	4.5519	8.239	2.1576	3.5171	1.8164	8.8117	1.1612	0	2.0891	3.6262	1.098	1.1014	0	4.8931	4.3563	0.74292	5.2937	7.885	4.2458	2.1547	2.1856	1.8861	0.97357
RS_G2940__PDGFRL__PDGFRL	2.6739	4.1099	2.9019	3.515	0	4.2179	3.9699	7.0584	1.7974	3.4083	3.6951	1.7797	1.169	2.143	3.6444	4.6062	1.2527	2.0745	4.794	5.5508	0	4.1599	3.2887	1.1575	0	6.684	0	1.1272	1.7769	1.2043	0	1.0353	0	4.5822	3.1866
RS_G7932__FBN2__FBN2	0.019862	0.045061	0.57831	1.1596	1.946	1.6834	5.1368	4.5745	0.054308	0.22874	1.2318	3.0649	0.29171	1.1022	1.0422	5.0247	7.6781	0.089204	5.8631	0.47837	2.2476	0.32467	0.45439	2.9296	1.8496	4.8218	0	0.99648	1.3781	0.61224	3.0375	0	0.11434	0.49504	0.20828
RS_G23634__hsa-mir-205__hsa-mir-205	4.7533	1.3542	0	0	0	0	0	0	0	0	0	4.5349	4.3277	4.3498	0	0	0	3.377	0	0	0	3.4472	0	1.395	0	0	0	0	2.9965	0	2.7057	2.7566	0	0	0
RS_G21897__C6orf27__C6orf27	4.0436	2.3377	0	1.4627	1.5076	1.1811	2.3572	1.6498	0.50386	0.99374	1.43	2.4612	1.6903	2.4383	1.7266	3.7011	2.2579	3.9854	1.6557	3.4435	3.126	3.3976	2.3866	2.0866	1.8419	1.407	2.6372	3.4925	7.0749	3.599	4.4907	2.9356	2.4758	3.6532	2.0079
RS_G11471__NMNAT3__NMNAT3	3.2876	0.98265	3.7081	3.9964	0.2993	6.1909	0.33705	1.2249	1.0633	4.365	0	2.136	3.923	1.0631	0	0	2.6955	0.097999	0	2.2258	7.3217	4.0756	1.1246	1.6219	3.0718	2.3893	0	1.3699	1.3746	4.781	2.5735	5.1841	5.1134	0	0.5434
RS_G997__FGFR2__FGFR2	6.7022	5.8744	1.611	5.6493	2.4737	2.1401	6.0406	5.3776	1.1747	6.4531	5.7394	5.0247	6.4254	1.9971	0.7339	6.1453	2.2668	4.4544	0.65248	5.3212	1.965	4.6482	0.28704	4.3772	2.1355	8.1719	6.3649	1.6784	3.8017	2.724	4.0687	12.3848	7.904	5.7165	5.4987
RS_G3962__OAS2__OAS2	4.3877	1.8619	0.23744	7.0052	0.056976	0.1167	0	2.5129	0.6103	3.2922	9.1157	5.693	5.8469	5.639	6.1434	0.22552	2.2623	9.5512	0.30327	1.4216	0.27765	3.6094	0.76221	0.49092	0	5.0771	0.28245	0.20349	2.0593	8.8459	3.6212	4.2907	6.5074	1.9355	0.55898
RS_G2904__AP3B2__AP3B2	3.9601	0.94326	2.1616	3.7524	2.183	3.0899	3.2043	1.4364	2.4123	3.1995	6.6873	0.22078	1.7717	3.8345	0	3.8864	3.1116	0.12832	0.082787	3.581	7.7206	3.0769	0.47431	0.54854	0	6.268	0	2.7378	3.8444	1.2183	2.7695	4.0024	0.82217	3.2767	0.6802
RS_G10013__PGM5__PGM5	0.98175	5.7702	1.2732	4.3229	0	0.27613	0	0.90894	0.52699	4.3002	0.12769	0	3.701	0.13224	0	1.7349	0	0	2.2619	3.596	0	0	0.13333	1.23	0	2.173	6.2945	1.102	0	0.7631	0	2.625	0	4.1586	0.29176
RS_G1599__KCNK2__KCNK2	1.0389	0.62798	0	5.2556	5.8207	0	2.2276	6.1906	0.15029	3.4816	1.01	1.3134	2.1757	4.0574	2.5515	1.2762	2.0309	0	6.6978	3.5015	0	4.4907	0.9363	4.4893	4.8645	0.36774	0.74341	0	3.8843	1.4099	0.85665	0	7.8925	5.6046	2.9884
RS_G13255__CDH2__CDH2	0.95252	0.11179	3.8179	3.037	9.5863	0.59708	7.9074	7.9637	0.065964	0	3.3876	4.6749	1.3151	0.59305	0.62312	7.3261	9.9603	0.65088	8.8508	0.34768	6.7543	1.1428	0.95446	5.4598	2.9731	3.3556	0	2.3343	4.6813	0	5.7937	0	0.64866	1.9772	1.4403
RS_G8221__CDH11__CDH11	0.79052	0.19957	1.1551	0	8.6171	1.5558	5.8768	8.8783	0.1995	0.15665	0.46098	2.9491	6.0302	4.7511	1.4071	2.1427	5.2153	0.78652	7.7193	0.078446	0	0.063857	7.6977	0.12672	0	0.52377	0	6.0073	0.74857	1.9015	0	0	0	0.40122	0
RS_G13924__C11orf86__C11orf86	1.453	9.9466	0	0.50858	1.1966	0	0	0	0	0	3.5889	0	0	1.786	2.1623	4.2136	0	0	0	0	0	7.1704	1.6118	0	0	4.3916	4.8992	0.88539	7.3083	0	3.5987	5.714	0	0	0
RS_G12786__IL7R__IL7R	0	0.251	0	0.50142	6.5911	0.28503	6.1027	3.2925	0	0	0.65531	4.9125	6.2297	5.4595	0	4.9738	6.5351	0.25223	5.1619	0	0	1.8082	5.4855	0.070492	0.82882	0.68499	0	0	3.6661	0	2.0069	0	0	0	0
RS_G9735__HSPB8__HSPB8	6.9159	4.2737	4.1342	10.9436	0	8.9073	0	1.7163	1.5084	9.6107	1.9996	6.399	5.2617	2.9086	1.7138	1.1226	0.24708	4.8246	5.9738	6.7034	7.7081	5.9709	1.8549	8.6261	0	1.1486	0	0	1.2387	7.9368	4.4231	8.4206	6.3513	8.9851	4.3188
RS_G7338__SERPINE2__SERPINE2	2.3994	0.79327	3.83	2.2086	10.1196	0.18958	7.4411	11.5894	0.28363	0.46684	9.8235	6.7055	2.8475	7.0236	0	8.1647	6.4473	2.5456	9.5902	1.3238	1.0935	5.4003	6.5495	4.3532	2.126	10.4702	0	6.0111	6.9672	2.2537	5.6749	0	0.83906	3.4753	1.5784
RS_G19430__TGM2__TGM2	5.7731	4.6351	0.075916	1.8639	2.1072	1.5359	1.1001	3.5707	1.4478	2.0468	2.7949	4.4499	9.0075	9.2277	0	2.5436	7.904	4.964	6.8507	2.0974	2.9293	4.6858	7.9893	1.2109	1.8048	3.27	2.1179	2.6677	8.7502	0	12.5541	5.6263	0.8381	1.5682	0
RS_G10310__B3GNT7__B3GNT7	1.9575	6.7957	2.5367	2.8094	0.71449	2.0155	3.0554	2.9018	4.9398	2.4987	5.2298	3.0633	2.2075	0.78054	1.7377	4.3722	1.6533	5.1816	0.60552	1.9281	4.7422	1.8706	1.8291	1.8655	1.1453	4.2966	2.2539	0.5586	2.7381	2.8803	5.1953	1.9897	1.9283	1.892	3.3691
RS_G8887__PLAC8__PLAC8	3.4307	0.78955	1.4119	1.8455	6.3471	2.1601	3.6961	2.6576	2.0722	2.8257	3.7442	4.2756	6.833	4.3387	2.2481	2.138	2.6302	1.977	3.3026	2.2767	3.133	3.0243	7.9065	2.0243	1.8874	2.3395	2.7574	2.9311	5.5878	2.4519	7.3535	6.9757	3.1961	2.3072	1.8458
RS_G1423__FGFR1__FGFR1	2.6223	0.54709	6.777	7.0974	8.0925	6.9204	4.5239	7.3206	6.1057	6.3256	6.6419	3.1821	5.3519	4.853	3.7117	5.5053	9.0117	5.0448	7.8731	5.8034	12.806	7.7839	7.0505	8.0027	5.9527	8.4868	3.107	8.9611	3.8054	6.8247	4.3479	7.1144	5.0337	8.1537	7.5687
RS_G15192__FAM101A__FAM101A	0	0	5.0831	3.729	0	4.3808	1.9118	0.12967	0.23103	1.0259	0	1.2172	2.5187	0	1.0962	0	0.48686	0	0.24737	0	1.9609	1.1709	0.95138	4.1848	3.6832	3.3613	0	0	5.271	0	0	0	0	5.5645	8.5957
RS_G16393__AC011443.6__AC011443.6	0.78149	0	0	2.0242	0.98271	0	2.6501	0.13026	0.43563	0.15815	5.8548	2.0264	5.1701	0.82457	0	0	0	0	1.7873	0.57774	2.4709	5.1725	0	0.39217	0	1.7524	0	0.38765	4.7857	2.489	5.3562	0	1.979	2.0745	0.97076
RS_G6413__KLHDC7B__KLHDC7B	0.44351	1.5307	0.26069	3.0774	0	0.36018	2.9582	0	0.57664	0.17453	6.5033	2.0385	8.7777	1.2454	1.3979	3.2379	0.23533	9.8389	0.27498	0.44704	0.36343	1.4672	0.51994	0.11993	0.41783	5.7495	0	3.5951	9.2685	6.0434	4.1718	0.85166	0.80079	2.9772	0
RS_G402__CD74__CD74	4.4509	2.0172	0.18629	6.0079	0	2.2892	5.7658	5.5748	0	3.7089	3.9676	8.1818	9.1643	2.2907	2.4563	0	2.0276	10.3163	0.89633	0.59187	9.3373	4.2963	0.96601	0.79006	0.54729	9.1646	0	3.046	4.6483	3.806	9.5475	0.35449	6.7285	0.93132	0
RS_G12225__A2ML1__A2ML1	0.55235	3.015	2.3348	1.6963	0.051186	0.20298	5.7466	0.4159	1.5662	4.2978	0.67252	2.6485	4.0087	2.6029	0.099228	1.1693	0.099944	5.3202	0.059283	1.1201	0.84535	0.083725	0.049173	1.9963	0.48814	5.6281	5.0462	0	3.9701	3.2228	0.36821	4.9828	0.50916	1.3113	0.21477
RS_G12875__MFSD7__MFSD7	5.9134	5.9466	0	5.134	0.87243	1.5542	0.39831	0.27981	2.9756	3.974	0.50965	1.6432	2.5464	0.69369	0.24852	0	1.8338	0.32742	1.3851	1.087	1.8221	2.8234	3.1895	1.7338	2.1995	1.233	5.7598	1.462	3.5056	0	0.37387	4.665	7.7798	5.0269	3.5491
RS_G1374__ACACB__ACACB	3.908	5.2688	3.2278	2.9195	2.2539	6.1215	0.62692	2.9029	4.272	2.6055	2.7762	2.8917	3.4241	2.2371	1.1644	2.6825	3.9113	0	2.0041	6.5934	4.5103	5.2822	3.3443	3.3371	4.1871	2.9878	3.6865	4.39	4.4947	2.4266	3.4655	4.0283	3.3294	5.1677	2.0258
RS_G17492__ISG15__ISG15	6.4321	6.9046	2.9269	10.0182	6.764	6.0566	9.1661	6.4525	4.276	6.7748	13.2442	8.6945	9.4258	8.5081	9.9575	5.4459	6.6266	12.9362	7.4773	9.4628	7.6384	6.1199	8.7902	9.0957	8.6562	10.5623	5.7117	9.647	11.3793	11.8597	10.9453	4.6944	7.2104	6.6969	5.3683
RS_G16452__NPW__NPW	0.92642	1.4213	0	2.4697	0.2454	0.65448	1.172	0.5077	0.26622	1.0368	5.9176	4.5334	4.1669	0	3.1399	0	0.4498	2.1341	0	1.085	0	0.54611	0	2.8689	1.2498	5.2485	1.1663	5.1687	4.4809	0	6.0124	1.5207	4.5138	4.8912	1.5426
RS_G12365__PIP5KL1__PIP5KL1	3.8726	1.8077	2.7048	3.2152	2.4851	3.6896	2.9426	2.4418	1.81	5.3705	5.4668	2.3325	3.5827	3.0411	5.0313	2.4172	3.0142	3.2625	2.4229	2.1711	4.1419	3.1834	1.6469	3.6043	3.2783	3.4195	3.6177	9.1978	5.9581	2.1291	4.1476	2.354	3.0809	3.8891	1.8081
RS_G2004__TGM1__TGM1	5.3721	9.4474	2.3286	3.8808	1.7513	2.7163	4.4828	2.8924	2.0639	4.04	2.0162	2.9572	6.9913	2.9415	4.3939	4.9255	3.0329	2.556	1.8108	3.719	1.9212	6.4252	3.1641	2.8856	2.5922	5.9739	7.4251	2.4886	6.8145	5.2442	4.2484	3.6189	4.1613	4.3151	2.8052
RS_G6363__APOE__APOE	4.2881	4.7187	0	2.382	5.2995	1.3208	2.9543	2.0475	0.42935	4.4855	2.5012	5.566	3.0563	1.0451	3.614	1.0041	2.1619	3.6414	4.6007	5.158	1.0037	2.8448	2.0232	0.83225	1.4749	6.4436	4.0786	4.4021	3.4789	2.8382	8.3738	2.2518	10.4583	5.8134	0.56077
RS_G12356__B4GALNT2__B4GALNT2	2.7107	0.12324	8.2519	1.3762	0	7.1334	0	0.1554	6.5897	1.0798	0	0	3.4328	0	2.0574	0.78283	0.25663	0	0.74854	1.9268	0.14215	3.4839	0	6.3505	7.5269	1.9441	0	0	0	4.7258	0.39668	1.3938	2.4222	4.766	2.8273
RS_G13151__CHRNB1__CHRNB1	4.1266	5.62	3.3505	3.996	4.6512	4.5831	3.8844	4.1756	3.4636	4.0981	4.9716	5.7781	4.9033	3.0916	4.5661	4.7566	3.5569	4.1822	5.1481	4.0099	4.2154	4.1532	8.963	3.8903	4.0984	5.7327	4.5907	3.9315	5.1261	4.9361	4.862	5.0347	5.0461	3.9599	3.1297
RS_G8682__OSR1__OSR1	0.11123	0.23849	0.2896	0	0.48045	0	4.8216	6.3439	1.8828	0	4.1075	0.57369	0.83199	0	0	4.8445	2.7179	0.34605	7.5551	0	0	4.4393	4.3569	0.57157	0.45115	7.4307	0	3.2881	3.4287	0	3.2369	0.52938	0	0	0.36537
RS_G12287__ANPEP__ANPEP	4.6781	3.3458	0.4918	2.3499	9.3546	0.34204	0.60793	3.8277	2.1245	1.2098	2.4168	4.5501	9.2789	0.94625	1.0267	0.81235	7.8441	6.672	8.9544	1.5798	0.72205	10.471	0.4706	0.586	0.65303	2.7753	2.6835	13.7475	11.5166	0.084498	7.974	0.8554	1.2223	1.7071	0.4654
RS_G9162__DOCK11__DOCK11	3.3426	4.0267	4.5375	2.7208	2.7024	0.34024	4.3328	7.4494	1.6849	1.788	2.5667	0	0.62431	2.1951	3.8459	3.5739	4.3665	3.7025	2.4927	0.63048	0.53452	1.5889	3.9354	0.34761	0	3.7889	5.9918	2.511	1.8637	1.1652	0.74991	1.3172	3.7762	2.228	2.1907
RS_G7177__OASL__OASL	4.4911	1.7777	0.97103	6.8272	1.337	1.2602	1.554	4.611	1.6683	3.7442	10.6972	1.8634	8.7426	5.6195	3.7297	0.99833	5.4605	9.5817	0.28875	4.3836	5.4917	3.7861	5.2892	3.3996	3.0473	6.2305	0.59656	2.0833	6.5224	6.2748	6.1035	2.6117	4.8781	3.9024	1.989
RS_G17866__FZD9__FZD9	0	4.6771	0.4403	2.9437	3.445	2.5305	3.3357	2.1183	0.12145	0.93021	5.7118	3.3851	3.5463	2.3341	1.4657	3.7746	0	2.9777	2.2666	1.9509	0.94309	4.9195	0	0.16042	0	9.7636	4.2909	4.2862	1.9381	2.3712	4.1039	2.547	3.9233	0	0
RS_G3172__GRIN2D__GRIN2D	1.2815	7.681	0.11453	0.68008	6.2801	0.3443	5.0838	1.1036	1.736	0.83669	0.90964	7.0748	2.9299	1.246	1.8482	4.2991	1.361	3.6096	2.9072	3.0676	2.3793	3.8963	1.1365	0.84688	0.18568	6.2513	7.0486	4.253	3.6892	1.2689	8.309	7.4344	1.1701	2.5652	2.0206
RS_G14365__CST6__CST6	1.1735	4.8219	0	2.2528	1.1623	0.40458	2.5251	0	0	4.0306	1.7102	5.9733	9.605	6.3431	7.796	5.5347	1.3362	3.3225	1.0523	0.69586	0.98624	8.1369	3.2657	1.6994	1.1045	1.8882	3.1421	2.7763	7.589	6.5634	10.9573	2.5445	5.0406	4.4201	0
RS_G2467__MMP9__MMP9	0.3352	4.7331	0	1.8897	7.2801	1.3299	2.8432	7.1538	0.43548	1.2458	3.165	1.5059	6.2936	0.93467	0	3.1581	0.63889	0.45168	0.35709	3.1157	2.482	1.5826	0	1.3653	0	3.4679	2.3144	0.54164	4.3212	0	5.3232	3.8646	1.7067	2.9642	1.4825
RS_G17779__SERPINA5__SERPINA5	2.8363	0.88334	1.7537	7.4424	0	0.23529	0	0.36698	0.35356	1.8683	0.82706	0	1.0527	4.4296	0	2.936	0.50421	1.9214	2.4654	7.4494	7.6962	1.0774	1.7123	4.375	0	3.386	0	0	3.2862	3.8223	4.998	8.8759	1.1276	3.3835	0
RS_G13039__MT1E__MT1E	0.46681	1.1873	0	0	0.55979	0	3.0392	0.6051	2.5016	8.2657	8.7515	8.4328	4.4369	0	0	9.6024	9.0759	1.332	9.3513	0.30908	6.225	3.6842	10.5635	1.0982	2.431	0	0	11.4032	10.0631	0.97053	11.2761	11.6174	0	4.0503	0.77012
RS_G5278__CSTA__CSTA	0.45526	1.7151	4.4625	1.6336	2.2838	0	0	3.9302	2.4582	4.8816	5.0285	8.4207	6.5421	5.1336	0	5.5396	3.5366	8.6231	1.5014	9.801	0	2.8632	0	3.0641	0.883	3.6957	5.5628	0	6.7393	6.2582	7.0626	3.4916	2.8224	5.4387	1.2257
RS_G4351__COL7A1__COL7A1	4.9884	2.3752	2.4012	0.98581	0.77562	1.255	0.93156	2.5782	1.5435	3.2919	1.7096	5.7269	4.2544	2.9007	2.5551	2.0228	2.8981	0.94048	9.3014	1.4589	2.4282	2.9642	2.1883	4.099	5.5402	1.9488	1.9774	3.883	6.541	3.4674	9.9568	3.5282	4.0318	3.1168	0.65322
RS_G3761__TRIM2__TRIM2	6.299	5.3394	2.5021	4.8596	4.3894	0	5.2157	0.7472	5.9345	6.6038	9.3226	4.0319	5.3512	6.6069	3.2392	5.0518	5.6753	6.4392	2.976	2.0666	3.9849	4.6512	4.5953	2.8767	1.6906	7.3357	5.532	2.6874	4.5541	6.3819	3.7754	6.1299	4.6767	0.11351	0.11376
RS_G2174__SCARF2__SCARF2	0.99226	1.4054	2.0403	4.0099	8.0048	1.1916	4.052	0.51672	1.9477	2.1618	7.3407	5.5777	2.7189	3.7544	2.5177	3.7682	5.4166	2.3726	7.7584	1.8754	0.69889	2.52	2.3524	4.2897	4.5508	4.2571	0	7.0169	3.4351	2.0464	2.2091	2.4421	4.3461	4.064	4.2022
RS_G9697__SACS__SACS	2.067	1.5539	2.7128	2.6618	7.5446	3.9356	3.7448	6.2877	3.522	2.4697	2.1369	4.2963	3.1799	3.5032	0.069102	3.8339	6.3153	2.2163	5.8931	2.3215	0.95951	0.95544	5.6932	0.64456	0.83687	3.0566	1.783	3.7786	3.1724	0.61696	2.3061	1.7719	2.088	1.5692	3.5968
RS_G8516__GJA5__GJA5	5.1528	7.3724	0.25609	0.30595	0.75881	0	2.1537	1.8724	0	1.103	0.51023	0.46303	6.1047	3.0129	1.568	9.1154	0	1.4256	0.41661	0	0.63186	5.1935	0	0	0	7.1706	7.402	0	4.5966	2.5251	1.2018	6.2637	2.113	0.3266	0
RS_G1039__SYT1__SYT1	1.123	2.1228	4.824	8.2377	4.8047	0.86198	1.222	0.68231	5.6408	5.3681	0	3.4414	1.3791	4.1984	3.5518	1.2674	3.4954	4.8334	2.6812	5.8949	8.1976	0.47919	3.3375	2.2683	0.18611	0.34465	4.36	5.568	0.54555	2.9818	2.9818	4.8527	4.0193	2.2162	0.63215
RS_G11533__CAMP__CAMP	3.5155	4.8465	2.3552	5.5361	0	1.5471	1.4882	0.68855	3.706	1.3219	3.0019	0	1.4238	2.1738	3.2421	2.1103	0	1.4246	0.38086	1.6506	6.1769	0.52214	0	5.1903	5.6421	3.9921	4.6372	0	3.9762	5.7091	0.87957	2.9579	0	2.8438	2.6927
RS_G12844__ENHO__ENHO	2.9089	5.5123	0	3.6537	3.6418	5.0534	0.67716	1.9285	2.9711	3.5391	5.7918	0.65661	2.1981	1.4936	1.0345	4.7065	3.0499	1.6959	5.1131	2.2441	8.4101	4.6802	0	4.6541	3.5098	6.1461	6.3113	4.2099	5.1553	3.18	0.6459	3.5066	2.3488	2.3467	1.2003
RS_G2087__CRISP3__CRISP3	12.2314	7.1355	1.9518	1.8899	0.23487	0	0	0	7.5024	2.8094	1.3866	0	1.6931	3.6823	4.0308	1.6394	0.1214	6.0817	0.26944	2.9367	3.4422	4.0547	0	2.0069	0	0	8.4934	0	1.1939	2.3662	0.36223	12.7601	5.5423	4.6837	1.6889
RS_G13235__KRT4__KRT4	9.3812	11.4788	3.7138	6.6081	0.19191	1.292	4.5089	0.67209	6.6696	4.7751	0.6186	9.2252	10.5856	8.4049	7.4345	5.9863	0.10105	10.3706	1.7151	1.7253	0	6.4769	0.82122	4.2504	1.1517	0	10.7577	0	1.1482	6.9112	3.9312	8.1608	5.2153	4.5519	0.62627
RS_G16898__AC073468.9__AC073468.9	2.771	6.104	3.2477	2.9543	0	0	2.1311	2.1588	0.48723	0	3.5396	2.6112	3.5696	3.464	4.4522	4.6909	0	4.557	0	1.4065	1.2126	4.682	0	2.3478	0.5494	3.0729	4.3933	0.55787	1.3527	4.7935	2.3273	7.8208	1.3018	2.9131	0.94339
RS_G4465__FNDC4__FNDC4	2.0609	0.96004	3.9996	2.8072	4.2327	0	3.2685	4.1418	3.2899	1.4867	5.815	3.9698	3.0605	0.28662	3.4906	4.4007	2.7242	1.864	5.8787	0.3037	0	3.3295	1.0742	3.3088	0	4.1372	1.589	5.801	1.1384	0	1.8508	0.60227	3.2523	0.74175	2.5291
RS_G11896__SLITRK5__SLITRK5	4.4036	3.1192	0.25167	0.55999	7.5383	0.33996	2.6478	1.5099	3.2337	0.23193	0.20843	2.0435	1.4606	1.2422	5.1145	4.0805	3.7712	0.38943	3.1632	0.89617	0	1.3578	3.81	0.33673	0.21086	0	3.1578	2.9616	3.3742	0.06974	0.56419	0.60653	3.5177	4.3354	5.212
RS_G12889__AR__AR	4.6371	4.6227	6.4437	4.4301	5.9187	7.5601	0.19231	1.476	6.5225	6.1875	0.10622	0	0.18004	5.5774	9.2235	0.97224	0.22082	3.9166	3.5014	6.3628	4.5895	2.3964	0.40029	7.5779	9.2818	0.68318	3.9527	5.974	0.23057	4.0998	2.03	0	4.8483	6.3137	3.0122
RS_G16320__PCBP3__PCBP3	0	1.233	2.8412	5.1319	4.7329	0	1.8135	7.1215	2.717	1.4734	6.7411	1.1414	3.7919	3.7675	0	3.7909	4.1238	5.8191	0.75128	4.5556	4.431	2.5031	3.5964	0.47491	0	1.0568	0	3.3797	3.9459	5.3921	1.2824	5.3456	0	0	0
RS_G16982__IFIT1__IFIT1	4.0272	0.24404	1.6038	8.4349	2.6931	1.5317	3.5077	4.2694	0.73486	5.2973	9.1722	6.0939	6.5673	6.0911	6.388	1.8643	3.3544	10.3925	2.1393	3.6486	6.109	2.752	6.2823	1.4311	1.9978	5.2218	0	1.8031	5.7124	8.5429	3.6724	3.048	5.5259	1.7547	0.9293
RS_G11051__LAPTM5__LAPTM5	2.8393	0.20669	0	1.2492	0.22567	2.6129	1.7293	2.6516	0.45429	2.2405	3.3755	3.4596	4.1543	2.745	0.87362	1.1634	0.66768	0.69552	0.91454	0.33275	2.7641	1.0672	9.5586	0.73502	0.39464	2.4712	0	7.01	2.1102	0	6.916	0.65062	0	1.1637	0
RS_G9022__SCUBE3__SCUBE3	3.5466	0.2618	2.5074	6.8946	1.7019	0.87587	2.3629	3.9423	4.4599	2.2384	2.795	0.92187	2.8216	0.42772	5.6363	1.3151	1.3521	1.3012	4.7496	1.9342	3.1102	3.0681	3.0285	2.9598	3.4945	5.1548	0.25785	2.954	1.0921	0.61006	1.0796	0.10982	2.6449	1.8505	0.94161
RS_G4541__WNT6__WNT6	3.0042	3.7368	0.32073	0.73284	0	4.6301	5.7575	0.46473	0	1.5932	5.9361	0.62937	3.7627	0.70526	1.2218	6.7506	0.62494	3.7408	0	0	1.1888	8.9832	0	1.7939	0	5.9102	4.0941	0.50468	7.5806	5.7158	3.3084	0.80164	0	1.2905	0
RS_G5529__G0S2__G0S2	1.0387	0.48117	0	0	0	0	0	0	0	1.1623	5.0443	8.9996	2.0382	0	0	0	2.0825	2.064	7.3596	0	0	0.44356	8.7926	1.026	0	0	0	0	10.221	2.8424	3.4734	0	1.347	0	0
RS_G4225__SPARC__SPARC	0.1343	0.14978	0.094438	0.083816	14.1217	2.1509	6.2713	9.2733	0.091823	0.11392	4.201	0.91565	6.6944	2.2353	0	11.9638	11.47	4.5495	13.0059	0.63481	5.5294	3.5813	6.8619	0.63899	1.2224	2.1099	0	6.5885	3.3867	0	2.9029	0	0	0.4355	0
RS_G21898__CARD16__CARD16	0.84619	1.2359	0	0	0	0	0	0	0	0.4364	1.243	4.3336	2.7053	4.9938	2.0011	3.3761	0	7.5705	1.1067	0	0	0	1.5332	0	0	1.661	3.0494	0	2.3581	5.1972	4.1815	3.8427	5.8372	0	0
RS_G2016__COL9A3__COL9A3	1.4993	4.0111	0.88215	3.5012	1.2322	0.70713	6.8804	0.60545	2.0714	1.1249	5.9643	2.9465	2.6759	0	2.792	0.21295	2.7092	0.925	0.61144	1.6879	3.6563	4.4015	0.36722	3.2525	4.299	9.0893	0.38251	0.35941	9.2432	5.9379	4.908	2.9855	4.585	1.077	0.53092
RS_G566__CSPG2__CSPG2	0.20025	0.043506	1.2122	0.88034	1.8343	0.21093	4.7871	6.1112	1.7258	0.13026	0.20687	1.5527	1.0484	0	3.3124	1.5387	8.8786	0.043736	8.7002	0.11893	0	0	0.61441	1.3727	1.9183	0	0	3.5182	3.6374	0.39102	2.7013	0.27189	0.80559	0.66906	0.65313
