Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
RS_G13247__KRT83__KRT83	4.4686	6.0206	0.84412	2.8622	1.2037	0	1.6	0.15982	1.0608	3.8349	7.5226	0.21658	3.8995	4.0819	6.2556	0.2605	0.45353	6.3004	5.1009	0.39899	3.2356	1.2838	4.3141	1.0845	8.2638	5.2935	0.46695	9.9153	1.1824	6.0218	0.43923	3.059	1.7506	1.8815
RS_G2254__SEPT3__SEPT3	6.0681	2.128	4.9259	6.2715	4.0342	7.0323	5.5395	6.587	2.8368	6.2334	9.9177	2.4132	3.8373	5.0382	6.0119	6.3541	7.4978	3.8242	4.4659	7.7589	3.6069	2.331	4.6968	5.3424	7.9558	1.0761	2.2186	3.1444	2.392	1.7564	4.2999	3.5537	6.3302	6.7753
RS_G6523__AKAP12__AKAP12	0.48642	0.34772	0.16809	2.1495	5.5885	0.33163	6.7678	0.96527	0.96731	3.3321	2.3494	6.1267	4.1382	1.0678	2.8552	8.078	0	2.4205	3.1946	0.68596	1.622	8.2417	0.16066	0.07179	1.6561	0	4.598	3.5179	6.5708	0.9599	3.6759	1.7645	0.4458	0.6065
RS_G4882__NRP2__NRP2	0.9771	0.20883	0.35126	0.070484	5.1284	0	4.7753	5.4477	2.767	0	6.9605	5.4682	6.1647	1.8408	5.4395	6.3585	3.0381	0.93829	0.60902	2.8202	1.0506	4.1193	0.27601	0.53772	8.4982	1.3656	9.3677	1.3344	6.321	2.2134	0.87418	0.047311	0	0.1009
RS_G14073__MARCH3__MARCH3	2.7745	3.2569	2.3112	3.8079	7.2639	3.9127	3.3371	3.5078	4.7162	3.7624	3.8529	2.2062	4.095	4.8337	3.733	3.2795	3.1876	4.1582	4.2518	5.4319	4.115	5.8431	2.9157	3.9047	8.6586	3.2788	3.641	1.93	5.393	3.9215	5.5492	4.9057	4.0362	3.6738
RS_G8516__GJA5__GJA5	5.1528	7.3724	0.25609	0.30595	0.75881	0	2.1537	1.8724	0	1.103	0.51023	0.46303	6.1047	3.0129	9.1154	0	1.4256	0	0	0.63186	5.1935	0	0	0	7.1706	7.402	0	4.5966	1.2018	6.2637	2.113	0.1099	0.3266	0
RS_G7555__CTSL2__CTSL2	6.6635	6.2586	5.6688	5.1485	6.7847	5.8017	11.2857	5.654	7.0295	4.9705	6.5726	7.1559	7.1125	7.6576	7.9326	7.0231	7.0512	5.9428	6.6346	6.2477	5.3029	3.8935	4.8953	3.6966	6.2073	5.8886	3.3803	4.4155	7.4402	5.8106	7.3226	5.8826	7.0084	6.0221
RS_G7469__GATA4__GATA4	0	0.071455	5.0461	5.7202	0	0.15928	0	0.25613	0.24147	7.6513	4.2841	4.4421	0	0	0	0	0	4.1894	0.48135	5.5359	2.3787	0.28015	2.9878	3.9039	0	0	1.7774	0	2.7153	0	1.8259	4.0538	0.86042	0
RS_G14500__LRRN1__LRRN1	3.9334	0	7.2765	4.8669	8.4806	6.9925	0.41799	0.84531	0.76506	5.0522	0.23961	0	2.8126	1.741	0	0.31549	0.89135	2.8027	1.1056	6.3581	3.3755	0.64811	2.9294	5.0914	2.8801	0	0	0	0.21281	0	1.3224	5.0335	2.4091	1.6057
RS_G5128__C6orf97__C6orf97	3.1578	0	5.1411	4.0963	0	4.1221	0	0.32115	5.2392	6.3162	4.2969	0.082714	0.15617	0.095144	0	0	0.33528	6.6388	6.3693	5.8502	0.5478	0.048768	4.0578	0.26259	2.5829	0	0.26705	0	0.29656	0	4.7903	4.3059	5.6965	4.9746
RS_G9764__SPOCK1__SPOCK1	0.73188	1.8385	1.5447	1.885	8.7612	0.26671	2.8401	8.7292	0.11606	1.9726	0.51264	3.357	5.8754	3.6344	2.2589	3.2299	1.9918	2.0412	0.30801	5.5589	1.2868	1.0533	0.76718	0	5.2564	1.6003	3.5414	1.622	3.8591	0.52115	0	4.5238	0.29584	0
RS_G8446__RCN3__RCN3	2.5656	5.646	0.1561	1.0231	6.0513	0.50087	6.6643	7.1184	4.6093	1.7805	6.5676	7.7882	4.1885	2.6545	3.5399	4.4844	5.4142	4.8105	2.497	2.3104	2.3304	0.46976	1.1202	1.2148	3.3418	4.6915	9.0074	0	5.4759	0.54176	3.3249	2.4497	3.0716	0
RS_G10013__PGM5__PGM5	0.98175	5.7702	1.2732	4.3229	0	0.27613	0	0.90894	0.52699	4.3002	0.12769	0	3.701	0.13224	1.7349	0	0	2.9296	3.596	0	0	0.13333	1.23	0	2.173	6.2945	1.102	0	0	2.625	0	4.6748	4.1586	0.29176
RS_G6275__KLK8__KLK8	0.33827	2.1437	0	4.4067	0	0	6.9642	0	0	0	0	6.7567	8.6102	9.0065	4.5337	0	2.8049	1.3141	0	0	8.6402	0	0.38986	0	5.6314	0	0.69648	0.74274	9.9341	7.1862	4.1111	7.1867	5.4714	0.31492
RS_G118__CRLF1__CRLF1	0.95481	3.4098	2.7357	4.2579	1.8533	0.82276	2.3065	1.9642	3.8323	5.0392	4.7469	5.1545	3.3215	3.831	3.3975	1.0969	0.8225	5.9449	6.8572	2.0323	3.1764	0.48881	6.5761	1.7395	10.2076	1.4224	1.8384	1.5634	4.8437	4.7497	6.5653	4.6619	4.4083	3.7399
RS_G12909__PCSK9__PCSK9	0.224	0.24897	2.5636	0	0	0.14829	0.234	0.43977	0.35935	0.85135	0.25092	6.1286	5.334	0	1.6052	0.38632	9.485	0	0.074324	0	5.8913	0	1.2053	0	0	0.63762	0	10.6319	8.6141	0.36774	0	1.6384	0.20373	0.20416
RS_G4919__CTGF__CTGF	9.505	4.4992	0.78195	1.8219	12.8527	0	8.7089	7.2404	1.2136	1.2462	8.3956	5.4822	6.3887	7.5308	10.7526	9.5522	5.6891	2.5154	1.758	0.22651	5.5647	10.5691	3.2516	1.4824	11.3633	4.5607	6.2663	7.3857	5.3545	6.591	2.1019	4.4628	1.8454	1.1337
RS_G31439__RP11-142G7.1__RP11-142G7.1	0.31651	0.64623	1.9172	0.70896	2.3291	1.387	1.6351	1.7911	1.0099	0.52206	0	1.0023	3.1451	1.1155	0.72441	0.94503	1.0951	0	0	2.0935	6.5583	0.67472	6.1762	6.0604	0	0	3.9672	2.4524	1.5716	0	0	1.5429	0	0
RS_G18145__ACADSB__ACADSB	5.7144	2.0174	6.2904	6.2849	3.5409	4.8607	3.4732	4.5269	6.9104	4.8351	4.3707	5.0549	4.8191	4.277	4.398	4.0563	3.7095	3.4352	5.8543	6.4362	1.8393	5.1703	4.2944	4.8621	3.5718	3.4325	1.8983	3.7738	0.85369	10.8001	5.2469	5.1251	5.6484	4.0839
RS_G16628__PDE4B__PDE4B	6.4704	3.5464	1.9844	0.20129	3.3063	5.4525	0.24878	4.9161	5.5966	2.0004	5.192	1.4264	1.4849	3.9286	3.8978	4.5046	6.4591	0.28862	2.0051	4.6156	3.399	3.4134	5.681	4.6651	8.64	3.4552	4.956	8.0863	0.082897	4.8358	0.68044	3.1212	4.0708	0.94457
RS_G9022__SCUBE3__SCUBE3	3.5466	0.2618	2.5074	6.8946	1.7019	0.87587	2.3629	3.9423	4.4599	2.2384	2.795	0.92187	2.8216	0.42772	1.3151	1.3521	1.3012	1.9989	1.9342	3.1102	3.0681	3.0285	2.9598	3.4945	5.1548	0.25785	2.954	1.0921	1.0796	0.10982	2.6449	4.6731	1.8505	0.94161
