Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__CORO2A	8.836	8.192	6.0528	7.6983	6.1212	5.916	7.1036	5.3988	5.5632	7.6917	5.9273	6.9104	8.3333	8.0255	7.9177	7.2362	8.2172	6.5257	6.9419	5.259	7.272	7.2688	7.9547	6.7366	7.9694	7.9375	7.3518	8.5669	5.6086	6.7998	5.6645	6.1269	7.8776	7.0397	6.8073	7.5325	6.9546
EA_G__PSAT1	3.5968	8.2914	9.3579	8.5626	9.8292	3.9255	9.3664	8.8569	9.819	8.0891	6.1267	8.8646	8.96	9.5056	8.9409	7.9384	4.1475	9.6668	9.8041	8.7413	8.3464	7.1102	8.3568	8.8755	6.8694	4.8052	4.78	8.176	10.1293	8.7025	9.0258	10.2469	4.0839	7.9566	4.4052	6.4859	6.414
EA_G__IL1R1	5.2433	6.2627	5.8067	6.4215	6.9492	7.1119	4.9937	5.9677	7.8353	3.6556	3.6594	6.2725	4.2437	4.4349	5.2934	8.6186	5.4512	6.8552	6.9971	6.0492	5.4991	5.0264	6.6671	4.3427	7.0316	7.5953	9.5627	5.5494	6.534	5.8414	5.9406	4.8437	5.9686	5.867	5.7212	6.7576	4.3297
EA_G__MAML2	5.1654	6.667	7.8134	4.6254	7.6742	3.8292	7.95	6.2085	7.2799	3.5172	3.7807	8.8662	6.2387	7.5965	8.5358	8.6942	7.8364	7.5118	8.6885	7.9423	4.9397	5.5006	7.8878	6.8569	5.7608	3.7884	4.3487	6.4097	6.6754	7.3799	7.2715	5.7587	4.7606	6.1689	4.2942	5.1283	4.2388
EA_G__ADAM19	7.0925	6.7177	4.8427	5.0563	6.7155	4.8301	7.786	6.0565	6.9025	4.6711	4.9038	6.0687	6.2888	5.1522	5.7544	5.8864	6.6231	6.8082	5.7394	8.7117	5.4742	5.4706	8.544	7.72	4.7314	6.6282	5.6521	7.3337	8.5251	5.7288	5.9389	5.7672	6.095	5.2166	5.0739	5.4023	5.2444
EA_G__NAT9	8.1593	7.8306	8.3091	8.0459	7.7876	8.4994	8.6647	7.5253	8.564	8.8338	9.219	8.2806	9.0493	8.0557	7.8334	7.8629	9.0283	8.7203	7.8613	8.7642	7.84	8.1418	8.8001	8.7994	9.7072	7.8432	9.3691	8.6332	9.1259	7.9788	8.2836	8.21	7.5803	8.9098	8.3649	8.733	8.8322
EA_G__GPR81	4.9668	6.0516	3.5022	7.939	3.5141	6.9006	2.868	3.5631	3.7151	8.6916	6.629	4.3242	6.9887	7.1222	5.8908	7.3637	3.5687	5.2175	4.6384	2.9743	7.6206	7.1395	3.373	4.1802	8.6643	7.4676	6.8526	6.064	3.7546	3.8905	2.7273	4.8618	5.8669	6.462	5.8118	6.8539	6.1376
EA_G__TSEN54	8.1719	8.2347	7.8821	7.9326	7.3471	8.602	8.0255	7.8688	7.7773	7.9281	8.6685	8.0825	8.1462	7.6475	7.6268	7.7482	8.202	7.3186	7.7329	7.1781	9.233	9.0618	7.5306	7.7392	8.7507	7.4928	9.2291	8.6467	7.5815	7.3676	7.6907	7.5495	7.7498	8.2297	8.3159	8.2921	8.5669
EA_G__LOXL2	5.4783	5.8448	8.0146	5.6278	11.5706	5.3784	7.3672	8.3444	9.7971	5.3611	5.5669	7.4703	6.3969	7.012	8.4417	5.7593	8.9623	8.3503	7.7097	10.4794	7.4047	6.4296	10.1895	8.8689	5.4797	5.8476	6.3622	6.7527	8.6472	9.8992	9.576	6.8763	5.9034	5.8065	6.9555	5.6576	5.5175
EA_G__SERPINH1	7.187	7.3958	7.8232	7.7554	10.7772	9.6641	8.7474	9.805	9.8248	6.7306	7.0871	9.6875	9.2517	8.9848	7.9256	7.8561	9.3818	8.8324	8.5792	9.3069	8.675	8.3777	5.5225	8.0429	8.1184	7.1842	8.3513	7.323	9.5428	9.1354	9.0903	8.047	9.2812	8.5007	7.8912	7.6511	7.3851
EA_G__ABCA3	7.4898	6.1001	5.9275	6.9381	6.5877	8.6685	6.65	6.4291	6.0702	7.5984	7.7157	6.836	5.8417	5.8612	6.15	7.2382	6.8044	5.8351	6.2413	5.5762	8.3807	7.7083	5.9727	6.7002	7.2912	7.0449	8.915	7.0031	6.1109	6.1814	5.8895	6.7524	7.366	7.6447	8.529	8.656	8.3675
EA_G__TMEM62	7.949	8.9841	7.4582	8.7357	6.6914	8.7591	6.6112	6.9449	5.0083	9.6191	7.04	6.0806	7.8635	6.9773	6.5984	6.7557	7.3482	5.8364	7.4666	6.7297	6.3817	6.9338	6.3979	7.0368	8.9357	9.5611	8.2279	7.9178	5.5354	6.7559	7.2789	7.4412	7.5937	7.7068	7.1573	9.6225	8.3443
EA_G__ACSL4	3.8905	3.2437	6.8678	3.2175	8.1981	3.93	5.8474	4.9921	7.8339	3.2795	4.7223	6.0223	5.4391	5.9242	7.1514	3.2448	6.4566	7.5506	6.3064	7.7862	4.3467	3.4318	6.5727	8.0383	3.8174	6.3426	4.0514	3.2697	7.359	6.9283	7.5937	3.4226	5.8348	4.7256	3.5077	3.3705	5.1109
EA_G__CUL4B	6.6142	7.0274	8.4121	6.2287	9.3472	7.0256	8.1315	7.2752	7.686	7.6102	7.6919	7.0614	6.7863	6.5816	7.5829	7.2735	7.3667	10.0552	7.1003	7.8513	6.5622	7.0789	8.6142	7.2966	6.404	7.2378	6.5199	6.8767	7.1544	6.4288	6.9163	6.3816	6.6166	6.3577	7.0476	7.0727	6.9907
EA_G__MLPH	9.7749	8.9613	8.6126	9.4537	7.2434	8.8593	6.8868	6.8657	5.9652	10.2061	9.2145	6.1493	7.1993	6.1736	7.9823	9.408	7.7663	8.4935	7.6096	7.3314	9.3005	9.7117	8.2664	8.0714	10.0726	9.6628	9.7087	9.4819	6.3658	8.0179	6.4396	9.1543	9.9994	9.2638	8.9017	10.4752	9.9638
EA_G__PLS3	8.5024	8.5034	10.6252	5.8148	10.2417	6.775	10.178	8.0677	8.6415	8.9161	8.5303	8.6841	9.4534	9.3802	9.6655	9.0918	10.7811	10.4548	9.9395	9.3095	7.2571	2.9423	8.6509	9.6195	7.9502	9.2696	7.3506	8.6755	9.637	8.4954	9.0071	7.9355	8.0676	7.7958	3.0837	7.5616	8.325
EA_G__PITPNC1	5.9581	5.5345	5.4744	7.8044	5.2162	6.9251	7.0212	5.1425	6.6952	6.5773	9.4228	4.747	6.4283	5.6002	7.1111	5.9105	6.5611	4.5402	6.7923	5.8769	7.7613	7.2287	7.215	6.034	7.8241	6.7048	7.9891	6.3138	6.8045	5.0386	6.0261	5.8866	4.687	6.4611	6.7829	7.1502	6.6286
EA_G__TOM1L1	9.489	7.6603	7.8456	11.1528	7.4255	9.1088	8.7525	6.8062	6.4184	9.3334	10.0995	7.2869	7.4997	7.2579	8.116	8.1689	8.1728	8.2532	7.2323	6.7395	8.5358	9.3382	7.8329	7.7808	9.9911	9.1808	7.9222	7.5116	9.1269	7.732	8.0915	8.7812	8.208	8.9751	8.6278	9.847	9.8839
EA_G__ST6GALNAC2	10.2973	5.0291	5.516	10.3685	4.5595	8.7228	6.5984	7.353	4.8036	9.9648	6.5371	4.6823	5.9709	5.9589	4.8008	8.1178	5.1009	5.8811	7.4136	4.6967	6.3217	8.8799	5.7877	4.6438	11.3695	9.1258	9.9534	5.1063	4.954	6.391	4.6258	6.6702	10.1722	9.3112	10.0639	10.5198	10.1631
EA_G__LDHB	5.2705	9.9549	3.3443	6.5869	10.2955	3.0453	10.7181	11.0786	9.4898	2.9818	6.978	11.0733	10.9666	10.7587	2.5138	10.4313	10.2146	10.8921	8.2479	10.3377	3.5445	3.0401	10.252	11.1245	9.6888	9.633	3.417	9.8014	10.5553	11.0504	10.9831	5.1717	10.1744	5.3941	7.9447	2.9497	2.7444
EA_G__GSTT1	7.6347	4.6299	4.8137	8.0168	7.6019	8.4776	4.7123	4.377	4.5363	8.8024	4.5306	4.5116	4.9129	4.2115	7.0852	7.3671	7.6961	7.5309	4.753	6.9702	6.5317	7.7158	6.9876	4.0882	8.3665	7.6046	8.6851	6.5673	5.1682	7.0605	6.4598	7.2578	4.7409	4.6702	7.7072	9.7679	8.4166
EA_G__SLC40A1	6.8502	8.0701	4.2189	8.1892	3.7959	8.0269	4.4506	4.0922	4.2159	7.8833	10.106	6.5779	5.4936	4.2927	5.1166	8.1015	4.3603	6.1059	5.223	4.0297	4.289	4.0528	5.7339	4.346	9.6424	8.3737	9.2989	7.1985	4.2552	4.3975	4.2056	7.4368	7.0743	10.0715	6.5471	8.6955	7.2722
EA_G__PTRF	6.1378	5.9441	8.4012	5.9461	9.47	6.0342	7.9379	6.2178	8.1509	5.8965	5.563	7.0871	8.0149	8.4522	8.1467	6.696	6.8672	9.1449	6.8679	9.7016	6.208	6.3008	8.7173	8.8381	5.6244	6.5879	6.7201	6.1917	8.0202	8.0864	8.6629	6.4714	6.5439	6.4796	5.9012	5.9419	5.7248
SNP__BCAS1	0.013	1.068	-2.242	2.02	0.515	0.076	0.13	-0.213	-0.562	1.117	1.015	0.237	0.233	0.336	0.288	0.352	0.268	0.169	0.238	0.305	2.058	2.247	0.637	0.143	0.83	0.252	0.166	1.244	-0.184	0.683	0.028	0.333	-0.137	0.32	0.853	0.395	0.305
SNP__ZNFN1A3	0.376	1.965	-0.203	1.862	-0.07	0.096	-0.423	-0.199	-0.316	2.135	-0.411	2.277	-0.144	0.43	2.696	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.455	-0.144	0.294	2.132	-0.034	0.021
EA_G__DPYD	5.7967	5.64	5.7553	4.3788	8.3159	4.2017	7.8062	4.2855	8.8549	3.9347	4.0726	5.0063	6.1143	9.4525	6.9179	4.5943	4.9597	9.4643	8.6987	8.286	4.1438	5.5058	7.1156	8.739	4.3333	7.724	5.5622	5.8884	7.8689	7.0905	7.6585	6.6423	6.7683	4.2669	4.0758	4.0451	4.3467
EA_G__FGFR4	6.212	7.4027	6.3774	9.4947	6.7252	11.1104	6.9616	6.8446	6.9437	9.9702	7.7334	8.649	7.4069	6.9704	9.0064	7.8246	7.3383	7.6825	6.2891	5.6839	7.6865	8.3879	8.0349	6.6169	9.9462	9.8037	11.4544	6.6971	6.6719	6.5764	5.6794	9.0287	8.2707	6.8843	8.8386	10.7427	9.4229
EA_G__CRABP1	4.8226	5.1661	4.8173	4.9957	4.9595	10.7418	4.8742	4.8406	4.564	5.0847	4.6772	8.4409	5.059	6.756	5.0858	5.3617	5.5451	4.3649	5.7906	4.9128	4.8034	8.0664	6.9542	4.7107	7.22	6.4765	5.9732	5.6534	4.863	5.1217	4.772	5.023	5.3886	5.7072	9.7499	7.0687	5.8284
EA_G__RECQL5	6.3866	5.9241	6.0982	6.0967	6.1105	6.3339	6.1693	5.8448	6.5609	6.5268	6.6407	6.1679	6.2175	6.1243	6.0609	6.1575	6.5895	6.5771	6.3722	6.0161	6.9088	6.9666	6.6794	6.0628	7.0021	6.1281	6.3826	6.4489	6.5105	6.0787	5.9867	6.493	6.191	6.7539	6.5892	6.812	6.8478
EA_G__KIAA1324	9.1151	8.7391	5.5267	9.9689	4.7668	10.7206	4.988	4.7104	4.92	9.8157	9.2718	5.0802	4.8433	5.3249	5.2066	8.9328	5.2349	4.8067	6.1461	4.7633	8.0162	10.4682	4.8393	5.5117	10.5581	11.1607	8.8761	8.3421	5.2686	5.0444	5.1043	10.1644	9.1857	8.7249	9.1258	9.4421	8.6387
EA_G__RPS6KB1	7.9285	6.8347	6.7477	9.686	6.8791	7.8417	7.1181	7.0867	6.566	7.7392	8.4481	7.0803	7.3503	7.0176	7.2514	7.1259	7.4042	7.96	6.3461	7.2677	10.1584	10.5843	8.3166	7.3725	9.0959	7.2654	7.6868	6.4024	7.9014	6.8211	7.5454	7.0397	6.9892	7.5328	7.5836	7.8682	8.2306
EA_G__C1orf34	8.0896	8.7299	6.5143	8.6653	4.3849	7.8825	4.9498	6.4694	4.4875	9.621	10.7155	4.7666	5.4992	6.0973	5.9825	8.1981	5.8414	4.7716	8.2159	4.4583	7.4708	8.655	4.7734	4.9479	9.2873	8.812	7.8876	9.2993	4.8324	4.8993	4.8296	7.8121	7.8552	8.6739	9.9698	7.8377	8.6777
EA_G__WWTR1	8.5062	8.2368	8.9816	6.8254	9.2967	6.3017	9.5252	6.9849	10.1663	7.4681	8.7618	8.6822	9.1395	10.0926	8.6425	9.9261	9.4158	10.9385	9.7446	9.7977	7.4116	7.6245	8.8946	9.0873	7.4909	7.9722	7.2931	7.9894	10.0168	8.4116	7.8581	7.8051	9.2749	8.2689	8.4534	7.9319	6.0988
EA_G__APOL6	6.746	5.8515	7.0023	3.9178	6.5102	4.1502	6.6456	7.3032	6.392	4.4163	4.5239	7.0243	5.9254	7.3936	7.636	6.3608	5.1484	6.5327	8.7211	6.4086	4.6596	4.1977	7.0424	6.3436	4.2165	7.3372	4.81	6.0351	4.9995	5.9265	6.0161	8.6586	5.8541	4.7923	4.605	4.0734	3.9093
EA_G__SUSD2	10.6325	11.4387	6.1719	6.7655	5.582	7.4337	6.5795	6.7565	5.8544	8.182	10.5693	5.5116	6.6145	6.8722	7.7756	9.6472	8.8452	6.4276	6.2375	6.632	6.5745	6.9248	6.8947	6.8246	7.9512	10.1454	9.4259	11.7924	6.2425	7.9071	5.6027	10.8731	8.8168	6.2593	7.5585	6.4449	5.7019
EA_G__TXNIP	11.4477	9.4899	8.664	11.1834	8.2016	8.8252	9.5002	6.4032	8.5213	9.9252	11.1727	9.0635	9.0577	8.9978	9.1034	11.4956	9.4844	7.1337	9.0548	6.1876	10.1424	10.7257	8.7961	10.0538	11.9748	11.7421	10.2077	9.9995	6.8938	10.3401	9.2695	11.5792	10.6894	9.2288	10.4638	11.0805	10.3522
EA_G__RNF145	8.2864	8.9906	7.8601	5.9042	8.2399	3.6986	8.1927	6.4509	8.8975	4.383	6.8288	6.957	7.388	7.931	8.2957	6.8248	7.964	8.0655	8.2727	9.2999	7.2541	5.8841	8.7718	8.5754	5.0477	9.0789	5.5689	8.0365	8.8456	9.6135	7.7868	8.1719	8.3063	7.5792	6.3729	6.331	6.4106
EA_G__REEP1	5.5033	5.2776	4.9751	7.7187	4.2074	7.4432	5.0386	5.2532	6.9734	8.0607	5.8655	6.3005	4.2921	4.878	4.814	7.0192	5.5482	5.1596	4.3844	4.5623	5.2159	5.6446	7.4545	4.8001	7.4304	4.2083	6.0434	4.6308	4.3189	4.6422	4.2838	5.0699	4.6808	6.3316	5.9632	6.1664	5.9645
EA_G__STARD3	8.6038	11.0005	7.6703	11.6755	7.704	8.3756	7.7797	7.712	8.0941	11.6862	7.7375	7.0771	8.264	7.7935	12.1044	7.9649	8.4927	8.6671	8.2598	8.272	7.8381	7.7682	7.7795	8.4776	10.5954	8.2645	9.3549	10.7309	8.1765	7.3145	7.8384	12.3685	7.7257	8.5737	11.2988	8.1594	8.1242
EA_G__TOB1	9.7608	9.0994	8.2733	10.3884	7.4602	9.6086	8.2488	7.4455	7.3781	10.7407	10.9032	8.0535	7.6285	8.1314	7.6875	9.066	7.1435	8.0148	7.7478	5.8354	9.5153	10.1659	7.4631	6.2229	10.9348	8.9254	9.3315	8.7014	7.2404	7.3259	7.5716	8.452	9.2129	9.9542	9.2213	10.3392	10.2663
EA_G__PPP2R2C	7.8327	6.1796	7.3569	7.5506	5.4216	7.0691	5.1203	4.6485	4.7309	6.9322	6.837	6.4121	6.8921	6.7967	6.877	5.2296	6.7186	5.794	5.0392	4.7801	8.0008	7.1813	5.7678	4.6369	8.7009	6.4914	7.0986	4.9998	6.6378	4.9071	5.0094	7.2653	7.4191	6.3323	7.1069	7.6812	8.092
EA_G__HIST1H1A	5.8645	4.0453	8.5439	3.5876	3.9681	3.6907	7.6004	7.6991	6.3949	3.9692	3.1037	7.5128	8.8424	8.2176	3.1446	6.9075	9.0793	8.1828	7.6253	4.7202	3.5802	3.8159	5.9687	4.0482	3.4884	4.5521	3.8362	3.4594	4.5463	6.2006	5.5518	4.383	4.4879	3.8866	4.3226	3.7257	4.0929
EA_G__NAV2	7.047	5.9388	8.3512	5.1132	6.6849	5.544	6.9753	9.7986	7.586	5.5004	5.4398	5.3615	5.9011	7.0078	7.7367	5.5622	7.9494	5.0788	6.3855	7.6234	5.2578	4.9935	6.821	6.9071	5.3098	8.0044	5.7505	6.8978	8.132	7.6056	8.1373	6.4853	7.9451	4.7301	5.2354	4.8832	4.7912
EA_G__C9orf152	8.4683	7.9416	3.1106	9.015	3.3253	7.5362	3.2593	3.6704	3.8201	9.6854	6.8934	3.2606	2.5096	4.7044	6.1075	7.8747	4.4017	2.9521	5.0464	3.4125	4.5846	5.7573	3.1833	2.9212	9.606	7.4371	6.4351	7.1601	2.7658	3.7666	3.421	7.4871	7.795	7.8891	6.4831	9.313	9.0216
EA_G__DGAT2	7.2799	7.332	7.2533	6.6673	8.3338	6.793	8.1477	10.0431	7.9407	6.4224	6.7501	9.0412	6.875	7.3975	6.9004	7.9026	7.6489	7.2634	8.3765	7.1782	7.7127	7.7189	6.9919	7.3746	6.3347	8.788	7.7984	6.9102	6.8479	8.7216	7.0924	8.1387	9.2249	7.3643	8.7326	7.1686	7.993
EA_G__C17orf37	10.2627	12.1616	9.4327	12.5067	9.6297	9.9884	9.7393	8.7276	9.4784	13.0107	9.7623	12.9521	9.5497	8.8984	13.0916	9.1605	10.6536	10.2348	9.8217	9.1925	9.7035	9.7398	9.7471	9.5775	12.0721	10.1387	10.4964	12.051	9.5708	9.2545	9.6907	13.376	9.9787	10.4971	12.8045	10.2002	10.228
EA_G__KIRREL	7.5887	5.9225	6.9042	5.6081	10.3544	5.5244	9.7389	9.3978	9.7405	5.3224	5.3906	10.1946	8.1	9.2642	8.6382	5.5174	9.3051	9.8443	7.0456	9.2853	5.8194	5.7806	10.0757	8.5703	5.2519	5.8751	6.4035	5.6421	10.2171	8.5799	9.3106	5.8787	5.7361	6.8062	6.3514	5.7109	6.6927
EA_G__SLFN11	4.0289	7.3239	5.1422	3.4401	8.8063	3.6834	6.7822	4.9182	3.8921	3.64	3.5673	3.7837	6.9671	3.7642	3.9415	6.6266	3.7182	8.7167	4.0784	3.9653	4.2244	3.8785	5.043	3.6201	7.8717	3.9968	4.9768	6.6291	3.8912	4.3298	8.1337	4.9569	8.2407	7.1963	5.6434	3.6617	3.6138
SNP__MGAM	0.006	-2.204	0.186	0.355	-0.135	0.422	0.042	0.426	0.662	-0.217	0.305	0.402	-2.603	-0.251	-0.206	0.267	0.465	0.018	0.485	0.239	0.196	0.089	0.122	-0.145	-0.041	0.191	-0.409	-1.689	0.526	-3.317	-0.006	-0.327	-0.287	-0.321	-0.317	-0.042	0.028
EA_G__DSE	6.5087	4.9218	7.4749	5.6022	8.355	4.9347	7.6562	6.4394	6.6805	5.0587	4.8985	7.5324	6.6408	7.9313	5.3415	7.9374	7.4554	7.7246	8.003	8.3474	5.6499	5.7104	8.2435	7.6652	6.1001	5.1929	5.5859	4.9368	7.761	8.7834	8.6778	5.4813	5.2387	5.0241	5.9327	4.7765	4.927
EA_G__SPARC	4.5171	4.8293	4.2373	4.5504	11.8832	4.6628	6.7226	5.1153	9.4855	4.3425	4.5079	9.4465	4.4679	6.789	4.6287	4.3059	10.9051	11.0077	4.8481	12.1508	4.9966	4.6314	12.8203	7.2862	4.4453	12.4428	5.2404	4.8983	8.4651	5.4089	10.5706	4.774	4.8747	4.5219	4.6737	4.7502	4.5409
EA_G__SYK	6.4062	5.9849	7.3582	7.3327	4.7423	5.0707	5.0835	6.2633	4.4833	4.4849	6.8967	4.6334	7.5505	7.6245	8.463	6.9189	8.076	4.409	4.8371	4.7997	6.8007	6.8805	4.5247	4.6861	6.3931	4.4987	5.1463	7.264	4.8881	4.8966	4.8173	7.2579	7.2591	6.9358	5.5448	6.3764	5.6168
EA_G__TACSTD1	9.3116	8.8874	9.1914	9.2339	2.7838	8.7966	9.3225	7.9166	2.9588	9.0834	8.4753	8.7673	9.1746	9.3421	9.2183	8.714	8.8848	4.2618	8.6569	3.0546	9.0642	9.549	4.7991	5.81	9.6782	9.3951	8.8342	8.6343	3.3721	9.0522	2.7958	9.0448	8.6184	8.2127	8.4909	9.4219	9.2267
EA_G__CREB3L4	8.1311	8.1722	6.239	8.8266	5.1526	8.4914	5.7882	5.6323	6.0428	8.1729	6.4823	6.4278	5.55	5.5635	6.0272	7.1548	5.7115	5.4265	6.6527	5.4111	6.6146	7.3017	5.3083	5.5882	7.768	7.4532	8.0278	7.7082	5.6583	5.9138	5.4051	7.9691	7.4838	8.0176	7.745	8.8611	8.2783
EA_G__NPAL2	6.9008	5.9027	6.8153	6.3489	4.937	4.6577	5.4937	6.2101	3.9815	8.9241	8.0853	6.4543	4.0973	7.2119	6.8325	7.1773	6.7199	5.7675	6.141	6.516	7.0963	6.8102	6.6986	6.4927	6.9277	6.313	5.4176	5.8846	5.0348	6.7427	5.276	8.6295	6.5493	6.7587	7.214	6.7578	6.4154
EA_G__EPN3	8.6199	8.2278	8.0466	9.6436	6.3758	8.069	7.4293	7.116	6.3802	8.672	8.7373	8.1351	7.9438	6.843	7.7746	7.7472	7.1172	6.3093	7.9575	6.3471	8.673	8.446	6.1877	6.2349	9.6115	8.2606	8.6589	8.2641	6.6755	7.3269	6.6283	7.2364	8.4764	8.7652	8.4147	8.8978	8.7596
EA_G__AGR2	10.388	9.9764	3.2404	10.5253	3.1745	6.0439	3.5567	3.1734	3.3399	10.6695	6.7701	3.4557	6.1162	5.8644	7.6477	10.1249	3.6198	3.3258	5.9674	3.3756	6.4972	9.3306	3.0206	5.2088	9.6312	11.0565	8.4022	8.7004	3.9941	5.3017	3.7281	10.5448	10.4962	10.2239	11.303	8.8069	8.6101
EA_G__MPP1	4.6323	4.6149	5.5659	4.1933	7.3661	5.2864	5.9491	6.1238	6.5432	4.0628	4.851	6.9422	6.5674	5.376	4.4365	5.2199	6.7918	7.3067	4.5936	7.6194	4.6365	4.6134	8.3037	7.4557	4.1565	6.2867	6.0077	4.7191	7.4905	6.8069	8.2609	4.4879	6.8111	6.0661	4.9223	4.6406	4.793
EA_G__ELL2	6.8523	5.9738	8.4801	5.4848	9.0239	5.5223	7.8213	6.2642	7.1177	7.3842	5.1636	5.7827	7.7042	7.7394	8.4219	7.63	8.1983	8.1004	6.8832	8.7843	4.8266	5.4662	7.4624	7.7774	5.8231	9.4469	6.9037	5.7191	7.9853	7.358	9.1605	7.4441	6.8344	5.428	6.024	5.6388	5.8718
EA_G__GJA7	4.8989	4.8475	6.9278	5.84	7.4714	4.7178	8.5742	7.3874	6.8312	5.3196	4.6661	6.5742	6.9284	6.4528	6.9926	6.2159	6.8559	7.0645	7.013	7.5561	4.9328	4.7611	7.6568	4.7212	6.6205	4.4482	5.435	4.9082	8.624	6.5147	7.1838	5.7329	6.474	6.7178	4.9803	6.6005	6.5818
EA_G__GLS	7.4277	7.4228	9.005	6.9834	8.2057	6.6295	9.1094	7.2106	8.9736	8.0475	7.609	9.5461	8.4018	8.6477	8.1178	7.4503	8.7597	8.412	7.7883	8.4596	6.8403	6.6922	8.8394	8.5453	6.2814	7.2594	4.5529	7.0692	10.0833	8.7098	8.438	7.0957	6.6458	6.6057	6.9638	6.5527	6.4748
EA_G__INPP4B	7.4601	5.5609	6.5215	8.2586	6.7976	9.0549	5.2547	3.8202	3.6908	6.6821	9.0399	6.2207	7.1384	7.9002	8.0145	4.926	6.9207	4.0702	6.683	6.1541	8.4551	8.0536	6.2776	6.7377	9.2115	8.2744	4.6256	5.9112	6.4328	7.1682	6.4642	6.704	6.9154	7.0869	6.5131	4.7484	4.2681
EA_G__PARD6B	6.6898	7.453	8.2745	7.9356	5.6462	9.0659	7.4407	7.1044	6.5166	9.1497	8.5948	7.3837	7.5392	7.1739	7.7258	7.8017	7.1111	5.7964	7.4969	5.8639	9.8281	9.7913	5.8916	7.6107	7.4723	7.3893	7.1206	7.9257	6.5983	7.1532	6.0187	7.3888	7.7564	8.7348	9.9907	7.6213	9.8215
EA_G__ZNF91	7.3303	3.247	6.062	7.8296	6.727	7.5761	3.3515	7.7064	5.8109	8.4976	8.1863	5.334	7.118	5.7455	6.6532	5.1995	6.3693	6.45	6.2166	5.176	6.9134	7.1203	7.1255	4.4042	7.5935	7.4691	5.4573	3.5138	6.2806	7.0586	4.4679	6.6549	5.2976	6.0909	7.1857	6.8157	4.688
EA_G__CTGF	7.8838	7.0133	5.9156	5.884	9.3777	5.681	7.7782	6.5942	7.1026	5.7885	5.882	8.7018	6.664	6.8898	6.9109	7.1419	8.6485	7.6684	6.5018	10.62	6.0448	6.3716	7.6168	8.8141	5.7406	6.065	6.5061	6.6274	9.1454	7.3645	8.134	6.6338	6.6145	6.0636	6.0606	5.9837	6.0465
EA_G__GDF15	8.7068	7.1724	5.6526	5.962	8.161	5.4139	4.8212	5.2088	5.2556	9.4947	5.5548	5.304	6.6795	5.3912	8.6846	5.6073	6.0021	4.7668	5.3299	5.2659	9.3891	9.0769	4.9128	5.4678	6.8564	5.8438	6.2679	5.9322	5.7552	5.5337	5.7553	9.3912	6.9215	6.5323	8.1624	6.3288	8.3241
EA_G__SLC39A14	7.2392	7.0695	8.413	6.7073	9.7325	7.094	7.6136	9.8801	8.189	7.4083	7.1434	8.5716	7.6742	7.7243	6.9608	6.898	7.8345	8.1108	6.6582	9.4612	7.1446	6.7092	7.542	8.3485	5.9451	7.0796	6.3629	7.3537	10.7989	7.488	8.4903	5.7332	6.6494	7.0208	7.5143	6.2866	7.8622
EA_G__ESR1	7.8103	5.949	6.0559	7.1801	5.6039	8.4071	5.601	5.7796	5.8403	7.5436	9.7789	5.8332	6.1272	6.5118	5.9623	6.2441	5.6586	5.4846	6.0553	5.6479	8.4338	8.7397	5.3713	5.413	8.6907	8.0188	6.1198	5.8501	5.7046	5.9209	5.8721	6.0028	7.9154	8.6844	8.1235	6.081	8.4263
EA_G__C9orf19	4.855	6.829	5.2071	5.2876	6.026	5.1261	6.4771	6.7151	6.7726	5.3678	4.8164	7.5139	5.4878	6.4374	5.5258	7.9401	7.2436	7.8618	7.5982	6.9045	5.9074	5.816	9.8291	6.2212	6.3068	4.5292	5.5009	5.9774	6.2198	6.1858	5.8776	5.6259	5.4415	6.019	5.3041	5.1365	5.374
EA_G__FZD7	5.6238	4.9595	7.5193	5.0229	5.7581	5.4522	9.4585	5.8364	7.2116	5.7953	7.0174	7.2477	5.2591	6.6431	5.8451	4.8257	5.7462	6.7231	7.1561	8.2216	6.4394	4.9982	7.5659	6.8319	5.2781	4.3631	5.6368	4.8198	6.1794	4.7808	6.6816	6.0904	6.1188	5.3736	5.83	4.6495	5.1116
EA_G__FOXP4	7.8848	7.7068	7.8757	8.8731	7.175	8.4056	7.4526	10.7351	7.2738	8.346	7.6693	7.8345	7.7831	8.3282	7.7829	7.7087	7.9492	7.0315	8.0498	7.0167	8.1031	8.2302	7.6763	7.6686	8.8877	8.4425	8.3203	7.9428	7.3333	7.9073	7.5409	8.3212	7.5171	7.3679	8.0961	8.1019	7.3865
