Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Meth__cg24127989__IMPDH1	0.036357	0.021158	0.035781	0.040831	0.4554	0.02838	0.67278	0.17844	0.082511	0.89264	0.31292	0.019537	0.31138	0.043122	0.074263	0.24567	0.022575	0.095494	0.035317	0.42855	0.034043	0.046959	0.030549	0.47524	0.022835	0.029738	0.048071	0.055723	0.037517	0.12591	0.03191
Meth__cg06220958__MYH2	0.23574	0.037092	0.13544	0.27725	0.035966	0.097533	0.096126	0.13782	0.23326	0.14682	0.15288	0.053264	0.07415	0.077239	0.10347	0.068061	0.097058	0.077442	0.11753	0.083922	0.079345	0.32157	0.12996	0.061541	0.051586	0.11432	0.35734	0.12778	0.13862	0.17737	0.15214
Meth__cg07596494__KIF3C	0.048135	0.40926	0.07482	0.042526	0.030989	0.23079	0.041296	0.053311	0.044344	0.2067	0.3556	0.056837	0.040678	0.029035	0.18653	0.088987	0.13788	0.061855	0.064501	0.13151	0.045577	0.10444	0.12982	0.028713	0.027589	0.88642	0.070772	0.040264	0.27147	0.35589	0.13597
Meth__cg25662535__ART5	0.05864	0.053529	0.20637	0.053323	0.56284	0.15088	0.54651	0.052202	0.18371	0.065794	0.63093	0.038294	0.87493	0.57293	0.072796	0.45843	0.47961	0.080116	0.04792	0.6435	0.73927	0.85587	0.11895	0.11665	0.15571	0.5589	0.12231	0.047501	0.15265	0.10155	0.16022
Meth__cg10523019__RHBDD1	0.38741	0.29378	0.17292	0.028289	0.035746	0.64707	0.053845	0.047621	0.053765	0.12852	0.54156	0.026207	0.29826	0.03446	0.078996	0.90812	0.030207	0.047841	0.40612	0.065069	0.65314	0.073263	0.094858	0.027141	0.23809	0.40089	0.025887	0.034372	0.03106	0.075655	0.3405
RS_G12129__GABRB3__GABRB3	6.1029	0.22135	3.7179	0	0	0	0.38963	0	4.6902	0.31319	0	4.453	0.32792	0	0	0	0	0	1.1978	1.4035	0	0	0	0.29687	0	0	4.2047	0.54281	0	0	2.6963
Meth__cg18630040__PLA2G7	0.56273	0.027183	0.20499	0.027268	0.98021	0.97766	0.049739	0.034051	0.054795	0.034076	0.90862	0.97066	0.52333	0.035396	0.074531	0.41194	0.98758	0.98085	0.072602	0.93275	0.97933	0.91843	0.080811	0.025052	0.027284	0.96158	0.84633	0.69738	0.044194	0.068221	0.04144
Meth__cg09146695__LEF1	0.070533	0.055806	0.062928	0.054207	0.81078	0.063236	0.057627	0.05299	0.050982	0.038734	0.16538	0.051988	0.059044	0.057906	0.19928	0.05163	0.057019	0.10165	0.047051	0.20767	0.075889	0.15056	0.085915	0.043407	0.054221	0.06466	0.068826	0.097543	0.072622	0.13526	0.073252
Meth__cg22130834__TTC22	0.078146	0.1155	0.834	0.6642	0.73052	0.7379	0.028127	0.81486	0.031796	0.029854	0.7401	0.32505	0.7826	0.032337	0.050958	0.25154	0.89352	0.84627	0.024977	0.84952	0.52678	0.87539	0.13808	0.076664	0.026437	0.51795	0.071643	0.035208	0.08483	0.60749	0.84881
Meth__cg09593402__LNPEP	0.035829	0.054136	0.052231	0.036029	0.040516	0.045553	0.042431	0.045487	0.045273	0.038413	0.072788	0.033167	0.042581	0.033496	0.062423	0.035764	0.0329	0.048586	0.04796	0.091213	0.055431	0.074042	0.12129	0.046781	0.65009	0.046276	0.045559	0.050183	0.061206	0.11894	0.053536
RS_G10801__S100A1__S100A1	12.2539	5.1734	4.3125	8.846	2.2497	10.0502	6.8321	7.3739	5.4273	3.0618	1.939	10.6979	5.2693	4.0757	5.6141	3.2969	6.1014	4.2464	9.6898	2.9113	5.8621	4.0999	5.1531	5.5304	2.123	5.0315	5.96	8.354	3.8626	11.8033	2.5385
Meth__cg03290040__C22orf16	0.050099	0.17533	0.5778	0.4212	0.78635	0.20792	0.068607	0.17572	0.050638	0.055654	0.8053	0.028425	0.68047	0.034276	0.073835	0.4463	0.61869	0.73282	0.29408	0.075812	0.12271	0.29831	0.11733	0.037115	0.026191	0.58544	0.26596	0.062335	0.34036	0.30805	0.093061
Meth__cg05469695__CDC42EP3	0.032953	0.02782	0.32122	0.17109	0.61619	0.057329	0.026398	0.058729	0.23914	0.043869	0.079014	0.1903	0.037294	0.071592	0.27384	0.65049	0.26277	0.65924	0.057602	0.058205	0.34612	0.18092	0.057835	0.05307	0.031735	0.021529	0.050599	0.035096	0.38487	0.10839	0.24823
RS_G12878__KLK7__KLK7	0.43855	0	0.13593	1.9992	0.11677	0.12675	2.968	2.2202	1.3488	6.8763	5.6672	0.43133	5.4814	0	2.4911	0.14189	0.2323	0.1255	5.034	0.22201	0.12111	0.41216	0.30901	0.22455	0.24511	3.7048	0.50406	0.37498	2.2158	0.27302	0.33096
RS_G6331__SYT5__SYT5	4.0132	1.9982	0	3.7529	2.1684	1.3292	2.751	6.3433	0	0.97998	1.0482	1.0314	0.72222	0.2672	1.0837	2.4688	2.6877	0.96197	2.9951	0	0.38058	0.46803	0	5.6054	1.1831	8.1888	2.8824	5.0171	4.9334	2.0475	3.0571
Meth__cg11400333__MGC33486	0.065965	0.04302	0.45569	0.058885	0.2758	0.41465	0.24618	0.047049	0.084294	0.099443	0.31316	0.040897	0.10405	0.066271	0.086461	0.05712	0.59201	0.51235	0.20095	0.64432	0.17071	0.83763	0.14143	0.039502	0.052292	0.13106	0.0561	0.03738	0.054691	0.091657	0.054054
Meth__cg06790324__GRB10	0.0287	0.029236	0.029391	0.026686	0.76044	0.032203	0.044538	0.024045	0.028278	0.027343	0.042168	0.01269	0.027516	0.038745	0.037123	0.040643	0.020475	0.031217	0.073741	0.1097	0.033744	0.067736	0.046753	0.017421	0.019674	0.045768	0.040162	0.026064	0.03015	0.081132	0.028468
RS_G11747__CTSB__CTSB	9.8416	8.2842	7.3598	8.8658	10.7399	7.7915	10.2099	9.5489	8.9823	9.74	8.7557	6.9166	10.2834	9.9357	8.3334	11.0293	8.6087	8.539	9.6896	9.0618	8.77	8.7307	7.9661	14.2059	8.7494	7.5318	8.3295	9.5108	9.6418	7.7713	9.0078
Meth__cg17918501__FNDC4	0.20485	0.48636	0.7004	0.16031	0.59416	0.90883	0.9358	0.1247	0.51125	0.42867	0.9116	0.68214	0.17028	0.16457	0.3895	0.062357	0.86578	0.9036	0.53737	0.89193	0.31158	0.87833	0.6146	0.037162	0.050596	0.96682	0.18852	0.092152	0.57964	0.73496	0.54032
RS_G3163__ATP1A3__ATP1A3	4.3274	10.0114	1.9462	7.3666	4.4612	5.383	4.7758	5.4381	6.8753	5.96	4.1124	0.802	4.0167	5.5134	0.82382	2.2676	5.8081	4.8029	5.5177	5.3107	3.0664	0.25964	7.4159	5.8738	1.5203	5.114	5.5049	7.4703	6.2309	0.52665	6.8914
Meth__cg21533271__PLXNA3	0.44515	0.059532	0.080215	0.31215	0.044246	0.064295	0.20303	0.49359	0.05357	0.12545	0.26113	0.030187	0.40306	0.34392	0.15565	0.054594	0.061116	0.05822	0.39048	0.081535	0.051356	0.19041	0.095694	0.47155	0.029425	0.19755	0.16512	0.53483	0.31283	0.49531	0.058118
Meth__cg10624583__TENC1	0.028203	0.052323	0.036212	0.032238	0.23964	0.68411	0.056945	0.02544	0.024473	0.019355	0.16342	0.022287	0.028631	0.020555	0.081311	0.017671	0.10009	0.025909	0.027788	0.065793	0.037014	0.044413	0.066606	0.030503	0.025857	0.03269	0.02129	0.020554	0.033613	0.037689	0.023712
Meth__cg05142373__FZD1	0.091192	0.40204	0.10353	0.069571	0.78357	0.10658	0.095122	0.060944	0.13077	0.05236	0.13945	0.062666	0.066873	0.096902	0.10188	0.056871	0.20461	0.12727	0.065824	0.16464	0.11415	0.082961	0.13368	0.077073	0.06151	0.079623	0.08738	0.050767	0.080308	0.10633	0.106
Meth__cg25589890__ULBP1	0.056146	0.041909	0.051915	0.036247	0.93626	0.044792	0.040072	0.032479	0.47047	0.031709	0.91516	0.037904	0.56351	0.043169	0.069273	0.040628	0.042569	0.054173	0.3299	0.89611	0.042954	0.080388	0.082562	0.036033	0.042197	0.64778	0.074506	0.042673	0.043272	0.10572	0.047862
Meth__cg21137823__PRKCZ	0.26808	0.057186	0.26316	0.057365	0.95841	0.069993	0.11157	0.23063	0.28428	0.21045	0.15574	0.036831	0.030824	0.035256	0.036404	0.023111	0.056126	0.049195	0.047134	0.48588	0.070507	0.1075	0.088788	0.10294	0.041261	0.036164	0.17245	0.037109	0.042193	0.16444	0.042523
Meth__cg20787196__ITPR2	0.039874	0.37091	0.47347	0.18224	0.90136	0.41648	0.55316	0.24831	0.10061	0.30924	0.75073	0.094162	0.85247	0.059035	0.5235	0.16911	0.093258	0.25659	0.084047	0.14918	0.5464	0.31178	0.21333	0.20354	0.26299	0.84256	0.041771	0.053498	0.85833	0.26068	0.87784
Meth__cg04682845__TMEM42	0.04603	0.5383	0.31479	0.15028	0.68319	0.19173	0.05685	0.21362	0.079492	0.10426	0.40553	0.088911	0.11909	0.074326	0.076346	0.074394	0.25407	0.093817	0.17094	0.19473	0.52652	0.095783	0.44955	0.026948	0.49705	0.062886	0.41322	0.071775	0.13758	0.13222	0.87737
Meth__cg02982690__BHLHB5	0.041309	0.025856	0.32322	0.030795	0.8226	0.38002	0.025991	0.034765	0.12975	0.042161	0.07051	0.033644	0.28986	0.024066	0.030711	0.020629	0.65109	0.24789	0.11348	0.7303	0.24249	0.82853	0.054526	0.022247	0.024738	0.81621	0.2334	0.15465	0.30946	0.17307	0.30721
Meth__cg07636178__HIST1H3C	0.072693	0.04531	0.046099	0.72535	0.61914	0.91582	0.93195	0.89087	0.9009	0.043941	0.87195	0.019439	0.043015	0.04331	0.18603	0.089543	0.92732	0.060813	0.046055	0.13671	0.61555	0.14318	0.05319	0.90511	0.053449	0.8133	0.33053	0.88969	0.064498	0.22695	0.065776
Meth__cg09635067__RAB7L1	0.37195	0.088844	0.28203	0.092874	0.077472	0.35877	0.13386	0.071825	0.096503	0.13018	0.21215	0.052568	0.23832	0.068717	0.21446	0.42165	0.38621	0.14646	0.33593	0.52889	0.29518	0.76291	0.14356	0.046473	0.11134	0.70944	0.076915	0.11142	0.10347	0.24199	0.124
Meth__cg16914151__RPP25	0.076823	0.67987	0.75462	0.85499	0.97553	0.31786	0.063821	0.043379	0.050299	0.40478	0.95242	0.12704	0.9315	0.073549	0.14536	0.11653	0.47575	0.19309	0.062808	0.13404	0.67938	0.16603	0.2433	0.094221	0.10988	0.29896	0.12988	0.091217	0.10057	0.69324	0.18149
Meth__cg14070647__RSPO2	0.34044	0.073636	0.45396	0.035067	0.51254	0.75268	0.19841	0.052658	0.58059	0.052129	0.084995	0.085948	0.060554	0.037408	0.10263	0.037489	0.37806	0.36056	0.75066	0.85796	0.27348	0.72526	0.11471	0.03945	0.056276	0.42308	0.059521	0.30773	0.6394	0.66333	0.75356
Meth__cg08789908__HSD11B2	0.095055	0.087665	0.13776	0.070164	0.41688	0.07902	0.092192	0.07461	0.091505	0.05362	0.18157	0.06449	0.62949	0.084059	0.12076	0.076088	0.29864	0.11826	0.085347	0.56002	0.099136	0.15602	0.15848	0.063018	0.058305	0.50792	0.13666	0.078376	0.065557	0.10645	0.078162
RS_G14428__C7orf10__C7orf10	3.7743	1.0982	0.7662	0.89114	5.2894	0.14994	3.7882	0.37628	4.9639	2.6963	2.255	0.88611	2.9243	4.0509	0.65512	4.1949	0.3938	0.96976	1.2013	2.0049	0.13633	0	0	4.8912	2.9044	0.30448	2.8094	1.8546	1.8441	0	2.0889
RS_G4338__RBP1__RBP1	1.987	3.1128	6.0775	5.3745	0	5.1226	10.5498	8.8629	1.8734	9.7819	9.0972	2.2301	5.2502	6.3557	8.9415	0.38579	0	2.1658	8.6783	1.3317	2.4359	1.5538	0	2.5823	8.2226	0	2.3228	6.7232	0.47168	0.95557	0
Meth__cg14386691__C14orf93	0.064684	0.042553	0.82024	0.10319	0.11553	0.076731	0.074436	0.055184	0.040595	0.22453	0.18444	0.83448	0.26096	0.057361	0.17772	0.19234	0.055814	0.054882	0.048869	0.087509	0.4454	0.099964	0.12535	0.051136	0.62992	0.070903	0.092355	0.046638	0.62167	0.20862	0.55745
Meth__cg08088390__DEFB125	0.86803	0.084438	0.72163	0.58569	0.041132	0.71882	0.75259	0.66775	0.70927	0.7256	0.7327	0.066217	0.22878	0.3772	0.15936	0.10202	0.33873	0.16551	0.48013	0.16946	0.14965	0.081723	0.18516	0.096774	0.18755	0.60805	0.14337	0.27846	0.44994	0.079558	0.51614
Meth__cg19616230__SLC34A2	0.02461	0.024371	0.72833	0.077445	0.97804	0.98037	0.022479	0.038494	0.67699	0.048933	0.9605	0.11989	0.028431	0.020942	0.056934	0.92586	0.98642	0.97891	0.39238	0.97256	0.97791	0.95503	0.062156	0.76716	0.028237	0.83767	0.95984	0.029669	0.6888	0.97405	0.79203
Meth__cg26928603__KIRREL	0.054586	0.071856	0.19453	0.14746	0.052993	0.5801	0.060305	0.044389	0.046111	0.08446	0.095577	0.083932	0.048749	0.038263	0.10267	0.045351	0.86884	0.93355	0.1269	0.04339	0.084486	0.71657	0.11375	0.071468	0.071216	0.59711	0.047936	0.047793	0.25424	0.18459	0.081704
Meth__cg22957381__KCND3	0.035443	0.046071	0.040332	0.026299	0.76599	0.059558	0.054462	0.038549	0.21296	0.16989	0.30663	0.27485	0.08663	0.21571	0.1555	0.16752	0.17142	0.08934	0.087255	0.78108	0.046753	0.26304	0.12242	0.034032	0.12966	0.059089	0.099532	0.035301	0.03471	0.10761	0.047052
Meth__cg22153873__BCL11A	0.0673	0.099437	0.24819	0.06205	0.071267	0.082577	0.065485	0.050632	0.072285	0.097186	0.092802	0.10852	0.082761	0.095767	0.1322	0.067061	0.086666	0.099017	0.085467	0.095633	0.079548	0.18637	0.090547	0.065122	0.055805	0.53579	0.11899	0.085684	0.073244	0.20007	0.070167
Meth__cg22677246__COTL1	0.033211	0.044129	0.093081	0.027728	0.02895	0.089638	0.020769	0.028618	0.040041	0.027845	0.047501	0.10751	0.029307	0.023517	0.078305	0.026868	0.05643	0.038519	0.12257	0.065879	0.042979	0.067797	0.062944	0.029474	0.027741	0.15405	0.069809	0.037888	0.025682	0.087227	0.036523
Meth__cg23478284__PTPN13	0.033331	0.032125	0.046718	0.03367	0.43815	0.046293	0.031672	0.045013	0.034556	0.034514	0.18796	0.033931	0.11928	0.039739	0.10485	0.036535	0.023906	0.040796	0.035962	0.12309	0.041769	0.076353	0.067738	0.032498	0.042067	0.040041	0.066781	0.046243	0.041304	0.086185	0.038859
Meth__cg06700462__PHKA2	0.53936	0.025774	0.02037	0.29101	0.020366	0.032276	0.035646	0.55434	0.032115	0.52365	0.47651	0.59157	0.021725	0.03405	0.41247	0.023275	0.03034	0.02764	0.4917	0.047007	0.45939	0.39253	0.4991	0.54043	0.02103	0.025242	0.057615	0.46917	0.45206	0.59519	0.023999
Meth__cg06392241__NUDT4	0.037071	0.2122	0.36074	0.059876	0.69862	0.036818	0.053551	0.055729	0.037144	0.036972	0.49877	0.034849	0.0433	0.030092	0.061519	0.052156	0.76523	0.91822	0.19022	0.063345	0.18239	0.46601	0.12156	0.037729	0.032977	0.049791	0.051549	0.12321	0.22327	0.085184	0.28627
RS_G4465__FNDC4__FNDC4	2.0609	0.96004	3.9996	2.8072	4.2327	0	3.2685	1.4867	5.815	3.0605	0.28662	3.4906	4.4007	2.7242	1.864	5.8787	1.1879	0.3037	3.3295	1.0742	3.3088	0	1.589	5.801	1.1384	0.60227	3.2523	4.2561	0.74175	2.351	2.5291
RS_G29779__HMX1__HMX1	0	0.12473	3.8952	5.4103	0	0	0	0.63916	6.1664	2.6571	2.9916	0	1.7597	0.2596	0	0.29934	0	0	3.798	0	0	0	0	1.3222	0	2.5287	4.5008	5.8831	0.6615	0	4.6114
Meth__cg14135551__DAAM2	0.052536	0.039751	0.082405	0.049354	0.49706	0.45053	0.076489	0.070137	0.043104	0.035065	0.73193	0.031627	0.047531	0.051099	0.17561	0.038733	0.076628	0.077343	0.049732	0.19501	0.090958	0.11807	0.16078	0.057974	0.043204	0.459	0.054771	0.067023	0.075515	0.10408	0.26118
Meth__cg05840031__PAX6	0.064235	0.25073	0.16263	0.098279	0.073639	0.6062	0.039474	0.62385	0.17546	0.035845	0.57785	0.38973	0.029669	0.034314	0.054499	0.043144	0.60186	0.60499	0.1914	0.88497	0.58773	0.73826	0.15856	0.071245	0.11396	0.62303	0.073864	0.050418	0.43749	0.36036	0.3996
Meth__cg08896945__CALCB	0.053901	0.04835	0.20462	0.03918	0.67538	0.13948	0.57538	0.052428	0.41903	0.094656	0.53335	0.51117	0.50711	0.14598	0.10142	0.051481	0.88885	0.90465	0.055919	0.85224	0.10886	0.83774	0.14393	0.045033	0.051875	0.12534	0.1326	0.06188	0.47486	0.076887	0.43772
Meth__cg22136753__CSRP2BP	0.064948	0.16367	0.065169	0.05074	0.85064	0.057402	0.13655	0.063526	0.054964	0.073171	0.48746	0.050566	0.2502	0.23228	0.11372	0.0396	0.059929	0.061021	0.043016	0.78357	0.10287	0.083261	0.10363	0.052823	0.46246	0.13478	0.032714	0.065922	0.08038	0.13258	0.3179
RS_G477__SH2D2A__SH2D2A	0.94001	4.6893	0.32589	2.6798	0	0.29969	3.9685	2.4134	6.2239	3.8194	0.97591	1.1028	2.5234	2.1292	3.9223	0.48031	1.0982	0	2.1868	0	3.6932	2.1948	0	1.9177	4.4467	0.81263	3.7963	2.6117	3.0212	0.48899	5.6658
RS_G2904__AP3B2__AP3B2	3.9601	0.94326	2.1616	3.7524	2.183	3.0899	3.2043	3.1995	6.6873	1.7717	3.8345	0	3.8864	3.1116	0.12832	0.082787	3.69	3.581	3.0769	0.47431	0.54854	0	0	2.7378	3.8444	4.0024	0.82217	6.7417	3.2767	0.50415	0.6802
Meth__cg17843048__PHF16	0.51499	0.041248	0.052681	0.37277	0.034725	0.06681	0.071471	0.79712	0.083536	0.42243	0.32734	0.81568	0.22825	0.086416	0.27333	0.093188	0.051201	0.062695	0.51029	0.108	0.55135	0.34259	0.25932	0.54973	0.069545	0.11235	0.26007	0.44074	0.22798	0.50168	0.057399
Meth__cg09038676__GSTP1	0.043922	0.92905	0.93821	0.13064	0.033425	0.93675	0.027828	0.38267	0.031564	0.8879	0.85315	0.95869	0.067148	0.03407	0.67467	0.03345	0.95573	0.93295	0.9525	0.67868	0.93284	0.88543	0.83557	0.032769	0.021812	0.94835	0.5424	0.91433	0.17162	0.85395	0.11993
Meth__cg07461318__NTN4	0.044641	0.59691	0.30213	0.24467	0.58879	0.066832	0.15807	0.055126	0.13722	0.040486	0.074051	0.064924	0.6683	0.037844	0.4478	0.37753	0.39607	0.29506	0.16184	0.10346	0.46881	0.13429	0.12935	0.043843	0.033798	0.028788	0.087008	0.041892	0.4108	0.14377	0.59311
Meth__cg21640749__CD300LF	0.94516	0.048486	0.94673	0.89399	0.19989	0.88227	0.90961	0.88999	0.61518	0.93071	0.88705	0.011956	0.51567	0.92805	0.070262	0.022393	0.86091	0.85735	0.95418	0.25516	0.72656	0.64143	0.063378	0.40347	0.034431	0.59803	0.088723	0.94524	0.51141	0.096181	0.6043
Meth__cg22155248__TAPBPL	0.073721	0.77379	0.076622	0.075858	0.85085	0.42446	0.12346	0.12219	0.083322	0.078253	0.76807	0.096331	0.7318	0.086836	0.16227	0.075643	0.56588	0.12621	0.074634	0.14823	0.06617	0.17348	0.62713	0.35593	0.28339	0.67116	0.19446	0.12456	0.32294	0.15958	0.67451
Meth__cg08124030__TM4SF1	0.094851	0.11456	0.24251	0.10174	0.055282	0.15708	0.056399	0.088239	0.065786	0.054996	0.12076	0.39745	0.070286	0.046814	0.16034	0.071211	0.95084	0.93904	0.90614	0.098395	0.92625	0.13813	0.4426	0.04858	0.055241	0.33643	0.28333	0.90603	0.49976	0.12136	0.92407
Meth__cg04180868__PRTFDC1	0.2152	0.66246	0.75201	0.62727	0.67395	0.7223	0.021316	0.04091	0.038064	0.16847	0.979	0.65745	0.97887	0.020739	0.018905	0.13488	0.72045	0.35416	0.030653	0.062908	0.24706	0.67025	0.16152	0.020276	0.45526	0.98333	0.1066	0.77699	0.59484	0.96022	0.68602
Meth__cg08491125__ISG20	0.065156	0.059596	0.055265	0.062748	0.48064	0.05485	0.10372	0.069599	0.12988	0.065446	0.083929	0.050386	0.046777	0.057614	0.077745	0.057621	0.063818	0.062303	0.057884	0.068715	0.058482	0.084354	0.10465	0.080145	0.05624	0.047468	0.070558	0.059305	0.054057	0.080427	0.057965
Meth__cg10245048__TNFRSF10A	0.05495	0.061891	0.057781	0.039848	0.44423	0.071079	0.033004	0.058477	0.050554	0.047024	0.11681	0.04186	0.61982	0.048464	0.13701	0.071875	0.049466	0.059873	0.036565	0.093719	0.061353	0.090141	0.14547	0.055459	0.040233	0.050737	0.059535	0.057366	0.044814	0.08106	0.045251
Meth__cg21912567__GADD45G	0.046526	0.055281	0.04759	0.052642	0.87335	0.055904	0.052709	0.041176	0.045158	0.038445	0.083601	0.038842	0.45331	0.064269	0.091856	0.084758	0.036602	0.049243	0.043304	0.35421	0.050838	0.087449	0.066041	0.048335	0.049884	0.053386	0.073784	0.046532	0.04809	0.070311	0.05092
Meth__cg01697732__FAM20A	0.72089	0.042092	0.074703	0.053445	0.95462	0.98579	0.42754	0.024136	0.048917	0.17966	0.9474	0.48787	0.042402	0.033968	0.049844	0.29711	0.97156	0.97121	0.90263	0.47526	0.69667	0.97294	0.39301	0.035341	0.45717	0.19382	0.37171	0.33613	0.39487	0.74429	0.071553
Meth__cg10549973__UNQ9438	0.043119	0.85524	0.38549	0.39079	0.96303	0.17224	0.049704	0.064012	0.25604	0.74269	0.5033	0.5671	0.16429	0.73013	0.099784	0.86551	0.92228	0.066206	0.44668	0.92402	0.57734	0.093897	0.13549	0.61132	0.58401	0.77996	0.10096	0.071578	0.49257	0.18052	0.599
Meth__cg04384208__FCGR3A	0.27601	0.036336	0.42684	0.59134	0.067887	0.12286	0.82673	0.10369	0.56283	0.61132	0.40708	0.018803	0.30093	0.61151	0.10917	0.028824	0.1094	0.15634	0.9432	0.11288	0.12275	0.071902	0.082844	0.17264	0.049561	0.057503	0.10079	0.42296	0.30001	0.30592	0.31545
Meth__cg25104511__RAPGEFL1	0.064361	0.24522	0.41814	0.20045	0.87367	0.084129	0.79937	0.077803	0.086703	0.27825	0.91657	0.23729	0.67236	0.27857	0.71054	0.88338	0.19075	0.32765	0.1191	0.70096	0.71905	0.92851	0.33478	0.089073	0.059186	0.13208	0.14408	0.12347	0.37113	0.6022	0.095883
RS_G3786__CRYAB__CRYAB	7.266	8.3291	0	2.3366	1.0408	1.6832	8.482	5.1028	5.354	7.128	0.31225	4.7328	9.9378	4.6023	7.0517	3.9155	1.2213	1.0565	7.1533	0	1.715	0.98245	7.0148	4.779	4.9852	5.8363	4.1438	2.0266	0	4.3018	1.7462
Meth__cg13084335__CRYAB	0.046098	0.029719	0.78979	0.25821	0.21391	0.11985	0.018546	0.06343	0.036654	0.034991	0.11878	0.046598	0.047137	0.10369	0.044461	0.026472	0.36156	0.49374	0.34532	0.075856	0.69023	0.21496	0.076671	0.022702	0.16868	0.038627	0.074006	0.32316	0.30078	0.059299	0.67323
RS_G7751__CLCA2__CLCA2	2.5446	2.182	8.367	0.57093	3.809	4.6919	0	7.8843	0.42809	5.3431	4.8037	3.0519	5.1829	0.45567	1.6396	1.1433	1.2689	1.0457	2.782	1.1273	9.4113	11.1729	1.0137	0	0.91249	10.927	0	1.0165	3.6459	5.1643	1.7018
Meth__cg11245384__PDYN	0.86312	0.066053	0.89532	0.88465	0.094195	0.26345	0.76342	0.066185	0.77291	0.90333	0.85056	0.029049	0.46021	0.80444	0.054863	0.030367	0.63045	0.72225	0.90877	0.062818	0.65494	0.65352	0.061499	0.49019	0.052625	0.4575	0.11088	0.77727	0.40554	0.073218	0.67478
Meth__cg24910675__ENG	0.066377	0.045883	0.62946	0.098468	0.78019	0.61368	0.27376	0.089145	0.055081	0.12282	0.23123	0.12772	0.10031	0.04742	0.097442	0.036827	0.5498	0.6806	0.5814	0.2031	0.57462	0.40393	0.097602	0.04678	0.041297	0.71919	0.3529	0.060634	0.34586	0.38893	0.45177
Meth__cg15442702__FGFR4	0.099484	0.13221	0.11549	0.078532	0.42419	0.10599	0.1172	0.086366	0.14881	0.070357	0.28815	0.06971	0.12104	0.09284	0.16941	0.19802	0.10227	0.10414	0.1367	0.20811	0.10105	0.12563	0.24963	0.11878	0.077474	0.088466	0.076747	0.079274	0.079253	0.15543	0.094141
RS_G3586__RAPGEFL1__RAPGEFL1	5.9537	7.4913	4.0582	7.5022	4.1912	5.1146	3.3035	9.3785	5.0089	6.6928	3.2089	3.7361	3.7624	5.0324	4.6098	2.8293	6.6804	4.2898	5.3646	4.4551	4.0532	3.1024	6.7893	4.5768	5.97	5.3003	7.3069	12.3481	7.8427	3.1839	6.2748
Meth__cg14230133__IDS	0.2921	0.0278	0.053967	0.14755	0.021869	0.032065	0.061564	0.37045	0.026239	0.059251	0.050094	0.22564	0.11148	0.21841	0.023659	0.020281	0.029079	0.020258	0.28326	0.11695	0.030508	0.15396	0.053679	0.16541	0.024012	0.046008	0.047754	0.4546	0.10733	0.18646	0.019435
Meth__cg04112019__IGF2AS	0.26588	0.18084	0.20226	0.12886	0.4375	0.73293	0.1425	0.17377	0.19098	0.26721	0.25015	0.16801	0.18015	0.16534	0.29384	0.17735	0.93673	0.88001	0.6832	0.88841	0.8324	0.72873	0.2122	0.14577	0.24014	0.57836	0.52136	0.1884	0.15621	0.2895	0.14052
Meth__cg03109701__TMEM118	0.10425	0.10342	0.17629	0.093787	0.12641	0.13245	0.23292	0.19932	0.12563	0.62979	0.17258	0.054601	0.12931	0.10072	0.10902	0.10307	0.10046	0.096438	0.68031	0.13181	0.091906	0.19869	0.25918	0.9388	0.075434	0.065751	0.16934	0.45734	0.1321	0.13783	0.090623
Meth__cg25807810__DKFZp434N062	0.04136	0.42248	0.051939	0.040243	0.038839	0.036848	0.022955	0.085366	0.032572	0.025494	0.065558	0.060387	0.031193	0.028536	0.08247	0.030775	0.41356	0.28502	0.059956	0.11706	0.041409	0.09256	0.35228	0.035365	0.049974	0.031902	0.05638	0.041314	0.033696	0.11323	0.29407
Meth__cg05655556__PSMD2	0.035216	0.020781	0.02286	0.040361	0.67511	0.066694	0.015707	0.026307	0.028017	0.026397	0.068919	0.021416	0.027331	0.034055	0.046803	0.23696	0.018182	0.027427	0.040163	0.044703	0.035487	0.055383	0.034268	0.027349	0.028213	0.12958	0.02911	0.032508	0.044776	0.04859	0.098772
RS_G900__NGFR__NGFR	1.1441	0.38067	1.2778	0.88604	3.7143	1.2219	4.0738	7.1268	2.5018	5.9425	1.2113	0.83527	6.9239	2.2422	0	0.47037	3.4035	1.7957	2.6645	0	1.6963	0.27023	0.52661	2.0089	3.646	2.3282	2.8422	2.3659	3.1049	0.090709	0.21761
Meth__cg18742893__BOC	0.048764	0.39857	0.09935	0.023165	0.47725	0.049853	0.11183	0.032157	0.069315	0.06078	0.46219	0.094027	0.061946	0.04017	0.096697	0.027492	0.15682	0.15909	0.08413	0.33594	0.073657	0.27083	0.21159	0.036891	0.040247	0.67899	0.12106	0.16094	0.16792	0.11047	0.067659
