Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
Meth__cg16421285__SAE1	0.084534	0.080591	0.52182	0.06903	0.10279	0.32228	0.087193	0.075213	0.13036	0.10172	0.17172	0.2931	0.15494	0.0556	0.11426	0.086527	0.17789	0.19099	0.52129	0.086697	0.20616	0.15718	0.078452	0.16117	0.13225	0.053113	0.070514	0.1804	0.39705	0.041633	0.11959	0.18538	0.080779	0.11071
Meth__cg15095327__IL17RE	0.043641	0.050845	0.20318	0.048744	0.047566	0.83814	0.069404	0.11624	0.074411	0.055282	0.75355	0.08564	0.10955	0.086027	0.072375	0.054397	0.794	0.10376	0.48599	0.38583	0.80469	0.52734	0.062282	0.13768	0.77963	0.098734	0.35929	0.23003	0.79736	0.041318	0.063932	0.084012	0.054134	0.057524
Meth__cg05461841__LOC124220	0.033648	0.033748	0.12145	0.041517	0.023088	0.58875	0.028438	0.33093	0.03767	0.030119	0.18722	0.3864	0.83042	0.036252	0.033631	0.51852	0.55548	0.018457	0.48161	0.072588	0.86547	0.49481	0.027432	0.047399	0.054307	0.057189	0.31228	0.088952	0.043283	0.025407	0.032073	0.049677	0.046297	0.039787
EA_G__LEPRE1	6.6604	6.106	7.0872	6.4096	6.721	8.8094	6.5042	6.8624	8.5287	7.1955	7.9912	6.995	7.2352	6.5996	6.9778	7.1388	8.5846	7.1597	8.3424	6.827	9.3727	8.1582	6.7103	6.9469	7.0673	6.3158	9.2172	7.4327	8.3081	6.9598	7.4537	6.4544	6.851	6.5327
Meth__cg11908570__KIAA0040	0.049462	0.024274	0.1061	0.035782	0.044906	0.97303	0.099412	0.13243	0.061847	0.083369	0.084917	0.046342	0.053685	0.075165	0.050801	0.059439	0.11919	0.040421	0.089779	0.028133	0.056793	0.067479	0.051848	0.10286	0.090552	0.040177	0.032508	0.034294	0.040523	0.028021	0.057534	0.042688	0.099738	0.032707
Meth__cg24562819__THBD	0.75312	0.41668	0.98417	0.066778	0.028582	0.96842	0.35217	0.93703	0.20893	0.041805	0.85146	0.99026	0.95926	0.070801	0.21606	0.874	0.094072	0.17018	0.65726	0.39778	0.7076	0.69162	0.053983	0.044709	0.11432	0.20762	0.90826	0.38964	0.27882	0.039963	0.81252	0.40764	0.032482	0.03365
Meth__cg18438777__NPY5R	0.081096	0.06338	0.95206	0.090512	0.061976	0.94828	0.081732	0.57769	0.09318	0.081984	0.43225	0.11103	0.874	0.049485	0.07028	0.93915	0.072482	0.17475	0.80043	0.070721	0.069334	0.88429	0.064456	0.10398	0.60955	0.096957	0.051811	0.03945	0.71751	0.057828	0.94073	0.13862	0.36278	0.0608
Meth__cg12062995__RFC1	0.11277	0.10691	0.15695	0.17103	0.11969	0.57799	0.093826	0.097867	0.12082	0.13069	0.24467	0.21759	0.1266	0.18621	0.12686	0.26087	0.04428	0.097506	0.38922	0.08907	0.18233	0.60256	0.1511	0.11505	0.18473	0.18963	0.062912	0.072698	0.065442	0.053297	0.1398	0.10221	0.067801	0.23217
Meth__cg25167838__SHH	0.054507	0.034112	0.95586	0.23268	0.025962	0.30384	0.042457	0.58572	0.060796	0.051595	0.65458	0.26852	0.26904	0.029636	0.048841	0.078075	0.090481	0.065797	0.023732	0.31195	0.62107	0.86876	0.042445	0.07525	0.60204	0.055605	0.02557	0.043886	0.28433	0.028009	0.14896	0.037773	0.032726	0.051388
EA_G__CTSC	5.4952	6.9314	6.7103	4.9649	5.3028	7.7911	5.4136	8.0983	5.7933	6.0004	6.9612	7.2324	8.405	6.5359	6.6336	7.2167	8.6748	7.5384	7.787	5.0084	7.2029	7.1921	5.7985	6.5951	5.359	6.8275	5.9194	8.5472	8.368	6.6113	5.1935	5.7068	5.3761	5.9173
Meth__cg02334775__ISG20	0.042151	0.028441	0.32816	0.049459	0.045846	0.93897	0.03898	0.096791	0.38719	0.053914	0.87268	0.38495	0.094983	0.033055	0.30749	0.070807	0.080655	0.075539	0.04414	0.0368	0.27801	0.78524	0.045113	0.068625	0.088208	0.050047	0.16537	0.16942	0.12304	0.032684	0.030822	0.09307	0.042255	0.043432
Meth__cg15916628__ZNF579	0.095861	0.053042	0.52897	0.25998	0.14837	0.83925	0.11582	0.78023	0.12223	0.06546	0.6025	0.47647	0.4974	0.050293	0.1257	0.65217	0.53378	0.20199	0.27212	0.3678	0.65202	0.41145	0.32094	0.20163	0.51963	0.080961	0.058166	0.48489	0.075974	0.068801	0.17208	0.12271	0.070472	0.074426
Meth__cg09553358__BM88	0.19551	0.032216	0.18956	0.62024	0.066284	0.67366	0.5422	0.92269	0.60857	0.060298	0.96309	0.91798	0.68254	0.74966	0.52351	0.14619	0.92848	0.22437	0.89478	0.76277	0.86417	0.88758	0.51789	0.12487	0.9519	0.05399	0.028121	0.30309	0.7356	0.048992	0.49317	0.070658	0.054393	0.13521
Meth__cg15958424__ACPP	0.081619	0.054936	0.099589	0.057897	0.17052	0.64915	0.11261	0.42689	0.081173	0.22954	0.41355	0.24419	0.11825	0.11656	0.084071	0.36306	0.81598	0.088472	0.64299	0.060295	0.38604	0.70139	0.094867	0.20242	0.15679	0.13556	0.82287	0.091768	0.43041	0.058362	0.21919	0.13085	0.14562	0.098747
Meth__cg25692323__ZNF485	0.087108	0.15162	0.2213	0.033591	0.031858	0.44061	0.046127	0.78223	0.50887	0.039526	0.59286	0.43867	0.47698	0.025165	0.45543	0.39686	0.31686	0.13512	0.11028	0.035356	0.31127	0.63543	0.037032	0.073809	0.089084	0.11232	0.2858	0.65739	0.68933	0.053071	0.060431	0.079449	0.040326	0.040716
EA_G__FBP1	7.5216	5.2071	4.8652	9.4178	8.9701	4.6472	9.2616	4.5261	4.8	7.8887	4.5754	8.7709	5.6515	7.9793	4.8183	4.6158	4.5283	7.404	4.6383	10.3261	4.6404	4.8766	9.9939	8.753	6.105	8.9461	4.7417	7.7847	4.8368	7.8951	8.5676	8.2741	9.6585	9.9927
Meth__cg12261786__C10orf116	0.055192	0.076407	0.2946	0.086654	0.25183	0.79058	0.059696	0.35098	0.39952	0.095511	0.85332	0.32231	0.23151	0.1329	0.33418	0.60708	0.31703	0.51424	0.80352	0.49166	0.85601	0.80206	0.08272	0.13706	0.26357	0.13282	0.77301	0.71877	0.81028	0.040245	0.046875	0.096252	0.065994	0.15557
Meth__cg13843613__FAM5B	0.030571	0.021835	0.91206	0.034491	0.022683	0.91804	0.91778	0.03548	0.03728	0.041696	0.90472	0.44484	0.89505	0.053079	0.034728	0.036217	0.1989	0.23783	0.28448	0.032109	0.21321	0.82949	0.039562	0.055537	0.50327	0.047208	0.031427	0.029866	0.044605	0.023012	0.051284	0.051648	0.037883	0.032129
EA_G__PIGS	7.5697	8.5192	6.8888	7.5384	7.3005	7.0996	7.4286	6.3865	6.7787	7.0898	6.9207	7.0373	7.7928	8.8838	6.9324	6.8199	7.1571	7.0957	6.2242	7.6895	6.4457	7.1863	7.4162	6.9111	7.4132	8.3361	6.8413	7.2873	7.503	7.9713	7.4937	8.455	9.3036	8.1412
Meth__cg04925864__FAM65A	0.018517	0.025853	0.82429	0.22859	0.018856	0.58082	0.16837	0.79408	0.90217	0.26551	0.36228	0.96547	0.93747	0.37196	0.67479	0.98704	0.3132	0.4199	0.041338	0.27541	0.344	0.26477	0.077762	0.024482	0.93092	0.08283	0.011331	0.087687	0.75272	0.21376	0.010581	0.062417	0.058798	0.021011
Meth__cg15918284__GABRA2	0.45595	0.15203	0.8554	0.19495	0.12283	0.85051	0.14431	0.8068	0.16448	0.16949	0.80545	0.76004	0.80759	0.13131	0.12571	0.20732	0.39633	0.20341	0.075253	0.16018	0.43451	0.77339	0.12687	0.23835	0.57914	0.22204	0.08749	0.096931	0.32074	0.09483	0.59516	0.15628	0.12506	0.1464
Meth__cg27176536__RAB26	0.11284	0.11915	0.092903	0.12238	0.10294	0.90562	0.1407	0.26985	0.12046	0.14724	0.15988	0.25495	0.16927	0.18324	0.16023	0.14323	0.14863	0.15337	0.59396	0.13916	0.41436	0.1546	0.13457	0.14145	0.16842	0.15513	0.12061	0.13026	0.13456	0.12631	0.090216	0.24708	0.12026	0.12099
Meth__cg11016563__TRPC6	0.074752	0.072237	0.80122	0.68573	0.10689	0.65016	0.87833	0.90781	0.064943	0.065175	0.77658	0.16054	0.69247	0.75147	0.074872	0.55544	0.081487	0.1424	0.20693	0.074639	0.099745	0.71791	0.081004	0.13747	0.82567	0.16752	0.062552	0.48384	0.11025	0.082779	0.78354	0.36701	0.10557	0.31503
Meth__cg23898073__GFRA1	0.052894	0.043609	0.39249	0.045422	0.028975	0.030014	0.17886	0.47622	0.040035	0.039882	0.8304	0.18774	0.33802	0.53776	0.04248	0.55305	0.037497	0.12057	0.11619	0.05444	0.05781	0.90047	0.044413	0.072127	0.67327	0.069246	0.046046	0.055439	0.09066	0.040196	0.37933	0.11516	0.43836	0.033958
EA_G__TFF1	11.84	6.7837	4.897	11.4404	12.9215	5.4971	7.8702	4.3741	5.1241	12.4366	5.5277	4.6693	5.167	7.8188	8.9703	4.6936	4.9862	5.1043	4.7645	12.3462	4.4746	5.7316	11.3324	5.6288	8.5496	6.452	5.3551	4.8953	4.847	5.5541	5.7562	7.7064	12.854	6.1027
EA_G__AKT3	5.4271	3.2222	7.2162	3.773	3.8132	7.5447	3.1311	7.6527	3.2315	2.8806	7.8016	7.2247	3.3549	3.173	5.0257	6.1725	4.2506	3.4701	7.9436	3.5124	8.4968	7.2533	4.1802	3.0785	3.6666	3.7047	3.2738	7.3988	4.088	2.7296	3.81	3.4691	5.0022	3.0935
EA_G__PDCD4	8.7451	7.2221	4.9274	9.1525	9.6114	6.9065	9.7468	6.4642	9.1019	10.2921	6.4907	6.6294	5.985	8.6672	8.9419	5.47	6.8651	7.9542	5.877	7.8868	6.0254	8.695	9.6332	10.4832	8.1844	6.4457	7.2904	6.741	5.8866	8.4289	7.9408	8.9593	9.1703	10.8018
Meth__cg08690721__C11orf17	0.041421	0.067035	0.055471	0.051527	0.038653	0.31872	0.059279	0.10866	0.30576	0.059939	0.087117	0.17641	0.11853	0.040398	0.32667	0.16283	0.057668	0.13543	0.42267	0.069895	0.17493	0.20699	0.056613	0.09023	0.18139	0.13251	0.0447	0.061906	0.10583	0.044733	0.093094	0.068369	0.053836	0.1396
Meth__cg05927017__BCL2	0.038913	0.14424	0.84461	0.038001	0.027964	0.70592	0.035381	0.2235	0.052501	0.029322	0.058171	0.16514	0.17608	0.038999	0.060481	0.49038	0.35395	0.14828	0.19028	0.032799	0.89464	0.48174	0.037637	0.056026	0.086837	0.13467	0.039283	0.032025	0.14138	0.030441	0.039959	0.086834	0.045231	0.034933
Meth__cg00126034__WNT3	0.082697	0.039399	0.93124	0.58479	0.21136	0.939	0.12281	0.37127	0.043855	0.057898	0.93239	0.94261	0.77542	0.19831	0.27751	0.94485	0.70339	0.065499	0.05005	0.29778	0.94665	0.90253	0.86124	0.075897	0.86399	0.14778	0.040977	0.033501	0.76502	0.028354	0.92769	0.07777	0.23885	0.43219
Meth__cg12799835__FLJ31204	0.074972	0.036908	0.093822	0.052135	0.029721	0.64925	0.08453	0.11915	0.052035	0.17094	0.17595	0.083715	0.078836	0.028302	0.058803	0.051141	0.054266	0.055504	0.07855	0.070827	0.054815	0.095963	0.038348	0.059843	0.24583	0.073947	0.069707	0.038801	0.070894	0.037516	0.18095	0.09611	0.027178	0.053927
Meth__cg21870662__TSR1	0.0554	0.74048	0.93075	0.14468	0.15615	0.2874	0.15519	0.22839	0.54681	0.31425	0.057454	0.95729	0.72759	0.37213	0.44104	0.33281	0.039831	0.15911	0.34233	0.051781	0.45798	0.61158	0.09009	0.062619	0.15935	0.60005	0.1296	0.10938	0.91896	0.064583	0.21701	0.080019	0.097382	0.066889
EA_G__RND3	10.1573	7.8999	8.9547	6.1271	6.4514	9.3787	6.5605	9.1991	7.1835	5.1647	6.6321	9.4839	9.9065	8.1357	10.6716	9.4119	9.059	9.3223	10.8501	8.1217	9.0663	9.5673	7.2105	7.5672	7.4692	7.9216	7.9453	9.0072	8.2004	8.8924	8.1492	7.8509	4.3407	5.9197
Meth__cg13199589__FAM80A	0.3697	0.072025	0.67678	0.19773	0.047424	0.5103	0.12531	0.10536	0.074688	0.058001	0.63869	0.24455	0.53767	0.052792	0.083171	0.11138	0.1809	0.21162	0.28802	0.052992	0.13013	0.75794	0.40241	0.24343	0.20369	0.094986	0.10598	0.22829	0.14476	0.049385	0.57235	0.060581	0.06234	0.064072
Meth__cg15350194__FAM70B	0.074846	0.032291	0.24839	0.25602	0.22498	0.78766	0.23178	0.28558	0.58805	0.16723	0.33781	0.61589	0.35046	0.034817	0.49376	0.34773	0.088673	0.03473	0.51813	0.077772	0.61476	0.15123	0.21875	0.02993	0.097322	0.084369	0.057042	0.04392	0.61617	0.04185	0.93225	0.072935	0.066651	0.097335
Meth__cg23239828__SEC6L1	0.34781	0.087903	0.53941	0.14009	0.053035	0.32962	0.24076	0.17508	0.19158	0.11233	0.19712	0.2428	0.29876	0.23805	0.17267	0.09931	0.31525	0.187	0.32336	0.094343	0.20767	0.47802	0.088345	0.088053	0.12592	0.076335	0.049498	0.4243	0.080406	0.056594	0.13102	0.079655	0.093285	0.058868
EA_G__SLC7A8	8.5421	7.6746	4.869	8.8236	8.1028	5.042	10.6962	5.0441	6.3737	7.2944	4.7488	5.2606	5.1604	8.3362	8.1148	4.7435	5.7111	5.5632	5.0076	5.3922	4.7921	4.9899	10.2853	9.6818	8.7371	6.5396	4.8894	6.1091	4.9765	8.4994	8.5397	9.0232	10.533	6.8407
Meth__cg00158308__OXGR1	0.33312	0.11737	0.90458	0.55966	0.048988	0.71999	0.1551	0.88676	0.35014	0.05165	0.43885	0.2134	0.81235	0.18683	0.3556	0.88044	0.17999	0.17633	0.055057	0.057046	0.18052	0.74465	0.11782	0.28434	0.10607	0.11299	0.2942	0.44055	0.048886	0.059453	0.63847	0.047491	0.076068	0.051324
EA_G__GNG12	7.9257	8.0554	9.1125	6.9215	6.2823	9.5214	5.0723	8.6155	6.8475	7.2029	8.1673	8.9862	8.8599	7.5179	7.3246	8.9495	9.2848	9.2523	10.1455	6.6554	8.7552	9.0735	6.6523	8.8439	7.2152	7.7602	9.7441	7.9395	9.8269	8.4644	7.8464	7.0967	6.8414	6.0561
EA_G__YIPF1	8.1538	8.0855	7.1149	8.3387	7.4043	7.2018	7.6327	6.9169	7.4989	7.8128	7.3801	6.9075	7.2824	10.2527	7.7843	7.0031	6.9285	7.6619	7.4184	7.7474	7.1724	7.3375	8.7118	8.8558	7.7027	8.1777	7.4907	7.4336	7.036	8.8785	7.9406	8.1006	8.0957	8.5275
Meth__cg25055477__NUDT3	0.05285	0.063188	0.40926	0.058579	0.05594	0.23398	0.05534	0.07903	0.1946	0.093822	0.15598	0.18038	0.36501	0.052144	0.20237	0.24679	0.068915	0.11641	0.083605	0.069241	0.18894	0.16783	0.083065	0.11603	0.11177	0.090919	0.17649	0.10176	0.11068	0.039594	0.065307	0.13469	0.058126	0.13264
Meth__cg24727182__AGXT2L1	0.013012	0.017431	0.020171	0.0169	0.012017	0.59039	0.018859	0.072548	0.013547	0.016235	0.034436	0.013756	0.054329	0.023052	0.016475	0.4632	0.013951	0.029797	0.36626	0.01768	0.028409	0.63447	0.014029	0.02426	0.028502	0.025074	0.063387	0.015235	0.026164	0.015341	0.03326	0.060164	0.014208	0.016754
Meth__cg05386606__BCL7B	0.073513	0.057979	0.10112	0.12647	0.079604	0.90001	0.073158	0.23711	0.18912	0.086885	0.097181	0.70922	0.13614	0.17822	0.16569	0.10718	0.57148	0.10477	0.13994	0.077874	0.34322	0.1029	0.060102	0.087626	0.07418	0.095214	0.04236	0.07364	0.16729	0.037013	0.038955	0.080201	0.054583	0.06608
Meth__cg26660414__SLC7A8	0.089981	0.083658	0.89626	0.86328	0.40122	0.89037	0.084633	0.92933	0.086597	0.38148	0.86811	0.91943	0.86861	0.14047	0.12852	0.91157	0.23034	0.66788	0.5971	0.8887	0.74028	0.67306	0.051548	0.10422	0.1539	0.20126	0.043478	0.91456	0.49966	0.57687	0.14877	0.10077	0.060355	0.88919
EA_G__GYG2	7.8871	7.1576	5.0908	6.2027	6.4853	5.2693	5.7758	5.0278	5.4435	5.6047	7.0613	6.3938	5.9091	5.2829	6.7178	4.9633	6.8701	5.4592	4.9197	6.7559	8.9014	5.5224	7.9013	5.0136	6.0633	5.6047	5.4549	5.4488	5.136	6.3422	5.6961	5.9374	7.7537	7.8063
EA_G__C17orf28	9.3617	9.729	7.4386	9.6197	10.0389	5.5952	9.5722	6.3666	6.9129	9.0304	5.4402	7.025	7.3859	10.3392	8.2773	7.1557	5.8027	7.1023	5.3634	9.277	5.3589	6.1912	11.1353	8.8997	11.0475	9.6716	5.6045	6.3796	5.9321	9.5063	9.3071	9.6105	9.9773	10.4072
Meth__cg25823578__PTGER2	0.089762	0.05354	0.94502	0.85727	0.11311	0.61724	0.33956	0.8466	0.0483	0.4929	0.84458	0.81435	0.79349	0.40286	0.11844	0.94228	0.045986	0.056402	0.52365	0.72142	0.18399	0.81805	0.84305	0.06477	0.251	0.08196	0.050728	0.037615	0.91751	0.3563	0.51197	0.068906	0.050568	0.14639
EA_G__EPHA2	9.1154	8.5414	9.6508	7.3461	6.8444	9.4567	7.1665	8.6973	7.4528	6.4815	6.9884	10.0314	10.1517	7.8157	8.3948	9.354	9.0916	8.7865	9.6476	7.5449	9.4881	10.4042	6.9463	7.1418	7.4838	8.3671	8.6969	9.6151	9.4186	8.4036	7.5725	7.0417	7.2961	6.8289
Meth__cg16072462__PF4	0.473	0.054258	0.8117	0.33941	0.44131	0.88185	0.6641	0.89851	0.067938	0.064976	0.59639	0.57356	0.74177	0.19378	0.12827	0.68738	0.42698	0.18243	0.071913	0.10756	0.53117	0.59927	0.15005	0.067679	0.55838	0.093232	0.10358	0.39894	0.74943	0.075833	0.29733	0.07424	0.070183	0.080563
EA_G__PVRL4	8.9017	8.8387	7.5802	8.6614	9.612	6.0215	8.4399	7.6435	8.619	6.9983	5.9267	7.5051	7.1911	9.1697	8.8506	6.8664	5.7394	9.0419	6.0255	7.9387	5.9404	6.0246	7.6553	7.9653	8.7386	8.6132	6.1518	6.6455	5.8878	8.5554	8.2224	8.8527	8.4894	7.7461
Meth__cg00655307__ESR1	0.032101	0.017673	0.04616	0.038249	0.039318	0.12369	0.043188	0.94207	0.030673	0.028457	0.82135	0.096178	0.86922	0.030434	0.021974	0.83422	0.054121	0.048789	0.034307	0.024875	0.13478	0.54272	0.030584	0.048395	0.053378	0.052716	0.033003	0.036515	0.13206	0.023781	0.2149	0.10203	0.032647	0.063696
Meth__cg03506684__GYG2	0.036966	0.026298	0.90306	0.1638	0.15588	0.44495	0.043124	0.46135	0.099425	0.047063	0.071913	0.039994	0.3059	0.058454	0.090608	0.28149	0.035642	0.056638	0.029302	0.040055	0.065485	0.037114	0.0351	0.076836	0.84213	0.041577	0.022527	0.12949	0.035087	0.025073	0.16859	0.094951	0.031581	0.035981
Meth__cg22085335__KCNF1	0.032211	0.030268	0.41356	0.040613	0.032174	0.87547	0.04045	0.12298	0.033125	0.031099	0.045822	0.044732	0.12482	0.030769	0.03859	0.042101	0.04415	0.059556	0.26687	0.042747	0.040352	0.29105	0.037592	0.056552	0.59915	0.040237	0.047174	0.045532	0.044404	0.041855	0.13647	0.051467	0.036041	0.041373
Meth__cg06745740__HGF	0.29978	0.044027	0.20516	0.59438	0.072332	0.77124	0.43395	0.76494	0.76497	0.14101	0.67729	0.17938	0.66156	0.16301	0.69123	0.46762	0.40309	0.14987	0.74311	0.10446	0.39733	0.69808	0.25872	0.14927	0.48233	0.058748	0.098878	0.84888	0.33275	0.048051	0.13428	0.084993	0.22309	0.21883
Meth__cg09818732__FLJ20489	0.02806	0.017138	0.076923	0.037056	0.037984	0.58179	0.031083	0.13142	0.063002	0.037696	0.063854	0.22171	0.25541	0.020774	0.046568	0.051205	0.095746	0.068301	0.020227	0.032293	0.20839	0.11189	0.038082	0.036495	0.051163	0.041563	0.02249	0.27622	0.071662	0.027778	0.030331	0.035091	0.025479	0.034151
Meth__cg13346411__CCKBR	0.066818	0.14756	0.93932	0.15095	0.057127	0.73007	0.9136	0.62445	0.056807	0.078036	0.68153	0.17572	0.93559	0.090783	0.068286	0.17702	0.10921	0.21587	0.56685	0.62304	0.18976	0.92842	0.1005	0.087456	0.93111	0.12328	0.083161	0.12615	0.29385	0.074848	0.61887	0.10122	0.095787	0.080483
Meth__cg13812587__TMEM15	0.021888	0.02041	0.52501	0.035598	0.018394	0.13909	0.023018	0.025876	0.91708	0.033581	0.17319	0.12611	0.061947	0.013501	0.60117	0.035624	0.027545	0.027425	0.083212	0.02255	0.066198	0.93648	0.035698	0.042085	0.070668	0.048905	0.025296	0.051992	0.024419	0.022901	0.025386	0.044408	0.045641	0.027317
Meth__cg08505473__PRIMA1	0.030739	0.024052	0.053712	0.030217	0.021201	0.61018	0.042298	0.053254	0.020727	0.031725	0.05038	0.047034	0.15308	0.022213	0.034062	0.033195	0.022741	0.086272	0.020067	0.04349	0.078338	0.36198	0.030576	0.037741	0.078906	0.031149	0.024841	0.031882	0.024816	0.018761	0.11384	0.065845	0.030272	0.022443
Meth__cg04993257__PLAC2	0.050234	0.056214	0.074614	0.071465	0.048435	0.90588	0.090424	0.35652	0.49833	0.064161	0.38732	0.067105	0.11862	0.067768	0.41367	0.22762	0.41563	0.075083	0.83776	0.046958	0.050662	0.88682	0.060935	0.073114	0.091118	0.060272	0.45007	0.3686	0.12381	0.047941	0.65453	0.093518	0.058035	0.05034
Meth__cg10449070__ALDH2	0.022104	0.51841	0.96619	0.032193	0.017817	0.075201	0.024665	0.96985	0.60024	0.96998	0.023549	0.97584	0.93907	0.012301	0.69706	0.9659	0.026111	0.039666	0.024805	0.96101	0.64349	0.041662	0.025335	0.043235	0.95136	0.030732	0.024821	0.028517	0.95094	0.020043	0.96286	0.046707	0.027621	0.20216
Meth__cg15796941__BTBD11	0.15774	0.078033	0.91274	0.3507	0.069947	0.89959	0.13236	0.28175	0.13217	0.067312	0.57902	0.073529	0.56289	0.15099	0.12712	0.19079	0.18381	0.12547	0.15137	0.14914	0.29785	0.87294	0.61737	0.10417	0.8727	0.073303	0.072097	0.067705	0.54297	0.060132	0.7019	0.11538	0.066267	0.065436
Meth__cg01632825__CLTCL1	0.052195	0.034136	0.11934	0.059395	0.05443	0.11536	0.063969	0.27161	0.061623	0.058448	0.044103	0.18738	0.16808	0.035281	0.072569	0.15867	0.039357	0.11596	0.029883	0.056042	0.22799	0.47931	0.05615	0.087987	0.39546	0.054338	0.038795	0.057096	0.053294	0.034582	0.070344	0.082828	0.049573	0.055409
Meth__cg09717545__KISS1R	0.13414	0.14981	0.95531	0.46507	0.057166	0.30306	0.22449	0.68559	0.09701	0.15493	0.94985	0.15988	0.77231	0.1312	0.11493	0.94259	0.13281	0.20515	0.44505	0.22012	0.94594	0.88931	0.15292	0.092029	0.28545	0.20951	0.087722	0.13643	0.12287	0.08803	0.68012	0.13199	0.09944	0.3763
Meth__cg03475172__USP6NL	0.074178	0.1597	0.16924	0.23973	0.0503	0.74547	0.19023	0.88775	0.31726	0.070683	0.58999	0.64735	0.38526	0.08425	0.28568	0.84397	0.73103	0.257	0.51561	0.087166	0.75943	0.36386	0.21553	0.55421	0.2692	0.16346	0.85841	0.37261	0.19856	0.089666	0.26178	0.21812	0.081212	0.14298
Meth__cg03139057__DLL3	0.023566	0.016275	0.45102	0.053216	0.023754	0.87786	0.14077	0.92098	0.080528	0.041389	0.63066	0.59284	0.66999	0.016933	0.052819	0.79745	0.50525	0.062588	0.064459	0.2523	0.94119	0.87085	0.060748	0.071511	0.072545	0.020128	0.81329	0.04417	0.058207	0.019963	0.76187	0.045556	0.028345	0.025753
Meth__cg05443740__CSEN	0.040735	0.058622	0.92495	0.053004	0.036984	0.52847	0.050913	0.85076	0.62058	0.075257	0.39649	0.86574	0.5188	0.12919	0.53105	0.4808	0.15613	0.35282	0.031072	0.063073	0.71023	0.2908	0.086844	0.058512	0.1084	0.10542	0.060491	0.33859	0.039821	0.051984	0.32097	0.067279	0.044566	0.36734
Meth__cg06747888__TBR1	0.34451	0.14694	0.9166	0.11045	0.068479	0.91287	0.10154	0.91489	0.30024	0.086213	0.87401	0.8873	0.92516	0.093604	0.21282	0.89441	0.69516	0.29074	0.8852	0.084	0.89432	0.80047	0.066035	0.10285	0.1454	0.13495	0.93282	0.15766	0.90857	0.15039	0.53994	0.13363	0.11234	0.38505
Meth__cg00247489__CR2	0.033014	0.040394	0.050226	0.037051	0.016815	0.68663	0.51459	0.63859	0.024766	0.032683	0.49381	0.039196	0.17671	0.033235	0.032356	0.71646	0.031371	0.051122	0.043415	0.23036	0.048814	0.67417	0.028066	0.11634	0.71134	0.07141	0.029978	0.028856	0.046683	0.033727	0.35461	0.053524	0.021581	0.020406
Meth__cg10862848__GNMT	0.083171	0.10758	0.48497	0.098375	0.11497	0.96915	0.093602	0.45752	0.09722	0.094028	0.76394	0.27473	0.6165	0.06715	0.1132	0.28875	0.39957	0.098237	0.90082	0.077794	0.93883	0.9181	0.08944	0.069352	0.086146	0.10795	0.74142	0.33027	0.83493	0.082896	0.93574	0.17859	0.11195	0.1462
EA_G__GLS	7.4277	7.4228	9.005	6.9834	6.7626	8.2057	6.6295	9.1094	7.2106	7.609	9.5461	8.6477	8.1178	5.0412	7.4503	8.7597	8.412	7.7883	8.4596	6.6922	8.8394	8.5453	6.2814	7.2594	4.5529	7.0692	10.0833	8.7098	8.438	7.0957	6.6458	6.6057	6.9638	6.5527
Meth__cg10189695__GPR78	0.038341	0.038164	0.067359	0.039971	0.035127	0.85632	0.048653	0.28214	0.030642	0.037196	0.48693	0.5546	0.14212	0.026515	0.040233	0.040379	0.32935	0.080673	0.89762	0.045559	0.093041	0.93888	0.053009	0.064763	0.6487	0.058447	0.032754	0.04257	0.52402	0.029247	0.034336	0.051862	0.041443	0.035034
Meth__cg10084993__SLC9A3R2	0.086291	0.063291	0.86207	0.11748	0.11035	0.9141	0.10997	0.62646	0.18127	0.23786	0.49253	0.89558	0.68785	0.061791	0.18129	0.53254	0.2242	0.69926	0.11511	0.097779	0.82418	0.13651	0.065763	0.094846	0.090305	0.076187	0.38633	0.082633	0.34674	0.066262	0.13306	0.083039	0.10192	0.071443
Meth__cg03750606__ESRRG	0.055156	0.064742	0.61505	0.06877	0.070728	0.8472	0.086443	0.59767	0.063915	0.098483	0.078735	0.2525	0.085441	0.045733	0.073398	0.076216	0.077662	0.11205	0.091936	0.067152	0.11071	0.80959	0.067935	0.11177	0.12296	0.089579	0.29553	0.052479	0.089292	0.06206	0.32474	0.089591	0.068634	0.073841
EA_G__PRKCDBP	4.8323	4.9869	6.6066	4.8024	4.8467	7.0079	4.9027	9.1517	5.7634	4.6242	7.4982	8.1819	4.8293	5.3299	5.4113	6.7699	7.3649	6.0356	8.2985	5.3427	7.9633	8.1638	4.8741	6.2092	5.7995	5.1549	8.6926	7.6327	8.5386	5.1614	4.9373	5.379	5.3021	5.1032
Meth__cg04796162__IGFBP3	0.049288	0.025759	0.98212	0.093385	0.054941	0.25092	0.13361	0.61219	0.021772	0.43325	0.85131	0.12276	0.81539	0.5564	0.02923	0.054714	0.028851	0.083178	0.071536	0.36231	0.071658	0.048183	0.66288	0.19383	0.74935	0.055612	0.037197	0.041294	0.97643	0.022239	0.81849	0.68049	0.043231	0.036342
