Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg00465284__LRRTM1	0.051453	0.030711	0.86411	0.95856	0.93392	0.95895	0.95553	0.038988	0.062368	0.9649	0.9535	0.65344	0.25714	0.54288	0.089541	0.045462	0.032609	0.96376	0.93361	0.50898	0.32315	0.41446	0.90198	0.47688	0.089411	0.92502	0.0514	0.033738	0.038361	0.38792	0.4224	0.039933	0.95976	0.22602	0.86712	0.72524	0.58697
Meth__cg18408326__CACNB2	0.27802	0.042508	0.76881	0.73495	0.06669	0.4214	0.63171	0.052307	0.18947	0.8285	0.53467	0.4228	0.041377	0.14031	0.037956	0.054891	0.053872	0.36645	0.31295	0.62805	0.05959	0.19697	0.59874	0.36219	0.16047	0.30064	0.077633	0.046185	0.18884	0.071775	0.12502	0.045019	0.23727	0.060041	0.51583	0.53668	0.52214
Meth__cg14348532__CALCA	0.73256	0.077792	0.80293	0.78627	0.4948	0.83638	0.86675	0.081011	0.1136	0.92886	0.16052	0.77653	0.086717	0.62926	0.44458	0.16363	0.091196	0.8186	0.83855	0.13351	0.11455	0.11633	0.50465	0.19091	0.089957	0.5477	0.067879	0.46949	0.16864	0.09146	0.39068	0.098361	0.28643	0.27233	0.93381	0.22243	0.28131
Meth__cg01172484__MAGEH1	0.42991	0.016834	0.081496	0.054244	0.61737	0.054713	0.046959	0.045086	0.021886	0.91725	0.40807	0.1566	0.040461	0.13567	0.51899	0.095519	0.045887	0.025836	0.050835	0.43136	0.064077	0.41409	0.74556	0.17038	0.03394	0.32654	0.037738	0.50935	0.1036	0.029304	0.039406	0.026265	0.034156	0.04474	0.32193	0.026447	0.03236
Meth__cg21091629__FRAG1	0.022814	0.016036	0.019512	0.024762	0.038032	0.024711	0.030894	0.016467	0.024567	0.02394	0.025718	0.025535	0.020328	0.021172	0.098538	0.02976	0.01714	0.018889	0.021424	0.03411	0.044318	0.021977	0.09323	0.024399	0.021114	0.027207	0.020181	0.0255	0.023872	0.24227	0.019285	0.020743	0.014646	0.034792	0.022603	0.021099	0.01732
U133A__SDC1	7.7805	8.9564	8.3437	7.34	6.396	7.35	6.8305	8.6221	6.73	7.0919	8.2425	7.4928	7.8995	7.043	6.0373	8.8431	6.7277	7.6374	6.5287	5.6989	6.5597	10.0445	6.9291	7.3329	7.3949	7.469	8.3341	5.6999	6.0831	5.4268	9.4931	8.1072	8.0011	6.2336	8.0672	6.6757	6.7627
Meth__cg25808906__DGKG	0.90887	0.044096	0.22784	0.073445	0.85536	0.77803	0.5288	0.05435	0.060456	0.20811	0.4117	0.15454	0.064124	0.066113	0.084417	0.088207	0.12142	0.85392	0.91359	0.22229	0.052145	0.90512	0.84297	0.17224	0.1874	0.71869	0.092653	0.066408	0.18893	0.29446	0.047358	0.047805	0.14023	0.19993	0.62394	0.080827	0.060333
Meth__cg18695917__FSTL5	0.55365	0.033147	0.71026	0.81365	0.033762	0.04104	0.96639	0.033773	0.053297	0.15927	0.61778	0.064478	0.036276	0.034042	0.34409	0.056062	0.046452	0.020556	0.048758	0.032173	0.044155	0.021554	0.68844	0.44108	0.10643	0.87106	0.073391	0.029173	0.024049	0.026178	0.029907	0.033218	0.028069	0.62486	0.051979	0.030041	0.043531
Meth__cg18915211__ZCRB1	0.07878	0.11256	0.066606	0.1374	0.10213	0.33814	0.14363	0.084134	0.1521	0.15228	0.71831	0.062621	0.098457	0.1002	0.10938	0.10628	0.085695	0.1422	0.094401	0.21014	0.28551	0.51315	0.68189	0.17826	0.13336	0.089331	0.20281	0.061441	0.044662	0.23616	0.078268	0.068027	0.073621	0.09956	0.30666	0.086274	0.069285
U133A__SPATA20	8.0097	8.0667	8.4022	8.973	8.1244	7.9384	8.1626	6.0568	7.9664	8.2571	7.1642	7.1251	6.4692	7.276	8.545	6.7971	8.151	7.9175	8.4668	7.4922	7.9718	8.2501	7.8416	9.0767	8.2506	8.2715	7.4515	8.086	7.3961	7.0211	6.8099	6.2629	7.8545	8.2459	8.3378	7.6437	8.3765
Meth__cg18809289__ALOX5	0.16115	0.17799	0.11406	0.23337	0.91561	0.14933	0.47892	0.12298	0.10298	0.65779	0.1651	0.20122	0.1208	0.48377	0.38339	0.1456	0.43729	0.12395	0.20169	0.18772	0.23261	0.33154	0.84574	0.11345	0.1759	0.83329	0.13857	0.25603	0.1343	0.23211	0.12991	0.095453	0.1742	0.18236	0.11811	0.11157	0.13307
Meth__cg13936125__GNAO1	0.099232	0.033322	0.042166	0.034261	0.98173	0.04019	0.042185	0.037047	0.045018	0.10769	0.028251	0.062683	0.032252	0.035792	0.02854	0.058338	0.037992	0.039332	0.060209	0.058214	0.033241	0.028377	0.53895	0.047045	0.042804	0.068071	0.045646	0.029419	0.030016	0.054924	0.028495	0.026743	0.026475	0.064807	0.037865	0.040787	0.04469
Meth__cg07747970__LHX1	0.7622	0.029976	0.05113	0.29113	0.79441	0.041637	0.72619	0.12003	0.037158	0.18214	0.062564	0.042196	0.11249	0.45971	0.044269	0.066502	0.52237	0.024847	0.043308	0.03585	0.035507	0.26484	0.69174	0.035447	0.30372	0.059364	0.096926	0.039181	0.024415	0.033663	0.024681	0.031624	0.035024	0.38939	0.63505	0.25127	0.28957
Meth__cg16983211__HOXC5	0.10421	0.5562	0.46346	0.09748	0.54065	0.50225	0.16705	0.12214	0.13138	0.1053	0.1047	0.79241	0.44363	0.88026	0.083365	0.77355	0.083379	0.12947	0.10984	0.32799	0.37078	0.87593	0.4309	0.08344	0.14189	0.16521	0.34513	0.82127	0.084487	0.25805	0.92233	0.9158	0.9055	0.90376	0.88682	0.80522	0.88522
Meth__cg13397379__OR2C3	0.66172	0.017001	0.21709	0.38944	0.62305	0.58342	0.67434	0.01717	0.030705	0.56886	0.79678	0.1192	0.08287	0.48027	0.49497	0.048011	0.018126	0.027299	0.031291	0.87857	0.12127	0.52188	0.40912	0.056057	0.046202	0.428	0.035371	0.066727	0.75452	0.049427	0.35521	0.045074	0.074362	0.029918	0.05713	0.24402	0.26688
Meth__cg22100821__SCRT2	0.38328	0.15567	0.44538	0.38015	0.44778	0.74742	0.59389	0.11072	0.84827	0.09131	0.77864	0.52195	0.08485	0.49447	0.27299	0.037945	0.029044	0.81772	0.085141	0.2099	0.28151	0.10302	0.81877	0.16821	0.027237	0.93875	0.10887	0.031444	0.036178	0.074398	0.049232	0.040425	0.83559	0.014746	0.054076	0.047812	0.48422
Meth__cg16752583__TRPV6	0.090788	0.084862	0.091372	0.13133	0.11472	0.091434	0.39104	0.11669	0.16353	0.48237	0.17656	0.16784	0.058489	0.15266	0.76524	0.12118	0.091822	0.17751	0.38624	0.82732	0.11203	0.059656	0.40823	0.14392	0.10592	0.090655	0.066696	0.077655	0.2381	0.22789	0.39098	0.081199	0.0617	0.21027	0.2263	0.15201	0.10676
Meth__cg06793062__CNTNAP4	0.85177	0.087703	0.087369	0.88208	0.084605	0.81059	0.27456	0.040622	0.41517	0.86697	0.22813	0.11681	0.03515	0.22075	0.21319	0.044883	0.031768	0.030684	0.36119	0.9084	0.034443	0.84856	0.044343	0.50738	0.062114	0.83422	0.069705	0.23254	0.60134	0.92679	0.87488	0.034563	0.26958	0.028479	0.041662	0.70416	0.62346
Meth__cg04237663__KCNV1	0.59131	0.67979	0.41407	0.38549	0.67394	0.90249	0.92558	0.033694	0.72678	0.8313	0.68749	0.38854	0.22154	0.53246	0.12251	0.072309	0.22971	0.059006	0.039588	0.076855	0.067861	0.05812	0.81845	0.040701	0.1356	0.73534	0.4905	0.40479	0.51562	0.50436	0.52549	0.041082	0.74084	0.24696	0.58094	0.60091	0.60665
Meth__cg19714749__TPK1	0.079348	0.046687	0.080053	0.063873	0.039443	0.05967	0.068775	0.046834	0.043817	0.089121	0.044267	0.063865	0.043225	0.059336	0.17976	0.074398	0.48596	0.038592	0.081085	0.04561	0.048308	0.035497	0.084911	0.051063	0.03997	0.14749	0.063881	0.050696	0.030843	0.039216	0.030635	0.034548	0.04372	0.060873	0.037955	0.041662	0.046921
Meth__cg06186861__ZNF501	0.87074	0.049734	0.082199	0.79956	0.91917	0.89038	0.9266	0.10336	0.077431	0.87701	0.15439	0.75688	0.097584	0.068877	0.067059	0.10883	0.056629	0.73613	0.46592	0.27569	0.10211	0.066858	0.6073	0.44239	0.17997	0.39256	0.07561	0.049744	0.088205	0.073196	0.24574	0.084758	0.094812	0.11483	0.29549	0.089722	0.21957
U133A__ACAA1	6.1633	8.8997	6.6984	5.2632	6.3551	7.0217	6.3772	6.4261	7.1641	7.3011	6.1541	6.6504	7.0428	6.9482	6.9299	6.3982	6.6822	7.7278	6.912	5.4479	7.0365	7.5844	6.3811	6.9764	7.9024	6.7552	9.1231	6.4906	6.7173	6.0876	7.3427	6.9957	6.6535	6.6359	6.846	6.6572	6.2702
Meth__cg02608019__SYK	0.081652	0.080046	0.063433	0.064719	0.96913	0.071131	0.057083	0.051701	0.077078	0.54145	0.10184	0.095989	0.070038	0.046129	0.43356	0.1187	0.40782	0.035652	0.098885	0.42877	0.41752	0.046965	0.93886	0.11007	0.17771	0.92005	0.10127	0.042276	0.048385	0.074646	0.05759	0.062443	0.05379	0.092831	0.066163	0.066539	0.066267
Meth__cg21461100__NOVA2	0.49888	0.043598	0.099233	0.72342	0.1135	0.62535	0.63344	0.69667	0.13822	0.68707	0.90328	0.48958	0.49791	0.069988	0.72109	0.12001	0.047675	0.59849	0.4514	0.53815	0.18539	0.098406	0.51285	0.61911	0.07596	0.93352	0.047793	0.072615	0.23463	0.05024	0.32483	0.099295	0.04111	0.22909	0.81057	0.11399	0.067463
Meth__cg20839149__SH2D2A	0.096749	0.056931	0.14129	0.30143	0.70924	0.29303	0.13897	0.076653	0.10487	0.49311	0.42082	0.33941	0.088864	0.33205	0.73804	0.093495	0.094381	0.62748	0.63744	0.85401	0.15071	0.44692	0.42154	0.62426	0.04162	0.32457	0.17495	0.12274	0.052655	0.12959	0.43072	0.046703	0.43073	0.31379	0.4742	0.36011	0.4825
Meth__cg10189695__GPR78	0.038341	0.038164	0.067359	0.039971	0.85632	0.048653	0.28214	0.030642	0.037196	0.48693	0.5546	0.14212	0.040233	0.040379	0.32935	0.080673	0.89762	0.057822	0.045559	0.032963	0.093041	0.030703	0.93888	0.053009	0.064763	0.6487	0.058447	0.032754	0.04257	0.52402	0.024228	0.029247	0.034336	0.051862	0.041443	0.035034	0.043472
U133A__BNIP3	7.6212	7.8948	5.9232	9.2703	9.4819	7.7395	5.595	7.838	8.4411	7.3292	5.1835	7.0648	4.7334	6.4132	7.9987	5.153	7.1221	7.702	8.0036	8.58	7.3753	6.7418	8.1999	8.8301	5.3629	9.1338	7.5778	7.4537	7.48	7.7954	6.9843	8.1186	7.6257	6.803	10.5984	10.5509	8.3751
Meth__cg14654926__FGF10	0.34621	0.017131	0.11807	0.9593	0.70783	0.9346	0.97556	0.66922	0.055336	0.93356	0.55884	0.16017	0.68151	0.89917	0.038637	0.11764	0.52021	0.16543	0.85302	0.86042	0.4775	0.51889	0.29758	0.88104	0.039888	0.86513	0.03353	0.034599	0.9368	0.045523	0.92613	0.040891	0.27703	0.043127	0.059183	0.85702	0.89915
Meth__cg13320626__ST8SIA4	0.65218	0.091759	0.50419	0.58249	0.57281	0.52881	0.90216	0.066968	0.066717	0.82454	0.13157	0.80021	0.25826	0.90112	0.077039	0.16421	0.23519	0.049091	0.36395	0.82655	0.079452	0.61215	0.16378	0.91619	0.09196	0.82919	0.18961	0.43641	0.080973	0.82514	0.67642	0.24662	0.75193	0.78216	0.69895	0.38474	0.83472
Meth__cg05846716__PCSK2	0.13175	0.023449	0.2498	0.066287	0.074655	0.31453	0.089041	0.040976	0.051249	0.40316	0.69231	0.17054	0.045851	0.061774	0.034612	0.074372	0.033381	0.20158	0.12069	0.14152	0.056183	0.033704	0.14106	0.28619	0.047491	0.8648	0.046029	0.038593	0.024931	0.043982	0.033742	0.032	0.14054	0.16205	0.38673	0.10264	0.078771
Meth__cg09870606__GLG1	0.13045	0.080949	0.28684	0.34278	0.099927	0.18258	0.098138	0.1057	0.374	0.11863	0.13169	0.23763	0.10824	0.11495	0.10557	0.11923	0.10173	0.12149	0.11774	0.72046	0.084783	0.091373	0.15275	0.15061	0.18423	0.13702	0.20297	0.073864	0.094824	0.11365	0.10367	0.093273	0.097942	0.097418	0.11654	0.098542	0.16468
U133A__EVL	6.5819	6.5993	4.6086	7.2508	7.1084	5.4912	5.4509	7.6442	7.3263	5.4225	5.8148	5.1213	5.0845	6.1689	6.5112	5.5906	5.4023	4.5521	7.7047	7.3885	6.8544	6.2239	4.7318	7.4779	4.4135	5.965	5.412	5.6858	4.3026	5.815	7.3008	5.4453	4.793	5.3382	7.2771	6.5164	8.1337
Meth__cg09076077__FLJ33860	0.9135	0.095383	0.91976	0.88458	0.20871	0.74994	0.9471	0.071361	0.6525	0.89522	0.80475	0.78764	0.1722	0.58229	0.62779	0.19752	0.044325	0.28591	0.67228	0.89346	0.086079	0.94333	0.17611	0.71059	0.14736	0.91126	0.092322	0.049679	0.040029	0.10275	0.20186	0.48567	0.84222	0.073372	0.93637	0.086513	0.0558
Meth__cg15457899__SCN3B	0.98204	0.42207	0.50346	0.73666	0.98232	0.98289	0.20757	0.083613	0.98334	0.98504	0.4217	0.49952	0.30947	0.092995	0.49166	0.095358	0.94886	0.98745	0.97247	0.98406	0.72372	0.36485	0.97875	0.98083	0.86117	0.977	0.16063	0.97971	0.06625	0.063077	0.0224	0.0247	0.14199	0.94306	0.044822	0.54705	0.95169
Meth__cg09847584__RIMBP2	0.14844	0.14004	0.13568	0.76719	0.53735	0.44389	0.92924	0.13057	0.12138	0.17769	0.92905	0.1513	0.25569	0.14112	0.4265	0.19029	0.12452	0.3383	0.23848	0.88833	0.12446	0.41708	0.19052	0.10845	0.21743	0.55853	0.19856	0.09904	0.12152	0.10418	0.074831	0.11279	0.15038	0.17304	0.41408	0.12594	0.19967
Meth__cg01471384__DKK2	0.038206	0.025074	0.39152	0.87201	0.42722	0.83099	0.60886	0.026119	0.03863	0.58259	0.19359	0.84392	0.16751	0.39078	0.026231	0.053422	0.020086	0.23545	0.25312	0.82292	0.049857	0.26134	0.64714	0.57317	0.115	0.49955	0.051541	0.02586	0.037982	0.58231	0.41957	0.073963	0.45388	0.044459	0.37507	0.30745	0.30235
Meth__cg00411097__MGC9712	0.062201	0.046784	0.060083	0.070449	0.84711	0.062746	0.23167	0.052009	0.055929	0.11714	0.059242	0.11088	0.057435	0.053678	0.87928	0.081624	0.91082	0.054827	0.063628	0.055187	0.75835	0.044654	0.17113	0.064269	0.07397	0.11693	0.099658	0.15839	0.052402	0.49591	0.040498	0.052713	0.04734	0.087792	0.05352	0.052635	0.061862
Meth__cg04072323__SKIP	0.88689	0.028335	0.91524	0.91358	0.90501	0.89998	0.62355	0.066119	0.060612	0.90847	0.14957	0.72901	0.13411	0.87837	0.15339	0.094747	0.11595	0.70091	0.66166	0.57377	0.042592	0.89506	0.85324	0.57021	0.12044	0.83308	0.12888	0.059529	0.084511	0.092319	0.23877	0.048071	0.80104	0.10335	0.51918	0.86247	0.81265
Meth__cg04000821__LAIR2	0.54062	0.038629	0.77874	0.067934	0.19668	0.30864	0.076478	0.041897	0.70601	0.12745	0.16983	0.21593	0.05413	0.08494	0.094848	0.078031	0.043982	0.23881	0.24225	0.70191	0.06539	0.58028	0.1191	0.065293	0.043784	0.14093	0.050493	0.057235	0.053525	0.046976	0.0348	0.0482	0.18195	0.051384	0.86565	0.053975	0.11627
Meth__cg18011401__CACNA1A	0.41824	0.12281	0.66107	0.22775	0.59581	0.2772	0.75298	0.11086	0.14315	0.41369	0.26497	0.2155	0.14789	0.19966	0.17938	0.15257	0.24529	0.19523	0.5527	0.14151	0.084356	0.54354	0.33096	0.10239	0.17612	0.40921	0.26265	0.074167	0.073152	0.078882	0.077844	0.10889	0.28901	0.11699	0.55277	0.12221	0.092852
Meth__cg01593190__ADAMTS2	0.40281	0.024988	0.58483	0.092939	0.78855	0.64076	0.14458	0.036898	0.0681	0.3064	0.21793	0.52116	0.056903	0.16153	0.068434	0.080104	0.043753	0.88849	0.89097	0.80722	0.065782	0.81514	0.61454	0.30759	0.065093	0.73247	0.04345	0.11715	0.04212	0.076535	0.051774	0.043984	0.27169	0.10424	0.50216	0.061666	0.063037
Meth__cg05860890__KCNV1	0.52731	0.50177	0.23228	0.39202	0.58349	0.8508	0.69867	0.046065	0.62158	0.73457	0.4566	0.44474	0.18302	0.42856	0.1315	0.10165	0.070875	0.072019	0.070815	0.10124	0.088568	0.05231	0.81575	0.071237	0.083616	0.66476	0.56133	0.4184	0.48931	0.44972	0.50444	0.060594	0.31433	0.12146	0.4123	0.52663	0.53564
Meth__cg15856055__ZNF511	0.10907	0.076625	0.45662	0.2137	0.75434	0.13097	0.1839	0.10692	0.11932	0.12576	0.48033	0.19231	0.087463	0.14645	0.41767	0.1078	0.50479	0.071195	0.093719	0.15988	0.42259	0.25448	0.41294	0.091023	0.14201	0.12438	0.18684	0.10969	0.13865	0.2977	0.088975	0.073179	0.073964	0.097943	0.25554	0.059835	0.09375
Meth__cg10183248__UBTF	0.019173	0.094442	0.029881	0.21959	0.027358	0.020151	0.013115	0.043932	0.029085	0.018949	0.39819	0.055977	0.096578	0.054496	0.017555	0.03891	0.020907	0.044065	0.029156	0.026942	0.29437	0.047705	0.034523	0.044088	0.05206	0.048936	0.16519	0.026438	0.021953	0.027546	0.056155	0.047888	0.022244	0.035733	0.029095	0.028706	0.022114
Meth__cg08528984__PRDM16	0.97909	0.028032	0.52851	0.06355	0.98506	0.97389	0.98457	0.40929	0.078194	0.98512	0.99051	0.41609	0.45936	0.015973	0.021422	0.074211	0.50682	0.94892	0.98248	0.42383	0.080675	0.14888	0.97715	0.082156	0.033297	0.94272	0.32738	0.018602	0.067716	0.11462	0.020956	0.025113	0.91093	0.1794	0.98431	0.2303	0.050433
Meth__cg19632206__FAM5C	0.092721	0.070135	0.10457	0.10611	0.5951	0.11245	0.59318	0.076529	0.11617	0.2313	0.14534	0.1777	0.054874	0.26242	0.31917	0.1565	0.33218	0.064621	0.14966	0.50069	0.15407	0.047569	0.46397	0.093381	0.25091	0.13924	0.10808	0.40976	0.11321	0.35144	0.3118	0.07333	0.10159	0.10894	0.057143	0.073786	0.10372
Meth__cg25947945__LAD1	0.22739	0.030286	0.073749	0.038028	0.96948	0.31025	0.40688	0.030853	0.11937	0.032152	0.031983	0.14437	0.025891	0.54283	0.64768	0.085125	0.40016	0.16021	0.37178	0.45621	0.95712	0.13508	0.93954	0.10957	0.073698	0.44856	0.07709	0.86517	0.028813	0.95615	0.036808	0.059542	0.035017	0.09522	0.062686	0.21136	0.03996
Meth__cg09916572__ZP3	0.048773	0.030785	0.048823	0.25155	0.67466	0.072164	0.040514	0.040831	0.048721	0.048004	0.13488	0.11074	0.050972	0.081507	0.061989	0.12211	0.03945	0.038948	0.052846	0.56998	0.25054	0.037906	0.56027	0.29295	0.12792	0.64239	0.055211	0.044124	0.035193	0.054797	0.042197	0.032641	0.062878	0.074106	0.067493	0.053702	0.056257
Meth__cg23297477__CMTM3	0.65904	0.96012	0.96902	0.069556	0.039877	0.84151	0.089296	0.35912	0.052079	0.65661	0.73916	0.88677	0.58857	0.050226	0.036572	0.44193	0.040153	0.17911	0.074429	0.21286	0.050534	0.77664	0.6292	0.051426	0.082173	0.76421	0.72472	0.048002	0.1349	0.30811	0.96483	0.97841	0.95629	0.89717	0.2249	0.96283	0.95838
U133A__L1CAM	5.131	6.8401	8.8594	5.4162	5.1979	5.9992	5.5173	7.8196	5.2405	5.5027	5.4281	5.847	7.5077	7.1837	6.3174	4.9963	5.9868	7.9212	7.0946	7.0356	9.0199	5.9986	5.5005	5.3735	5.5797	5.2012	7.695	5.1086	9.1313	5.2153	6.4661	5.7168	7.2869	6.3167	7.8844	5.2102	5.2926
Meth__cg09147222__CPNE4	0.075089	0.069697	0.089547	0.35135	0.64448	0.11167	0.49353	0.12289	0.10121	0.68414	0.66482	0.11197	0.069452	0.090314	0.083746	0.28848	0.29636	0.097241	0.081117	0.088278	0.074645	0.043994	0.40612	0.066421	0.24438	0.84207	0.080193	0.045344	0.082081	0.42896	0.28317	0.10299	0.068467	0.17691	0.084156	0.076566	0.078249
Meth__cg07378350__GDF5	0.54505	0.049725	0.94347	0.80505	0.92972	0.79963	0.82574	0.27155	0.069669	0.36406	0.49491	0.61789	0.24268	0.26573	0.73576	0.42381	0.4	0.17077	0.14908	0.61453	0.086694	0.1899	0.83013	0.17538	0.093576	0.22653	0.069715	0.071293	0.070783	0.87844	0.76155	0.052065	0.61665	0.075387	0.07062	0.059329	0.12474
U133A__IGF1R	7.4366	6.0432	6.4696	7.616	6.7451	5.1784	7.4726	4.8247	7.1078	5.9359	6.3173	5.3298	6.252	5.9489	6.6041	5.5932	5.6916	6.2705	7.8115	8.3023	5.3234	5.1774	6.931	7.3309	5.6135	5.2645	5.3017	5.5466	6.4853	4.9335	7.2016	4.7378	7.5757	7.0228	7.4657	5.5772	6.4581
Meth__cg10743104__PDPN	0.35382	0.045283	0.92197	0.92012	0.54595	0.88752	0.51603	0.039558	0.83144	0.89911	0.47323	0.50574	0.056811	0.58801	0.0677	0.098741	0.037047	0.68129	0.73309	0.93576	0.1697	0.26175	0.47707	0.71399	0.12389	0.86303	0.052584	0.064577	0.057854	0.1567	0.93546	0.046687	0.70774	0.27261	0.68396	0.81189	0.67671
U133A__RARRES3	6.2411	9.4968	5.8376	5.5572	5.0381	5.4944	5.277	9.0935	6.0281	5.4879	9.54	7.6356	7.8721	5.3288	7.4354	9.2101	6.0114	5.3198	5.0877	8.4487	8.6168	6.2465	5.42	5.3185	8.767	4.7062	6.5872	5.4085	5.0522	5.5527	5.5433	9.1235	7.481	6.2309	9.4509	5.626	4.9116
Meth__cg11908570__KIAA0040	0.049462	0.024274	0.1061	0.035782	0.97303	0.099412	0.13243	0.061847	0.083369	0.084917	0.046342	0.053685	0.050801	0.059439	0.11919	0.040421	0.089779	0.038013	0.028133	0.11888	0.056793	0.12616	0.067479	0.051848	0.10286	0.090552	0.040177	0.032508	0.034294	0.040523	0.022389	0.028021	0.057534	0.042688	0.099738	0.032707	0.034706
Meth__cg19332710__RIMS4	0.74006	0.034187	0.74433	0.049781	0.49673	0.96679	0.06083	0.040671	0.044698	0.51332	0.695	0.28658	0.041853	0.035401	0.034199	0.079339	0.05141	0.036059	0.042225	0.047289	0.037508	0.10914	0.95759	0.037031	0.036769	0.92272	0.038273	0.036553	0.03091	0.13884	0.026289	0.027085	0.12692	0.082286	0.047239	0.026632	0.032766
Meth__cg15822346__SLC16A10	0.10073	0.085944	0.13535	0.13253	0.59312	0.10644	0.13172	0.077612	0.085592	0.1109	0.14102	0.10512	0.089909	0.11578	0.095341	0.12551	0.89283	0.063185	0.10625	0.70746	0.09826	0.23088	0.11304	0.10033	0.11375	0.21328	0.12547	0.074995	0.078268	0.22281	0.094166	0.079699	0.12153	0.101	0.089228	0.10766	0.1004
Meth__cg11882252__LOC134147	0.082366	0.69514	0.94994	0.063967	0.051507	0.050095	0.96587	0.9426	0.064345	0.063868	0.8972	0.70932	0.79672	0.86034	0.036988	0.42928	0.04345	0.79122	0.055378	0.055562	0.68874	0.056468	0.1225	0.052794	0.052945	0.10497	0.51784	0.066362	0.15225	0.051902	0.28066	0.25607	0.049856	0.14241	0.079722	0.065805	0.07752
Meth__cg13228642__IER5	0.078205	0.065152	0.072479	0.50167	0.48461	0.067086	0.045711	0.078014	0.090935	0.08524	0.1475	0.090109	0.07495	0.10333	0.056581	0.057026	0.14689	0.28743	0.1462	0.40431	0.067754	0.067761	0.10038	0.4664	0.13708	0.18129	0.13145	0.069111	0.057712	0.067594	0.31102	0.067189	0.045	0.089208	0.15855	0.0713	0.1626
Meth__cg06276653__C8ORFK32	0.8494	0.0515	0.094418	0.89647	0.079771	0.49104	0.70741	0.035667	0.096887	0.88454	0.66948	0.13993	0.078235	0.71585	0.46372	0.0821	0.037597	0.040236	0.042983	0.83714	0.046921	0.89878	0.12648	0.054398	0.076528	0.32567	0.091195	0.42556	0.31164	0.047428	0.052351	0.036792	0.6451	0.06813	0.65826	0.27985	0.12771
Meth__cg26499611__BAIAP3	0.50226	0.074498	0.11166	0.55456	0.31225	0.084829	0.3925	0.070396	0.4817	0.47151	0.46751	0.32265	0.084207	0.10067	0.25587	0.15426	0.066977	0.40331	0.35827	0.079827	0.23235	0.2384	0.65064	0.14198	0.055439	0.41925	0.083792	0.064717	0.074708	0.068757	0.04247	0.065263	0.73931	0.10926	0.33299	0.067271	0.061997
Meth__cg10791260__TNFSF15	0.063499	0.047533	0.096825	0.15591	0.79699	0.12137	0.048539	0.064008	0.10244	0.068652	0.090707	0.13126	0.06082	0.078524	0.50453	0.073248	0.31012	0.53554	0.36587	0.28377	0.51436	0.08116	0.23391	0.052663	0.095217	0.32487	0.087398	0.074021	0.05697	0.09523	0.029384	0.050163	0.045672	0.070673	0.083844	0.07551	0.18477
Meth__cg12238343__RLN3R1	0.91442	0.01538	0.89938	0.72838	0.07689	0.92635	0.92105	0.033021	0.078211	0.89511	0.19427	0.89144	0.024021	0.047601	0.028474	0.07899	0.2964	0.8457	0.77787	0.89693	0.020643	0.24965	0.83527	0.65984	0.22034	0.59539	0.024673	0.05385	0.15472	0.064499	0.02207	0.035116	0.22411	0.45755	0.036575	0.67792	0.79764
Meth__cg04531254__MGC17839	0.062457	0.40342	0.97429	0.082571	0.036339	0.062253	0.020705	0.12165	0.042916	0.043602	0.11657	0.85374	0.6124	0.064507	0.05643	0.29659	0.61457	0.054337	0.059375	0.062689	0.043	0.066963	0.057952	0.052589	0.046269	0.074098	0.26842	0.051502	0.028778	0.034969	0.96844	0.071551	0.066856	0.053009	0.041937	0.61476	0.045794
Meth__cg19816938__ABR	0.047903	0.02983	0.07695	0.12533	0.03115	0.18254	0.26354	0.037855	0.058314	0.27847	0.79592	0.10433	0.037301	0.033901	0.16249	0.083264	0.023356	0.024803	0.030781	0.065462	0.041855	0.028814	0.099644	0.46318	0.04305	0.10825	0.062065	0.021251	0.062865	0.064162	0.046201	0.024247	0.045266	0.14178	0.072419	0.053398	0.040478
Meth__cg07028533__CNTNAP2	0.56168	0.042883	0.87799	0.050667	0.058146	0.90435	0.92816	0.041356	0.077205	0.91675	0.88374	0.6057	0.044011	0.0661	0.69106	0.48192	0.48227	0.43996	0.34135	0.056935	0.078575	0.48228	0.81169	0.70705	0.67317	0.86597	0.080361	0.068885	0.096255	0.58741	0.042095	0.043801	0.61218	0.11084	0.77923	0.049803	0.054635
Meth__cg16509658__GABRB2	0.74283	0.021736	0.8449	0.93785	0.92536	0.94182	0.93019	0.025088	0.022518	0.93413	0.33561	0.59539	0.088533	0.85192	0.12824	0.060827	0.018508	0.89082	0.94343	0.25624	0.06289	0.04101	0.72049	0.27972	0.33892	0.85873	0.038659	0.037759	0.019472	0.019834	0.93085	0.023075	0.84796	0.055162	0.87883	0.11878	0.22943
