Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__LASP1	9.5381	8.8228	9.664	11.8925	9.1628	9.3673	8.5106	8.657	8.8387	8.7288	9.609	9.423	9.7487	9.9354	8.9098	9.4553	9.1961	8.8766	7.5227	9.3005	9.5261	9.5882	11.114	9.393	9.1818	8.5311	7.9899	9.1735	9.2861	8.7215	7.7283	9.741	10.3033	8.6075	9.0406
U133A__LGALS8	9.6652	6.93	6.3346	7.7823	4.0492	6.3609	6.2438	4.4525	7.5037	4.2296	6.4287	7.3981	5.7325	8.0335	3.8314	5.7469	5.9013	4.1778	3.8058	5.3444	3.8368	7.5299	7.1015	8.0029	7.9816	6.8287	4.3027	6.2919	4.594	8.7099	8.0004	6.0748	7.5306	8.9952	6.5759
U133A__PARP12	5.6212	7.2533	7.2406	5.7221	5.4178	5.3115	6.5946	9.2451	5.6289	6.6519	6.3163	7.2762	7.1555	6.4157	5.7841	7.1514	8.4965	6.4931	6.121	5.4093	6.91	5.8362	6.0526	6.5117	5.5824	5.8208	5.7415	6.6629	6.5579	7.6618	5.5611	5.8681	6.089	5.0997	5.5159
U133A__KRT8	10.7115	11.2525	11.4126	11.1708	4.6994	10.4767	9.9402	9.7313	11.932	8.4941	8.913	10.6646	11.1743	11.4994	9.9269	9.5922	9.5457	5.7145	11.6793	12.1159	7.5837	8.3426	11.2063	10.4653	9.1194	11.5414	4.6224	9.8963	8.3775	10.994	9.9593	11.9459	11.5683	9.9995	11.4816
U133A__SERPINH1	7.3383	7.1112	7.8774	8.1094	10.5733	9.4768	8.1624	9.1995	7.2126	9.7949	9.0328	9.016	7.5828	8.1352	9.7503	8.4767	8.1285	9.4153	8.799	8.2441	6.5507	8.2198	7.7041	7.8123	8.1456	7.2836	9.8089	9.2239	8.8404	8.1488	9.6402	8.6763	7.692	7.3527	6.6774
U133A__ST14	6.2778	7.5491	6.1897	6.5451	3.9898	6.2206	6.3367	7.2561	6.6181	4.9063	6.9803	7.7047	7.101	7.1576	7.4406	4.7531	6.3258	3.7092	6.126	6.1322	4.5615	3.929	6.3002	6.4807	6.4503	7.2871	4.9825	6.7263	4.1953	6.6592	5.1746	8.3697	7.4472	5.7941	6.2579
SNP__CRKRS	0.376	1.965	-0.203	1.862	-0.07	0.096	-0.445	-0.199	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.182	-0.333	-0.013	1.946	-0.191	-0.193	0.052	2.422	-0.144	0.294	1.743	-0.034	0.021
U133A__BNIP3	7.6212	7.8948	5.9232	9.2703	9.4819	7.7395	5.595	7.838	8.4411	7.3292	7.4467	5.1835	7.0648	4.7334	6.4132	7.9987	5.153	7.1221	7.702	8.0036	7.3753	8.1999	8.8301	5.3629	9.1338	7.5778	7.4537	7.48	7.7954	8.1186	7.6257	6.803	10.5984	10.5509	8.3751
U133A__PSMB3	9.6802	9.084	9.8988	12.1363	9.5618	10.306	8.8918	9.2269	9.1014	10.006	10.2436	9.5561	9.7906	9.2113	9.923	10.0025	9.3135	9.7381	8.6375	9.5798	10.0309	10.0956	10.8509	9.7682	9.7899	8.7196	9.5636	9.7851	9.9523	8.917	8.9793	10.2048	11.8259	9.0869	9.9681
U133A__ASNS	5.7555	6.9915	8.9025	8.6184	8.7816	8.0217	7.2217	8.7944	7.2405	7.4364	8.23	7.3351	6.7055	7.0562	7.619	7.5599	9.0102	8.0987	7.5216	7.197	7.4411	9.2835	6.6397	8.0286	6.3197	7.3892	8.7993	8.3637	7.3568	9.2583	11.7898	6.9057	7.4767	6.5745	7.3136
SNP__BCAS1	0.013	1.068	-2.242	2.02	0.515	0.076	0.13	-0.213	1.015	0.237	0.233	0.336	0.288	0.352	0.268	0.169	0.238	0.305	2.058	2.247	0.637	0.143	0.83	0.252	0.166	1.244	-0.184	0.683	0.028	0.333	-0.137	0.32	0.853	0.395	0.305
U133A__CYB561	9.3231	8.9941	7.8642	7.9717	6.2388	8.0748	7.6969	6.9168	8.6582	8.3664	8.4426	7.8981	7.7693	7.5397	7.7448	7.7648	8.0632	6.9285	9.7372	9.1411	7.0833	7.3983	10.3813	8.2127	8.7824	8.5366	5.2097	7.0984	6.7225	8.9039	9.4326	8.5092	8.6084	8.7911	9.3286
U133A__SERPINE2	4.1494	4.4242	7.97	4.9022	9.6075	4.4355	6.6807	6.0426	3.9813	8.4672	7.9594	4.2132	7.2359	4.2348	6.9187	8.2237	4.4336	10.6755	4.6808	4.5754	9.6812	6.4409	6.9121	5.0607	4.343	4.6083	5.8042	7.156	4.8219	4.3567	4.627	3.9897	4.2821	4.3236	4.6368
U133A__UAP1	9.1598	8.4831	7.1609	8.1046	10.5221	7.3076	7.5494	7.5247	7.4176	8.5975	8.0611	7.6904	6.9409	7.8611	7.7855	8.3676	8.4675	8.864	6.5547	6.1229	8.1057	8.5606	7.148	8.1879	8.1683	7.9066	9.5836	8.0031	8.7819	8.4541	8.9146	7.0147	8.1841	7.9779	7.8894
U133A__SPARC	3.7712	3.66	3.5138	3.5735	10.4223	3.5195	4.282	3.8571	3.5912	8.829	3.6301	5.2953	3.922	3.632	9.6467	9.8987	3.695	11.0811	3.9276	3.715	11.7943	5.5428	3.6311	10.9894	3.6342	4.0483	8.1684	3.7031	9.5455	3.6479	3.7304	3.9174	3.54	3.7679	3.658
SNP__LCE3B	-1.958	0.495	-2.398	-0.129	0.134	-1.961	-2.008	-1.872	0.015	1.19	0.642	-0.503	-1.825	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	-1.643	0.268	-0.255	-0.111	0	-2.222	0.291	-1.976	-1.915	-2.744	-2.627
U133A__SLC7A11	4.2893	4.9085	8.8657	4.8749	7.6008	4.0794	4.8761	4.5896	3.9585	5.6869	9.4099	5.7783	5.776	4.097	5.2914	7.2811	6.0812	8.3411	4.3563	4.5052	6.2811	9.0367	5.1478	5.4183	4.2368	4.6391	6.1061	5.0838	6.5691	7.4302	7.695	4.18	3.9346	4.1598	5.1029
U133A__RIPK4	6.9369	8.614	8.941	7.3972	6.6705	7.0491	9.796	8.8061	7.3564	7.6975	8.7888	8.9884	8.8039	10.051	7.9447	7.9849	9.5888	8.0963	7.4957	7.1495	9.6954	6.6804	7.1106	7.1915	7.0182	7.6382	9.5498	8.7522	7.4829	7.9776	7.8159	7.7129	8.042	6.7148	7.0509
U133A__ITGB4	8.4764	6.8825	7.8694	7.2638	5.1424	6.7049	9.9222	5.9812	6.4977	5.6302	9.8634	7.2601	7.6693	6.7599	9.2314	6.4951	6.4958	5.6846	7.7798	8.3127	5.7594	5.8136	7.8203	7.0236	6.7098	6.7099	5.7868	6.8612	5.7862	7.0662	7.1408	7.4342	7.6944	6.2395	7.5587
U133A__SIK1	5.5407	6.6616	6.0677	4.9096	6.6913	5.4221	7.7282	8.163	5.4636	5.4409	6.6593	5.7017	6.0411	5.3807	7.5037	6.582	5.9786	5.4702	6.3386	6.4975	5.7844	5.4881	5.517	5.6329	4.9697	5.7079	6.6356	7.7926	6.1986	5.94	6.413	5.5653	6.0509	5.3543	5.5297
U133A__SLC1A4	6.0902	5.1754	7.1537	8.2176	4.8003	6.8859	5.7327	5.1074	7.8823	4.3634	6.4325	5.903	4.3597	6.3009	5.1746	4.6385	4.3902	5.7849	5.8689	4.9972	6.7636	4.5674	8.7053	7.2159	6.8512	5.5833	7.6199	6.4011	3.8519	7.1562	7.5856	6.4569	7.3409	8.5448	7.4771
U133A__SHOC2	6.4196	6.4652	5.5	6.926	6.3936	7.5677	6.5926	7.2378	8.2063	5.6342	7.8995	6.1507	6.0135	6.8143	6.356	6.268	7.263	5.3781	6.6247	6.8352	6.6768	7.1528	7.9108	8.2722	8.0058	6.3408	6.6276	5.6485	6.6845	7.0982	6.8114	8.0742	7.641	10.5269	9.7141
U133A__FN1	5.5508	8.2086	8.2103	5.0901	10.9376	5.1521	5.7746	5.3775	8.8173	8.8456	4.7236	7.7597	5.8096	9.125	10.8297	11.166	5.7755	12.6523	9.0605	6.3942	11.2772	6.7443	6.9068	5.3011	4.931	7.9249	9.9495	11.5261	10.6074	5.1375	6.0347	6.7769	9.6411	5.6355	5
U133A__MTSS1	6.1643	5.7383	5.3768	7.3643	4.9656	5.9102	5.6476	7.3985	7.25	5.0706	7.6595	6.7544	5.934	5.6185	5.7008	5.9595	5.9118	5.8551	5.6033	6.7478	5.0839	5.4931	6.2973	5.9324	6.0706	5.5902	5.4629	5.0714	6.036	6.3201	6.996	5.2492	8.4561	7.5645	6.722
U133A__TTC39A	6.7363	7.9537	4.4192	6.888	3.8361	6.2428	4.6311	5.2211	9.349	4.463	4.6581	5.3975	4.1091	6.965	5.4051	4.311	6.2015	3.7661	4.5869	7.2805	3.4222	4.2968	7.8908	7.3398	7.8998	7.1437	4.1734	3.6019	4.3341	7.0384	6.696	7.1654	8.5979	6.5769	7.4901
U133A__KIAA0040	7.4994	6.4763	6.2241	6.3177	5.5327	7.1961	6.3227	5.7125	7.9873	6.0097	7.8512	6.4646	6.2896	6.4563	6.0658	5.6974	6.5026	5.7298	5.6006	5.9483	5.955	5.278	6.0962	7.1032	6.9009	7.0973	5.2923	5.7746	5.1966	6.4999	8.7619	6.5898	6.2826	7.188	6.3955
U133A__SYDE1	6.8379	7.2472	6.8609	7.0885	8.0843	6.5162	7.3569	6.8825	6.6175	6.6774	6.5162	6.9342	6.5962	6.8248	6.8539	7.4273	8.6698	7.7618	7.0502	6.8468	7.6436	8.3824	6.3775	6.5334	6.6439	7.3526	7.8582	7.1119	8.1386	6.164	6.431	6.8578	7.313	7.1023	6.6196
U133A__KANK1	5.1845	6.3431	4.3153	4.4629	6.3967	4.9071	7.1835	6.6344	4.4494	7.8058	6.3191	6.8472	5.5078	4.5401	6.1554	7.7999	8.4046	6.2557	5.5361	5.3198	4.5636	5.6924	4.7356	4.2955	5.7617	5.8712	5.7353	5.6835	7.4	6.7284	6.1543	5.6976	6.0245	5.7133	6.2831
SNP__NEUROD2	0.376	1.965	-0.203	1.862	-0.07	0.096	0.172	-0.199	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.422	-0.144	0.294	2.132	-0.034	0.021
U133A__KRT19	11.6554	11.9776	10.9191	11.935	3.995	11.6489	10.8671	10.3292	12.2228	3.8177	10.8381	4.5913	4.6342	12.4618	11.0216	10.3341	11.7799	3.831	10.65	11.6347	4.0939	7.2772	11.6624	11.784	10.9377	12.0028	3.9802	10.1275	3.2941	11.6439	11.4468	12.1604	12.1037	11.9516	11.561
U133A__GRB7	8.3996	10.2608	7.1275	10.6507	6.3286	7.053	8.3948	6.9301	7.1531	9.4888	6.7622	7.2019	11.2984	7.5151	8.0687	6.7119	7.5479	6.7995	6.1629	7.5126	6.355	6.1061	8.6563	6.8747	7.812	9.662	6.2945	6.9855	6.7471	12.4555	7.0393	7.1024	10.4791	7.1442	6.9964
U133A__PLEKHF2	7.8227	5.5542	5.4206	8.353	5.3539	7.7758	6.2048	6.0169	8.5369	6.5492	6.6429	8.251	6.1642	9.5057	6.5501	5.6869	6.6621	5.3134	7.6518	7.2111	5.1421	5.4357	9.0386	6.3531	8.0942	4.8166	4.8152	4.6651	5.4296	9.5436	9.1234	7.8132	8.0893	8.9253	8.4682
SNP__PPP1R1B	0.376	1.965	-0.203	1.862	-0.07	0.096	0.172	-0.199	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.422	-0.144	0.294	2.132	-0.034	0.021
U133A__ARHGDIB	8.5293	8.1199	5.8842	6.4501	4.7304	4.7976	5.607	6.4063	8.0311	5.4551	9.4922	9.2045	7.5589	10.3184	8.841	4.8659	9.2277	6.0753	4.7729	5.4535	5.5393	10.0378	9.1753	10.118	6.7721	8.9124	5.2272	8.2832	6.2232	9.0231	7.7081	6.377	9.6437	8.9659	6.9107
U133A__MET	4.1684	7.1117	9.1682	6.3733	7.8015	3.681	7.5974	4.7232	5.4852	5.2012	8.5363	6.9785	8.3372	5.3306	7.3328	6.2434	7.4069	8.8939	5.544	5.1935	6.8282	7.7522	6.4167	4.6308	3.6139	5.2515	7.6225	7.4948	8.1415	6.5536	5.477	3.9143	3.4815	4.67	3.9095
U133A__SLC16A3	4.8204	8.7523	4.7778	7.5024	3.8512	4.5588	5.858	4.6259	4.682	6.8934	8.3892	5.8137	7.6306	4.7371	5.944	7.2585	5.2284	5.8389	5.5231	5.6305	6.9724	8.9113	5.1973	4.6446	4.4335	8.1393	6.7169	10.4205	7.0373	6.4482	4.1816	5.4415	9.251	7.172	9.6262
U133A__MKNK2	8.8547	9.1024	8.1041	9.4367	7.54	8.4693	7.416	9.167	9.0655	7.1375	8.6892	8.2033	7.7142	8.9706	7.5959	9.0658	8.9596	7.0119	7.0536	7.6164	7.3453	8.3944	8.5317	7.9915	9.8256	9.3436	6.5736	8.5994	8.4037	8.9377	8.8276	8.2748	9.5034	10.562	9.1577
SNP__STARD3	0.376	1.965	-0.203	1.862	-0.07	0.096	0.172	-0.199	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.422	-0.144	0.294	2.132	-0.034	0.021
U133A__PRODH	7.029	8.2633	5.8233	8.8993	5.8303	8.8246	7.1422	6.0662	6.391	6.1094	5.6095	6.9142	6.0079	8.4251	6.3012	6.0604	5.6111	6.144	6.283	6.6374	5.8934	5.9198	9.8687	8.7783	9.8905	7.0932	6.1111	6.2748	5.5846	9.5521	8.7129	7.005	6.463	8.3004	8.9385
U133A__C3orf14	9.0139	8.6727	7.5754	9.212	8.5361	9.2088	4.2159	7.5311	8.7627	7.2165	6.6989	8.1664	4.05	8.792	7.421	6.3008	7.4875	8.1547	10.6072	10.2344	6.6381	8.2452	9.1404	7.4683	9.4658	8.9235	7.4175	8.1998	8.4651	8.5412	9.1302	7.7943	9.0827	9.2989	8.6747
U133A__RHOD	7.8747	5.2958	7.9209	6.4675	5.1077	7.9489	5.7556	6.6789	8.1395	6.8909	8.2529	7.7422	7.4409	7.285	6.8871	6.6721	6.7316	5.5286	7.3222	8.2642	5.7004	6.1846	7.1356	10.2792	7.6147	5.486	5.0982	7.0881	5.0527	7.3789	8.2248	8.4567	7.6569	6.3975	7.906
SNP__FBXL20	0.376	1.965	-0.203	1.862	-0.07	0.096	-0.445	-2.35	-0.411	-0.028	-0.144	-0.141	-0.106	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.013	1.946	-0.191	-0.193	0.052	-0.362	-0.144	0.294	1.743	-0.034	0.021
U133A__RAB11FIP1	7.0112	6.3265	6.0089	6.3952	4.1652	7.5606	6.1832	5.5435	7.7345	6.5955	5.6248	6.6226	5.2897	7.879	5.1828	6.1834	5.6434	4.4743	5.1289	5.3596	5.4449	5.3435	6.8999	5.2841	5.1493	6.3631	3.4957	5.5237	5.5979	10.4161	7.5511	7.0406	7.0536	8.8087	8.0265
U133A__EIF5A	6.1532	10.2322	11.5081	6.6804	10.141	10.3505	7.0561	6.2771	10.4307	10.9743	9.7164	7.3039	9.2206	10.6954	11.0518	6.7936	10.9733	11.4584	6.2508	7.0806	10.9628	9.8155	8.213	8.5732	9.7217	9.4725	10.7482	11.3354	10.6383	5.9167	10.9772	6.6051	6.774	8.3558	9.9089
U133A__CRIP1	8.4245	4.9101	4.4423	9.7016	5.0897	4.9873	5.2707	8.3369	5.2036	8.8011	6.9537	4.8419	4.9281	4.8404	5.1706	5.7282	7.8829	4.6486	5.4919	5.8025	4.3166	4.6497	9.8876	9.8166	8.6704	5.2638	5.2501	8.6033	4.6048	5.7352	5.1629	10.2423	9.5778	10.2373	11.2244
U133A__ID3	6.5887	8.2017	6.4475	6.292	9.0818	8.7673	6.2882	8.7247	5.5829	4.654	7.8635	9.1626	5.6262	9.16	7.4433	9.2935	8.3717	8.8993	7.6416	7.6832	8.3992	8.1135	7.6525	8.5874	7.9443	8.3927	8.1339	8.6072	8.571	7.3742	8.38	7.5964	7.2625	7.3309	7.1219
U133A__CPD	8.2101	8.1216	5.649	7.6179	6.7762	5.6894	6.4387	5.4846	5.716	5.8418	6.9123	6.7767	7.1457	6.9298	6.9384	7.8036	6.9833	6.223	5.6333	5.8221	6.1744	6.9398	9.0281	6.4524	6.7077	7.2602	6.3593	5.2009	6.5355	8.5259	7.2562	7.5889	9.3538	8.3809	7.1765
U133A__METTL7A	6.9451	7.266	6.3437	7.5847	4.3841	6.851	7.3172	6.7391	8.7913	6.6125	5.1798	8.321	4.1851	7.5515	8.8087	6.7329	6.9387	4.9186	4.7595	5.9162	6.6631	4.2725	9.2273	7.6442	7.6979	8.0295	4.2081	4.95	5.9051	9.855	7.7331	8.8341	6.5752	7.8531	6.9736
U133A__RCAN1	9.5061	7.1303	7.6573	5.82	7.7765	5.7191	7.9377	6.1191	5.2347	8.8541	4.8444	6.9518	5.967	6.6797	7.3532	6.7074	8.7816	5.7036	5.7352	4.0112	6.4032	6.0613	5.947	7.4427	5.2858	6.2714	7.7167	5.6586	6.4412	8.8791	7.3375	7.707	9.0319	6.8817	5.7304
U133A__GALNT6	8.8821	7.3905	8.324	6.7568	5.1143	8.8841	6.8554	6.1052	8.3463	5.6143	6.7577	6.284	8.1603	8.2228	6.9834	5.9045	7.5279	5.4304	8.8602	7.768	5.6215	5.8084	8.4236	9.1485	9.1731	8.7939	5.665	7.8211	5.8236	8.3165	9.245	7.746	9.7446	7.8728	9.2057
U133A__IRX5	7.7399	6.5809	5.5081	7.7145	6.7582	9.7052	6.7088	8.4982	9.2355	7.8438	5.0398	8.2703	6.928	6.9459	7.2265	6.0328	7.8287	5.68	6.4979	7.5153	5.4402	5.6562	8.26	7.8134	9.0329	6.3151	7.6172	6.2181	4.7753	8.6255	7.2192	7.8621	7.0565	8.7904	8.8174
U133A__VIM	5.8226	4.9592	5.965	7.7481	11.6511	5.8908	11.3821	8.7797	5.3502	10.7222	4.9413	5.8206	9.4913	5.6946	10.5693	11.5151	8.134	12.5403	5.7703	5.8608	12.7467	11.4408	5.516	5.4939	5.091	5.6462	12.9893	9.5774	12.4633	5.2009	5.4907	5.7024	7.8423	5.528	5.1392
SNP__PTPRN2	-0.54	0.091	0.186	0.355	0.212	0.084	-0.263	-0.23	0.286	0.411	-0.76	0.007	-0.229	0.264	0.45	0.006	0.092	0.206	0.691	0.507	-0.225	0.13	-0.332	2.594	-0.039	0.258	0.53	-0.226	0.002	-0.906	-0.308	-0.319	-0.288	-0.046	0.028
U133A__FBLN1	6.1437	7.8745	6.5493	4.731	4.7087	5.3776	7.9094	6.6592	4.574	6.5739	5.7041	6.1375	5.3861	7.0399	6.4172	6.3002	6.7823	6.1568	4.5418	5.0442	6.0269	4.6306	4.9543	6.269	4.5353	6.8851	5.23	4.4758	6.9467	9.0548	4.2538	4.5744	7.7406	4.5517	4.7651
U133A__LDHB	4.1912	9.5557	4.0631	7.7198	11.1499	3.7442	10.2809	11.5671	9.3184	11.4528	11.4705	11.0616	3.5408	11.1987	10.7072	11.2496	8.8148	11.0885	3.5489	4.7582	10.5632	11.6052	10.7455	9.8168	3.3627	10.4303	10.9508	11.7129	11.5033	6.9071	10.3626	4.7713	8.3895	3.3083	3.6779
U133A__HSPB1	9.8381	11.9878	10.658	11.1392	10.9092	12.4619	9.7586	9.4377	11.9863	10.4327	9.9008	11.9422	9.7152	7.6241	10.821	9.9102	10.7294	10.9497	11.5674	12.3547	10.3616	10.0079	11.75	11.1248	7.7425	11.0928	10.9232	10.4221	10.3461	11.3463	7.4763	12.0345	11.6336	10.7593	11.8178
U133A__BPTF	6.8483	8.6408	6.3479	7.5001	6.0281	6.4019	6.6098	6.6248	7.1143	5.6327	6.1347	5.7794	5.5429	5.7125	6.3422	6.9605	6.1183	5.9811	8.3108	7.9599	7.5758	6.3989	7.9848	5.5364	8.2596	8.0437	6.3576	5.6765	5.9499	6.1885	5.641	6.9433	6.4234	6.8825	6.4022
U133A__TP53	4.3446	6.3107	8.1243	7.4421	8.6777	6.3807	7.8645	8.1778	7.3335	4.3921	5.3349	4.237	6.7492	8.2247	4.5802	7.4288	7.206	6.2844	7.4501	7.6644	4.433	7.6558	4.8471	6.8662	4.1163	6.6233	7.125	7.8165	5.286	7.1119	4.3491	6.9765	5.6747	5.0216	6.2393
U133A__GSTP1	10.2691	5.9505	6.2737	6.0305	9.0029	6.4265	9.802	10.165	6.0055	9.9335	10.5334	5.7453	6.4435	9.7716	9.4364	8.9042	6.7726	8.5415	6.0689	6.0078	8.826	7.3513	5.9938	9.6938	6.2589	7.3166	9.2902	9.987	9.2485	5.822	5.7574	6.2469	5.6179	5.9376	5.7957
U133A__RHOQ	5.7676	7.464	6.8938	6.6728	8.246	6.4015	7.7497	6.7259	6.1135	8.1764	8.5219	6.1786	6.3748	7.5691	6.9454	8.572	7.5504	7.8128	7.1904	7.2712	9.6917	7.2082	8.0844	5.0555	6.0637	7.0925	9.122	7.1437	7.3307	7.8551	6.7023	6.4535	7.3277	6.2841	7.5618
U133A__NR3C1	5.0765	6.954	7.0652	5.1788	8.9925	6.6683	6.9561	9.1735	6.103	6.7952	7.9111	7.5877	6.4	5.6099	4.8193	7.9143	7.896	7.9943	6.4699	6.8241	8.052	8.189	5.6192	5.6545	7.9997	5.85	7.6812	6.8754	7.9483	7.9101	6.4618	4.868	6.6686	6.906	6.4361
SNP__LOC644144	0.37	-3.761	-0.191	-0.146	-0.098	0.096	0.396	-0.191	0.284	-0.355	-0.119	-2.93	-0.149	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	0.004	-0.576	-0.138	0.22	0.06	-0.354	-3.028	0.301	0.082	0.011	0.023
U133A__FXYD3	11.5397	11.0245	8.0183	10.1672	5.6784	10.1874	10.7614	6.2523	10.0586	7.166	10.7566	11.6944	10.7079	9.3959	11.2081	6.987	11.426	6.3006	7.5367	10.2466	5.9241	6.3403	11.0188	11.5663	10.5882	10.2691	6.2193	8.8516	6.3659	11.292	11.1506	8.8209	11.6832	10.5311	10.7219
U133A__NDRG1	8.6805	9.5465	6.8656	10.7596	5.7369	8.7552	8.7441	8.9747	8.2843	8.3586	8.4558	8.8067	7.6502	8.7344	8.4931	6.3697	8.1136	7.8216	6.8145	8.2818	7.4456	6.9756	7.9262	7.0386	8.4733	10.6886	7.7033	8.1369	6.9465	9.5387	8.3876	6.9584	10.4157	10.0224	6.6565
SNP__FLJ10120	0.37	-3.761	-0.191	-0.146	-0.098	0.096	0.396	-0.191	0.284	-0.355	-0.119	-2.93	-0.149	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	0.004	-0.576	-0.138	0.22	0.06	-0.354	-3.028	0.301	0.082	0.011	0.023
U133A__PRNP	6.1952	7.6265	8.3038	4.4988	8.3473	2.8621	8.8473	8.0052	3.5182	8.5845	9.0397	9.2202	8.6949	6.9932	8.0449	9.5522	7.329	9.3616	5.659	4.5659	8.366	8.3535	5.8395	3.3305	4.0872	7.1137	7.4428	8.3248	8.0389	8.428	8.4491	6.0263	6.8121	4.5816	5.6471
U133A__IRS2	8.2646	5.3993	6.3871	6.1831	6.2723	5.228	9.8849	5.6423	6.4241	5.833	9.3915	7.7954	6.0032	5.453	8.6129	6.621	5.3606	5.4758	5.921	6.2504	6.8503	7.0768	7.1192	5.6215	5.0591	5.6329	6.3412	7.299	7.7423	6.7356	5.7346	6.0545	5.8869	5.9846	6.0265
U133A__DUSP4	10.5675	7.7073	7.2673	8.7557	4.1033	3.6137	3.1114	3.4129	3.194	3.6057	4.3157	3.8377	6.9902	8.2093	3.5935	6.8971	3.1519	5.7101	6.7026	5.4863	5.4229	8.0304	8.4695	6.9283	6.4106	9.2095	3.1016	6.4878	3.4488	8.006	8.6117	6.152	9.8113	8.4149	6.4699
SNP__LOC553158	-0.003	-0.092	-0.2	-0.161	-0.154	0.018	0.287	-0.231	-0.391	0.092	-0.114	-0.193	-0.279	0.328	0.111	0.432	-4.011	0.16	-0.404	-0.52	-3.357	-3.547	-0.223	0.027	0.314	-0.216	-0.182	-0.152	0.004	0.51	0.009	-0.327	-2.757	-0.431	-0.368
U133A__TMEM30B	7.5328	6.8901	7.6466	7.4005	4.5145	7.2183	6.9133	4.3056	6.7918	4.8118	6.6057	6.9381	7.4909	8.128	5.2438	6.5212	6.4775	4.5702	8.4178	7.6244	4.4832	3.5723	7.4901	7.0626	7.6142	6.6801	4.1736	7.2792	3.6516	8.0335	3.6461	7.2677	8.2243	6.7906	6.8931
U133A__ELMO3	5.9066	5.7889	8.5436	6.3025	5.2339	6.9758	7.0401	5.4423	6.5243	5.5475	5.3853	6.8982	5.5113	5.2542	6.1292	5.5702	7.6032	5.6752	6.3077	6.383	5.4442	4.9135	8.2494	7.547	7.8003	5.5882	5.0385	7.7912	5.3956	8.1509	5.2154	7.257	7.1531	7.128	7.3481
SNP__C17orf37	0.376	1.965	-0.203	1.862	-0.07	0.096	0.172	-0.199	-0.411	2.277	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.455	-0.144	0.294	2.132	-0.034	0.021
U133A__SDF2	8.2388	7.8829	7.5004	7.8306	7.654	7.6603	7.7701	7.4071	6.8821	7.8707	7.3082	7.6121	8.0018	7.3506	7.6774	8.1304	7.2951	7.6302	7.522	7.5795	7.9851	7.8295	7.9517	7.635	7.3677	8.152	7.4198	7.2358	7.2845	8.1691	7.5493	8.2573	8.6775	7.5268	7.6639
U133A__TM7SF2	6.3544	7.7736	5.9613	8.9903	5.9644	6.5563	7.4551	7.1445	7.2359	5.6688	6.2564	7.1204	5.884	7.2668	6.8554	6.8658	5.6005	5.6277	7.5725	8.4942	5.3969	5.339	8.007	7.0843	8.3892	6.8779	5.8961	6.7959	5.3671	6.0172	6.2127	9.688	8.7472	7.5838	7.4074
SNP__GRB7	0.376	1.965	-0.203	1.862	-0.07	0.096	0.172	-0.199	-0.411	2.277	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.455	-0.144	0.294	2.132	-0.034	0.021
U133A__WWTR1	5.5378	5.4353	5.7299	3.966	7.3987	3.3913	8.3892	5.0729	5.616	6.4266	6.3704	8.6394	6.8808	8.0557	6.9231	9.3347	8.5677	7.4314	3.8181	3.8193	6.5088	6.9541	4.5266	3.6265	4.75	5.0238	7.8837	6.1643	5.4187	6.5895	8.0272	5.8601	6.6523	5.1135	3.6301
U133A__AGR2	10.3169	10.6821	4.8118	11.0027	4.8801	9.5473	4.7238	4.9574	5.6983	5.7322	9.8422	7.8487	8.9628	11.018	5.5521	4.8807	6.5245	4.9432	9.0223	9.5307	4.1066	5.8781	10.7955	11.9865	9.8595	9.5144	5.8546	5.7616	4.7808	10.6989	11.3355	11.4831	10.6889	9.3155	10.4286
