Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
Meth__cg02480835__NUPL2	0.066285	0.034255	0.062857	0.08286	0.10304	0.084646	0.10836	0.069515	0.043454	0.46425	0.044495	0.046651	0.1935	0.046915	0.057189	0.044007	0.058654	0.06183	0.087042	0.079056	0.033645	0.046101	0.089418	0.063613	0.10249	0.12462	0.038129	0.050655	0.061903	0.085794	0.049617	0.042673	0.075129	0.070374	0.043861	0.32405
Meth__cg23533073__CHES1	0.028863	0.016004	0.022667	0.018448	0.023949	0.1528	0.027197	0.018767	0.016236	0.029602	0.02599	0.020971	0.04848	0.020198	0.037139	0.029508	0.03759	0.027638	0.023906	0.035692	0.029492	0.018848	0.094194	0.037936	0.026426	0.035561	0.031256	0.021638	0.019356	0.014496	0.1875	0.018255	0.019731	0.034668	0.026251	0.017699
Meth__cg01267315__C1orf164	0.73466	0.055646	0.073535	0.062663	0.041145	0.030982	0.11117	0.025874	0.045145	0.050421	0.38188	0.037029	0.31258	0.029318	0.05118	0.058342	0.07312	0.028301	0.55781	0.66945	0.044846	0.060997	0.081692	0.047693	0.067568	0.41443	0.036085	0.033887	0.048965	0.038511	0.052348	0.040541	0.067761	0.85683	0.04431	0.57175
Meth__cg06043114__TSPAN2	0.71258	0.13676	0.024258	0.95392	0.44695	0.96873	0.97582	0.026881	0.03241	0.045968	0.46418	0.060376	0.96893	0.097996	0.034085	0.016956	0.053754	0.020559	0.78725	0.047902	0.052542	0.03816	0.65402	0.067503	0.36795	0.9058	0.049238	0.030612	0.017713	0.027044	0.69646	0.73446	0.5834	0.92056	0.64998	0.88526
Meth__cg12648263__PIGH	0.02621	0.013555	0.45138	0.028335	0.015221	0.015	0.021463	0.034747	0.018596	0.01802	0.028107	0.017525	0.027893	0.016242	0.02392	0.017726	0.026679	0.015067	0.023309	0.23841	0.020799	0.016678	0.032535	0.021733	0.022881	0.039849	0.025118	0.019009	0.016946	0.015137	0.018739	0.015121	0.017159	0.023759	0.016917	0.021116
Meth__cg02400248__CDKN2B	0.019449	0.01146	0.4962	0.022334	0.011184	0.012474	0.016633	0.011013	0.0090408	0.011547	0.011592	0.0081735	0.031272	0.012974	0.010626	0.41568	0.014189	0.0084045	0.02294	0.012633	0.014947	0.011359	0.51327	0.020521	0.031721	0.030163	0.029416	0.41629	0.10312	0.01576	0.012133	0.012851	0.011314	0.11389	0.018441	0.014866
Meth__cg24471268__SPSB2	0.052839	0.043086	0.057356	0.083406	0.067282	0.049022	0.058925	0.031995	0.048568	0.064919	0.12213	0.33271	0.41664	0.05759	0.060537	0.046545	0.067485	0.050809	0.050108	0.063951	0.066233	0.046928	0.061694	0.07645	0.068799	0.1682	0.091437	0.0508	0.057696	0.081809	0.073082	0.057802	0.045944	0.1316	0.055249	0.054639
Meth__cg14600885__MYOZ3	0.081972	0.04351	0.45706	0.11638	0.056446	0.30344	0.064094	0.42738	0.11147	0.085207	0.10515	0.23819	0.19211	0.10451	0.1583	0.23553	0.3804	0.076779	0.10085	0.056934	0.31218	0.16533	0.10442	0.096931	0.095183	0.10913	0.089987	0.080486	0.10332	0.098311	0.086674	0.075997	0.092634	0.096278	0.082415	0.073734
Meth__cg16007680__GLI4	0.04172	0.030028	0.035668	0.036222	0.037304	0.032507	0.043228	0.033265	0.038376	0.043976	0.030349	0.03989	0.03978	0.029851	0.045189	0.037865	0.075495	0.024949	0.039154	0.030625	0.036909	0.029605	0.053864	0.043023	0.05496	0.048956	0.085655	0.029703	0.03051	0.025778	0.040453	0.030736	0.033172	0.042272	0.041066	0.034924
Meth__cg15134628__MAPK12	0.092935	0.26078	0.074111	0.075926	0.18331	0.047721	0.067444	0.16453	0.048253	0.063685	0.065937	0.16213	0.79897	0.069098	0.93067	0.092073	0.13954	0.039485	0.65937	0.15473	0.51104	0.057199	0.11521	0.071042	0.10322	0.20457	0.28467	0.0623	0.042557	0.046279	0.08023	0.064602	0.045148	0.13573	0.06581	0.05025
Meth__cg14188232__ITGA11	0.40514	0.03729	0.71292	0.84258	0.81016	0.12646	0.45779	0.29785	0.045695	0.48606	0.40408	0.069934	0.56617	0.047396	0.71126	0.082098	0.095144	0.035655	0.58747	0.38044	0.064389	0.20865	0.28112	0.72505	0.06895	0.19738	0.063988	0.040835	0.037308	0.035006	0.10662	0.045935	0.20506	0.41201	0.35137	0.19166
Meth__cg05927017__BCL2	0.038913	0.14424	0.84461	0.038001	0.027964	0.70592	0.035381	0.2235	0.052501	0.029322	0.058171	0.16514	0.17608	0.060481	0.49038	0.35395	0.14828	0.19028	0.032799	0.035414	0.89464	0.032288	0.48174	0.037637	0.056026	0.086837	0.13467	0.039283	0.032025	0.14138	0.068674	0.030441	0.039959	0.086834	0.045231	0.034933
Meth__cg15341340__DNASE2	0.061149	0.050868	0.062346	0.055907	0.049988	0.051573	0.059225	0.039056	0.044968	0.068867	0.043328	0.037086	0.071367	0.06705	0.052018	0.046198	0.12478	0.043974	0.050026	0.057944	0.051438	0.052925	0.1238	0.058681	0.095319	0.086843	0.075146	0.050884	0.045003	0.053364	0.61071	0.045841	0.048857	0.11692	0.068255	0.054526
Meth__cg10071275__MYT1	0.12511	0.092764	0.36478	0.10019	0.10137	0.85357	0.13432	0.83154	0.84456	0.11294	0.84276	0.94948	0.19941	0.57546	0.47015	0.66379	0.18482	0.45813	0.21422	0.10606	0.75672	0.58901	0.70847	0.10562	0.15698	0.19864	0.13973	0.25298	0.42164	0.35501	0.16273	0.093689	0.10277	0.16352	0.14533	0.088365
Meth__cg14998713__ETS1	0.93116	0.051863	0.05668	0.94918	0.55616	0.03125	0.91191	0.029159	0.052679	0.2197	0.033766	0.038436	0.082326	0.048935	0.033025	0.10445	0.074267	0.082084	0.90819	0.88524	0.040559	0.40221	0.066194	0.57588	0.50622	0.94097	0.11647	0.078125	0.026224	0.032035	0.86981	0.035664	0.95275	0.70454	0.73846	0.66406
Meth__cg04101379__DZIP1	0.77623	0.052824	0.95091	0.76086	0.39284	0.037964	0.8545	0.056646	0.31928	0.92134	0.063343	0.24746	0.92436	0.42273	0.61977	0.03582	0.53097	0.074231	0.91433	0.92849	0.031014	0.93433	0.83833	0.90482	0.13518	0.8957	0.11241	0.048196	0.26308	0.073253	0.33511	0.41092	0.8949	0.86862	0.1493	0.92521
Meth__cg15211677__WBP5	0.45542	0.19011	0.18929	0.78651	0.22845	0.074427	0.83179	0.32824	0.077169	0.070183	0.50791	0.33225	0.79147	0.077633	0.18857	0.22611	0.13559	0.17421	0.86704	0.85698	0.09927	0.85508	0.2229	0.15594	0.1641	0.79668	0.27009	0.14588	0.17932	0.12219	0.77056	0.13707	0.23263	0.28316	0.91907	0.15518
Meth__cg26764244__GNG12	0.037866	0.040108	0.067327	0.59947	0.46989	0.032806	0.088375	0.042641	0.035789	0.08716	0.048465	0.096899	0.090844	0.032729	0.037783	0.037869	0.081509	0.029208	0.079158	0.48546	0.05431	0.076032	0.1076	0.19268	0.085366	0.076466	0.051719	0.035439	0.043165	0.052185	0.87819	0.034762	0.036163	0.26385	0.072664	0.057651
Meth__cg02992632__FGF12	0.053696	0.039929	0.88949	0.047491	0.037733	0.2858	0.046329	0.13297	0.62441	0.040211	0.30802	0.089996	0.27615	0.46875	0.045789	0.7518	0.18002	0.18992	0.039647	0.045741	0.080511	0.036344	0.38926	0.047756	0.091996	0.59197	0.063586	0.078201	0.049365	0.1015	0.066135	0.54854	0.04821	0.05356	0.59911	0.04959
Meth__cg23150219__C19orf26	0.045665	0.047177	0.043225	0.0463	0.037232	0.031148	0.045169	0.032942	0.042356	0.036326	0.069988	0.023804	0.08236	0.031234	0.029832	0.027525	0.066156	0.022183	0.052596	0.038202	0.040444	0.023139	0.079524	0.034485	0.14666	0.096072	0.065321	0.025235	0.44111	0.02676	0.03307	0.025132	0.020576	0.097324	0.051719	0.036506
Meth__cg10770529__ZNF274	0.38204	0.016856	0.031483	0.13648	0.022882	0.019331	0.024351	0.019845	0.017972	0.026513	0.054063	0.013897	0.036405	0.020852	0.032254	0.015861	0.030279	0.01615	0.16667	0.020191	0.045724	0.023506	0.026176	0.15435	0.03086	0.033598	0.040006	0.024504	0.025529	0.018697	0.020368	0.027212	0.033969	0.031726	0.028358	0.02596
Meth__cg02588309__OSRF	0.49874	0.040982	0.83697	0.19496	0.063071	0.34164	0.097627	0.081055	0.13588	0.071327	0.066118	0.12504	0.12206	0.10902	0.062055	0.06958	0.06777	0.052811	0.15012	0.51209	0.033153	0.070965	0.54084	0.088222	0.078463	0.18227	0.095683	0.033666	0.75949	0.065278	0.099203	0.060478	0.061227	0.17156	0.073234	0.081895
Meth__cg17296078__UBTD1	0.042608	0.90896	0.077569	0.94971	0.81039	0.028461	0.73245	0.62164	0.048162	0.57498	0.041958	0.064178	0.11947	0.051733	0.10784	0.031397	0.051926	0.028348	0.89476	0.94691	0.034493	0.87553	0.61842	0.88291	0.1149	0.1481	0.89471	0.48093	0.031497	0.049809	0.14496	0.061032	0.85363	0.10777	0.10731	0.29837
Meth__cg18399321__MGAT3	0.089438	0.043621	0.9456	0.043005	0.042128	0.4526	0.25456	0.032629	0.037523	0.04949	0.029739	0.032571	0.4759	0.038616	0.19337	0.039833	0.091743	0.026829	0.81849	0.05062	0.032765	0.15061	0.79133	0.053375	0.077025	0.8807	0.062453	0.038265	0.040274	0.037575	0.040679	0.03331	0.15028	0.2357	0.053097	0.048293
Meth__cg20919556__CNKSR3	0.041463	0.090372	0.057402	0.062762	0.07841	0.036221	0.11185	0.028917	0.044266	0.057977	0.047606	0.060568	0.18218	0.046533	0.056286	0.042559	0.1244	0.041867	0.074187	0.067029	0.044209	0.054817	0.071062	0.056866	0.13314	0.098561	0.10645	0.041511	0.046712	0.056903	0.079846	0.055563	0.065384	0.44751	0.066654	0.063067
Meth__cg16387606__HIST2H4	0.076337	0.096356	0.11423	0.11385	0.079338	0.097703	0.11849	0.088944	0.047163	0.10651	0.10066	0.046053	0.12703	0.058113	0.072939	0.048305	0.097153	0.098075	0.10619	0.11928	0.05221	0.104	0.5018	0.15391	0.086259	0.12559	0.11931	0.18012	0.042064	0.10005	0.062774	0.13684	0.40008	0.23079	0.10524	0.11608
Meth__cg04410862__E2F7	0.055864	0.050266	0.056361	0.062804	0.05521	0.044201	0.063596	0.044807	0.044704	0.046474	0.050879	0.021384	0.49022	0.055496	0.040649	0.04325	0.085103	0.036346	0.055428	0.047121	0.059519	0.045693	0.06293	0.068479	0.065124	0.088562	0.062182	0.046626	0.043497	0.037666	0.048269	0.05394	0.038272	0.1154	0.054778	0.048906
Meth__cg08872550__CA2	0.32794	0.058366	0.12393	0.20261	0.10177	0.16497	0.14689	0.22042	0.077294	0.047818	0.045223	0.15849	0.31413	0.081562	0.081969	0.067918	0.15011	0.034685	0.20221	0.44683	0.17496	0.10843	0.17967	0.13066	0.097716	0.39148	0.11276	0.2994	0.076754	0.06371	0.34655	0.041168	0.11921	0.04603	0.05958	0.069973
Meth__cg25470175__FAM73A	0.054735	0.033932	0.053299	0.058555	0.045226	0.03867	0.055829	0.034171	0.044473	0.045886	0.053755	0.091779	0.45856	0.045994	0.038922	0.047231	0.047651	0.03698	0.067721	0.052126	0.035526	0.049194	0.061928	0.062829	0.080756	0.084099	0.094937	0.038994	0.052013	0.051549	0.16068	0.042872	0.041344	0.078811	0.058651	0.059663
Meth__cg20715764__ZNF264	0.032799	0.034507	0.053469	0.26768	0.095448	0.029063	0.041498	0.42917	0.047067	0.17426	0.036417	0.040014	0.58111	0.060276	0.056748	0.024742	0.12549	0.031858	0.40975	0.065027	0.039973	0.040839	0.46633	0.043527	0.13864	0.33415	0.066951	0.035737	0.031843	0.034122	0.068	0.03125	0.025049	0.13044	0.38676	0.047175
Meth__cg15104484__PEX26	0.027603	0.021134	0.026866	0.018217	0.017317	0.019	0.020096	0.013212	0.021637	0.031705	0.017236	0.014592	0.018417	0.020151	0.019992	0.012153	0.023421	0.025491	0.15447	0.018276	0.02993	0.01412	0.048596	0.023034	0.022023	0.024625	0.062198	0.033888	0.016802	0.028682	0.026891	0.025711	0.016739	0.039426	0.034209	0.015519
Meth__cg06540636__PLAUR	0.049199	0.048546	0.053289	0.14558	0.12499	0.044737	0.096094	0.017259	0.043798	0.065098	0.080068	0.031617	0.048905	0.04836	0.046009	0.046367	0.073187	0.037766	0.21223	0.91771	0.10117	0.055991	0.1077	0.40144	0.079545	0.86893	0.17974	0.04905	0.039455	0.060081	0.8971	0.049019	0.1857	0.15189	0.067605	0.1558
Meth__cg03693601__SHCBP1	0.024451	0.011813	0.015312	0.014644	0.020828	0.013356	0.021213	0.016295	0.013352	0.01976	0.019898	0.014263	0.033929	0.015568	0.012816	0.014535	0.021418	0.01591	0.018194	0.024513	0.023001	0.013304	0.027121	0.019158	0.028769	0.10436	0.036153	0.011679	0.017401	0.013628	0.013258	0.012227	0.0094229	0.12653	0.017399	0.01888
Meth__cg27105123__EPS8L1	0.079082	0.075669	0.072073	0.12635	0.31401	0.21162	0.16603	0.088651	0.085681	0.086475	0.23354	0.07665	0.11025	0.10215	0.082024	0.078121	0.068357	0.065123	0.34384	0.78064	0.12306	0.078936	0.13519	0.35503	0.089682	0.21085	0.12836	0.10593	0.063355	0.054517	0.24018	0.051404	0.057191	0.10549	0.082349	0.11896
Meth__cg05507459__C9orf121	0.063515	0.16106	0.060909	0.53806	0.27329	0.059661	0.21843	0.18581	0.076847	0.095596	0.26747	0.5929	0.54753	0.091734	0.49079	0.044746	0.1086	0.057786	0.078774	0.62057	0.113	0.24937	0.31406	0.23993	0.13385	0.45689	0.30351	0.059426	0.34423	0.68375	0.4577	0.25773	0.43923	0.15782	0.084813	0.12205
Meth__cg24269657__F7	0.056111	0.051511	0.39548	0.058098	0.042606	0.76352	0.059921	0.87133	0.6965	0.060556	0.90854	0.66978	0.25574	0.6288	0.79262	0.90838	0.25658	0.50243	0.061339	0.069809	0.87754	0.049397	0.13595	0.056497	0.10795	0.098957	0.074924	0.16098	0.61849	0.20395	0.056495	0.05117	0.060671	0.077208	0.061808	0.052704
Meth__cg15543551__FGF12	0.042556	0.032827	0.93846	0.03568	0.024211	0.80817	0.047353	0.59041	0.84859	0.039156	0.23597	0.12136	0.47012	0.65286	0.056471	0.84445	0.14796	0.10961	0.037556	0.032461	0.53503	0.034926	0.88503	0.042761	0.09441	0.73666	0.044367	0.053389	0.051071	0.309	0.048827	0.77399	0.20572	0.038284	0.75434	0.036846
Meth__cg02519806__SYNPO2	0.53982	0.16282	0.96108	0.66499	0.037736	0.60991	0.71002	0.93984	0.063374	0.63142	0.32638	0.47331	0.92784	0.082442	0.95156	0.044656	0.73382	0.051553	0.060851	0.9594	0.072287	0.048992	0.091821	0.92238	0.088078	0.9348	0.14005	0.94436	0.28226	0.056475	0.94779	0.94626	0.93944	0.38679	0.060026	0.5148
Meth__cg17698643__C16orf63	0.024054	0.018956	0.027743	0.03435	0.024044	0.031893	0.03188	0.024569	0.027769	0.031328	0.026114	0.023416	0.064892	0.029087	0.029024	0.022417	0.040082	0.024317	0.031476	0.027743	0.029969	0.024259	0.064552	0.02546	0.028484	0.074162	0.028867	0.021407	0.026093	0.023981	0.028904	0.020947	0.024588	0.066062	0.028433	0.024502
Meth__cg26661257__HIF1A	0.047931	0.045262	0.049031	0.052509	0.035039	0.032455	0.05495	0.028776	0.049414	0.059701	0.048748	0.034656	0.053114	0.044617	0.040868	0.027593	0.096201	0.027484	0.052682	0.27795	0.045311	0.032095	0.075675	0.043063	0.066956	0.14681	0.055031	0.045837	0.02605	0.040633	0.042783	0.028289	0.034834	0.044451	0.034558	0.050555
Meth__cg13079099__LENG9	0.06386	0.063436	0.067901	0.55981	0.067534	0.039791	0.087789	0.13031	0.038198	0.090822	0.051568	0.066179	0.10136	0.045064	0.25189	0.47491	0.064798	0.033387	0.11074	0.065334	0.36591	0.036515	0.083508	0.13122	0.069746	0.074596	0.10832	0.087696	0.036214	0.040015	0.50637	0.036086	0.029008	0.11455	0.072104	0.042091
Meth__cg20326853__CPSF1	0.028894	0.018538	0.035021	0.024627	0.020163	0.020035	0.031651	0.030394	0.023927	0.043682	0.022919	0.038725	0.044812	0.020358	0.0247	0.02765	0.051786	0.015984	0.029409	0.064245	0.027552	0.02204	0.21496	0.019755	0.034375	0.037831	0.034868	0.021069	0.023832	0.02879	0.018418	0.023373	0.018156	0.031047	0.022995	0.021696
Meth__cg02575859__RPS4X	0.085627	0.055661	0.1098	0.10231	0.073193	0.083569	0.086547	0.12354	0.059095	0.06085	0.072207	0.13801	0.11739	0.07036	0.078291	0.060564	0.12886	0.10052	0.089023	0.090427	0.052575	0.057615	0.21293	0.11414	0.17674	0.17066	0.22122	0.10092	0.065523	0.084317	0.14585	0.067373	0.071876	0.35233	0.070488	0.072122
Meth__cg07356753__GBE1	0.044251	0.02839	0.043668	0.052791	0.047969	0.030563	0.073181	0.058902	0.038691	0.040688	0.039414	0.03333	0.073003	0.032271	0.067841	0.030719	0.065911	0.02848	0.03209	0.036304	0.050849	0.028739	0.070322	0.037961	0.11892	0.086327	0.061752	0.032594	0.033632	0.032992	0.028057	0.042672	0.064602	0.074737	0.040497	0.03789
Meth__cg05769161__B4GALNT3	0.084152	0.063291	0.91161	0.086316	0.048758	0.94607	0.10674	0.38667	0.052327	0.049691	0.071288	0.10787	0.13257	0.06	0.051946	0.11121	0.11055	0.2229	0.097242	0.093193	0.11074	0.068613	0.92315	0.061646	0.20119	0.12965	0.094615	0.035299	0.0571	0.10526	0.049098	0.047312	0.20694	0.057005	0.0855	0.069481
Meth__cg08296824__OSBPL3	0.059198	0.072006	0.07041	0.38759	0.057762	0.054956	0.58115	0.053581	0.055152	0.059854	0.049535	0.03295	0.068639	0.062568	0.053468	0.057462	0.096723	0.052325	0.39058	0.19782	0.060407	0.058613	0.10572	0.068429	0.10274	0.10265	0.083671	0.051688	0.05802	0.06219	0.056839	0.061716	0.056051	0.081385	0.067113	0.060543
Meth__cg10000775__PDLIM3	0.10085	0.07331	0.53332	0.067343	0.049562	0.074074	0.20677	0.067272	0.059976	0.086449	0.068777	0.093427	0.13169	0.064978	0.082386	0.064437	0.12872	0.063937	0.083037	0.27536	0.072275	0.10832	0.28458	0.063634	0.12175	0.40714	0.1021	0.055893	0.054282	0.041337	0.13616	0.096838	0.077404	0.17207	0.078433	0.097419
Meth__cg05120641__CHAC1	0.032895	0.020787	0.02156	0.03863	0.024981	0.022708	0.025641	0.02049	0.023923	0.028775	0.028313	0.01516	0.044031	0.02789	0.027988	0.020262	0.039524	0.026093	0.024992	0.021897	0.029785	0.024404	0.039178	0.031712	0.037037	0.031484	0.037276	0.025965	0.029197	0.022604	0.02121	0.027866	0.022695	0.045118	0.036946	0.037574
Meth__cg20909686__OVOL1	0.088069	0.069777	0.13726	0.086874	0.10301	0.97643	0.12061	0.095068	0.1036	0.083642	0.49847	0.77619	0.14138	0.10482	0.95575	0.79925	0.13779	0.77941	0.11669	0.095091	0.97623	0.18378	0.95658	0.13472	0.15399	0.27786	0.090363	0.78106	0.14531	0.9805	0.05763	0.13551	0.11476	0.054725	0.17166	0.6407
Meth__cg18031008__MRPS21	0.047482	0.041605	0.096257	0.286	0.47055	0.042983	0.064412	0.034388	0.039019	0.65488	0.72322	0.095453	0.51594	0.042549	0.065476	0.052477	0.11245	0.059172	0.055675	0.68735	0.056546	0.089692	0.74431	0.66221	0.14225	0.4715	0.096655	0.052476	0.078288	0.089748	0.069187	0.55933	0.056674	0.22824	0.037259	0.60963
Meth__cg15841415__SLC1A3	0.14981	0.11276	0.043568	0.4102	0.57651	0.63708	0.8345	0.30292	0.14738	0.13178	0.23667	0.1379	0.15544	0.16432	0.67013	0.12353	0.06218	0.081726	0.53652	0.8768	0.063668	0.39429	0.36314	0.24735	0.2137	0.29773	0.22471	0.2019	0.28368	0.10458	0.81266	0.11847	0.82935	0.16118	0.21542	0.62069
Meth__cg21828898__UBE1DC1	0.031871	0.039811	0.031973	0.079944	0.38507	0.035674	0.044679	0.026882	0.0434	0.043478	0.040155	0.031337	0.068409	0.046949	0.053831	0.02504	0.055121	0.030992	0.48185	0.67103	0.062242	0.29129	0.10409	0.11575	0.057753	0.085883	0.076266	0.024103	0.031735	0.03894	0.98009	0.03734	0.028833	0.13055	0.037417	0.58262
Meth__cg22521310__SERTAD2	0.03815	0.35215	0.044081	0.054968	0.06626	0.046017	0.056414	0.26651	0.047316	0.041716	0.051703	0.034541	0.096767	0.039549	0.10702	0.037617	0.055027	0.032353	0.067709	0.92192	0.035329	0.11566	0.053394	0.047459	0.06023	0.52141	0.18903	0.049085	0.030265	0.041599	0.38196	0.052569	0.038743	0.074493	0.047152	0.14327
Meth__cg00695416__CBR1	0.97515	0.032224	0.03106	0.97326	0.69761	0.019668	0.59368	0.052036	0.24722	0.96918	0.035407	0.034823	0.95241	0.37414	0.02853	0.027134	0.064554	0.028076	0.032715	0.96054	0.6536	0.79007	0.058917	0.95474	0.064996	0.95596	0.038972	0.024338	0.040027	0.016676	0.041698	0.77073	0.10394	0.14209	0.024681	0.95745
Meth__cg21972382__RSNL2	0.90791	0.75561	0.91416	0.90408	0.24616	0.81254	0.87794	0.69975	0.063881	0.086367	0.084751	0.070381	0.85136	0.26766	0.89855	0.076515	0.11077	0.076765	0.90354	0.8189	0.074563	0.091533	0.11085	0.90627	0.17681	0.85548	0.30588	0.07694	0.078252	0.081085	0.90006	0.06439	0.16471	0.87712	0.63828	0.59535
Meth__cg08923450__HEY2	0.17844	0.04963	0.057107	0.056345	0.065716	0.21934	0.13343	0.048853	0.05561	0.071616	0.053304	0.12953	0.13601	0.057876	0.1308	0.16828	0.092505	0.059382	0.12763	0.12642	0.068422	0.12301	0.16314	0.052249	0.08939	0.51613	0.070364	0.058329	0.049241	0.062033	0.068795	0.049017	0.069823	0.12666	0.047159	0.063324
Meth__cg04783231__ZFP28	0.1371	0.098025	0.093452	0.68274	0.067819	0.10291	0.41505	0.87738	0.46058	0.094823	0.22215	0.61818	0.24285	0.37689	0.1581	0.072455	0.15741	0.14946	0.1702	0.092223	0.34919	0.1859	0.19722	0.44709	0.15783	0.22821	0.23468	0.096099	0.14652	0.3801	0.089684	0.080731	0.47989	0.2236	0.26145	0.46472
Meth__cg16929104__GDF15	0.073132	0.089252	0.94296	0.24301	0.21201	0.71202	0.25029	0.91744	0.67508	0.085135	0.34471	0.60129	0.12359	0.63676	0.57834	0.94069	0.66578	0.6374	0.070468	0.13244	0.81036	0.065642	0.13605	0.23204	0.079916	0.13956	0.15338	0.092354	0.13364	0.060709	0.061211	0.076772	0.060519	0.11661	0.085255	0.14252
Meth__cg14386691__C14orf93	0.064684	0.042553	0.052657	0.82024	0.10319	0.11553	0.076731	0.074436	0.036293	0.055184	0.040595	0.22453	0.18444	0.046861	0.26096	0.057361	0.17772	0.19234	0.054882	0.10799	0.055456	0.048869	0.087509	0.4454	0.068606	0.099964	0.12535	0.051136	0.62992	0.071291	0.596	0.12845	0.070903	0.092355	0.046638	0.62167
Meth__cg10730174__PRRX1	0.37391	0.028298	0.93296	0.063449	0.028408	0.038126	0.63656	0.5123	0.036869	0.046005	0.67951	0.30022	0.55115	0.038355	0.70043	0.040245	0.18053	0.028685	0.69857	0.4669	0.052389	0.030379	0.70722	0.05489	0.11388	0.84723	0.075704	0.052761	0.045698	0.031378	0.073038	0.058465	0.61911	0.13361	0.078383	0.056955
Meth__cg05627103__KIAA1984	0.047472	0.1654	0.6284	0.044339	0.038547	0.96261	0.057034	0.1107	0.087317	0.042011	0.24665	0.6406	0.44824	0.12031	0.24799	0.11654	0.076936	0.47367	0.065835	0.040181	0.60136	0.042921	0.67416	0.049384	0.066557	0.20082	0.13686	0.083784	0.04565	0.89997	0.041602	0.034596	0.051008	0.13584	0.049454	0.048894
Meth__cg09103232__SLC2A4	0.036767	0.037674	0.039148	0.044732	0.031089	0.032379	0.033718	0.026588	0.030548	0.033028	0.032765	0.029001	0.083767	0.037465	0.033184	0.40682	0.08353	0.025092	0.038924	0.034688	0.032525	0.028173	0.057958	0.082017	0.053928	0.054939	0.061117	0.032231	0.077927	0.030462	0.033071	0.033058	0.027056	0.076999	0.032583	0.037265
Meth__cg26363196__ST6GALNAC3	0.5464	0.1073	0.81785	0.57213	0.69168	0.098884	0.81136	0.2203	0.096126	0.089716	0.082186	0.19372	0.62337	0.094742	0.50492	0.075792	0.45659	0.091922	0.80588	0.5412	0.10792	0.056956	0.61396	0.80448	0.28573	0.79127	0.11082	0.20089	0.093981	0.061878	0.53811	0.57637	0.62514	0.23406	0.55357	0.81526
Meth__cg14849559__TMBIM1	0.05909	0.044246	0.062227	0.26284	0.04018	0.053732	0.053468	0.042847	0.059535	0.060701	0.052852	0.1062	0.15661	0.10734	0.071846	0.046361	0.099491	0.049704	0.66737	0.056014	0.049594	0.069226	0.075543	0.055078	0.049123	0.59462	0.06136	0.053959	0.066148	0.059324	0.059064	0.056574	0.033589	0.10085	0.07381	0.066956
Meth__cg10226744__ATXN10	0.029589	0.023944	0.61731	0.031737	0.030779	0.022145	0.026631	0.01776	0.022687	0.03435	0.022329	0.14805	0.044091	0.020591	0.022493	0.019333	0.076244	0.018385	0.030809	0.02706	0.022575	0.019595	0.077851	0.028089	0.029029	0.037014	0.062228	0.052992	0.016285	0.017456	0.033605	0.016399	0.018332	0.037281	0.031117	0.032616
Meth__cg00466436__DEFB126	0.13893	0.078573	0.14276	0.43727	0.52993	0.064742	0.32211	0.43592	0.54073	0.21127	0.099086	0.079862	0.32552	0.35987	0.22798	0.17334	0.12753	0.12086	0.15625	0.5664	0.073691	0.21831	0.11265	0.12672	0.10246	0.22422	0.085663	0.067368	0.57453	0.11397	0.74348	0.067222	0.1012	0.4029	0.21432	0.22261
Meth__cg08690721__C11orf17	0.041421	0.067035	0.055471	0.051527	0.038653	0.31872	0.059279	0.10866	0.30576	0.059939	0.087117	0.17641	0.11853	0.32667	0.16283	0.057668	0.13543	0.42267	0.069895	0.041891	0.17493	0.073122	0.20699	0.056613	0.09023	0.18139	0.13251	0.0447	0.061906	0.10583	0.13525	0.044733	0.093094	0.068369	0.053836	0.1396
Meth__cg17718302__HIST1H3J	0.037683	0.030638	0.80114	0.96437	0.71745	0.15351	0.56176	0.9659	0.08557	0.94635	0.5356	0.029211	0.50223	0.10196	0.030692	0.025689	0.35911	0.68555	0.036968	0.95356	0.033129	0.60413	0.49521	0.36821	0.10951	0.092789	0.057543	0.82455	0.9675	0.058708	0.71364	0.45309	0.38567	0.48105	0.035367	0.040732
Meth__cg03996822__RASSF6	0.074394	0.076952	0.77888	0.08213	0.15339	0.74866	0.19289	0.44389	0.87234	0.13761	0.65536	0.25514	0.32775	0.6898	0.29011	0.3778	0.21558	0.52073	0.69215	0.094251	0.44845	0.084238	0.2693	0.081221	0.11663	0.50733	0.12406	0.89184	0.42141	0.80343	0.040997	0.067803	0.27146	0.14826	0.70256	0.26647
Meth__cg24616736__HDAC6	0.10917	0.027639	0.059698	0.039839	0.033174	0.035033	0.06875	0.067769	0.045137	0.58327	0.029977	0.32571	0.16259	0.043123	0.16957	0.05678	0.16548	0.04711	0.055735	0.43125	0.050567	0.091111	0.1392	0.28819	0.10182	0.3209	0.059976	0.29828	0.036475	0.044855	0.087264	0.070801	0.067355	0.07795	0.066912	0.058677
