Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
Meth__cg12315302__HIST1H4D	0.11961	0.8636	0.089825	0.86715	0.88415	0.30182	0.84254	0.82262	0.44584	0.098472	0.8251	0.94066	0.079524	0.065189	0.21655	0.096731	0.38634	0.1348	0.12772	0.086672	0.76684	0.1398	0.18153	0.81217	0.040789	0.073075	0.37973	0.58445	0.17404	0.83985	0.80124
RS_G6090__GNG11__GNG11	0.71502	0	0	0	7.1496	0	0	0	0	1.1777	0	0.46383	4.103	4.6713	3.4475	7.7723	0.67123	0	0	1.3968	8.221	0.46116	0	0	6.0924	3.2617	6.3484	0	9.7098	0.65578	0
Meth__cg05790038__TRPV3	0.04229	0.04342	0.69794	0.75484	0.88919	0.048001	0.39288	0.54063	0.92721	0.038285	0.83	0.10114	0.6689	0.92306	0.11912	0.66583	0.1623	0.48809	0.9144	0.049958	0.88273	0.33063	0.83425	0.096214	0.46792	0.70298	0.52504	0.033315	0.14625	0.83354	0.81264
Meth__cg06979034__ARHGEF5	0.021493	0.01789	0.033659	0.025289	0.50937	0.035116	0.019612	0.030558	0.018244	0.021561	0.048558	0.021771	0.14298	0.048964	0.059896	0.024187	0.022577	0.036807	0.02915	0.024293	0.65029	0.027691	0.046853	0.019495	0.1494	0.031689	0.032327	0.028754	0.06999	0.034695	0.032827
RS_G7983__GLIPR1__GLIPR1	0.55287	0.2859	0.94121	0.19873	8.8142	0.67508	3.8198	0.62063	3.6456	4.5642	4.8421	0.25714	6.5035	8.1578	4.0803	7.825	0.6577	0.57361	0.73209	1.9436	6.5993	0.1263	0	1.235	1.7892	3.8954	0.71376	0.72126	1.595	0.35881	0.094808
RS_G13477__EGFL9__EGFL9	0.35305	1.0213	0.17399	0.30014	7.0141	1.1287	6.5699	3.5774	4.4184	5.819	1.846	0	4.6749	3.1119	2.0049	4.3364	3.4908	1.4514	1.356	2.8469	4.4761	2.3108	2.1277	0	7.3809	3.9582	1.752	6.445	4.0929	1.9344	0
Meth__cg15415545__SULT1A3	0.020369	0.014745	0.35894	0.35756	0.82904	0.030074	0.016929	0.32225	0.029564	0.44373	0.028019	0.67666	0.017808	0.18224	0.20138	0.92205	0.01505	0.018125	0.014399	0.027132	0.86958	0.19884	0.20525	0.019147	0.055262	0.023503	0.1177	0.011199	0.048458	0.017998	0.021266
RS_G16566__CSF1__CSF1	4.9267	3.3068	0.63581	2.0826	5.2612	3.3153	1.4233	3.7992	8.8161	6.4616	5.0175	0.91289	5.9173	8.2679	5.7738	6.5134	2.7338	1.7785	2.7317	4.4905	7.9524	1.6766	0.68883	2.3696	8.6661	7.9034	3.0812	1.8363	3.2028	2.5385	0.98173
RS_G16432__C1orf64__C1orf64	7.5817	5.6156	7.5603	5.6306	0	3.097	0.1454	1.8555	0.21876	0.25555	0.15475	8.3654	0	0.16111	0.15095	0.4392	0.63111	0.17079	1.6817	2.3787	0	6.8421	1.2505	8.026	0	0.46451	4.2383	0.096899	2.7013	6.8627	5.9547
Meth__cg05920090__HSPA1A	0.018208	0.015678	0.048192	0.018742	0.013577	0.022451	0.014991	0.021161	0.021858	0.036877	0.024017	0.01619	0.35652	0.019954	0.033891	0.018398	0.018452	0.025566	0.02114	0.023295	0.72826	0.022547	0.039151	0.03524	0.028059	0.02338	0.022942	0.017226	0.037056	0.01722	0.023623
Meth__cg14717170__SLITRK3	0.082781	0.074488	0.12111	0.077326	0.47421	0.8813	0.94165	0.51302	0.15957	0.66533	0.71315	0.93985	0.074479	0.063098	0.451	0.30931	0.5602	0.62938	0.23924	0.064806	0.85161	0.90024	0.89984	0.84135	0.062309	0.059538	0.45929	0.89805	0.84092	0.77817	0.90473
Meth__cg03973663__LYN	0.078525	0.061648	0.084351	0.032846	0.86859	0.056897	0.3023	0.034635	0.92582	0.67003	0.88329	0.086025	0.87148	0.9304	0.16543	0.81605	0.087465	0.079744	0.65056	0.047105	0.15364	0.10029	0.12821	0.074676	0.9126	0.42793	0.13734	0.29198	0.18533	0.08799	0.12318
Meth__cg01139966__GOLPH3L	0.049006	0.045782	0.081815	0.033808	0.04945	0.053528	0.025857	0.048907	0.079215	0.09336	0.082601	0.033249	0.057823	0.054949	0.19809	0.57165	0.031517	0.044926	0.05513	0.038112	0.14081	0.082718	0.22085	0.062899	0.039365	0.073532	0.035454	0.069502	0.16559	0.05326	0.050784
Meth__cg02067021__DNAJC5B	0.028909	0.026682	0.034316	0.10982	0.41566	0.02546	0.91101	0.21216	0.52697	0.82479	0.072321	0.023407	0.31178	0.37539	0.045791	0.88515	0.12727	0.093623	0.65658	0.020805	0.9329	0.028769	0.029474	0.036055	0.39376	0.13701	0.037123	0.035141	0.038767	0.029191	0.025946
RS_G16556__SLIT3__SLIT3	2.2355	0	2.471	0.90403	8.9874	0.21763	0.33496	0.68628	0.18968	3.7599	0.33265	0.10944	0	3.0493	0.96971	6.6132	0.20772	0.15986	0.57603	1.6904	0	1.9982	5.5376	0	7.0337	1.139	1.3114	0.83487	0.24237	2.7669	0.36437
RS_G8410__EMP3__EMP3	2.911	2.2536	0	5.4885	10.665	3.4648	8.5826	3.5154	2.9505	7.2148	2.5904	2.7206	3.8705	10.036	5.246	12.2115	4.767	4.5667	2.7647	3.9866	11.253	3.255	3.7386	1.1597	11.5916	9.0071	4.185	4.0601	3.8818	3.7137	1.0148
RS_G7892__FGF2__FGF2	0.3704	0	0	0.15516	7.5818	0	5.2899	0.26018	7.8975	5.2507	0.14505	0	6.8459	6.6202	2.6134	4.9625	0.11633	0.15511	0.26957	2.1954	0	0.019091	0.20773	0	4.444	2.0561	0.77491	0	0	0.72312	0.11461
Meth__cg15271616__RUSC2	0.13098	0.49391	0.9521	0.29554	0.04772	0.72587	0.024892	0.087952	0.064239	0.17224	0.91622	0.97798	0.054902	0.063948	0.075962	0.041457	0.94693	0.91038	0.046825	0.53619	0.067387	0.96119	0.9484	0.10792	0.054537	0.065008	0.47193	0.25968	0.14849	0.60355	0.94667
RS_G11429__CXCL3__CXCL3	0.33948	0	0	0	3.4106	0	2.5204	0	4.4838	1.7437	1.4393	0	4.6319	3.5497	3.3576	4.5588	0.22001	0	0	0.6239	2.2938	0	0	0	6.9196	8.1321	1.9658	0	0	0	0
RS_G2073__TDRD1__TDRD1	6.424	5.8676	0	0	0	0.10419	0.085849	6.1381	0.21942	0.080184	6.8676	0	1.2116	0	5.9104	0.11527	3.3172	4.4935	0	0.041047	0	0	0	6.8683	0	0	4.7758	6.067	1.306	1.0273	0
RS_G14377__NRIP3__NRIP3	0.68301	2.6914	2.4942	4.8866	3.843	0.17753	4.5493	6.9244	3.4385	2.6701	2.4016	0	0.6097	5.4067	2.5642	6.5177	0	0	8.4655	1.8015	0	1.9129	0	1.5919	2.9304	1.0302	3.3696	0	5.4952	2.2752	2.24
Meth__cg09615786__DCBLD2	0.075973	0.064975	0.059901	0.040365	0.031973	0.51516	0.039538	0.082836	0.047261	0.02882	0.075451	0.042119	0.043587	0.057313	0.078818	0.030923	0.062473	0.043204	0.038753	0.031693	0.088293	0.058853	0.085282	0.13947	0.025291	0.02696	0.038332	0.032379	0.087899	0.078363	0.039623
RS_G14859__SAMD9L__SAMD9L	3.4575	0.067225	0	2.1607	0.21202	0.077493	0.12401	2.5986	4.7979	2.6339	3.1608	1.4916	1.4255	2.658	6.9834	3.9452	0	0	0.1525	0.1189	3.4066	0	0	0	0	0.41083	4.653	3.3204	1.6339	0.10744	0.10906
Meth__cg00540544__CSRP1	0.052805	0.58463	0.034001	0.24706	0.61403	0.065253	0.051289	0.044918	0.55124	0.040902	0.12555	0.18352	0.045583	0.036929	0.073306	0.025514	0.67469	0.56619	0.03481	0.035234	0.059426	0.057306	0.13616	0.11627	0.034514	0.036143	0.032311	0.13467	0.11392	0.055111	0.24582
RS_G8859__UCN2__UCN2	1.2845	0.29972	1.361	0	0	0.61433	0	1.9504	1.1088	1.5959	2.007	0	1.9642	2.2167	0	7.4621	0.92346	0.33255	0.7386	2.0482	4.0658	2.3384	2.7354	0	3.5893	4.6056	0	2.913	2.3249	0	0
RS_G692__DKK3__DKK3	0.44322	0	0	0.54068	8.236	0.18041	2.3601	0.99415	0	1.443	0.084903	0.33102	3.855	7.9864	1.2245	6.1166	0.81839	0	5.6363	1.0711	3.1985	0	0.7714	0	6.645	0.60379	0	0	0	0	0
RS_G22042__HLA-F__HLA-F	4.748	2.4472	0.95172	6.5911	0	4.0757	5.6306	3.8771	9.1074	7.902	5.9406	2.5906	6.6764	6.4276	9.9102	1.1237	5.6214	3.8954	6.6517	6.6684	3.2625	3.8368	1.838	0.99069	6.9802	8.3968	8.494	5.328	7.0422	6.3212	6.1653
Meth__cg09437522__GNAS	0.025973	0.0093064	0.021717	0.019727	0.93471	0.026768	0.024996	0.016952	0.022925	0.021692	0.02981	0.013877	0.090773	0.4106	0.034796	0.10833	0.01134	0.013943	0.41582	0.015687	0.93211	0.02187	0.041815	0.034373	0.048922	0.03812	0.013722	0.011324	0.049074	0.026895	0.038832
Meth__cg18242682__FOXK2	0.018151	0.030612	0.023887	0.017835	0.014175	0.021542	0.032356	0.015667	0.02066	0.056108	0.027705	0.42751	0.015668	0.021884	0.031831	0.012798	0.022274	0.02054	0.013716	0.013821	0.031365	0.019282	0.032013	0.062065	0.017519	0.018697	0.01491	0.014346	0.051671	0.021819	0.019143
Meth__cg00565075__EIF3S6IP	0.16894	0.045324	0.16582	0.24645	0.38969	0.10767	0.059248	0.075235	0.047376	0.30563	0.081729	0.043672	0.15835	0.19964	0.10753	0.08944	0.043929	0.048825	0.26731	0.38062	0.31292	0.49642	0.40806	0.07376	0.048957	0.34894	0.0425	0.1817	0.0745	0.050909	0.046548
Meth__cg02537838__C20orf151	0.054806	0.058138	0.053443	0.051723	0.84168	0.063223	0.043171	0.071374	0.05415	0.058861	0.079328	0.044371	0.074077	0.87468	0.088135	0.3752	0.0485	0.058087	0.058253	0.056401	0.74088	0.065833	0.11716	0.067954	0.84203	0.067186	0.056453	0.071691	0.044814	0.053769	0.055417
Meth__cg17532978__NEUROD4	0.6077	0.021025	0.15173	0.040591	0.12493	0.4613	0.89023	0.031167	0.058198	0.51653	0.30626	0.17555	0.082873	0.25677	0.057848	0.020348	0.53718	0.39217	0.30382	0.028867	0.079689	0.20821	0.57536	0.036481	0.034115	0.067234	0.033783	0.28775	0.039081	0.13133	0.14834
Meth__cg03684977__GRB7	0.025921	0.019566	0.042199	0.045407	0.9494	0.031885	0.091285	0.053698	0.022015	0.31861	0.18094	0.036198	0.1049	0.9466	0.045443	0.91461	0.031285	0.067035	0.03012	0.053879	0.8784	0.034811	0.038093	0.038829	0.95271	0.032736	0.089341	0.025857	0.037357	0.028932	0.0395
Meth__cg27126442__FLJ20184	0.081941	0.066341	0.084869	0.053488	0.80101	0.073547	0.095299	0.062922	0.57705	0.081641	0.12647	0.054059	0.089744	0.85559	0.12773	0.39584	0.067985	0.086515	0.23888	0.053443	0.74841	0.058101	0.10521	0.084814	0.76319	0.10908	0.066278	0.086997	0.23375	0.072746	0.077057
Meth__cg01191395__SAT2	0.024687	0.017078	0.028118	0.030104	0.019488	0.032719	0.034298	0.019609	0.021439	0.014418	0.025318	0.022174	0.018948	0.019451	0.051143	0.015343	0.79187	0.2735	0.026543	0.020169	0.029498	0.045598	0.047547	0.053158	0.02453	0.018427	0.044846	0.02351	0.034861	0.028423	0.01887
Meth__cg25438415__ZNF426	0.070015	0.090679	0.075816	0.063588	0.19702	0.53059	0.84598	0.12223	0.047403	0.29237	0.42845	0.079461	0.30156	0.064637	0.086061	0.05507	0.57426	0.81733	0.082783	0.062488	0.20527	0.091419	0.17372	0.16938	0.046412	0.062479	0.068206	0.14518	0.18662	0.07005	0.25475
RS_G748__FOXC1__FOXC1	1.3467	0	0.44926	2.662	6.5029	0	5.6404	1.692	6.4469	3.7813	5.4285	0.63345	5.0029	5.1006	7.1906	5.3363	5.2142	3.7327	3.9298	6.1284	4.0817	1.8569	0.68469	0	5.4878	4.8565	4.7414	4.0297	4.116	2.8678	2.8369
Meth__cg03085637__PEX11B	0.036258	0.021589	0.048428	0.019269	0.022906	0.039175	0.012255	0.03017	0.049906	0.051131	0.018333	0.016205	0.033547	0.24376	0.057847	0.018779	0.016347	0.029409	0.02993	0.018163	0.041679	0.031695	0.052448	0.026142	0.02692	0.032392	0.028366	0.021414	0.11293	0.032163	0.023867
Meth__cg09413557__S100A6	0.030585	0.53436	0.033124	0.14395	0.59541	0.039195	0.034683	0.57648	0.16096	0.017639	0.63744	0.53135	0.10997	0.026498	0.058238	0.034959	0.66241	0.52445	0.22084	0.023695	0.053248	0.033652	0.47544	0.1352	0.029632	0.026279	0.02607	0.028008	0.031213	0.27423	0.15056
Meth__cg23614979__NAV2	0.066831	0.06306	0.29357	0.11625	0.040339	0.59223	0.048904	0.87385	0.14444	0.042601	0.30526	0.4261	0.041782	0.060536	0.09563	0.040008	0.81271	0.41345	0.056419	0.11366	0.067404	0.14085	0.2202	0.11451	0.040182	0.034518	0.041711	0.028196	0.096068	0.050558	0.053477
Meth__cg20927059__TFCP2	0.018044	0.59939	0.049506	0.58216	0.019048	0.83873	0.014717	0.85554	0.018258	0.011189	0.96376	0.16939	0.021513	0.01561	0.064212	0.013298	0.97064	0.96869	0.36057	0.029886	0.033934	0.23118	0.14323	0.13696	0.016475	0.0158	0.025608	0.022554	0.27292	0.42399	0.94261
Meth__cg27079104__HEXA	0.039272	0.30192	0.040641	0.039101	0.035587	0.062238	0.44534	0.041926	0.046857	0.051611	0.12856	0.051565	0.040054	0.032135	0.068614	0.035534	0.042778	0.040663	0.048103	0.03885	0.067541	0.042818	0.076193	0.075803	0.065338	0.031667	0.029858	0.032741	0.43033	0.28094	0.084112
RS_G9411__PAK1__PAK1	9.7379	3.6126	5.4375	6.8348	6.7525	4.9493	5.9938	5.6631	7.8099	6.5653	6.9548	1.7217	6.8913	6.8685	7.7419	6.4967	3.6134	5.5626	11.6469	4.7882	7.3965	5.7512	5.6661	5.3053	3.3435	6.0138	6.3652	9.5501	7.7022	5.4982	5.2907
Meth__cg21212956__ZDHHC4	0.04201	0.51302	0.026487	0.79513	0.039258	0.88558	0.95561	0.90931	0.034498	0.04681	0.85145	0.61237	0.050699	0.053868	0.24922	0.02725	0.064346	0.041868	0.40292	0.040388	0.067413	0.059699	0.099608	0.38147	0.030796	0.049972	0.036814	0.42491	0.21648	0.40902	0.68387
RS_G14028__SUSD5__SUSD5	4.1374	0.2278	1.652	1.4189	7.4136	0.79899	3.8409	0.95948	0.80769	2.9382	3.1619	1.2317	4.0329	6.9944	0.6891	4.6281	0.52125	0.29324	2.9912	3.0817	7.5128	1.1616	0.81957	1.4101	6.1608	1.8309	4.5563	0.27212	3.4141	0.075385	0.35588
Meth__cg23736819__LOC115648	0.095127	0.38207	0.17536	0.13854	0.066759	0.93023	0.94201	0.080875	0.1414	0.1614	0.17739	0.11674	0.09912	0.14015	0.1822	0.074194	0.44372	0.11088	0.096552	0.10443	0.23149	0.14996	0.16985	0.33228	0.084142	0.091939	0.12536	0.23408	0.17247	0.14021	0.15335
Meth__cg10662787__LGTN	0.020649	0.01751	0.33387	0.020456	0.76597	0.029886	0.018191	0.025099	0.021579	0.028774	0.069191	0.014984	0.032796	0.017621	0.02794	0.020131	0.015775	0.023455	0.029264	0.027152	0.05993	0.025171	0.034682	0.025721	0.021215	0.028285	0.025691	0.029298	0.095183	0.024299	0.020591
RS_G7673__TMPRSS4__TMPRSS4	2.699	7.5287	3.7492	3.3157	0	0	4.5026	1.9174	1.9884	5.6948	7.7551	0.89178	4.0871	0	6.8365	0.168	5.3764	5.8953	4.31	6.1115	0.26802	3.6486	0.47906	7.1336	0	0	5.449	0.96487	0	5.4337	1.2718
Meth__cg05998426__RIN1	0.028316	0.03184	0.024559	0.032434	0.021812	0.4179	0.035272	0.025189	0.034799	0.044323	0.069664	0.022562	0.021316	0.028974	0.039246	0.017191	0.60898	0.15927	0.054839	0.021772	0.035982	0.17228	0.13863	0.061549	0.030935	0.019509	0.023565	0.031561	0.055987	0.022194	0.024127
RS_G11943__C10orf10__C10orf10	6.4294	2.4145	3.8936	2.0915	3.4013	0.56101	6.3853	1.5633	7.4403	5.9323	4.8405	1.5111	5.9809	4.172	7.2064	3.6636	0.63589	2.0915	3.3694	6.6362	2.4972	2.1318	2.6079	0	6.2562	1.5369	5.9749	1.1558	2.2516	1.3846	2.7746
Meth__cg01555431__AKAP12	0.85979	0.13082	0.62169	0.062559	0.78183	0.8872	0.29257	0.092812	0.23604	0.066862	0.62416	0.20205	0.062353	0.074953	0.25497	0.13808	0.88649	0.88202	0.78703	0.84198	0.85168	0.85804	0.85312	0.14228	0.071943	0.081843	0.095057	0.87831	0.44924	0.082408	0.092129
RS_G2004__TGM1__TGM1	5.3721	9.4474	2.3286	3.8808	1.7513	2.7163	4.4828	4.04	2.0162	6.9913	2.9415	4.3939	4.9255	3.0329	2.556	1.8108	6.114	3.719	1.9212	6.4252	3.1641	2.8856	2.5922	7.4251	2.4886	6.8145	5.2442	3.6189	4.1613	4.3151	2.8052
Meth__cg06093279__MTUS1	0.076858	0.072002	0.083461	0.086546	0.8315	0.095469	0.050978	0.065989	0.21784	0.087109	0.18667	0.078315	0.074413	0.08979	0.15096	0.36031	0.057829	0.072534	0.082322	0.065454	0.11264	0.074245	0.52556	0.13436	0.41262	0.065039	0.080548	0.081385	0.098358	0.064182	0.064781
Meth__cg18988110__ATAD4	0.036188	0.04799	0.039991	0.038218	0.53088	0.039717	0.044991	0.041471	0.20909	0.04884	0.087064	0.063848	0.098005	0.83068	0.088533	0.11386	0.031105	0.032276	0.0375	0.032614	0.31164	0.035007	0.15037	0.09736	0.68919	0.071502	0.038051	0.04614	0.057468	0.036968	0.031184
Meth__cg16080552__TACSTD2	0.081532	0.063337	0.16135	0.057061	0.89737	0.17764	0.061114	0.12645	0.86069	0.057481	0.13114	0.062979	0.86655	0.34635	0.17581	0.68714	0.17831	0.075019	0.85669	0.14745	0.11497	0.08963	0.16571	0.10363	0.376	0.068312	0.059489	0.87634	0.087156	0.10215	0.4387
Meth__cg26799802__PHLDA2	0.023484	0.024867	0.044648	0.02966	0.33547	0.027098	0.023858	0.02731	0.37504	0.062222	0.046703	0.020926	0.036187	0.024913	0.046877	0.024703	0.027586	0.035426	0.16234	0.031016	0.034512	0.032773	0.046738	0.043085	0.050592	0.028535	0.026925	0.017055	0.048301	0.026866	0.025178
Meth__cg13587740__HEXA	0.013836	0.26843	0.015904	0.012957	0.015598	0.019104	0.022485	0.019932	0.018083	0.013376	0.057419	0.010796	0.01308	0.01544	0.016517	0.013225	0.017413	0.0166	0.014359	0.0088564	0.019875	0.020934	0.028149	0.018864	0.014302	0.011751	0.0083746	0.0085974	0.32021	0.18914	0.026157
Meth__cg11065385__B4GALNT3	0.021913	0.042264	0.086399	0.033125	0.95205	0.028177	0.045366	0.023575	0.030575	0.061224	0.18053	0.049509	0.074944	0.078844	0.043921	0.35204	0.041028	0.054018	0.15204	0.046872	0.84555	0.047002	0.083704	0.066879	0.03715	0.17562	0.049014	0.27106	0.050144	0.039722	0.28333
Meth__cg27020690__TERC	0.042899	0.42765	0.048226	0.11924	0.077345	0.069589	0.38345	0.040525	0.62376	0.045505	0.50585	0.35738	0.048553	0.34495	0.05583	0.032286	0.70962	0.64783	0.64016	0.033006	0.10755	0.46383	0.11629	0.065905	0.02445	0.032666	0.10461	0.56367	0.065616	0.55536	0.69654
Meth__cg09339527__ZFP2	0.025909	0.03218	0.11792	0.021518	0.027677	0.023965	0.96516	0.054648	0.024833	0.028124	0.53932	0.97037	0.026953	0.024124	0.11747	0.018907	0.44183	0.47899	0.068413	0.028273	0.61587	0.022906	0.050587	0.053255	0.02151	0.02113	0.018805	0.02203	0.027027	0.030352	0.029622
Meth__cg21922574__NETO1	0.91668	0.10011	0.95147	0.80835	0.54552	0.92528	0.95302	0.03549	0.94657	0.51964	0.50737	0.92545	0.29197	0.24113	0.32972	0.29302	0.90515	0.93707	0.2581	0.043026	0.87276	0.88006	0.85454	0.10811	0.016888	0.52798	0.4327	0.066987	0.041319	0.73232	0.89467
Meth__cg10624583__TENC1	0.028203	0.052323	0.036212	0.032238	0.23964	0.68411	0.056945	0.02544	0.024473	0.019355	0.16342	0.022287	0.028631	0.020555	0.081311	0.017671	0.10009	0.025909	0.080229	0.027788	0.065793	0.037014	0.044413	0.066606	0.030503	0.025857	0.017336	0.03269	0.02129	0.033613	0.023712
Meth__cg13744194__OCLN	0.074304	0.062901	0.096695	0.052789	0.54991	0.086447	0.087338	0.067802	0.94811	0.086562	0.15962	0.059417	0.084397	0.086396	0.11472	0.26943	0.096373	0.073297	0.31577	0.082053	0.37848	0.085198	0.17278	0.072991	0.082127	0.083929	0.10599	0.24615	0.14774	0.085601	0.074273
Meth__cg09239756__CKAP4	0.051788	0.64307	0.36598	0.46991	0.039158	0.7391	0.096446	0.5817	0.066964	0.82841	0.32701	0.88083	0.19461	0.041916	0.15385	0.055364	0.57502	0.75641	0.10624	0.15807	0.072065	0.091	0.18458	0.20444	0.047488	0.041552	0.051973	0.047463	0.15739	0.15943	0.41929
Meth__cg21542094__PFKFB3	0.030404	0.018197	0.027964	0.030004	0.030191	0.024998	0.047811	0.029005	0.30001	0.15296	0.73321	0.020529	0.21727	0.02413	0.045586	0.10267	0.01859	0.025291	0.38732	0.029491	0.050924	0.023309	0.050646	0.034894	0.035946	0.21457	0.026255	0.58022	0.13708	0.14531	0.86606
Meth__cg19843429__OSBPL3	0.045508	0.034982	0.49253	0.040724	0.032161	0.5657	0.033012	0.051974	0.04058	0.019838	0.21767	0.24488	0.033226	0.034016	0.18982	0.029494	0.95866	0.95319	0.076406	0.033716	0.07351	0.044205	0.075967	0.068426	0.035642	0.026856	0.031691	0.026505	0.084487	0.036396	0.040813
Meth__cg02605634__WFDC10A	0.060182	0.047545	0.67906	0.15634	0.17539	0.14257	0.32319	0.23202	0.50355	0.26863	0.27054	0.041215	0.2108	0.38458	0.32938	0.17542	0.16363	0.089258	0.88283	0.089305	0.13041	0.14552	0.18431	0.10515	0.070575	0.90283	0.084002	0.3173	0.13596	0.21873	0.14834
Meth__cg04653308__PPP2R4	0.11889	0.10337	0.111	0.301	0.68219	0.11429	0.60047	0.22276	0.48858	0.68238	0.34509	0.091529	0.40823	0.52885	0.13246	0.57075	0.32675	0.28407	0.7622	0.40389	0.41105	0.17219	0.12463	0.12452	0.20374	0.13461	0.12733	0.19544	0.19895	0.11432	0.11508
Meth__cg13619915__SLITRK3	0.057752	0.037661	0.070986	0.03718	0.44091	0.90929	0.9683	0.2882	0.14127	0.39978	0.72452	0.97009	0.046042	0.060035	0.1212	0.327	0.44147	0.60315	0.23199	0.041122	0.88994	0.93927	0.85477	0.81409	0.038317	0.039856	0.29915	0.91575	0.81101	0.71739	0.93591
Meth__cg07433344__HSD17B8	0.023029	0.066189	0.11335	0.029775	0.67143	0.023057	0.024798	0.95615	0.96733	0.074872	0.084468	0.025844	0.053342	0.61996	0.88948	0.97555	0.43505	0.030119	0.029219	0.020296	0.10197	0.038041	0.082743	0.034914	0.081799	0.032949	0.96881	0.024665	0.053	0.12798	0.16527
Meth__cg16756998__ZDHHC8	0.2197	0.075756	0.057202	0.11686	0.04061	0.67428	0.065379	0.073993	0.058966	0.050695	0.38098	0.1041	0.044925	0.053042	0.10495	0.033223	0.12214	0.055401	0.045128	0.048877	0.065197	0.052574	0.10173	0.091108	0.04253	0.029949	0.032347	0.77031	0.9282	0.06065	0.61682
Meth__cg17136126__ZNF71	0.055041	0.04391	0.059901	0.041791	0.041046	0.060597	0.07057	0.054251	0.054053	0.068623	0.13517	0.44806	0.048601	0.04839	0.093802	0.044376	0.48004	0.68993	0.060796	0.046605	0.099077	0.061662	0.11994	0.084856	0.060522	0.04916	0.048468	0.059756	0.079606	0.051088	0.055449
Meth__cg10011232__FKBP8	0.060302	0.062962	0.2847	0.096478	0.10394	0.066089	0.067281	0.04891	0.18668	0.44289	0.14697	0.059522	0.32332	0.46137	0.44873	0.06358	0.060771	0.055044	0.21091	0.15536	0.12931	0.092035	0.10577	0.23134	0.059636	0.048043	0.078518	0.064425	0.20007	0.084791	0.069137
Meth__cg11021744__SLC6A1	0.75774	0.067222	0.42081	0.064779	0.59549	0.92218	0.64898	0.10163	0.078716	0.15673	0.88423	0.4003	0.071352	0.060705	0.16127	0.36633	0.92846	0.91598	0.27923	0.10297	0.74586	0.10863	0.80153	0.094862	0.16129	0.24661	0.086771	0.78724	0.12626	0.62155	0.57498
Meth__cg26949796__CFL2	0.055499	0.034546	0.029452	0.032014	0.03823	0.24339	0.045475	0.033644	0.046075	0.039101	0.10143	0.030776	0.032396	0.032376	0.067932	0.037521	0.091269	0.14001	0.052285	0.03384	0.050656	0.046737	0.88008	0.098662	0.034967	0.039202	0.037703	0.062083	0.11494	0.070673	0.032157
Meth__cg10331779__CTNND2	0.06659	0.099316	0.18014	0.15993	0.87058	0.10481	0.51129	0.37628	0.89389	0.74006	0.7559	0.062837	0.22118	0.21994	0.4923	0.11046	0.060726	0.06099	0.13607	0.16091	0.74478	0.12159	0.092438	0.070883	0.047044	0.14561	0.44711	0.40548	0.34419	0.24823	0.10544
Meth__cg12712746__SAMM50	0.05554	0.046173	0.056734	0.052316	0.041782	0.56233	0.054415	0.06401	0.059616	0.040172	0.10883	0.071887	0.054724	0.041278	0.18697	0.037574	0.05203	0.06165	0.04834	0.038716	0.052684	0.064396	0.090593	0.085855	0.048864	0.041107	0.052171	0.059651	0.073201	0.056562	0.048563
Meth__cg22236626__NENF	0.22257	0.30091	0.35799	0.24187	0.058542	0.21265	0.08292	0.067422	0.14517	0.25499	0.18132	0.23864	0.053082	0.083964	0.078217	0.053142	0.31833	0.24923	0.3572	0.18431	0.12854	0.43432	0.60199	0.31808	0.05671	0.04379	0.18605	0.092236	0.13397	0.13679	0.14564
Meth__cg05065690__DDX23	0.077312	0.062848	0.06586	0.069329	0.059439	0.076204	0.066859	0.06415	0.061374	0.03263	0.1024	0.49598	0.048507	0.052276	0.079458	0.056419	0.057916	0.062048	0.063506	0.054191	0.089525	0.06834	0.096394	0.096289	0.058377	0.047408	0.059095	0.060266	0.10733	0.061157	0.058124
Meth__cg09163317__GALGT	0.057947	0.040812	0.066547	0.045319	0.040398	0.050137	0.041103	0.056367	0.070635	0.087638	0.31548	0.046878	0.052479	0.036509	0.11765	0.053397	0.030596	0.050161	0.095433	0.087921	0.092063	0.046736	0.11511	0.056509	0.058628	0.05446	0.044878	0.10858	0.06362	0.047971	0.054456
Meth__cg03751813__ZNF585B	0.037543	0.039759	0.63511	0.035655	0.038374	0.15657	0.97975	0.038054	0.030495	0.020904	0.057507	0.034208	0.035797	0.029645	0.079573	0.0389	0.36784	0.25099	0.040401	0.037818	0.10395	0.038881	0.063687	0.080874	0.033892	0.030668	0.030639	0.19246	0.097315	0.1146	0.41095
Meth__cg12981137__MGMT	0.024641	0.037714	0.027454	0.025071	0.019556	0.029808	0.041721	0.023002	0.020019	0.016298	0.94843	0.023608	0.02456	0.022048	0.034492	0.27282	0.022352	0.044979	0.026673	0.01459	0.92519	0.96303	0.59988	0.043376	0.021301	0.02036	0.016925	0.023179	0.062451	0.023758	0.0229
