Cell lines	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM44PE	SUM52PE	UACC812	ZR751	ZR75B
Meth__cg20166532__EDG1	0.059168	0.1478	0.57552	0.056678	0.87288	0.04001	0.91116	0.056329	0.63674	0.3702	0.70214	0.37579	0.055415	0.65042	0.047442	0.15215	0.46839	0.66689	0.85237	0.73482	0.065538	0.89128	0.77479	0.81224	0.35453	0.053036	0.82819	0.57701	0.11004	0.077375	0.26194	0.44945	0.84956	0.47955	0.56245	0.61782	0.43341
Meth__cg11638200__PRKCQ	0.026217	0.61618	0.38287	0.8574	0.95295	0.1613	0.040155	0.07169	0.73692	0.055092	0.17508	0.89029	0.24602	0.049483	0.040014	0.34859	0.59855	0.97385	0.95191	0.18961	0.12546	0.082265	0.87647	0.066708	0.30926	0.053953	0.82251	0.061085	0.073962	0.040106	0.06873	0.048711	0.94576	0.69069	0.056112	0.045198	0.0448
Meth__cg15534084__ZNF649	0.16107	0.1768	0.11398	0.090142	0.7291	0.31361	0.60356	0.15627	0.14071	0.27986	0.30303	0.10494	0.11848	0.20793	0.11283	0.17528	0.21687	0.90452	0.80229	0.10891	0.54778	0.16865	0.70985	0.19171	0.24618	0.22139	0.24873	0.23137	0.21886	0.14647	0.15812	0.098605	0.25907	0.24579	0.11292	0.21064	0.24302
Meth__cg24262469__TIPARP	0.080182	0.17654	0.22471	0.35652	0.10936	0.57158	0.1131	0.1382	0.099487	0.12877	0.10193	0.03931	0.13066	0.11335	0.10668	0.10777	0.27078	0.12296	0.075863	0.20526	0.13476	0.059788	0.26542	0.083076	0.11029	0.60605	0.13598	0.12356	0.16137	0.062443	0.29223	0.25586	0.23987	0.17879	0.2126	0.22713	0.2947
Meth__cg09441152__PQLC1	0.16024	0.11591	0.04213	0.046882	0.063189	0.030164	0.41019	0.16606	0.25134	0.059142	0.31427	0.074494	0.12126	0.11387	0.12675	0.080542	0.053522	0.19749	0.47201	0.053412	0.047244	0.062399	0.56516	0.065917	0.077737	0.054463	0.11418	0.54398	0.064336	0.036657	0.25167	0.083817	0.14795	0.11963	0.056541	0.040995	0.045957
Meth__cg07160163__SYK	0.44521	0.040283	0.037514	0.88107	0.062463	0.79451	0.084334	0.03164	0.064848	0.59895	0.046453	0.040498	0.041803	0.028983	0.1386	0.060597	0.033209	0.025822	0.03286	0.2368	0.049264	0.03287	0.83051	0.028272	0.048763	0.50464	0.1385	0.039733	0.17771	0.033415	0.044803	0.068081	0.024552	0.039067	0.044321	0.07595	0.045057
Meth__cg14894216__CATSPER1	0.10667	0.76334	0.42162	0.095629	0.31169	0.16354	0.47553	0.12248	0.14807	0.28099	0.44097	0.092901	0.1176	0.55625	0.10633	0.23094	0.11407	0.5594	0.23439	0.36617	0.14918	0.80384	0.83939	0.11046	0.10566	0.079673	0.13832	0.20462	0.15314	0.11629	0.11648	0.16649	0.27988	0.22973	0.14059	0.09937	0.10644
Meth__cg14409941__ADAMTS2	0.032123	0.038249	0.031036	0.22597	0.81407	0.018975	0.33908	0.035625	0.053343	0.16776	0.33071	0.071525	0.046102	0.032795	0.029032	0.095328	0.03091	0.93831	0.94281	0.90534	0.040288	0.96161	0.88275	0.52219	0.13702	0.0328	0.91943	0.12799	0.051305	0.030017	0.060583	0.037153	0.74042	0.25959	0.10587	0.035239	0.039681
Meth__cg23456306__EFNA2	0.02774	0.030948	0.029992	0.027907	0.031861	0.021715	0.040391	0.022949	0.035293	0.031079	0.055137	0.030529	0.026658	0.028518	0.021642	0.086184	0.072963	0.024011	0.030724	0.028103	0.042446	0.032874	0.51538	0.032866	0.32364	0.025423	0.95307	0.033756	0.066965	0.021604	0.10671	0.034079	0.033773	0.029046	0.031257	0.027168	0.03382
Meth__cg13526007__LRFN5	0.053142	0.22045	0.054878	0.077474	0.42909	0.69519	0.74563	0.078052	0.066157	0.81977	0.75084	0.84123	0.071568	0.61867	0.1192	0.27837	0.069556	0.35605	0.49383	0.29434	0.062395	0.15479	0.69951	0.071872	0.14764	0.15244	0.37485	0.51541	0.12695	0.055329	0.068207	0.066624	0.86487	0.11578	0.06346	0.10288	0.10904
Meth__cg23696949__LAMC2	0.38947	0.28954	0.36787	0.96158	0.95648	0.51435	0.026137	0.78823	0.037495	0.96713	0.94721	0.032234	0.81557	0.021684	0.037037	0.026976	0.76602	0.042347	0.20842	0.9516	0.29109	0.046606	0.2476	0.029235	0.028318	0.92979	0.36608	0.045806	0.18948	0.60021	0.47259	0.88801	0.023638	0.96697	0.032773	0.52507	0.66589
Meth__cg15416233__PAX2	0.030239	0.026239	0.022163	0.020675	0.035199	0.016345	0.023703	0.018042	0.027306	0.038976	0.034277	0.025028	0.026206	0.035011	0.021935	0.070834	0.018673	0.034662	0.093843	0.025282	0.026026	0.049893	0.36343	0.028576	0.038601	0.022126	0.14005	0.021194	0.043181	0.026939	0.019708	0.017411	0.036878	0.026202	0.028149	0.022706	0.028228
Meth__cg01765461__TNFRSF11A	0.051308	0.059468	0.029116	0.049245	0.058169	0.017515	0.082374	0.040906	0.11634	0.093657	0.050958	0.031388	0.042672	0.045711	0.041319	0.086271	0.16674	0.031788	0.05982	0.056005	0.0538	0.054746	0.06859	0.043332	0.11777	0.040678	0.33813	0.036855	0.080348	0.032841	0.027829	0.026985	0.030523	0.041433	0.041015	0.037244	0.04021
Meth__cg00908551__FANCF	0.091072	0.1045	0.061214	0.52566	0.093215	0.050363	0.099178	0.08552	0.090905	0.13581	0.69352	0.10258	0.098628	0.067714	0.065872	0.10502	0.44151	0.11231	0.094707	0.095152	0.10562	0.076443	0.45626	0.09966	0.075219	0.10693	0.13902	0.078959	0.1148	0.069437	0.11993	0.061247	0.065179	0.057227	0.065499	0.068342	0.075328
Meth__cg20339230__ST8SIA2	0.028654	0.037346	0.034037	0.96698	0.79202	0.25926	0.82534	0.033827	0.21312	0.97084	0.79465	0.1951	0.29086	0.1181	0.071529	0.1615	0.15336	0.96721	0.97541	0.72879	0.039068	0.97439	0.96064	0.84263	0.74677	0.033461	0.94044	0.60247	0.083859	0.017664	0.94207	0.018038	0.98708	0.94849	0.060312	0.14175	0.48773
Meth__cg26199493__LIN9	0.35998	0.16922	0.13358	0.04427	0.086643	0.17518	0.04963	0.036318	0.1064	0.038645	0.20723	0.026558	0.032468	0.071772	0.022137	0.06938	0.03782	0.089777	0.055176	0.64844	0.044501	0.16348	0.066051	0.050694	0.084076	0.037187	0.1042	0.072274	0.17983	0.24695	0.088805	0.32303	0.15721	0.27379	0.34636	0.31634	0.53061
Meth__cg10137155__KBTBD8	0.03869	0.93851	0.043842	0.042169	0.92974	0.056908	0.041497	0.062375	0.065338	0.053819	0.076067	0.73029	0.052952	0.071768	0.055419	0.10886	0.034596	0.03663	0.073575	0.048805	0.081869	0.033861	0.52969	0.051726	0.091175	0.033233	0.126	0.053847	0.057439	0.040591	0.050732	0.061747	0.69951	0.053034	0.048707	0.05351	0.060027
Meth__cg26649005__ZNF32	0.030617	0.099447	0.023249	0.029812	0.043056	0.016052	0.030838	0.029736	0.053678	0.04241	0.099201	0.043679	0.041345	0.040445	0.046128	0.069957	0.030267	0.039971	0.039777	0.038429	0.047482	0.030787	0.12927	0.04418	0.093502	0.039053	0.092906	0.038161	0.049426	0.037033	0.058401	0.030581	0.034788	0.035513	0.041115	0.033779	0.040115
Meth__cg21290885__TMEM47	0.062763	0.18901	0.060406	0.062848	0.071924	0.093412	0.090258	0.43515	0.059998	0.092899	0.23375	0.53079	0.40465	0.070954	0.067028	0.089618	0.072499	0.084061	0.077889	0.10823	0.063609	0.31454	0.27394	0.095177	0.1219	0.0675	0.18289	0.059856	0.11158	0.093421	0.33159	0.05602	0.30599	0.14784	0.071065	0.063647	0.069699
Meth__cg07639720__BNC1	0.15118	0.18854	0.50791	0.33556	0.86212	0.098266	0.84776	0.44675	0.8318	0.60121	0.45326	0.084565	0.35651	0.14814	0.035921	0.075965	0.22299	0.49725	0.78595	0.42252	0.06153	0.57083	0.83083	0.60236	0.11994	0.058646	0.29475	0.18852	0.14946	0.19236	0.039314	0.050582	0.92084	0.17807	0.075212	0.24006	0.20858
Meth__cg11618577__KRTCAP3	0.56951	0.97246	0.84277	0.97121	0.015931	0.95152	0.027563	0.62178	0.32949	0.020156	0.95464	0.78333	0.692	0.018964	0.97336	0.056379	0.97335	0.31636	0.22678	0.029379	0.9675	0.19384	0.94986	0.34096	0.024756	0.9743	0.039089	0.80668	0.60624	0.87465	0.96868	0.97415	0.012715	0.97928	0.97338	0.45358	0.016067
Meth__cg17592734__ZNF175	0.012552	0.38772	0.0097757	0.011775	0.50161	0.017776	0.0091931	0.018559	0.012676	0.9467	0.1938	0.015647	0.13364	0.012167	0.011885	0.036751	0.011817	0.97132	0.89746	0.016186	0.016211	0.014436	0.024965	0.016648	0.027518	0.010489	0.018811	0.016181	0.51851	0.018328	0.015151	0.010303	0.016172	0.011184	0.014337	0.011766	0.016655
Meth__cg18718102__SURF6	0.029333	0.48481	0.32196	0.12772	0.22737	0.04569	0.022635	0.15508	0.60169	0.034259	0.10871	0.5914	0.1451	0.087228	0.48267	0.077883	0.32307	0.46938	0.18319	0.14745	0.1839	0.060235	0.1614	0.66064	0.10087	0.028903	0.066857	0.19127	0.058604	0.037514	0.2424	0.15631	0.082596	0.036013	0.069437	0.031687	0.033715
Meth__cg03192551__CGI-69	0.37818	0.94186	0.91837	0.067224	0.79715	0.62138	0.037424	0.64133	0.93083	0.048387	0.5771	0.93743	0.59144	0.6476	0.08292	0.27532	0.062931	0.82364	0.60592	0.92657	0.45696	0.12414	0.059511	0.7956	0.23197	0.040489	0.10326	0.83569	0.45726	0.033137	0.76488	0.032031	0.93902	0.030667	0.10366	0.033806	0.038808
Meth__cg09405612__GLI3	0.0161	0.025546	0.030979	0.026733	0.043004	0.12684	0.056904	0.034946	0.037476	0.051442	0.056563	0.016283	0.025315	0.078192	0.027012	0.0441	0.036503	0.035829	0.060066	0.038588	0.030945	0.026135	0.049297	0.048784	0.074487	0.031736	0.055344	0.049581	0.039741	0.026781	0.037397	0.024466	0.034107	0.025962	0.021201	0.030932	0.036272
Meth__cg12839593__SIX1	0.051188	0.054259	0.030997	0.035162	0.5651	0.051437	0.052913	0.048529	0.043618	0.055063	0.087456	0.075858	0.048262	0.056931	0.045972	0.11089	0.038487	0.65393	0.57227	0.60249	0.073869	0.032342	0.10051	0.040514	0.4949	0.046831	0.1306	0.045826	0.098924	0.042813	0.034231	0.033742	0.96388	0.044569	0.050371	0.041327	0.035161
Meth__cg26717786__FLJ44861	0.17057	0.12935	0.038215	0.035858	0.18186	0.76389	0.20069	0.035831	0.043108	0.37572	0.77518	0.045447	0.042974	0.44779	0.052985	0.12743	0.044455	0.10875	0.16476	0.040646	0.93725	0.049965	0.37934	0.087889	0.045414	0.086678	0.26006	0.07655	0.1015	0.03978	0.11065	0.038754	0.068621	0.052663	0.042889	0.06075	0.049158
Meth__cg24714666__TRAPPC2	0.04625	0.057326	0.031951	0.051725	0.049916	0.054588	0.055444	0.054136	0.052628	0.055484	0.058083	0.56179	0.057105	0.046681	0.048518	0.41578	0.041984	0.044797	0.056796	0.043033	0.056029	0.035686	0.1211	0.059054	0.2126	0.044754	0.068905	0.044348	0.48975	0.046455	0.038459	0.042109	0.55325	0.03589	0.051142	0.042551	0.055404
Meth__cg10685945__HMFN0839	0.50907	0.11739	0.36681	0.31151	0.066506	0.093137	0.033043	0.057971	0.094486	0.039084	0.082976	0.047265	0.06373	0.044537	0.082882	0.11391	0.056099	0.055852	0.055662	0.095545	0.24665	0.053387	0.092331	0.050637	0.078123	0.10002	0.56094	0.068376	0.15353	0.046453	0.055606	0.0822	0.086679	0.047049	0.063407	0.18571	0.050346
Meth__cg00557354__ARHGEF7	0.068212	0.1719	0.14791	0.78027	0.84247	0.51649	0.094429	0.2563	0.10893	0.8499	0.57493	0.096785	0.24878	0.06335	0.052672	0.11709	0.028276	0.95523	0.96515	0.087101	0.05731	0.25547	0.93294	0.93046	0.55884	0.028492	0.95106	0.29689	0.061517	0.045405	0.26328	0.067483	0.97065	0.85923	0.040697	0.040531	0.076937
Meth__cg10689889__MAF	0.044304	0.029423	0.039799	0.60228	0.031847	0.038999	0.017065	0.028865	0.02536	0.04113	0.04794	0.020911	0.03131	0.038083	0.20417	0.06753	0.026528	0.020209	0.025743	0.03243	0.027904	0.021392	0.75018	0.026459	0.079661	0.027798	0.053983	0.15367	0.091042	0.022786	0.021598	0.037439	0.050883	0.035293	0.038404	0.031595	0.039285
Meth__cg07748017__PEX5	0.042162	0.083729	0.02706	0.044053	0.053742	0.12944	0.11209	0.070064	0.43013	0.051444	0.074265	0.05208	0.044166	0.033935	0.034199	0.085598	0.037711	0.031839	0.18866	0.052864	0.18764	0.040416	0.15249	0.078544	0.074867	0.037778	0.068693	0.03834	0.067526	0.037685	0.042186	0.03485	0.042484	0.13913	0.041263	0.043466	0.041258
Meth__cg06186861__ZNF501	0.049734	0.79956	0.054842	0.91917	0.89038	0.26439	0.9266	0.10336	0.077431	0.87701	0.75688	0.37534	0.097584	0.068877	0.067059	0.10883	0.056629	0.73613	0.46592	0.27569	0.10211	0.066858	0.6073	0.44239	0.17997	0.040047	0.39256	0.07978	0.07561	0.049744	0.073196	0.24574	0.57356	0.094812	0.29549	0.089722	0.21957
Meth__cg24778383__TNFSF7	0.034587	0.10529	0.12018	0.033324	0.4776	0.037856	0.97661	0.12437	0.043073	0.70501	0.63657	0.10331	0.1645	0.53102	0.032018	0.078248	0.11206	0.95896	0.95806	0.24698	0.068591	0.56411	0.85419	0.84079	0.069421	0.069014	0.83127	0.52745	0.049117	0.58923	0.061033	0.044973	0.78159	0.29678	0.56351	0.058197	0.49613
Meth__cg23257840__ZNF264	0.027767	0.033824	0.023047	0.032769	0.037956	0.043594	0.057439	0.025413	0.031327	0.036666	0.71011	0.52463	0.030077	0.037886	0.036586	0.052029	0.028818	0.55682	0.52515	0.035488	0.039278	0.031221	0.077844	0.038622	0.055162	0.029978	0.079802	0.036583	0.087776	0.03557	0.035105	0.026488	0.039498	0.020056	0.037695	0.038697	0.036146
Meth__cg24838010__SLC26A11	0.043678	0.080653	0.027524	0.050659	0.061192	0.86421	0.84472	0.036511	0.32794	0.049852	0.31811	0.030673	0.043237	0.07811	0.097455	0.72459	0.17316	0.033988	0.05	0.033958	0.14231	0.046223	0.81635	0.041175	0.062295	0.036245	0.070986	0.11264	0.038888	0.036295	0.83486	0.059154	0.047322	0.034056	0.045784	0.033385	0.031746
Meth__cg03812067__SERINC3	0.021863	0.042129	0.021922	0.027933	0.024698	0.025515	0.71854	0.022697	0.026737	0.034085	0.041119	0.018079	0.024905	0.023793	0.020374	0.030071	0.017518	0.024659	0.02807	0.024627	0.030757	0.028846	0.042479	0.030945	0.022031	0.019307	0.0495	0.021684	0.022579	0.025236	0.024854	0.023559	0.012035	0.018179	0.023979	0.021955	0.02348
Meth__cg07215749__SOCS2	0.068343	0.044757	0.036325	0.03901	0.075611	0.027455	0.52875	0.03925	0.12014	0.20028	0.079746	0.02998	0.042153	0.046516	0.067219	0.12212	0.044752	0.15489	0.079343	0.051356	0.053373	0.5871	0.10097	0.046743	0.3324	0.044072	0.094729	0.14632	0.056763	0.041506	0.073044	0.052116	0.07023	0.32228	0.045788	0.046619	0.054746
Meth__cg16334840__SCLY	0.017957	0.34493	0.016813	0.019653	0.019679	0.019738	0.073446	0.021263	0.024559	0.020597	0.051597	0.035704	0.025784	0.014351	0.017212	0.03224	0.019944	0.02425	0.034741	0.023586	0.32459	0.052225	0.063488	0.030496	0.033674	0.019966	0.043595	0.025235	0.02477	0.021694	0.018509	0.022277	0.018713	0.014534	0.022355	0.022583	0.022414
Meth__cg04683240__HLX1	0.021614	0.04166	0.019313	0.038197	0.73655	0.11792	0.29582	0.028968	0.066514	0.027207	0.068583	0.029631	0.032511	0.043798	0.025771	0.06718	0.030909	0.41685	0.492	0.039769	0.029875	0.021544	0.80357	0.042211	0.052421	0.030051	0.047359	0.040581	0.039211	0.02512	0.029154	0.030483	0.98811	0.49069	0.056402	0.024625	0.02705
Meth__cg11037818__C1orf132	0.047574	0.16324	0.048415	0.099168	0.17609	0.33358	0.11035	0.14427	0.082835	0.14003	0.10777	0.18796	0.14557	0.065712	0.083669	0.095319	0.069522	0.13041	0.23742	0.091874	0.78673	0.073139	0.18751	0.16948	0.10078	0.16493	0.15356	0.11671	0.086957	0.068785	0.093161	0.086716	0.072092	0.090301	0.063736	0.061235	0.061678
Meth__cg14989191__ASPHD1	0.14462	0.87051	0.091988	0.062201	0.3984	0.12265	0.31664	0.12707	0.12573	0.072359	0.41481	0.048088	0.11545	0.10364	0.19408	0.10356	0.10342	0.06971	0.2004	0.092861	0.25413	0.11427	0.12136	0.38852	0.33032	0.073544	0.30667	0.091596	0.15794	0.069386	0.087998	0.075578	0.13744	0.058858	0.10207	0.093128	0.079214
Meth__cg26677448__PAX2	0.034816	0.059781	0.047982	0.050929	0.086744	0.058609	0.84997	0.3288	0.044162	0.068906	0.079432	0.29089	0.251	0.064816	0.044314	0.1416	0.043939	0.69652	0.699	0.047306	0.034303	0.071982	0.8835	0.052369	0.032316	0.030161	0.1243	0.043371	0.078807	0.037268	0.047349	0.033944	0.96464	0.23788	0.057497	0.087003	0.042624
Meth__cg00187380__HOXC5	0.059799	0.030275	0.89137	0.57297	0.47585	0.71741	0.043439	0.03797	0.051731	0.04396	0.72613	0.029504	0.42276	0.9002	0.033419	0.8742	0.046594	0.031791	0.053287	0.34487	0.2088	0.81231	0.44335	0.04274	0.070476	0.037356	0.090641	0.15568	0.088631	0.87407	0.27712	0.77024	0.26381	0.9047	0.8965	0.7538	0.90023
Meth__cg04626574__LOC402055	0.021214	0.028748	0.021626	0.022143	0.032045	0.044427	0.68798	0.028089	0.023337	0.030569	0.030986	0.034092	0.026276	0.022107	0.022222	0.073147	0.026093	0.023212	0.026309	0.022759	0.035375	0.026998	0.042551	0.02818	0.023321	0.020469	0.047544	0.029108	0.025551	0.031358	0.022023	0.020294	0.017328	0.021557	0.023145	0.021327	0.027586
Meth__cg21331821__ZSCAN1	0.027893	0.056944	0.041584	0.046315	0.22248	0.85968	0.83473	0.049336	0.050751	0.91472	0.69691	0.67798	0.05959	0.88785	0.034463	0.12479	0.033978	0.58172	0.070351	0.045114	0.062077	0.95587	0.83739	0.042555	0.050487	0.043173	0.875	0.039492	0.12563	0.037137	0.31109	0.051885	0.056552	0.89078	0.42474	0.032354	0.043284
Meth__cg10082991__RNF44	0.049489	0.066654	0.040798	0.04207	0.06405	0.059006	0.74393	0.055507	0.051053	0.065326	0.088359	0.037328	0.048687	0.056973	0.054809	0.14064	0.046471	0.062026	0.063542	0.045892	0.054638	0.040817	0.088228	0.060836	0.092074	0.048894	0.10041	0.047059	0.074307	0.047005	0.04274	0.041553	0.043064	0.038513	0.055083	0.05466	0.0496
Meth__cg25946374__IL22RA1	0.20023	0.87656	0.84988	0.51361	0.18179	0.13704	0.66206	0.15704	0.10315	0.11942	0.59003	0.1559	0.15451	0.66402	0.11638	0.076669	0.082558	0.11708	0.44636	0.59315	0.132	0.58707	0.1072	0.13992	0.13512	0.89488	0.27102	0.1003	0.46772	0.46259	0.11584	0.52884	0.07563	0.20243	0.89508	0.5131	0.77855
Meth__cg25456959__ASB12	0.08723	0.19534	0.11709	0.12259	0.38251	0.15112	0.5606	0.5598	0.10734	0.66447	0.12532	0.21758	0.50335	0.33044	0.3191	0.27728	0.17775	0.23532	0.21251	0.11591	0.087883	0.091853	0.24105	0.15867	0.15901	0.095777	0.1513	0.128	0.23349	0.10499	0.10394	0.087188	0.13999	0.15369	0.10063	0.17351	0.18332
Meth__cg09479015__KIRREL2	0.071672	0.9636	0.81224	0.031431	0.95752	0.3125	0.93964	0.039045	0.95909	0.0617	0.9347	0.22125	0.11349	0.25654	0.064565	0.18923	0.19374	0.95825	0.95868	0.050253	0.64257	0.28474	0.87813	0.91586	0.12804	0.058963	0.92419	0.17994	0.15898	0.053487	0.038565	0.22381	0.93467	0.73594	0.45598	0.59731	0.92828
Meth__cg13756879__IGF2	0.026439	0.044643	0.026202	0.62157	0.24536	0.25974	0.80555	0.033054	0.035355	0.76613	0.39144	0.038892	0.031729	0.036356	0.037971	0.13813	0.07572	0.83533	0.7575	0.15088	0.04175	0.79324	0.90291	0.046713	0.041808	0.036945	0.78247	0.41088	0.054709	0.038643	0.49396	0.030444	0.94987	0.21551	0.12218	0.031401	0.03039
Meth__cg12998491__FAM78A	0.44075	0.63086	0.98719	0.98085	0.97513	0.068211	0.35311	0.12518	0.45759	0.90345	0.97501	0.98461	0.098489	0.50134	0.027317	0.13122	0.97965	0.97928	0.98225	0.611	0.020669	0.98401	0.95712	0.02614	0.68789	0.070812	0.95915	0.2551	0.047645	0.026514	0.90417	0.013612	0.98134	0.87489	0.10811	0.054665	0.56508
Meth__cg13814950__DAPK1	0.081718	0.075342	0.28866	0.13524	0.82032	0.062345	0.046157	0.044666	0.070341	0.08925	0.11136	0.062116	0.060428	0.049418	0.0393	0.14594	0.47768	0.63092	0.69178	0.053524	0.062792	0.046968	0.81339	0.06233	0.49021	0.043752	0.12374	0.057133	0.068366	0.056622	0.078646	0.045294	0.71787	0.060172	0.4763	0.053179	0.050737
Meth__cg16315923__KIAA0195	0.040037	0.057765	0.042542	0.060448	0.05441	0.039047	0.058369	0.048203	0.058118	0.058684	0.083633	0.061894	0.052356	0.062591	0.042686	0.090686	0.041579	0.061178	0.060986	0.052678	0.1643	0.054294	0.37777	0.061235	0.078602	0.050017	0.082287	0.04964	0.073835	0.050019	0.048099	0.042537	0.033583	0.050285	0.058687	0.053957	0.062067
Meth__cg06677140__MSX1	0.070709	0.42789	0.64942	0.053606	0.83146	0.023695	0.87344	0.16341	0.094186	0.072578	0.85758	0.90007	0.5827	0.84751	0.076985	0.11198	0.30311	0.73661	0.72921	0.041356	0.14692	0.062075	0.89826	0.5848	0.11486	0.038779	0.86694	0.89691	0.085137	0.036591	0.03777	0.062238	0.079288	0.11774	0.047814	0.51565	0.32457
Meth__cg11538128__ZNF354C	0.039662	0.42772	0.023673	0.026538	0.92049	0.19993	0.29691	0.11088	0.042473	0.034506	0.76748	0.12697	0.10655	0.028823	0.025579	0.081885	0.037631	0.24824	0.35578	0.741	0.035269	0.027479	0.83853	0.85919	0.064036	0.10634	0.087925	0.032703	0.083617	0.032161	0.069188	0.047755	0.39993	0.26094	0.037876	0.033754	0.047652
Meth__cg24646710__FLJ23191	0.026227	0.10223	0.024589	0.032536	0.21923	0.17957	0.059717	0.038799	0.02856	0.043528	0.39525	0.022242	0.025593	0.045646	0.11811	0.065097	0.03022	0.3677	0.27719	0.068437	0.056781	0.12623	0.064898	0.66079	0.1108	0.037586	0.32252	0.073251	0.032687	0.033474	0.047209	0.023928	0.62102	0.069051	0.034246	0.036126	0.028125
Meth__cg04688368__KCNMA1	0.083148	0.081713	0.064329	0.065887	0.096815	0.054898	0.23114	0.3513	0.07517	0.71577	0.2704	0.25695	0.3395	0.092153	0.096959	0.19321	0.070239	0.13155	0.099244	0.09799	0.080308	0.15577	0.75946	0.097687	0.13795	0.075885	0.12017	0.56755	0.13525	0.078981	0.076041	0.071052	0.39898	0.10085	0.086505	0.082975	0.094045
Meth__cg15056412__APBA2BP	0.12145	0.26992	0.12182	0.02161	0.086879	0.35197	0.26364	0.072315	0.23118	0.02532	0.55477	0.17219	0.085778	0.2259	0.013313	0.11946	0.021026	0.31791	0.22512	0.11342	0.24542	0.25709	0.12112	0.19671	0.055241	0.10412	0.090095	0.11048	0.18077	0.015501	0.58453	0.259	0.37972	0.032724	0.020569	0.24169	0.1167
Meth__cg12251804__C10orf125	0.1157	0.94631	0.32377	0.040166	0.92978	0.03163	0.095258	0.053538	0.73198	0.055991	0.95959	0.36292	0.073784	0.040043	0.53192	0.099178	0.18101	0.53789	0.70543	0.041072	0.12069	0.39248	0.94554	0.93336	0.58733	0.042645	0.61241	0.27526	0.047053	0.061282	0.041114	0.028156	0.98238	0.03882	0.55671	0.6878	0.96891
Meth__cg19786920__FLJ14001	0.70646	0.30985	0.30841	0.86979	0.75015	0.82223	0.088742	0.4135	0.20254	0.20117	0.31142	0.070808	0.34743	0.10999	0.10463	0.15839	0.15064	0.090183	0.12138	0.7741	0.57598	0.35932	0.23716	0.094129	0.16934	0.83676	0.13601	0.10186	0.3425	0.8925	0.63103	0.24501	0.70492	0.89783	0.083211	0.69196	0.90538
Meth__cg00359973__RIBC1	0.017949	0.02142	0.016603	0.019072	0.026402	0.012658	0.018789	0.02486	0.027839	0.027218	0.027262	0.023147	0.024196	0.022022	0.021755	0.31293	0.019242	0.019339	0.021578	0.023173	0.028255	0.020296	0.056242	0.018613	0.042494	0.019155	0.57153	0.017972	0.028887	0.018217	0.028599	0.021157	0.036419	0.025809	0.025933	0.024116	0.020545
Meth__cg01816336__MINPP1	0.028772	0.042253	0.023717	0.026037	0.041945	0.030594	0.044299	0.032057	0.031381	0.037497	0.087667	0.02762	0.042038	0.51674	0.034885	0.060337	0.032151	0.034721	0.044703	0.037249	0.039661	0.030751	0.1353	0.035496	0.057363	0.030488	0.095422	0.033526	0.04327	0.036689	0.036898	0.030588	0.029454	0.028603	0.036514	0.034254	0.037331
Meth__cg10729531__TCFL5	0.071107	0.1275	0.064344	0.046083	0.089063	0.049787	0.10962	0.078057	0.16855	0.093476	0.088855	0.10057	0.1151	0.081128	0.1133	0.088266	0.04699	0.045814	0.11202	0.073276	0.070491	0.41356	0.11201	0.082955	0.12129	0.040529	0.11924	0.072415	0.13274	0.043909	0.12971	0.054183	0.041875	0.056127	0.054989	0.061185	0.088553
Meth__cg08687958__PDZD8	0.020409	0.066069	0.024557	0.048241	0.042946	0.030154	0.036602	0.027329	0.031961	0.17673	0.12021	0.03359	0.027926	0.20754	0.027309	0.046271	0.041102	0.095533	0.065859	0.038118	0.046673	0.035141	0.11493	0.030785	0.066373	0.2781	0.067623	0.19696	0.049078	0.025241	0.04818	0.023072	0.079336	0.044845	0.027249	0.035199	0.032631
Meth__cg26426223__NICN1	0.045094	0.08989	0.06458	0.038249	0.061153	0.080483	0.04015	0.06239	0.065482	0.074374	0.085265	0.043556	0.048862	0.056518	0.064483	0.071067	0.24092	0.071696	0.076538	0.055654	0.069555	0.035995	0.083692	0.064808	0.088218	0.037322	0.068033	0.059259	0.092806	0.037938	0.050028	0.044891	0.078804	0.065118	0.048067	0.055025	0.056723
Meth__cg09906309__C11orf46	0.049317	0.71353	0.073916	0.1626	0.80316	0.10473	0.23649	0.070702	0.061008	0.049383	0.20502	0.29889	0.068147	0.059033	0.049962	0.12073	0.050507	0.1697	0.137	0.050335	0.1211	0.046358	0.13707	0.71069	0.11246	0.060872	0.073663	0.2427	0.11423	0.028727	0.054515	0.068244	0.38073	0.070402	0.054782	0.13337	0.055203
Meth__cg26551843__RPS6KL1	0.041156	0.047187	0.042974	0.042429	0.045228	0.036175	0.24348	0.83103	0.050692	0.78221	0.74692	0.035152	0.65579	0.075109	0.039093	0.088331	0.070789	0.045614	0.049128	0.050551	0.66637	0.040293	0.062549	0.16214	0.068792	0.047717	0.085059	0.343	0.076859	0.042084	0.75386	0.04283	0.037721	0.045145	0.046523	0.040208	0.046512
