Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
Meth__cg23578193__LGR6	0.11042	0.037091	0.10668	0.083996	0.62655	0.30678	0.50555	0.092765	0.62422	0.56839	0.29728	0.033593	0.69831	0.046476	0.076956	0.063393	0.24559	0.44904	0.14063	0.37511	0.10597	0.35977	0.071104	0.049839	0.035864	0.040993	0.45413	0.072044	0.042608	0.077217
Meth__cg04878152__AGTR1	0.064804	0.057266	0.42543	0.19453	0.082538	0.71426	0.83194	0.20352	0.49504	0.56508	0.6597	0.93517	0.43253	0.23367	0.34082	0.072659	0.17439	0.83751	0.26779	0.80285	0.28033	0.7376	0.062836	0.32472	0.49373	0.20474	0.36451	0.25677	0.088112	0.45577
Meth__cg15916628__ZNF579	0.095861	0.053042	0.25998	0.14837	0.83925	0.11582	0.78023	0.06546	0.6025	0.47647	0.4974	0.050293	0.65217	0.53378	0.20199	0.27212	0.3678	0.39849	0.088502	0.41145	0.32094	0.51963	0.080961	0.058166	0.48489	0.068801	0.17208	0.12271	0.070472	0.074426
Meth__cg25736482__TMC4	0.077592	0.051087	0.73013	0.076099	0.91311	0.099056	0.71058	0.49772	0.417	0.81624	0.33098	0.088	0.32839	0.82001	0.073094	0.43358	0.12149	0.14838	0.20641	0.79882	0.41641	0.67339	0.074896	0.79501	0.24056	0.071561	0.33862	0.095652	0.073974	0.092807
Meth__cg25587233__PPP2R4	0.087756	0.053871	0.078611	0.49451	0.89057	0.093173	0.70143	0.46324	0.72419	0.88853	0.45113	0.032687	0.62916	0.7418	0.073884	0.87954	0.59838	0.92441	0.69998	0.75458	0.24133	0.049626	0.11718	0.40441	0.15105	0.14607	0.47071	0.24486	0.22651	0.12103
RS_G13477__EGFL9__EGFL9	0.35305	1.0213	0.17399	0.30014	7.0141	1.1287	6.5699	3.5774	4.4184	5.819	1.846	0	4.6749	3.1119	2.0049	4.3364	1.4514	1.356	2.8469	4.4761	2.3108	2.1277	0	7.3809	3.9582	1.752	6.445	4.0929	3.8002	1.9344
Meth__cg14904464__NELL2	0.032885	0.033841	0.13195	0.03626	0.27468	0.037685	0.27145	0.056778	0.25825	0.085358	0.17928	0.25752	0.05718	0.060021	0.13111	0.046145	0.047065	0.14748	0.042845	0.1699	0.057588	0.17739	0.065012	0.035277	0.037691	0.046088	0.064758	0.081778	0.065356	0.043472
Meth__cg00466249__MGC15523	0.092023	0.065303	0.071753	0.15167	0.76543	0.1075	0.35207	0.20109	0.10238	0.63695	0.43023	0.050742	0.36145	0.24243	0.083399	0.89086	0.068353	0.41842	0.20009	0.25636	0.06278	0.10094	0.12175	0.32064	0.047963	0.095648	0.53721	0.19014	0.32812	0.086398
Meth__cg04410862__E2F7	0.055864	0.050266	0.062804	0.05521	0.044201	0.063596	0.044807	0.046474	0.050879	0.021384	0.49022	0.037938	0.040649	0.04325	0.085103	0.036346	0.055428	0.047121	0.045693	0.06293	0.068479	0.088562	0.062182	0.046626	0.043497	0.05394	0.038272	0.1154	0.054778	0.048906
Meth__cg11065385__B4GALNT3	0.021913	0.042264	0.086399	0.033125	0.95205	0.028177	0.045366	0.023575	0.030575	0.061224	0.18053	0.049509	0.074944	0.078844	0.043921	0.35204	0.054018	0.15204	0.046872	0.84555	0.047002	0.083704	0.066879	0.03715	0.17562	0.049014	0.27106	0.050144	0.039707	0.039722
Meth__cg09818732__FLJ20489	0.02806	0.017138	0.037056	0.037984	0.58179	0.031083	0.13142	0.037696	0.063854	0.22171	0.25541	0.020774	0.051205	0.095746	0.068301	0.020227	0.032293	0.62861	0.045145	0.11189	0.038082	0.051163	0.041563	0.02249	0.27622	0.027778	0.030331	0.035091	0.025479	0.034151
Meth__cg04925864__FAM65A	0.018517	0.025853	0.22859	0.018856	0.58082	0.16837	0.79408	0.26551	0.36228	0.96547	0.93747	0.37196	0.98704	0.3132	0.4199	0.041338	0.27541	0.33604	0.033123	0.26477	0.077762	0.93092	0.08283	0.011331	0.087687	0.21376	0.010581	0.062417	0.058798	0.021011
RS_G16432__C1orf64__C1orf64	7.5817	5.6156	7.5603	5.6306	0	3.097	0.1454	1.8555	0.21876	0.25555	0.15475	8.3654	0	0.16111	0.15095	0.4392	0.17079	1.6817	2.3787	0	6.8421	1.2505	8.026	0	0.46451	4.2383	0.096899	2.7013	7.8181	6.8627
Meth__cg17465304__KIF12	0.076488	0.12585	0.35968	0.066774	0.90772	0.101	0.92456	0.06515	0.80634	0.82575	0.84128	0.12467	0.90833	0.9054	0.34254	0.91412	0.51638	0.30287	0.1588	0.87546	0.076816	0.86528	0.2133	0.65889	0.90596	0.077404	0.081987	0.17891	0.087144	0.57335
Meth__cg10864286__CXorf22	0.11091	0.018674	0.025247	0.043014	0.64925	0.032542	0.053372	0.02103	0.88608	0.31555	0.093085	0.33333	0.14149	0.054776	0.066908	0.053992	0.024108	0.041571	0.14765	0.1558	0.11989	0.13008	0.049507	0.046961	0.027218	0.054833	0.095773	0.060269	0.024492	0.036427
Meth__cg18411898__RPRM	0.27427	0.088606	0.55683	0.078838	0.87328	0.1282	0.15635	0.061511	0.46853	0.12099	0.41784	0.53437	0.19416	0.097957	0.15457	0.045423	0.093484	0.22485	0.70045	0.84688	0.32516	0.41887	0.092534	0.058549	0.14193	0.043052	0.50232	0.090339	0.059221	0.11531
Meth__cg25167838__SHH	0.054507	0.034112	0.23268	0.025962	0.30384	0.042457	0.58572	0.051595	0.65458	0.26852	0.26904	0.029636	0.078075	0.090481	0.065797	0.023732	0.31195	0.22212	0.62121	0.86876	0.042445	0.60204	0.055605	0.02557	0.043886	0.028009	0.14896	0.037773	0.032726	0.051388
RS_G11240__BNIPL__BNIPL	5.5896	1.461	1.5848	6.6248	0.88936	4.9437	2.4225	2.8799	1.5072	1.6343	0.85542	3.0365	1.8391	1.507	4.0517	1.4803	4.0577	4.3487	3.0474	0.60034	4.2019	4.4136	1.9664	1.7426	1.0803	4.9129	3.2095	8.8835	3.4636	4.0362
Meth__cg11529128__LHFPL5	0.050328	0.026396	0.23777	0.024574	0.3616	0.037053	0.78524	0.46546	0.40548	0.32549	0.3714	0.060438	0.093063	0.22104	0.73348	0.23315	0.031018	0.030473	0.064945	0.58342	0.27303	0.76486	0.048846	0.025918	0.058223	0.031752	0.076911	0.06684	0.04163	0.32696
Meth__cg00577464__SHH	0.053339	0.022568	0.12781	0.034043	0.89527	0.10792	0.85111	0.03201	0.88349	0.94013	0.92567	0.027272	0.047349	0.046295	0.030632	0.019873	0.96425	0.44281	0.4299	0.77704	0.043271	0.90835	0.042941	0.017275	0.26074	0.019143	0.76202	0.19339	0.028831	0.14611
Meth__cg16826718__HRK	0.028479	0.019901	0.085596	0.054113	0.070079	0.072836	0.10706	0.26608	0.105	0.018321	0.092269	0.041777	0.056887	0.060632	0.029174	0.033205	0.036351	0.19369	0.44379	0.86598	0.056048	0.54811	0.03443	0.036675	0.030998	0.034094	0.11467	0.027198	0.03558	0.053867
Meth__cg04796162__IGFBP3	0.049288	0.025759	0.093385	0.054941	0.25092	0.13361	0.61219	0.43325	0.85131	0.12276	0.81539	0.5564	0.054714	0.028851	0.083178	0.071536	0.36231	0.53255	0.53995	0.048183	0.66288	0.74935	0.055612	0.037197	0.041294	0.022239	0.81849	0.68049	0.043231	0.036342
Meth__cg02589695__RASSF5	0.033423	0.10272	0.07987	0.16825	0.57948	0.3717	0.69831	0.085363	0.71149	0.564	0.59981	0.075248	0.52476	0.37618	0.34421	0.32223	0.2147	0.32448	0.1366	0.089552	0.06118	0.26957	0.16174	0.13109	0.56875	0.1398	0.71408	0.11908	0.12251	0.097257
RS_G5567__PREX1__PREX1	7.2462	9.4167	8.806	10.4089	0.22186	6.8101	4.4805	8.4126	5.8229	4.7198	2.9075	3.8884	1.4154	4.0377	0.14017	6.4915	9.6008	7.9408	6.7415	0.4589	8.6745	4.204	9.5072	1.276	2.3445	4.4718	7.4045	10.2263	10.0828	10.6767
Meth__cg04784672__LRFN5	0.90456	0.023474	0.032396	0.023618	0.66062	0.75786	0.93455	0.28292	0.95922	0.95503	0.7639	0.97893	0.039842	0.18731	0.066732	0.067626	0.90535	0.80727	0.95224	0.8719	0.028117	0.57157	0.042121	0.025892	0.083512	0.032648	0.52875	0.41658	0.71244	0.80176
Meth__cg19239342__REEP5	0.073495	0.068173	0.12556	0.065303	0.33369	0.092346	0.19064	0.08258	0.1198	0.54216	0.31169	0.069346	0.18902	0.066379	0.24042	0.47476	0.099086	0.13422	0.23791	0.48132	0.1001	0.14274	0.16298	0.077313	0.089199	0.059588	0.070519	0.095147	0.30171	0.077035
Meth__cg17456704__ZNF625	0.10655	0.10475	0.10674	0.099169	0.13367	0.10676	0.21407	0.11666	0.95655	0.09963	0.52892	0.11435	0.80277	0.099196	0.14544	0.10664	0.48342	0.1131	0.13935	0.2865	0.096139	0.51588	0.17957	0.11581	0.42613	0.086169	0.18392	0.1201	0.12093	0.15952
Meth__cg23166289__C1orf107	0.042051	0.027429	0.53578	0.15136	0.7202	0.086906	0.12222	0.098272	0.17135	0.57243	0.14817	0.66623	0.20899	0.10262	0.15068	0.79459	0.070656	0.073905	0.066131	0.27906	0.3189	0.20407	0.074841	0.035996	0.38187	0.33486	0.32602	0.08332	0.051968	0.043636
Meth__cg04502814__SEPP1	0.068303	0.034453	0.038177	0.038233	0.6125	0.046296	0.87369	0.048946	0.057913	0.10861	0.72348	0.041923	0.26449	0.18164	0.15899	0.074284	0.047816	0.04781	0.049934	0.5071	0.042484	0.089701	0.069376	0.45658	0.88947	0.042602	0.063827	0.045363	0.05983	0.052462
Meth__cg13562542__GPR27	0.049852	0.04691	0.043873	0.030826	0.97672	0.044788	0.057511	0.039737	0.54079	0.039045	0.10791	0.073994	0.66524	0.04161	0.062433	0.58682	0.049586	0.042638	0.085791	0.94553	0.051521	0.91513	0.13749	0.041415	0.039669	0.034352	0.063664	0.066164	0.036355	0.050866
Meth__cg03609102__MUC5B	0.023048	0.018929	0.025664	0.01365	0.56322	0.019154	0.91849	0.02859	0.22949	0.8021	0.19173	0.020787	0.54421	0.88815	0.036661	0.035204	0.23739	0.047714	0.29075	0.20239	0.031602	0.27103	0.073333	0.86762	0.31253	0.018841	0.69896	0.097923	0.030479	0.024829
Meth__cg11961618__PHLDA2	0.043776	0.042329	0.056599	0.049582	0.31789	0.053029	0.17973	0.058852	0.75176	0.062098	0.096401	0.03859	0.061376	0.049603	0.12395	0.065844	0.052776	0.12524	0.045494	0.11629	0.056781	0.095182	0.082847	0.063692	0.058214	0.04031	0.05121	0.060326	0.048775	0.045356
Meth__cg13818573__C1QL1	0.48406	0.053936	0.1276	0.14231	0.61055	0.69101	0.1242	0.45779	0.84935	0.3167	0.50043	0.139	0.10695	0.050901	0.08159	0.55814	0.3698	0.15356	0.86533	0.94317	0.055571	0.7955	0.053937	0.07669	0.10094	0.055422	0.91836	0.22889	0.77989	0.44425
Meth__cg05626013__LRRTM3	0.29061	0.093426	0.63909	0.10767	0.27788	0.21835	0.77333	0.13245	0.25376	0.23782	0.2509	0.16485	0.20077	0.22465	0.14815	0.16475	0.15774	0.78845	0.16157	0.45484	0.1721	0.29889	0.087942	0.10622	0.20464	0.10595	0.10853	0.13061	0.12659	0.14646
Meth__cg24364574__PREX1	0.12318	0.097304	0.095746	0.15155	0.60984	0.15835	0.64209	0.12227	0.79751	0.66963	0.65158	0.62208	0.66788	0.70847	0.15872	0.546	0.12186	0.12154	0.40838	0.71055	0.15715	0.27523	0.14049	0.14124	0.25167	0.60139	0.099181	0.14508	0.12998	0.10377
Meth__cg06747888__TBR1	0.34451	0.14694	0.11045	0.068479	0.91287	0.10154	0.91489	0.086213	0.87401	0.8873	0.92516	0.093604	0.89441	0.69516	0.29074	0.8852	0.084	0.36592	0.17871	0.80047	0.066035	0.1454	0.13495	0.93282	0.15766	0.15039	0.53994	0.13363	0.11234	0.38505
RS_G3155__CEACAM5__CEACAM5	7.7277	3.0865	5.2121	4.8633	0.070684	0.77155	0.33646	2.8689	0.19396	1.9951	3.6506	2.6469	0.67372	0.38368	1.983	0.44479	5.7591	1.2814	6.2762	0.25678	6.8029	0.24994	1.7276	0	0	5.413	3.5968	3.7252	3.876	4.8808
Meth__cg27176536__RAB26	0.11284	0.11915	0.12238	0.10294	0.90562	0.1407	0.26985	0.14724	0.15988	0.25495	0.16927	0.18324	0.14323	0.14863	0.15337	0.59396	0.13916	0.1242	0.13126	0.1546	0.13457	0.16842	0.15513	0.12061	0.13026	0.12631	0.090216	0.24708	0.12026	0.12099
Meth__cg15856055__ZNF511	0.10907	0.076625	0.2137	0.07098	0.75434	0.13097	0.1839	0.11932	0.12576	0.48033	0.19231	0.11323	0.14645	0.41767	0.1078	0.50479	0.093719	0.15988	0.25448	0.41294	0.091023	0.12438	0.18684	0.10969	0.13865	0.073179	0.073964	0.097943	0.25554	0.059835
Meth__cg01942127__CACNA1D	0.026735	0.019119	0.025508	0.023464	0.96134	0.098449	0.96152	0.031425	0.60306	0.39044	0.70583	0.16988	0.63042	0.67275	0.3584	0.083118	0.038542	0.02817	0.039639	0.92015	0.42076	0.078677	0.034138	0.077914	0.28179	0.04831	0.097849	0.049678	0.034957	0.1477
Meth__cg02433671__RGL3	0.59803	0.035935	0.030846	0.97968	0.97669	0.63179	0.96479	0.040266	0.94744	0.98638	0.96664	0.95951	0.96784	0.66883	0.11398	0.81024	0.9721	0.97273	0.97763	0.076197	0.96592	0.065528	0.085685	0.63638	0.95695	0.030961	0.97652	0.059363	0.041598	0.042096
Meth__cg13514129__MACF1	0.088351	0.043894	0.13334	0.052934	0.103	0.075059	0.18131	0.12171	0.87741	0.094784	0.60459	0.082962	0.20221	0.070831	0.11023	0.095885	0.072944	0.10871	0.17858	0.73874	0.076686	0.68972	0.088296	0.21677	0.12058	0.061665	0.83109	0.18639	0.18193	0.17343
Meth__cg14506552__NPPB	0.23237	0.019227	0.40736	0.43147	0.91428	0.46021	0.59589	0.072859	0.94043	0.40909	0.95754	0.071819	0.45172	0.66544	0.17091	0.024873	0.83467	0.81857	0.55479	0.92429	0.1429	0.90484	0.038932	0.43063	0.55953	0.10512	0.8794	0.052182	0.039446	0.43932
Meth__cg12343638__PCDHB12	0.4636	0.061951	0.65021	0.06041	0.83271	0.088175	0.9072	0.08358	0.85212	0.88951	0.21859	0.62279	0.79423	0.31895	0.36091	0.082973	0.61075	0.1478	0.7131	0.18288	0.22521	0.15643	0.10999	0.077068	0.82369	0.046324	0.32646	0.14926	0.28538	0.072437
RS_G7852__SLC40A1__SLC40A1	8.1261	6.0053	7.765	8.1177	0	7.1984	1.8182	9.5596	4.9572	0.11962	2.6831	6.1944	2.3757	3.5437	5.1833	0	0.15331	0.15829	5.071	2.5055	7.5995	9.0335	6.8656	0.27233	0.42348	6.3631	4.6019	10.0753	3.8126	7.1722
Meth__cg02071305__VPS18	0.084486	0.065683	0.32971	0.18407	0.68737	0.080694	0.23347	0.15766	0.35339	0.74601	0.36763	0.063488	0.16549	0.093996	0.19113	0.10364	0.19554	0.38589	0.42278	0.27112	0.083451	0.10745	0.14799	0.056451	0.12891	0.074974	0.069015	0.085536	0.22074	0.057622
Meth__cg13796218__C1orf187	0.076495	0.12985	0.062578	0.10532	0.76554	0.10814	0.13256	0.071535	0.63334	0.42168	0.73603	0.11433	0.81131	0.39231	0.47236	0.36818	0.062633	0.057888	0.14385	0.75032	0.070556	0.24095	0.061092	0.0981	0.062873	0.090659	0.74028	0.075167	0.082762	0.15279
Meth__cg13199589__FAM80A	0.3697	0.072025	0.19773	0.047424	0.5103	0.12531	0.10536	0.058001	0.63869	0.24455	0.53767	0.052792	0.11138	0.1809	0.21162	0.28802	0.052992	0.13503	0.34455	0.75794	0.40241	0.20369	0.094986	0.10598	0.22829	0.049385	0.57235	0.060581	0.06234	0.064072
Meth__cg07013734__TRPC6	0.12825	0.038398	0.73934	0.16446	0.68669	0.83324	0.93062	0.066887	0.90074	0.1506	0.66738	0.81441	0.45507	0.052379	0.13029	0.7156	0.15723	0.09095	0.30979	0.78208	0.08	0.64964	0.087858	0.059963	0.65295	0.057035	0.51186	0.68819	0.23391	0.31944
Meth__cg12108912__MGC10993	0.11655	0.095044	0.1282	0.092884	0.86415	0.12486	0.85873	0.10685	0.66053	0.61235	0.296	0.28599	0.85405	0.89793	0.28052	0.78285	0.083123	0.10069	0.15758	0.79091	0.1338	0.17964	0.12073	0.41155	0.84576	0.10826	0.11566	0.18805	0.13804	0.11306
Meth__cg00910067__SLC7A10	0.089718	0.040066	0.40303	0.46092	0.85569	0.3011	0.37025	0.19514	0.84059	0.098422	0.83527	0.23418	0.76737	0.161	0.10741	0.062435	0.6575	0.28327	0.50597	0.73893	0.25924	0.81522	0.064539	0.11343	0.087924	0.049898	0.71674	0.094464	0.17835	0.097774
Meth__cg24435562__PCDHB13	0.31852	0.043217	0.8031	0.051562	0.76768	0.055432	0.87127	0.051206	0.4714	0.43991	0.25409	0.55038	0.53574	0.19844	0.25784	0.058379	0.25497	0.28772	0.47199	0.16603	0.18163	0.54071	0.089725	0.055333	0.82189	0.048841	0.20718	0.0926	0.34867	0.19056
Meth__cg17757055__DKFZP564O0823	0.046659	0.065941	0.31037	0.22861	0.50565	0.28248	0.19892	0.075116	0.65771	0.23003	0.48128	0.41795	0.5879	0.069268	0.095957	0.39746	0.097846	0.29919	0.15628	0.12744	0.14664	0.10554	0.13706	0.13551	0.095174	0.1115	0.13907	0.096716	0.059934	0.26287
Meth__cg01911082__CSMD3	0.14959	0.012962	0.20964	0.021941	0.096183	0.7801	0.7405	0.030032	0.17742	0.52549	0.34704	0.1276	0.31183	0.055433	0.053961	0.017936	0.56524	0.62828	0.23306	0.89605	0.032069	0.75204	0.027266	0.024689	0.25121	0.020007	0.068251	0.017906	0.15682	0.050972
RS_G9080__IGFBP3__IGFBP3	6.2987	3.3656	2.9054	5.2494	11.5393	1.034	12.0229	0.38514	2.9917	10.5079	11.6002	3.293	10.8788	9.9252	12.5244	9.3982	4.4452	6.8854	9.9608	6.9804	4.4091	8.3923	0.25393	4.3852	7.1035	6.5264	7.1766	0.7413	7.3833	2.4343
Meth__cg07671949__ESR1	0.087171	0.10258	0.11318	0.11469	0.69243	0.12777	0.88143	0.098113	0.89562	0.32943	0.7984	0.35407	0.84228	0.90742	0.37754	0.3254	0.11241	0.089628	0.36104	0.77484	0.096199	0.2133	0.14419	0.6613	0.69628	0.16406	0.8234	0.21826	0.078114	0.53734
Meth__cg26990660__RAMP2	0.06866	0.059493	0.30065	0.045006	0.90924	0.08322	0.42192	0.059762	0.12239	0.16195	0.7459	0.036825	0.64175	0.059105	0.089037	0.27221	0.15188	0.20413	0.099696	0.84267	0.10099	0.8937	0.099079	0.06005	0.040069	0.053426	0.83923	0.1056	0.077164	0.10549
Meth__cg03641225__DIRAS3	0.1618	0.022288	0.37599	0.12301	0.58522	0.080794	0.4938	0.40112	0.41691	0.72091	0.18454	0.26225	0.21576	0.71948	0.070414	0.040952	0.087138	0.12571	0.51583	0.20021	0.065258	0.13201	0.036995	0.21668	0.20152	0.033674	0.045343	0.046878	0.10204	0.072512
Meth__cg16245261__PRKCDBP	0.72705	0.05243	0.89555	0.73029	0.30544	0.52796	0.052952	0.68071	0.082096	0.26244	0.57302	0.059811	0.092571	0.094151	0.20845	0.09409	0.42774	0.11599	0.42691	0.091419	0.61039	0.17963	0.12772	0.069953	0.051734	0.66353	0.33006	0.72243	0.72104	0.61394
Meth__cg25823578__PTGER2	0.089762	0.05354	0.85727	0.11311	0.61724	0.33956	0.8466	0.4929	0.84458	0.81435	0.79349	0.40286	0.94228	0.045986	0.056402	0.52365	0.72142	0.31794	0.46828	0.81805	0.84305	0.251	0.08196	0.050728	0.037615	0.3563	0.51197	0.068906	0.050568	0.14639
Meth__cg04005707__FLJ21511	0.12982	0.043118	0.35222	0.46558	0.94222	0.52021	0.91594	0.90249	0.9349	0.055657	0.90502	0.23173	0.83309	0.40982	0.066608	0.4111	0.71636	0.53603	0.33618	0.8918	0.58308	0.50331	0.095736	0.049851	0.056325	0.038839	0.70901	0.098453	0.066271	0.62419
Meth__cg00243313__IRX4	0.029184	0.023705	0.027316	0.017799	0.78009	0.038015	0.93953	0.025441	0.026216	0.030656	0.40097	0.056494	0.68599	0.023674	0.090337	0.052295	0.028003	0.32311	0.022879	0.75008	0.039598	0.62835	0.051565	0.029355	0.034529	0.02694	0.25412	0.033346	0.036342	0.02772
Meth__cg00638514__OTOP3	0.045816	0.036132	0.074838	0.16297	0.93368	0.48197	0.90533	0.17399	0.93187	0.61123	0.91894	0.02793	0.87782	0.38273	0.11849	0.04094	0.94433	0.75232	0.60719	0.87069	0.048512	0.54661	0.060206	0.53725	0.081273	0.032072	0.94474	0.32125	0.25825	0.095087
Meth__cg09022993__SPATA18	0.058687	0.14764	0.10987	0.040021	0.92202	0.40011	0.94293	0.055613	0.93417	0.2842	0.85261	0.42337	0.92197	0.090466	0.10105	0.28061	0.049538	0.22709	0.93487	0.39169	0.045261	0.096507	0.64821	0.074932	0.052752	0.3454	0.87851	0.53115	0.052194	0.90973
Meth__cg13801381__CCND2	0.95494	0.021809	0.23797	0.30785	0.91832	0.84623	0.97748	0.92101	0.94345	0.95689	0.8328	0.37329	0.020195	0.10596	0.05529	0.35987	0.95302	0.96494	0.92176	0.67113	0.52659	0.82781	0.23651	0.036321	0.71977	0.026197	0.71462	0.088041	0.53257	0.44752
Meth__cg27379587__NMB	0.089366	0.13562	0.13371	0.10158	0.86743	0.12575	0.22895	0.14567	0.20361	0.33777	0.7016	0.15826	0.13765	0.13053	0.20715	0.3696	0.27392	0.20213	0.1306	0.81097	0.17282	0.29356	0.19187	0.096145	0.09389	0.13372	0.58013	0.33798	0.15071	0.14436
Meth__cg00769520__ST8SIA1	0.036568	0.030919	0.065123	0.029935	0.3263	0.036942	0.047099	0.041517	0.034873	0.042755	0.056433	0.03634	0.033748	0.03307	0.056158	0.031654	0.031242	0.10467	0.042112	0.12095	0.034152	0.34242	0.042066	0.027511	0.037948	0.031397	0.40533	0.05653	0.038267	0.029501
Meth__cg24762359__ATP12A	0.043633	0.045777	0.053002	0.050961	0.79009	0.05965	0.065101	0.051203	0.17341	0.087469	0.11009	0.09274	0.065885	0.17718	0.088496	0.067723	0.045648	0.089839	0.036964	0.71291	0.049236	0.28779	0.07663	0.069001	0.088918	0.047	0.14606	0.10189	0.063937	0.044759
Meth__cg16098981__C20orf39	0.93383	0.049778	0.1066	0.20465	0.92638	0.28716	0.7094	0.26281	0.91523	0.90905	0.8715	0.1678	0.089095	0.17456	0.082899	0.48487	0.075775	0.77274	0.90963	0.86515	0.61572	0.8099	0.045376	0.30144	0.13973	0.25788	0.90207	0.84405	0.056569	0.30928
RS_G3361__SERPINE1__SERPINE1	3.34	3.0676	0.59751	2.4332	5.0316	0.27016	6.6992	1.6028	2.0024	6.7282	7.1883	3.1795	6.7085	6.8413	0.30685	12.9763	1.4898	1.9126	6.056	9.7718	2.0705	3.8827	2.1126	7.2491	0.86367	4.6185	8.7657	0.75362	1.085	1.8838
RS_G961__COL17A1__COL17A1	0.78057	1.2182	3.5799	0.57122	0.52555	0.13654	5.7701	0.4913	1.2963	7.6715	3.2624	0.17465	7.6051	0	0.081001	3.6348	0.13294	0.92789	2.5304	3.5943	3.3934	2.6571	1.3123	0.97317	5.6195	4.52	5.2315	0	2.4278	1.6642
Meth__cg12062995__RFC1	0.11277	0.10691	0.17103	0.11969	0.57799	0.093826	0.097867	0.13069	0.24467	0.21759	0.1266	0.18621	0.26087	0.04428	0.097506	0.38922	0.08907	0.16977	0.044405	0.60256	0.1511	0.18473	0.18963	0.062912	0.072698	0.053297	0.1398	0.10221	0.067801	0.23217
Meth__cg12800028__GPR6	0.21956	0.33379	0.099429	0.23092	0.87643	0.55122	0.60491	0.37589	0.44546	0.71527	0.71192	0.46573	0.054266	0.55452	0.14065	0.097047	0.31655	0.70316	0.35148	0.76273	0.17056	0.88054	0.1273	0.37694	0.49893	0.031261	0.15993	0.40881	0.057611	0.26577
Meth__cg06297145__NFXL1	0.060312	0.065239	0.062356	0.040842	0.34523	0.063467	0.31602	0.070435	0.0688	0.040503	0.1336	0.046714	0.069778	0.053358	0.12335	0.098599	0.068873	0.13496	0.078824	0.15411	0.057537	0.15414	0.090646	0.072449	0.084064	0.039501	0.087537	0.15296	0.059483	0.052094
Meth__cg02661879__FLNC	0.037342	0.027093	0.065155	0.03428	0.86047	0.9165	0.81117	0.95046	0.84259	0.63372	0.90672	0.30645	0.9563	0.033364	0.077961	0.022092	0.95657	0.37733	0.37636	0.10096	0.68195	0.94053	0.053289	0.09066	0.041719	0.027596	0.95108	0.056343	0.054954	0.044405
Meth__cg03038003__C1orf165	0.053777	0.03396	0.049291	0.039825	0.68272	0.3627	0.41885	0.053962	0.16112	0.90285	0.5918	0.038815	0.3324	0.061953	0.068182	0.12557	0.039383	0.038825	0.17159	0.91686	0.036735	0.67321	0.051274	0.039963	0.037794	0.037122	0.97947	0.097834	0.3715	0.52918
Meth__cg15127324__CENTD1	0.049909	0.055794	0.076859	0.18966	0.48188	0.068878	0.058833	0.41301	0.16152	0.13384	0.084903	0.31899	0.076421	0.078881	0.12532	0.058211	0.091286	0.22617	0.083503	0.11128	0.060659	0.088028	0.098717	0.05965	0.46126	0.047535	0.65527	0.078149	0.052108	0.15204
Meth__cg08069899__CCND2	0.18543	0.037618	0.051816	0.041886	0.73348	0.32492	0.97996	0.89761	0.96711	0.62489	0.35637	0.072869	0.036762	0.070773	0.11005	0.03509	0.5727	0.64466	0.38823	0.77503	0.30048	0.87158	0.068334	0.034991	0.098896	0.040857	0.23899	0.12661	0.5952	0.080063
Meth__cg18904346__LHX2	0.045991	0.042518	0.30985	0.061259	0.52743	0.069851	0.066375	0.051018	0.050399	0.14718	0.77206	0.66442	0.28788	0.047077	0.081538	0.523	0.053754	0.085819	0.050293	0.81767	0.64056	0.083749	0.055097	0.03755	0.058355	0.03892	0.82138	0.076048	0.044433	0.10638
RS_G1585__FYB__FYB	0.2113	0.19141	0.061937	0	0.20909	0	0.34147	1.2528	0.39857	3.5975	2.5922	0	3.3846	0.15854	9.0496	0.12508	0	0.45377	2.2729	0	0	0	0	0	0.11113	0	5.2149	0	0	0.42518
Meth__cg20234170__CAT	0.097072	0.31049	0.49256	0.12655	0.093791	0.41623	0.094832	0.12217	0.080446	0.20726	0.25549	0.05411	0.070522	0.086607	0.23218	0.053537	0.30804	0.25148	0.28696	0.1139	0.57533	0.29293	0.19389	0.17461	0.052664	0.1401	0.14671	0.14249	0.28713	0.65192
Meth__cg03663715__FOXD1	0.33888	0.056172	0.08391	0.078828	0.50435	0.64109	0.18481	0.039977	0.19204	0.11486	0.61216	0.4236	0.17635	0.071999	0.060355	0.065231	0.37503	0.6162	0.44073	0.90031	0.037842	0.50537	0.16409	0.03587	0.040601	0.029831	0.89915	0.36997	0.041971	0.03978
Meth__cg15835825__HTR5A	0.48817	0.021318	0.033924	0.023469	0.38002	0.10816	0.25905	0.068626	0.95032	0.94695	0.95482	0.066494	0.029224	0.087145	0.19671	0.58156	0.034611	0.045935	0.18776	0.90975	0.047415	0.84146	0.096713	0.021488	0.044247	0.022528	0.47019	0.071116	0.46369	0.25661
