Cell lines	21MT1	21NT	600MPE	AU565	BT474	BT549	CAMA1	EFM192A	EFM192B	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	JIMT1	LY2	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
RS_G13093__TM4SF1__TM4SF1	8.8657	9.1193	10.4225	8.9741	6.3961	10.2741	5.8997	2.0933	2.6286	11.4386	9.303	3.5257	7.7572	12.9126	7.6636	9.4061	10.3038	8.7437	10.129	12.1941	10.6962	10.5301	5.09	6.0437	10.9392	7.3568	10.462	7.2096	10.7158	7.7496	10.4649	8.9015	9.9612	5.7164	6.3285	8.242	3.2361
RS_G13489__LRRC8C__LRRC8C	3.2865	2.3898	2.418	1.5417	1.7488	6.0762	1.4049	0.36236	0.10419	4.2775	5.247	3.3365	3.6831	5.1997	6.6789	3.9768	4.0136	6.0583	4.9818	5.6925	6.064	1.8359	0.087916	2.0266	8.3452	1.0245	0.97754	0	2.3141	2.6248	0.61749	3.3056	1.4293	1.3006	1.0774	1.2874	1.824
RS_G6305__ARHGEF6__ARHGEF6	0.36048	1.2318	3.6158	2.0595	1.7338	0.092084	2.9368	0.36062	0.29253	0.53229	3.3219	4.3147	1.4984	2.8263	0.28355	2.7223	2.0664	2.1888	4.0055	5.1471	1.2646	0.21443	1.5766	2.4823	2.306	0.65311	1.2642	3.7053	3.8696	0.17625	4.3437	0.14587	7.2125	4.8643	3.6378	3.4944	1.6541
RS_G13984__TNFRSF10D__TNFRSF10D	0.48109	0.14966	0.47373	0	0	0.27889	0	0.15855	0.085074	7.3456	0.24361	0.43255	0.61535	3.624	5.9027	4.4719	4.3597	7.4006	7.5913	1.9892	8.1692	0.053823	0.93493	0.14914	7.4603	0	0.13627	0	6.4505	0	5.4051	5.1856	0.30762	0	0.68226	4.0385	0.11014
RS_G748__FOXC1__FOXC1	5.2832	4.9863	1.3467	0	0.44926	6.5029	0	4.1825	4.5924	5.6404	4.9248	2.525	1.692	6.4469	6.2567	3.7813	5.4285	5.0029	5.1006	7.1906	5.3363	4.6312	5.2142	3.7327	4.0817	1.8569	0.68469	0	5.4878	4.8565	4.7414	6.0806	4.0297	4.116	3.9332	2.8678	2.8369
RS_G5079__IFIT2__IFIT2	1.22	3.7802	3.9033	0.57291	1.0182	1.9049	0.74433	2.7531	2.8702	3.1547	3.2978	0.16058	3.692	11.0262	4.9108	6.1426	6.1351	2.9153	3.2552	8.711	2.4582	3.0206	0.97812	1.9047	6.3895	1.2038	1.6276	0	0.49342	3.8401	5.7031	3.4226	2.3313	3.0752	0.28839	1.0737	1.03
RS_G11429__CXCL3__CXCL3	5.5733	4.9662	0.33948	0	0	3.4106	0	0	0.24646	2.5204	3.2775	0	0	4.4838	3.1649	1.7437	1.4393	4.6319	3.5497	3.3576	4.5588	0	0.22001	0	2.2938	0	0	0	6.9196	8.1321	1.9658	2.8659	0	0	0	0	0
RS_G7128__GPR77__GPR77	3.3774	2.4672	4.3869	1.6176	4.6409	0	6.9043	6.2025	4.9602	0	0	5.5588	9.0343	0	0	0	0	0	0	0.18854	1.1429	0.2841	6.4876	5.6392	1.1192	6.095	0	1.1513	0	4.688	2.8239	1.7911	3.2491	7.4652	7.9547	5.4055	5.4591
RS_G14028__SUSD5__SUSD5	2.5743	3.3866	4.1374	0.2278	1.652	7.4136	0.79899	0.8271	1.5022	3.8409	6.9339	2.5299	0.95948	0.80769	2.9449	2.9382	3.1619	4.0329	6.9944	0.6891	4.6281	4.3989	0.52125	0.29324	7.5128	1.1616	0.81957	1.4101	6.1608	1.8309	4.5563	2.0915	0.27212	3.4141	3.0074	0.075385	0.35588
RS_G11080__DNAJB4__DNAJB4	3.4433	4.8071	5.2481	2.6683	2.103	9.2845	3.4604	1.9077	2.8154	3.6926	7.1968	4.45	2.7546	4.4632	4.5992	3.4336	4.2361	5.9018	6.3162	5.4822	6.7432	1.1355	1.3773	2.6579	5.9448	1.8261	2.2012	3.7086	3.9964	3.852	4.2055	4.099	3.7067	1.7083	0.85314	3.1523	0.8945
RS_G14379__SCUBE2__SCUBE2	0	0	3.7581	0.4963	3.3351	1.9673	0.99746	5.503	4.8949	0	0.85629	3.3606	10.4571	0.40431	0.41231	0.91397	0.51741	0.27683	1.1985	0.064969	0.99204	0.19361	3.0784	6.7906	0.068117	5.2172	0	0.5589	0.25173	0.14379	0.65985	0.21735	0.15444	8.5777	7.7732	6.1636	2.3288
RS_G4911__TNFAIP3__TNFAIP3	5.2808	4.4374	3.4229	2.5241	1.0022	3.086	2.2536	2.2472	2.9492	6.0137	4.7093	4.1702	1.7707	7.0341	7.7645	7.6887	3.9834	6.975	4.977	4.4333	6.6145	9.3207	3.1333	1.8825	4.8906	1.4189	0.39628	3.774	3.5072	5.7983	4.0861	3.8722	2.863	2.6747	2.037	1.5191	2.18
RS_G1779__PTHLH__PTHLH	3.9667	4.2124	0	0	2.2732	2.1658	0	0.37619	0.20949	7.2097	4.2484	0	0	0.32391	9.1068	2.3649	2.1959	2.287	1.3148	1.5258	4.0306	3.2594	0	0.76599	0.83936	2.8815	1.3368	0	1.8976	0.5104	2.0936	3.4073	2.0487	0	0	0.48471	0
RS_G6440__COL5A1__COL5A1	5.1978	5.041	3.8517	3.1224	0.40165	10.1958	7.0167	2.0354	5.6581	4.1353	8.0257	0.059076	1.7108	0.44888	3.3905	6.243	6.8198	5.9398	8.5532	1.3704	9.4954	1.8982	4.8717	3.0794	4.163	1.235	0.099041	0.20663	2.239	5.6444	4.0102	6.5509	4.9687	3.6637	2.6721	2.6056	1.0735
RS_G3155__CEACAM5__CEACAM5	4.9713	3.7457	7.7277	3.0865	5.2121	0.070684	0.77155	7.6948	4.916	0.33646	0.23729	6.8653	2.8689	0.19396	1.5222	1.9951	3.6506	0.67372	0.38368	1.983	0.44479	0.24654	4.5313	5.7591	0.25678	6.8029	0.24994	1.7276	0	0	5.413	0.66264	3.5968	3.7252	3.876	4.8808	6.2929
RS_G4220__LOX__LOX	5.4562	6.9703	0	0.68991	0.90169	10.7791	0.13865	0	2.5432	4.9709	5.7714	0.79742	0.96733	5.2774	4.4823	2.895	0.54503	5.5501	7.6689	5.766	10.1643	2.1692	0.90667	0.75454	6.0679	0.45546	0.44199	0	11.6434	8.3827	2.7516	9.2551	0.4056	2.3981	0.6104	1.3457	0
RS_G15485__TH__TH	3.7878	3.8189	0.21303	9.0793	2.3729	0	0	5.8985	5.9492	0.41538	0	11.2101	2.4775	0.43724	0	0.82904	1.695	0	0	0	1.018	0.50542	4.0867	2.0259	0.2489	5.6676	0.44832	6.7501	0.45547	1.0089	0	3.2061	3.3023	2.331	2.1226	4.2082	1.1147
RS_G22312__AC135891.3__AC135891.3	4.0218	4.5724	0.4869	0.37864	0	0	0	0	0	3.4384	2.0861	0	0	0	1.6631	0.61027	2.4285	0.6037	0.21884	0	5.5447	1.8859	0	0	4.7476	0.21443	0	0	0	0	0	3.4376	0	0	0	0	0.98678
RS_G6664__C19orf12__C19orf12	4.9438	4.4105	5.2901	4.6834	4.1568	5.9429	5.4421	5.8823	5.3359	5.5059	5.1282	3.2762	5.9192	10.2306	7.0074	4.5613	4.4557	5.8258	5.5023	6.0136	6.1122	4.9891	5.0795	4.739	5.5532	5.1078	5.4239	5.2103	6.8142	5.6709	6.0215	5.1	4.5139	4.2824	4.5861	5.2328	4.7001
SNP__DMBT1	-0.329	-0.275	0.014	-0.15	-3.561	-0.159	-0.167	-0.114	-0.04	-0.078	0.315	-0.148	-0.008	-0.386	0.221	0.4	-0.208	-0.305	-0.408	-0.268	-0.603	-0.366	0.022	0.108	-0.224	0.032	-0.043	-0.202	0.142	-0.198	-4.07	-3.272	-0.254	-0.304	0.08	0.118	-0.366
RS_G9579__ITPR1__ITPR1	2.23	2.6885	4.5134	4.3867	4.2731	4.1573	6.2952	1.8889	3.3569	2.9145	5.4786	5.4467	4.5951	7.5681	2.6701	2.8093	3.9339	2.283	4.1131	5.5363	2.787	2.7922	3.532	4.8192	3.7143	5.7936	8.8582	4.6352	6.4763	4.8728	3.3534	2.5628	4.8514	4.6343	4.9267	4.8971	4.1731
SNP__POU6F2	0.323	0.52	0.01	0.649	0.468	-2.998	0.082	-0.505	-0.391	-0.437	0.098	0.154	0.256	-0.078	-0.094	0.092	0.559	-0.399	-0.026	0.566	0.253	-0.121	0.141	-0.291	0.104	0.17	-0.085	0.578	0.431	-0.201	-1.934	-2.616	0.126	0.315	0.335	0.558	0.36
RS_G7167__ADAM19__ADAM19	7.0036	7.2108	5.0712	6.9435	0.69705	7.4741	0.38305	4.0852	5.2056	6.6385	5.3497	0.17265	0.22092	1.5558	4.4122	1.7055	5.2338	4.4636	5.8058	3.8545	7.6783	10.2614	1.6872	0.69548	6.0789	0.040708	0.28145	4.8527	5.6307	2.7338	4.0595	6.556	3.2612	2.3468	1.6562	3.1471	2.3855
RS_G6975__LOXL2__LOXL2	7.9486	7.3428	1.5391	2.7296	1.2016	11.6528	0.8968	2.0945	6.2657	6.3164	9.3974	1.5447	2.0715	6.3622	3.9725	6.3672	6.8128	8.6672	8.2651	5.7011	11.1125	9.9682	7.6294	3.625	8.9271	1.3338	2.0015	1.078	8.2155	10.5325	5.5342	7.3102	1.0611	1.131	6.4413	3.8986	1.1635
RS_G7269__HEY2__HEY2	0.22686	0.18582	3.6871	0	4.2335	1.3674	1.1515	1.7941	2.4863	2.5575	0.48244	3.959	1.6937	2.4811	2.3717	2.5058	0.93292	1.007	0	6.9965	3.4334	0.66559	4.8089	0.82328	2.29	5.3855	0.59431	0	4.2589	0.77271	1.6052	0.28944	3.3842	0.64409	6.0077	5.5727	5.2139
RS_G19250__ABCA4__ABCA4	1.2572	2.6692	2.5925	1.8337	3.9603	0.26948	0.28068	5.9848	5.3068	0.23368	4.4163	1.9681	6.1509	2.5443	0.3723	2.4337	1.3841	1.9661	0.29762	0.88168	1.2798	1.1515	2.2154	0.99615	1.4951	0.99526	0.25117	3.5587	1.6032	3.7364	1.1507	1.4958	1.6978	2.6309	6.0141	4.9307	0.65076
RS_G10674__PIP__PIP	0	2.6418	2.9964	1.7353	9.5819	0	0	2.3754	0	0	0	6.2869	1.4841	0.66661	0	0	6.4468	0	0	3.1539	2.713	1.2444	0.71805	1.8507	0	4.4832	5.3906	6.4578	0	0	7.2874	0	3.8345	13.277	2.2284	6.4281	3.0258
RS_G15650__OXTR__OXTR	6.8146	3.1676	2.6453	2.4034	1.4046	5.2587	3.3789	2.2664	3.0261	7.0907	3.0554	3.0154	3.3339	2.5851	2.3122	6.7918	1.8936	5.7407	2.9858	0.11011	5.3866	11.0318	1.6268	2.3399	0.87158	2.2215	1.958	1.8969	2.2283	0.53598	2.6827	2.7785	1.9298	0.59396	4.8693	3.8192	4.1112
RS_G5719__SCGB1D2__SCGB1D2	0	0	10.1167	3.7969	7.435	0	3.7616	7.8956	3.4347	0	2.4518	1.2703	1.7869	2.4186	0	0	0	0	0	0	0	1.1559	0	0	0	9.8672	0	6.6518	0	1.4816	12.1454	0	5.8401	0	9.357	12.3511	1.1901
RS_G18787__SERPINB2__SERPINB2	2.4835	1.4331	0	0	0	1.1115	0	0	0.46021	3.2226	0	0	0	0.68625	8.935	7.0426	1.6439	3.9413	0.41102	8.0819	6.2158	0	0	0	0.56362	0	0.38777	0	0	4.3306	3.1332	4.8748	0	0	0	2.543	5.4605
RS_G4160__SMOC2__SMOC2	0	0.16055	2.5762	4.2469	4.5958	0	3.3104	3.3032	3.8853	3.7889	1.0467	0.70265	8.2683	0	0	0.79236	0	0	0.15482	0	0.1795	0.11212	2.3254	3.5263	0	2.8666	0	0.20552	0	0.16283	0.92437	0.45366	0	1.5942	7.9173	6.6553	5.9139
SNP__LOC643827	0.005	-0.01	-0.26	-0.178	-0.352	-0.099	0.064	-2.278	-2.576	0.078	0.094	-0.251	-0.141	0.04	-0.124	-3.122	0.1	-0.094	0.287	-4.747	-0.088	0.152	-0.006	-0.191	-0.159	-0.186	-0.24	0.047	-2.826	0.168	-0.293	-0.07	-0.142	-0.139	-0.296	-0.159	0.024
RS_G11812__GEM__GEM	4.6712	4.2938	3.4128	0.39241	0.65863	5.2987	6.9453	1.856	2.2373	3.3766	6.9016	3.2647	1.7787	5.7468	2.6702	1.7895	3.1414	3.4334	7.1501	4.5528	7.2633	2.5559	2.3845	2.808	6.6694	2.2264	0	0	9.784	1.7987	4.2186	4.1378	1.5477	3.517	5.196	2.6213	0.81572
RS_G8221__CDH11__CDH11	7.5458	5.7918	0.79052	0.19957	1.1551	8.6171	1.5558	0	0.087234	5.8768	8.8783	0.1995	0.15665	0.46098	2.9491	6.0302	4.7511	2.1427	5.2153	0.78652	7.7193	0.25584	0	0.078446	7.6977	0.12672	0	0	6.0073	0.74857	1.9015	0	0	0	0.55314	0.40122	0
RS_G2877__XYLT1__XYLT1	2.0466	3.5542	2.0844	5.3814	2.4407	0	0	0.54685	2.0168	0	4.3641	0.50241	0.97748	5.7699	1.0611	4.0689	2.9429	0	0.084142	2.9742	6.5261	5.6248	3.5265	3.3908	0	2.621	0.37812	5.1266	7.6523	3.9492	2.7842	1.0292	1.651	2.5806	4.1291	2.3564	1.7844
SNP__ADCY8	0.387	-2.835	0.03	-0.538	0.462	0.56	0.675	-0.144	0.019	0.657	-4.101	-0.212	0.924	0.583	0.726	0.809	1.565	0.981	0.755	0.486	0.681	0.276	0.212	0.457	0.171	0.433	0.397	-0.599	0.633	0.206	0.75	-0.4	0.69	0.319	-2.892	0.234	0.326
RS_G1374__ACACB__ACACB	3.4337	1.9184	3.908	5.2688	3.2278	2.2539	6.1215	2.531	3.9721	0.62692	2.9029	4.272	2.6055	2.7762	2.8917	3.4241	2.2371	2.6825	3.9113	0	2.0041	3.0848	5.2458	6.5934	3.3443	3.3371	4.1871	3.6865	4.39	4.4947	2.4266	3.4655	4.0283	3.3294	5.1162	5.1677	2.0258
RS_G463__VIM__VIM	11.1685	10.8511	2.9652	2.2052	5.3309	13.722	3.764	1.0573	3.9392	13.663	13.843	4.156	0	10.3261	6.4127	8.4787	10.5793	11.7234	13.9024	10.1043	15.089	7.3923	6.8882	3.1521	13.7198	1.8929	3.5908	2.3972	16.3769	9.8039	3.625	11.237	3.9594	5.7587	8.8159	3.9298	0.37376
RS_G8399__COL6A2__COL6A2	5.486	4.8326	0.09725	1.2175	2.8781	7.9295	1.5704	2.9326	5.3236	9.9917	10.7921	0.12627	1.3977	8.5995	6.9876	7.7184	3.3578	4.7661	10.2763	0.66729	13.2127	11.1192	4.7809	5.0646	6.3192	4.4906	0.84685	0.54742	9.0792	8.6458	5.6524	9.1203	0.74141	3.3194	4.0451	2.3452	6.8501
RS_G5426__PLAU__PLAU	9.7153	7.9128	4.9652	0.36757	1.2876	9.0614	0.22386	2.8974	6.3632	9.1713	2.5209	1.9585	3.1838	1.0194	9.2365	7.5055	2.119	3.1276	9.1874	5.9535	8.605	10.6521	4.6866	2.3653	10.184	2.873	1.8798	3.0319	11.8438	4.8632	4.4882	6.6779	1.2837	2.4118	5.7631	0	0.16276
RS_G16371__NOG__NOG	5.8077	5.3096	1.0519	0	2.2697	2.4767	0.38977	0.40395	0	5.9809	0.41694	0	0	5.9691	2.4824	4.4078	2.8449	1.7954	0.37246	0	1.2498	7.3782	2.0981	0.67981	4.0505	0.28562	0	0	4.5948	2.2238	1.4442	5.7748	2.1665	0	0.68639	1.1986	0
RS_G10165__DEPDC6__DEPDC6	3.2407	3.9676	5.8259	6.1946	7.7825	2.4574	5.8304	5.6967	5.2343	3.868	5.2335	6.7933	6.4623	4.9882	0.51319	3.5353	4.7511	3.252	2.4528	5.9295	7.3951	2.598	4.8614	6.0803	1.9036	6.7617	6.0819	5.9379	4.7027	3.6608	8.5343	2.335	3.9324	5.5378	6.7571	6.0442	4.9031
RS_G5128__C6orf97__C6orf97	0.12251	0.049394	3.1578	0	5.1411	0	4.1221	0.58995	0.31412	0	0.32115	5.2392	6.3162	4.2969	0.082714	0.15617	0.095144	0	0	0.33528	0.36194	0.10561	6.6388	6.3693	0.048768	4.0578	0.26259	0	0.26705	0	0	0.29656	0	4.7903	4.3059	5.6965	4.9746
RS_G1887__ARHGAP4__ARHGAP4	2.2339	1.9831	4.1786	3.0121	1.9665	1.9084	2.7376	3.2711	5.2669	1.9753	1.4454	1.9656	6.1295	2.5424	1.2974	1.0461	1.8831	1.9435	1.0348	1.9753	1.5813	3.1155	6.2534	4.0368	1.1546	3.2345	4.0066	2.8494	9.6532	5.0163	4.6067	3.4539	3.2018	6.2045	5.5849	8.5811	8.4355
RS_G18635__AL390294.19__AL390294.19	0.27543	0.76309	3.2266	0	0.25251	0	2.0959	0.5466	1.1092	0.18879	0	1.4648	4.1179	0.62467	0.76578	0.95932	1.0309	0.61877	0.66985	2.2412	0.37138	0.68282	7.1617	6.5877	0.21678	5.6484	7.8851	1.0982	0.40247	3.0376	0.13339	0.49741	4.3264	8.3645	2.7329	3.6191	5.5031
SNP__LOC645280	0.215	-0.12	-0.014	-0.082	-0.134	-0.12	0.05	-0.351	-0.312	-2.895	-0.288	-0.012	-0.384	0.122	-0.092	0.026	0.799	0.217	0.746	-4.462	0.157	-0.305	-0.404	-0.139	-0.122	0.062	0.328	-0.202	0.226	-0.148	0.227	0.174	-0.31	-0.302	0.343	-4.17	-3.988
RS_G18078__SH2D5__SH2D5	3.7713	3.2281	0.21811	2.3234	1.2762	5.7967	1.1809	0.94973	1.7013	4.2305	4.8873	0.91539	1.4472	5.1697	7.1606	4.7174	0.25198	3.3957	4.006	0.24591	5.9778	5.1107	3.6847	1.5134	4.9347	1.5129	0.72962	0	8.9352	3.609	0.23661	3.6942	0.88422	0.72472	1.7876	0.20018	0.38111
RS_G7887__RASGEF1B__RASGEF1B	1.2787	0.81898	4.5234	3.0685	3.1092	0	2.6887	2.5545	2.8367	2.0377	3.4467	1.2394	0.30568	7.4825	0	2.1076	3.6157	4.0506	0	6.5017	0	0	0.4149	1.5545	0.56239	1.9391	0.94464	3.8842	4.0339	2.498	5.1872	0	4.6456	1.7787	2.0873	2.8939	2.4747
RS_G6637__RARA__RARA	6.3926	5.9512	7.4958	9.1151	6.2662	5.5867	8.6755	9.8928	7.8818	5.3	5.5698	6.1388	8.1484	6.2953	6.0039	5.8682	7.1367	6.4304	5.9595	5.8703	6.0758	6.1011	9.2031	7.118	5.7313	7.2389	5.8846	8.386	6.6856	6.8134	7.2525	7.9308	6.8151	8.3269	12.7129	8.5605	8.8544
RS_G31237__RP11-314P12.3__RP11-314P12.3	6.3514	3.2052	5.1108	4.7786	1.0891	3.0541	0.76693	2.9138	4.1512	9.1926	1.5589	0.43528	2.6438	0.38715	8.2861	8.0064	7.3593	6.2174	5.1254	2.5452	4.2085	9.4323	1.007	1.237	3.9704	1.091	0	1.4768	1.1666	6.063	0.66767	7.9529	2.0039	0	0.9313	0	0.58419
RS_G5529__G0S2__G0S2	9.1609	9.4209	1.0387	0.48117	0	0	0	0	3.1158	0	0	0	1.1623	5.0443	8.9996	2.0382	0	0	2.0825	2.064	7.3596	8.1916	2.6929	0	8.7926	1.026	0	0	0	10.221	2.8424	3.4734	0	1.347	0.37622	0	0
RS_G1549__CXCL2__CXCL2	6.0939	6.2464	1.752	0.18961	0	4.0403	0	0	0.43247	5.83	1.9456	0	0	4.4953	4.3472	4.7998	3.8698	3.6235	6.7278	6.0653	3.0576	2.2379	0.81868	0	4.3547	0.28933	0	0	7.1501	8.0091	2.5623	2.3165	0	0.92949	0	0	0
RS_G7939__LL22NC03-75B3.6__LL22NC03-75B3.6	0.69323	2.1174	2.4782	0.1394	0.49211	4.5176	0.15466	0.1654	0.21162	4.1286	7.2692	0.15764	0.053937	1.2511	3.8732	4.4105	0.61415	3.9325	6.1773	0.071757	8.1771	2.6489	0.83738	0	2.2202	0.76908	0.13865	0.10411	3.9719	0	4.6122	1.4349	0.63433	0.25885	0.50332	0.21832	0.31876
SNP__FHIT	-0.896	-0.907	0.008	-0.512	-0.527	-1.144	-0.552	-0.5	-0.205	-0.124	-0.319	0.088	-3.014	-0.436	-2.443	-0.429	-0.127	-1.066	-0.422	-0.748	0.159	-1.689	-0.429	-0.566	-0.584	-0.186	-0.058	-0.613	-0.183	0.859	-0.361	-2.101	0.266	-0.31	-0.272	-0.059	-0.371
RS_G14859__SAMD9L__SAMD9L	0.17707	0.1482	3.4575	0.067225	0	0.21202	0.077493	1.8868	0.62359	0.12401	3.0939	0	2.5986	4.7979	3.7721	2.6339	3.1608	1.4255	2.658	6.9834	3.9452	0.053282	0	0	3.4066	0	0	0	0	0.41083	4.653	2.4155	3.3204	1.6339	0	0.10744	0.10906
