Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
RS_G10636__AC140077.17__AC140077.17	6.4734	6.1038	3.6772	4.9298	6.3114	4.3628	5.7212	10.4706	2.8701	3.3701	10.9558	5.729	6.1452	6.4867	6.0287	8.6229	7.1547	8.2138	2.1652	2.5573	6.7464	5.3674	4.1819	4.0261	2.353	10.1164	3.5703	2.1811	7.9831	3.5627	5.4752	4.4278	2.8825	4.7804	2.011
RS_G12225__A2ML1__A2ML1	0.55235	3.015	2.3348	1.6963	0.051186	0.20298	5.7466	0.4159	1.5662	4.2978	0.67252	2.6485	4.0087	2.6029	0.099228	1.1693	0.099944	0.059283	1.3786	1.1201	0.84535	0.083725	0.049173	1.9963	0.48814	5.6281	5.0462	0	3.9701	3.2228	0.36821	4.9828	0.50916	1.3113	0.21477
RS_G4157__PDE10A__PDE10A	0.24391	1.0968	0.56945	1.6686	0	1.8322	1.7856	3.8587	0	0	3.5858	0.49179	0.10121	0.86591	0	0.36315	4.6507	4.0025	0.18602	0.92933	6.2747	0.82034	4.6996	0.24783	0.22552	0.37536	0.35049	0	2.3777	0.35275	0	0	0	2.3037	1.2322
RS_G14281__AMZ1__AMZ1	4.3637	2.5402	1.9577	6.2024	0	0.80029	0.097203	0.82505	2.9497	7.2086	0.50476	4.8755	3.3	0.55233	2.0374	0.33663	2.2512	1.4567	6.0503	4.4576	5.0749	1.1402	0.26129	5.3051	0.82924	0.31317	1.2553	1.7794	3.5693	2.3375	1.8046	0.50673	7.1278	5.9031	2.0128
RS_G10899__PERLD1__PERLD1	7.7632	10.8788	10.843	8.1343	5.7015	7.023	5.4851	6.0545	11.6693	6.7597	1.9356	4.6347	4.808	11.5693	10.3273	7.3482	6.5941	5.8111	6.5555	5.7895	6.5318	7.7669	5.3794	9.638	8.0489	7.0386	10.3657	5.6013	6.5852	14.7454	6.0695	5.4877	7.267	7.3184	6.7812
RS_G8515__ITGA10__ITGA10	4.1452	0.76035	0.65051	0.33333	5.8977	1.2635	1.8495	4.6249	1.7218	1.7512	1.4994	0.777	0.30154	0.75963	0.96605	0.46709	1.37	5.1135	2.0192	0.73721	1.2263	3.4229	3.8615	2.5911	2.4997	2.4127	0	8.3908	1.0885	1.595	1.6635	7.8181	3.3096	1.1856	0.3426
RS_G2913__KIAA1199__KIAA1199	7.641	2.9944	1.7452	2.2245	8.7442	1.1372	1.3566	4.1092	1.6288	1.1836	1.0036	0.63034	1.6954	1.9755	0.43909	1.4692	3.9475	8.171	2.3433	3.1087	4.1294	3.0434	4.72	2.3213	0.96256	1.8888	0.42582	3.094	0.79594	1.1095	0.6955	2.814	1.156	0.37723	0.75076
RS_G1436__FAP__FAP	0	0	0	0.18706	0.18332	0.19117	0.94484	3.9543	0	0	0	0.83298	0.5157	4.0178	0	5.4188	3.9292	5.6902	0	0	0.72062	2.496	0	0	0	0	0	3.5532	5.4313	0	4.7177	0.20414	0	0	0
RS_G4436__CCL20__CCL20	1.9698	0	0	0	0.92801	0.95898	0.82603	1.8539	0.57533	0	9.1032	2.6324	1.6539	0.51556	0	6.5061	0.53131	0.60805	0	0	0	0.45769	0.90037	0	0	7.5608	0	0	6.4299	0.17882	3.4352	0	0	0	0
RS_G6440__COL5A1__COL5A1	3.8517	3.1224	0.40165	5.4151	10.1958	7.0167	4.1353	8.0257	0.059076	1.7108	0.44888	3.3905	6.243	6.8198	2.7499	5.9398	8.5532	9.4954	4.8717	3.0794	0.85124	2.9642	4.163	1.235	0.099041	1.25	0.20663	2.239	5.6444	4.0102	6.5509	4.9687	3.6637	2.6056	1.0735
RS_G6363__APOE__APOE	4.2881	4.7187	0	2.382	5.2995	1.3208	2.9543	2.0475	0.42935	4.4855	2.5012	5.566	3.0563	1.0451	3.614	1.0041	2.1619	4.6007	6.7091	5.158	1.0037	2.8448	2.0232	0.83225	1.4749	6.4436	4.0786	4.4021	3.4789	2.8382	8.3738	2.2518	10.4583	5.8134	0.56077
RS_G13489__LRRC8C__LRRC8C	2.418	1.5417	1.7488	2.4041	6.0762	1.4049	4.2775	5.247	3.3365	3.6831	5.1997	6.6789	3.9768	4.0136	3.0991	6.0583	4.9818	6.064	0.087916	2.0266	4.3586	2.1772	8.3452	1.0245	0.97754	5.5085	0	2.3141	2.6248	0.61749	3.3056	1.4293	1.3006	1.2874	1.824
RS_G4584__KYNU__KYNU	0.60489	4.1925	1.4848	1.7876	0	6.9957	1.0675	9.0447	1.4605	4.2133	3.9039	7.1549	4.0487	8.0346	4.4861	6.7536	0.39923	0.64089	6	9.3717	0.4213	5.9079	4.6446	2.6547	0.53147	6.3795	6.069	0	8.9084	4.1763	4.3763	5.0554	6.6215	4.0011	0.96745
RS_G9080__IGFBP3__IGFBP3	6.2987	3.3656	2.9054	5.2494	11.5393	1.034	12.0229	11.5965	1.9904	0.38514	2.9917	8.8113	10.5079	11.6002	3.293	10.8788	9.9252	9.3982	3.8586	4.4452	6.8854	9.9608	6.9804	4.4091	8.3923	8.5003	0.25393	4.3852	7.1035	6.5264	7.3456	7.1766	0.7413	2.4343	0.70512
RS_G2508__NTSR1__NTSR1	1.3246	5.0179	0.64197	1.934	0.12025	2.9231	0.62092	0.6549	0.13696	0.47215	0.11583	8.1986	1.0561	0	0	1.5179	0.82061	2.1817	5.7191	2.5628	0.13259	1.5976	0.99971	1.2335	0.22427	1.9421	0.88219	0.11781	3.3646	2.8194	0.28878	0.43836	0.075228	0.41548	0
RS_G2752__C13orf15__C13orf15	1.6778	0	0.2523	1.5405	1.0073	0	7.0141	5.6897	0	1.543	1.4384	2.3605	3.5916	1.9013	0	5.5066	1.8871	0.83926	0	0.42973	0.44241	2.8603	4.7928	0.80035	0	3.8145	0	0.40215	4.3445	2.1148	2.0999	2.9343	1.478	2.636	1.8022
RS_G463__VIM__VIM	2.9652	2.2052	5.3309	4.7875	13.722	3.764	13.663	13.843	4.156	0	10.3261	6.4127	8.4787	10.5793	0.47968	11.7234	13.9024	15.089	6.8882	3.1521	9.4838	11.1994	13.7198	1.8929	3.5908	12.9747	2.3972	16.3769	9.8039	3.625	11.237	3.9594	5.7587	3.9298	0.37376
RS_G12178__SERPINB7__SERPINB7	0.9442	0	0	0	5.6432	0	4.7067	3.7483	0	0	5.5995	5.3599	5.0834	3.2114	0	4.5919	3.2161	3.124	0	0	0.75502	3.0792	2.3119	0	0	9.9222	2.1682	0	4.6954	0.18709	3.6766	0.6301	0	0	0
RS_G16170__PCP4__PCP4	9.5795	2.6308	3.4364	5.2434	0	4.7144	0	1.3531	1.0717	2.5298	0	0	1.3561	0	7.0045	0.43605	0	0	4.5612	5.15	3.0122	4.0627	0	1.8418	0	0	7.0218	2.0636	0	1.9718	0	6.293	6.6928	1.5702	0
RS_G10326__NMNAT2__NMNAT2	6.6	0.30207	0.5195	4.1564	2.4102	0.093162	5.2476	3.0218	2.6025	1.3761	1.4049	3.0914	4.7602	1.6212	0.17633	4.0426	0.32631	4.3466	0.089314	0.54336	0.88415	4.3612	5.3772	2.181	0.62001	5.1991	1.6548	1.5533	4.0954	0.10382	0.6965	1.1755	4.3552	4.2739	1.8525
RS_G16369__FAM101B__FAM101B	2.9511	1.0265	1.5763	2.6268	9.3524	1.5603	6.5765	7.1081	2.1504	3.8254	6.532	4.3797	5.5651	3.7832	1.8953	4.0257	6.4778	8.5698	3.835	2.3843	1.8116	3.9783	0.79962	2.1654	1.441	6.3464	0.18891	6.972	2.6499	2.5583	4.7299	1.4567	2.4444	3.7364	5.4731
RS_G13984__TNFRSF10D__TNFRSF10D	0.47373	0	0	0	0.27889	0	7.3456	0.24361	0.43255	0.61535	3.624	5.9027	4.4719	4.3597	0	7.4006	7.5913	8.1692	0.93493	0.14914	0	4.7278	7.4603	0	0.13627	0.38305	0	6.4505	0	5.4051	5.1856	0.30762	0	4.0385	0.11014
RS_G18127__AKR1C3__AKR1C3	7.8865	3.0139	0	3.2792	1.3543	0	7.2095	11.8158	6.4508	2.379	1.5848	10.1685	6.4967	9.7433	0	9.7141	6.0956	4.3654	2.3442	4.7688	4.2381	5.4436	5.5606	5.2548	0.65854	6.5484	0	0	5.2862	10.6807	7.8458	3.9155	3.6783	3.7279	4.4293
