Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
Meth__cg07654934__LXN	0.28162	0.65417	0.89466	0.19624	0.48811	0.90713	0.062351	0.52011	0.052002	0.068215	0.52379	0.89896	0.067149	0.81605	0.34616	0.35237	0.049567	0.11277	0.069308	0.88067	0.065195	0.057981	0.47364	0.17951	0.081334	0.059394	0.86394	0.11847	0.26883	0.072095	0.86942	0.88333	0.89836	0.90891	0.83605	0.88144	0.87017
Meth__cg05868799__NCOA2	0.079954	0.75865	0.93402	0.58698	0.91121	0.7343	0.090865	0.62911	0.090849	0.20922	0.82488	0.068348	0.4846	0.8971	0.11329	0.3189	0.72122	0.16837	0.17148	0.41917	0.071568	0.15457	0.11733	0.67304	0.092832	0.151	0.21226	0.61627	0.081792	0.10336	0.91811	0.083618	0.31778	0.33495	0.1767	0.092082	0.14832
Meth__cg27519236__KIFC3	0.10299	0.91867	0.88716	0.71866	0.098568	0.032391	0.5963	0.065059	0.037754	0.037947	0.041388	0.049771	0.03909	0.91267	0.53276	0.06246	0.037426	0.029542	0.1546	0.036692	0.92174	0.89375	0.049547	0.10197	0.85888	0.084071	0.84109	0.43408	0.028421	0.02837	0.033542	0.9424	0.42552	0.94481	0.83829	0.92052	0.89771
Meth__cg03684977__GRB7	0.025921	0.019566	0.2033	0.042199	0.045407	0.9494	0.031885	0.88493	0.091285	0.15966	0.053698	0.022015	0.31861	0.18094	0.036198	0.16822	0.1049	0.9466	0.045443	0.91461	0.031285	0.067035	0.95438	0.8784	0.034811	0.072712	0.038093	0.038829	0.95271	0.032736	0.92172	0.29678	0.089341	0.025857	0.037357	0.028932	0.0395
Meth__cg01555431__AKAP12	0.85979	0.13082	0.90437	0.62169	0.062559	0.78183	0.8872	0.048574	0.29257	0.082846	0.092812	0.23604	0.066862	0.62416	0.20205	0.10368	0.062353	0.074953	0.25497	0.13808	0.88649	0.88202	0.09297	0.85168	0.85804	0.13139	0.85312	0.14228	0.071943	0.081843	0.085334	0.060199	0.095057	0.87831	0.44924	0.082408	0.092129
Meth__cg07900766__SPAG16	0.88166	0.056724	0.077418	0.19163	0.049002	0.062219	0.07194	0.084436	0.65852	0.84278	0.044503	0.053545	0.16198	0.25261	0.39889	0.80949	0.074854	0.043707	0.083797	0.33036	0.84426	0.84185	0.059393	0.13106	0.0543	0.12415	0.08891	0.07287	0.048933	0.072134	0.061374	0.8055	0.03722	0.049005	0.15479	0.39881	0.38079
Meth__cg13337865__TEKT1	0.061476	0.047768	0.52114	0.29855	0.093546	0.83946	0.10323	0.88089	0.62267	0.47426	0.052388	0.53193	0.68235	0.15611	0.50813	0.34826	0.6712	0.3694	0.17723	0.21255	0.071258	0.057808	0.27141	0.82381	0.087397	0.068968	0.67945	0.085915	0.049551	0.074002	0.83578	0.65618	0.081574	0.56795	0.048207	0.056362	0.070205
Meth__cg13591701__FAM20A	0.96324	0.17296	0.8442	0.27756	0.12055	0.81983	0.95241	0.44745	0.48299	0.13352	0.16112	0.33941	0.18522	0.82521	0.34737	0.144	0.13365	0.15926	0.12747	0.16887	0.97056	0.95975	0.1581	0.58368	0.70383	0.25125	0.93867	0.13267	0.15282	0.15016	0.12757	0.11069	0.153	0.94461	0.58372	0.47056	0.29861
Meth__cg06866862__ZNF512	0.1001	0.057848	0.14138	0.13007	0.06532	0.068626	0.10622	0.092979	0.79125	0.12653	0.078316	0.94627	0.05762	0.8994	0.17223	0.11476	0.082323	0.076923	0.092533	0.049788	0.41375	0.20267	0.48442	0.13645	0.1692	0.17076	0.1438	0.10634	0.069856	0.088835	0.18236	0.37595	0.071919	0.90501	0.13683	0.3284	0.2326
Meth__cg18959478__PRKCDBP	0.80778	0.063788	0.08549	0.91341	0.89836	0.49882	0.89536	0.043815	0.073632	0.15757	0.87039	0.063649	0.05427	0.87971	0.098556	0.12864	0.061776	0.061517	0.099365	0.058532	0.91957	0.88515	0.1674	0.064625	0.86319	0.083086	0.80485	0.098406	0.061983	0.060949	0.05108	0.87469	0.068519	0.87397	0.7166	0.6306	0.83564
Meth__cg23037133__OXGR1	0.076848	0.097075	0.57171	0.35559	0.080085	0.49557	0.10015	0.52023	0.39808	0.065863	0.067933	0.079471	0.29111	0.84642	0.075935	0.08382	0.87757	0.14008	0.15552	0.070799	0.071469	0.068774	0.3135	0.88937	0.075605	0.11918	0.095661	0.087628	0.07988	0.50485	0.13518	0.078424	0.077087	0.34081	0.11014	0.070217	0.74935
Meth__cg20881054__VASH1	0.12071	0.31143	0.41421	0.17069	0.095339	0.16707	0.73786	0.10265	0.18168	0.024095	0.047555	0.075942	0.037927	0.61448	0.67126	0.031606	0.064587	0.062105	0.27071	0.035117	0.91908	0.65915	0.071188	0.84592	0.41229	0.076941	0.92224	0.10858	0.034965	0.041919	0.044091	0.11923	0.47081	0.43181	0.053937	0.12155	0.15701
Meth__cg19939627__MRPS34	0.13241	0.17212	0.16366	0.12294	0.038968	0.04973	0.09868	0.044636	0.87349	0.069173	0.091245	0.13636	0.092071	0.13866	0.040703	0.069118	0.051705	0.10603	0.1486	0.040702	0.070481	0.18522	0.12651	0.12021	0.11201	0.10531	0.21764	0.11088	0.050806	0.050021	0.042393	0.051021	0.04868	0.046656	0.10436	0.069293	0.067759
Meth__cg13364756__CYP3A43	0.12757	0.097206	0.29339	0.091689	0.074797	0.5311	0.077266	0.79517	0.8769	0.41225	0.11451	0.82936	0.57974	0.2244	0.051109	0.30985	0.75644	0.86855	0.20715	0.10381	0.045643	0.069488	0.33434	0.56504	0.10577	0.13151	0.18144	0.19843	0.86696	0.49968	0.16554	0.56541	0.072591	0.25519	0.19342	0.088645	0.094356
Meth__cg10057295__STK24	0.062993	0.78806	0.17506	0.66259	0.54615	0.14506	0.41137	0.049188	0.6765	0.075259	0.70848	0.061627	0.10627	0.26882	0.62953	0.096301	0.35789	0.048721	0.064289	0.42148	0.21592	0.82682	0.18231	0.099047	0.20564	0.094688	0.79955	0.62679	0.047715	0.051583	0.077137	0.083235	0.12032	0.042638	0.054518	0.094154	0.28111
Meth__cg03161839__ARHGEF1	0.029776	0.029312	0.21654	0.042661	0.30068	0.092332	0.067432	0.037108	0.44848	0.031873	0.043526	0.033575	0.05344	0.041053	0.025391	0.032322	0.13803	0.04688	0.10158	0.0308	0.031652	0.034415	0.038344	0.045608	0.1031	0.04455	0.061168	0.042493	0.0426	0.035414	0.031133	0.43437	0.039162	0.041321	0.071793	0.030918	0.059095
Meth__cg16504798__MYO1F	0.12611	0.71845	0.23167	0.15791	0.17267	0.51247	0.346	0.33632	0.80888	0.035861	0.092889	0.15055	0.60817	0.52796	0.066877	0.042292	0.30949	0.2557	0.089912	0.034403	0.63331	0.6592	0.748	0.46723	0.64124	0.14556	0.34618	0.4146	0.035864	0.041952	0.068864	0.76835	0.072989	0.62575	0.15933	0.15913	0.28355
Meth__cg07671949__ESR1	0.087171	0.10258	0.90063	0.11318	0.11469	0.69243	0.12777	0.71637	0.88143	0.084904	0.098113	0.89562	0.32943	0.7984	0.35407	0.12529	0.84228	0.90742	0.37754	0.3254	0.2919	0.11241	0.67899	0.77484	0.096199	0.25629	0.2133	0.14419	0.6613	0.69628	0.88281	0.82059	0.16406	0.8234	0.21826	0.53734	0.35653
Meth__cg05428978__CDCA7	0.026622	0.019869	0.034106	0.023501	0.020492	0.023202	0.035263	0.026864	0.033876	0.025607	0.028696	0.026232	0.074813	0.043221	0.043565	0.024832	0.025461	0.022094	0.050775	0.030898	0.63199	0.41873	0.019679	0.055343	0.21545	0.039673	0.040179	0.042627	0.022606	0.016504	0.021857	0.021739	0.019122	0.01697	0.43907	0.4236	0.032318
Meth__cg15001381__AXIN1	0.053941	0.049335	0.41116	0.46053	0.050562	0.20489	0.058148	0.4938	0.087644	0.057669	0.37402	0.045724	0.073331	0.26039	0.050781	0.068219	0.059351	0.85636	0.085569	0.86233	0.038586	0.05818	0.053827	0.25955	0.06004	0.12188	0.091867	0.11915	0.072816	0.045538	0.051035	0.043742	0.051388	0.069503	0.13326	0.038346	0.05354
Meth__cg06952236__RASGRP1	0.045912	0.028653	0.064388	0.062049	0.058521	0.052579	0.045622	0.19622	0.034723	0.044698	0.057618	0.039315	0.036958	0.10128	0.034401	0.0393	0.056601	0.060256	0.080635	0.051868	0.047968	0.033446	0.040555	0.082157	0.055249	0.048654	0.05833	0.080435	0.039478	0.051613	0.042891	0.052895	0.038335	0.054398	0.12013	0.052235	0.051401
Meth__cg26363196__ST6GALNAC3	0.5464	0.1073	0.81785	0.57213	0.69168	0.098884	0.81136	0.034071	0.2203	0.096126	0.089716	0.082186	0.19372	0.62337	0.76835	0.094742	0.50492	0.075792	0.45659	0.091922	0.8251	0.80588	0.10792	0.61396	0.80448	0.28573	0.79127	0.11082	0.20089	0.093981	0.061878	0.53811	0.57637	0.62514	0.23406	0.81526	0.79825
Meth__cg09045681__TCF19	0.24851	0.21336	0.8236	0.95437	0.86156	0.24607	0.84454	0.13793	0.067063	0.9305	0.8799	0.095432	0.94513	0.64136	0.81622	0.89156	0.065584	0.047587	0.12895	0.04877	0.93211	0.9108	0.082328	0.057589	0.69016	0.079724	0.073402	0.34174	0.045522	0.037704	0.06237	0.87199	0.11443	0.046234	0.18282	0.41833	0.22328
Meth__cg08296824__OSBPL3	0.059198	0.072006	0.07041	0.38759	0.057762	0.054956	0.58115	0.039791	0.053581	0.055152	0.059854	0.049535	0.03295	0.068639	0.27268	0.062568	0.053468	0.057462	0.096723	0.052325	0.63634	0.39058	0.060407	0.10572	0.068429	0.10274	0.10265	0.083671	0.051688	0.05802	0.06219	0.056839	0.061716	0.056051	0.081385	0.060543	0.065587
Meth__cg06284244__YES1	0.034375	0.036432	0.045707	0.36709	0.098384	0.17488	0.051035	0.32056	0.040193	0.05833	0.049049	0.041298	0.11014	0.060382	0.10945	0.070032	0.080715	0.066159	0.087729	0.03327	0.037953	0.043939	0.039004	0.27204	0.05511	0.074011	0.073943	0.045776	0.030934	0.027105	0.063047	0.11671	0.033647	0.034122	0.067576	0.045235	0.21098
Meth__cg06668073__C20orf42	0.90337	0.23621	0.071409	0.11402	0.16595	0.35316	0.59099	0.075613	0.029798	0.10216	0.11498	0.069126	0.068892	0.21828	0.084016	0.12421	0.075404	0.050772	0.093868	0.054367	0.38659	0.16042	0.25111	0.078561	0.094229	0.22968	0.71898	0.12871	0.1113	0.052595	0.064689	0.15338	0.078411	0.62276	0.1239	0.12292	0.10998
Meth__cg11371394__TGFBRAP1	0.21282	0.29094	0.19644	0.17489	0.13506	0.07401	0.13518	0.40539	0.87266	0.16547	0.095182	0.14945	0.11114	0.11551	0.064398	0.1513	0.083066	0.10158	0.16772	0.073544	0.16837	0.16078	0.39653	0.1181	0.11324	0.10031	0.33247	0.20006	0.06524	0.071573	0.11625	0.078867	0.060078	0.056359	0.15254	0.075212	0.085977
Meth__cg08847533__NEK9	0.025095	0.97355	0.053024	0.097817	0.062106	0.61219	0.040339	0.70898	0.14123	0.82547	0.051882	0.96639	0.052755	0.58694	0.95432	0.61437	0.035929	0.038529	0.057816	0.035246	0.86341	0.96409	0.92965	0.10087	0.035331	0.095965	0.082788	0.17685	0.039006	0.029032	0.034082	0.97507	0.031544	0.046199	0.076486	0.19874	0.040808
Meth__cg22307908__ZNF264	0.047471	0.03154	0.037351	0.033727	0.034736	0.032296	0.055505	0.040741	0.032747	0.036389	0.042542	0.044712	0.038848	0.38389	0.49821	0.039228	0.044361	0.032251	0.07455	0.045038	0.26962	0.32206	0.052636	0.076972	0.039231	0.035779	0.066996	0.074032	0.031939	0.02964	0.040245	0.039189	0.02922	0.033194	0.071199	0.043775	0.04509
Meth__cg19968631__GLRA3	0.048604	0.043581	0.79821	0.43568	0.037797	0.44483	0.052862	0.15667	0.91697	0.070087	0.063446	0.33397	0.078334	0.55457	0.029296	0.17221	0.089614	0.11367	0.16659	0.73828	0.053003	0.050881	0.052675	0.089064	0.049878	0.064258	0.86213	0.060074	0.081425	0.39561	0.39209	0.042402	0.027202	0.9283	0.053786	0.27789	0.2635
Meth__cg23512958__IL7	0.067982	0.015909	0.2622	0.042733	0.029685	0.83518	0.033732	0.17069	0.021748	0.050973	0.040335	0.043478	0.097561	0.055784	0.025268	0.034424	0.65462	0.026045	0.092896	0.032584	0.13289	0.04044	0.043107	0.097197	0.030017	0.19708	0.11747	0.037151	0.05233	0.045795	0.062451	0.04787	0.024882	0.53589	0.11425	0.047382	0.051974
Meth__cg15572787__RTDR1	0.031867	0.025735	0.061297	0.035472	0.031032	0.95346	0.029957	0.5326	0.025965	0.027903	0.038486	0.10515	0.33155	0.41423	0.020937	0.036642	0.12852	0.0809	0.05818	0.051847	0.033938	0.058088	0.073114	0.061173	0.037643	0.047733	0.054608	0.073011	0.027211	0.033738	0.030244	0.040834	0.03556	0.21142	0.069988	0.047616	0.17593
Meth__cg25903497__TMBIM1	0.030789	0.043587	0.032583	0.46013	0.024772	0.032991	0.03177	0.044051	0.036011	0.2879	0.037958	0.029433	0.045827	0.065279	0.67156	0.42427	0.029681	0.026454	0.079587	0.026983	0.98126	0.9723	0.038021	0.074249	0.036508	0.044953	0.70521	0.11217	0.029715	0.030727	0.029772	0.030998	0.030242	0.028102	0.086848	0.035762	0.043336
Meth__cg03455458__FLJ12505	0.4147	0.022171	0.81798	0.19567	0.060059	0.03182	0.53097	0.10711	0.68737	0.0352	0.67364	0.037656	0.08867	0.3301	0.42683	0.031937	0.029256	0.023539	0.049138	0.022559	0.93048	0.93383	0.075717	0.72041	0.39245	0.030438	0.78048	0.045699	0.027309	0.028964	0.023832	0.029822	0.02553	0.33802	0.3818	0.48024	0.49583
Meth__cg18438777__NPY5R	0.081096	0.06338	0.95206	0.090512	0.061976	0.94828	0.081732	0.31875	0.57769	0.09318	0.081984	0.43225	0.11103	0.874	0.049485	0.07028	0.93915	0.072482	0.17475	0.80043	0.039916	0.070721	0.069334	0.88429	0.064456	0.10398	0.60955	0.096957	0.051811	0.03945	0.71751	0.17688	0.057828	0.94073	0.13862	0.0608	0.057437
Meth__cg02870945__REEP1	0.021888	0.027956	0.25028	0.027579	0.027037	0.65465	0.030451	0.29679	0.087008	0.027125	0.021208	0.46218	0.057462	0.098518	0.03032	0.027262	0.31351	0.043067	0.06202	0.46782	0.023183	0.024049	0.1736	0.68671	0.020261	0.027954	0.035977	0.040657	0.033393	0.035222	0.052399	0.02048	0.028002	0.13288	0.084914	0.032288	0.036513
Meth__cg10061117__SORL1	0.016696	0.013689	0.74631	0.021845	0.02058	0.44619	0.021847	0.47707	0.023665	0.01197	0.018013	0.081166	0.15029	0.11838	0.018924	0.01507	0.08672	0.042547	0.2004	0.01206	0.052458	0.059021	0.033392	0.83941	0.011425	0.038462	0.053218	0.020979	0.024111	0.22595	0.029946	0.23923	0.014094	0.01447	0.022636	0.01898	0.031188
Meth__cg04981414__POMT1	0.066015	0.055713	0.91839	0.045001	0.060533	0.033255	0.073624	0.10289	0.028208	0.038658	0.038381	0.053935	0.34071	0.08055	0.034878	0.27181	0.063082	0.034292	0.096239	0.067654	0.049546	0.058804	0.076159	0.093473	0.051315	0.092961	0.12238	0.056504	0.069866	0.040255	0.049775	0.12224	0.78253	0.052474	0.11788	0.057357	0.073698
Meth__cg24085207__FLJ32065	0.037443	0.019615	0.056145	0.089346	0.035529	0.45836	0.040036	0.26005	0.028684	0.26226	0.040406	0.037523	0.15214	0.14323	0.050209	0.1822	0.81289	0.081332	0.10212	0.031503	0.019926	0.025691	0.044022	0.058004	0.027901	0.067996	0.054471	0.058713	0.055118	0.029847	0.07792	0.23842	0.027184	0.036967	0.091033	0.038544	0.028508
Meth__cg11290225__KIFC2	0.048408	0.060785	0.12296	0.05349	0.043494	0.15557	0.062983	0.085016	0.054476	0.040027	0.056977	0.062114	0.15846	0.070515	0.041566	0.059301	0.068292	0.090054	0.13942	0.25664	0.044343	0.058374	0.43829	0.084896	0.048852	0.054712	0.12934	0.075581	0.3163	0.050335	0.21842	0.050168	0.054251	0.04105	0.10904	0.045297	0.04944
Meth__cg04418492__CYP7B1	0.77473	0.19151	0.92586	0.96238	0.22537	0.57506	0.91716	0.1074	0.17146	0.015501	0.023448	0.013628	0.018588	0.87847	0.68363	0.39395	0.02029	0.018827	0.026935	0.020835	0.24086	0.42752	0.32204	0.51616	0.59832	0.06304	0.90631	0.42705	0.022054	0.017605	0.17119	0.049885	0.053658	0.46885	0.21157	0.46571	0.47913
Meth__cg25724441__KCNJ2	0.86973	0.040716	0.66379	0.44238	0.34906	0.043877	0.84907	0.01649	0.077946	0.031177	0.068456	0.049976	0.038528	0.29628	0.47632	0.038789	0.037469	0.039789	0.071695	0.034823	0.71815	0.56338	0.10523	0.87907	0.62038	0.40324	0.79143	0.072477	0.061517	0.039553	0.043264	0.033625	0.036865	0.78267	0.43868	0.41634	0.046457
Meth__cg01437411__ATN1	0.24294	0.20949	0.81932	0.61202	0.55208	0.21421	0.53664	0.16744	0.29446	0.094225	0.30899	0.032166	0.17033	0.67576	0.17507	0.15518	0.12493	0.13705	0.1597	0.044494	0.31951	0.63497	0.1277	0.085985	0.71026	0.26763	0.13082	0.57682	0.03832	0.059741	0.059684	0.38905	0.3921	0.66095	0.079473	0.10251	0.066446
Meth__cg19001226__HOXD1	0.53701	0.020567	0.90789	0.028277	0.030711	0.86807	0.56394	0.039864	0.46268	0.042504	0.033147	0.027117	0.023401	0.04795	0.037654	0.035361	0.041945	0.022559	0.043557	0.029642	0.59533	0.58376	0.026995	0.04666	0.03785	0.055731	0.38796	0.038594	0.032559	0.026746	0.032848	0.02254	0.026648	0.017804	0.040987	0.041984	0.025239
Meth__cg24262469__TIPARP	0.11959	0.080182	0.68105	0.17654	0.22471	0.35652	0.10936	0.57158	0.1131	0.1382	0.099487	0.12877	0.66814	0.10193	0.03931	0.13066	0.11335	0.10668	0.10777	0.27078	0.12296	0.075863	0.13476	0.26542	0.083076	0.11029	0.13598	0.16137	0.062443	0.050334	0.29223	0.25586	0.077496	0.17879	0.12151	0.22713	0.2947
Meth__cg18489434__VASH1	0.02591	0.062511	0.32793	0.03072	0.019924	0.04804	0.91829	0.023013	0.017826	0.020009	0.019703	0.025068	0.023749	0.8641	0.89591	0.013975	0.018211	0.010102	0.06052	0.019013	0.9583	0.64823	0.021631	0.90165	0.26311	0.050081	0.93095	0.03111	0.014456	0.017027	0.011484	0.030802	0.42075	0.30975	0.042539	0.03902	0.02921
Meth__cg19166875__FER1L3	0.080084	0.097339	0.10797	0.091415	0.066125	0.066067	0.097069	0.087274	0.059509	0.087692	0.091879	0.10485	0.10523	0.11368	0.064255	0.10787	0.10626	0.070774	0.1729	0.085225	0.069059	0.071687	0.071024	0.15748	0.06841	0.12703	0.15418	0.17905	0.077016	0.083723	0.085318	0.86154	0.072686	0.071975	0.18069	0.07158	0.093778
Meth__cg06677140__MSX1	0.090008	0.070709	0.929	0.42789	0.64942	0.053606	0.83146	0.023695	0.87344	0.16341	0.094186	0.072578	0.30675	0.85758	0.90007	0.5827	0.84751	0.076985	0.11198	0.30311	0.73661	0.72921	0.14692	0.89826	0.5848	0.11486	0.86694	0.085137	0.036591	0.038725	0.03777	0.062238	0.052736	0.11774	0.047651	0.51565	0.32457
Meth__cg11065385__B4GALNT3	0.021913	0.042264	0.90718	0.086399	0.033125	0.95205	0.028177	0.47953	0.045366	0.024061	0.023575	0.030575	0.061224	0.18053	0.049509	0.029743	0.074944	0.078844	0.043921	0.35204	0.041028	0.054018	0.039235	0.84555	0.047002	0.037733	0.083704	0.066879	0.03715	0.17562	0.28008	0.017907	0.049014	0.27106	0.050144	0.039722	0.28333
Meth__cg12108912__MGC10993	0.11655	0.095044	0.1241	0.1282	0.092884	0.86415	0.12486	0.73319	0.85873	0.59936	0.10685	0.66053	0.61235	0.296	0.28599	0.45161	0.85405	0.89793	0.28052	0.78285	0.078471	0.083123	0.31159	0.79091	0.1338	0.20445	0.17964	0.12073	0.41155	0.84576	0.79788	0.32434	0.10826	0.11566	0.18805	0.11306	0.12503
Meth__cg27126442__FLJ20184	0.081941	0.066341	0.17098	0.084869	0.053488	0.80101	0.073547	0.12791	0.095299	0.13611	0.062922	0.57705	0.081641	0.12647	0.054059	0.13255	0.089744	0.85559	0.12773	0.39584	0.067985	0.086515	0.80539	0.74841	0.058101	0.21432	0.10521	0.084814	0.76319	0.10908	0.56547	0.077417	0.066278	0.086997	0.23375	0.072746	0.077057
Meth__cg16884042__SGPP2	0.10251	0.091329	0.28336	0.12905	0.15276	0.9489	0.26943	0.77036	0.082808	0.09605	0.15078	0.93021	0.14003	0.57382	0.08238	0.10449	0.093639	0.20325	0.29968	0.12457	0.092922	0.088755	0.19669	0.91361	0.11474	0.14665	0.39113	0.14455	0.093266	0.052353	0.20329	0.090909	0.067746	0.52186	0.21204	0.116	0.12476
Meth__cg06850526__MGC15523	0.067797	0.075712	0.19615	0.096842	0.092101	0.87227	0.060445	0.76934	0.056349	0.33919	0.078976	0.117	0.71953	0.38465	0.033532	0.21604	0.31351	0.19648	0.1299	0.90819	0.047805	0.12046	0.94745	0.17402	0.061937	0.12681	0.11865	0.088441	0.26392	0.052686	0.28293	0.59904	0.052057	0.66482	0.16467	0.073901	0.035999
Meth__cg13765785__SCN3B	0.89892	0.12824	0.19658	0.61181	0.098868	0.82963	0.82203	0.056813	0.53261	0.42545	0.121	0.73936	0.17129	0.17427	0.091211	0.33211	0.11728	0.45274	0.1343	0.25719	0.87833	0.88038	0.15386	0.80561	0.81554	0.18991	0.49012	0.15432	0.10611	0.12599	0.17136	0.10558	0.1155	0.090089	0.5102	0.25977	0.11249
Meth__cg04504095__FOXC1	0.082977	0.072987	0.093016	0.0747	0.08761	0.062198	0.36718	0.026005	0.031878	0.065016	0.098862	0.076941	0.01757	0.14191	0.21544	0.070081	0.019663	0.041055	0.076421	0.019913	0.077956	0.10628	0.033033	0.10693	0.11903	0.12863	0.20085	0.13765	0.02552	0.018537	0.020172	0.032413	0.11818	0.086212	0.11467	0.1291	0.17282
Meth__cg19560758__ERRFI1	0.46231	0.075579	0.096564	0.062539	0.040081	0.028157	0.085839	0.031214	0.082903	0.036997	0.02671	0.093176	0.042794	0.1059	0.013774	0.042048	0.030502	0.067348	0.11081	0.016825	0.026841	0.094741	0.35287	0.06316	0.083627	0.0427	0.15746	0.12216	0.032471	0.02607	0.034245	0.023832	0.020333	0.02382	0.089351	0.048382	0.07109
SNP__DMBT1	0.014	-0.15	-0.868	-3.561	-0.116	-0.159	-0.167	-0.068	-0.078	-0.204	-0.008	-0.386	0.4	-0.208	-0.224	-0.264	-0.305	-0.408	-0.268	-0.603	0.022	0.108	-0.167	-0.224	0.032	0.319	-0.043	-0.202	0.142	-0.198	0.033	0.008	-4.07	-0.254	-0.304	0.118	-0.366
Meth__cg15319457__HES6	0.17235	0.033993	0.90556	0.038572	0.032747	0.21981	0.043817	0.44876	0.036559	0.025841	0.20937	0.58979	0.052678	0.12822	0.029342	0.035969	0.036226	0.028412	0.08132	0.889	0.035348	0.033422	0.04328	0.79387	0.034892	0.38798	0.13554	0.083594	0.10981	0.02323	0.043327	0.021265	0.024843	0.56169	0.10755	0.031623	0.057088
Meth__cg17749443__ZFP37	0.71083	0.021507	0.028475	0.97393	0.018479	0.019686	0.6997	0.42758	0.02128	0.023233	0.026442	0.024116	0.015272	0.74645	0.74024	0.27067	0.032156	0.0207	0.055728	0.024789	0.91971	0.62849	0.026189	0.4551	0.44766	0.031776	0.072778	0.037789	0.028431	0.028122	0.030686	0.13421	0.020543	0.31613	0.046866	0.52598	0.14375
Meth__cg24633648__MTAC2D1	0.075676	0.040389	0.085463	0.06376	0.11797	0.69412	0.094272	0.48834	0.04142	0.090659	0.083461	0.1257	0.070099	0.11696	0.053223	0.071391	0.045589	0.35537	0.16957	0.31406	0.047444	0.066361	0.066437	0.73002	0.066655	0.073284	0.10824	0.072547	0.07286	0.055271	0.084043	0.033137	0.063783	0.08184	0.11519	0.06952	0.060958
Meth__cg23641145__PGR	0.083237	0.043481	0.35823	0.097412	0.049949	0.44383	0.069574	0.17617	0.2033	0.12558	0.070646	0.7168	0.19315	0.20206	0.076844	0.10976	0.82687	0.052906	0.16607	0.060934	0.065194	0.062508	0.058472	0.59159	0.053998	0.15938	0.28277	0.075145	0.056275	0.54288	0.32652	0.32764	0.058414	0.2426	0.08908	0.13787	0.055656
Meth__cg19632206__FAM5C	0.092721	0.070135	0.10457	0.10611	0.064654	0.5951	0.11245	0.32298	0.59318	0.076529	0.11617	0.2313	0.14534	0.1777	0.039736	0.054874	0.26242	0.31917	0.1565	0.33218	0.064621	0.14966	0.15407	0.46397	0.093381	0.25091	0.13924	0.10808	0.40976	0.11321	0.35144	0.3118	0.07333	0.10159	0.10894	0.073786	0.10372
Meth__cg27056119__SERPINB1	0.045184	0.047177	0.099059	0.18503	0.036501	0.9559	0.040091	0.13375	0.03408	0.027389	0.060345	0.060593	0.09375	0.074679	0.38964	0.053833	0.10683	0.025763	0.081206	0.035173	0.041477	0.035714	0.068836	0.13652	0.045704	0.072669	0.15313	0.11461	0.63305	0.069832	0.038933	0.5687	0.023645	0.049313	0.4196	0.05115	0.92887
Meth__cg06349174__STIM1	0.019734	0.37041	0.029421	0.69131	0.31359	0.030983	0.19821	0.034752	0.02791	0.35734	0.13535	0.021781	0.037322	0.04645	0.021856	0.33389	0.022376	0.015461	0.049315	0.021909	0.72641	0.56527	0.090729	0.38558	0.049154	0.030979	0.050583	0.15333	0.020163	0.017402	0.021068	0.038658	0.01922	0.015442	0.043257	0.055365	0.070419
Meth__cg00877964__SLC1A4	0.045037	0.7068	0.049182	0.040968	0.041598	0.039548	0.047164	0.022139	0.47303	0.048481	0.046709	0.85276	0.5165	0.83924	0.034843	0.049989	0.51059	0.047751	0.12144	0.037315	0.42818	0.3473	0.065042	0.044771	0.046811	0.069868	0.0588	0.28227	0.03676	0.03362	0.043816	0.041999	0.038903	0.05031	0.092265	0.050424	0.045509
Meth__cg20909686__OVOL1	0.088069	0.069777	0.13726	0.086874	0.10301	0.97643	0.12061	0.98002	0.095068	0.1036	0.083642	0.49847	0.77619	0.14138	0.075235	0.10482	0.95575	0.79925	0.13779	0.77941	0.09988	0.11669	0.97623	0.95658	0.13472	0.15399	0.27786	0.090363	0.78106	0.14531	0.9805	0.05763	0.13551	0.11476	0.054725	0.6407	0.57205
Meth__cg24608774__STEAP1	0.062182	0.035329	0.44354	0.061245	0.067984	0.2536	0.085193	0.094575	0.042351	0.038825	0.072448	0.17827	0.067965	0.46537	0.028234	0.077845	0.089491	0.04127	0.10522	0.043002	0.032534	0.052047	0.053093	0.32873	0.094266	0.059309	0.085809	0.09395	0.059716	0.057194	0.077348	0.09657	0.029419	0.10093	0.12958	0.07247	0.1541
Meth__cg01697732__FAM20A	0.72089	0.042092	0.97835	0.074703	0.053445	0.95462	0.98579	0.72566	0.42754	0.047499	0.024136	0.048917	0.17966	0.9474	0.48787	0.063477	0.042402	0.033968	0.049844	0.29711	0.97156	0.97121	0.04182	0.47526	0.69667	0.064333	0.97294	0.39301	0.035341	0.45717	0.2995	0.14011	0.025607	0.19382	0.37171	0.39487	0.071553
