Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg08793459__PTRH2	0.026892	0.027075	0.015818	0.015798	0.03139	0.02437	0.053187	0.18149	0.031243	0.020928	0.028266	0.036478	0.042689	0.073203	0.035495	0.018756	0.046296	0.017786	0.017606	0.015021	0.020001	0.036429	0.021754	0.05402	0.027633	0.018476	0.051959	0.043268	0.018055	0.033912	0.3627	0.02638	0.016473	0.028452	0.017682	0.02443	0.026527
Meth__cg17065601__SUMO2	0.03625	0.019044	0.035261	0.036297	0.032167	0.053085	0.039929	0.011226	0.034451	0.030698	0.017736	0.023	0.035079	0.02262	0.037923	0.020452	0.032811	0.023847	0.022564	0.037306	0.019632	0.02856	0.021905	0.043745	0.02865	0.024822	0.029006	0.047783	0.01672	0.23629	0.023976	0.033821	0.026416	0.061525	0.15125	0.038203	0.04851
Meth__cg13796218__C1orf187	0.076495	0.12985	0.062578	0.10532	0.76554	0.10814	0.90008	0.13256	0.046581	0.071535	0.63334	0.42168	0.73603	0.11433	0.06983	0.81131	0.47236	0.36818	0.17368	0.062633	0.789	0.75032	0.070556	0.099539	0.88962	0.24095	0.38849	0.061092	0.0981	0.062873	0.4469	0.080454	0.74028	0.075167	0.082762	0.15279	0.18659
Meth__cg02905245__URB	0.62038	0.090416	0.68199	0.44374	0.069683	0.49587	0.12659	0.58756	0.69129	0.11815	0.087965	0.067894	0.54506	0.072417	0.53895	0.084349	0.10616	0.10085	0.19756	0.22478	0.093332	0.1314	0.29132	0.16941	0.070366	0.59467	0.11195	0.1586	0.070355	0.0825	0.088281	0.81744	0.3781	0.12396	0.61983	0.55223	0.57352
Meth__cg03330678__SEPT9	0.94195	0.7513	0.90024	0.86398	0.037271	0.93816	0.060537	0.029152	0.038541	0.95694	0.02607	0.33304	0.92448	0.97745	0.28215	0.031781	0.053683	0.03788	0.95468	0.95004	0.033408	0.04878	0.94657	0.049175	0.048475	0.90537	0.047266	0.047145	0.36795	0.032952	0.028824	0.91086	0.9582	0.86812	0.95833	0.92177	0.95893
Meth__cg08615333__TGFB3	0.058346	0.03908	0.068886	0.072273	0.87989	0.053721	0.71676	0.89822	0.052509	0.053832	0.58844	0.86724	0.8214	0.049346	0.064406	0.83482	0.15361	0.47318	0.13361	0.2025	0.85897	0.81177	0.057025	0.086523	0.87923	0.073597	0.13196	0.038126	0.88446	0.85737	0.65699	0.055006	0.046168	0.27327	0.037415	0.051905	0.062215
Meth__cg17018517__ENTPD2	0.069927	0.077471	0.30706	0.052983	0.90269	0.21618	0.91462	0.23232	0.38135	0.27286	0.18888	0.77588	0.89553	0.068372	0.3527	0.55633	0.22567	0.25128	0.271	0.21747	0.8995	0.75824	0.26412	0.29021	0.87054	0.15456	0.83157	0.12619	0.11756	0.079482	0.78444	0.09469	0.078325	0.078792	0.44963	0.068577	0.073863
Meth__cg16899442__C16orf25	0.082495	0.1244	0.095671	0.055504	0.66883	0.10853	0.54034	0.49231	0.043255	0.12109	0.47081	0.81566	0.59193	0.44886	0.057555	0.48048	0.20298	0.5165	0.429	0.15521	0.77176	0.4214	0.20077	0.079649	0.57888	0.14596	0.34112	0.14462	0.16291	0.1658	0.46916	0.25611	0.25579	0.12196	0.088903	0.30476	0.076523
Meth__cg14204735__CYB561	0.023614	0.023708	0.03906	0.018709	0.037827	0.037026	0.86812	0.028391	0.041853	0.028119	0.03518	0.044831	0.084079	0.028815	0.050571	0.052551	0.16503	0.027255	0.021724	0.024054	0.82169	0.086685	0.045172	0.044957	0.97283	0.081256	0.058304	0.043982	0.53626	0.030021	0.94483	0.025834	0.020538	0.068865	0.031544	0.059071	0.033729
Meth__cg01795122__EMP3	0.56532	0.56387	0.84134	0.17067	0.021983	0.88119	0.014154	0.037107	0.060973	0.79146	0.9192	0.39332	0.89016	0.55078	0.31491	0.57514	0.24216	0.017227	0.79435	0.89459	0.025554	0.050387	0.87359	0.10945	0.018453	0.93524	0.68616	0.49253	0.034537	0.022414	0.028657	0.44071	0.93105	0.073258	0.54698	0.82713	0.92521
Meth__cg24956866__CALD1	0.31381	0.040796	0.66659	0.1671	0.049422	0.64143	0.11155	0.036924	0.03416	0.042049	0.033762	0.063393	0.80224	0.11641	0.02988	0.024081	0.042352	0.031433	0.11881	0.55963	0.036298	0.083688	0.11497	0.08449	0.037713	0.25931	0.046815	0.044035	0.044645	0.031334	0.02833	0.14949	0.21822	0.059346	0.052034	0.81938	0.69118
Meth__cg11297236__PDILT	0.43318	0.11761	0.8515	0.64279	0.072057	0.59394	0.38188	0.58155	0.48908	0.12008	0.20246	0.16707	0.28495	0.083966	0.30581	0.13187	0.11693	0.12364	0.44444	0.55248	0.46771	0.12344	0.35388	0.10782	0.18358	0.15296	0.12128	0.16314	0.13439	0.06953	0.13843	0.51802	0.35493	0.12876	0.71498	0.23583	0.14884
Meth__cg22136365__TAT	0.81316	0.15202	0.92079	0.7935	0.039004	0.40223	0.0705	0.38914	0.84229	0.22524	0.10704	0.32846	0.32038	0.80748	0.64799	0.30226	0.041917	0.058528	0.32507	0.49052	0.06964	0.09089	0.54949	0.20686	0.11862	0.72312	0.07668	0.22252	0.042331	0.073751	0.057319	0.77524	0.7425	0.34819	0.77278	0.62986	0.48869
Meth__cg26259865__LOC124220	0.08778	0.19609	0.2686	0.20966	0.76944	0.15015	0.9111	0.91834	0.36771	0.23837	0.90179	0.89881	0.93517	0.070721	0.2948	0.8774	0.43917	0.59942	0.59354	0.4395	0.94434	0.47292	0.12388	0.13936	0.93499	0.39456	0.92889	0.13513	0.93989	0.65395	0.89592	0.077127	0.089942	0.34374	0.12096	0.33527	0.10217
Meth__cg01773854__IGFBP6	0.087031	0.057885	0.19678	0.59608	0.27779	0.8718	0.14362	0.67585	0.066088	0.50343	0.089262	0.075466	0.84474	0.049256	0.065365	0.86276	0.086871	0.050945	0.43964	0.58931	0.20197	0.079374	0.82604	0.073533	0.094431	0.095168	0.092487	0.092361	0.0856	0.05656	0.063633	0.87456	0.45681	0.095402	0.2619	0.69462	0.70415
Meth__cg02870945__REEP1	0.021888	0.027956	0.027579	0.027037	0.65465	0.030451	0.29679	0.087008	0.027125	0.021208	0.46218	0.057462	0.098518	0.03032	0.027262	0.31351	0.06202	0.46782	0.023183	0.024049	0.1736	0.68671	0.020261	0.027954	0.18154	0.035977	0.038227	0.040657	0.033393	0.035222	0.052399	0.02048	0.13288	0.084914	0.024142	0.032288	0.036513
Meth__cg02551396__JPH2	0.028533	0.031363	0.37793	0.088274	0.022883	0.68567	0.036299	0.035014	0.033328	0.025352	0.023076	0.021135	0.070173	0.030495	0.029648	0.026398	0.045887	0.022569	0.56762	0.89965	0.029685	0.027605	0.17768	0.026526	0.031722	0.36801	0.023833	0.048439	0.028486	0.019049	0.027944	0.57529	0.021251	0.028019	0.029047	0.18968	0.83759
Meth__cg20324165__KRT8	0.052009	0.078052	0.064954	0.058629	0.72407	0.060394	0.27477	0.045852	0.049719	0.069492	0.05195	0.09432	0.095683	0.035896	0.050286	0.075521	0.11467	0.70307	0.066078	0.06201	0.55997	0.33612	0.049232	0.12191	0.66953	0.13349	0.066872	0.12173	0.80571	0.066133	0.27242	0.049129	0.14932	0.051965	0.066881	0.061191	0.063274
Meth__cg18809289__ALOX5	0.16115	0.17799	0.23337	0.10928	0.91561	0.14933	0.68802	0.47892	0.12298	0.10298	0.65779	0.1651	0.20122	0.22137	0.1208	0.48377	0.1456	0.43729	0.12395	0.20169	0.23261	0.84574	0.11345	0.1759	0.55072	0.83329	0.40385	0.13857	0.25603	0.1343	0.23211	0.12991	0.1742	0.18236	0.11811	0.11157	0.13307
Meth__cg14400118__MMP2	0.42057	0.075877	0.47221	0.79013	0.93502	0.87829	0.11997	0.17808	0.059986	0.077394	0.14951	0.29343	0.68212	0.063051	0.071901	0.82728	0.095831	0.045802	0.92621	0.8975	0.085578	0.87177	0.089336	0.080051	0.11276	0.91963	0.072587	0.17695	0.045726	0.5219	0.05326	0.50663	0.91919	0.76264	0.94002	0.8511	0.87526
Meth__cg06690548__SLC7A11	0.88412	0.063771	0.46673	0.7583	0.050909	0.16513	0.20157	0.068711	0.94787	0.12478	0.22934	0.68912	0.10014	0.023278	0.82246	0.11721	0.067405	0.046588	0.080929	0.067968	0.16922	0.085106	0.10005	0.13874	0.038571	0.23146	0.048855	0.11176	0.035643	0.4378	0.03106	0.22606	0.053379	0.17929	0.86589	0.59637	0.47044
Meth__cg03495868__PTGFR	0.23126	0.049485	0.056408	0.33505	0.045487	0.085833	0.044151	0.05499	0.042466	0.05745	0.08086	0.10369	0.68079	0.15322	0.049937	0.045513	0.067821	0.040475	0.7118	0.54085	0.042936	0.095482	0.55823	0.11736	0.04496	0.76571	0.073472	0.2815	0.038888	0.039607	0.031788	0.066423	0.5991	0.15897	0.38121	0.34064	0.37514
Meth__cg02849695__CCDC19	0.03696	0.044498	0.044958	0.038323	0.96989	0.039678	0.95152	0.74973	0.040082	0.058451	0.066084	0.080697	0.062919	0.030175	0.047777	0.050932	0.07746	0.44781	0.041336	0.061758	0.92494	0.095631	0.071132	0.15041	0.94443	0.076439	0.047098	0.06606	0.28093	0.053785	0.95477	0.040532	0.034612	0.099887	0.070497	0.042971	0.046635
Meth__cg13332925__DKFZp451M2119	0.0326	0.025575	0.033151	0.55266	0.028838	0.034656	0.033415	0.029039	0.023799	0.034238	0.02602	0.037151	0.52361	0.63628	0.031155	0.028155	0.071435	0.027443	0.9343	0.94636	0.027364	0.089595	0.0409	0.048574	0.026501	0.16669	0.029403	0.05525	0.021159	0.024082	0.022973	0.14995	0.022809	0.32809	0.040732	0.038052	0.1042
Meth__cg14611174__SIX6	0.50362	0.048718	0.49204	0.50542	0.68193	0.65051	0.15802	0.24594	0.046979	0.048967	0.73018	0.11387	0.64724	0.58846	0.2632	0.10179	0.072457	0.044316	0.40498	0.29928	0.062369	0.46362	0.46061	0.073658	0.040679	0.62179	0.057278	0.086547	0.051092	0.040063	0.06843	0.84722	0.19328	0.11035	0.59281	0.38734	0.55834
Meth__cg01269795__BTN3A3	0.1586	0.1356	0.16318	0.11121	0.76367	0.15912	0.33709	0.81016	0.31097	0.13309	0.27959	0.20586	0.26686	0.13032	0.29086	0.37953	0.21406	0.18026	0.13332	0.14362	0.16773	0.27071	0.1341	0.23327	0.66575	0.19225	0.18991	0.21353	0.12955	0.65794	0.50388	0.13861	0.097144	0.18642	0.15124	0.16205	0.16749
Meth__cg19761273__CSNK1D	0.044021	0.031319	0.035356	0.035196	0.17129	0.039393	0.55744	0.1334	0.05564	0.038223	0.047313	0.18177	0.13329	0.026713	0.051101	0.053411	0.072838	0.039253	0.040657	0.044499	0.11037	0.14061	0.044173	0.066934	0.047055	0.083018	0.052088	0.085913	0.042489	0.046369	0.045997	0.029542	0.0269	0.060278	0.034958	0.036572	0.033209
Meth__cg13043862__EYA1	0.096784	0.03922	0.073964	0.031179	0.076511	0.05091	0.35452	0.35091	0.098465	0.047749	0.089543	0.30398	0.14759	0.075762	0.11385	0.47919	0.12015	0.055514	0.078992	0.065861	0.059719	0.29662	0.062644	0.14945	0.060347	0.13964	0.19912	0.073371	0.066756	0.049221	0.074296	0.054281	0.17804	0.12973	0.072299	0.056826	0.043886
Meth__cg03609102__MUC5B	0.023048	0.018929	0.025664	0.01365	0.56322	0.019154	0.10479	0.91849	0.56227	0.02859	0.22949	0.8021	0.19173	0.020787	0.46585	0.54421	0.036661	0.035204	0.032847	0.23739	0.85014	0.20239	0.031602	0.022187	0.18951	0.27103	0.41888	0.073333	0.86762	0.31253	0.016475	0.31998	0.69896	0.097923	0.030479	0.024829	0.023617
Meth__cg07060572__MAML2	0.07611	0.043979	0.15827	0.057164	0.034278	0.15987	0.068291	0.054024	0.039454	0.053472	0.036762	0.049515	0.077854	0.047346	0.051011	0.044571	0.067348	0.029326	0.074599	0.080755	0.038486	0.076118	0.073774	0.079022	0.0369	0.093465	0.048031	0.081549	0.035875	0.038987	0.053378	0.057657	0.48585	0.098814	0.053131	0.15881	0.077039
Meth__cg02723533__CCND1	0.015932	0.026104	0.6518	0.51424	0.98462	0.026745	0.94742	0.79339	0.98617	0.77529	0.98443	0.98863	0.93881	0.062791	0.94224	0.98802	0.97175	0.98434	0.1761	0.15033	0.98491	0.044692	0.3249	0.099099	0.98554	0.086387	0.98654	0.073504	0.9629	0.99205	0.98104	0.49212	0.044368	0.13932	0.091317	0.45041	0.020733
Meth__cg08088390__DEFB125	0.86803	0.084438	0.72163	0.58569	0.041132	0.71882	0.29711	0.75259	0.8495	0.66775	0.70927	0.7256	0.7327	0.066217	0.5708	0.22878	0.15936	0.10202	0.33873	0.16551	0.088569	0.16946	0.14965	0.09457	0.082443	0.081723	0.09636	0.18516	0.096774	0.18755	0.1211	0.87638	0.60805	0.14337	0.27846	0.44994	0.51614
Meth__cg11277126__TRPC4AP	0.30289	0.087517	0.44624	0.22811	0.78252	0.29128	0.073144	0.04296	0.56295	0.27113	0.04158	0.050766	0.14513	0.23796	0.36974	0.053482	0.16172	0.052772	0.19142	0.16469	0.11806	0.061186	0.25411	0.15735	0.026033	0.064025	0.10852	0.087562	0.18368	0.031603	0.04048	0.68496	0.58642	0.4985	0.39588	0.45499	0.71864
Meth__cg24134767__HTR3A	0.058445	0.024308	0.26576	0.38952	0.097764	0.24155	0.10999	0.087782	0.044637	0.74706	0.21065	0.062963	0.07906	0.024256	0.039611	0.13626	0.14425	0.040384	0.064842	0.088152	0.052105	0.066786	0.2374	0.066156	0.16969	0.19964	0.039207	0.045986	0.041073	0.049597	0.041697	0.046844	0.33456	0.10428	0.29513	0.29886	0.51347
Meth__cg18279742__RPS2	0.12967	0.11675	0.41185	0.2528	0.41985	0.084977	0.60606	0.34238	0.16345	0.12904	0.033473	0.87728	0.16553	0.2395	0.19013	0.095382	0.33494	0.54119	0.076029	0.035572	0.36558	0.17222	0.44293	0.11949	0.17651	0.061158	0.16364	0.14694	0.06356	0.048085	0.40948	0.079331	0.046995	0.05274	0.153	0.055039	0.047881
Meth__cg13168683__JAKMIP1	0.070687	0.061809	0.078189	0.045138	0.4309	0.075542	0.094718	0.26462	0.066964	0.071844	0.072114	0.5188	0.093018	0.43878	0.090603	0.066424	0.093014	0.41207	0.07021	0.060288	0.073113	0.60196	0.079496	0.10501	0.064001	0.18201	0.8241	0.067101	0.037643	0.45552	0.15021	0.036667	0.035448	0.097381	0.077487	0.061911	0.065596
Meth__cg05674036__OR3A3	0.89646	0.047907	0.90611	0.064415	0.26425	0.77176	0.17319	0.18099	0.15042	0.20312	0.67165	0.82614	0.34597	0.058618	0.10672	0.47052	0.13136	0.037267	0.18956	0.65212	0.074898	0.095853	0.077361	0.16819	0.10404	0.1956	0.062465	0.10664	0.056157	0.097149	0.11877	0.8216	0.5167	0.093765	0.8326	0.48692	0.12267
Meth__cg01062029__ROR2	0.099696	0.049869	0.9046	0.81198	0.87369	0.45367	0.04447	0.19604	0.067585	0.84831	0.76419	0.58383	0.86382	0.041673	0.092974	0.53794	0.13059	0.52004	0.77297	0.81856	0.15586	0.8088	0.05922	0.048778	0.44275	0.12965	0.56869	0.07186	0.090808	0.036074	0.060439	0.61582	0.29668	0.12344	0.82445	0.49891	0.39369
Meth__cg03256955__TGFBR2	0.055375	0.084128	0.14645	0.36047	0.048731	0.20211	0.095238	0.042862	0.059697	0.37092	0.078094	0.084879	0.17671	0.24095	0.091266	0.050714	0.081879	0.051855	0.33582	0.10314	0.057966	0.10633	0.45152	0.10365	0.032313	0.28386	0.074511	0.10283	0.053641	0.046627	0.042829	0.68823	0.88452	0.084514	0.19387	0.15027	0.76893
Meth__cg02721374__OR1D2	0.88902	0.12577	0.75777	0.12962	0.17312	0.54779	0.21855	0.81727	0.10118	0.15674	0.65628	0.5308	0.61189	0.082999	0.10312	0.65469	0.10727	0.075506	0.27554	0.34278	0.077614	0.091254	0.11402	0.1422	0.18405	0.33333	0.12569	0.42159	0.13611	0.069619	0.14214	0.86522	0.66685	0.10571	0.33026	0.36556	0.39387
Meth__cg14600885__MYOZ3	0.081972	0.04351	0.11638	0.056446	0.30344	0.064094	0.42462	0.42738	0.11147	0.085207	0.10515	0.23819	0.19211	0.04738	0.10451	0.1583	0.3804	0.076779	0.10419	0.10085	0.31218	0.10442	0.096931	0.095183	0.11976	0.10913	0.17372	0.089987	0.080486	0.10332	0.098311	0.086674	0.092634	0.096278	0.082415	0.073734	0.093422
Meth__cg03752628__PTGFRN	0.30375	0.050089	0.34264	0.28567	0.46271	0.51286	0.48535	0.0293	0.023625	0.45468	0.18986	0.020968	0.028236	0.021066	0.025973	0.034109	0.039067	0.019505	0.33659	0.62872	0.35051	0.61372	0.56719	0.041017	0.10282	0.036399	0.03018	0.056648	0.61895	0.021666	0.021672	0.12866	0.015998	0.096507	0.10413	0.13895	0.065712
Meth__cg27242945__CAV1	0.21845	0.019975	0.17655	0.034293	0.023259	0.17074	0.024673	0.022234	0.016116	0.02219	0.080888	0.01964	0.11284	0.017333	0.018947	0.89787	0.052742	0.015268	0.031381	0.028632	0.025207	0.037273	0.035338	0.026741	0.026054	0.17847	0.020404	0.046479	0.022367	0.018944	0.017172	0.76532	0.96291	0.034243	0.035297	0.0678	0.041271
Meth__cg03251655__FLJ10260	0.37352	0.090055	0.83634	0.64807	0.057964	0.53639	0.078078	0.87763	0.78454	0.69031	0.75994	0.063716	0.7916	0.10336	0.81847	0.081821	0.73482	0.063874	0.72495	0.77318	0.048614	0.086714	0.79374	0.18671	0.058661	0.27969	0.064281	0.16813	0.41762	0.063183	0.043908	0.75351	0.48756	0.45039	0.77861	0.67634	0.75249
Meth__cg08700306__LRP3	0.029822	0.34655	0.029985	0.038212	0.037435	0.038887	0.041216	0.82744	0.047049	0.28144	0.044869	0.89802	0.41217	0.048698	0.043019	0.40806	0.41259	0.054136	0.088368	0.10149	0.13541	0.52712	0.034702	0.13183	0.039621	0.043153	0.42666	0.39009	0.079143	0.42559	0.41659	0.046393	0.033679	0.054623	0.033749	0.03356	0.033209
Meth__cg27062284__RGS2	0.38589	0.024287	0.08431	0.062664	0.035686	0.038088	0.028218	0.042366	0.030601	0.038803	0.032239	0.023415	0.27992	0.024915	0.035411	0.027265	0.078573	0.022886	0.24319	0.16004	0.04105	0.056851	0.035445	0.039351	0.030266	0.091744	0.035494	0.064503	0.030658	0.025281	0.028978	0.036979	0.4609	0.059403	0.032561	0.11921	0.047822
Meth__cg20695587__TMPRSS11F	0.20238	0.12043	0.11858	0.096742	0.16994	0.09214	0.19176	0.57139	0.51044	0.12716	0.69178	0.22125	0.11706	0.086827	0.37464	0.80109	0.21065	0.10669	0.097585	0.098436	0.52217	0.76667	0.10025	0.17517	0.50097	0.15465	0.1353	0.1725	0.66442	0.12962	0.18842	0.097376	0.20968	0.17548	0.12786	0.138	0.093188
Meth__cg03776060__C9orf58	0.045382	0.046378	0.036514	0.030119	0.92404	0.039937	0.90237	0.058698	0.027848	0.039395	0.045256	0.053511	0.11436	0.026078	0.033543	0.046413	0.096361	0.047987	0.032177	0.040356	0.93071	0.66825	0.034721	0.063578	0.92333	0.073022	0.035038	0.07968	0.43677	0.31268	0.78437	0.030565	0.033722	0.044254	0.040982	0.041817	0.036871
Meth__cg24358529__PPIE	0.10525	0.053822	0.074115	0.068723	0.059791	0.11591	0.21839	0.067174	0.044369	0.15436	0.086481	0.055295	0.12157	0.066631	0.055954	0.077934	0.15452	0.049248	0.097968	0.10108	0.10517	0.097925	0.096986	0.096562	0.047516	0.16906	0.092022	0.099145	0.054296	0.05043	0.068466	0.086975	0.048792	0.13338	0.093098	0.59153	0.63759
Meth__cg24206256__MAT2B	0.52158	0.066845	0.28212	0.5	0.06141	0.37757	0.12295	0.1456	0.25318	0.09515	0.094113	0.11513	0.23888	0.07951	0.21923	0.16538	0.14303	0.18736	0.099593	0.11989	0.070985	0.112	0.14464	0.25139	0.13449	0.19945	0.11801	0.15209	0.069214	0.11319	0.10876	0.88273	0.074436	0.18913	0.28893	0.23815	0.65355
Meth__cg15239123__SMOC1	0.95158	0.7168	0.69414	0.60681	0.73334	0.57074	0.33592	0.062623	0.039704	0.92938	0.31621	0.053545	0.76533	0.5167	0.30559	0.039071	0.063723	0.12442	0.93369	0.94518	0.072842	0.86867	0.13486	0.063318	0.043484	0.88557	0.045565	0.074772	0.038584	0.032389	0.033173	0.47895	0.94194	0.74841	0.040817	0.5322	0.81818
Meth__cg26317056__NNT	0.026344	0.055491	0.55634	0.036311	0.018655	0.08384	0.024725	0.017847	0.014912	0.02522	0.01554	0.021288	0.87207	0.024688	0.02351	0.016711	0.021878	0.01632	0.070977	0.018506	0.018922	0.033076	0.022403	0.024529	0.015676	0.064226	0.026965	0.093017	0.018131	0.020783	0.01993	0.51761	0.71881	0.07394	0.24484	0.28717	0.084842
Meth__cg03289872__ZNF667	0.94389	0.041867	0.90315	0.027271	0.016565	0.92709	0.40821	0.49939	0.021979	0.92602	0.048038	0.076653	0.90945	0.48181	0.20341	0.053988	0.14214	0.13388	0.73242	0.90972	0.019784	0.83436	0.24297	0.088418	0.027027	0.70931	0.034976	0.31653	0.026463	0.4036	0.42331	0.36915	0.66551	0.066995	0.88613	0.84158	0.62071
Meth__cg06533629__KLF14	0.17621	0.039532	0.85673	0.3659	0.06564	0.72954	0.1281	0.080183	0.044645	0.27901	0.44705	0.14286	0.21398	0.13723	0.046181	0.056756	0.12338	0.86282	0.79819	0.92009	0.052437	0.89187	0.092991	0.21251	0.058498	0.87637	0.067292	0.083275	0.081576	0.047524	0.87794	0.055787	0.53444	0.77791	0.41898	0.63692	0.71604
Meth__cg20595215__LMCD1	0.073024	0.075803	0.069549	0.067597	0.62524	0.067081	0.092105	0.062952	0.076769	0.07819	0.063706	0.13546	0.322	0.053162	0.073904	0.80972	0.11905	0.11171	0.070521	0.065876	0.26409	0.12834	0.085737	0.16958	0.60575	0.17481	0.13274	0.094455	0.068447	0.088005	0.1438	0.10083	0.070475	0.18543	0.064381	0.063342	0.092156
Meth__cg26833602__SUSD3	0.035428	0.36917	0.40119	0.021368	0.84301	0.030429	0.94056	0.97196	0.028974	0.026325	0.028006	0.13913	0.68242	0.86623	0.033916	0.9435	0.33927	0.198	0.045004	0.77556	0.39163	0.053263	0.9575	0.054565	0.6405	0.9012	0.03419	0.32689	0.14667	0.11336	0.51946	0.034997	0.48817	0.059552	0.030438	0.68625	0.085784
Meth__cg03614513__TSPAN2	0.64097	0.080154	0.58168	0.57495	0.66716	0.90999	0.61662	0.12307	0.053732	0.24883	0.44108	0.063286	0.90752	0.89049	0.49182	0.058805	0.099464	0.057091	0.655	0.68713	0.078002	0.4355	0.084308	0.10698	0.052911	0.8701	0.061295	0.10452	0.064512	0.055103	0.064426	0.65801	0.48208	0.10559	0.58894	0.20165	0.4174
Meth__cg23307338__MS4A12	0.82011	0.065797	0.878	0.79959	0.063929	0.74208	0.26601	0.64687	0.87876	0.1826	0.69952	0.073604	0.70437	0.36127	0.71406	0.27083	0.10716	0.061543	0.25695	0.22124	0.11705	0.12099	0.59733	0.32056	0.084798	0.59696	0.074499	0.13415	0.27858	0.064525	0.10894	0.73041	0.60982	0.10355	0.83054	0.74878	0.6684
Meth__cg03395898__TGFB3	0.10762	0.060234	0.084824	0.10319	0.24028	0.10962	0.43278	0.62847	0.10629	0.10752	0.13326	0.50068	0.83102	0.11075	0.11304	0.2446	0.15834	0.14244	0.14719	0.12495	0.10956	0.15727	0.094336	0.12998	0.78661	0.10018	0.098532	0.15523	0.30722	0.46012	0.49782	0.066541	0.10126	0.088017	0.082364	0.082839	0.13857
Meth__cg03684977__GRB7	0.025921	0.019566	0.042199	0.045407	0.9494	0.031885	0.88493	0.091285	0.15966	0.053698	0.022015	0.31861	0.18094	0.036198	0.16822	0.1049	0.045443	0.91461	0.031285	0.067035	0.95438	0.8784	0.034811	0.072712	0.90919	0.038093	0.062852	0.038829	0.95271	0.032736	0.92172	0.29678	0.025857	0.037357	0.25562	0.028932	0.0395
Meth__cg21210789__BAI1	0.38605	0.028531	0.89384	0.81761	0.28458	0.73894	0.41048	0.61877	0.020386	0.86004	0.64807	0.58675	0.66821	0.025969	0.069617	0.59038	0.048965	0.025212	0.80713	0.79432	0.80818	0.10323	0.48488	0.034753	0.71652	0.31212	0.092539	0.034228	0.80984	0.070577	0.032377	0.1902	0.52221	0.095252	0.76288	0.325	0.73141
Meth__cg22510822__OR1E2	0.92987	0.044681	0.50973	0.22236	0.22212	0.41102	0.20661	0.73945	0.075617	0.093272	0.41715	0.46416	0.33855	0.075384	0.077602	0.81066	0.37506	0.039841	0.51812	0.61682	0.056568	0.10691	0.067905	0.11895	0.2754	0.77202	0.10483	0.41832	0.073371	0.24698	0.24362	0.89057	0.87677	0.16647	0.86119	0.3616	0.43921
Meth__cg19899882__FOXQ1	0.14868	0.074102	0.34104	0.6061	0.87505	0.43259	0.083536	0.048179	0.026193	0.89504	0.80494	0.059094	0.82566	0.29886	0.17107	0.82708	0.12548	0.48112	0.86283	0.57963	0.043157	0.084758	0.81331	0.15749	0.02703	0.78677	0.048765	0.13438	0.037647	0.029616	0.025281	0.34431	0.80036	0.63288	0.8768	0.54817	0.33544
Meth__cg12345724__CDCA4	0.022692	0.015438	0.01746	0.021856	0.027231	0.017122	0.059157	0.48559	0.019643	0.015358	0.016565	0.039146	0.036142	0.014658	0.019069	0.020201	0.052321	0.019751	0.013442	0.015708	0.04794	0.054976	0.011064	0.028876	0.0267	0.048246	0.023909	0.018655	0.013503	0.018072	0.25429	0.016794	0.018255	0.021312	0.019488	0.019103	0.018982
Meth__cg15568167__SAMD10	0.03503	0.084257	0.026699	0.029157	0.96322	0.029765	0.96268	0.034528	0.043389	0.02412	0.047556	0.057635	0.12426	0.032578	0.042258	0.026435	0.088404	0.02497	0.022686	0.037988	0.95152	0.047123	0.05129	0.038219	0.12501	0.060122	0.036045	0.085026	0.096941	0.020926	0.1434	0.0247	0.022507	0.035758	0.041184	0.027371	0.029003
Meth__cg22254104__LHX6	0.18574	0.11562	0.49043	0.32789	0.11293	0.57538	0.2623	0.27281	0.085512	0.41394	0.36898	0.22298	0.60258	0.062228	0.067135	0.13267	0.11361	0.097647	0.1365	0.10616	0.085985	0.23032	0.099437	0.19374	0.056405	0.64335	0.13495	0.10307	0.16948	0.08111	0.091621	0.45227	0.75626	0.21468	0.36736	0.52415	0.65066
Meth__cg12167564__LYST	0.045143	0.058201	0.098007	0.047974	0.046889	0.081313	0.1617	0.062335	0.061942	0.07798	0.18165	0.036494	0.065041	0.031017	0.053462	0.040902	0.12504	0.053181	0.15343	0.30498	0.032118	0.037688	0.098681	0.08502	0.23517	0.065723	0.060446	0.15786	0.070165	0.036761	0.070701	0.84894	0.12791	0.06722	0.31113	0.062944	0.12186
Meth__cg17471102__FUT3	0.059478	0.060576	0.57666	0.25621	0.13819	0.3217	0.14709	0.069551	0.10836	0.30272	0.039457	0.051667	0.06283	0.11298	0.083074	0.053543	0.077479	0.077349	0.2988	0.3739	0.16272	0.088784	0.44367	0.087529	0.081071	0.26743	0.065461	0.10251	0.074708	0.058576	0.055757	0.074773	0.045038	0.3677	0.57142	0.10895	0.19294
