Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg22374901__TESC	0.044337	0.038243	0.20756	0.40528	0.25748	0.063486	0.88629	0.7302	0.038204	0.039568	0.91139	0.1896	0.69537	0.052804	0.059091	0.30593	0.1441	0.3871	0.10561	0.091574	0.43547	0.049762	0.11288	0.07693	0.11239	0.8538	0.078453	0.0357	0.044207	0.036605	0.058642	0.089372	0.13799	0.068246	0.06202	0.048696	0.044533
Meth__cg18011401__CACNA1A	0.41824	0.12281	0.66107	0.22775	0.14641	0.59581	0.2772	0.75298	0.11086	0.14315	0.41369	0.26497	0.2155	0.14789	0.19966	0.17938	0.15257	0.24529	0.19523	0.5527	0.14151	0.084356	0.54354	0.10239	0.17612	0.40921	0.26265	0.074167	0.073152	0.078882	0.077844	0.10889	0.28901	0.11699	0.55277	0.12221	0.092852
Meth__cg07214572__LHX9	0.11074	0.016044	0.32647	0.37053	0.088369	0.9041	0.58639	0.96433	0.028251	0.04192	0.90993	0.024131	0.65435	0.024459	0.83189	0.030244	0.036828	0.063651	0.23125	0.34794	0.79438	0.92551	0.85707	0.4538	0.028063	0.56151	0.032519	0.036896	0.024328	0.042036	0.28307	0.025104	0.14604	0.12567	0.14515	0.62927	0.32465
Meth__cg03679734__CKMT1B	0.12372	0.042737	0.17435	0.84522	0.077657	0.57647	0.49875	0.36364	0.26924	0.37833	0.42739	0.087421	0.34659	0.23081	0.6795	0.053665	0.057525	0.039051	0.60022	0.67905	0.14789	0.48092	0.054969	0.73097	0.056793	0.87784	0.19427	0.052467	0.24559	0.052117	0.63033	0.054976	0.036947	0.049153	0.073032	0.063778	0.059853
Meth__cg19021732__C15orf29	0.086795	0.055691	0.40869	0.15253	0.065406	0.071838	0.064341	0.36019	0.06482	0.11144	0.078116	0.047544	0.073526	0.076691	0.061652	0.058811	0.092566	0.04873	0.049896	0.08251	0.14005	0.078753	0.060536	0.084374	0.10558	0.17306	0.059587	0.053395	0.057102	0.051362	0.11425	0.062674	0.11312	0.041396	0.076883	0.055118	0.0583
Meth__cg18565479__DISC1	0.042677	0.027632	0.065351	0.045985	0.03051	0.051909	0.049896	0.042948	0.030462	0.046435	0.07971	0.074471	0.064446	0.044764	0.036445	0.036036	0.053843	0.03191	0.0348	0.040616	0.03278	0.039372	0.03807	0.03747	0.067001	0.1006	0.061428	0.035561	0.026846	0.028371	0.035454	0.028121	0.040415	0.086489	0.04818	0.037781	0.031984
Meth__cg05624932__CRISPLD1	0.75379	0.024966	0.87096	0.9251	0.027189	0.59724	0.91486	0.32297	0.034157	0.043867	0.035595	0.25164	0.81997	0.18597	0.24838	0.038754	0.073932	0.022567	0.58354	0.089476	0.42254	0.055302	0.034951	0.68385	0.11877	0.95474	0.043507	0.057692	0.03509	0.069724	0.7636	0.07652	0.90069	0.053108	0.59739	0.05077	0.06409
Meth__cg01367992__LY9	0.65231	0.10224	0.88502	0.78368	0.84833	0.054197	0.22222	0.87381	0.80121	0.59528	0.14243	0.70392	0.7408	0.64792	0.273	0.28136	0.31074	0.062479	0.69667	0.65197	0.10938	0.088208	0.87144	0.49133	0.10144	0.16802	0.090342	0.073003	0.1322	0.078379	0.7983	0.13141	0.19425	0.12087	0.66262	0.42857	0.20834
Meth__cg08917718__PCBP4	0.060075	0.058189	0.061173	0.28017	0.042514	0.048059	0.24997	0.59831	0.062188	0.087259	0.14148	0.30548	0.30456	0.069599	0.30685	0.045201	0.11142	0.035266	0.1088	0.091277	0.067709	0.15017	0.055049	0.38306	0.13365	0.13356	0.070143	0.048707	0.092093	0.093298	0.76977	0.17902	0.048837	0.095935	0.081215	0.051487	0.065433
Meth__cg03522063__EMX2	0.54447	0.064638	0.080529	0.26854	0.13603	0.57436	0.78243	0.80786	0.072793	0.76457	0.54108	0.88006	0.76057	0.17301	0.14053	0.082627	0.17218	0.22876	0.76254	0.77701	0.72829	0.074129	0.62998	0.79213	0.12959	0.69263	0.1192	0.061477	0.090794	0.57327	0.063179	0.052478	0.54651	0.29668	0.87997	0.55597	0.51921
Meth__cg10876928__SDC4	0.049986	0.090223	0.46612	0.50742	0.54627	0.38611	0.067889	0.11458	0.064015	0.58271	0.079892	0.23649	0.50957	0.051348	0.13545	0.33301	0.68948	0.034906	0.28853	0.32607	0.30256	0.22427	0.47442	0.3569	0.068525	0.21311	0.16833	0.035683	0.035874	0.042859	0.54246	0.13983	0.17551	0.048032	0.39753	0.40324	0.44501
Meth__cg04726446__MGC16372	0.5166	0.20065	0.90058	0.83452	0.88331	0.89356	0.276	0.89099	0.029824	0.055629	0.61343	0.78049	0.87379	0.31607	0.48014	0.050844	0.091344	0.04128	0.15478	0.056118	0.075857	0.55276	0.07828	0.66336	0.07676	0.85139	0.064567	0.063295	0.036951	0.421	0.88576	0.81636	0.64857	0.83956	0.04065	0.67102	0.84202
Meth__cg20227213__GOLGA4	0.14787	0.11228	0.16602	0.12204	0.083448	0.69472	0.12912	0.13115	0.10607	0.082066	0.15811	0.11559	0.15231	0.093112	0.085131	0.089112	0.22234	0.071195	0.0838	0.12611	0.10606	0.1114	0.1514	0.11474	0.11572	0.158	0.092356	0.067291	0.10656	0.064998	0.075627	0.08019	0.088046	0.12381	0.071253	0.084483	0.10793
Meth__cg17386185__GLYCTK	0.065569	0.064684	0.41598	0.5791	0.63356	0.1012	0.17306	0.089602	0.12093	0.2084	0.053343	0.52126	0.23754	0.11206	0.386	0.045445	0.080121	0.086957	0.12296	0.1402	0.61595	0.16101	0.43057	0.59343	0.14186	0.51058	0.13829	0.044369	0.45698	0.16493	0.65429	0.11551	0.10966	0.15537	0.15328	0.10222	0.097167
Meth__cg20637307__ERBB4	0.052286	0.045	0.80133	0.039803	0.114	0.65494	0.060387	0.37923	0.042615	0.034063	0.036929	0.148	0.10787	0.047822	0.079156	0.022384	0.051804	0.041837	0.042646	0.082705	0.11953	0.050071	0.069415	0.066537	0.046851	0.089693	0.093421	0.040494	0.027521	0.30543	0.34216	0.025455	0.018563	0.093095	0.051404	0.052975	0.076686
Meth__cg07295678__DPYSL4	0.8723	0.023013	0.53759	0.28479	0.31791	0.5243	0.95402	0.62888	0.026149	0.90554	0.040798	0.73886	0.77722	0.029612	0.034687	0.02893	0.091618	0.026716	0.015018	0.028171	0.023436	0.027278	0.027021	0.95248	0.38184	0.925	0.037841	0.023287	0.51404	0.39738	0.017649	0.19059	0.01772	0.061771	0.026486	0.129	0.2232
Meth__cg17775235__NPTX1	0.49304	0.026847	0.91208	0.063633	0.039498	0.38162	0.56687	0.05598	0.034713	0.063988	0.57759	0.19562	0.10312	0.040048	0.047382	0.053995	0.11365	0.15997	0.93568	0.86835	0.05995	0.038353	0.55458	0.046039	0.059593	0.92489	0.045011	0.03002	0.031428	0.071936	0.040826	0.035143	0.74981	0.39525	0.67816	0.039346	0.030241
Meth__cg10414946__MS4A2	0.16188	0.063201	0.25645	0.52062	0.12682	0.052408	0.36876	0.70812	0.075871	0.064249	0.44214	0.077451	0.41684	0.059292	0.26128	0.066188	0.19952	0.077401	0.082096	0.087539	0.20279	0.11804	0.31128	0.40831	0.12055	0.20625	0.15511	0.088849	0.058849	0.11527	0.84417	0.050388	0.12914	0.28334	0.18297	0.33382	0.3548
Meth__cg27138018__HAPLN2	0.22953	0.14208	0.63967	0.7668	0.57385	0.48034	0.10897	0.25681	0.086971	0.74719	0.32511	0.53437	0.76718	0.072633	0.54841	0.15047	0.10189	0.085138	0.086957	0.1279	0.90257	0.6651	0.17134	0.12558	0.15876	0.098059	0.19967	0.053243	0.072264	0.074362	0.65672	0.099626	0.72743	0.11171	0.48957	0.16772	0.18507
Meth__cg27242945__CAV1	0.21845	0.019975	0.03023	0.17655	0.034293	0.023259	0.17074	0.022234	0.016116	0.02219	0.080888	0.01964	0.11284	0.018947	0.89787	0.016387	0.052742	0.015268	0.031381	0.028632	0.66954	0.025207	0.47061	0.035338	0.026741	0.17847	0.046479	0.022367	0.018944	0.017172	0.76532	0.02081	0.96291	0.034243	0.035297	0.0678	0.041271
Meth__cg09440289__PTPRO	0.64518	0.37091	0.93681	0.58186	0.54239	0.26588	0.92695	0.52304	0.08939	0.044748	0.56656	0.20039	0.92937	0.36702	0.11433	0.047113	0.41172	0.036212	0.63787	0.84684	0.59009	0.040989	0.77853	0.42152	0.42711	0.85914	0.060829	0.042883	0.28037	0.14054	0.80449	0.46395	0.94986	0.58127	0.10651	0.53971	0.50401
Meth__cg11510839__OCA2	0.82435	0.04102	0.13143	0.85731	0.12395	0.22805	0.66691	0.27829	0.062013	0.67091	0.052233	0.16009	0.58989	0.053539	0.053626	0.40291	0.14406	0.045198	0.46225	0.69744	0.10034	0.058031	0.53877	0.45749	0.087326	0.7766	0.095632	0.038637	0.043539	0.41516	0.049595	0.18122	0.08487	0.15685	0.37232	0.32558	0.40364
Meth__cg03138668__SLC17A7	0.054041	0.039379	0.16823	0.1138	0.065857	0.036591	0.13585	0.27733	0.036358	0.044231	0.1326	0.12533	0.27929	0.048647	0.064501	0.092665	0.066074	0.034409	0.038063	0.23922	0.041994	0.097121	0.16311	0.057249	0.059119	0.87084	0.087675	0.042091	0.037625	0.052533	0.045954	0.037136	0.10636	0.2848	0.051476	0.047008	0.054989
Meth__cg11221513__C22orf9	0.11619	0.043502	0.82331	0.12068	0.040869	0.55649	0.045073	0.036901	0.031409	0.049543	0.13926	0.51212	0.1948	0.039156	0.10878	0.04443	0.057425	0.030262	0.20031	0.077313	0.049903	0.062436	0.13236	0.1043	0.062717	0.3967	0.074429	0.041808	0.039735	0.034391	0.053621	0.15457	0.18073	0.067811	0.044532	0.1133	0.03885
Meth__cg27067618__CYP4F3	0.08855	0.089527	0.12026	0.53711	0.37852	0.079858	0.19628	0.17027	0.066329	0.21437	0.23001	0.17965	0.14566	0.070621	0.19431	0.091667	0.29572	0.074648	0.33822	0.53127	0.10727	0.08717	0.7788	0.62848	0.23643	0.47864	0.27521	0.11335	0.070583	0.10191	0.46678	0.10514	0.16484	0.54781	0.25907	0.40497	0.19539
Meth__cg07844572__FTSJ3	0.047279	0.029413	0.051022	0.051013	0.039646	0.041842	0.046954	0.024247	0.03345	0.040802	0.042786	0.03688	0.054575	0.041241	0.046912	0.03722	0.089194	0.027193	0.03693	0.046722	0.040481	0.039079	0.074452	0.038632	0.066721	0.30982	0.066823	0.032717	0.028079	0.036074	0.032745	0.030517	0.029795	0.10021	0.034591	0.031392	0.037841
U133A__TSPYL1	7.1208	6.83	8.2478	6.8499	7.5148	6.8558	6.6155	6.3823	6.2805	7.2393	6.7611	7.6203	7.1452	9.9714	7.4672	6.6912	6.8775	6.14	6.7769	7.2514	7.9883	6.4733	7.0354	8.3367	7.0077	8.116	6.3896	6.688	6.094	7.0528	7.2503	7.8804	7.8928	7.6083	8.0874	5.4603	7.6037
Meth__cg25372693__B4GALT4	0.14453	0.034017	0.19721	0.091165	0.10475	0.080436	0.04429	0.073013	0.063533	0.070132	0.050186	0.11703	0.086444	0.070624	0.046537	0.046708	0.12525	0.031951	0.067039	0.10425	0.09839	0.070329	0.042864	0.076534	0.10016	0.11885	0.054324	0.045387	0.038151	0.047823	0.065841	0.038489	0.037343	0.074061	0.053163	0.083154	0.058694
Meth__cg14896516__CRHR2	0.40886	0.036132	0.96604	0.6656	0.56331	0.71705	0.79154	0.95096	0.040562	0.054205	0.91715	0.4212	0.87554	0.034866	0.052671	0.063207	0.10483	0.027279	0.90618	0.8931	0.26488	0.11615	0.7029	0.055805	0.063721	0.76476	0.059175	0.042386	0.040913	0.023597	0.39351	0.032347	0.89285	0.086901	0.83974	0.72407	0.40476
Meth__cg15583058__SDCCAG3	0.063799	0.054673	0.065652	0.081563	0.068714	0.07123	0.067016	0.8565	0.051568	0.078217	0.05778	0.16828	0.091985	0.067714	0.089349	0.052984	0.097857	0.050902	0.043174	0.060448	0.093669	0.078293	0.069222	0.084434	0.13152	0.12981	0.07859	0.049797	0.070363	0.076664	0.084758	0.080112	0.060466	0.050682	0.092619	0.072125	0.058038
Meth__cg06222851__OGDHL	0.96937	0.052471	0.066829	0.05974	0.048489	0.033775	0.065778	0.086338	0.040493	0.052137	0.067732	0.09568	0.44063	0.053849	0.058263	0.053541	0.075173	0.053259	0.039567	0.047775	0.63989	0.057406	0.03987	0.54469	0.084116	0.65858	0.072343	0.048491	0.040275	0.050835	0.047858	0.072034	0.044856	0.10886	0.055039	0.045636	0.050428
Meth__cg08703595__FLJ22313	0.043194	0.028428	0.07191	0.037509	0.02582	0.027929	0.053071	0.046988	0.03318	0.040882	0.06537	0.03681	0.087428	0.025186	0.057895	0.026614	0.073291	0.021354	0.046171	0.074592	0.037511	0.029316	0.022453	0.039512	0.061798	0.14642	0.03446	0.020443	0.044116	0.030624	0.023249	0.028238	0.021571	0.069578	0.034106	0.036217	0.039344
Meth__cg10994430__PALM2-AKAP2	0.45794	0.17315	0.54506	0.4046	0.10051	0.33544	0.69448	0.1609	0.17265	0.06551	0.27274	0.12509	0.26539	0.1579	0.11206	0.094377	0.17134	0.055154	0.64033	0.53315	0.28764	0.10478	0.1186	0.1296	0.14924	0.75225	0.10491	0.040269	0.07157	0.069539	0.13211	0.22854	0.34055	0.3726	0.12539	0.07575	0.061573
Meth__cg07651242__ADCY1	0.071494	0.08941	0.97928	0.40738	0.16881	0.95759	0.63859	0.71682	0.046992	0.051525	0.96158	0.69387	0.93759	0.042351	0.13278	0.13112	0.25071	0.036514	0.10393	0.083799	0.050747	0.37022	0.10444	0.74701	0.2085	0.94621	0.080799	0.045217	0.091909	0.19706	0.72913	0.58165	0.74066	0.075451	0.050236	0.085967	0.058507
Meth__cg19722847__IPO8	0.092384	0.11886	0.43531	0.7914	0.19366	0.096187	0.10601	0.14134	0.12719	0.17755	0.098031	0.14126	0.32511	0.11375	0.076266	0.11076	0.16343	0.054473	0.34345	0.4008	0.49013	0.13249	0.22918	0.43178	0.20404	0.13512	0.17256	0.052326	0.092653	0.066695	0.78089	0.28104	0.10927	0.24737	0.11082	0.097746	0.099538
Meth__cg14751914__SMAD7	0.077096	0.098322	0.1541	0.09491	0.067495	0.093116	0.11597	0.086595	0.060545	0.13853	0.10086	0.12714	0.32427	0.075006	0.098813	0.050336	0.23043	0.075779	0.069323	0.12053	0.098639	0.12651	0.12163	0.12512	0.14862	0.12142	0.23139	0.058167	0.086795	0.09683	0.11391	0.07846	0.095265	0.17216	0.098485	0.073814	0.076112
Meth__cg02505409__ANGPTL4	0.045981	0.87037	0.086009	0.087452	0.073653	0.029398	0.35558	0.068036	0.026075	0.058322	0.22298	0.041782	0.5376	0.032759	0.87645	0.037278	0.2054	0.030071	0.040924	0.067528	0.79438	0.48385	0.034178	0.29707	0.067465	0.80362	0.16489	0.031078	0.028717	0.045653	0.070868	0.053571	0.050283	0.092205	0.070262	0.05742	0.050735
Meth__cg16245261__PRKCDBP	0.72705	0.05243	0.36675	0.89555	0.73029	0.30544	0.52796	0.052952	0.096729	0.68071	0.082096	0.26244	0.57302	0.1117	0.092571	0.094151	0.20845	0.09409	0.42778	0.42774	0.11599	0.089734	0.42691	0.61039	0.088987	0.17963	0.12772	0.069953	0.051734	0.074111	0.085013	0.66353	0.33006	0.72243	0.72104	0.61394	0.58942
Meth__cg02071305__VPS18	0.084486	0.065683	0.59119	0.32971	0.18407	0.68737	0.080694	0.23347	0.26751	0.15766	0.35339	0.74601	0.36763	0.21324	0.16549	0.093996	0.19113	0.10364	0.11258	0.19554	0.38589	0.5693	0.42278	0.083451	0.088785	0.10745	0.14799	0.056451	0.12891	0.14015	0.29321	0.074974	0.069015	0.085536	0.22074	0.057622	0.051182
Meth__cg18869368__MAGEH1	0.46386	0.052479	0.51019	0.90801	0.063655	0.41904	0.090787	0.17366	0.062756	0.3382	0.86655	0.415	0.49655	0.078174	0.074251	0.39837	0.25285	0.11209	0.072887	0.08791	0.48039	0.18738	0.3953	0.12046	0.12932	0.35276	0.077756	0.81638	0.13609	0.11341	0.091017	0.20218	0.10478	0.18382	0.30174	0.069981	0.077616
Meth__cg21379008__ATP8B2	0.027535	0.017947	0.03457	0.024676	0.015136	0.023919	0.02601	0.016304	0.023411	0.041206	0.024372	0.052927	0.051769	0.019842	0.031045	0.018251	0.059923	0.018401	0.017223	0.030372	0.031911	0.04503	0.023133	0.033374	0.04926	0.42749	0.025337	0.023572	0.023298	0.024358	0.024635	0.023821	0.023546	0.087244	0.021177	0.018471	0.023265
Meth__cg18992688__AVPR1B	0.11084	0.050239	0.89851	0.52613	0.15652	0.79974	0.77234	0.84798	0.045088	0.11804	0.77321	0.17385	0.86822	0.05385	0.79552	0.18285	0.16985	0.059799	0.70931	0.47976	0.59587	0.36429	0.75665	0.13055	0.053008	0.61517	0.061016	0.049234	0.089084	0.38947	0.32968	0.049952	0.77751	0.14198	0.14907	0.22689	0.27168
Meth__cg08090772__ADHFE1	0.044871	0.45811	0.056877	0.055659	0.22235	0.64463	0.73202	0.95389	0.9115	0.043832	0.84421	0.45178	0.095328	0.79143	0.056753	0.18066	0.59923	0.72219	0.53566	0.048473	0.04448	0.89043	0.59291	0.051213	0.10981	0.09343	0.33158	0.88143	0.88872	0.9281	0.8279	0.04501	0.048648	0.091933	0.049375	0.30407	0.70866
Meth__cg04998282__NOL11	0.04799	0.052824	0.047803	0.048256	0.046069	0.051268	0.047465	0.48584	0.043013	0.043693	0.051702	0.045584	0.061716	0.06096	0.04232	0.042718	0.08425	0.037542	0.043393	0.049554	0.046777	0.042069	0.044652	0.053696	0.083937	0.085858	0.077518	0.03932	0.036787	0.039484	0.047742	0.04864	0.043234	0.086508	0.060823	0.046521	0.044777
Meth__cg24884084__SPRR1B	0.26002	0.042383	0.72499	0.35597	0.18739	0.051433	0.090595	0.72339	0.23133	0.080472	0.062671	0.48203	0.47324	0.20593	0.071565	0.062283	0.12855	0.059441	0.12311	0.14245	0.071857	0.065592	0.64201	0.090493	0.11118	0.078917	0.061117	0.051745	0.27461	0.064665	0.74169	0.061209	0.055212	0.13448	0.3535	0.080445	0.080071
Meth__cg06437004__LDHB	0.71664	0.046459	0.91188	0.58354	0.4522	0.045803	0.9131	0.037061	0.031974	0.057247	0.047387	0.06485	0.56611	0.047277	0.42439	0.038202	0.070586	0.030881	0.8885	0.89914	0.92063	0.051113	0.090638	0.058185	0.13333	0.86239	0.1302	0.033337	0.044269	0.037619	0.92681	0.057227	0.03705	0.48461	0.041992	0.71358	0.86612
Meth__cg21341271__C7orf36	0.039894	0.026936	0.036431	0.040545	0.03369	0.041716	0.051182	0.33582	0.041005	0.048762	0.035672	0.068921	0.074114	0.035743	0.037729	0.03699	0.058758	0.030692	0.020839	0.057624	0.069308	0.039259	0.043963	0.04643	0.11262	0.088549	0.054028	0.025964	0.041818	0.052342	0.048059	0.028802	0.029097	0.077557	0.039471	0.025077	0.033112
Meth__cg15414833__RPIB9	0.040988	0.019182	0.97407	0.042825	0.026439	0.30333	0.039943	0.030987	0.02516	0.044976	0.03571	0.058142	0.071494	0.030554	0.041319	0.025597	0.11132	0.025216	0.019058	0.029127	0.026854	0.030849	0.029043	0.062382	0.047317	0.094046	0.062248	0.031116	0.027334	0.029743	0.029622	0.026734	0.01805	0.058625	0.065777	0.044699	0.052624
Meth__cg16312163__ALDH1L1	0.9282	0.75918	0.96311	0.85219	0.66465	0.8855	0.82307	0.93425	0.041358	0.89453	0.54004	0.44098	0.91043	0.037791	0.6057	0.024633	0.053629	0.036313	0.94776	0.91882	0.11119	0.63885	0.059426	0.20781	0.058787	0.48845	0.047526	0.029801	0.028902	0.029733	0.44723	0.057311	0.70742	0.073307	0.57187	0.52976	0.81315
Meth__cg21265783__CYLN2	0.050283	0.13251	0.16258	0.10291	0.091559	0.37699	0.2174	0.062986	0.039684	0.051833	0.081264	0.16918	0.32326	0.046433	0.065126	0.039132	0.090712	0.036783	0.5043	0.19361	0.041746	0.046214	0.086545	0.34843	0.051927	0.66821	0.098293	0.037691	0.038576	0.034033	0.065133	0.049408	0.41743	0.11117	0.078056	0.056456	0.046261
Meth__cg06954481__GBX2	0.95315	0.075068	0.071559	0.078535	0.066521	0.062393	0.11776	0.56227	0.051774	0.069737	0.076797	0.97256	0.10444	0.053151	0.053592	0.042212	0.10046	0.061876	0.07534	0.07675	0.072009	0.058492	0.07848	0.056174	0.12272	0.72586	0.11197	0.042534	0.061593	0.053515	0.063451	0.058572	0.14106	0.11145	0.069305	0.054068	0.052513
Meth__cg26774430__PSCD3	0.045043	0.019013	0.026606	0.027432	0.02123	0.025051	0.033663	0.017443	0.024499	0.025385	0.027344	0.076137	0.062826	0.022734	0.027781	0.022762	0.076185	0.015534	0.012944	0.020713	0.024626	0.023725	0.017961	0.037825	0.052328	0.070479	0.048122	0.019768	0.021357	0.017176	0.018478	0.02323	0.014699	0.047581	0.02984	0.022348	0.022792
Meth__cg05702737__WNT10A	0.49771	0.067426	0.9326	0.33955	0.47094	0.46121	0.6995	0.58127	0.097413	0.39204	0.49354	0.083738	0.88081	0.10279	0.87836	0.11996	0.24296	0.05109	0.66574	0.69799	0.084666	0.85093	0.39406	0.50694	0.092156	0.85438	0.077097	0.074685	0.052129	0.12068	0.18759	0.068576	0.61044	0.23625	0.069113	0.21628	0.33111
U133A__LY6E	9.8781	9.5357	9.268	9.4498	9.2443	7.4881	8.6046	9.6208	8.1823	7.094	10.4748	10.8174	9.4792	9.1314	8.5848	7.4401	9.2918	8.6573	8.4491	8.9779	8.4527	9.2958	11.0628	9.5073	8.8492	8.8044	8.6974	6.3992	8.3921	7.15	9.6714	10.6976	10.3601	8.581	10.4302	7.4261	8.5009
Meth__cg21968580__DNAJB4	0.10159	0.070949	0.13507	0.13995	0.16126	0.068251	0.19164	0.11141	0.085423	0.13732	0.11027	0.1522	0.11746	0.11751	0.10196	0.089766	0.11562	0.083155	0.1	0.14572	0.087719	0.096299	0.13818	0.10668	0.13346	0.25459	0.089749	0.042037	0.10224	0.11524	0.75952	0.066225	0.11908	0.23803	0.14835	0.12241	0.13805
Meth__cg04416752__ST6GALNAC4	0.064354	0.035245	0.81538	0.81899	0.38997	0.056826	0.13709	0.13483	0.43592	0.071802	0.056831	0.84724	0.47171	0.40007	0.78969	0.065051	0.10071	0.055751	0.41286	0.29469	0.35996	0.084138	0.15021	0.82641	0.11253	0.72744	0.15955	0.065586	0.042519	0.051094	0.25887	0.52962	0.066692	0.2224	0.06223	0.076923	0.068644
Meth__cg10822172__CREB5	0.29674	0.04953	0.21504	0.128	0.079303	0.1405	0.15324	0.64048	0.067411	0.1457	0.23612	0.44351	0.68499	0.10202	0.2327	0.35853	0.13978	0.086753	0.091725	0.11935	0.87467	0.10404	0.1292	0.1395	0.14243	0.17241	0.12219	0.11268	0.1568	0.17991	0.50757	0.097386	0.67446	0.19578	0.17871	0.10541	0.081254
Meth__cg08069899__CCND2	0.18543	0.037618	0.75491	0.051816	0.041886	0.73348	0.32492	0.97996	0.14357	0.89761	0.96711	0.62489	0.35637	0.12618	0.036762	0.070773	0.11005	0.03509	0.78426	0.5727	0.64466	0.056722	0.38823	0.30048	0.058091	0.87158	0.068334	0.034991	0.098896	0.048023	0.025175	0.040857	0.23899	0.12661	0.5952	0.080063	0.058214
Meth__cg22572159__NGFB	0.91998	0.056355	0.1215	0.061682	0.073098	0.13819	0.79797	0.4301	0.033573	0.067744	0.7568	0.21097	0.54967	0.10482	0.051602	0.031005	0.099518	0.042748	0.90328	0.89621	0.45716	0.056061	0.89715	0.066813	0.11251	0.86939	0.16267	0.058707	0.048801	0.061256	0.54735	0.045466	0.86942	0.1831	0.38379	0.094209	0.065141
Meth__cg23045373__C8orf13	0.025764	0.025856	0.047214	0.028854	0.033937	0.70922	0.038959	0.025345	0.012595	0.033084	0.030598	0.025138	0.099735	0.023119	0.031272	0.027159	0.10891	0.013579	0.018266	0.053903	0.040871	0.044702	0.012018	0.04354	0.052577	0.10817	0.041667	0.023683	0.016079	0.019352	0.038118	0.026413	0.03444	0.065343	0.033955	0.027197	0.026787
Meth__cg27140220__PKIA	0.24741	0.055532	0.49938	0.056835	0.53053	0.64647	0.34006	0.65949	0.048621	0.33027	0.79701	0.13609	0.59275	0.058787	0.065669	0.071594	0.20538	0.032894	0.46182	0.40553	0.78997	0.071264	0.053381	0.059254	0.09446	0.80284	0.060542	0.046154	0.061299	0.062752	0.25456	0.045929	0.4744	0.39487	0.051689	0.23381	0.18242
Meth__cg12109455__DPYSL4	0.32062	0.060406	0.93962	0.64289	0.23803	0.58542	0.85627	0.61916	0.040566	0.88422	0.05933	0.47603	0.86995	0.089122	0.045545	0.059929	0.15259	0.045726	0.51598	0.066278	0.55942	0.057997	0.066347	0.9001	0.54407	0.89839	0.097539	0.049389	0.57953	0.16785	0.052826	0.52361	0.038502	0.82608	0.50959	0.55279	0.59233
Meth__cg00818872__CHRNB2	0.051507	0.028276	0.93408	0.25527	0.039837	0.38427	0.087665	0.24211	0.055415	0.088072	0.89605	0.4065	0.77826	0.050835	0.20844	0.057858	0.14727	0.044694	0.047542	0.068342	0.056825	0.11782	0.18865	0.13329	0.1012	0.88813	0.081612	0.03901	0.07172	0.070942	0.057791	0.052591	0.55772	0.14013	0.054649	0.075885	0.068072
Meth__cg19939660__C19orf36	0.042214	0.036082	0.85771	0.056587	0.060052	0.060908	0.040928	0.047539	0.043876	0.042534	0.042181	0.07212	0.076727	0.045724	0.040845	0.040365	0.13646	0.037754	0.028934	0.048579	0.03116	0.049911	0.04677	0.038452	0.088892	0.10083	0.038002	0.029888	0.040013	0.03202	0.029094	0.03699	0.026995	0.072618	0.048922	0.046257	0.040341
Meth__cg26853640__GGN	0.03604	0.045238	0.85202	0.88227	0.099892	0.029386	0.55095	0.17892	0.065135	0.52446	0.74268	0.91768	0.70525	0.061062	0.075195	0.070948	0.057026	0.02613	0.38054	0.73454	0.036562	0.3695	0.046268	0.38102	0.039914	0.32458	0.08601	0.13012	0.022709	0.019215	0.44041	0.26136	0.68469	0.40018	0.056524	0.036745	0.036526
U133A__CAT	9.2728	8.6882	8.9651	8.6094	8.1768	7.6458	7.9778	7.1926	8.5442	9.183	8.3309	8.5523	9.9741	8.1137	9.9591	7.7908	8.3007	7.9061	7.4298	7.812	9.1065	7.2563	8.7414	9.0302	7.4691	8.3149	8.1271	8.2005	8.7364	8.0446	6.1542	10.075	8.6121	9.4779	9.0364	7.6033	7.5928
Meth__cg16419345__ACOX1	0.071153	0.047705	0.06257	0.42393	0.14123	0.050606	0.074853	0.027969	0.057497	0.6081	0.047019	0.15146	0.11817	0.056515	0.065397	0.031589	0.047913	0.046763	0.10795	0.16112	0.28847	0.040588	0.10129	0.65723	0.076476	0.12914	0.077499	0.025952	0.047732	0.075927	0.036152	0.030647	0.035521	0.057493	0.10202	0.042196	0.0448
Meth__cg26680127__MLCK	0.07862	0.03161	0.037413	0.11884	0.096956	0.092675	0.045671	0.3473	0.044856	0.058072	0.07127	0.18304	0.13722	0.055831	0.059378	0.15606	0.10477	0.047948	0.083949	0.13431	0.52693	0.12393	0.2603	0.056208	0.085907	0.0599	0.042087	0.031631	0.033278	0.026906	0.14425	0.020877	0.055097	0.046686	0.090101	0.052188	0.05754
