Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg20324165__KRT8	0.052009	0.078052	0.05793	0.064954	0.058629	0.72407	0.060394	0.045852	0.049719	0.069492	0.05195	0.09432	0.095683	0.035896	0.050286	0.075521	0.52148	0.11467	0.70307	0.066078	0.06201	0.55997	0.33612	0.049232	0.12191	0.13349	0.12173	0.80571	0.066133	0.27242	0.049129	0.14932	0.051965	0.066881	0.061191	0.063274
Meth__cg02953306__CHRNA2	0.24721	0.051304	0.71115	0.64863	0.33003	0.10299	0.6062	0.77982	0.42525	0.5691	0.66408	0.72615	0.53678	0.11582	0.31868	0.63711	0.31389	0.25777	0.034456	0.1395	0.1513	0.095932	0.1121	0.43819	0.079865	0.35836	0.13932	0.045877	0.55479	0.061818	0.49603	0.49475	0.14808	0.75151	0.074565	0.11222
Meth__cg17832674__CALM3	0.055748	0.040473	0.21115	0.055468	0.031053	0.26401	0.077624	0.033642	0.044525	0.036762	0.21775	0.074704	0.094085	0.18556	0.029203	0.12525	0.037496	0.0463	0.03281	0.25488	0.043935	0.059209	0.12481	0.053413	0.37251	0.3542	0.096482	0.041012	0.047424	0.060703	0.084665	0.059982	0.067953	0.073125	0.034385	0.056075
Meth__cg05655556__PSMD2	0.035216	0.020781	0.6779	0.02286	0.040361	0.67511	0.066694	0.015707	0.035528	0.026307	0.028017	0.026397	0.068919	0.021416	0.039495	0.027331	0.034055	0.046803	0.23696	0.018182	0.027427	0.034824	0.044703	0.035487	0.055613	0.055383	0.034268	0.027349	0.028213	0.04013	0.03038	0.12958	0.02911	0.032508	0.044776	0.098772
Meth__cg03411288__C10orf47	0.050263	0.043573	0.056483	0.071078	0.033476	0.042411	0.072645	0.056307	0.033886	0.049407	0.05947	0.039785	0.060842	0.042644	0.046115	0.044316	0.038659	0.097715	0.30261	0.041518	0.064541	0.067705	0.1339	0.066302	0.23637	0.88056	0.060586	0.042257	0.031401	0.036358	0.043594	0.23303	0.1056	0.040758	0.051308	0.042608
Meth__cg12771281__SLC38A6	0.024421	0.029326	0.043443	0.033125	0.022667	0.028224	0.027688	0.023465	0.021583	0.025773	0.030546	0.021811	0.053817	0.51001	0.02407	0.022124	0.025112	0.055389	0.019087	0.027765	0.032294	0.030238	0.05588	0.028723	0.048392	0.045888	0.037684	0.022387	0.019953	0.030057	0.023052	0.021766	0.04459	0.029846	0.023908	0.030312
Meth__cg22284975__C7orf11	0.10886	0.13189	0.56733	0.24543	0.14797	0.052907	0.43054	0.082591	0.078118	0.08435	0.07701	0.042958	0.51493	0.31083	0.08169	0.11364	0.055527	0.10126	0.058477	0.25675	0.19567	0.087311	0.69391	0.26733	0.082466	0.62751	0.18829	0.065607	0.06079	0.12378	0.15039	0.47676	0.096369	0.47936	0.079652	0.11172
Meth__cg26466094__AK5	0.036227	0.037159	0.049656	0.064305	0.065312	0.040528	0.060278	0.032459	0.038926	0.042681	0.075432	0.034022	0.24012	0.04536	0.041759	0.045324	0.030786	0.071269	0.030983	0.52068	0.12144	0.043014	0.9167	0.051203	0.066411	0.5532	0.069925	0.032728	0.032637	0.034527	0.056812	0.10112	0.053163	0.047797	0.05628	0.095227
Meth__cg08269321__RPRML	0.58589	0.056206	0.90524	0.10966	0.05242	0.56523	0.57507	0.060842	0.043829	0.046123	0.32488	0.070974	0.3322	0.13217	0.067182	0.064859	0.056762	0.098978	0.050346	0.85891	0.65103	0.06961	0.77227	0.062093	0.063319	0.86026	0.083591	0.056025	0.10834	0.050782	0.074564	0.70621	0.74076	0.057258	0.10661	0.076998
Meth__cg14974772__FBLN5	0.056653	0.04998	0.53549	0.71337	0.50912	0.54436	0.75882	0.87269	0.034082	0.11121	0.057403	0.13949	0.73701	0.034329	0.050331	0.66586	0.057523	0.16441	0.6061	0.79503	0.81806	0.27782	0.3486	0.82081	0.078274	0.44702	0.10987	0.32276	0.063048	0.22185	0.81893	0.44153	0.087413	0.34643	0.66956	0.7436
Meth__cg08124030__TM4SF1	0.094851	0.11456	0.44344	0.24251	0.10174	0.055282	0.15708	0.056399	0.098716	0.088239	0.065786	0.054996	0.12076	0.39745	0.095326	0.070286	0.046814	0.16034	0.071211	0.95084	0.93904	0.071996	0.098395	0.92625	0.1153	0.13813	0.4426	0.04858	0.055241	0.081668	0.89899	0.33643	0.28333	0.90603	0.49976	0.92407
Meth__cg19219437__PCOLCE2	0.045632	0.080233	0.51145	0.068911	0.039252	0.043332	0.19982	0.052396	0.04878	0.060096	0.042415	0.038982	0.14378	0.099228	0.10108	0.49152	0.036364	0.11058	0.046212	0.049233	0.071252	0.051874	0.096569	0.046201	0.076021	0.51785	0.075981	0.049985	0.048987	0.032355	0.057903	0.32646	0.072796	0.050737	0.051113	0.057616
Meth__cg18125479__PYGL	0.025509	0.033512	0.64563	0.13328	0.018343	0.020405	0.18765	0.04738	0.030585	0.015818	0.020327	0.030503	0.038272	0.045563	0.077079	0.015031	0.021524	0.049231	0.014378	0.026161	0.031648	0.032072	0.036012	0.05405	0.019692	0.86245	0.030331	0.023605	0.024869	0.057655	0.034646	0.6257	0.030845	0.017297	0.122	0.66278
Meth__cg14614901__LOC401498	0.065025	0.059849	0.87341	0.81894	0.033883	0.52639	0.84667	0.54203	0.037385	0.049552	0.65292	0.068404	0.82271	0.083912	0.1347	0.23992	0.05801	0.11526	0.032087	0.82478	0.49235	0.058238	0.80713	0.41883	0.11741	0.77728	0.10234	0.050127	0.042705	0.090584	0.35064	0.3153	0.054038	0.37513	0.49081	0.55243
Meth__cg00145348__APEX2	0.5109	0.04065	0.086284	0.057324	0.36955	0.035767	0.053983	0.077667	0.50966	0.50907	0.057024	0.47465	0.28324	0.51075	0.40634	0.57177	0.043946	0.52702	0.05	0.038246	0.07527	0.44116	0.14932	0.37874	0.11535	0.43286	0.45909	0.46581	0.031869	0.51846	0.035509	0.037774	0.12925	0.41891	0.46265	0.051919
Meth__cg14625604__UBE2A	0.62712	0.0683	0.16965	0.071423	0.19757	0.062375	0.067295	0.062722	0.54345	0.42915	0.06274	0.061509	0.11399	0.047	0.53778	0.23079	0.62023	0.35115	0.051913	0.037808	0.10427	0.11413	0.067081	0.051029	0.086328	0.51594	0.082536	0.24129	0.055424	0.19493	0.045857	0.53819	0.15268	0.63398	0.48017	0.056909
Meth__cg03080344__METTL2B	0.02349	0.025343	0.020046	0.28572	0.016451	0.027646	0.02226	0.038163	0.022133	0.052293	0.017615	0.022379	0.081236	0.12614	0.021136	0.019504	0.017033	0.050153	0.017054	0.018644	0.019825	0.042548	0.05962	0.086267	0.068792	0.046163	0.11256	0.021771	0.025418	0.10163	0.082109	0.021143	0.056088	0.023924	0.098522	0.19489
Meth__cg04720330__PHLDA2	0.059563	0.050211	0.053692	0.070339	0.059249	0.94748	0.053122	0.051724	0.93918	0.097542	0.88129	0.06365	0.07347	0.051011	0.73722	0.072757	0.042859	0.13872	0.041932	0.063861	0.055525	0.20249	0.15788	0.072443	0.075823	0.11732	0.12463	0.95785	0.036273	0.042599	0.063843	0.037702	0.1339	0.068706	0.050222	0.057504
Meth__cg20308511__SAT	0.41702	0.071116	0.062569	0.045164	0.21502	0.040019	0.058896	0.069431	0.077924	0.40514	0.047895	0.3629	0.056394	0.40704	0.064483	0.042056	0.045696	0.34774	0.438	0.038454	0.06553	0.035305	0.097292	0.040937	0.43502	0.12389	0.34705	0.34999	0.048693	0.39673	0.039934	0.026101	0.088157	0.28953	0.22345	0.050049
Meth__cg13562911__ELOVL2	0.049263	0.048088	0.98037	0.87337	0.04196	0.56401	0.044175	0.064134	0.035483	0.042783	0.98119	0.3748	0.92931	0.33561	0.15625	0.75494	0.037767	0.17098	0.65235	0.4113	0.04182	0.50997	0.95752	0.044541	0.08326	0.95565	0.077842	0.039186	0.58079	0.49356	0.18315	0.96407	0.077983	0.34261	0.44802	0.13416
Meth__cg04589904__ADRB1	0.047455	0.93216	0.14931	0.068982	0.49876	0.35488	0.43703	0.043949	0.77546	0.43806	0.059447	0.060245	0.67706	0.049374	0.6764	0.9377	0.69009	0.22478	0.069116	0.57448	0.54736	0.41958	0.11979	0.055497	0.065796	0.9044	0.82007	0.075616	0.88029	0.11783	0.62189	0.85841	0.080198	0.0695	0.17425	0.64277
Meth__cg26150490__LOC389852	0.47363	0.032293	0.066964	0.046695	0.044733	0.036374	0.030632	0.87656	0.39254	0.20546	0.051451	0.44765	0.46678	0.3573	0.33802	0.4172	0.030784	0.21582	0.029311	0.028562	0.049011	0.19783	0.088463	0.18736	0.33151	0.379	0.090775	0.17543	0.027169	0.42979	0.12673	0.030851	0.075728	0.4571	0.29115	0.75091
Meth__cg08775230__C11orf52	0.15705	0.090283	0.11342	0.13866	0.069693	0.60713	0.13002	0.09136	0.091926	0.1354	0.080691	0.24213	0.19243	0.12631	0.062945	0.090618	0.67964	0.16026	0.29634	0.1241	0.14394	0.57095	0.60424	0.14157	0.18984	0.14716	0.1012	0.8496	0.08232	0.27826	0.079417	0.11087	0.096774	0.072299	0.14078	0.16807
Meth__cg05677402__UBE2L6	0.03114	0.65472	0.02211	0.96997	0.020964	0.44437	0.022308	0.017753	0.023152	0.025652	0.020637	0.01437	0.046187	0.019694	0.38274	0.49791	0.026569	0.063647	0.016515	0.048202	0.19931	0.022132	0.070125	0.27073	0.033892	0.046394	0.42333	0.024494	0.026142	0.017821	0.020707	0.017814	0.048953	0.02274	0.43695	0.75832
Meth__cg07897414__KLHL4	0.15545	0.099106	0.41383	0.7425	0.080515	0.056023	0.48336	0.053032	0.045539	0.043036	0.43573	0.17616	0.15436	0.64422	0.038263	0.28744	0.054831	0.050125	0.12103	0.14732	0.2034	0.055844	0.087594	0.40947	0.082675	0.65921	0.088665	0.21562	0.079153	0.074319	0.1184	0.19728	0.12402	0.051381	0.43398	0.65599
Meth__cg08684473__LILRB5	0.75687	0.023954	0.93842	0.85973	0.37832	0.34512	0.13879	0.83932	0.22375	0.85345	0.9275	0.88568	0.35306	0.038081	0.18198	0.48329	0.90611	0.070884	0.021723	0.86906	0.88004	0.51939	0.25766	0.13241	0.04563	0.34857	0.051722	0.39406	0.031293	0.055823	0.028419	0.47521	0.14047	0.84321	0.40336	0.23817
Meth__cg09523691__ATG12	0.27886	0.15578	0.35307	0.1304	0.12183	0.12201	0.1134	0.44717	0.68214	0.10393	0.09775	0.18727	0.13574	0.10372	0.54204	0.26157	0.11843	0.14187	0.13793	0.13787	0.11237	0.18179	0.41517	0.13608	0.17278	0.14755	0.10794	0.23025	0.39891	0.11513	0.088366	0.070901	0.15869	0.31802	0.10916	0.10037
Meth__cg05806233__GNAI1	0.031396	0.01804	0.43756	0.55256	0.052025	0.26669	0.032471	0.038173	0.022067	0.023082	0.029943	0.049861	0.10227	0.040096	0.021784	0.026604	0.03082	0.052784	0.029172	0.081465	0.090834	0.028908	0.031335	0.043131	0.055708	0.07892	0.036885	0.024244	0.02037	0.038175	0.13752	0.037424	0.047052	0.051537	0.079757	0.1835
Meth__cg07651242__ADCY1	0.071494	0.08941	0.97928	0.40738	0.16881	0.95759	0.63859	0.71682	0.046992	0.051525	0.96158	0.69387	0.93759	0.34449	0.042351	0.13278	0.13112	0.25071	0.036514	0.10393	0.083799	0.37022	0.91898	0.74701	0.2085	0.94621	0.080799	0.045217	0.091909	0.19706	0.72913	0.74066	0.075451	0.050236	0.085967	0.058507
Meth__cg10519140__SLC29A1	0.042044	0.18434	0.94195	0.049417	0.2975	0.93723	0.1646	0.042355	0.050622	0.10035	0.039705	0.26061	0.91048	0.045639	0.043026	0.89692	0.16484	0.083243	0.37197	0.54183	0.44769	0.90788	0.048621	0.080687	0.036911	0.068531	0.097216	0.31932	0.036225	0.93786	0.67269	0.037887	0.055261	0.044305	0.046145	0.69178
Meth__cg13666729__ZBTB8	0.083947	0.032991	0.27712	0.20949	0.036817	0.16847	0.1509	0.57617	0.035969	0.040586	0.13793	0.027546	0.51507	0.88179	0.048726	0.029921	0.25433	0.12495	0.38019	0.46153	0.35253	0.04977	0.88812	0.69195	0.050089	0.84013	0.074698	0.030012	0.030698	0.044128	0.042979	0.41199	0.18691	0.054534	0.033949	0.086032
Meth__cg22001782__BCL9	0.089271	0.066541	0.10013	0.15414	0.076381	0.25227	0.13087	0.23409	0.69957	0.17443	0.1252	0.42909	0.24009	0.057886	0.6509	0.18924	0.088453	0.13588	0.1508	0.2338	0.33989	0.14518	0.1525	0.1168	0.16105	0.25536	0.15393	0.87959	0.098447	0.15753	0.061621	0.079578	0.22411	0.25831	0.22989	0.22262
Meth__cg08390021__C18orf54	0.032468	0.052306	0.044917	0.11901	0.045263	0.024685	0.036191	0.024479	0.029203	0.030426	0.029803	0.017595	0.10511	0.015681	0.029996	0.024777	0.026837	0.084504	0.019301	0.027201	0.030478	0.029829	0.079906	0.051705	0.048778	0.15814	0.047137	0.022858	0.036253	0.030713	0.033059	0.28339	0.066391	0.031137	0.036019	0.034231
Meth__cg16792160__ASAH2	0.528	0.092821	0.82068	0.83455	0.59709	0.086252	0.29702	0.83119	0.69147	0.19881	0.39184	0.25323	0.56138	0.084795	0.4906	0.24364	0.52184	0.20271	0.11491	0.21147	0.35355	0.11705	0.11907	0.20441	0.098761	0.14044	0.13136	0.38658	0.74511	0.09446	0.64915	0.31839	0.068665	0.55661	0.35874	0.18928
Meth__cg09881855__SNAI2	0.44185	0.08248	0.070003	0.061587	0.057136	0.051318	0.068229	0.053629	0.051997	0.057498	0.054525	0.041823	0.16585	0.058652	0.046998	0.053147	0.057898	0.11163	0.058574	0.49152	0.58079	0.054128	0.34171	0.055935	0.084032	0.08007	0.099956	0.044584	0.048827	0.05151	0.060966	0.79487	0.1244	0.070422	0.05636	0.060428
Meth__cg25033972__RIPK4	0.45568	0.42398	0.34749	0.13054	0.22472	0.071904	0.51815	0.04601	0.10906	0.2705	0.1482	0.092322	0.83056	0.082893	0.13059	0.80448	0.10513	0.22132	0.14335	0.53434	0.69156	0.080329	0.12278	0.63071	0.14233	0.61365	0.12389	0.044764	0.11773	0.10218	0.92049	0.89442	0.090748	0.10702	0.21505	0.20724
Meth__cg14070647__RSPO2	0.34044	0.073636	0.9133	0.45396	0.035067	0.51254	0.75268	0.19841	0.04119	0.052658	0.58059	0.052129	0.084995	0.085948	0.043202	0.060554	0.037408	0.10263	0.037489	0.37806	0.36056	0.052635	0.85796	0.27348	0.11557	0.72526	0.11471	0.03945	0.056276	0.3294	0.038801	0.42308	0.059521	0.30773	0.6394	0.75356
Meth__cg05824432__DCI	0.019346	0.016696	0.020649	0.3849	0.012316	0.01226	0.015821	0.013191	0.021814	0.013955	0.015063	0.012296	0.028283	0.020884	0.015266	0.022785	0.015018	0.023184	0.015114	0.014229	0.018289	0.018468	0.037641	0.33763	0.02521	0.037819	0.018713	0.015807	0.016297	0.013691	0.013744	0.014737	0.038246	0.015	0.31724	0.021634
Meth__cg04574442__ALG8	0.023231	0.058524	0.034613	0.038049	0.043701	0.071167	0.065121	0.051485	0.041924	0.042279	0.035389	0.050276	0.24232	0.037625	0.036855	0.045036	0.043653	0.097336	0.038244	0.0434	0.026456	0.040984	0.060617	0.213	0.12035	0.057334	0.063187	0.044261	0.021283	0.047066	0.044707	0.015218	0.038837	0.030711	0.044156	0.12125
Meth__cg01471713__C1orf115	0.52993	0.074524	0.96105	0.15935	0.69634	0.95108	0.049332	0.40276	0.17768	0.57744	0.93333	0.46733	0.50908	0.03029	0.15715	0.086221	0.33638	0.23195	0.073402	0.88095	0.95463	0.88724	0.92132	0.090852	0.061101	0.10171	0.12571	0.7407	0.12707	0.92467	0.14393	0.037315	0.44347	0.61926	0.047788	0.059952
Meth__cg09805010__THRB	0.036477	0.027402	0.076714	0.031256	0.03151	0.49042	0.053566	0.025314	0.0403	0.04506	0.047299	0.027529	0.058333	0.0298	0.045131	0.55761	0.03453	0.15487	0.48758	0.13458	0.046398	0.040935	0.6301	0.041952	0.14792	0.10022	0.060026	0.026084	0.032737	0.035383	0.043542	0.029012	0.12547	0.039039	0.036187	0.042431
Meth__cg10604168__RASL12	0.81057	0.12718	0.92658	0.92162	0.047391	0.87279	0.75716	0.9095	0.1392	0.059181	0.61405	0.076112	0.8863	0.13675	0.12689	0.90925	0.05765	0.16152	0.2305	0.61525	0.53251	0.14537	0.83201	0.22578	0.064718	0.86338	0.14557	0.39685	0.086577	0.71662	0.26129	0.83815	0.12512	0.050525	0.47934	0.7008
Meth__cg14598387__OR1N1	0.37592	0.043395	0.58949	0.68965	0.1336	0.030203	0.19357	0.60861	0.36849	0.034598	0.21752	0.19306	0.14921	0.026155	0.30466	0.072892	0.077477	0.041537	0.039569	0.043319	0.060324	0.034497	0.044871	0.12951	0.0763	0.21081	0.039745	0.034736	0.048804	0.041352	0.33734	0.064887	0.10691	0.090808	0.071598	0.10447
Meth__cg23920441__ATP1A3	0.051027	0.077691	0.90826	0.88644	0.21449	0.58793	0.60129	0.11417	0.050136	0.20481	0.36364	0.64882	0.90969	0.3413	0.042209	0.16581	0.095707	0.098293	0.071692	0.43602	0.64952	0.6611	0.21376	0.71122	0.072243	0.8224	0.079927	0.046289	0.45407	0.11883	0.1622	0.68255	0.23913	0.55672	0.48828	0.2899
Meth__cg18150721__EPHB1	0.5192	0.018546	0.92884	0.01784	0.017226	0.49313	0.78876	0.058051	0.018444	0.024528	0.048857	0.016938	0.1462	0.16503	0.015798	0.028236	0.04663	0.032465	0.026617	0.83986	0.7964	0.025457	0.32822	0.030933	0.017488	0.58942	0.027639	0.024223	0.41169	0.37549	0.018857	0.27116	0.57818	0.030456	0.035024	0.15111
Meth__cg09874752__SFRP5	0.57191	0.042928	0.94819	0.65626	0.045226	0.51225	0.81316	0.2371	0.038552	0.11061	0.63952	0.070351	0.89858	0.054809	0.041333	0.53221	0.055901	0.082062	0.037566	0.94747	0.95539	0.90829	0.91906	0.60734	0.074098	0.91788	0.088973	0.040454	0.063402	0.067201	0.063371	0.27297	0.87262	0.048482	0.55043	0.076095
Meth__cg14837165__D4ST1	0.046811	0.034605	0.045092	0.10545	0.029003	0.89848	0.045129	0.056931	0.028856	0.031731	0.046194	0.018372	0.66405	0.031886	0.033493	0.031849	0.039971	0.05676	0.037822	0.025912	0.053486	0.63199	0.056525	0.055127	0.061432	0.076863	0.052836	0.044535	0.034811	0.39724	0.048537	0.024355	0.066697	0.036593	0.035074	0.54578
Meth__cg23037133__OXGR1	0.076848	0.097075	0.57171	0.35559	0.080085	0.49557	0.10015	0.39808	0.065863	0.067933	0.079471	0.29111	0.84642	0.075935	0.08382	0.87757	0.14008	0.15552	0.070799	0.071469	0.068774	0.3135	0.88937	0.075605	0.11918	0.095661	0.087628	0.07988	0.50485	0.13518	0.078424	0.34081	0.11014	0.073779	0.070217	0.74935
Meth__cg10043101__ATP1B2	0.029097	0.028879	0.045386	0.24599	0.031565	0.48115	0.04536	0.44079	0.02849	0.034531	0.16804	0.069803	0.45698	0.028922	0.036423	0.17557	0.44389	0.053726	0.042165	0.25693	0.23704	0.034998	0.76933	0.041407	0.047976	0.46828	0.068745	0.037029	0.040172	0.052433	0.035548	0.055322	0.088764	0.039085	0.095298	0.092384
Meth__cg17080277__PTPRB	0.10249	0.031277	0.47583	0.11492	0.026225	0.44647	0.044787	0.14131	0.02641	0.030766	0.46887	0.047823	0.070542	0.032154	0.030753	0.055593	0.040463	0.05854	0.035853	0.34776	0.23839	0.061347	0.54851	0.05946	0.05865	0.066351	0.08161	0.028439	0.053238	0.038477	0.92168	0.23938	0.044264	0.038924	0.040085	0.034253
Meth__cg08800033__CETN2	0.57626	0.09642	0.11183	0.14304	0.19934	0.044644	0.12809	0.69356	0.087507	0.097967	0.13646	0.33611	0.21063	0.059097	0.10016	0.257	0.34402	0.101	0.14213	0.083447	0.074895	0.20339	0.13421	0.074832	0.27354	0.27839	0.28211	0.43589	0.05696	0.30448	0.10064	0.12612	0.27883	0.66982	0.26299	0.12634
Meth__cg01367992__LY9	0.65231	0.10224	0.88502	0.78368	0.84833	0.054197	0.22222	0.87381	0.80121	0.59528	0.14243	0.70392	0.7408	0.038835	0.64792	0.273	0.28136	0.31074	0.062479	0.69667	0.65197	0.088208	0.23035	0.49133	0.10144	0.16802	0.090342	0.073003	0.1322	0.078379	0.7983	0.19425	0.12087	0.66262	0.42857	0.20834
Meth__cg24910675__ENG	0.066377	0.045883	0.10283	0.62946	0.098468	0.78019	0.61368	0.27376	0.041875	0.089145	0.055081	0.12282	0.23123	0.12772	0.048298	0.10031	0.04742	0.097442	0.036827	0.5498	0.6806	0.1601	0.2031	0.57462	0.12452	0.40393	0.097602	0.04678	0.041297	0.046663	0.060673	0.71919	0.3529	0.060634	0.34586	0.45177
Meth__cg06428055__ELF4	0.57661	0.025155	0.025397	0.69954	0.54642	0.011146	0.031995	0.40963	0.96472	0.49193	0.024339	0.025005	0.03261	0.60192	0.80519	0.46713	0.62134	0.13962	0.015785	0.019749	0.030405	0.68889	0.029853	0.040481	0.51687	0.50852	0.040263	0.92509	0.018224	0.64925	0.018523	0.70956	0.071261	0.66081	0.48175	0.019253
Meth__cg22984616__BAG2	0.040203	0.032085	0.54328	0.072825	0.048288	0.029688	0.06168	0.024132	0.032847	0.041985	0.033598	0.030815	0.11945	0.032809	0.045422	0.55155	0.039872	0.12074	0.027806	0.030655	0.047148	0.051942	0.069855	0.047322	0.091481	0.14525	0.087857	0.033719	0.01891	0.033072	0.048005	0.95409	0.089938	0.037689	0.49483	0.94974
Meth__cg22451189__MRPS22	0.039479	0.016731	0.024865	0.030273	0.019002	0.018868	0.032239	0.24209	0.037413	0.02774	0.032585	0.031065	0.055261	0.025656	0.032747	0.02388	0.016763	0.025478	0.016233	0.023714	0.029394	0.031562	0.10465	0.028125	0.063544	0.034134	0.027572	0.025239	0.021799	0.027622	0.032011	0.028977	0.044115	0.035052	0.036899	0.024764
Meth__cg05467918__ACADM	0.038137	0.032348	0.035151	0.06965	0.51156	0.035052	0.4533	0.46416	0.032283	0.040211	0.087952	0.13516	0.072279	0.028835	0.063288	0.037122	0.021029	0.10566	0.034026	0.037496	0.028927	0.032985	0.12613	0.054461	0.047038	0.12096	0.050754	0.047844	0.44863	0.026215	0.03067	0.013263	0.067899	0.045455	0.033531	0.038467
Meth__cg12718440__C10orf83	0.070428	0.071226	0.11376	0.073556	0.067195	0.62415	0.077099	0.046395	0.062352	0.052858	0.08284	0.046733	0.84986	0.035864	0.078865	0.066446	0.077535	0.1394	0.13775	0.060195	0.051243	0.10024	0.22888	0.06506	0.082797	0.11169	0.092462	0.052143	0.066639	0.067189	0.13466	0.049862	0.1027	0.05316	0.056531	0.062512
Meth__cg18106189__C18orf1	0.026516	0.051027	0.64884	0.030204	0.035814	0.49304	0.034608	0.036079	0.025661	0.027936	0.044272	0.033412	0.21957	0.032724	0.02497	0.027585	0.027325	0.10706	0.035686	0.021961	0.043598	0.031554	0.93391	0.036213	0.039693	0.058257	0.036348	0.024485	0.39697	0.070557	0.029893	0.089649	0.060435	0.031577	0.023076	0.031541
Meth__cg05523085__MYO5A	0.037195	0.037682	0.89191	0.048347	0.04138	0.5795	0.39371	0.07913	0.038038	0.031284	0.085078	0.048622	0.74325	0.03121	0.056318	0.098435	0.053528	0.093015	0.062918	0.088469	0.033305	0.10763	0.60108	0.22719	0.05668	0.17868	0.061788	0.16878	0.036228	0.028084	0.22287	0.26213	0.14492	0.044942	0.086631	0.32246
Meth__cg25912611__STK6	0.092496	0.048683	0.071335	0.10033	0.26573	0.15684	0.79946	0.28236	0.21466	0.3499	0.096405	0.38866	0.142	0.71766	0.21172	0.15422	0.1028	0.16417	0.12542	0.071248	0.091432	0.70085	0.19509	0.28286	0.14123	0.10009	0.079354	0.37039	0.063735	0.12252	0.54953	0.20694	0.12297	0.79417	0.094997	0.058698
Meth__cg07559730__ZNF702	0.04709	0.032904	0.045875	0.11117	0.030824	0.95345	0.053638	0.37557	0.023909	0.031679	0.032483	0.07003	0.15689	0.026413	0.029214	0.04217	0.033252	0.11605	0.038797	0.90193	0.52733	0.060022	0.84614	0.040887	0.20019	0.39281	0.070144	0.064961	0.06517	0.12627	0.033353	0.027915	0.1772	0.043932	0.27905	0.45986
Meth__cg13613532__MGC33948	0.06776	0.040194	0.054374	0.076229	0.043335	0.055901	0.076623	0.05885	0.045584	0.038203	0.045081	0.019873	0.19235	0.038265	0.053685	0.041645	0.045364	0.096731	0.042331	0.054503	0.077496	0.058046	0.078737	0.063913	0.084093	0.21448	0.071337	0.047061	0.048676	0.052187	0.072201	0.067656	0.09884	0.061718	0.11713	0.071358
Meth__cg07786760__DCHS2	0.060983	0.054161	0.63384	0.16325	0.048502	0.45717	0.49165	0.066727	0.054095	0.084527	0.43474	0.086855	0.15357	0.041286	0.048398	0.81128	0.077607	0.13658	0.068507	0.28272	0.14137	0.052245	0.58927	0.046301	0.06714	0.48554	0.082771	0.072993	0.061593	0.14399	0.071124	0.29048	0.081841	0.064846	0.067548	0.075595
Meth__cg11015241__ATP10A	0.8912	0.094203	0.42937	0.50186	0.88716	0.25921	0.68524	0.9275	0.081399	0.077586	0.84655	0.93807	0.17355	0.054649	0.15087	0.88458	0.89032	0.19666	0.26751	0.65833	0.52665	0.14411	0.8623	0.33277	0.070266	0.22716	0.081761	0.93265	0.038654	0.12731	0.072815	0.94716	0.67263	0.87414	0.21598	0.31637
Meth__cg10823926__ANKRD35	0.038484	0.026492	0.02963	0.077451	0.015693	0.029906	0.031151	0.024832	0.018839	0.040855	0.040024	0.044282	0.061639	0.026928	0.017198	0.03535	0.069536	0.053732	0.028897	0.020459	0.022649	0.045143	0.059847	0.93393	0.055191	0.4232	0.048861	0.046006	0.024665	0.04482	0.030566	0.029785	0.12183	0.019978	0.88745	0.95674
Meth__cg03361068__TRIM9	0.053205	0.025567	0.94624	0.34726	0.030048	0.022941	0.17252	0.025973	0.033151	0.039274	0.061642	0.036842	0.32895	0.48727	0.029089	0.04464	0.026377	0.051163	0.025271	0.81623	0.38472	0.051557	0.82344	0.19485	0.062065	0.48978	0.039786	0.03363	0.019807	0.038796	0.087456	0.031192	0.13742	0.02757	0.039998	0.041536
Meth__cg15604467__POU4F1	0.78584	0.048593	0.50918	0.94927	0.89938	0.035643	0.95129	0.032875	0.057066	0.056491	0.054447	0.024373	0.71962	0.87486	0.047498	0.037323	0.053197	0.56988	0.063737	0.9615	0.95183	0.049797	0.89775	0.9208	0.39275	0.90067	0.48903	0.040116	0.058519	0.073911	0.95811	0.90875	0.83994	0.92259	0.8356	0.91006
Meth__cg12063359__KCNK15	0.094141	0.95077	0.96419	0.089799	0.023105	0.64883	0.044055	0.66757	0.021351	0.028822	0.42341	0.015679	0.93124	0.034001	0.32069	0.96323	0.18283	0.66535	0.13566	0.022651	0.066038	0.63698	0.61049	0.043522	0.039969	0.77796	0.5107	0.036454	0.070798	0.029544	0.087729	0.94903	0.081173	0.029645	0.026159	0.035703
Meth__cg17886959__MT2A	0.11177	0.051136	0.057708	0.27656	0.59693	0.047626	0.085836	0.081914	0.77971	0.073035	0.33	0.52761	0.09749	0.10271	0.63722	0.10135	0.075953	0.11021	0.090058	0.28624	0.24139	0.10855	0.091348	0.24716	0.1121	0.11554	0.078559	0.066028	0.065172	0.068837	0.14441	0.08256	0.11927	0.17887	0.14978	0.25183
