Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg24691461__C20orf160	0.8394	0.079832	0.89401	0.89205	0.81992	0.17804	0.66995	0.77355	0.2566	0.40556	0.40246	0.73844	0.51108	0.22119	0.51839	0.25019	0.058893	0.026793	0.7235	0.64773	0.95364	0.23462	0.89795	0.07731	0.67668	0.050079	0.079358	0.048499	0.043172	0.039859	0.0379	0.30904	0.078389	0.81796	0.48052	0.41438
Meth__cg27104271__SLCO2B1	0.20386	0.076145	0.21831	0.77247	0.45474	0.050422	0.21907	0.51522	0.077883	0.13397	0.16116	0.51634	0.26347	0.076741	0.20016	0.3351	0.10292	0.06229	0.2839	0.29975	0.76462	0.064062	0.55458	0.13106	0.17712	0.14824	0.1048	0.07606	0.064228	0.11198	0.064931	0.079155	0.11944	0.29328	0.18993	0.17414
Meth__cg14693893__DYNC1H1	0.033242	0.022043	0.073679	0.0842	0.069904	0.063943	0.046294	0.060711	0.045601	0.059116	0.030076	0.094129	0.10671	0.043825	0.030819	0.40427	0.042696	0.034204	0.03005	0.050489	0.03539	0.035893	0.35443	0.067845	0.028308	0.044516	0.054344	0.031388	0.031346	0.031959	0.046713	0.044722	0.058272	0.02616	0.038312	0.039477
Meth__cg05719902__LOC136306	0.62022	0.081224	0.070585	0.096723	0.23394	0.94658	0.56036	0.12775	0.065421	0.073537	0.072677	0.19613	0.23689	0.069753	0.16505	0.20656	0.14385	0.71836	0.086918	0.63461	0.86187	0.30775	0.069788	0.9039	0.087311	0.3682	0.73474	0.51398	0.15094	0.53713	0.062488	0.59251	0.14194	0.080448	0.51157	0.5288
Meth__cg12832649__SPOCK	0.60446	0.047028	0.82553	0.047469	0.051485	0.078393	0.18793	0.28407	0.030457	0.42386	0.69394	0.17779	0.6226	0.020543	0.021766	0.020229	0.12898	0.02624	0.36524	0.48561	0.043863	0.024334	0.54261	0.90303	0.038986	0.0435	0.919	0.033973	0.65998	0.017963	0.072556	0.71276	0.50642	0.027815	0.039898	0.038875
Meth__cg01772980__SCGB1D1	0.19055	0.092062	0.17848	0.32525	0.14298	0.10635	0.13618	0.93121	0.13212	0.11701	0.46145	0.20922	0.2689	0.1169	0.18548	0.10391	0.11584	0.11272	0.12793	0.12902	0.2965	0.098936	0.36924	0.10273	0.12402	0.14667	0.12729	0.094915	0.094516	0.10457	0.080994	0.1236	0.098748	0.22613	0.15268	0.13376
Meth__cg04959837__PLSCR4	0.053988	0.10105	0.067664	0.043754	0.034595	0.042965	0.0701	0.022672	0.056604	0.072838	0.038181	0.036874	0.10551	0.048097	0.031963	0.031686	0.061508	0.048516	0.061609	0.054616	0.17665	0.060023	0.034715	0.17037	0.066302	0.11786	0.12703	0.040168	0.030482	0.04955	0.034769	0.35348	0.091049	0.05383	0.060155	0.056641
Meth__cg22674717__SALL1	0.83	0.027683	0.91805	0.82142	0.14007	0.42428	0.58124	0.67567	0.058691	0.093481	0.79281	0.53909	0.3278	0.070458	0.031893	0.058559	0.069131	0.030022	0.90403	0.94086	0.06232	0.04634	0.78564	0.75325	0.72147	0.071266	0.84567	0.089929	0.11766	0.039576	0.15565	0.036499	0.065364	0.87831	0.40983	0.11469
Meth__cg13636404__ZNF655	0.046827	0.20849	0.86439	0.83204	0.40883	0.036454	0.43078	0.069488	0.045536	0.23324	0.85229	0.88971	0.82904	0.21055	0.82788	0.043373	0.54346	0.032315	0.76007	0.5986	0.078944	0.054668	0.56918	0.07979	0.4322	0.076137	0.082989	0.036387	0.032228	0.03538	0.43586	0.84047	0.15449	0.8414	0.038817	0.038734
Meth__cg14944362__PDYN	0.52131	0.051197	0.58031	0.7848	0.56997	0.085092	0.29786	0.5295	0.05408	0.54058	0.48242	0.45676	0.55692	0.066734	0.53226	0.74576	0.10689	0.045704	0.20691	0.20253	0.34956	0.097846	0.46232	0.11009	0.23747	0.068511	0.36102	0.33542	0.31969	0.05396	0.055463	0.23521	0.071976	0.50574	0.18156	0.29701
Meth__cg15700197__OR10J1	0.14578	0.095172	0.14539	0.27892	0.097314	0.72649	0.11439	0.078697	0.21073	0.22803	0.16109	0.090962	0.42936	0.16884	0.12955	0.18571	0.19674	0.1519	0.09803	0.13285	0.15578	0.16842	0.056467	0.5508	0.19874	0.22756	0.28187	0.117	0.69843	0.68293	0.11609	0.13352	0.14811	0.1402	0.1197	0.13617
Meth__cg13897627__FLJ44674	0.12497	0.074034	0.087925	0.3315	0.16502	0.17128	0.07793	0.49893	0.059267	0.067998	0.10521	0.25291	0.11503	0.067917	0.073301	0.090505	0.10272	0.06876	0.06146	0.088716	0.8817	0.098824	0.34206	0.10017	0.072004	0.10039	0.53132	0.068966	0.072104	0.080925	0.05585	0.45068	0.10168	0.09419	0.060146	0.067172
Meth__cg21930712__FLJ40235	0.4939	0.073451	0.89572	0.92171	0.79596	0.053653	0.10353	0.21214	0.053672	0.70845	0.1919	0.41049	0.45678	0.058694	0.18407	0.33822	0.13909	0.049105	0.59042	0.46081	0.21238	0.13524	0.8104	0.13144	0.6275	0.092767	0.38026	0.064522	0.088724	0.057649	0.038776	0.27782	0.32316	0.82109	0.16352	0.25599
Meth__cg24103438__NLGN4X	0.10104	0.055249	0.79615	0.89519	0.098592	0.60554	0.8119	0.77614	0.2946	0.075739	0.79332	0.55414	0.20375	0.30319	0.54644	0.21377	0.11096	0.097753	0.09748	0.29677	0.45027	0.1392	0.91049	0.36429	0.07921	0.076553	0.86194	0.078474	0.43556	0.057628	0.49247	0.55461	0.15205	0.088434	0.60429	0.21661
Meth__cg10544564__IGSF4B	0.077088	0.037492	0.31229	0.12528	0.053794	0.17223	0.08641	0.20322	0.039306	0.079495	0.32974	0.47754	0.34033	0.052078	0.038437	0.034725	0.1337	0.05	0.084994	0.12495	0.060378	0.05783	0.33115	0.37942	0.11999	0.052083	0.28979	0.030594	0.064113	0.074772	0.036881	0.1097	0.19194	0.081361	0.054312	0.049478
Meth__cg19111262__IGSF9	0.039211	0.051878	0.049253	0.051877	0.032709	0.87894	0.049199	0.040137	0.036842	0.055298	0.074081	0.053224	0.083688	0.047581	0.051816	0.22488	0.08207	0.87074	0.069502	0.050441	0.048899	0.95482	0.034731	0.80738	0.066364	0.070038	0.062521	0.71583	0.066415	0.94467	0.038395	0.043157	0.075828	0.059041	0.046012	0.039604
Meth__cg12513379__OR10H2	0.69085	0.083767	0.16904	0.38896	0.21573	0.061329	0.19137	0.084651	0.053068	0.12463	0.17822	0.49441	0.64763	0.056188	0.089216	0.097927	0.058676	0.077528	0.076603	0.10089	0.82221	0.063668	0.35341	0.078824	0.097393	0.1502	0.1616	0.20351	0.063835	0.074153	0.070726	0.19274	0.14208	0.67574	0.13652	0.14638
Meth__cg00750606__CDA	0.10318	0.045827	0.45397	0.57017	0.31393	0.035957	0.096597	0.95213	0.031201	0.078636	0.05147	0.32083	0.85234	0.034536	0.13324	0.071177	0.038971	0.019841	0.25639	0.34309	0.83927	0.054719	0.91477	0.12377	0.049706	0.051556	0.10689	0.040583	0.036845	0.07249	0.04751	0.41501	0.063942	0.36087	0.047589	0.05244
Meth__cg03440846__ACSS2	0.056238	0.03975	0.31488	0.79236	0.11188	0.55104	0.092432	0.58245	0.092146	0.20177	0.56727	0.44609	0.082797	0.11546	0.06733	0.18194	0.14317	0.039103	0.15484	0.17007	0.85658	0.49577	0.44832	0.12271	0.080186	0.13195	0.058118	0.034127	0.084981	0.051026	0.17633	0.093968	0.092251	0.8367	0.064725	0.041809
Meth__cg26643856__HLA-DOA	0.48349	0.026974	0.86193	0.77737	0.66865	0.11739	0.48719	0.78748	0.50781	0.39578	0.31022	0.54815	0.36664	0.38165	0.1627	0.68436	0.064687	0.017583	0.23163	0.24603	0.82099	0.089259	0.62537	0.11266	0.057215	0.035985	0.047282	0.14938	0.054486	0.024564	0.032917	0.22557	0.10966	0.70781	0.39178	0.44354
Meth__cg12315311__UNQ3033	0.30843	0.057364	0.81082	0.25577	0.34328	0.17965	0.10387	0.096205	0.041389	0.34729	0.29326	0.33085	0.073971	0.037632	0.13988	0.066726	0.095517	0.058333	0.39869	0.4246	0.10184	0.093634	0.53968	0.099672	0.091027	0.068369	0.31528	0.074312	0.050023	0.11925	0.043395	0.098762	0.2141	0.78133	0.088015	0.33322
Meth__cg13850625__FLJ11155	0.028453	0.028665	0.02759	0.056077	0.026602	0.58176	0.027783	0.026872	0.030847	0.030619	0.028651	0.024981	0.070941	0.03646	0.03677	0.023239	0.070225	0.022801	0.022428	0.032417	0.23753	0.031584	0.022448	0.0398	0.035487	0.072745	0.075892	0.029316	0.030523	0.027937	0.021994	0.059835	0.061111	0.029015	0.037749	0.028339
Meth__cg13311440__CD48	0.6998	0.062975	0.90914	0.80853	0.67899	0.076119	0.27632	0.9689	0.84289	0.36003	0.56439	0.83292	0.89302	0.67026	0.45505	0.85646	0.080336	0.023366	0.66873	0.42286	0.055291	0.075868	0.7917	0.69136	0.17649	0.046959	0.077495	0.84648	0.05504	0.030152	0.064565	0.18618	0.078351	0.7034	0.42955	0.50576
Meth__cg12970724__CRLF1	0.18414	0.1995	0.19177	0.2333	0.15144	0.14997	0.26664	0.11832	0.15185	0.22066	0.1635	0.21525	0.91856	0.14745	0.77523	0.16088	0.18223	0.24064	0.97925	0.96566	0.74539	0.33932	0.1744	0.57247	0.16081	0.17203	0.96139	0.2138	0.19945	0.14619	0.15515	0.91115	0.11842	0.96535	0.16404	0.17979
Meth__cg22155248__TAPBPL	0.073721	0.77379	0.65304	0.076622	0.075858	0.85085	0.42446	0.12346	0.084006	0.12219	0.083322	0.078253	0.76807	0.089965	0.7318	0.086836	0.16227	0.075643	0.56588	0.12621	0.062661	0.10953	0.074634	0.14823	0.06617	0.17979	0.17348	0.35593	0.28339	0.14587	0.092512	0.67116	0.19446	0.12456	0.32294	0.67451
Meth__cg09954385__ARHGAP8	0.03109	0.039965	0.055902	0.051209	0.043854	0.9561	0.038548	0.023385	0.035268	0.054908	0.035858	0.02178	0.11495	0.039014	0.03697	0.085249	0.052367	0.36927	0.045303	0.065968	0.034366	0.49609	0.036857	0.85666	0.049664	0.064871	0.097719	0.34896	0.035681	0.4105	0.025487	0.032121	0.18021	0.03763	0.051959	0.041044
Meth__cg12530021__SIGLEC12	0.28615	0.029777	0.88681	0.91459	0.78634	0.30693	0.5785	0.34409	0.016213	0.19865	0.64525	0.75092	0.51719	0.034003	0.32362	0.46422	0.048658	0.018095	0.89265	0.75556	0.045882	0.11529	0.90699	0.056129	0.32201	0.029329	0.23509	0.40922	0.02584	0.12549	0.026267	0.86122	0.15196	0.89708	0.15871	0.32624
Meth__cg04882894__IGSF1	0.069861	0.041123	0.49345	0.67445	0.039205	0.3192	0.1683	0.59207	0.032517	0.033714	0.39274	0.38147	0.27779	0.042039	0.065547	0.049108	0.079297	0.048766	0.032194	0.045942	0.064528	0.29295	0.11579	0.63593	0.071958	0.037319	0.31987	0.063239	0.074865	0.059369	0.052584	0.047491	0.20942	0.31555	0.070167	0.27724
Meth__cg01425405__DLX3	0.061528	0.051606	0.048844	0.070164	0.048715	0.83358	0.059832	0.036833	0.061005	0.066775	0.084583	0.037268	0.39159	0.065575	0.08171	0.075624	0.083106	0.057769	0.055998	0.053651	0.0587	0.076049	0.050345	0.37505	0.07237	0.094341	0.099095	0.097606	0.059147	0.064274	0.048112	0.0608	0.096551	0.064637	0.055998	0.066483
Meth__cg00212549__SEMA5B	0.14883	0.14393	0.088132	0.11504	0.097062	0.071123	0.14296	0.11889	0.14525	0.13229	0.11858	0.10125	0.26691	0.14182	0.16113	0.088388	0.11679	0.13502	0.088015	0.10279	0.81111	0.13247	0.082694	0.23148	0.11073	0.18719	0.13744	0.068671	0.13099	0.2086	0.088258	0.344	0.15705	0.18187	0.1583	0.12769
Meth__cg09879797__WSB2	0.038556	0.92934	0.036174	0.045358	0.64327	0.93045	0.32492	0.067861	0.047871	0.67872	0.057092	0.054674	0.4432	0.067234	0.92432	0.091981	0.084538	0.91254	0.067697	0.052708	0.36056	0.91645	0.10719	0.06577	0.05293	0.17948	0.092605	0.73981	0.042878	0.59038	0.040688	0.042223	0.11726	0.059885	0.050187	0.91236
Meth__cg07753583__LRRC61	0.061933	0.24376	0.069407	0.076771	0.045369	0.86105	0.063376	0.058662	0.040715	0.069167	0.071677	0.033169	0.5032	0.047919	0.53293	0.063067	0.14303	0.44343	0.048157	0.062882	0.060432	0.89269	0.042142	0.39909	0.069845	0.46137	0.14899	0.4939	0.50786	0.53519	0.042795	0.050322	0.088547	0.050179	0.051941	0.056229
Meth__cg04270835__SLC17A6	0.72735	0.047796	0.56461	0.17303	0.060458	0.11083	0.16228	0.86225	0.045765	0.076011	0.45342	0.51515	0.25741	0.069718	0.057775	0.10143	0.21914	0.067877	0.052705	0.067169	0.52224	0.11435	0.080778	0.16529	0.088911	0.1276	0.47215	0.051659	0.12286	0.04638	0.040433	0.13799	0.21193	0.10759	0.060938	0.053164
Meth__cg26014796__RNF39	0.01978	0.024594	0.020268	0.030411	0.021498	0.92345	0.033271	0.012843	0.019923	0.029998	0.03083	0.013853	0.039358	0.028789	0.028476	0.019553	0.046475	0.078627	0.022675	0.02405	0.033899	0.78993	0.025636	0.082412	0.022272	0.026762	0.042097	0.11152	0.014134	0.023686	0.023179	0.019987	0.023336	0.026818	0.02241	0.02484
Meth__cg16505687__GPR137B	0.01755	0.014577	0.017857	0.028095	0.015809	0.020886	0.025471	0.021127	0.021728	0.035593	0.019207	0.018177	0.070446	0.018504	0.017844	0.027815	0.053681	0.022225	0.040935	0.026912	0.031257	0.020637	0.011963	0.05465	0.027775	0.024138	0.051095	0.031778	0.010163	0.021815	0.015409	0.23066	0.094771	0.041134	0.020942	0.025365
Meth__cg18669381__ARHGEF19	0.069456	0.054734	0.075065	0.066552	0.057513	0.34519	0.059887	0.050163	0.059713	0.060015	0.058052	0.054098	0.093711	0.056972	0.069911	0.25933	0.09417	0.16583	0.051857	0.064602	0.054115	0.63817	0.052454	0.28585	0.057193	0.070347	0.093656	0.10506	0.084705	0.06574	0.060102	0.051879	0.046164	0.075579	0.052313	0.061117
Meth__cg24908499__EGFL9	0.088818	0.10765	0.046531	0.080731	0.033784	0.023194	0.03379	0.50868	0.022605	0.025277	0.23581	0.026958	0.25401	0.022566	0.038462	0.021374	0.061605	0.026897	0.026304	0.025415	0.037341	0.029378	0.40192	0.027644	0.033136	0.02382	0.15576	0.021955	0.022273	0.021767	0.021863	0.18048	0.067845	0.029679	0.041407	0.054034
Meth__cg27619475__SLC16A5	0.04498	0.54512	0.17265	0.035086	0.79958	0.96879	0.96659	0.048135	0.96306	0.97941	0.96652	0.047559	0.95251	0.95861	0.97014	0.031656	0.052387	0.83844	0.9781	0.97262	0.97699	0.55824	0.64393	0.051282	0.037066	0.046185	0.53988	0.3765	0.026898	0.90301	0.022221	0.97257	0.049278	0.035969	0.96891	0.95592
Meth__cg11314684__AKT3	0.27401	0.061147	0.91953	0.66658	0.057193	0.89691	0.10636	0.12165	0.037263	0.089902	0.16762	0.14106	0.11191	0.054893	0.078065	0.046884	0.098958	0.070976	0.057976	0.083675	0.07975	0.17948	0.45803	0.10866	0.08961	0.13039	0.11027	0.065657	0.68383	0.10105	0.041501	0.043773	0.13961	0.35915	0.078934	0.053659
Meth__cg05656364__VAMP8	0.032756	0.02462	0.038742	0.03436	0.032309	0.87737	0.037741	0.020632	0.033704	0.027438	0.029886	0.021282	0.056348	0.038239	0.030676	0.25358	0.10565	0.75789	0.037273	0.030579	0.034231	0.85755	0.021661	0.16361	0.026642	0.047084	0.16447	0.83174	0.02615	0.19971	0.02433	0.02251	0.07315	0.03584	0.028255	0.03151
Meth__cg15315630__ZMYM6	0.028525	0.02953	0.032757	0.02518	0.022083	0.025166	0.028205	0.018513	0.033935	0.030227	0.026817	0.014765	0.050468	0.029258	0.018488	0.027732	0.07032	0.029632	0.03182	0.028405	0.031043	0.028639	0.023978	0.072721	0.028186	0.058295	0.19473	0.028002	0.027025	0.026628	0.025124	0.022531	0.044509	0.028114	0.0317	0.026894
Meth__cg17173423__MS4A3	0.86027	0.055443	0.79051	0.88235	0.26151	0.076988	0.6842	0.4508	0.87488	0.13339	0.70914	0.45963	0.67265	0.66964	0.40666	0.15219	0.13572	0.070799	0.12818	0.32767	0.39922	0.086049	0.77648	0.2498	0.72073	0.16708	0.21183	0.081574	0.23707	0.079686	0.04695	0.2272	0.25187	0.28859	0.56238	0.73303
Meth__cg07059875__TACSTD1	0.13204	0.091491	0.091173	0.13351	0.092857	0.64855	0.18688	0.069936	0.17099	0.15262	0.099898	0.11085	0.12433	0.13007	0.10521	0.14055	0.15622	0.4566	0.065335	0.11767	0.11778	0.15933	0.088988	0.53084	0.10998	0.13534	0.16799	0.38393	0.059336	0.31076	0.081832	0.071983	0.15711	0.10564	0.11072	0.10299
Meth__cg14844130__VPREB1	0.29641	0.048397	0.3718	0.53914	0.41014	0.051145	0.13786	0.19669	0.27951	0.18341	0.086059	0.32712	0.197	0.18069	0.12585	0.25547	0.078659	0.03415	0.38864	0.30154	0.8197	0.071214	0.80661	0.11526	0.11143	0.064155	0.12614	0.036022	0.071231	0.057661	0.062373	0.10701	0.094616	0.078652	0.092254	0.12378
Meth__cg19055458__MYLIP	0.037469	0.023907	0.065214	0.042811	0.03984	0.49778	0.031449	0.056282	0.026449	0.034492	0.084073	0.078947	0.07749	0.028759	0.024596	0.041116	0.069553	0.035444	0.037806	0.039532	0.050703	0.038492	0.042999	0.0506	0.034146	0.065666	0.054621	0.03313	0.028326	0.037253	0.037597	0.052201	0.14757	0.031027	0.048908	0.076843
Meth__cg12717668__ZNF655	0.088573	0.075512	0.94802	0.57779	0.40265	0.094721	0.13359	0.13159	0.062314	0.088358	0.92786	0.51195	0.81142	0.11078	0.71995	0.10372	0.21737	0.060683	0.49527	0.27842	0.10281	0.082798	0.12808	0.13749	0.1634	0.11968	0.15393	0.074739	0.066075	0.061272	0.10802	0.66091	0.13894	0.35792	0.11736	0.086964
Meth__cg08684473__LILRB5	0.75687	0.023954	0.93842	0.85973	0.37832	0.34512	0.13879	0.83932	0.22375	0.85345	0.9275	0.88568	0.35306	0.18198	0.48329	0.90611	0.070884	0.021723	0.86906	0.88004	0.35516	0.51939	0.65536	0.25766	0.13241	0.04563	0.34857	0.39406	0.031293	0.055823	0.03703	0.47521	0.14047	0.84321	0.40336	0.23817
Meth__cg18635110__C20orf116	0.068293	0.064308	0.064769	0.057546	0.046624	0.044366	0.070425	0.036992	0.05093	0.46486	0.047904	0.041511	0.071131	0.053205	0.075788	0.040466	0.078092	0.055481	0.059754	0.076833	0.06892	0.05233	0.042235	0.07065	0.06644	0.074467	0.12055	0.054306	0.065625	0.063331	0.053476	0.049937	0.092281	0.070743	0.077949	0.071939
Meth__cg04384208__FCGR3A	0.27601	0.036336	0.13508	0.42684	0.59134	0.067887	0.12286	0.82673	0.42987	0.10369	0.56283	0.61132	0.40708	0.30864	0.30093	0.61151	0.10917	0.028824	0.1094	0.15634	0.80165	0.07839	0.9432	0.11288	0.12275	0.041477	0.071902	0.17264	0.049561	0.046888	0.044741	0.057503	0.10079	0.42296	0.30001	0.31545
Meth__cg19486271__DDB2	0.057199	0.070845	0.068448	0.1925	0.085676	0.053422	0.085334	0.092194	0.060833	0.077941	0.061612	0.1879	0.13882	0.067751	0.059419	0.051003	0.12165	0.049285	0.052621	0.049946	0.076663	0.051142	0.36682	0.084093	0.074288	0.13224	0.11145	0.049324	0.046609	0.07329	0.069305	0.058057	0.093632	0.061842	0.063596	0.089835
Meth__cg19570545__PKP1	0.62836	0.83203	0.95786	0.03889	0.032925	0.93881	0.9171	0.024195	0.029035	0.62136	0.13447	0.059089	0.90623	0.035143	0.9335	0.36394	0.20327	0.41051	0.45421	0.48315	0.91286	0.88707	0.024221	0.8308	0.049496	0.044626	0.17898	0.1912	0.028645	0.90313	0.067467	0.94893	0.082968	0.49617	0.55034	0.94347
Meth__cg11784785__SLC6A5	0.12135	0.042445	0.075417	0.55237	0.16432	0.082744	0.27229	0.74339	0.073328	0.063939	0.27194	0.23303	0.17547	0.096323	0.24838	0.072869	0.11032	0.054137	0.13782	0.12033	0.49009	0.068613	0.60206	0.11908	0.070268	0.091982	0.23579	0.053044	0.059605	0.044543	0.061963	0.18932	0.13626	0.28081	0.13866	0.094408
Meth__cg27397287__CD97	0.038682	0.1521	0.17801	0.53807	0.17712	0.71549	0.3268	0.2378	0.20463	0.44367	0.076265	0.13512	0.18131	0.15427	0.18914	0.045371	0.058388	0.13711	0.24453	0.41251	0.66639	0.39438	0.083103	0.28986	0.52169	0.30791	0.64288	0.60458	0.033987	0.036477	0.050264	0.4837	0.112	0.44715	0.42564	0.44799
Meth__cg07294734__ATP5D	0.11495	0.062744	0.73667	0.65452	0.33985	0.47602	0.35203	0.52306	0.24894	0.4823	0.053881	0.92611	0.37613	0.27352	0.38461	0.39457	0.19442	0.10782	0.25399	0.1248	0.33472	0.72687	0.48042	0.62498	0.86034	0.088337	0.13993	0.052287	0.086282	0.045154	0.39449	0.071283	0.5759	0.1175	0.22131	0.072789
Meth__cg25268678__PLEKHG6	0.044433	0.98189	0.044993	0.048518	0.20049	0.9809	0.71768	0.027877	0.021103	0.056307	0.033201	0.028799	0.96789	0.40855	0.061124	0.60926	0.075501	0.96034	0.046462	0.072742	0.025338	0.97469	0.028614	0.96343	0.46122	0.092847	0.071415	0.031544	0.020913	0.98761	0.16121	0.41015	0.12861	0.04008	0.044755	0.77807
Meth__cg14870461__AER61	0.69573	0.94442	0.75392	0.97486	0.95143	0.03558	0.22057	0.69238	0.85566	0.24271	0.027343	0.77487	0.87496	0.87452	0.040534	0.020638	0.14968	0.011646	0.2137	0.27823	0.26523	0.17849	0.59615	0.037273	0.25964	0.022156	0.5696	0.017455	0.019148	0.011109	0.6021	0.73793	0.24775	0.49158	0.82783	0.77426
Meth__cg06233503__KCNQ1	0.50235	0.040818	0.62859	0.91735	0.78747	0.22437	0.44312	0.87218	0.38033	0.078643	0.22938	0.41458	0.30963	0.27433	0.1798	0.64766	0.10217	0.047645	0.72299	0.74497	0.34008	0.88757	0.81495	0.14087	0.57032	0.10972	0.41648	0.053277	0.062636	0.037186	0.07619	0.068347	0.2955	0.94357	0.25968	0.21335
Meth__cg26251101__RHOQ	0.066999	0.78895	0.091434	0.075652	0.13254	0.16755	0.11663	0.061611	0.10466	0.14395	0.053805	0.050953	0.67967	0.075131	0.11533	0.45158	0.10351	0.17219	0.052976	0.06556	0.089171	0.57266	0.060423	0.15752	0.060584	0.083105	0.1281	0.045298	0.056012	0.44984	0.050867	0.17923	0.12746	0.080134	0.065411	0.063005
Meth__cg21667836__PRMT8	0.54707	0.098208	0.89071	0.92141	0.91192	0.74081	0.84307	0.87309	0.060228	0.9067	0.37704	0.51733	0.54283	0.078493	0.65346	0.11517	0.16733	0.10683	0.26132	0.79399	0.92433	0.14838	0.93498	0.23677	0.16909	0.17802	0.13846	0.33571	0.091421	0.085486	0.076402	0.81	0.19308	0.8697	0.35864	0.29086
Meth__cg06491116__LOC196264	0.057544	0.044078	0.067925	0.069473	0.059554	0.8318	0.076078	0.036812	0.083268	0.0477	0.061981	0.058571	0.064802	0.10323	0.042002	0.11246	0.088711	0.56951	0.047605	0.050016	0.082218	0.66797	0.073389	0.30599	0.06378	0.095487	0.07812	0.49096	0.046102	0.17732	0.060892	0.042077	0.061119	0.065531	0.14726	0.1028
Meth__cg16080552__TACSTD2	0.081532	0.063337	0.15106	0.16135	0.057061	0.89737	0.17764	0.061114	0.067008	0.12645	0.86069	0.057481	0.13114	0.065351	0.86655	0.34635	0.17581	0.68714	0.17831	0.075019	0.85669	0.8426	0.14745	0.11497	0.08963	0.12395	0.16571	0.376	0.068312	0.87973	0.059489	0.87634	0.087156	0.090214	0.10215	0.4387
Meth__cg03473294__TASP1	0.029399	0.027847	0.039241	0.029496	0.026338	0.029936	0.040013	0.022289	0.02707	0.03798	0.036389	0.024867	0.078889	0.033757	0.032513	0.029901	0.078256	0.039292	0.032476	0.033551	0.032673	0.040279	0.02873	0.081692	0.03686	0.04797	0.05626	0.032777	0.025064	0.034215	0.030519	0.031132	0.071466	0.041849	0.033843	0.039254
Meth__cg03138668__SLC17A7	0.054041	0.039379	0.16823	0.1138	0.065857	0.036591	0.13585	0.27733	0.036358	0.044231	0.1326	0.12533	0.27929	0.048647	0.064501	0.092665	0.066074	0.034409	0.038063	0.23922	0.041994	0.097121	0.16311	0.80747	0.057249	0.059119	0.87084	0.042091	0.037625	0.052533	0.037136	0.10636	0.2848	0.051476	0.047008	0.054989
Meth__cg12119029__CDK10	0.66465	0.043857	0.47988	0.55254	0.096321	0.55768	0.30366	0.85827	0.27817	0.17168	0.043423	0.61857	0.33203	0.35607	0.065205	0.35143	0.16889	0.073689	0.51587	0.25009	0.079891	0.1438	0.3525	0.16947	0.54609	0.085075	0.51336	0.039517	0.80919	0.13215	0.3038	0.079398	0.5196	0.072011	0.32833	0.23771
Meth__cg04057858__UNQ9391	0.52954	0.063359	0.13584	0.081237	0.067658	0.058364	0.084049	0.69903	0.57845	0.066551	0.21483	0.40487	0.096306	0.50882	0.12681	0.56305	0.12076	0.057171	0.16738	0.21623	0.062387	0.061958	0.70593	0.19246	0.066868	0.14272	0.15455	0.055169	0.054401	0.046362	0.068049	0.069307	0.19634	0.26696	0.082934	0.15108
Meth__cg07879977__OR1F1	0.17056	0.017291	0.93093	0.49545	0.62773	0.49756	0.49006	0.96567	0.049787	0.39958	0.79858	0.90534	0.72173	0.055335	0.55128	0.7278	0.053385	0.015665	0.41807	0.64794	0.4494	0.19022	0.59044	0.053911	0.016559	0.01583	0.043405	0.44397	0.42209	0.036379	0.024633	0.3577	0.045351	0.95623	0.41716	0.15209
Meth__cg18695917__FSTL5	0.55365	0.033147	0.71026	0.81365	0.042596	0.033762	0.04104	0.96639	0.033773	0.053297	0.15927	0.61778	0.064478	0.036276	0.034042	0.34409	0.056062	0.046452	0.020556	0.048758	0.032173	0.044155	0.021554	0.68844	0.44108	0.10643	0.87106	0.029173	0.024049	0.026178	0.033218	0.028069	0.62486	0.051979	0.030041	0.043531
Meth__cg20391984__CAMK2D	0.31612	0.028408	0.031847	0.030098	0.020729	0.024807	0.034464	0.021948	0.028296	0.032705	0.029536	0.019297	0.43931	0.13774	0.89283	0.035156	0.073202	0.03037	0.046631	0.032361	0.47952	0.028362	0.026035	0.04983	0.028915	0.066062	0.097034	0.030402	0.027256	0.02238	0.026195	0.03442	0.057846	0.031789	0.033384	0.41549
Meth__cg17178888__FLJ14166	0.037024	0.036153	0.95486	0.041336	0.032211	0.96278	0.90582	0.032903	0.032035	0.038652	0.042942	0.025061	0.12781	0.039275	0.040603	0.043327	0.062198	0.61216	0.038137	0.04295	0.54887	0.044041	0.038531	0.0553	0.040034	0.077529	0.90166	0.054822	0.038252	0.36566	0.028591	0.74384	0.060062	0.038496	0.12007	0.1259
Meth__cg18487515__ZNF342	0.031791	0.039582	0.63621	0.028261	0.035825	0.64466	0.040621	0.025668	0.033478	0.035974	0.035771	0.027136	0.13036	0.039877	0.93579	0.027747	0.056545	0.75966	0.021764	0.042049	0.048196	0.05467	0.021812	0.076582	0.037155	0.048477	0.050013	0.038096	0.03139	0.17918	0.020099	0.02961	0.056975	0.038914	0.034459	0.038648
