Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	UACC812	ZR751	ZR75B
Meth__cg04662594__EPB49	0.14413	0.057739	0.72603	0.43097	0.20208	0.13383	0.77615	0.42758	0.54008	0.54104	0.20677	0.91205	0.57936	0.081503	0.51442	0.43806	0.83929	0.28194	0.029777	0.50257	0.29226	0.62977	0.36075	0.92844	0.51277	0.22274	0.069732	0.29531	0.14622	0.16832	0.10254	0.2259	0.084931	0.046752	0.15904	0.56983	0.16409	0.081246	0.060638
Meth__cg21966410__AR	0.56933	0.032125	0.039161	0.23654	0.034815	0.03352	0.058603	0.82621	0.43431	0.046639	0.92674	0.93937	0.048535	0.025605	0.40183	0.93539	0.6363	0.35405	0.029977	0.047704	0.039575	0.53367	0.2869	0.82955	0.69698	0.047297	0.30636	0.49883	0.36496	0.22589	0.054207	0.53563	0.056747	0.55628	0.027654	0.94602	0.51909	0.33454	0.060654
Meth__cg25028542__ANLN	0.051721	0.08799	0.29911	0.42848	0.10015	0.084771	0.10966	0.028467	0.41217	0.27231	0.036015	0.094752	0.089467	0.46978	0.37059	0.041462	0.071209	0.24968	0.26446	0.18233	0.19365	0.62504	0.034741	0.089783	0.08837	0.17828	0.095814	0.064467	0.25517	0.075437	0.15498	0.032963	0.16747	0.089512	0.23065	0.067245	0.035635	0.34434	0.41291
Meth__cg16772207__MYT1	0.083169	0.063827	0.072753	0.082072	0.91204	0.084928	0.8744	0.78872	0.89657	0.10856	0.91417	0.90116	0.20018	0.077371	0.59751	0.39567	0.55897	0.21709	0.19375	0.14546	0.18205	0.083659	0.6681	0.6034	0.67216	0.067885	0.18433	0.67685	0.12749	0.28674	0.094582	0.090199	0.5259	0.14954	0.1208	0.058513	0.1276	0.056742	0.071455
Meth__cg26781886__EMB	0.050262	0.047916	0.46799	0.034944	0.22899	0.4639	0.15422	0.57331	0.070146	0.056002	0.28988	0.22353	0.084088	0.048669	0.071429	0.48142	0.051394	0.085444	0.044077	0.048127	0.054462	0.06919	0.065374	0.051345	0.06891	0.13697	0.075395	0.11053	0.10573	0.067025	0.074373	0.057915	0.052356	0.052334	0.098291	0.060878	0.064116	0.074225	0.060251
Meth__cg13435381__LGR5	0.11764	0.043954	0.045825	0.071646	0.87043	0.35119	0.86377	0.9395	0.20693	0.047107	0.95298	0.83717	0.65484	0.061254	0.32201	0.90423	0.34042	0.10093	0.051942	0.064652	0.049912	0.73312	0.16594	0.37785	0.082885	0.046162	0.30503	0.54148	0.41658	0.84838	0.095387	0.64276	0.53369	0.077612	0.45519	0.95773	0.14303	0.46766	0.3487
Meth__cg25736482__TMC4	0.077592	0.051087	0.73013	0.076099	0.91311	0.099056	0.63004	0.71058	0.42703	0.49772	0.417	0.81624	0.33098	0.088	0.27978	0.32839	0.82001	0.073094	0.43358	0.21499	0.12149	0.14838	0.8953	0.20641	0.79882	0.41641	0.062643	0.6675	0.67339	0.70182	0.074896	0.79501	0.24056	0.34143	0.11067	0.33862	0.073974	0.092807	0.093068
Meth__cg15443822__ATP2A3	0.11411	0.020918	0.03511	0.047061	0.42492	0.58817	0.6325	0.65203	0.026584	0.24768	0.38707	0.85906	0.61688	0.023735	0.1263	0.44717	0.64477	0.053686	0.021063	0.025446	0.026281	0.10301	0.74845	0.030621	0.44131	0.025094	0.21788	0.3601	0.10346	0.5103	0.059711	0.022819	0.12921	0.063191	0.023694	0.60681	0.024403	0.039703	0.034722
Meth__cg24870391__CCL11	0.12551	0.040778	0.51023	0.48589	0.04363	0.15461	0.27036	0.77013	0.85676	0.29987	0.11842	0.53745	0.23622	0.053119	0.6471	0.24709	0.69726	0.052604	0.059547	0.042172	0.059054	0.13298	0.68903	0.34717	0.14744	0.03077	0.067527	0.036933	0.13186	0.058746	0.079057	0.21707	0.033424	0.053571	0.85129	0.82968	0.2501	0.13241	0.064348
Meth__cg04006554__ENPP5	0.021115	0.014149	0.022505	0.019235	0.51187	0.017875	0.12297	0.01953	0.019041	0.02428	0.017891	0.0098101	0.050765	0.048537	0.023151	0.014756	0.12483	0.042073	0.036621	0.018712	0.026975	0.013645	0.019964	0.012574	0.060823	0.024946	0.021062	0.019595	0.51499	0.021585	0.030195	0.012607	0.01313	0.024196	0.017856	0.012817	0.019541	0.027187	0.025169
Meth__cg06900776__ARMCX3	0.088644	0.01719	0.49363	0.019726	0.013005	0.039035	0.01477	0.1534	0.017069	0.016837	0.017795	0.0148	0.028677	0.019901	0.021401	0.031136	0.3033	0.022605	0.01201	0.012713	0.015146	0.021164	0.095322	0.42194	0.029351	0.019769	0.029588	0.067655	0.35898	0.020087	0.017202	0.01605	0.015725	0.01889	0.020475	0.10023	0.53937	0.025919	0.023929
Meth__cg14601560__SCLY	0.094461	0.08518	0.16414	0.080434	0.084485	0.096664	0.071064	0.67811	0.082814	0.097187	0.11528	0.10229	0.14468	0.073566	0.10303	0.095025	0.09425	0.17969	0.11028	0.12511	0.09561	0.095213	0.11154	0.10431	0.10764	0.098058	0.11868	0.1059	0.13529	0.092012	0.12503	0.099448	0.092221	0.082875	0.093346	0.088259	0.084868	0.081757	0.091196
Meth__cg09837943__ZIM2	0.66324	0.064601	0.34218	0.87892	0.23367	0.6952	0.21734	0.53941	0.078779	0.087402	0.7686	0.73891	0.12215	0.11386	0.10136	0.78077	0.26018	0.11506	0.052262	0.083826	0.1392	0.8381	0.17949	0.70836	0.15335	0.073446	0.097	0.11362	0.32727	0.44049	0.096524	0.65414	0.13955	0.066224	0.040831	0.66171	0.82494	0.083886	0.067368
Meth__cg01770232__IL6	0.079977	0.059036	0.19016	0.080809	0.28671	0.082384	0.11417	0.1156	0.06123	0.062533	0.19062	0.35627	0.68932	0.070778	0.08489	0.078972	0.090909	0.27279	0.067017	0.04754	0.077148	0.27885	0.16344	0.066173	0.13116	0.068051	0.11439	0.088278	0.10474	0.33106	0.10045	0.054982	0.081986	0.056313	0.25104	0.27029	0.07355	0.07183	0.064257
Meth__cg03218909__HAPLN2	0.087496	0.090526	0.34629	0.22203	0.133	0.10207	0.26556	0.37109	0.094939	0.35276	0.22603	0.18935	0.51375	0.087093	0.1018	0.2648	0.14143	0.11197	0.11957	0.10389	0.12972	0.7809	0.22241	0.12816	0.22985	0.12823	0.25443	0.27095	0.13156	0.12185	0.20636	0.08948	0.099825	0.11803	0.53766	0.25872	0.13556	0.09164	0.099238
Meth__cg02154186__PNMA2	0.46875	0.54852	0.33736	0.1365	0.66625	0.95078	0.79819	0.1659	0.45899	0.32462	0.1735	0.95309	0.86561	0.18159	0.50014	0.0633	0.12616	0.31567	0.12938	0.7262	0.65733	0.091316	0.070667	0.49281	0.25244	0.095109	0.11065	0.05919	0.93008	0.1271	0.28611	0.052321	0.17927	0.67307	0.091515	0.18624	0.10416	0.4484	0.38853
Meth__cg03454353__ZFP37	0.62921	0.079996	0.86992	0.041185	0.072726	0.67277	0.55982	0.06032	0.098546	0.071613	0.063459	0.075107	0.4643	0.73365	0.06488	0.060075	0.050706	0.13999	0.074633	0.40744	0.37666	0.26001	0.2108	0.05401	0.4564	0.50394	0.071376	0.073635	0.23802	0.13124	0.11267	0.06572	0.2881	0.12442	0.079916	0.2556	0.08356	0.59934	0.33526
Meth__cg21978299__MCTS1	0.11155	0.018232	0.038894	0.019577	0.017234	0.026936	0.057971	0.11623	0.17519	0.019368	0.024198	0.16883	0.032049	0.0268	0.14943	0.046279	0.32144	0.065073	0.034655	0.023453	0.021593	0.27099	0.045662	0.22108	0.050211	0.052495	0.074215	0.25852	0.19769	0.028283	0.031181	0.097192	0.029166	0.076589	0.043025	0.029038	0.37155	0.070154	0.026681
Meth__cg15320474__UBD	0.84893	0.053608	0.73548	0.045993	0.038844	0.57624	0.48111	0.86805	0.4103	0.13056	0.76804	0.70764	0.55644	0.031794	0.28344	0.65799	0.89327	0.12168	0.043593	0.23451	0.20068	0.28195	0.44106	0.47727	0.22509	0.22826	0.068799	0.1628	0.19729	0.049002	0.15523	0.1626	0.54316	0.044523	0.43692	0.29137	0.37969	0.40811	0.49143
Meth__cg08935003__MS4A6E	0.14696	0.069858	0.56533	0.08967	0.084832	0.11345	0.11479	0.20032	0.54975	0.082323	0.21459	0.078575	0.49254	0.11166	0.46544	0.15752	0.33098	0.17373	0.070431	0.10775	0.086098	0.7592	0.099125	0.1585	0.17892	0.097564	0.16348	0.093635	0.19215	0.078739	0.097599	0.083561	0.062073	0.0842	0.42977	0.10616	0.080221	0.11311	0.098361
Meth__cg04991214__PFDN2	0.41668	0.094997	0.76353	0.23497	0.94325	0.054593	0.93205	0.43365	0.044805	0.087019	0.55952	0.88306	0.32682	0.1261	0.101	0.67905	0.95165	0.078295	0.93395	0.217	0.22655	0.42367	0.94144	0.94217	0.9228	0.11169	0.41733	0.96219	0.11834	0.31662	0.11401	0.38861	0.90557	0.93152	0.45882	0.24443	0.9022	0.25074	0.1899
Meth__cg24012925__SRXN1	0.050023	0.0451	0.17578	0.052594	0.052255	0.07719	0.028754	0.13862	0.52473	0.063853	0.055148	0.092252	0.057688	0.033539	0.42956	0.038842	0.050779	0.074825	0.038497	0.032214	0.054045	0.045237	0.065359	0.052727	0.068253	0.050267	0.10289	0.041973	0.062277	0.054385	0.088528	0.05543	0.045392	0.05193	0.045689	0.030097	0.04704	0.041267	0.044257
Meth__cg23764381__ATRNL1	0.075427	0.059864	0.10302	0.070024	0.046102	0.17119	0.14963	0.026617	0.060032	0.056818	0.091758	0.097052	0.69785	0.076281	0.070703	0.049353	0.061475	0.10672	0.07703	0.57556	0.1517	0.063633	0.057527	0.039535	0.079447	0.052224	0.067647	0.027442	0.86282	0.058296	0.080066	0.045908	0.055814	0.09196	0.041462	0.48883	0.053999	0.081624	0.10556
Meth__cg02973971__CXorf40B	0.43685	0.072903	0.061071	0.37253	0.050088	0.067518	0.041564	0.68137	0.059071	0.052708	0.06435	0.070705	0.10465	0.030929	0.062115	0.31958	0.47369	0.10174	0.056022	0.043507	0.061503	0.44424	0.25707	0.38321	0.13709	0.05355	0.3843	0.45887	0.27019	0.063204	0.099562	0.41854	0.04401	0.35798	0.052438	0.20927	0.48312	0.32424	0.060829
Meth__cg17749961__LYCAT	0.075651	0.2634	0.07144	0.093657	0.058854	0.074945	0.18182	0.045757	0.57779	0.071328	0.061908	0.066059	0.43831	0.33591	0.37249	0.063398	0.074927	0.14895	0.063645	0.068472	0.055124	0.063786	0.045806	0.072541	0.18149	0.13242	0.13517	0.06298	0.1549	0.083421	0.25871	0.057005	0.049411	0.77184	0.054239	0.056137	0.19185	0.077433	0.17192
Meth__cg07623294__ELAVL2	0.76984	0.023497	0.76691	0.06047	0.029583	0.75205	0.039894	0.39253	0.35184	0.42244	0.22432	0.57208	0.052815	0.013979	0.30141	0.032964	0.4	0.17369	0.071794	0.060714	0.22229	0.92579	0.029475	0.13336	0.357	0.0619	0.072806	0.036255	0.12652	0.15892	0.058166	0.26569	0.40747	0.031016	0.039129	0.064694	0.055391	0.031217	0.022426
Meth__cg08724563__RAX	0.1431	0.043422	0.1511	0.09706	0.086692	0.2094	0.040973	0.40924	0.048538	0.053441	0.37822	0.063287	0.096417	0.032449	0.063547	0.069422	0.039329	0.080651	0.044675	0.044465	0.049682	0.5772	0.052867	0.8604	0.16795	0.055255	0.073585	0.18161	0.11848	0.065699	0.10343	0.045847	0.043203	0.052759	0.070841	0.15467	0.059403	0.045041	0.10929
Meth__cg02071305__VPS18	0.084486	0.065683	0.32971	0.18407	0.68737	0.080694	0.37016	0.23347	0.26751	0.15766	0.35339	0.74601	0.36763	0.063488	0.21324	0.16549	0.093996	0.19113	0.10364	0.11258	0.19554	0.38589	0.5693	0.42278	0.27112	0.083451	0.088785	0.25302	0.10745	0.35223	0.14799	0.056451	0.12891	0.14015	0.29321	0.069015	0.22074	0.057622	0.051182
Meth__cg18602314__GFPT2	0.071848	0.11224	0.48736	0.6961	0.32391	0.18614	0.17417	0.057962	0.033032	0.27946	0.065223	0.1209	0.26977	0.16824	0.043134	0.094129	0.035129	0.3272	0.031722	0.78156	0.87288	0.042636	0.048602	0.16323	0.10731	0.42702	0.1271	0.026266	0.86885	0.18424	0.083512	0.25664	0.029872	0.085159	0.029205	0.42154	0.040592	0.40696	0.32165
Meth__cg15401952__KCNIP4	0.43554	0.062348	0.6507	0.058579	0.11317	0.45848	0.075178	0.6966	0.16433	0.080218	0.54311	0.23019	0.10363	0.051237	0.16752	0.11433	0.084012	0.19555	0.059561	0.071149	0.081711	0.14014	0.10254	0.097438	0.24786	0.068244	0.14573	0.15247	0.19902	0.073826	0.11406	0.070244	0.47172	0.06354	0.27693	0.18124	0.077857	0.18401	0.11699
Meth__cg15746445__TRPM8	0.52641	0.058123	0.8337	0.43087	0.082261	0.65803	0.55598	0.91442	0.37803	0.078028	0.09662	0.69966	0.62958	0.17256	0.28194	0.12248	0.26194	0.13919	0.16532	0.070709	0.096798	0.12908	0.86369	0.91644	0.42998	0.11328	0.082377	0.64669	0.37978	0.11525	0.13616	0.45305	0.28623	0.065519	0.86319	0.10046	0.85175	0.44641	0.17042
Meth__cg08800033__CETN2	0.57626	0.09642	0.14304	0.19934	0.044644	0.12809	0.21921	0.69356	0.087507	0.097967	0.13646	0.33611	0.21063	0.059097	0.10016	0.257	0.34402	0.101	0.14213	0.083447	0.074895	0.48397	0.20339	0.38961	0.13421	0.074832	0.27354	0.2796	0.27839	0.10634	0.28211	0.43589	0.05696	0.30448	0.10064	0.12612	0.66982	0.26299	0.12634
Meth__cg00121640__ASTN2	0.05728	0.046987	0.061001	0.045876	0.47682	0.066354	0.070142	0.45965	0.048248	0.069065	0.23746	0.26397	0.1686	0.056293	0.058457	0.23159	0.11175	0.07346	0.052418	0.14659	0.06326	0.056571	0.074806	0.062655	0.48478	0.055438	0.068129	0.15343	0.13411	0.20749	0.061688	0.061738	0.065167	0.067239	0.063453	0.19914	0.059246	0.054147	0.062521
Meth__cg07426960__CCND1	0.038915	0.034313	0.061148	0.05649	0.802	0.03269	0.76	0.51761	0.51835	0.057784	0.7324	0.78985	0.32441	0.025804	0.40221	0.65707	0.79145	0.25366	0.26056	0.050159	0.076663	0.072296	0.78367	0.058951	0.06195	0.055254	0.093726	0.78694	0.077376	0.51658	0.071411	0.58481	0.77327	0.19309	0.060129	0.034752	0.045133	0.050558	0.033028
Meth__cg13588354__MC3R	0.56869	0.049341	0.09411	0.052003	0.39371	0.10875	0.088449	0.29749	0.074975	0.057907	0.14171	0.15438	0.10208	0.048376	0.077154	0.15399	0.25205	0.10736	0.068043	0.051197	0.084459	0.075718	0.18844	0.16543	0.14638	0.07001	0.15318	0.084467	0.48129	0.083162	0.087319	0.056945	0.06283	0.096823	0.16232	0.19277	0.069308	0.058073	0.058007
Meth__cg10758292__DEFA1	0.16248	0.068423	0.33185	0.1273	0.066962	0.1376	0.17638	0.58153	0.22176	0.10036	0.76492	0.62327	0.86463	0.057351	0.27473	0.143	0.63345	0.15311	0.033838	0.30105	0.18921	0.15366	0.099421	0.73651	0.15921	0.13974	0.16744	0.1534	0.39428	0.079289	0.04676	0.10331	0.047098	0.082263	0.6606	0.31738	0.37842	0.091669	0.076957
Meth__cg11961618__PHLDA2	0.043776	0.042329	0.056599	0.049582	0.31789	0.053029	0.065675	0.17973	0.045832	0.058852	0.75176	0.062098	0.096401	0.03859	0.058278	0.061376	0.049603	0.12395	0.065844	0.04999	0.052776	0.12524	0.17244	0.045494	0.11629	0.056781	0.070582	0.089192	0.095182	0.049884	0.082847	0.063692	0.058214	0.047015	0.089817	0.05121	0.048775	0.045356	0.046246
Meth__cg02718725__CNN3	0.095922	0.76956	0.46418	0.685	0.066589	0.078282	0.078567	0.1107	0.084016	0.15205	0.079197	0.086041	0.55908	0.1035	0.098818	0.092466	0.068525	0.12611	0.063976	0.87256	0.84551	0.07334	0.094955	0.087847	0.17061	0.097633	0.1625	0.10138	0.14765	0.088631	0.35906	0.062677	0.086289	0.51229	0.23058	0.080878	0.1228	0.38835	0.78004
Meth__cg14869028__TINAGL1	0.068228	0.062479	0.83979	0.84893	0.8138	0.83406	0.23926	0.051463	0.068701	0.81607	0.060682	0.045756	0.097581	0.87674	0.071189	0.05152	0.092365	0.10536	0.64931	0.88914	0.86253	0.70222	0.45233	0.058668	0.10531	0.50548	0.148	0.75192	0.7986	0.054332	0.075731	0.10345	0.062399	0.18042	0.39098	0.82313	0.11027	0.79607	0.79316
Meth__cg17810944__GDAP1L1	0.10796	0.06367	0.41314	0.68567	0.13108	0.24583	0.069748	0.25189	0.37983	0.076903	0.56053	0.48191	0.4434	0.039897	0.35691	0.16275	0.23208	0.056075	0.053352	0.77191	0.77211	0.6982	0.33543	0.77216	0.23197	0.14306	0.049433	0.17117	0.33554	0.26921	0.053729	0.12154	0.054475	0.051502	0.76697	0.278	0.087869	0.16069	0.1689
Meth__cg06256735__MFAP5	0.36047	0.054363	0.83534	0.47908	0.054447	0.40666	0.36862	0.75335	0.80821	0.52194	0.69524	0.39655	0.63729	0.076193	0.59187	0.28157	0.83392	0.12696	0.090909	0.23179	0.1657	0.8784	0.092885	0.84331	0.065745	0.21824	0.24171	0.28448	0.19701	0.10246	0.049099	0.058668	0.20204	0.19564	0.72083	0.29616	0.1269	0.34018	0.17583
Meth__cg01646665__TMEM79	0.03049	0.039012	0.15621	0.032032	0.7164	0.075569	0.62003	0.52293	0.07336	0.035257	0.02801	0.75763	0.14043	0.23356	0.085961	0.056613	0.084144	0.093932	0.042791	0.054557	0.041235	0.063337	0.77509	0.12657	0.36229	0.21729	0.067576	0.052994	0.033162	0.079115	0.04515	0.20351	0.062817	0.034564	0.34473	0.13033	0.077972	0.033553	0.029956
Meth__cg25268718__PSME1	0.071893	0.069773	0.17458	0.22885	0.77674	0.24859	0.74469	0.26522	0.42718	0.095301	0.8254	0.55866	0.34527	0.041492	0.32454	0.26614	0.43667	0.24196	0.44847	0.26676	0.17444	0.37581	0.64932	0.096833	0.5871	0.12062	0.16747	0.64923	0.13104	0.15256	0.098056	0.10086	0.090032	0.41082	0.42967	0.17126	0.09019	0.11202	0.14596
Meth__cg12343638__PCDHB12	0.4636	0.061951	0.65021	0.06041	0.83271	0.088175	0.10281	0.9072	0.8437	0.08358	0.85212	0.88951	0.21859	0.62279	0.65414	0.79423	0.31895	0.36091	0.082973	0.061314	0.61075	0.1478	0.67159	0.7131	0.18288	0.22521	0.099347	0.14587	0.15643	0.80269	0.10999	0.077068	0.82369	0.090839	0.83708	0.32646	0.28538	0.072437	0.087548
Meth__cg23613317__LARP1	0.072952	0.096369	0.13242	0.082979	0.88962	0.086897	0.88097	0.91516	0.43626	0.073621	0.88792	0.602	0.72989	0.10704	0.39995	0.41386	0.89715	0.39357	0.69157	0.083825	0.097112	0.080109	0.89771	0.090634	0.81449	0.080833	0.14807	0.89272	0.18438	0.084588	0.16238	0.88573	0.11466	0.62775	0.12875	0.077075	0.079965	0.084131	0.098184
Meth__cg09022808__GAL3ST1	0.60383	0.073743	0.8694	0.54576	0.12929	0.49182	0.59254	0.93312	0.11901	0.3581	0.21571	0.81284	0.74854	0.070677	0.078487	0.33611	0.75651	0.11084	0.042775	0.61612	0.62323	0.88594	0.71326	0.8527	0.12827	0.36105	0.06549	0.45622	0.19813	0.22737	0.11678	0.55692	0.42261	0.086492	0.45644	0.19094	0.71285	0.19396	0.12196
Meth__cg02742971__OSR1	0.61852	0.54077	0.97306	0.95347	0.97732	0.97813	0.087783	0.023001	0.036597	0.97819	0.041565	0.050982	0.9635	0.39343	0.47405	0.034717	0.026228	0.083651	0.028041	0.97779	0.97755	0.97979	0.16488	0.051799	0.057526	0.96614	0.042018	0.46136	0.97212	0.10386	0.44046	0.029153	0.064863	0.13093	0.92785	0.98247	0.75702	0.78879	0.73481
Meth__cg07947016__KLK2	0.07508	0.030966	0.83688	0.060993	0.06336	0.05659	0.1082	0.85223	0.054439	0.043308	0.094032	0.61186	0.36447	0.020204	0.077556	0.077409	0.31889	0.06187	0.037062	0.20093	0.11492	0.041704	0.067283	0.5169	0.10341	0.13156	0.051111	0.071604	0.16134	0.096909	0.052602	0.23495	0.045943	0.031652	0.70969	0.66501	0.31797	0.049485	0.062241
Meth__cg01535453__ACADS	0.50289	0.96803	0.92864	0.15151	0.97295	0.10014	0.079316	0.04812	0.08931	0.21009	0.093761	0.071077	0.93647	0.98089	0.36773	0.072031	0.050949	0.13158	0.048585	0.16734	0.12486	0.091584	0.11514	0.10465	0.58504	0.96465	0.097405	0.054503	0.94702	0.081264	0.93738	0.1287	0.076404	0.065188	0.090626	0.034667	0.062523	0.96573	0.96446
Meth__cg24968336__KCNK6	0.055029	0.29251	0.34206	0.26666	0.89598	0.066996	0.34797	0.90938	0.39732	0.4462	0.10864	0.80086	0.53039	0.54682	0.38988	0.56271	0.46583	0.093795	0.20591	0.27657	0.079055	0.06784	0.79717	0.4058	0.79421	0.44313	0.1064	0.92322	0.46202	0.53644	0.21682	0.48296	0.082581	0.14321	0.82451	0.55102	0.065219	0.066534	0.10117
Meth__cg03464416__RPL10	0.29175	0.10284	0.13926	0.2965	0.044466	0.092711	0.14286	0.77732	0.064879	0.067116	0.056461	0.187	0.12142	0.034128	0.094791	0.39406	0.66814	0.14067	0.10954	0.048007	0.066101	0.65254	0.65323	0.57267	0.17465	0.087452	0.17209	0.21597	0.27435	0.058134	0.081437	0.41715	0.036505	0.45381	0.077563	0.13096	0.69503	0.31173	0.076412
Meth__cg23188547__CDC6	0.036233	0.034139	0.079664	0.03191	0.077016	0.046542	0.19637	0.17391	0.10176	0.079587	0.04885	0.34936	0.097653	0.029494	0.080106	0.038057	0.16336	0.067368	0.044665	0.03343	0.11031	0.053757	0.042064	0.075227	0.10219	0.040303	0.077451	0.061336	0.065544	0.047725	0.029046	0.037251	0.043568	0.036772	0.047631	0.039283	0.03158	0.048145	0.04126
Meth__cg19963797__GLT28D1	0.039963	0.026423	0.046532	0.56138	0.030446	0.042169	0.049785	0.75291	0.47755	0.80261	0.026449	0.044051	0.052625	0.020391	0.40578	0.60769	0.71629	0.32057	0.02681	0.020911	0.049884	0.7029	0.067835	0.65681	0.058102	0.04879	0.53207	0.68502	0.56054	0.029916	0.035501	0.73186	0.028166	0.6609	0.028369	0.51646	0.022337	0.029715	0.033673
Meth__cg22443330__KIAA1018	0.080933	0.075801	0.17445	0.096182	0.10713	0.14815	0.49966	0.58581	0.12938	0.14222	0.12661	0.61132	0.19462	0.086074	0.12843	0.24454	0.70141	0.2029	0.10426	0.15674	0.31798	0.13315	0.85371	0.11659	0.55452	0.20316	0.13085	0.56068	0.29203	0.54037	0.11289	0.099088	0.44444	0.68354	0.11757	0.082564	0.11957	0.075152	0.099894
Meth__cg08615333__TGFB3	0.058346	0.03908	0.068886	0.072273	0.87989	0.053721	0.71676	0.89822	0.052509	0.053832	0.58844	0.86724	0.8214	0.049346	0.064406	0.83482	0.60806	0.15361	0.47318	0.13361	0.2025	0.057362	0.85897	0.061009	0.81177	0.057025	0.086523	0.87923	0.073597	0.13196	0.038126	0.88446	0.85737	0.65699	0.055006	0.046168	0.037415	0.051905	0.062215
Meth__cg26198807__C11orf49	0.3585	0.050406	0.37388	0.18144	0.40242	0.31939	0.70428	0.58882	0.33184	0.093693	0.3008	0.48553	0.44789	0.10242	0.28446	0.19649	0.78751	0.24759	0.076038	0.087028	0.069327	0.57528	0.13779	0.18636	0.29339	0.1247	0.18048	0.1153	0.30413	0.17242	0.12077	0.062239	0.14204	0.080052	0.19013	0.15319	0.14648	0.10379	0.069735
Meth__cg04856043__HS1BP3	0.046779	0.040913	0.04961	0.036032	0.13053	0.036265	0.045414	0.70706	0.037203	0.043326	0.054773	0.19949	0.30616	0.031072	0.051374	0.048479	0.051069	0.069107	0.039262	0.049456	0.046575	0.057196	0.066015	0.034703	0.19391	0.050813	0.07946	0.047225	0.093413	0.2362	0.09053	0.040375	0.036157	0.03327	0.049359	0.038875	0.042188	0.039642	0.042528
Meth__cg06119575__TAL2	0.10012	0.072806	0.062783	0.063225	0.89841	0.10781	0.66314	0.92706	0.25943	0.078993	0.83141	0.69468	0.63483	0.064909	0.23555	0.72825	0.91111	0.27867	0.52593	0.096774	0.13725	0.1245	0.87936	0.4417	0.79581	0.070991	0.17377	0.84072	0.35539	0.74282	0.14488	0.87783	0.85709	0.84144	0.072355	0.12467	0.13239	0.14608	0.096358
Meth__cg05898102__PCDHB10	0.087634	0.019017	0.36453	0.036148	0.13926	0.076855	0.083905	0.42496	0.20254	0.036783	0.0363	0.14586	0.09125	0.14923	0.15148	0.39512	0.034811	0.11395	0.049024	0.038049	0.22219	0.064186	0.67845	0.34984	0.067959	0.053056	0.052137	0.051012	0.13614	0.2152	0.030311	0.18043	0.29184	0.036606	0.34844	0.054175	0.052809	0.069337	0.031455
Meth__cg18917378__BCAS1	0.064876	0.044466	0.047498	0.04833	0.27358	0.047544	0.17546	0.89978	0.19452	0.046767	0.30694	0.1488	0.073962	0.046452	0.1287	0.5417	0.82707	0.26178	0.039681	0.037449	0.05945	0.049269	0.15956	0.041126	0.59626	0.044455	0.061076	0.29026	0.14137	0.070041	0.046566	0.42585	0.70947	0.1484	0.04078	0.048967	0.051877	0.039871	0.038021
Meth__cg12685753__TEKT1	0.070802	0.054663	0.49705	0.1292	0.89891	0.2017	0.73191	0.41027	0.5825	0.13821	0.80118	0.4034	0.33898	0.077705	0.39989	0.46884	0.12483	0.090134	0.036312	0.07449	0.1263	0.51615	0.17102	0.1594	0.6563	0.086073	0.15162	0.64989	0.59434	0.67897	0.15785	0.060512	0.041783	0.83396	0.55304	0.27729	0.091681	0.17144	0.084378
Meth__cg11521325__FLJ32926	0.28701	0.051987	0.5736	0.37893	0.16098	0.18985	0.16181	0.79586	0.15842	0.24987	0.31047	0.60519	0.20071	0.02444	0.12292	0.18714	0.57895	0.10666	0.082371	0.40238	0.40775	0.66196	0.49883	0.80626	0.11307	0.145	0.079541	0.22371	0.14745	0.18589	0.12227	0.062955	0.1	0.072416	0.17326	0.080756	0.75243	0.18562	0.11095
Meth__cg00158308__OXGR1	0.33312	0.11737	0.55966	0.048988	0.71999	0.1551	0.30715	0.88676	0.35014	0.05165	0.43885	0.2134	0.81235	0.18683	0.3556	0.88044	0.17999	0.17633	0.055057	0.044263	0.057046	0.79558	0.18052	0.030435	0.74465	0.11782	0.28434	0.502	0.10607	0.12436	0.11299	0.2942	0.44055	0.048886	0.43438	0.63847	0.076068	0.051324	0.62907
Meth__cg13573276__RDHE2	0.016523	0.014317	0.020033	0.016051	0.41125	0.032561	0.80529	0.88843	0.016928	0.022355	0.71951	0.93142	0.49314	0.030284	0.11538	0.024764	0.080129	0.037636	0.17946	0.06535	0.02112	0.42463	0.43812	0.01845	0.036997	0.034766	0.028797	0.11561	0.33441	0.43398	0.025448	0.050405	0.018971	0.11309	0.17914	0.039131	0.021787	0.019681	0.016418
Meth__cg02131399__LRP1	0.031678	0.033451	0.050318	0.03647	0.092076	0.047951	0.043277	0.27619	0.029531	0.04739	0.041897	0.057896	0.25622	0.023085	0.041204	0.047714	0.067364	0.055221	0.036021	0.029969	0.038781	0.043352	0.13514	0.030821	0.073629	0.034442	0.064463	0.39642	0.12143	0.042994	0.067229	0.032376	0.031543	0.036939	0.075099	0.083423	0.041885	0.043013	0.033584
