Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg01119135__C1orf116	0.036851	0.042178	0.94164	0.037065	0.37302	0.047518	0.044939	0.050966	0.068522	0.75932	0.032906	0.11608	0.054218	0.14737	0.64068	0.047992	0.20286	0.27997	0.17358	0.088714	0.86302	0.36442	0.056635	0.20802	0.096646	0.044097	0.037459	0.38237	0.15952	0.036644	0.057437	0.16414	0.04729	0.14094	0.13371
Meth__cg18542098__FLJ36445	0.032852	0.036745	0.044937	0.031334	0.96469	0.05598	0.97776	0.88694	0.41796	0.033953	0.87443	0.10039	0.7374	0.43826	0.96699	0.31788	0.87242	0.053616	0.038608	0.95631	0.93541	0.035019	0.492	0.053737	0.043999	0.74378	0.029828	0.83903	0.030072	0.039215	0.021016	0.038899	0.02832	0.038541	0.033928
Meth__cg00466249__MGC15523	0.092023	0.065303	0.2403	0.071753	0.76543	0.1075	0.35207	0.37706	0.20109	0.10238	0.63695	0.43023	0.32491	0.36145	0.24243	0.083399	0.89086	0.044207	0.068353	0.77008	0.25636	0.06278	0.14313	0.10094	0.12175	0.32064	0.047963	0.23162	0.53284	0.095648	0.53721	0.19014	0.32812	0.086398	0.070755
Meth__cg24968336__KCNK6	0.055029	0.29251	0.82335	0.34206	0.89598	0.066996	0.90938	0.39732	0.4462	0.10864	0.80086	0.53039	0.38988	0.56271	0.46583	0.093795	0.20591	0.27657	0.079055	0.79717	0.79421	0.44313	0.1064	0.46202	0.21682	0.48296	0.082581	0.14321	0.82451	0.11075	0.55102	0.16124	0.065219	0.066534	0.10117
Meth__cg24727182__AGXT2L1	0.013012	0.017431	0.020171	0.0169	0.59039	0.018859	0.072548	0.013547	0.016235	0.034436	0.013756	0.054329	0.016475	0.4632	0.013951	0.029797	0.36626	0.015635	0.01768	0.028409	0.63447	0.014029	0.02426	0.028502	0.025074	0.063387	0.015235	0.026164	0.01817	0.015341	0.03326	0.060164	0.014208	0.016754	0.01359
Meth__cg15536490__TFAP2C	0.059396	0.18763	0.90018	0.6959	0.5813	0.31737	0.097177	0.064123	0.59638	0.088887	0.14152	0.70011	0.075386	0.87556	0.085656	0.055352	0.19264	0.52182	0.4541	0.75795	0.58258	0.15627	0.071632	0.10173	0.22787	0.064712	0.052081	0.63587	0.18675	0.61247	0.53061	0.071436	0.050237	0.65072	0.59185
Meth__cg06110728__NELL2	0.064612	0.044152	0.053565	0.098365	0.47362	0.56305	0.3592	0.062757	0.068335	0.60621	0.43884	0.45239	0.079277	0.069219	0.11539	0.21797	0.36092	0.085679	0.052666	0.058454	0.5171	0.049122	0.20846	0.16766	0.091417	0.060146	0.035157	0.081041	0.060132	0.11761	0.06004	0.090971	0.061305	0.066498	0.056571
Meth__cg12529801__PRO0149	0.029528	0.042743	0.13522	0.035783	0.88324	0.36897	0.04592	0.02717	0.02187	0.023709	0.035454	0.069167	0.031506	0.027884	0.041547	0.020552	0.031816	0.013935	0.020908	0.040728	0.19898	0.020155	0.023833	0.047948	0.041789	0.020279	0.021717	0.091529	0.023291	0.016421	0.037023	0.045782	0.020007	0.02195	0.02493
Meth__cg14600040__GPC4	0.11666	0.047305	0.51449	0.064543	0.59784	0.052623	0.47069	0.051248	0.32377	0.060686	0.040227	0.19926	0.048068	0.30623	0.57243	0.11645	0.051061	0.049945	0.052292	0.086311	0.39778	0.066984	0.093779	0.14946	0.085248	0.44925	0.043049	0.13619	0.12221	0.056569	0.35127	0.1082	0.34369	0.087044	0.053141
Meth__cg03684977__GRB7	0.025921	0.019566	0.2033	0.042199	0.9494	0.031885	0.091285	0.15966	0.053698	0.022015	0.31861	0.18094	0.16822	0.1049	0.9466	0.045443	0.91461	0.031285	0.067035	0.95438	0.8784	0.034811	0.072712	0.038093	0.038829	0.95271	0.032736	0.92172	0.29678	0.089341	0.025857	0.037357	0.25562	0.028932	0.0395
Meth__cg02537838__C20orf151	0.054806	0.058138	0.07519	0.053443	0.84168	0.063223	0.043171	0.046606	0.071374	0.05415	0.058861	0.079328	0.060522	0.074077	0.87468	0.088135	0.3752	0.0485	0.058087	0.85475	0.74088	0.065833	0.090438	0.11716	0.067954	0.84203	0.067186	0.48956	0.060225	0.056453	0.071691	0.044814	0.068524	0.053769	0.055417
Meth__cg21712685__UNQ3045	0.046434	0.04306	0.50889	0.058518	0.61885	0.093688	0.14421	0.031645	0.042702	0.045603	0.064123	0.39538	0.038326	0.86026	0.039921	0.11903	0.11086	0.054947	0.060668	0.17914	0.041079	0.038582	0.078509	0.18845	0.079435	0.04887	0.038831	0.060926	0.096149	0.039312	0.039876	0.042503	0.045876	0.043031	0.044983
Meth__cg01656853__FUT2	0.066308	0.1365	0.66314	0.31179	0.86601	0.41167	0.71885	0.75433	0.12388	0.81615	0.19134	0.47425	0.59451	0.068335	0.60996	0.1889	0.5215	0.72034	0.46292	0.7816	0.51226	0.29652	0.079202	0.18265	0.19463	0.50328	0.073761	0.87192	0.90646	0.14798	0.54472	0.041762	0.060721	0.058727	0.25842
Meth__cg20664247__PEX10	0.064539	0.059478	0.67769	0.21777	0.35184	0.4869	0.052377	0.038425	0.28743	0.15793	0.92684	0.6296	0.040683	0.14339	0.095374	0.084277	0.090426	0.092295	0.045956	0.6908	0.042902	0.30314	0.06198	0.089155	0.12693	0.032914	0.11006	0.42352	0.16033	0.51825	0.20872	0.090155	0.12936	0.043837	0.023575
Meth__cg02838492__KIF12	0.036195	0.063233	0.96731	0.61455	0.96852	0.052254	0.96362	0.92896	0.042802	0.95791	0.92256	0.94723	0.75667	0.95485	0.97149	0.51175	0.96503	0.31506	0.58426	0.7132	0.91032	0.05071	0.052868	0.94632	0.14717	0.6588	0.97778	0.96632	0.23819	0.051838	0.028466	0.064142	0.07434	0.74537	0.13824
Meth__cg15302379__KAZALD1	0.072226	0.7086	0.59171	0.18011	0.40398	0.83333	0.094105	0.2289	0.90523	0.83042	0.54389	0.9097	0.25357	0.88522	0.35351	0.11037	0.29469	0.22952	0.30772	0.91205	0.11559	0.13913	0.086526	0.10482	0.77772	0.14107	0.050584	0.86335	0.032404	0.4892	0.051285	0.064621	0.79699	0.088838	0.052431
Meth__cg21832243__TTC3	0.13711	0.23406	0.60887	0.15828	0.37517	0.15572	0.62452	0.12283	0.13416	0.2152	0.59431	0.81122	0.13027	0.82389	0.63473	0.36332	0.16294	0.13184	0.17234	0.70032	0.29372	0.17443	0.27817	0.14617	0.1795	0.11292	0.15256	0.19602	0.12761	0.19129	0.16153	0.13714	0.092547	0.21091	0.12703
Meth__cg01968178__REEP1	0.035918	0.034781	0.32589	0.038688	0.17988	0.049902	0.1076	0.042859	0.05595	0.17338	0.06864	0.12855	0.049739	0.099982	0.089925	0.12993	0.047491	0.054623	0.045606	0.1244	0.59568	0.038283	0.085289	0.13097	0.05461	0.037492	0.073046	0.041651	0.030471	0.02979	0.080094	0.053427	0.037245	0.036759	0.038334
Meth__cg24482053__MLH3	0.055832	0.04902	0.062086	0.072467	0.046766	0.062144	0.077765	0.054436	0.056872	0.054401	0.094477	0.35816	0.050304	0.070799	0.045522	0.052747	0.056692	0.03863	0.047086	0.17305	0.071162	0.055459	0.13291	0.075597	0.050725	0.044706	0.045691	0.12775	0.12037	0.066819	0.060426	0.049927	0.048389	0.050268	0.057209
Meth__cg11990309__HTR1E	0.038295	0.033872	0.90909	0.55549	0.81744	0.13464	0.50531	0.15149	0.58196	0.90272	0.77358	0.60507	0.15432	0.46175	0.26692	0.052868	0.18734	0.51877	0.36495	0.21098	0.76553	0.13106	0.069964	0.17299	0.11083	0.056185	0.084292	0.48623	0.40035	0.044346	0.54461	0.27472	0.41924	0.088472	0.20924
Meth__cg15916628__ZNF579	0.095861	0.053042	0.52897	0.25998	0.83925	0.11582	0.78023	0.12223	0.06546	0.6025	0.47647	0.4974	0.1257	0.65217	0.53378	0.20199	0.27212	0.36003	0.3678	0.65202	0.41145	0.32094	0.20163	0.51963	0.080961	0.058166	0.48489	0.075974	0.36066	0.068801	0.17208	0.12271	0.070472	0.074426	0.21342
Meth__cg01943185__NMU	0.069025	0.070517	0.84155	0.078391	0.56454	0.088361	0.38918	0.044322	0.068869	0.48607	0.10255	0.35338	0.057267	0.047291	0.068821	0.093509	0.3806	0.27961	0.19246	0.43393	0.11653	0.074722	0.056784	0.11291	0.10927	0.081554	0.043942	0.13448	0.16574	0.054279	0.18732	0.073356	0.062367	0.053995	0.055167
Meth__cg10364513__RXRG	0.19848	0.042288	0.96685	0.21699	0.95135	0.73901	0.98419	0.11845	0.051935	0.70508	0.19318	0.96354	0.088997	0.61707	0.24076	0.27146	0.3159	0.4393	0.14545	0.11603	0.93203	0.54192	0.12531	0.54939	0.079117	0.22745	0.45531	0.42144	0.93674	0.041838	0.94798	0.071121	0.062047	0.19249	0.55244
Meth__cg12406559__ZNF532	0.91344	0.93042	0.23596	0.86113	0.065192	0.83474	0.076037	0.7128	0.83341	0.12665	0.16352	0.19673	0.69876	0.1885	0.032781	0.11551	0.073847	0.89921	0.91448	0.13701	0.19709	0.47903	0.32182	0.24529	0.91357	0.10545	0.050257	0.067582	0.9119	0.12405	0.9	0.16723	0.39293	0.34716	0.78647
Meth__cg11251858__ESR1	0.043122	0.021661	0.051909	0.040506	0.86898	0.054319	0.40646	0.033301	0.037621	0.41743	0.047859	0.48639	0.032628	0.83028	0.15516	0.065008	0.038652	0.27508	0.036017	0.13767	0.80311	0.035203	0.090744	0.085968	0.091545	0.04171	0.033429	0.062001	0.060344	0.028998	0.32228	0.10342	0.037232	0.04162	0.050561
Meth__cg03963198__IRX4	0.042102	0.048821	0.064719	0.043255	0.96975	0.047011	0.96991	0.046755	0.049895	0.065877	0.43538	0.6935	0.054465	0.8032	0.13793	0.14051	0.32607	0.037552	0.044926	0.46751	0.92356	0.040259	0.065359	0.48755	0.084016	0.089288	0.040353	0.58481	0.03944	0.039851	0.17358	0.072323	0.058045	0.055202	0.053696
Meth__cg10226546__NFATC2	0.13682	0.074806	0.60618	0.39783	0.88973	0.15567	0.10393	0.25237	0.16795	0.82509	0.19669	0.61321	0.18656	0.27873	0.7492	0.2771	0.8454	0.091945	0.051511	0.89691	0.38647	0.11003	0.26394	0.75312	0.087212	0.50658	0.16447	0.88409	0.086852	0.088675	0.78513	0.15241	0.17553	0.14022	0.12496
Meth__cg24890043__DKFZP566N034	0.092431	0.058868	0.97055	0.048925	0.96179	0.16296	0.33527	0.032647	0.082522	0.9206	0.15115	0.91025	0.10576	0.046373	0.15009	0.16936	0.22278	0.40879	0.13191	0.10323	0.58034	0.092111	0.1529	0.93699	0.052757	0.038223	0.028481	0.85991	0.045447	0.037182	0.71141	0.06438	0.042894	0.044156	0.05735
Meth__cg20807545__ADAMTS18	0.07786	0.057228	0.48839	0.068917	0.67129	0.063842	0.92873	0.16708	0.3482	0.89193	0.9043	0.39993	0.13968	0.85419	0.22262	0.11235	0.5143	0.075929	0.070913	0.35163	0.57753	0.1078	0.14605	0.87322	0.090043	0.16798	0.89192	0.75129	0.35375	0.050696	0.33851	0.11401	0.13589	0.64761	0.45957
Meth__cg27504805__NPY2R	0.070495	0.047227	0.15659	0.099664	0.22545	0.58456	0.93622	0.049876	0.056904	0.6843	0.53058	0.35404	0.066186	0.71605	0.05093	0.059346	0.063194	0.054862	0.076393	0.17145	0.7685	0.058586	0.12892	0.53757	0.10284	0.052152	0.075888	0.1568	0.096793	0.048368	0.074979	0.075144	0.067147	0.056067	0.1478
Meth__cg02131399__LRP1	0.031678	0.033451	0.044336	0.050318	0.092076	0.047951	0.27619	0.029531	0.04739	0.041897	0.057896	0.25622	0.041204	0.047714	0.067364	0.055221	0.036021	0.029969	0.038781	0.13514	0.073629	0.034442	0.064463	0.12143	0.067229	0.032376	0.031543	0.036939	0.075099	0.032315	0.083423	0.061597	0.041885	0.043013	0.033584
Meth__cg06745740__HGF	0.29978	0.044027	0.20516	0.59438	0.77124	0.43395	0.76494	0.76497	0.14101	0.67729	0.17938	0.66156	0.69123	0.46762	0.40309	0.14987	0.74311	0.04926	0.10446	0.39733	0.69808	0.25872	0.14927	0.48233	0.058748	0.098878	0.84888	0.33275	0.69128	0.048051	0.13428	0.084993	0.22309	0.21883	0.14132
Meth__cg23799276__NUP210	0.081755	0.083301	0.086868	0.078426	0.68181	0.11655	0.18176	0.08311	0.082918	0.55181	0.071611	0.11624	0.099638	0.12276	0.14884	0.083385	0.35774	0.05884	0.12075	0.16491	0.093512	0.083659	0.10725	0.12371	0.10643	0.18337	0.055287	0.11634	0.059364	0.058412	0.052595	0.15958	0.069522	0.079156	0.074449
Meth__cg00655307__ESR1	0.032101	0.017673	0.04616	0.038249	0.12369	0.043188	0.94207	0.030673	0.028457	0.82135	0.096178	0.86922	0.021974	0.83422	0.054121	0.048789	0.034307	0.15096	0.024875	0.13478	0.54272	0.030584	0.048395	0.053378	0.052716	0.033003	0.036515	0.13206	0.12319	0.023781	0.2149	0.10203	0.032647	0.063696	0.037287
Meth__cg09553358__BM88	0.19551	0.032216	0.18956	0.62024	0.67366	0.5422	0.92269	0.60857	0.060298	0.96309	0.91798	0.68254	0.52351	0.14619	0.92848	0.22437	0.89478	0.81504	0.76277	0.86417	0.88758	0.51789	0.12487	0.9519	0.05399	0.028121	0.30309	0.7356	0.64381	0.048992	0.49317	0.070658	0.054393	0.13521	0.16752
Meth__cg24891133__FLJ14834	0.074616	0.020355	0.42933	0.25908	0.61114	0.65806	0.91216	0.023928	0.91239	0.95223	0.023076	0.37489	0.020014	0.61629	0.4037	0.061959	0.024246	0.78425	0.7095	0.050173	0.49897	0.86351	0.033887	0.80283	0.034795	0.01863	0.018953	0.055841	0.60859	0.023614	0.47313	0.050931	0.025819	0.17143	0.17611
Meth__cg07248310__HOOK1	0.056178	0.037432	0.043628	0.054967	0.86922	0.074866	0.41777	0.021745	0.062432	0.86304	0.03843	0.10755	0.042222	0.037242	0.077994	0.070103	0.15619	0.03897	0.050086	0.05315	0.18446	0.063604	0.059634	0.092447	0.074568	0.031195	0.032619	0.079691	0.037384	0.035707	0.034896	0.18116	0.062428	0.060689	0.049295
Meth__cg03038003__C1orf165	0.053777	0.03396	0.67043	0.049291	0.68272	0.3627	0.41885	0.029577	0.053962	0.16112	0.90285	0.5918	0.072294	0.3324	0.061953	0.068182	0.12557	0.052471	0.039383	0.08679	0.91686	0.036735	0.084344	0.67321	0.051274	0.039963	0.037794	0.12076	0.80133	0.037122	0.97947	0.097834	0.3715	0.52918	0.23681
Meth__cg27383956__FLJ13265	0.03109	0.044627	0.94986	0.05002	0.88459	0.048568	0.98124	0.31235	0.048619	0.95776	0.89548	0.85139	0.29594	0.96099	0.75764	0.70933	0.74376	0.10065	0.04704	0.95444	0.57359	0.042971	0.084074	0.13299	0.055699	0.054876	0.94499	0.067977	0.55097	0.080572	0.78281	0.094811	0.039587	0.20177	0.14567
Meth__cg12412075__LIN7B	0.019378	0.031262	0.038968	0.1419	0.028455	0.022231	0.38747	0.016206	0.056106	0.021103	0.64663	0.54823	0.018942	0.19133	0.18421	0.017532	0.023797	0.05031	0.028873	0.96065	0.915	0.04263	0.037757	0.040571	0.052665	0.016518	0.029959	0.043306	0.045624	0.01903	0.016792	0.035726	0.022361	0.021049	0.018895
Meth__cg11115427__PHYH	0.058683	0.051412	0.46199	0.28891	0.41661	0.24816	0.18162	0.038555	0.060056	0.22801	0.47229	0.20066	0.049537	0.43934	0.1406	0.099289	0.076025	0.16163	0.18093	0.169	0.18916	0.14221	0.053805	0.36458	0.16467	0.033849	0.29227	0.074325	0.23271	0.048824	0.04716	0.083269	0.033531	0.084219	0.057425
Meth__cg19205533__RERG	0.080034	0.071619	0.90054	0.10324	0.085362	0.089159	0.15633	0.059321	0.083291	0.87919	0.078553	0.28746	0.086627	0.83954	0.90528	0.10852	0.89972	0.08536	0.089117	0.88604	0.85054	0.087799	0.077937	0.2185	0.13651	0.63223	0.87596	0.87032	0.086164	0.076277	0.69639	0.1022	0.089982	0.082123	0.089522
Meth__cg07980518__RNF152	0.049748	0.20888	0.92448	0.054429	0.79212	0.065632	0.12958	0.51339	0.099404	0.78851	0.73207	0.53314	0.58202	0.69517	0.30063	0.57851	0.48622	0.063486	0.062046	0.88877	0.8304	0.081434	0.1214	0.084598	0.12022	0.062988	0.13178	0.65036	0.058145	0.038786	0.052393	0.081633	0.070951	0.049016	0.074221
Meth__cg09549827__ESPN	0.045495	0.025902	0.58481	0.039914	0.91482	0.053416	0.050181	0.027012	0.03446	0.9427	0.043821	0.91137	0.030404	0.93956	0.034287	0.058604	0.077202	0.055615	0.039552	0.032094	0.065937	0.047689	0.052145	0.076137	0.04128	0.026362	0.026701	0.03575	0.051004	0.023607	0.030719	0.065114	0.043266	0.041128	0.03196
Meth__cg14304761__SYK	0.054101	0.042049	0.05653	0.054236	0.95004	0.05121	0.034211	0.034097	0.057074	0.57596	0.064816	0.079291	0.042559	0.041746	0.33969	0.13637	0.35845	0.034742	0.051587	0.27005	0.9102	0.062816	0.10195	0.77165	0.090157	0.048499	0.05212	0.80499	0.16042	0.036578	0.03449	0.0625	0.058519	0.053061	0.051302
Meth__cg18345369__PRSS22	0.032726	0.034802	0.038384	0.032551	0.6492	0.036381	0.030451	0.024067	0.034181	0.052854	0.021631	0.054597	0.028594	0.028853	0.11819	0.064471	0.10441	0.033502	0.040577	0.93275	0.94603	0.037314	0.046265	0.12171	0.025288	0.10469	0.039087	0.10953	0.021735	0.041775	0.020294	0.047668	0.038835	0.030151	0.034786
Meth__cg17886959__MT2A	0.11177	0.051136	0.057708	0.27656	0.047626	0.085836	0.081914	0.77971	0.073035	0.33	0.52761	0.09749	0.63722	0.10135	0.075953	0.11021	0.090058	0.28624	0.24139	0.10855	0.091348	0.24716	0.1121	0.11554	0.078559	0.066028	0.065172	0.068837	0.14441	0.029835	0.08256	0.11927	0.17887	0.14978	0.25183
Meth__cg12087643__GFRA1	0.20784	0.034729	0.87684	0.040385	0.066206	0.49287	0.44012	0.032198	0.039237	0.79914	0.84149	0.68784	0.040693	0.63465	0.043338	0.097445	0.48424	0.028801	0.03114	0.065343	0.7715	0.031025	0.08874	0.76701	0.13606	0.040793	0.058805	0.47195	0.057184	0.03368	0.37639	0.0704	0.55096	0.04325	0.045719
Meth__cg10519140__SLC29A1	0.042044	0.18434	0.94195	0.049417	0.93723	0.1646	0.042355	0.050622	0.10035	0.039705	0.26061	0.91048	0.043026	0.89692	0.16484	0.083243	0.37197	0.54183	0.44769	0.90788	0.048621	0.080687	0.036911	0.068531	0.097216	0.31932	0.036225	0.93786	0.67269	0.28609	0.037887	0.055261	0.044305	0.046145	0.69178
Meth__cg25823578__PTGER2	0.089762	0.05354	0.94502	0.85727	0.61724	0.33956	0.8466	0.0483	0.4929	0.84458	0.81435	0.79349	0.11844	0.94228	0.045986	0.056402	0.52365	0.92655	0.72142	0.18399	0.81805	0.84305	0.06477	0.251	0.08196	0.050728	0.037615	0.91751	0.58146	0.3563	0.51197	0.068906	0.050568	0.14639	0.28882
Meth__cg11529128__LHFPL5	0.050328	0.026396	0.45164	0.23777	0.3616	0.037053	0.78524	0.052212	0.46546	0.40548	0.32549	0.3714	0.062116	0.093063	0.22104	0.73348	0.23315	0.027081	0.031018	0.031034	0.58342	0.27303	0.084839	0.76486	0.048846	0.025918	0.058223	0.078823	0.072176	0.031752	0.076911	0.06684	0.04163	0.32696	0.037838
Meth__cg26259865__LOC124220	0.08778	0.19609	0.84624	0.2686	0.76944	0.15015	0.91834	0.36771	0.23837	0.90179	0.89881	0.93517	0.2948	0.8774	0.96788	0.43917	0.59942	0.59354	0.4395	0.94434	0.47292	0.12388	0.13936	0.39456	0.13513	0.93989	0.65395	0.89592	0.077127	0.17036	0.089942	0.34374	0.12096	0.33527	0.10217
Meth__cg27158867__LRRC56	0.047228	0.048805	0.50374	0.10377	0.94071	0.05533	0.052334	0.036589	0.038517	0.068693	0.2363	0.36504	0.038971	0.92635	0.95764	0.39286	0.88907	0.03508	0.065666	0.94715	0.90834	0.1065	0.068941	0.079418	0.085114	0.13804	0.038544	0.19846	0.043848	0.037956	0.037749	0.053788	0.037748	0.056607	0.041227
Meth__cg24528447__NR2F1	0.15812	0.068859	0.076892	0.10912	0.0384	0.062325	0.079624	0.065653	0.08708	0.077599	0.15349	0.11013	0.10403	0.088169	0.086194	0.088672	0.066699	0.046088	0.096879	0.07147	0.069148	0.10551	0.099419	0.11745	0.14876	0.01879	0.095685	0.066325	0.029471	0.042948	0.1746	0.088923	0.078865	0.27875	0.082442
Meth__cg08586737__GCC1	0.22497	0.097887	0.47806	0.17627	0.51512	0.54257	0.72456	0.064887	0.088071	0.38198	0.30756	0.19653	0.083382	0.17716	0.15802	0.11888	0.26003	0.43161	0.095822	0.39883	0.70391	0.63229	0.14851	0.49682	0.13532	0.098214	0.26986	0.57096	0.16485	0.10376	0.19159	0.13078	0.15561	0.19024	0.27377
Meth__cg16797831__KIAA1324	0.045383	0.051912	0.8673	0.038595	0.86528	0.037028	0.22915	0.7601	0.051214	0.79987	0.68636	0.8209	0.51283	0.85993	0.58335	0.41292	0.37299	0.19843	0.042498	0.86149	0.83076	0.039269	0.093795	0.16937	0.20807	0.39163	0.36265	0.85326	0.13412	0.037646	0.040257	0.14057	0.052663	0.049852	0.052132
Meth__cg02189785__CLIC3	0.48929	0.05813	0.45974	0.5905	0.90844	0.11108	0.50997	0.23721	0.048181	0.91524	0.10806	0.60687	0.23721	0.82916	0.91513	0.091853	0.56665	0.060461	0.32003	0.55781	0.37939	0.22688	0.055432	0.50809	0.060488	0.15141	0.54617	0.11772	0.20102	0.12571	0.42227	0.079978	0.059846	0.3839	0.18069
Meth__cg12011267__PPP1R13B	0.044489	0.052706	0.19416	0.1308	0.55522	0.085696	0.050769	0.50485	0.079073	0.46166	0.056948	0.42586	0.4672	0.24814	0.083348	0.069399	0.068321	0.066443	0.21382	0.68563	0.69243	0.58314	0.10129	0.62519	0.059984	0.058617	0.037615	0.54497	0.071287	0.042247	0.039981	0.11904	0.039075	0.040707	0.04314
Meth__cg04297329__NAP1L2	0.076532	0.047949	0.816	0.099703	0.33258	0.87286	0.91096	0.22498	0.079231	0.90102	0.55696	0.23559	0.22388	0.26339	0.61411	0.093661	0.13708	0.15965	0.11463	0.13306	0.61687	0.21111	0.12194	0.19537	0.10928	0.11022	0.40924	0.42146	0.34655	0.05939	0.61871	0.30531	0.082182	0.13464	0.094865
Meth__cg11961618__PHLDA2	0.043776	0.042329	0.068625	0.056599	0.31789	0.053029	0.17973	0.045832	0.058852	0.75176	0.062098	0.096401	0.058278	0.061376	0.049603	0.12395	0.065844	0.04999	0.052776	0.17244	0.11629	0.056781	0.070582	0.095182	0.082847	0.063692	0.058214	0.047015	0.089817	0.04031	0.05121	0.060326	0.048775	0.045356	0.046246
Meth__cg25104511__RAPGEFL1	0.064361	0.24522	0.9248	0.41814	0.87367	0.084129	0.79937	0.20696	0.077803	0.086703	0.27825	0.91657	0.39753	0.67236	0.27857	0.71054	0.88338	0.19075	0.32765	0.53373	0.70096	0.71905	0.051364	0.92851	0.33478	0.089073	0.059186	0.53769	0.14582	0.85733	0.13208	0.14408	0.12347	0.37113	0.095883
Meth__cg16731240__ZNF577	0.065407	0.067409	0.97308	0.053108	0.040916	0.97901	0.6068	0.052363	0.97583	0.94899	0.034266	0.97442	0.58254	0.08351	0.048582	0.10796	0.64957	0.53692	0.40531	0.11767	0.92334	0.069657	0.084606	0.08269	0.058144	0.059488	0.075453	0.087137	0.98359	0.71294	0.089254	0.92398	0.05449	0.76743	0.44583
Meth__cg09812049__WIRE	0.023938	0.019731	0.026995	0.036766	0.062367	0.051729	0.078808	0.02462	0.029607	0.092234	0.03714	0.073303	0.032354	0.02384	0.029794	0.033848	0.021042	0.022336	0.022799	0.048757	0.10252	0.039059	0.042842	0.056269	0.03597	0.022326	0.023367	0.20108	0.037487	0.030814	0.027815	0.028462	0.092475	0.025206	0.027205
Meth__cg03149130__DIRAS2	0.17811	0.066291	0.54033	0.14005	0.79865	0.18749	0.42084	0.33848	0.43701	0.58066	0.10693	0.81794	0.29976	0.21759	0.22389	0.14356	0.03599	0.13327	0.076487	0.13116	0.75859	0.073855	0.12558	0.29553	0.21727	0.051256	0.10154	0.11066	0.83942	0.085007	0.78904	0.057035	0.068299	0.33257	0.282
Meth__cg07888234__TNFRSF11A	0.082325	0.037247	0.9539	0.19909	0.94785	0.34424	0.13052	0.33519	0.026322	0.79774	0.48552	0.31047	0.28162	0.23552	0.052932	0.23753	0.42376	0.060003	0.057391	0.89913	0.55884	0.088964	0.043368	0.39367	0.072829	0.031775	0.59839	0.26676	0.78968	0.033792	0.063019	0.15202	0.044876	0.20765	0.15131
Meth__cg25938646__SLITRK1	0.83281	0.069806	0.9042	0.7862	0.94905	0.63223	0.96744	0.24779	0.22839	0.72005	0.27743	0.93399	0.28532	0.88478	0.063837	0.071051	0.62796	0.18763	0.13399	0.43264	0.87429	0.27104	0.032752	0.90393	0.041025	0.072214	0.59884	0.2679	0.76568	0.027814	0.89227	0.084151	0.050733	0.64263	0.48805
Meth__cg11710000__FZD3	0.048597	0.038522	0.92243	0.1235	0.50649	0.060391	0.32948	0.072893	0.056448	0.12784	0.12351	0.11342	0.072792	0.43452	0.058706	0.1505	0.038755	0.045132	0.074286	0.095468	0.20046	0.092727	0.12962	0.15389	0.11766	0.035169	0.041233	0.19451	0.058073	0.056485	0.047204	0.069631	0.054904	0.04653	0.055704
Meth__cg07015629__ERBB4	0.028972	0.021499	0.97683	0.028247	0.59754	0.024187	0.028632	0.0257	0.018349	0.49682	0.037232	0.12567	0.02063	0.17622	0.10898	0.10278	0.37226	0.029687	0.033638	0.038869	0.66832	0.024732	0.033371	0.10227	0.038201	0.031529	0.024754	0.25318	0.016617	0.022457	0.015801	0.094244	0.024886	0.023187	0.02297
Meth__cg19192120__SSH3	0.048683	0.062458	0.18936	0.048111	0.075394	0.1233	0.098997	0.061192	0.24248	0.035708	0.11479	0.16138	0.068172	0.068966	0.094403	0.10366	0.10809	0.060504	0.086186	0.61055	0.27247	0.10321	0.059848	0.23138	0.079347	0.087507	0.035671	0.67632	0.056614	0.043383	0.089899	0.15419	0.078554	0.049419	0.041771
Meth__cg10084993__SLC9A3R2	0.086291	0.063291	0.86207	0.11748	0.9141	0.10997	0.62646	0.18127	0.23786	0.49253	0.89558	0.68785	0.18129	0.53254	0.2242	0.69926	0.11511	0.1275	0.097779	0.82418	0.13651	0.065763	0.094846	0.090305	0.076187	0.38633	0.082633	0.34674	0.093598	0.066262	0.13306	0.083039	0.10192	0.071443	0.10927
Meth__cg06150468__SNFT	0.042234	0.064041	0.94646	0.05981	0.44642	0.030625	0.75969	0.025892	0.031455	0.54694	0.17176	0.96289	0.022452	0.62617	0.023958	0.16874	0.095977	0.053411	0.10849	0.043317	0.50287	0.028583	0.034669	0.58023	0.029073	0.02598	0.11312	0.86974	0.79059	0.037483	0.90219	0.021486	0.031668	0.18842	0.31244
Meth__cg15544036__CLDN4	0.070365	0.07651	0.087092	0.086687	0.90246	0.072186	0.74483	0.056794	0.061457	0.28063	0.035566	0.0749	0.059484	0.057726	0.91331	0.11086	0.88533	0.049186	0.064337	0.89436	0.30727	0.050864	0.06305	0.087228	0.090923	0.61702	0.069876	0.91049	0.042922	0.04303	0.040252	0.14933	0.050241	0.043782	0.056735
