Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	ZR751	ZR75B
Meth__cg07328579__GLT8D2	0.89446	0.035417	0.055109	0.050625	0.28226	0.8596	0.153	0.93261	0.050645	0.38882	0.81195	0.12394	0.91163	0.032411	0.046385	0.8945	0.038966	0.13634	0.051303	0.60878	0.58289	0.91847	0.070252	0.29051	0.84888	0.82878	0.10679	0.053911	0.80732	0.045594	0.062691	0.87874	0.030431	0.041499	0.90122	0.91305	0.035156	0.57803	0.76585
Meth__cg23303782__GRK5	0.050515	0.059057	0.064213	0.065475	0.041561	0.086919	0.029168	0.046134	0.04305	0.05201	0.064051	0.06196	0.17762	0.10108	0.052912	0.041374	0.038739	0.069946	0.039315	0.06612	0.052857	0.069187	0.051149	0.11466	0.060179	0.053762	0.12388	0.038722	0.36012	0.045806	0.071559	0.069387	0.046007	0.054953	0.051236	0.2537	0.071945	0.086927	0.052772
Meth__cg15156078__RASGRF1	0.5267	0.035045	0.12062	0.031701	0.46022	0.19568	0.46159	0.55807	0.039026	0.044123	0.42277	0.022518	0.076737	0.051727	0.049025	0.053085	0.076754	0.10225	0.08566	0.42784	0.48116	0.30425	0.047024	0.31484	0.66994	0.039479	0.065677	0.13357	0.91688	0.04453	0.069801	0.042698	0.071433	0.14355	0.030383	0.075516	0.1174	0.44524	0.33317
Meth__cg03682712__LOXL1	0.03711	0.86147	0.96079	0.15588	0.64798	0.45174	0.025987	0.37769	0.016943	0.42287	0.97455	0.93219	0.96323	0.82444	0.55751	0.92425	0.048716	0.23543	0.017503	0.97393	0.94536	0.066567	0.83834	0.596	0.06389	0.76966	0.015635	0.030726	0.94502	0.90349	0.55574	0.73774	0.015294	0.018367	0.017339	0.014119	0.21174	0.26296	0.73375
Meth__cg23578193__LGR6	0.11042	0.037091	0.10668	0.083996	0.62655	0.30678	0.60674	0.50555	0.053826	0.092765	0.62422	0.56839	0.29728	0.033593	0.05162	0.69831	0.046476	0.076956	0.063393	0.21195	0.24559	0.44904	0.67998	0.14063	0.37511	0.10597	0.10489	0.53523	0.35977	0.062784	0.071104	0.049839	0.035864	0.042982	0.053063	0.45413	0.072044	0.077217	0.070247
Meth__cg02503850__ADAMTS14	0.10862	0.040659	0.32747	0.16054	0.043837	0.91661	0.55406	0.055249	0.025571	0.52581	0.31239	0.17183	0.53049	0.034415	0.032459	0.34492	0.036044	0.064078	0.0634	0.49843	0.58161	0.56386	0.065736	0.18401	0.94513	0.055457	0.08382	0.27023	0.94443	0.056103	0.098284	0.031221	0.10139	0.058012	0.054921	0.59689	0.048349	0.098418	0.20912
Meth__cg19017193__ZNF161	0.031496	0.031538	0.81763	0.024834	0.036834	0.025506	0.026967	0.019185	0.037524	0.069331	0.032382	0.54213	0.048762	0.64157	0.040521	0.032269	0.025666	0.11207	0.025641	0.021971	0.028372	0.029245	0.027198	0.037572	0.042181	0.16152	0.038495	0.044397	0.071316	0.037826	0.088393	0.020517	0.026125	0.028662	0.040674	0.02825	0.065638	0.048138	0.038947
Meth__cg00657582__CHD8	0.057518	0.63826	0.41741	0.047593	0.058498	0.081652	0.15157	0.12486	0.10454	0.2823	0.055762	0.21529	0.061737	0.34098	0.12833	0.087675	0.065923	0.071042	0.74512	0.049156	0.069347	0.058543	0.063084	0.23435	0.24151	0.16389	0.076965	0.037096	0.066585	0.080235	0.33991	0.046336	0.049067	0.61121	0.20975	0.055331	0.2487	0.065014	0.076076
Meth__cg06740897__NFE2L1	0.087068	0.75199	0.45375	0.087362	0.087036	0.13454	0.22465	0.039101	0.34012	0.12446	0.1133	0.14676	0.42711	0.13008	0.24801	0.26684	0.056651	0.077628	0.12083	0.061011	0.06851	0.085738	0.1046	0.078599	0.51644	0.088494	0.21826	0.15233	0.092325	0.79412	0.60747	0.057499	0.12048	0.54435	0.20658	0.037001	0.14429	0.071301	0.063474
Meth__cg23681213__PNMA1	0.036904	0.0709	0.029372	0.026128	0.0255	0.032221	0.034037	0.027807	0.030569	0.034371	0.034382	0.03098	0.12415	0.031687	0.17174	0.034915	0.033283	0.079673	0.028419	0.027686	0.035327	0.035012	0.037169	0.47662	0.07749	0.1151	0.038695	0.040475	0.10941	0.040387	0.23919	0.029251	0.076153	0.27569	0.033613	0.033916	0.046471	0.048791	0.03194
Meth__cg07561400__ZC3HAV1	0.05779	0.057704	0.063164	0.041133	0.31245	0.068403	0.048457	0.27357	0.044135	0.056464	0.099423	0.036697	0.073356	0.065583	0.058342	0.083589	0.043841	0.10708	0.043266	0.041767	0.091932	0.070423	0.063122	0.034774	0.11894	0.057306	0.075423	0.043862	0.10305	0.05698	0.067546	0.033025	0.030328	0.041669	0.09223	0.053208	0.047787	0.058192	0.44775
Meth__cg01862366__TMEM20	0.062449	0.060166	0.33008	0.032565	0.030722	0.069522	0.020956	0.08647	0.035646	0.032117	0.057634	0.063391	0.07346	0.20168	0.04505	0.031137	0.034773	0.085757	0.031869	0.035524	0.064832	0.25156	0.074209	0.13572	0.072549	0.16457	0.053625	0.028844	0.74092	0.047354	0.072408	0.031905	0.40355	0.030052	0.1567	0.029861	0.070377	0.043066	0.032287
Meth__cg08409225__OBFC2B	0.054349	0.049348	0.30179	0.26791	0.76584	0.25066	0.88281	0.20112	0.081845	0.10118	0.1117	0.11534	0.21401	0.27594	0.086307	0.33103	0.35286	0.26384	0.036929	0.070516	0.22922	0.57424	0.084531	0.11972	0.24011	0.16352	0.083927	0.81984	0.54859	0.45096	0.13049	0.05546	0.051141	0.50131	0.28915	0.15979	0.097561	0.24837	0.40516
Meth__cg04633513__AVPR1B	0.055829	0.053088	0.16914	0.32949	0.30042	0.72962	0.066929	0.69208	0.049053	0.46149	0.58999	0.14824	0.77673	0.036379	0.054623	0.68341	0.058729	0.064063	0.053491	0.81512	0.61485	0.19663	0.66174	0.61529	0.51877	0.20534	0.10693	0.19433	0.56035	0.074732	0.11341	0.040325	0.051238	0.062868	0.25366	0.63615	0.11922	0.34705	0.56141
Meth__cg03775422__MGC33530	0.90007	0.030786	0.059655	0.50633	0.83457	0.87258	0.098013	0.81498	0.033323	0.04454	0.27618	0.48081	0.47647	0.028004	0.083051	0.048824	0.33852	0.14019	0.058006	0.37787	0.41032	0.2794	0.058087	0.18704	0.61288	0.20808	0.076092	0.44363	0.77813	0.49216	0.052794	0.27651	0.28348	0.2948	0.076825	0.57979	0.17367	0.37984	0.42979
Meth__cg04970117__SLC6A20	0.93259	0.035729	0.43629	0.58236	0.8895	0.96842	0.61127	0.60351	0.024633	0.979	0.29665	0.2883	0.96487	0.16862	0.021016	0.95635	0.028054	0.10192	0.096087	0.98238	0.97074	0.96689	0.051796	0.8029	0.95151	0.96299	0.092067	0.025442	0.95375	0.96852	0.061897	0.3956	0.027538	0.5821	0.55218	0.96721	0.77139	0.62104	0.96997
Meth__cg09881855__SNAI2	0.44185	0.08248	0.061587	0.057136	0.051318	0.068229	0.06454	0.053629	0.051997	0.057498	0.054525	0.041823	0.16585	0.058652	0.046998	0.053147	0.057898	0.11163	0.058574	0.49152	0.58079	0.50145	0.054128	0.052387	0.34171	0.055935	0.084032	0.046831	0.08007	0.12235	0.099956	0.044584	0.048827	0.05151	0.060966	0.79487	0.1244	0.05636	0.060428
Meth__cg27140220__PKIA	0.24741	0.055532	0.056835	0.53053	0.64647	0.34006	0.08283	0.65949	0.048621	0.33027	0.79701	0.13609	0.59275	0.22976	0.058787	0.065669	0.071594	0.20538	0.032894	0.46182	0.40553	0.78997	0.071264	0.053381	0.064982	0.059254	0.09446	0.052887	0.80284	0.18953	0.060542	0.046154	0.061299	0.062752	0.25456	0.4744	0.39487	0.23381	0.18242
Meth__cg18511445__FUNDC1	0.23394	0.049396	0.093843	0.044767	0.051748	0.078455	0.041508	0.068535	0.055573	0.045149	0.052534	0.038745	0.078515	0.040341	0.06895	0.097122	0.063978	0.061216	0.068043	0.044369	0.062747	0.45805	0.042974	0.043764	0.099862	0.049703	0.10031	0.35863	0.42123	0.05447	0.083735	0.041111	0.050814	0.048905	0.16139	0.091954	0.10184	0.059795	0.054809
Meth__cg14106263__RBMX2	0.082183	0.072765	0.12594	0.088734	0.039149	0.10676	0.17778	0.053691	0.077698	0.042631	0.10896	0.10534	0.17544	0.055478	0.073061	0.043769	0.47352	0.11232	0.10576	0.076483	0.08017	0.12418	0.062781	0.26709	0.1652	0.099639	0.047163	0.065885	0.22013	0.078707	0.16646	0.40045	0.07634	0.091626	0.12205	0.065724	0.4186	0.070897	0.070185
Meth__cg13928116__AFF2	0.52356	0.030033	0.038056	0.25912	0.51793	0.045032	0.066777	0.26772	0.021888	0.50084	0.043863	0.036919	0.39331	0.41354	0.024429	0.44343	0.67912	0.10873	0.026619	0.031751	0.029609	0.46283	0.22837	0.49103	0.86801	0.042207	0.28641	0.39235	0.95035	0.79517	0.063954	0.21179	0.018991	0.16938	0.018237	0.79351	0.051751	0.13793	0.036067
Meth__cg00746981__HDGF	0.066917	0.063848	0.081265	0.039327	0.041391	0.05108	0.049722	0.10627	0.053103	0.052413	0.064124	0.055329	0.3539	0.10934	0.059836	0.062294	0.049956	0.12694	0.059103	0.056249	0.050281	0.044865	0.055475	0.060301	0.081697	0.080466	0.052916	0.043489	0.081078	0.24102	0.082679	0.050786	0.04263	0.053446	0.036297	0.039202	0.050222	0.049097	0.051035
Meth__cg04367351__PLA2R1	0.049206	0.20564	0.036583	0.081795	0.37418	0.81595	0.74828	0.053166	0.054804	0.090824	0.052491	0.19053	0.87864	0.068906	0.073097	0.091784	0.059576	0.15245	0.044494	0.64949	0.64951	0.048393	0.49266	0.051487	0.69314	0.073245	0.12852	0.060333	0.85257	0.26075	0.1055	0.03373	0.034767	0.056205	0.70293	0.84211	0.11971	0.073182	0.065057
Meth__cg15125424__SOCS2	0.31003	0.079402	0.15277	0.41744	0.09457	0.18852	0.22587	0.13719	0.10847	0.51113	0.10746	0.24832	0.2971	0.10383	0.1403	0.098368	0.062731	0.13607	0.096209	0.066079	0.068107	0.83293	0.10707	0.12399	0.10415	0.040776	0.16753	0.12197	0.23943	0.15457	0.1445	0.055556	0.074416	0.069289	0.85614	0.71996	0.10978	0.30855	0.1972
Meth__cg10951619__FAM5C	0.26611	0.056186	0.10926	0.068854	0.83588	0.1214	0.45455	0.36509	0.085425	0.19165	0.32089	0.20645	0.47664	0.064942	0.099781	0.56795	0.09	0.24176	0.17204	0.24914	0.19525	0.42525	0.16094	0.074318	0.59223	0.14799	0.33596	0.10691	0.36968	0.28154	0.1029	0.14526	0.31904	0.24864	0.71609	0.6712	0.13338	0.089048	0.11531
Meth__cg25668368__KCNH7	0.89286	0.04058	0.085612	0.27845	0.16357	0.88782	0.07412	0.92504	0.057117	0.059123	0.67214	0.55174	0.37535	0.04663	0.054511	0.06809	0.15599	0.14818	0.093626	0.70869	0.87559	0.049065	0.092681	0.47694	0.51305	0.49964	0.283	0.14797	0.4845	0.059207	0.063432	0.055493	0.44866	0.10568	0.86668	0.88131	0.057334	0.84626	0.82177
Meth__cg17274064__ERG	0.56482	0.22398	0.52368	0.8089	0.57103	0.68241	0.092358	0.092712	0.05631	0.092781	0.097777	0.10206	0.52895	0.061598	0.14377	0.54582	0.055983	0.10688	0.054	0.28692	0.72993	0.87201	0.10943	0.32475	0.22768	0.31796	0.32259	0.86664	0.39023	0.070892	0.3847	0.041497	0.044772	0.13844	0.83079	0.6423	0.11588	0.74596	0.66832
Meth__cg21289015__USH1C	0.58556	0.042399	0.76708	0.1213	0.93886	0.062258	0.74272	0.84965	0.034572	0.064566	0.033838	0.098172	0.80381	0.049174	0.027117	0.66146	0.78554	0.17318	0.12167	0.063683	0.20017	0.56998	0.074664	0.046894	0.77108	0.55782	0.10604	0.12124	0.79868	0.38003	0.091013	0.1444	0.12259	0.15072	0.067222	0.15304	0.14486	0.83212	0.70249
Meth__cg14046986__RCSD1	0.19041	0.023889	0.57704	0.43461	0.906	0.9376	0.83851	0.95509	0.02415	0.42332	0.1057	0.033564	0.91445	0.070564	0.19271	0.90703	0.026919	0.056211	0.016812	0.93727	0.80744	0.73107	0.61103	0.57245	0.048642	0.89603	0.023317	0.25822	0.94091	0.48115	0.039663	0.028015	0.062047	0.13746	0.31163	0.94113	0.078091	0.82552	0.82109
Meth__cg26952662__CTHRC1	0.6443	0.025066	0.43541	0.27932	0.96249	0.66592	0.97792	0.54812	0.93907	0.028927	0.063012	0.032133	0.23814	0.018059	0.71088	0.75089	0.27105	0.12335	0.83048	0.021442	0.030216	0.13934	0.23937	0.17145	0.9253	0.026449	0.049293	0.72699	0.064728	0.79478	0.063666	0.026654	0.033391	0.95559	0.25214	0.38626	0.93981	0.14203	0.94334
Meth__cg01885202__CDKL5	0.48144	0.45129	0.032468	0.31693	0.034706	0.042282	0.021369	0.034211	0.03015	0.50416	0.04077	0.43358	0.37693	0.49549	0.040473	0.036559	0.035555	0.41328	0.45056	0.026556	0.053257	0.12791	0.038096	0.46008	0.06509	0.46372	0.48803	0.034981	0.39487	0.033346	0.48117	0.5008	0.030092	0.45944	0.424	0.039187	0.049334	0.2651	0.040053
Meth__cg00211661__CENTD2	0.082822	0.037652	0.20534	0.051433	0.23879	0.22434	0.059674	0.36461	0.42078	0.1269	0.35252	0.067181	0.16403	0.062685	0.39526	0.041153	0.042987	0.16313	0.51145	0.46717	0.35612	0.049841	0.068712	0.42689	0.60939	0.11179	0.40925	0.6856	0.16171	0.055642	0.068489	0.043779	0.040709	0.033492	0.56441	0.52903	0.07599	0.37818	0.050693
Meth__cg24593475__SNAI2	0.052769	0.027891	0.056503	0.03328	0.041719	0.070124	0.042364	0.053783	0.044473	0.04611	0.031668	0.03932	0.072954	0.031088	0.047269	0.051764	0.038989	0.10012	0.034701	0.053257	0.049246	0.48655	0.04288	0.036247	0.38278	0.051346	0.079449	0.042618	0.12479	0.14861	0.095541	0.050268	0.032327	0.052436	0.092839	0.2169	0.068983	0.059732	0.065259
Meth__cg15309006__LOC63928	0.57507	0.094617	0.41898	0.045934	0.78244	0.41741	0.64611	0.96667	0.12006	0.031713	0.96234	0.46776	0.26844	0.071943	0.0903	0.50591	0.43373	0.31914	0.34487	0.65307	0.9536	0.13116	0.23784	0.049061	0.90237	0.13884	0.092423	0.51043	0.89879	0.67052	0.11321	0.059679	0.69948	0.22436	0.35886	0.68632	0.19995	0.17597	0.19843
Meth__cg22967284__SLIT1	0.19749	0.055819	0.10933	0.098877	0.54283	0.55898	0.39607	0.2084	0.039789	0.065748	0.36014	0.27951	0.44644	0.035534	0.049982	0.057465	0.081686	0.066428	0.052589	0.057629	0.11737	0.055595	0.06582	0.077483	0.49176	0.046451	0.093023	0.17032	0.81423	0.47804	0.1297	0.051135	0.045509	0.050044	0.049797	0.2583	0.058222	0.12198	0.1796
Meth__cg21850254__ZNF570	0.063072	0.051688	0.061619	0.057016	0.059767	0.30679	0.4295	0.57295	0.042644	0.064563	0.055994	0.078957	0.54068	0.046258	0.060553	0.055582	0.041636	0.15971	0.099613	0.32416	0.3458	0.064711	0.052555	0.047453	0.72905	0.076168	0.103	0.26117	0.43015	0.04885	0.17888	0.045399	0.13364	0.065382	0.34451	0.38207	0.074552	0.46503	0.71107
Meth__cg09585834__ANKS3	0.037889	0.025677	0.043745	0.043919	0.049448	0.045934	0.083993	0.047261	0.03766	0.035107	0.032369	0.031453	0.065883	0.04223	0.050294	0.043344	0.042728	0.067028	0.031709	0.037258	0.050492	0.035211	0.055979	0.032512	0.064238	0.044027	0.041965	0.05763	0.050358	0.45987	0.070886	0.029118	0.048996	0.041852	0.046238	0.054956	0.036593	0.053988	0.043113
Meth__cg02131399__LRP1	0.031678	0.033451	0.050318	0.03647	0.092076	0.047951	0.043277	0.27619	0.029531	0.04739	0.041897	0.057896	0.25622	0.023085	0.041204	0.047714	0.067364	0.055221	0.036021	0.029969	0.038781	0.043352	0.13514	0.030821	0.073629	0.034442	0.064463	0.39642	0.12143	0.042994	0.067229	0.032376	0.031543	0.036939	0.075099	0.083423	0.061597	0.043013	0.033584
Meth__cg22334000__MGC35043	0.070448	0.054355	0.05779	0.041648	0.063153	0.5615	0.15946	0.078935	0.084238	0.072814	0.06142	0.069946	0.11012	0.045326	0.080853	0.085087	0.075452	0.21693	0.046578	0.04962	0.066776	0.3301	0.056147	0.03755	0.14536	0.072162	0.11577	0.072485	0.12756	0.082013	0.11507	0.0462	0.047164	0.052675	0.054951	0.88789	0.42527	0.066789	0.056436
Meth__cg05696092__NOSIP	0.15523	0.048349	0.15525	0.05109	0.56711	0.058236	0.35603	0.049778	0.05516	0.055446	0.084162	0.062403	0.13424	0.03959	0.060658	0.086155	0.6361	0.070682	0.051876	0.76328	0.36422	0.55623	0.19812	0.055192	0.51857	0.071614	0.074219	0.20045	0.1281	0.068862	0.079407	0.065279	0.054185	0.065802	0.12879	0.059451	0.1146	0.052304	0.16286
Meth__cg18392783__PRKCDBP	0.72279	0.05668	0.92889	0.92279	0.39119	0.92838	0.13322	0.068458	0.092324	0.9204	0.095684	0.097667	0.89594	0.040635	0.10376	0.072654	0.064022	0.1539	0.050832	0.93983	0.9281	0.081283	0.10755	0.064907	0.12885	0.90392	0.11032	0.073124	0.85172	0.13035	0.13426	0.060323	0.049095	0.053102	0.91698	0.91754	0.83479	0.61401	0.90978
Meth__cg05674444__C21orf99	0.096849	0.10673	0.1332	0.17065	0.10315	0.24778	0.11445	0.44173	0.66817	0.11859	0.43303	0.13062	0.14513	0.080585	0.54105	0.4987	0.22598	0.16163	0.13658	0.21978	0.19328	0.12858	0.41704	0.096867	0.18908	0.12452	0.089165	0.17625	0.14433	0.12855	0.08493	0.11475	0.080916	0.1345	0.12959	0.21556	0.11277	0.1184	0.087619
Meth__cg17317962__ACTG1	0.042239	0.34403	0.03212	0.035408	0.03289	0.042559	0.015974	0.024157	0.024512	0.10237	0.02703	0.041556	0.15831	0.30816	0.03032	0.028697	0.024183	0.14418	0.024746	0.040006	0.031937	0.039771	0.033319	0.37222	0.053948	0.12764	0.23404	0.030103	0.069112	0.060564	0.4339	0.09315	0.032232	0.039437	0.01921	0.04186	0.067158	0.49672	0.036308
Meth__cg02657360__H19	0.31964	0.041697	0.081668	0.53404	0.69735	0.11566	0.65396	0.28977	0.076597	0.84892	0.62975	0.87579	0.70408	0.038225	0.070743	0.12836	0.14376	0.12608	0.050652	0.28906	0.3508	0.467	0.21727	0.25616	0.16596	0.096187	0.068258	0.1433	0.11703	0.085003	0.089755	0.0349	0.11232	0.045181	0.77887	0.79718	0.12025	0.09633	0.053448
Meth__cg20315951__OVOL1	0.078066	0.02094	0.027334	0.036972	0.96575	0.026606	0.53674	0.015053	0.033964	0.050839	0.034611	0.038121	0.10663	0.046173	0.030853	0.37342	0.031388	0.079084	0.41661	0.027319	0.02902	0.067751	0.95875	0.022089	0.96055	0.050862	0.057386	0.97488	0.049674	0.066306	0.071795	0.030933	0.020715	0.081777	0.062334	0.040985	0.045279	0.035877	0.050191
Meth__cg19965810__KCNH7	0.9684	0.02045	0.042011	0.1158	0.76285	0.96235	0.21601	0.98389	0.032501	0.032404	0.60021	0.80302	0.19314	0.020234	0.2729	0.038678	0.45871	0.065319	0.044206	0.85627	0.96694	0.029752	0.050005	0.592	0.92141	0.53027	0.058284	0.054183	0.77361	0.036369	0.032005	0.027407	0.9042	0.0353	0.94595	0.95394	0.1704	0.95551	0.9551
Meth__cg07766612__SLC30A2	0.097235	0.057366	0.67438	0.31039	0.96101	0.9724	0.977	0.80279	0.067553	0.97712	0.97801	0.42163	0.95423	0.042882	0.064363	0.97658	0.048441	0.085813	0.032636	0.97668	0.97483	0.53134	0.94088	0.51776	0.9239	0.50679	0.045019	0.95401	0.961	0.42745	0.11007	0.041624	0.03129	0.058625	0.57266	0.97979	0.93831	0.30124	0.18797
Meth__cg13160888__NIPSNAP3B	0.043839	0.035642	0.033269	0.024731	0.28827	0.050132	0.16316	0.047241	0.028674	0.029972	0.030382	0.034372	0.10685	0.020996	0.034097	0.053026	0.029358	0.034329	0.028141	0.032268	0.037276	0.057118	0.035057	0.029939	0.27507	0.033171	0.039169	0.03245	0.068336	0.03764	0.063191	0.028881	0.024222	0.025196	0.036392	0.4243	0.074685	0.069033	0.063176
Meth__cg15746620__EMR3	0.11815	0.083875	0.6386	0.4658	0.064548	0.6275	0.13984	0.20718	0.057713	0.48686	0.18606	0.11956	0.26412	0.20214	0.064658	0.19728	0.35845	0.10536	0.082281	0.41653	0.62254	0.5752	0.14376	0.27357	0.093798	0.11849	0.16606	0.15911	0.33088	0.15524	0.14035	0.049468	0.060765	0.10622	0.52257	0.31525	0.1335	0.17602	0.37103
Meth__cg22762180__PERP	0.038065	0.050166	0.045861	0.054812	0.37717	0.050992	0.44397	0.026063	0.035773	0.050543	0.12366	0.041052	0.11214	0.034652	0.03755	0.035885	0.075398	0.04712	0.067503	0.095328	0.04282	0.26215	0.17739	0.049809	0.09559	0.041905	0.044971	0.21255	0.13786	0.045794	0.060436	0.064476	0.037387	0.042898	0.47154	0.046966	0.048658	0.11257	0.10509
Meth__cg01294695__MESP1	0.047297	0.061074	0.15344	0.39569	0.43021	0.12059	0.64349	0.23747	0.08977	0.34043	0.20354	0.23834	0.6458	0.032009	0.093934	0.16752	0.12103	0.10606	0.076462	0.37297	0.30575	0.95065	0.87229	0.64832	0.43646	0.61298	0.43688	0.60823	0.75681	0.35972	0.11818	0.048345	0.039008	0.24183	0.67778	0.70151	0.082737	0.1126	0.055982
Meth__cg25340403__LYPD3	0.041991	0.035241	0.052266	0.20651	0.83676	0.058992	0.90545	0.47752	0.062234	0.15438	0.42546	0.079824	0.18769	0.030084	0.056727	0.30018	0.66495	0.076535	0.83915	0.03933	0.037908	0.2338	0.80747	0.035903	0.7884	0.036387	0.3407	0.27939	0.26306	0.20758	0.040486	0.82379	0.028007	0.51634	0.2241	0.02642	0.0736	0.040225	0.044181
Meth__cg12195695__ARMC7	0.04897	0.068169	0.22149	0.070468	0.076766	0.057034	0.12217	0.061632	0.17703	0.12764	0.068182	0.20989	0.11492	0.49989	0.15257	0.12653	0.10305	0.084741	0.11416	0.076831	0.055268	0.091949	0.070754	0.38701	0.499	0.27403	0.10134	0.05975	0.10183	0.061067	0.32087	0.03865	0.050891	0.10883	0.092776	0.049599	0.069354	0.046432	0.057751
Meth__cg18342279__ZAR1	0.95627	0.032335	0.22581	0.96768	0.96138	0.95826	0.9121	0.77988	0.8367	0.03245	0.95916	0.060201	0.92722	0.97759	0.65607	0.67368	0.027556	0.044704	0.039594	0.97922	0.96849	0.96405	0.95374	0.13553	0.91469	0.030548	0.083057	0.60896	0.9292	0.040061	0.056942	0.03477	0.043061	0.7743	0.95862	0.97261	0.80385	0.60467	0.94851
Meth__cg11648471__MOSPD2	0.30476	0.04654	0.055909	0.047979	0.046428	0.074224	0.053146	0.067126	0.086564	0.084988	0.047553	0.42549	0.14924	0.18924	0.078641	0.047201	0.066966	0.14148	0.39671	0.053563	0.069268	0.14551	0.044677	0.37248	0.16476	0.28049	0.066047	0.057678	0.3336	0.056881	0.10414	0.39594	0.063362	0.090117	0.074598	0.045911	0.1275	0.061732	0.054936
Meth__cg08923450__HEY2	0.17844	0.04963	0.056345	0.065716	0.21934	0.13343	0.11192	0.048853	0.05561	0.071616	0.053304	0.12953	0.13601	0.078108	0.057876	0.1308	0.16828	0.092505	0.059382	0.2864	0.12763	0.12642	0.068422	0.12301	0.16314	0.052249	0.08939	0.047528	0.51613	0.10153	0.070364	0.058329	0.049241	0.062033	0.068795	0.069823	0.12666	0.063324	0.053
Meth__cg07090813__PHGDH	0.067308	0.044713	0.081155	0.14414	0.28509	0.13864	0.15679	0.10148	0.090148	0.14791	0.079604	0.34435	0.173	0.035495	0.11651	0.19003	0.051884	0.1343	0.056504	0.07013	0.086439	0.67779	0.35547	0.070166	0.2494	0.058169	0.099721	0.063388	0.11866	0.09497	0.18396	0.040533	0.063431	0.071042	0.20399	0.04182	0.072483	0.15882	0.085999
Meth__cg24373760__LGR5	0.91213	0.037236	0.038003	0.028473	0.35119	0.24641	0.10367	0.039311	0.029206	0.026355	0.19453	0.07283	0.099053	0.021058	0.025824	0.41327	0.025222	0.036233	0.020894	0.2014	0.41469	0.042475	0.042967	0.065739	0.41152	0.025393	0.052996	0.06061	0.74044	0.21754	0.029804	0.026154	0.023009	0.048163	0.11037	0.14217	0.046002	0.023508	0.029475
Meth__cg25283297__GNAS	0.21703	0.11224	0.11785	0.091695	0.81152	0.13305	0.98087	0.21661	0.098309	0.11739	0.16448	0.0896	0.41089	0.36374	0.12731	0.4903	0.5157	0.15834	0.19554	0.13158	0.32177	0.77067	0.71118	0.1397	0.9301	0.12912	0.15728	0.85379	0.14191	0.12834	0.15027	0.13977	0.16212	0.23268	0.097465	0.1735	0.17283	0.72894	0.68758
Meth__cg09882647__C20orf35	0.19529	0.10757	0.069343	0.061235	0.40313	0.11823	0.70819	0.32004	0.14922	0.23111	0.067004	0.081363	0.28668	0.072448	0.10296	0.21147	0.51348	0.17281	0.30076	0.12278	0.051799	0.23192	0.11476	0.22312	0.56486	0.072495	0.076051	0.30361	0.25543	0.23523	0.06786	0.051347	0.90385	0.45887	0.087695	0.22847	0.030689	0.053007	0.10209
Meth__cg22179082__GPR12	0.85185	0.05794	0.08576	0.10029	0.8569	0.5847	0.86776	0.29123	0.089199	0.088793	0.84847	0.1397	0.31843	0.090432	0.10617	0.2273	0.08516	0.12906	0.064092	0.90209	0.88584	0.86622	0.07563	0.54028	0.79624	0.42816	0.094438	0.89475	0.82021	0.2234	0.081976	0.084388	0.49759	0.077789	0.31961	0.83517	0.2856	0.43741	0.13053
Meth__cg07611334__C20orf98	0.078128	0.92055	0.079551	0.060195	0.051695	0.0699	0.064001	0.074969	0.054332	0.057244	0.10033	0.5728	0.52537	0.15264	0.37607	0.13794	0.064871	0.098354	0.052031	0.055884	0.060912	0.052361	0.59193	0.11156	0.10755	0.068359	0.099903	0.093053	0.09125	0.23546	0.54733	0.043418	0.046276	0.081049	0.06141	0.044704	0.05874	0.053636	0.088096
Meth__cg12279128__C22orf16	0.074563	0.059298	0.062129	0.043271	0.57268	0.050226	0.53704	0.078441	0.061047	0.082647	0.061856	0.046875	0.14299	0.073138	0.055884	0.6967	0.048974	0.17965	0.052254	0.077932	0.06443	0.067693	0.6736	0.054892	0.13974	0.064416	0.096946	0.058408	0.089695	0.068348	0.067941	0.04625	0.050955	0.03967	0.060422	0.045295	0.14242	0.063487	0.062156
Meth__cg11781389__LOC89944	0.21959	0.099528	0.38558	0.10339	0.95068	0.13398	0.26074	0.21277	0.088322	0.087184	0.1375	0.11131	0.86152	0.086186	0.066611	0.12086	0.39887	0.35821	0.18693	0.14886	0.37012	0.21096	0.16138	0.075798	0.74409	0.28423	0.14889	0.68371	0.89972	0.81026	0.1289	0.14035	0.082713	0.62968	0.10954	0.35859	0.31205	0.22153	0.65338
Meth__cg07428182__PLXNA3	0.7751	0.041092	0.046452	0.71352	0.034594	0.041688	0.10697	0.55584	0.036036	0.83942	0.03121	0.10342	0.088314	0.024936	0.036005	0.6907	0.61119	0.14962	0.047095	0.042712	0.049926	0.74411	0.89152	0.77305	0.071139	0.043006	0.087662	0.65599	0.3095	0.045427	0.077108	0.64159	0.033016	0.24001	0.036151	0.46179	0.1332	0.39443	0.033844
