Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg26359204__NKX6-1	0.58066	0.030883	0.047115	0.0443	0.042788	0.032764	0.04482	0.035977	0.03623	0.046696	0.04915	0.029088	0.1023	0.039097	0.030202	0.033083	0.1016	0.031087	0.050071	0.038271	0.050461	0.034357	0.042421	0.55527	0.042135	0.18222	0.12852	0.065814	0.027112	0.036606	0.03269	0.047455	0.040642	0.060669	0.37331	0.03924	0.045737
Meth__cg12894126__UCK1	0.058321	0.23699	0.25155	0.21837	0.11861	0.41864	0.13138	0.64409	0.095116	0.12067	0.083963	0.49822	0.22983	0.11993	0.083302	0.2622	0.07764	0.41576	0.10787	0.09111	0.079206	0.47353	0.18695	0.60313	0.25692	0.066957	0.11375	0.16119	0.093897	0.15398	0.20394	0.054563	0.038728	0.12491	0.14534	0.082676	0.095009
Meth__cg26240939__LOC57149	0.092752	0.11019	0.49467	0.18301	0.11714	0.78985	0.1298	0.45372	0.38478	0.10776	0.1484	0.53717	0.30401	0.28685	0.7491	0.61561	0.41639	0.70733	0.092926	0.08609	0.11299	0.694	0.30139	0.65211	0.13825	0.29624	0.15576	0.1511	0.69693	0.27541	0.64885	0.099593	0.10719	0.18919	0.12514	0.17127	0.17521
Meth__cg10667970__FBXO6	0.058371	0.072257	0.7723	0.20859	0.3307	0.50411	0.06959	0.31045	0.24078	0.20828	0.079133	0.34427	0.31286	0.21767	0.88446	0.13604	0.08631	0.37465	0.088949	0.097183	0.38081	0.7538	0.12278	0.29539	0.079804	0.089922	0.17173	0.32646	0.18607	0.04686	0.73693	0.063477	0.060424	0.14501	0.11089	0.075027	0.047632
Meth__cg02128567__KCNK5	0.027432	0.034767	0.56616	0.091834	0.031232	0.98454	0.048709	0.044876	0.033172	0.023146	0.045549	0.029614	0.46257	0.035436	0.032087	0.03236	0.076503	0.31617	0.12233	0.088607	0.049139	0.14299	0.14688	0.55417	0.63545	0.065166	0.95948	0.049509	0.051398	0.043662	0.89039	0.029493	0.64122	0.11654	0.03463	0.072119	0.041909
Meth__cg25013852__PGM1	0.033798	0.16499	0.038659	0.20266	0.20737	0.034664	0.62792	0.033455	0.038614	0.089124	0.037773	0.027004	0.055789	0.035654	0.042673	0.043044	0.068571	0.030089	0.03658	0.043961	0.080866	0.035194	0.048623	0.12392	0.054929	0.062301	0.065602	0.072822	0.025293	0.035945	0.030531	0.045869	0.036455	0.1284	0.042625	0.045959	0.055846
Meth__cg03609102__MUC5B	0.023048	0.018929	0.86477	0.025664	0.01365	0.56322	0.019154	0.91849	0.56227	0.02859	0.22949	0.8021	0.19173	0.46585	0.54421	0.88815	0.036661	0.035204	0.032847	0.23739	0.047714	0.85014	0.29075	0.20239	0.031602	0.022187	0.27103	0.073333	0.86762	0.31253	0.016475	0.018841	0.69896	0.097923	0.030479	0.024829	0.023617
Meth__cg12701101__DKFZp434N062	0.056583	0.37827	0.055595	0.048264	0.047404	0.048787	0.077891	0.046961	0.047016	0.059364	0.052324	0.064117	0.063682	0.042986	0.069656	0.042142	0.090977	0.039136	0.58641	0.49672	0.26835	0.05194	0.037489	0.094735	0.057568	0.10236	0.099187	0.12739	0.048107	0.046445	0.042927	0.045571	0.043371	0.068347	0.056411	0.043811	0.4977
Meth__cg15479752__FFAR2	0.053974	0.049646	0.37581	0.07805	0.16886	0.8048	0.043876	0.40519	0.24519	0.051029	0.87594	0.36013	0.21567	0.2363	0.62324	0.39319	0.12657	0.049021	0.12591	0.1885	0.1677	0.30494	0.16878	0.53001	0.17385	0.10136	0.10543	0.13949	0.41349	0.057307	0.05642	0.029728	0.19051	0.21598	0.11779	0.13289	0.10961
Meth__cg10798171__ICA1	0.12069	0.20148	0.56682	0.26476	0.20939	0.56121	0.14064	0.1511	0.28012	0.2617	0.52717	0.52028	0.49772	0.29473	0.18041	0.4088	0.20277	0.22455	0.14369	0.12283	0.15133	0.69271	0.60317	0.3972	0.12813	0.17059	0.12587	0.22277	0.16491	0.093974	0.46381	0.089257	0.060194	0.25408	0.11647	0.11336	0.10264
Meth__cg01851399__PKP2	0.054199	0.037204	0.056183	0.050078	0.030731	0.85238	0.044428	0.032354	0.063067	0.06194	0.047875	0.11162	0.15477	0.065593	0.047652	0.26211	0.10894	0.56663	0.034991	0.043366	0.040078	0.18541	0.040408	0.064107	0.052345	0.070875	0.072304	0.092886	0.068659	0.034593	0.26088	0.028725	0.076885	0.06226	0.06128	0.049752	0.048616
Meth__cg15853125__TIAM1	0.051712	0.053989	0.21156	0.36248	0.079582	0.94339	0.34799	0.040397	0.094911	0.098549	0.04384	0.79415	0.072272	0.099794	0.24934	0.61031	0.079896	0.16646	0.28745	0.35604	0.057715	0.88871	0.045038	0.85046	0.13557	0.10424	0.087928	0.046448	0.28538	0.074151	0.19313	0.032794	0.35937	0.34163	0.04285	0.060667	0.065067
Meth__cg23283495__IRF6	0.02375	0.023591	0.049191	0.046671	0.023899	0.52407	0.0324	0.035594	0.034871	0.044203	0.023087	0.085332	0.049289	0.036585	0.032637	0.44756	0.057761	0.84073	0.05478	0.062926	0.034411	0.73542	0.0321	0.82483	0.034436	0.032955	0.067084	0.03596	0.051367	0.035072	0.073276	0.0268	0.027953	0.05232	0.033766	0.021431	0.028556
Meth__cg23376526__SLC27A3	0.054231	0.05058	0.75742	0.038909	0.098742	0.33827	0.043413	0.067033	0.030781	0.059981	0.040475	0.048248	0.12735	0.041749	0.034536	0.049692	0.094871	0.038149	0.028147	0.040238	0.042707	0.50542	0.031158	0.57125	0.044921	0.089237	0.076196	0.084047	0.38649	0.032757	0.10093	0.030996	0.073585	0.86988	0.048168	0.040417	0.050748
Meth__cg10313673__CILP2	0.056788	0.035169	0.97226	0.94993	0.04935	0.97414	0.034576	0.9814	0.021346	0.034055	0.060641	0.807	0.89547	0.021802	0.97126	0.97398	0.26437	0.16495	0.96482	0.88255	0.026707	0.96427	0.042774	0.93958	0.96565	0.042187	0.85141	0.056239	0.075658	0.018269	0.10099	0.032726	0.937	0.83382	0.74244	0.3482	0.096996
Meth__cg23150219__C19orf26	0.045665	0.047177	0.043225	0.0463	0.037232	0.031148	0.045169	0.032942	0.042356	0.036326	0.069988	0.023804	0.08236	0.031234	0.029832	0.027525	0.066156	0.022183	0.042563	0.052596	0.038202	0.040444	0.023139	0.079524	0.034485	0.14666	0.096072	0.065321	0.025235	0.44111	0.02676	0.025132	0.020576	0.097324	0.051719	0.036506	0.059701
Meth__cg24751129__GNMT	0.043883	0.032461	0.0557	0.03855	0.043119	0.97311	0.060176	0.64365	0.036655	0.054782	0.94092	0.59977	0.44173	0.048643	0.23701	0.9499	0.097011	0.95368	0.2285	0.084266	0.11061	0.96769	0.072045	0.93344	0.046872	0.061993	0.13716	0.104	0.89644	0.32309	0.96014	0.034706	0.10769	0.099678	0.046854	0.045469	0.059799
Meth__cg27588902__GNMT	0.058048	0.03973	0.098089	0.059082	0.037717	0.90206	0.060061	0.33432	0.044743	0.05994	0.4563	0.089957	0.34472	0.065569	0.095722	0.11457	0.097106	0.66715	0.0811	0.055176	0.053894	0.88413	0.10274	0.85745	0.057628	0.10207	0.063312	0.17833	0.55038	0.062152	0.45054	0.03547	0.31538	0.054408	0.053664	0.058428	0.10562
Meth__cg26459500__NUDT16	0.089878	0.067654	0.071172	0.065217	0.057203	0.051467	0.079454	0.04965	0.087054	0.068039	0.063094	0.068883	0.12016	0.072285	0.063586	0.060203	0.11225	0.050148	0.047072	0.074696	0.083385	0.086007	0.054796	0.18693	0.069636	0.095819	0.10393	0.098751	0.053943	0.064724	0.06273	0.078919	0.045577	0.066289	0.069285	0.11265	0.075591
Meth__cg10862848__GNMT	0.083171	0.10758	0.48497	0.098375	0.11497	0.96915	0.093602	0.45752	0.09722	0.094028	0.76394	0.27473	0.6165	0.1132	0.28875	0.39957	0.098237	0.90082	0.29732	0.077794	0.076393	0.93883	0.12441	0.9181	0.08944	0.069352	0.086146	0.10795	0.74142	0.33027	0.83493	0.082896	0.93574	0.17859	0.11195	0.1462	0.56722
Meth__cg09615786__DCBLD2	0.075973	0.064975	0.057416	0.059901	0.040365	0.031973	0.51516	0.039538	0.082821	0.082836	0.047261	0.02882	0.075451	0.051461	0.043587	0.057313	0.078818	0.030923	0.062473	0.043204	0.038753	0.050019	0.031693	0.088293	0.058853	0.084458	0.085282	0.13947	0.025291	0.02696	0.048641	0.038332	0.032379	0.087899	0.053242	0.078363	0.039623
Meth__cg15006396__NFKBIZ	0.49423	0.081398	0.069432	0.6956	0.067698	0.083629	0.090269	0.078008	0.11801	0.099914	0.084041	0.31224	0.12936	0.1052	0.37708	0.078007	0.11908	0.090681	0.098225	0.102	0.10168	0.098445	0.075405	0.1966	0.098195	0.17156	0.13519	0.11569	0.063247	0.075383	0.10357	0.59069	0.25308	0.1026	0.079764	0.36029	0.67797
Meth__cg04991214__PFDN2	0.41668	0.094997	0.16897	0.76353	0.23497	0.94325	0.054593	0.43365	0.044805	0.087019	0.55952	0.88306	0.32682	0.101	0.67905	0.95165	0.078295	0.93395	0.217	0.22655	0.42367	0.94144	0.94217	0.9228	0.11169	0.41733	0.11834	0.11401	0.38861	0.90557	0.93152	0.035888	0.24443	0.40544	0.9022	0.25074	0.1899
Meth__cg12078929__SERHL	0.013216	0.028747	0.98345	0.86183	0.98834	0.98911	0.13865	0.62445	0.01337	0.98092	0.014956	0.96952	0.97087	0.08894	0.93122	0.98463	0.57647	0.7614	0.99104	0.98778	0.15595	0.92886	0.010608	0.96872	0.98868	0.028275	0.9794	0.75361	0.22278	0.031379	0.61596	0.009379	0.28798	0.031542	0.014384	0.016963	0.019912
Meth__cg17226343__DIRAS1	0.073719	0.069567	0.79199	0.45801	0.076869	0.44702	0.11198	0.68519	0.068014	0.11589	0.067736	0.8333	0.51135	0.075761	0.22563	0.10605	0.16732	0.12422	0.33447	0.57417	0.04978	0.46011	0.44396	0.57161	0.48836	0.1201	0.73187	0.1195	0.0819	0.084456	0.40484	0.057742	0.31727	0.15978	0.52374	0.15594	0.070388
Meth__cg23706211__CELSR2	0.066642	0.084048	0.56494	0.28676	0.039293	0.72559	0.41593	0.44019	0.10187	0.049425	0.88545	0.47567	0.17902	0.10198	0.41362	0.25575	0.055823	0.14088	0.053288	0.10859	0.037496	0.87533	0.53166	0.7673	0.2634	0.15691	0.45314	0.1834	0.50101	0.071149	0.27864	0.095748	0.43932	0.18096	0.11298	0.090696	0.058996
Meth__cg01869233__C20orf75	0.03273	0.021875	0.037046	0.071568	0.20221	0.65144	0.16595	0.037006	0.022974	0.089934	0.2007	0.30119	0.14328	0.027909	0.090444	0.84355	0.088123	0.13321	0.060268	0.2599	0.8811	0.34071	0.15896	0.053843	0.31982	0.059585	0.10958	0.04419	0.36938	0.032932	0.25624	0.033428	0.40993	0.049603	0.23279	0.13	0.28838
Meth__cg06194808__MGC9712	0.039015	0.030417	0.039933	0.047525	0.028877	0.95859	0.040862	0.89272	0.036961	0.039881	0.59916	0.095047	0.1619	0.039735	0.048879	0.96215	0.046484	0.96763	0.050401	0.03651	0.060679	0.94484	0.20614	0.82698	0.038014	0.057174	0.089286	0.11732	0.11915	0.12042	0.92606	0.035145	0.058457	0.070543	0.047601	0.035964	0.031224
Meth__cg00987015__CHRM1	0.10163	0.086468	0.84019	0.11226	0.50178	0.76594	0.11558	0.16522	0.071042	0.26573	0.061569	0.34594	0.77908	0.07207	0.1869	0.38683	0.28216	0.083143	0.11823	0.73946	0.65764	0.7529	0.32114	0.19623	0.080785	0.15021	0.20501	0.24155	0.7756	0.40647	0.10485	0.065964	0.80064	0.15916	0.48172	0.10898	0.089153
Meth__cg19192120__SSH3	0.048683	0.062458	0.18936	0.048111	0.074087	0.075394	0.1233	0.098997	0.061192	0.24248	0.035708	0.11479	0.16138	0.068172	0.068966	0.094403	0.10366	0.10809	0.060504	0.086186	0.046792	0.61055	0.037703	0.27247	0.10321	0.059848	0.23138	0.079347	0.087507	0.035671	0.67632	0.043383	0.089899	0.15419	0.078554	0.049419	0.041771
Meth__cg15375239__SPINT2	0.020475	0.018406	0.021685	0.023529	0.024231	0.98229	0.026117	0.027092	0.017962	0.022806	0.020587	0.021064	0.034616	0.025887	0.019327	0.03509	0.04637	0.809	0.011624	0.020801	0.020753	0.64301	0.01756	0.062814	0.022218	0.052746	0.058078	0.02872	0.023536	0.015891	0.21358	0.019124	0.020768	0.046975	0.028818	0.020572	0.024469
Meth__cg10080004__SYT5	0.068838	0.040291	0.76923	0.14712	0.049803	0.52945	0.20698	0.47513	0.15589	0.04344	0.81159	0.70424	0.64516	0.13108	0.034761	0.74549	0.065366	0.45377	0.39123	0.11375	0.027157	0.082386	0.25727	0.70075	0.16077	0.076876	0.52166	0.04726	0.32877	0.2267	0.47267	0.046121	0.15215	0.13287	0.029993	0.21182	0.16491
Meth__cg10847798__LAMC1	0.055156	0.17592	0.061638	0.087838	0.3311	0.050219	0.20755	0.060083	0.29767	0.43806	0.049631	0.0703	0.080132	0.27896	0.055701	0.05146	0.11045	0.046755	0.13992	0.15945	0.53911	0.064408	0.55763	0.084975	0.076886	0.062243	0.090085	0.10805	0.081304	0.057039	0.050424	0.48352	0.039147	0.17468	0.24696	0.4537	0.36844
Meth__cg01656853__FUT2	0.066308	0.1365	0.66314	0.31179	0.10026	0.86601	0.41167	0.71885	0.75433	0.12388	0.81615	0.19134	0.47425	0.59451	0.068335	0.60996	0.1889	0.5215	0.72034	0.46292	0.076918	0.7816	0.081243	0.51226	0.29652	0.079202	0.18265	0.19463	0.50328	0.073761	0.87192	0.14798	0.54472	0.041762	0.060721	0.058727	0.25842
Meth__cg02282237__PRKCH	0.037052	0.034112	0.042032	0.04672	0.045245	0.35064	0.033673	0.047537	0.037083	0.027137	0.52881	0.062951	0.083862	0.035163	0.033821	0.082258	0.071117	0.23806	0.031315	0.036207	0.051635	0.055514	0.67167	0.83074	0.029517	0.056158	0.07084	0.049731	0.38074	0.033077	0.080095	0.025497	0.032091	0.054556	0.034876	0.026521	0.037701
Meth__cg25370441__FLJ20184	0.070364	0.077692	0.17633	0.088547	0.068987	0.8174	0.077053	0.095466	0.15628	0.070677	0.48313	0.13208	0.21731	0.14379	0.065906	0.38197	0.12019	0.12616	0.14799	0.12859	0.54028	0.56714	0.072821	0.67366	0.092663	0.12642	0.11754	0.059852	0.13329	0.079968	0.47937	0.074648	0.097744	0.17616	0.10173	0.074804	0.068695
Meth__cg09558850__TFPI2	0.12293	0.22284	0.6713	0.43654	0.13255	0.89089	0.12485	0.92975	0.065335	0.095058	0.88899	0.69737	0.85805	0.11426	0.8721	0.68112	0.13795	0.89413	0.1204	0.1046	0.35783	0.25607	0.15769	0.20803	0.15285	0.15364	0.6469	0.11449	0.12292	0.62121	0.90725	0.11469	0.94325	0.71286	0.10849	0.18847	0.12928
Meth__cg11483915__SLC40A1	0.04591	0.034868	0.94673	0.0403	0.043431	0.931	0.052955	0.10827	0.095677	0.046828	0.043951	0.40902	0.26562	0.10484	0.91051	0.0467	0.066902	0.39573	0.92625	0.94573	0.68904	0.47735	0.047566	0.41606	0.043303	0.10179	0.078853	0.045952	0.31153	0.19438	0.65565	0.031211	0.41378	0.13875	0.050207	0.048421	0.039854
Meth__cg10071275__MYT1	0.12511	0.092764	0.36478	0.10019	0.10137	0.85357	0.13432	0.83154	0.84456	0.11294	0.84276	0.94948	0.19941	0.57546	0.47015	0.66379	0.18482	0.45813	0.14765	0.21422	0.10606	0.75672	0.58901	0.70847	0.10562	0.15698	0.19864	0.13973	0.25298	0.42164	0.35501	0.093689	0.10277	0.16352	0.14533	0.088365	0.087373
Meth__cg09088508__RHOF	0.042013	0.037593	0.046926	0.60343	0.060755	0.91589	0.25242	0.38124	0.035414	0.051848	0.034004	0.53088	0.40324	0.044044	0.24163	0.090845	0.55854	0.66231	0.034272	0.050087	0.038892	0.89915	0.046532	0.07243	0.25254	0.073053	0.13503	0.11409	0.10955	0.051481	0.22781	0.087553	0.43295	0.061865	0.034716	0.23315	0.03586
Meth__cg17339202__SYNC1	0.037486	0.054858	0.046799	0.055413	0.050146	0.85412	0.050583	0.38842	0.15179	0.054625	0.76055	0.49087	0.082842	0.19659	0.24633	0.13737	0.052632	0.33835	0.10061	0.11572	0.17272	0.61551	0.34861	0.049193	0.066806	0.087162	0.075645	0.12037	0.7511	0.47537	0.45354	0.035276	0.037457	0.11196	0.074132	0.047269	0.0357
Meth__cg17660655__HIST3H2A	0.83484	0.11048	0.11285	0.1359	0.077094	0.10745	0.47597	0.077381	0.09658	0.11345	0.47745	0.10352	0.1796	0.10797	0.085568	0.1015	0.1957	0.086413	0.17639	0.089071	0.12995	0.10708	0.30563	0.83393	0.11402	0.19246	0.21897	0.20901	0.13644	0.11351	0.10491	0.12721	0.44458	0.27701	0.15606	0.1129	0.12504
Meth__cg07426960__CCND1	0.038915	0.034313	0.4412	0.061148	0.05649	0.802	0.03269	0.51761	0.51835	0.057784	0.7324	0.78985	0.32441	0.40221	0.65707	0.79145	0.25366	0.26056	0.050159	0.076663	0.072296	0.78367	0.058951	0.06195	0.055254	0.093726	0.077376	0.071411	0.58481	0.77327	0.19309	0.03368	0.034752	0.037746	0.045133	0.050558	0.033028
Meth__cg26284390__NFKBIZ	0.57649	0.096832	0.071174	0.81696	0.060624	0.069948	0.1041	0.12789	0.1455	0.094617	0.12066	0.17234	0.15536	0.086921	0.34026	0.11475	0.07088	0.060265	0.086358	0.074129	0.079961	0.098284	0.047224	0.2085	0.080583	0.17116	0.1017	0.18468	0.036805	0.057711	0.097785	0.94253	0.23819	0.1434	0.1026	0.47724	0.94414
Meth__cg11462865__KRT19	0.031823	0.028759	0.0391	0.035531	0.025583	0.95435	0.030781	0.047942	0.030868	0.032821	0.95755	0.93461	0.91919	0.034999	0.028127	0.24073	0.067626	0.94788	0.029236	0.038049	0.02726	0.94805	0.021297	0.057149	0.036481	0.064091	0.060013	0.081121	0.39781	0.027201	0.95817	0.021475	0.021707	0.032526	0.037706	0.031244	0.033128
Meth__cg06722633__GRIK3	0.66819	0.056564	0.98007	0.054991	0.02749	0.9497	0.30441	0.97007	0.11314	0.023688	0.95237	0.97925	0.64135	0.10463	0.30739	0.72838	0.040835	0.17133	0.96973	0.80682	0.027456	0.13344	0.11844	0.83429	0.95701	0.087006	0.86966	0.078788	0.16866	0.16415	0.74124	0.031328	0.86704	0.062468	0.282	0.052301	0.041516
Meth__cg26259865__LOC124220	0.08778	0.19609	0.84624	0.2686	0.20966	0.76944	0.15015	0.91834	0.36771	0.23837	0.90179	0.89881	0.93517	0.2948	0.8774	0.96788	0.43917	0.59942	0.59354	0.4395	0.092397	0.94434	0.17945	0.47292	0.12388	0.13936	0.39456	0.13513	0.93989	0.65395	0.89592	0.17036	0.089942	0.34374	0.12096	0.33527	0.10217
Meth__cg19434936__MGC31967	0.052111	0.043506	0.057009	0.055509	0.033996	0.038977	0.056326	0.03066	0.039386	0.047511	0.05032	0.035721	0.066683	0.036892	0.037082	0.029463	0.064332	0.026206	0.043048	0.04958	0.050467	0.047443	0.035908	0.079896	0.051011	0.055589	0.1272	0.099039	0.029191	0.042943	0.031519	0.036737	0.032068	0.26226	0.050016	0.041678	0.046292
Meth__cg15456206__ZNF580	0.05046	0.42755	0.13495	0.22916	0.027199	0.045638	0.074716	0.12446	0.07056	0.095153	0.077995	0.92914	0.27216	0.086987	0.41693	0.037254	0.087366	0.036938	0.1943	0.18697	0.088647	0.070539	0.0713	0.78816	0.052308	0.085719	0.16726	0.31778	0.024351	0.34862	0.045243	0.10961	0.064137	0.08652	0.095874	0.030731	0.072834
Meth__cg04956511__PTPN6	0.03225	0.022618	0.031017	0.038527	0.026983	0.9805	0.040832	0.31457	0.053368	0.032539	0.095867	0.049161	0.040184	0.047216	0.026186	0.98352	0.10567	0.98399	0.020275	0.032936	0.024559	0.97769	0.025787	0.59746	0.034722	0.058024	0.060752	0.07638	0.96965	0.021993	0.68302	0.02673	0.023815	0.062668	0.033818	0.028054	0.029209
Meth__cg01267315__C1orf164	0.73466	0.055646	0.073535	0.062663	0.041145	0.030982	0.11117	0.025874	0.045145	0.050421	0.38188	0.037029	0.31258	0.029318	0.05118	0.058342	0.07312	0.028301	0.068382	0.55781	0.66945	0.044846	0.060997	0.081692	0.047693	0.067568	0.41443	0.036085	0.033887	0.048965	0.038511	0.040541	0.067761	0.85683	0.04431	0.57175	0.46245
Meth__cg03750606__ESRRG	0.055156	0.064742	0.61505	0.06877	0.070728	0.8472	0.086443	0.59767	0.063915	0.098483	0.078735	0.2525	0.085441	0.073398	0.076216	0.077662	0.11205	0.091936	0.097127	0.067152	0.072808	0.11071	0.06268	0.80959	0.067935	0.11177	0.12296	0.089579	0.29553	0.052479	0.089292	0.06206	0.32474	0.089591	0.068634	0.073841	0.062603
Meth__cg07705908__SPDEF	0.038412	0.026103	0.19436	0.0312	0.052439	0.89569	0.031021	0.88867	0.88828	0.048732	0.80229	0.26778	0.14216	0.71279	0.52814	0.91218	0.28636	0.21838	0.040342	0.04015	0.030499	0.91363	0.040735	0.062942	0.040761	0.0414	0.038451	0.049296	0.73765	0.87982	0.42201	0.026123	0.019628	0.033375	0.042119	0.031081	0.029462
Meth__cg15025769__MYO9A	0.031516	0.031449	0.029023	0.032337	0.026032	0.023141	0.041299	0.030279	0.44912	0.034638	0.029488	0.034581	0.04058	0.056147	0.02633	0.024514	0.07693	0.022048	0.031496	0.035488	0.034365	0.039569	0.019548	0.056517	0.031429	0.019646	0.050609	0.073216	0.022951	0.020544	0.015135	0.020574	0.016526	0.05448	0.026561	0.035091	0.034521
Meth__cg25736482__TMC4	0.077592	0.051087	0.73361	0.73013	0.076099	0.91311	0.099056	0.71058	0.42703	0.49772	0.417	0.81624	0.33098	0.27978	0.32839	0.82001	0.073094	0.43358	0.21499	0.12149	0.14838	0.8953	0.20641	0.79882	0.41641	0.062643	0.67339	0.074896	0.79501	0.24056	0.34143	0.071561	0.33862	0.095652	0.073974	0.092807	0.093068
Meth__cg00066816__IL12B	0.060987	0.047143	0.14915	0.52105	0.10585	0.5711	0.50049	0.08661	0.058991	0.058147	0.095852	0.58085	0.83323	0.068351	0.084994	0.11857	0.12041	0.86557	0.082321	0.16143	0.47991	0.88479	0.37083	0.27145	0.072914	0.11443	0.79863	0.083999	0.054437	0.061571	0.1298	0.051495	0.88138	0.21251	0.23852	0.095459	0.047229
Meth__cg15055101__SH2D3A	0.052624	0.03237	0.052175	0.053912	0.060818	0.93679	0.051684	0.60411	0.044447	0.077592	0.045032	0.051737	0.090166	0.0451	0.026803	0.89085	0.13701	0.040112	0.040848	0.066175	0.30832	0.6316	0.043432	0.16622	0.28723	0.075676	0.079925	0.052512	0.35371	0.025354	0.080415	0.033666	0.037844	0.13673	0.069947	0.058638	0.04555
Meth__cg22328890__SLC7A6	0.035997	0.033825	0.030203	0.030619	0.022556	0.026558	0.030057	0.018466	0.026023	0.029986	0.031367	0.01892	0.026653	0.028125	0.026778	0.024609	0.033429	0.029804	0.018461	0.029933	0.041656	0.025717	0.015912	0.064935	0.028857	0.042714	0.04908	0.049392	0.023247	0.0183	0.020371	0.022599	0.025143	0.23761	0.050611	0.02672	0.026665
Meth__cg15301700__SCRT1	0.052648	0.048908	0.039723	0.040043	0.035065	0.036594	0.04933	0.065997	0.044848	0.058176	0.044849	0.043339	0.065236	0.051654	0.042269	0.053614	0.066097	0.043657	0.044193	0.052333	0.041236	0.043	0.052498	0.39747	0.041674	0.044052	0.25223	0.079958	0.043761	0.05614	0.036802	0.046386	0.035502	0.019813	0.044055	0.042311	0.046782
Meth__cg10163825__C16orf25	0.046491	0.082308	0.92063	0.084318	0.037719	0.97072	0.072378	0.91759	0.12447	0.090737	0.91888	0.96899	0.6019	0.12425	0.79994	0.49011	0.30667	0.94158	0.57551	0.070051	0.044089	0.94714	0.12942	0.80063	0.3139	0.06418	0.10541	0.1375	0.26326	0.19038	0.45243	0.24411	0.81978	0.086415	0.047196	0.33991	0.052637
Meth__cg05593325__GALNT12	0.047858	0.069214	0.11438	0.049	0.039134	0.68364	0.062393	0.95556	0.066501	0.054137	0.61865	0.76862	0.2865	0.075813	0.86222	0.61069	0.24941	0.65437	0.047898	0.057826	0.15628	0.605	0.29201	0.83304	0.041789	0.12041	0.08356	0.079646	0.085818	0.082019	0.14232	0.026389	0.78032	0.11093	0.068765	0.063438	0.041036
Meth__cg20450764__TSPAN7	0.098574	0.063522	0.12039	0.17163	0.11345	0.22891	0.12967	0.70481	0.090288	0.08985	0.08384	0.16717	0.24478	0.098345	0.17909	0.091391	0.11195	0.36964	0.38163	0.11269	0.31212	0.14475	0.31546	0.70863	0.2819	0.21934	0.16772	0.17672	0.68778	0.075783	0.25814	0.077261	0.12535	0.23606	0.35318	0.081527	0.074401
Meth__cg02905245__URB	0.62038	0.090416	0.066201	0.68199	0.44374	0.069683	0.49587	0.58756	0.69129	0.11815	0.087965	0.067894	0.54506	0.53895	0.084349	0.091989	0.10616	0.10085	0.19756	0.22478	0.40206	0.093332	0.075363	0.1314	0.29132	0.16941	0.59467	0.1586	0.070355	0.0825	0.088281	0.30195	0.3781	0.12396	0.61983	0.55223	0.57352
Meth__cg16891895__RGS16	0.027991	0.022697	0.21645	0.045587	0.023923	0.97307	0.034673	0.10274	0.30159	0.032647	0.041321	0.032492	0.17357	0.25311	0.46676	0.10285	0.045449	0.20306	0.020058	0.034584	0.071579	0.80258	0.029634	0.073275	0.086659	0.0545	0.056178	0.056297	0.051658	0.027606	0.0404	0.040707	0.69746	0.053813	0.033374	0.0361	0.030418
Meth__cg19618706__BGN	0.46813	0.06215	0.24709	0.31038	0.067208	0.52391	0.074185	0.46734	0.060785	0.067539	0.061614	0.23482	0.64369	0.062969	0.29525	0.095994	0.12852	0.073398	0.13022	0.47631	0.19607	0.52238	0.31049	0.30428	0.068514	0.31467	0.2012	0.0838	0.076713	0.05015	0.11131	0.062128	0.61072	0.26451	0.42851	0.066941	0.13911
Meth__cg05801573__SLITRK4	0.38878	0.048392	0.91647	0.066849	0.25583	0.044247	0.060075	0.9147	0.041321	0.41904	0.88456	0.85289	0.51438	0.053207	0.30925	0.3828	0.23393	0.078705	0.38061	0.46796	0.46213	0.33429	0.32886	0.86207	0.88896	0.27649	0.21631	0.11823	0.4354	0.043055	0.71999	0.035278	0.9071	0.11619	0.48754	0.29216	0.052595
Meth__cg08343834__PMP22	0.08464	0.089417	0.83099	0.38859	0.47021	0.54362	0.12107	0.82086	0.11496	0.15478	0.52836	0.40228	0.72863	0.10486	0.72591	0.78516	0.13061	0.097708	0.18857	0.21744	0.11346	0.74188	0.095209	0.54875	0.1452	0.147	0.22438	0.095472	0.14707	0.64724	0.33634	0.11717	0.25352	0.24518	0.13434	0.12557	0.12641
Meth__cg24562819__THBD	0.75312	0.41668	0.98417	0.066778	0.028582	0.96842	0.35217	0.93703	0.20893	0.041805	0.85146	0.99026	0.95926	0.21606	0.874	0.094072	0.17018	0.65726	0.61519	0.39778	0.034267	0.7076	0.35911	0.69162	0.053983	0.044709	0.11432	0.20762	0.90826	0.38964	0.27882	0.039963	0.81252	0.40764	0.032482	0.03365	0.031466
