Cell lines	AU565	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg21656748__SCARB2	0.095541	0.028895	0.51956	0.030315	0.024849	0.026666	0.043724	0.025575	0.070104	0.13929	0.03323	0.036236	0.023733	0.040582	0.029758	0.22914	0.065732	0.1199	0.080316	0.02	0.031255	0.04746	0.09981	0.078633	0.021396	0.026959	0.033506	0.03065	0.016455	0.035158	0.041299	0.032578	0.033102	0.034309
Meth__cg25959506__RASD2	0.04921	0.47776	0.43455	0.061449	0.030251	0.059206	0.12886	0.054138	0.063169	0.23813	0.051331	0.11589	0.039289	0.049648	0.081847	0.69882	0.24083	0.055992	0.092595	0.043218	0.39831	0.086186	0.33491	0.081899	0.041252	0.045605	0.044943	0.042024	0.056129	0.0342	0.0479	0.071792	0.037816	0.050672
Meth__cg11119596__CD96	0.057323	0.68534	0.63233	0.46551	0.30465	0.61593	0.16724	0.62154	0.15978	0.33206	0.37127	0.2019	0.85258	0.12189	0.29344	0.11211	0.11743	0.09117	0.21512	0.88967	0.16293	0.12363	0.25969	0.105	0.23428	0.67945	0.18664	0.62164	0.07663	0.14575	0.20611	0.34119	0.23723	0.1724
Meth__cg10245048__TNFRSF10A	0.061891	0.057781	0.44423	0.071079	0.033004	0.041212	0.058477	0.050554	0.047024	0.11681	0.047952	0.61982	0.048464	0.13701	0.071875	0.049466	0.059873	0.81596	0.069318	0.036565	0.061353	0.066295	0.090141	0.14547	0.055459	0.040233	0.041128	0.056972	0.055091	0.050737	0.059535	0.057366	0.044814	0.045251
Meth__cg07109801__C3orf60	0.64961	0.32833	0.8661	0.31254	0.4125	0.20738	0.41412	0.17054	0.82286	0.3617	0.28198	0.64044	0.19796	0.080306	0.43944	0.34832	0.067425	0.19183	0.8593	0.45428	0.044177	0.1808	0.067959	0.45998	0.031222	0.43852	0.077634	0.035545	0.23589	0.059252	0.060997	0.47998	0.040266	0.059647
Meth__cg26952662__CTHRC1	0.025066	0.43541	0.96249	0.66592	0.54812	0.93907	0.028927	0.063012	0.032133	0.23814	0.71088	0.75089	0.27105	0.12335	0.83048	0.021442	0.030216	0.13934	0.23937	0.17145	0.026449	0.049293	0.064728	0.063666	0.026654	0.033391	0.95559	0.25214	0.022457	0.38626	0.93981	0.025756	0.14203	0.94334
Meth__cg10823157__ATP9B	0.035804	0.043127	0.3852	0.070721	0.020563	0.069161	0.10343	0.061965	0.1239	0.31431	0.051288	0.097578	0.031317	0.12765	0.044753	0.05774	0.082346	0.052006	0.1343	0.043949	0.071153	0.13069	0.086142	0.12704	0.027518	0.041443	0.033849	0.03849	0.050964	0.05631	0.2104	0.062598	0.03494	0.036513
Meth__cg24511869__RELB	0.033778	0.39851	0.043443	0.046128	0.12008	0.042305	0.074801	0.042386	0.04752	0.094952	0.047516	0.054661	0.10665	0.078138	0.049598	0.044056	0.039719	0.044983	0.042708	0.028503	0.10092	0.047796	0.10077	0.048532	0.04119	0.18408	0.09689	0.13455	0.039132	0.040893	0.057714	0.039504	0.19702	0.11009
Meth__cg23320056__ARHGEF2	0.12809	0.51945	0.091571	0.36413	0.12192	0.11339	0.2047	0.085915	0.12114	0.26317	0.1124	0.088826	0.081267	0.16114	0.074579	0.28013	0.41851	0.61574	0.12842	0.10819	0.20731	0.37449	0.1896	0.15269	0.085515	0.089303	0.081509	0.14974	0.16316	0.061273	0.10379	0.25421	0.11504	0.10253
Meth__cg07014174__KRTAP11-1	0.066227	0.61858	0.083158	0.59849	0.86289	0.34802	0.075982	0.69621	0.56912	0.16808	0.30272	0.42553	0.2621	0.16827	0.086181	0.047993	0.10855	0.4179	0.099673	0.79426	0.092457	0.10378	0.25505	0.087419	0.065658	0.41576	0.11364	0.54941	0.066228	0.094361	0.11243	0.06405	0.26889	0.3176
Meth__cg05860890__KCNV1	0.50177	0.39202	0.58349	0.8508	0.69867	0.046065	0.62158	0.73457	0.4566	0.44474	0.18302	0.42856	0.1315	0.10165	0.070875	0.072019	0.070815	0.10124	0.088568	0.05231	0.071237	0.083616	0.66476	0.56133	0.4184	0.48931	0.44972	0.50444	0.060594	0.31433	0.12146	0.4123	0.52663	0.53564
Meth__cg07836370__GLTP	0.045083	0.16144	0.063889	0.059004	0.046052	0.048627	0.06761	0.041173	0.086678	0.096755	0.061816	0.048389	0.071374	0.074576	0.40135	0.085637	0.08971	0.12973	0.064575	0.14881	0.076223	0.066547	0.12398	0.059821	0.034799	0.043964	0.036111	0.26517	0.067047	0.056391	0.062645	0.047005	0.057322	0.04402
Meth__cg18279742__RPS2	0.11675	0.41185	0.41985	0.084977	0.34238	0.16345	0.12904	0.033473	0.87728	0.16553	0.19013	0.095382	0.15831	0.33494	0.54119	0.076029	0.035572	0.37749	0.36558	0.31727	0.44293	0.11949	0.061158	0.14694	0.06356	0.048085	0.40948	0.079331	0.20085	0.046995	0.05274	0.153	0.055039	0.047881
Meth__cg15401952__KCNIP4	0.062348	0.6507	0.11317	0.45848	0.6966	0.16433	0.080218	0.54311	0.23019	0.10363	0.16752	0.11433	0.084012	0.19555	0.059561	0.071149	0.081711	0.14014	0.10254	0.097438	0.068244	0.14573	0.19902	0.11406	0.070244	0.47172	0.06354	0.27693	0.054198	0.18124	0.10123	0.077857	0.18401	0.11699
Meth__cg22571217__DAPK1	0.081953	0.078159	0.092441	0.79084	0.054684	0.048756	0.063623	0.057939	0.057002	0.091208	0.077244	0.055962	0.045023	0.095824	0.24183	0.76575	0.6644	0.056929	0.063875	0.044116	0.054923	0.37801	0.15678	0.1094	0.047364	0.035006	0.046276	0.036145	0.047098	0.068969	0.048199	0.40344	0.060966	0.054797
Meth__cg03547797__GAS2	0.070856	0.87853	0.078118	0.70245	0.8524	0.8606	0.1116	0.53258	0.70606	0.17899	0.66583	0.58797	0.81852	0.29483	0.091724	0.069352	0.15652	0.86408	0.12233	0.86121	0.52959	0.13396	0.76272	0.091236	0.32335	0.86517	0.074102	0.84139	0.052882	0.29784	0.073263	0.085931	0.62973	0.35332
Meth__cg14822966__SLBP	0.047886	0.037892	0.060683	0.043944	0.047245	0.046546	0.039496	0.034968	0.054136	0.11528	0.04523	0.047786	0.052686	0.051693	0.29643	0.035494	0.035573	0.047312	0.17182	0.060983	0.074674	0.051582	0.076696	0.090112	0.036874	0.035705	0.043401	0.043093	0.031897	0.03358	0.069744	0.044327	0.031942	0.030838
Meth__cg16442715__MAP3K7IP1	0.049112	0.054028	0.057086	0.074865	0.059634	0.061144	0.071546	0.068272	0.076884	0.087923	0.053575	0.079582	0.041953	0.0709	0.096818	0.085878	0.064795	0.099976	0.088764	0.072408	0.099394	0.082411	0.080509	0.11999	0.053878	0.059078	0.070177	0.092867	0.057922	0.065169	0.045762	0.071973	0.059728	0.067049
Meth__cg00466436__DEFB126	0.078573	0.43727	0.064742	0.32211	0.43592	0.54073	0.21127	0.099086	0.079862	0.32552	0.35987	0.22798	0.17334	0.12753	0.12086	0.37819	0.15625	0.5664	0.073691	0.21831	0.12672	0.10246	0.22422	0.085663	0.067368	0.57453	0.11397	0.74348	0.067222	0.1012	0.4029	0.21432	0.22261	0.22877
Meth__cg11289251__DUS2L	0.028941	0.021536	0.07468	0.03366	0.024415	0.019996	0.02272	0.029052	0.0271	0.038154	0.024505	0.019895	0.027404	0.048463	0.039674	0.016998	0.034117	0.021863	0.033375	0.074462	0.026707	0.068852	0.039739	0.043119	0.018227	0.015048	0.021753	0.016083	0.012446	0.017287	0.064573	0.024474	0.022054	0.019645
Meth__cg24975222__CDCP1	0.052034	0.036014	0.97392	0.032422	0.033498	0.032931	0.033092	0.42209	0.066126	0.05343	0.035387	0.034885	0.036735	0.059025	0.92657	0.95605	0.95663	0.031918	0.89708	0.034627	0.039397	0.11332	0.048195	0.06182	0.027608	0.024464	0.060771	0.070192	0.021248	0.028831	0.034424	0.031665	0.030184	0.037267
Meth__cg23548479__CDKN1C	0.043658	0.14917	0.6786	0.55551	0.05901	0.065132	0.046651	0.51951	0.56413	0.19699	0.069579	0.049054	0.049649	0.10759	0.35438	0.86438	0.6635	0.076381	0.058388	0.34119	0.070897	0.12729	0.12508	0.078551	0.043645	0.049717	0.0427	0.056701	0.051618	0.043608	0.20814	0.049974	0.049163	0.051621
Meth__cg19514928__TMEM56	0.41431	0.12108	0.072098	0.072113	0.035581	0.023501	0.075241	0.059198	0.20255	0.26411	0.058499	0.03382	0.17115	0.074574	0.057163	0.16359	0.42069	0.14276	0.059831	0.034486	0.040917	0.29003	0.08923	0.3778	0.031663	0.025539	0.04152	0.18142	0.13343	0.10721	0.037314	0.037811	0.040711	0.09938
Meth__cg02493771__KRTAP13-2	0.028339	0.31175	0.041199	0.15379	0.39774	0.34313	0.036197	0.27859	0.064831	0.067521	0.23958	0.10335	0.039381	0.097691	0.025376	0.027471	0.031308	0.061823	0.027689	0.07053	0.037493	0.026729	0.066356	0.036247	0.022749	0.05214	0.02913	0.40649	0.018933	0.046043	0.025337	0.034543	0.051687	0.084605
Meth__cg21505886__TMEM129	0.7143	0.91315	0.19509	0.70824	0.079296	0.14013	0.83227	0.10212	0.81292	0.19002	0.37613	0.076923	0.12779	0.1337	0.089418	0.80318	0.80628	0.82633	0.91276	0.94213	0.38494	0.17951	0.19921	0.50657	0.049602	0.3363	0.053495	0.8068	0.36949	0.091866	0.053859	0.9311	0.50598	0.087374
Meth__cg24759821__PAH	0.11472	0.9063	0.17517	0.37931	0.11178	0.25319	0.047234	0.71799	0.10105	0.5855	0.18812	0.53574	0.073042	0.086649	0.039733	0.054395	0.046501	0.49971	0.20992	0.066756	0.039509	0.055443	0.12892	0.099536	0.28511	0.05977	0.20209	0.70596	0.050955	0.80357	0.078084	0.047568	0.065221	0.2336
Meth__cg25363317__GTF2F1	0.028327	0.036696	0.034332	0.028521	0.031918	0.026448	0.034421	0.032891	0.056558	0.67263	0.02977	0.022172	0.018811	0.042954	0.026932	0.049673	0.035847	0.038412	0.03442	0.024942	0.030245	0.057084	0.03808	0.070147	0.021284	0.021878	0.022784	0.02466	0.023734	0.023455	0.042396	0.032497	0.045794	0.042372
Meth__cg12493906__MMP26	0.049547	0.22695	0.065002	0.70994	0.45758	0.84658	0.067594	0.46718	0.10442	0.44701	0.61381	0.1917	0.074984	0.12257	0.044534	0.035773	0.085811	0.89886	0.27358	0.10629	0.3071	0.079627	0.069712	0.053626	0.056602	0.66742	0.10067	0.87348	0.047166	0.12348	0.20673	0.073748	0.57077	0.47994
Meth__cg17317962__ACTG1	0.34403	0.03212	0.03289	0.042559	0.024157	0.024512	0.10237	0.02703	0.041556	0.15831	0.03032	0.028697	0.024183	0.14418	0.024746	0.040006	0.031937	0.039771	0.033319	0.37222	0.12764	0.23404	0.069112	0.4339	0.09315	0.032232	0.039437	0.01921	0.28312	0.04186	0.067158	0.070314	0.49672	0.036308
Meth__cg25687894__ACLY	0.18905	0.059105	0.086215	0.075374	0.054265	0.0376	0.20165	0.061056	0.075339	0.40515	0.04071	0.048151	0.18887	0.11718	0.11429	0.31244	0.084932	0.23828	0.41701	0.051431	0.067483	0.10773	0.11306	0.12093	0.40117	0.04673	0.065482	0.046466	0.05763	0.068683	0.068385	0.05567	0.071239	0.06853
Meth__cg04112019__IGF2AS	0.18084	0.20226	0.4375	0.73293	0.1425	0.17679	0.17377	0.19098	0.26721	0.25015	0.18175	0.18015	0.16534	0.29384	0.17735	0.93673	0.88001	0.36158	0.17236	0.6832	0.8324	0.21473	0.72873	0.2122	0.14577	0.24014	0.15493	0.15302	0.1654	0.57836	0.52136	0.1884	0.15621	0.14052
Meth__cg00071998__MSH5	0.20573	0.045841	0.047619	0.083102	0.030249	0.14195	0.12566	0.040166	0.097964	0.12735	0.12341	0.049245	0.033199	0.089381	0.16814	0.030714	0.046334	0.087138	0.30922	0.046031	0.87169	0.081235	0.049733	0.10894	0.042399	0.037872	0.055187	0.04752	0.048908	0.032747	0.05231	0.073896	0.07103	0.045634
Meth__cg11010122__DNAJB14	0.022283	0.029039	0.028316	0.028287	0.036867	0.026817	0.035947	0.016866	0.055805	0.079046	0.028069	0.026425	0.018119	0.06208	0.062444	0.13363	0.044204	0.046482	0.052337	0.041165	0.040266	0.16417	0.050797	0.029953	0.027665	0.37323	0.03492	0.046223	0.029055	0.02195	0.061506	0.031917	0.033448	0.032086
Meth__cg08700651__IL28RA	0.85916	0.41057	0.87757	0.65784	0.14156	0.063688	0.095179	0.073829	0.28835	0.86666	0.078799	0.086583	0.49599	0.37763	0.40924	0.63533	0.59873	0.48586	0.81063	0.43427	0.27176	0.4001	0.18042	0.17372	0.62852	0.37593	0.11959	0.61514	0.16577	0.92037	0.06393	0.14553	0.13935	0.19756
Meth__cg22820108__NCOR2	0.067804	0.097867	0.062945	0.050063	0.044538	0.051659	0.27905	0.058476	0.036053	0.10413	0.058698	0.063665	0.061144	0.1087	0.056671	0.11794	0.23144	0.5639	0.065391	0.44017	0.085665	0.14978	0.093722	0.088181	0.060286	0.058036	0.052251	0.14012	0.079738	0.052308	0.068835	0.068731	0.061903	0.069994
Meth__cg05921207__CHRDL1	0.023732	0.85772	0.17028	0.84217	0.95028	0.11855	0.49955	0.88117	0.08706	0.83347	0.12729	0.36604	0.9261	0.091591	0.021374	0.37852	0.21501	0.46112	0.052887	0.56161	0.5193	0.18255	0.15869	0.043596	0.27825	0.028324	0.054999	0.8481	0.026388	0.37041	0.78854	0.35721	0.57272	0.8454
Meth__cg12167239__SLC25A1	0.05488	0.65455	0.054008	0.035378	0.1509	0.027802	0.042114	0.031796	0.079957	0.2599	0.034052	0.029524	0.038	0.064036	0.084563	0.029622	0.035388	0.064519	0.81515	0.020454	0.033865	0.055095	0.087082	0.080557	0.026309	0.022515	0.027257	0.044246	0.072102	0.027535	0.047164	0.039258	0.024372	0.028811
Meth__cg24898753__FTH1	0.71955	0.090737	0.056127	0.55003	0.029342	0.018959	0.75923	0.018579	0.21301	0.072801	0.041377	0.12401	0.031824	0.02156	0.96695	0.11154	0.07772	0.025326	0.38588	0.14617	0.041294	0.32953	0.037905	0.6795	0.062795	0.026879	0.046473	0.012092	0.032228	0.017065	0.13475	0.13328	0.018849	0.019812
Meth__cg23861715__CDC14B	0.098277	0.098047	0.066817	0.086423	0.049845	0.097753	0.063388	0.093581	0.14421	0.088823	0.078878	0.05044	0.052662	0.13124	0.15186	0.10572	0.09595	0.87412	0.14975	0.06911	0.13209	0.20145	0.2121	0.12944	0.068973	0.05017	0.71686	0.056915	0.07517	0.060526	0.15168	0.09287	0.095301	0.070799
Meth__cg23918047__ARHGDIA	0.080444	0.19936	0.048334	0.41681	0.055941	0.086743	0.3181	0.050184	0.89638	0.18314	0.1395	0.11316	0.057127	0.143	0.048025	0.19508	0.077102	0.1653	0.23104	0.38138	0.34427	0.25006	0.12769	0.16436	0.043815	0.068906	0.058328	0.10345	0.35102	0.07658	0.12806	0.54584	0.069776	0.050827
Meth__cg26822241__CYP2C9	0.14968	0.90293	0.17096	0.86864	0.75354	0.89844	0.49225	0.75684	0.69149	0.30614	0.63903	0.35655	0.49862	0.076722	0.11783	0.24726	0.39137	0.85686	0.098555	0.9275	0.38096	0.14966	0.31697	0.1387	0.47871	0.80308	0.09142	0.92626	0.065363	0.08209	0.16533	0.081787	0.58843	0.74108
Meth__cg09937039__BATF	0.043691	0.041803	0.35128	0.070551	0.96718	0.82424	0.048704	0.89918	0.073694	0.081862	0.63978	0.94482	0.94856	0.054771	0.30425	0.026609	0.051861	0.95396	0.91751	0.041691	0.11645	0.085787	0.52979	0.055943	0.66511	0.95144	0.74989	0.93443	0.032702	0.27885	0.18147	0.044647	0.041622	0.0977
Meth__cg25072962__MGC35295	0.051257	0.75976	0.26966	0.18006	0.8811	0.40239	0.07448	0.37275	0.16182	0.20516	0.3463	0.22709	0.37193	0.24171	0.047082	0.054	0.07149	0.30777	0.12652	0.097093	0.083804	0.15752	0.31163	0.12887	0.075371	0.16789	0.056421	0.47906	0.061649	0.23765	0.16828	0.090429	0.1002	0.088808
Meth__cg08947964__CX62	0.10784	0.76076	0.083034	0.49223	0.79412	0.34093	0.57106	0.45532	0.38835	0.39449	0.26117	0.23197	0.47268	0.1686	0.10347	0.12781	0.16117	0.84609	0.1172	0.88186	0.11973	0.072912	0.47803	0.23397	0.43603	0.16323	0.073896	0.63746	0.067594	0.56955	0.22949	0.21122	0.15323	0.17074
Meth__cg27060381__TBC1D10A	0.23075	0.25232	0.23227	0.10235	0.22329	0.22006	0.3622	0.40238	0.29212	0.53314	0.19866	0.065351	0.43844	0.092203	0.068299	0.5235	0.37377	0.22057	0.73558	0.33727	0.2953	0.22357	0.13281	0.12973	0.051435	0.058934	0.13115	0.14128	0.28862	0.14476	0.11514	0.28986	0.086425	0.098293
Meth__cg01277844__PYGO2	0.080583	0.059274	0.067605	0.061355	0.073744	0.064862	0.11915	0.080235	0.49435	0.36708	0.059094	0.060017	0.058883	0.073025	0.082572	0.12077	0.084134	0.060645	0.11369	0.067922	0.072915	0.14542	0.1519	0.16484	0.066166	0.077228	0.24386	0.055177	0.051264	0.058721	0.086064	0.08871	0.050309	0.060329
Meth__cg01437411__ATN1	0.20949	0.61202	0.21421	0.53664	0.29446	0.094225	0.30899	0.032166	0.17033	0.67576	0.15518	0.12493	0.13705	0.1597	0.044494	0.31951	0.63497	0.55034	0.1277	0.25604	0.71026	0.26763	0.13082	0.57682	0.03832	0.059741	0.059684	0.38905	0.3921	0.66095	0.079473	0.14546	0.10251	0.066446
Meth__cg06456031__FLJ11000	0.064077	0.099291	0.8554	0.085895	0.8686	0.36127	0.081578	0.092923	0.10959	0.12865	0.32163	0.79726	0.17039	0.12548	0.26549	0.072659	0.08759	0.13421	0.075789	0.049968	0.080563	0.14547	0.19788	0.071909	0.45786	0.87439	0.092658	0.086778	0.082507	0.1192	0.10499	0.083372	0.089524	0.34311
Meth__cg20291222__CAPS2	0.12362	0.77767	0.1143	0.2283	0.13413	0.57264	0.10885	0.43148	0.20505	0.15331	0.45226	0.65286	0.1444	0.27861	0.13165	0.12176	0.12402	0.73683	0.13359	0.54197	0.14396	0.17216	0.24512	0.12871	0.46767	0.12484	0.13419	0.81426	0.10579	0.48055	0.20438	0.12924	0.18571	0.1634
Meth__cg19652869__SLC30A1	0.032004	0.033649	0.032752	0.042195	0.040051	0.024006	0.035956	0.0297	0.034923	0.061069	0.028148	0.02517	0.028597	0.071982	0.014867	0.032042	0.050372	0.030375	0.043786	0.032755	0.053362	0.081442	0.043205	0.039768	0.026533	0.019126	0.029245	0.027078	0.017946	0.021671	0.033087	0.034039	0.031635	0.029912
Meth__cg07880061__PX19	0.73665	0.039166	0.039383	0.037285	0.077482	0.080052	0.048153	0.086473	0.16526	0.15055	0.078898	0.10439	0.036818	0.08078	0.038395	0.12844	0.082407	0.0785	0.053959	0.057498	0.05061	0.099712	0.076557	0.12815	0.021925	0.042216	0.06545	0.033472	0.069296	0.03824	0.07888	0.051904	0.044369	0.052438
Meth__cg17166812__NDUFS2	0.076204	0.40362	0.59875	0.028252	0.4427	0.059238	0.15819	0.033123	0.5924	0.55252	0.097334	0.03554	0.51934	0.12157	0.17111	0.60312	0.60821	0.24145	0.51534	0.51955	0.33425	0.10799	0.061672	0.16592	0.068168	0.12734	0.17616	0.71849	0.032159	0.03004	0.14572	0.11037	0.10232	0.089542
Meth__cg00354572__FLJ21963	0.061514	0.51561	0.10646	0.23105	0.29713	0.15894	0.066401	0.34508	0.24007	0.28701	0.15253	0.33116	0.067748	0.1323	0.29823	0.047645	0.047946	0.63955	0.0876	0.12553	0.55185	0.10789	0.64264	0.12985	0.079729	0.47938	0.15216	0.71641	0.14911	0.39376	0.18975	0.066892	0.6703	0.42056
Meth__cg05473175__IGSF4C	0.052027	0.071286	0.18165	0.064613	0.086266	0.04952	0.061139	0.088411	0.078922	0.18728	0.042118	0.060238	0.093113	0.079009	0.28109	0.061272	0.096972	0.075709	0.10589	0.17319	0.088519	0.10081	0.12079	0.11098	0.055213	0.067944	0.059205	0.046052	0.054822	0.21542	0.1142	0.10428	0.050092	0.061318
Meth__cg26508537__C10orf6	0.092658	0.25708	0.21006	0.080079	0.056453	0.11851	0.17263	0.092645	0.43548	0.24922	0.11979	0.12715	0.075	0.11327	0.068753	0.2089	0.1708	0.15682	0.52407	0.18546	0.16448	0.13383	0.11607	0.12807	0.067489	0.059686	0.095065	0.11993	0.063776	0.091346	0.15519	0.076946	0.069406	0.1032
Meth__cg04878152__AGTR1	0.057266	0.42543	0.082538	0.71426	0.83194	0.099409	0.20352	0.49504	0.56508	0.6597	0.095417	0.43253	0.23367	0.34082	0.072659	0.32162	0.17439	0.83751	0.13216	0.26779	0.28033	0.13025	0.7376	0.062836	0.32472	0.49373	0.32172	0.89359	0.20474	0.36451	0.25677	0.088112	0.45577	0.73323
Meth__cg14796007__AP4M1	0.05797	0.031471	0.044005	0.046524	0.045798	0.033801	0.24054	0.044509	0.18071	0.062372	0.033122	0.036338	0.035013	0.058236	0.039779	0.051921	0.048314	0.040045	0.2555	0.048736	0.043932	0.10183	0.08879	0.068062	0.039216	0.17287	0.1038	0.036345	0.038892	0.033926	0.034945	0.042313	0.03534	0.035685
Meth__cg05429895__TLR4	0.085859	0.92976	0.8525	0.91777	0.23875	0.94487	0.46294	0.81041	0.57857	0.17203	0.79668	0.36166	0.55639	0.1223	0.094574	0.25046	0.096661	0.94337	0.13286	0.07425	0.83904	0.16783	0.90043	0.12244	0.095861	0.3595	0.077899	0.66924	0.096519	0.78151	0.15867	0.10421	0.83125	0.89997
Meth__cg02450959__THAP1	0.035128	0.033163	0.017809	0.025656	0.019935	0.01833	0.032689	0.016655	0.027	0.034662	0.024376	0.026521	0.016491	0.14971	0.017428	0.027789	0.039968	0.035778	0.021966	0.02788	0.020329	0.075742	0.062393	0.056182	0.024899	0.017232	0.023242	0.02127	0.049051	0.020193	0.039444	0.024161	0.021151	0.023163
Meth__cg02764897__KRTAP13-1	0.099792	0.73457	0.069961	0.628	0.87395	0.84432	0.12011	0.56667	0.44359	0.23984	0.57135	0.50193	0.061673	0.19529	0.1469	0.07763	0.14631	0.099328	0.096868	0.15364	0.17239	0.16939	0.15216	0.22203	0.059292	0.28005	0.12338	0.72685	0.093163	0.13952	0.18671	0.087845	0.20924	0.27829
Meth__cg10882227__APLP2	0.11386	0.11003	0.75082	0.18379	0.083016	0.082367	0.14122	0.086329	0.089792	0.21009	0.060347	0.084328	0.17043	0.31595	0.20603	0.28121	0.19887	0.18945	0.24449	0.1247	0.12879	0.13084	0.33695	0.14731	0.10875	0.052542	0.18019	0.090217	0.068086	0.097776	0.10929	0.10084	0.1389	0.15854
Meth__cg18219951__GABRG2	0.060276	0.37071	0.07614	0.11421	0.19981	0.29191	0.084848	0.68721	0.095469	0.17578	0.22915	0.15073	0.098958	0.1468	0.095361	0.071571	0.10273	0.11866	0.10928	0.20169	0.088433	0.089539	0.20181	0.077028	0.057186	0.10966	0.28276	0.28195	0.047553	0.069846	0.090738	0.088407	0.11147	0.097542
Meth__cg08203715__ST3GAL4	0.056112	0.06199	0.048093	0.39879	0.04474	0.052749	0.094065	0.03672	0.34002	0.27314	0.058066	0.093913	0.056122	0.072388	0.039141	0.079431	0.099621	0.19173	0.17514	0.12575	0.079776	0.12789	0.24122	0.072951	0.052321	0.02501	0.20842	0.033657	0.54719	0.035111	0.054175	0.10032	0.074074	0.047157
Meth__cg21663431__SLC44A2	0.059925	0.041279	0.42981	0.048345	0.032787	0.036781	0.066727	0.038905	0.073206	0.065003	0.037683	0.046715	0.044204	0.091943	0.034168	0.050933	0.042485	0.05256	0.67367	0.048284	0.065506	0.11745	0.069419	0.10475	0.22737	0.027849	0.035343	0.041221	0.057255	0.039905	0.18001	0.069947	0.058555	0.078822
Meth__cg12506373__CAD	0.053796	0.047999	0.032399	0.04772	0.036589	0.034795	0.14568	0.090438	0.10261	0.073631	0.054635	0.041142	0.036526	0.067015	0.043329	0.05518	0.055392	0.043144	0.069894	0.054574	0.62477	0.055128	0.074643	0.097434	0.036185	0.037828	0.03727	0.04804	0.0473	0.049075	0.038023	0.044603	0.042862	0.036091
Meth__cg03384938__CXXC4	0.040482	0.047819	0.65643	0.045758	0.030067	0.033544	0.037081	0.050172	0.038148	0.066599	0.039085	0.025134	0.032013	0.064333	0.032625	0.037438	0.045167	0.036295	0.038189	0.026441	0.038223	0.039091	0.071491	0.080058	0.024036	0.027184	0.024996	0.024525	0.025656	0.026971	0.035628	0.037849	0.024776	0.037173
Meth__cg09871043__PKHD1	0.076952	0.10332	0.088207	0.10398	0.25745	0.7	0.082903	0.3022	0.091554	0.125	0.5613	0.22936	0.10187	0.2061	0.062946	0.064624	0.085386	0.46458	0.22628	0.077719	0.075897	0.11888	0.15169	0.13624	0.084275	0.52404	0.072439	0.39321	0.056587	0.1801	0.097401	0.088089	0.12076	0.18092
Meth__cg26381783__ANKRD15	0.16341	0.046106	0.87046	0.072404	0.10366	0.052233	0.04701	0.50836	0.064554	0.095326	0.060064	0.036732	0.16343	0.15581	0.48817	0.44825	0.31383	0.4386	0.21534	0.28023	0.057934	0.37277	0.079035	0.44049	0.041773	0.035719	0.27478	0.40988	0.036615	0.064096	0.073009	0.040296	0.038904	0.051056
Meth__cg11563860__CNTN4	0.057111	0.71136	0.61884	0.8342	0.62559	0.80227	0.07344	0.82098	0.51049	0.17296	0.65361	0.53723	0.35958	0.19589	0.055602	0.1294	0.3207	0.51431	0.29204	0.80234	0.063268	0.16654	0.79616	0.06166	0.075088	0.42325	0.065084	0.066757	0.080107	0.17316	0.25623	0.079894	0.80379	0.65853
Meth__cg05362669__PTPRG	0.43801	0.070796	0.073416	0.073667	0.067425	0.051015	0.067355	0.090241	0.019788	0.84345	0.067863	0.055718	0.073906	0.14014	0.085621	0.064344	0.11594	0.079156	0.078774	0.064133	0.063983	0.0974	0.12981	0.12842	0.059543	0.058416	0.048091	0.057549	0.064011	0.058589	0.057885	0.062994	0.068708	0.069304
Meth__cg20588045__PCDH15	0.073037	0.48757	0.57246	0.30279	0.74906	0.75768	0.098364	0.52268	0.14969	0.43539	0.61718	0.23222	0.1647	0.23302	0.095438	0.10906	0.087918	0.87976	0.10809	0.11643	0.16553	0.20062	0.25297	0.13664	0.10254	0.68032	0.12473	0.74693	0.081538	0.39018	0.38457	0.21544	0.21876	0.22444
Meth__cg10315128__SMAD4	0.035759	0.029896	0.023657	0.027342	0.013674	0.014946	0.021169	0.023991	0.024812	0.044771	0.018506	0.030828	0.023377	0.048919	0.020279	0.02284	0.036964	0.02441	0.026159	0.026518	0.030453	0.047523	0.034462	0.055081	0.02037	0.016735	0.018955	0.020859	0.025551	0.018885	0.070193	0.024909	0.031015	0.032282
Meth__cg05732530__DUSP2	0.27743	0.050073	0.58939	0.037165	0.029875	0.01698	0.035716	0.029074	0.094371	0.71303	0.025687	0.65093	0.021097	0.045956	0.21268	0.57472	0.58622	0.024477	0.22489	0.4521	0.22509	0.044266	0.093569	0.18325	0.032656	0.86347	0.021608	0.035501	0.025534	0.57819	0.05839	0.035471	0.025809	0.038494
Meth__cg09038676__GSTP1	0.92905	0.93821	0.033425	0.93675	0.027828	0.035013	0.38267	0.031564	0.8879	0.85315	0.26543	0.067148	0.03407	0.67467	0.03345	0.95573	0.93295	0.61976	0.052318	0.9525	0.93284	0.10845	0.88543	0.83557	0.032769	0.021812	0.025145	0.026119	0.73975	0.94835	0.5424	0.91433	0.17162	0.11993
