Cell lines	AU565	BT474	BT483	BT549	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	ZR751	ZR75B
Meth__cg24068708__GDPD5	0.10703	0.27711	0.50841	0.46283	0.20359	0.1141	0.068618	0.065962	0.10018	0.15475	0.30169	0.083845	0.060017	0.06889	0.078925	0.11316	0.05405	0.87191	0.78901	0.071554	0.073734	0.092288	0.2879	0.49759	0.099266	0.057728	0.54714	0.10278	0.050651	0.071685	0.10538	0.042804	0.57971	0.070222	0.061649
Meth__cg12800028__GPR6	0.33379	0.099429	0.23092	0.87643	0.49108	0.60491	0.057005	0.37589	0.44546	0.71527	0.71192	0.46573	0.058301	0.054266	0.55452	0.14065	0.097047	0.44391	0.31655	0.70316	0.15356	0.35148	0.76273	0.17056	0.084632	0.43196	0.88054	0.24525	0.37694	0.49893	0.26646	0.072677	0.15993	0.26577	0.18706
Meth__cg06302803__MATR3	0.044747	0.21651	0.046369	0.033425	0.13872	0.025469	0.085139	0.049919	0.042065	0.039434	0.060254	0.044586	0.061166	0.58824	0.040284	0.14151	0.036298	0.038547	0.038726	0.17118	0.066003	0.035362	0.06247	0.57784	0.058733	0.052139	0.11774	0.05144	0.031427	0.041577	0.029253	0.098534	0.039446	0.049283	0.043711
Meth__cg21705120__UBE2G1	0.045035	0.056305	0.068633	0.099214	0.081574	0.05791	0.061012	0.064709	0.055333	0.081567	0.10324	0.025529	0.061441	0.058316	0.39257	0.13794	0.045616	0.060337	0.044222	0.082403	0.052023	0.087646	0.11689	0.064391	0.079691	0.033445	0.18205	0.051254	0.054558	0.04209	0.088036	0.080252	0.047983	0.066829	0.057415
Meth__cg01940974__MTAP	0.034132	0.052351	0.027732	0.040851	0.040308	0.071112	0.032104	0.037441	0.033773	0.038983	0.08593	0.028458	0.038518	0.033904	0.035794	0.070515	0.028239	0.03019	0.046178	0.035437	0.038923	0.029185	0.66779	0.054211	0.054472	0.036833	0.079775	0.035079	0.47129	0.26435	0.8874	0.027118	0.032196	0.034015	0.039464
Meth__cg02017041__SCN1B	0.36499	0.38979	0.16237	0.29522	0.3562	0.54689	0.077586	0.64496	0.20589	0.63898	0.32404	0.17872	0.062468	0.10402	0.12595	0.13903	0.044873	0.21402	0.066177	0.069661	0.17275	0.16898	0.1128	0.33896	0.27579	0.20714	0.84117	0.11201	0.060065	0.53302	0.16935	0.31452	0.82424	0.29476	0.56796
Meth__cg14592099__PCDHB13	0.031692	0.83858	0.024439	0.41555	0.31398	0.8628	0.82236	0.06088	0.52474	0.22947	0.43908	0.71543	0.42554	0.44084	0.094061	0.12519	0.076299	0.053853	0.3699	0.68808	0.76535	0.60188	0.077865	0.45489	0.053525	0.23927	0.3187	0.31929	0.098111	0.33522	0.0875	0.53507	0.10903	0.18653	0.34402
Meth__cg23376526__SLC27A3	0.05058	0.038909	0.098742	0.33827	0.67092	0.067033	0.030781	0.059981	0.040475	0.048248	0.12735	0.033564	0.041749	0.034536	0.049692	0.094871	0.038149	0.028147	0.040238	0.042707	0.50542	0.031158	0.57125	0.044921	0.089237	0.058074	0.076196	0.039694	0.38649	0.032757	0.10093	0.024943	0.073585	0.040417	0.050748
Meth__cg17887537__RRAGA	0.022811	0.058859	0.035381	0.032455	0.054719	0.024438	0.020259	0.027612	0.027676	0.030536	0.06701	0.014465	0.026251	0.023652	0.024762	0.022196	0.023625	0.034982	0.034759	0.030037	0.030667	0.031428	0.066197	0.060907	0.041089	0.036172	0.062375	0.030389	0.031799	0.017282	0.29585	0.039352	0.040149	0.03076	0.034451
Meth__cg25568243__C1orf176	0.038664	0.028266	0.027822	0.024973	0.044785	0.18016	0.024348	0.028134	0.02678	0.032113	0.50241	0.019502	0.033379	0.029329	0.027012	0.07641	0.064941	0.036784	0.032415	0.026886	0.035924	0.060028	0.089014	0.040607	0.107	0.026245	0.099011	0.026685	0.025987	0.027233	0.054883	0.027883	0.024166	0.13141	0.13325
Meth__cg25658980__FLJ20643	0.016244	0.017938	0.019758	0.022783	0.018519	0.029243	0.016449	0.017014	0.015821	0.020728	0.02284	0.015434	0.015278	0.017102	0.97185	0.042571	0.015821	0.018366	0.016133	0.02121	0.025076	0.019131	0.038108	0.021952	0.024783	0.017202	0.022036	0.019851	0.019083	0.023778	0.033273	0.012992	0.014022	0.019924	0.017311
Meth__cg00230502__CCDC60	0.087622	0.49768	0.79667	0.16703	0.20512	0.76953	0.066473	0.063765	0.39227	0.55688	0.29992	0.03357	0.079347	0.096715	0.15764	0.12805	0.050639	0.21177	0.15081	0.75844	0.10199	0.80469	0.26889	0.10966	0.08415	0.084731	0.46346	0.082126	0.078121	0.32898	0.072522	0.2305	0.61563	0.32229	0.69709
Meth__cg00410921__CKMT1B	0.10101	0.87546	0.31869	0.62827	0.51437	0.58514	0.29586	0.65872	0.77707	0.26545	0.72887	0.80315	0.20597	0.84118	0.42691	0.061608	0.049283	0.75865	0.8718	0.46385	0.39861	0.137	0.50721	0.79296	0.24116	0.83132	0.88056	0.78902	0.14437	0.07059	0.058082	0.65013	0.04754	0.093878	0.057959
Meth__cg08654655__IGSF4B	0.025155	0.22785	0.12984	0.53515	0.4222	0.13638	0.23961	0.21764	0.1806	0.40395	0.44619	0.02782	0.23952	0.092237	0.13765	0.060916	0.026871	0.12204	0.1122	0.058995	0.085024	0.55476	0.13776	0.050765	0.11495	0.2828	0.23079	0.036457	0.23017	0.24723	0.03488	0.030435	0.14973	0.20289	0.19258
Meth__cg08911391__DDOST	0.092316	0.42255	0.15068	0.36973	0.39223	0.066552	0.17958	0.10348	0.49392	0.15663	0.18733	0.059827	0.098621	0.082278	0.11021	0.15873	0.18612	0.28227	0.24471	0.12962	0.37657	0.075054	0.43433	0.32176	0.076508	0.61555	0.057098	0.79169	0.059566	0.042245	0.077075	0.2166	0.27018	0.078731	0.062798
Meth__cg06557358__LOC124842	0.035784	0.10074	0.02244	0.94238	0.18273	0.19327	0.028363	0.026057	0.29812	0.075581	0.16955	0.026685	0.047485	0.041673	0.068769	0.15523	0.032737	0.11648	0.054286	0.025894	0.071292	0.026393	0.82416	0.037031	0.054022	0.026073	0.078981	0.059973	0.15934	0.055964	0.12572	0.026846	0.11396	0.030744	0.042363
Meth__cg12280407__KCTD12	0.044218	0.044689	0.030235	0.034864	0.047371	0.12969	0.024415	0.043282	0.054422	0.064408	0.095886	0.030059	0.036873	0.042333	0.042557	0.066431	0.023517	0.051378	0.052098	0.040757	0.042998	0.028679	0.11504	0.068031	0.057077	0.034643	0.10046	0.03762	0.034211	0.0457	0.026034	0.024732	0.07083	0.044483	0.046563
Meth__cg02428100__KEAP1	0.43853	0.1788	0.48965	0.67315	0.095702	0.044469	0.23254	0.42649	0.044638	0.046018	0.88602	0.8882	0.19276	0.97102	0.0439	0.078824	0.119	0.044907	0.043742	0.5206	0.28515	0.046048	0.13193	0.05744	0.10609	0.061397	0.10462	0.54489	0.042573	0.035973	0.04815	0.85925	0.031866	0.056209	0.64758
Meth__cg24833176__PHF20L1	0.031331	0.035579	0.026688	0.032395	0.056841	0.045173	0.029304	0.026917	0.036357	0.071692	0.049044	0.017662	0.033614	0.034558	0.066189	0.054255	0.027257	0.067832	0.063916	0.060381	0.033379	0.039843	0.2914	0.03997	0.051983	0.022681	0.061505	0.045892	0.03019	0.039877	0.12588	0.031142	0.033855	0.051656	0.041531
Meth__cg23114866__NKX2-2	0.012541	0.024109	0.022595	0.47699	0.081687	0.29997	0.026373	0.022028	0.017038	0.3559	0.34875	0.045001	0.025243	0.070123	0.045668	0.04116	0.018042	0.018177	0.026925	0.14143	0.020287	0.32178	0.20726	0.033673	0.026415	0.024047	0.085231	0.22784	0.3116	0.027658	0.06433	0.029385	0.32367	0.029908	0.034285
Meth__cg24240626__REG3A	0.11021	0.6327	0.094627	0.11195	0.17241	0.082653	0.61025	0.15416	0.30719	0.13133	0.1205	0.20923	0.44323	0.12567	0.089424	0.23463	0.15432	0.13777	0.15522	0.13664	0.098721	0.13421	0.17277	0.1312	0.25856	0.092129	0.16123	0.1328	0.097488	0.087773	0.12921	0.62382	0.094775	0.11816	0.14025
Meth__cg26702254__KCND2	0.040306	0.050663	0.038274	0.12732	0.11928	0.70078	0.042134	0.062133	0.071694	0.31949	0.13171	0.032707	0.09052	0.056328	0.10403	0.10113	0.037865	0.05943	0.087997	0.05392	0.052024	0.044346	0.38315	0.06542	0.088767	0.042879	0.069899	0.11266	0.059668	0.039231	0.07319	0.046278	0.52019	0.053417	0.060935
Meth__cg02477931__C11orf39	0.15943	0.13895	0.063608	0.31335	0.49433	0.61446	0.054242	0.10923	0.54276	0.49468	0.40102	0.063204	0.073703	0.45545	0.75866	0.18247	0.10205	0.42408	0.31083	0.14232	0.10133	0.25736	0.21763	0.11198	0.16191	0.23465	0.37425	0.064216	0.14566	0.054311	0.070357	0.092428	0.52027	0.31097	0.47541
Meth__cg27657283__LEPRE1	0.063036	0.090968	0.072172	0.041649	0.13667	0.62597	0.042883	0.046107	0.06556	0.091477	0.20373	0.041906	0.040656	0.071195	0.096496	0.069792	0.064946	0.070391	0.075571	0.10188	0.082629	0.087151	0.15846	0.096449	0.19927	0.049642	0.098442	0.050571	0.03837	0.075213	0.10654	0.072977	0.064626	0.10607	0.087833
Meth__cg13479669__CDKN2A	0.041134	0.065603	0.053253	0.044012	0.080865	0.036349	0.037882	0.050121	0.04532	0.06756	0.095643	0.039303	0.058052	0.039491	0.5073	0.07562	0.047699	0.066633	0.076602	0.038065	0.043379	0.056169	0.44347	0.056698	0.071708	0.047497	0.21779	0.0576	0.44527	0.20334	0.90293	0.047138	0.035851	0.048205	0.036115
Meth__cg07311845__TMLHE	0.31204	0.2329	0.18401	0.050605	0.2754	0.38515	0.1223	0.074254	0.1299	0.1907	0.12463	0.12909	0.15699	0.10601	0.19568	0.16114	0.15725	0.10374	0.077408	0.56592	0.052756	0.4855	0.37351	0.21777	0.16866	0.060867	0.30023	0.084906	0.10181	0.065377	0.096784	0.21024	0.47885	0.60091	0.48397
Meth__cg26365553__MADD	0.066792	0.50434	0.083533	0.037782	0.035268	0.029446	0.094759	0.90327	0.11337	0.15923	0.3408	0.087536	0.094568	0.3126	0.80476	0.13608	0.090495	0.10649	0.16026	0.049013	0.077402	0.025167	0.05479	0.039553	0.12149	0.58262	0.077559	0.13004	0.030013	0.05951	0.19867	0.035007	0.037475	0.046528	0.10216
Meth__cg18552413__DARC	0.025968	0.18826	0.075529	0.1914	0.035518	0.047051	0.19746	0.036696	0.071566	0.22553	0.56608	0.019753	0.14085	0.12059	0.055925	0.03531	0.020933	0.18371	0.11811	0.026014	0.040045	0.17297	0.1319	0.044091	0.040609	0.094334	0.079894	0.029166	0.023939	0.54605	0.61807	0.016684	0.030888	0.13601	0.25059
Meth__cg20203395__MGC33648	0.8173	0.74611	0.083219	0.94487	0.40057	0.16348	0.94786	0.10516	0.093608	0.3571	0.89998	0.12738	0.84761	0.16156	0.062059	0.15722	0.10113	0.16709	0.10312	0.095903	0.07848	0.27674	0.59332	0.75326	0.18916	0.093628	0.29532	0.13186	0.093226	0.11553	0.09405	0.093549	0.12276	0.16814	0.28271
Meth__cg01685739__SLC4A2	0.023346	0.026664	0.032092	0.051094	0.14362	0.039393	0.030668	0.038082	0.043142	0.18851	0.075173	0.014627	0.04006	0.025311	0.033034	0.039752	0.020937	0.031713	0.037683	0.031065	0.041146	0.022005	0.059942	0.044519	0.11307	0.035135	0.060274	0.030874	0.019224	0.032974	0.041382	0.0419	0.049085	0.0393	0.030589
Meth__cg10368842__C10orf81	0.074196	0.41947	0.72482	0.17317	0.21061	0.067547	0.26772	0.6454	0.10997	0.82713	0.13807	0.51517	0.2853	0.55218	0.46544	0.20335	0.077989	0.37712	0.58684	0.84941	0.21809	0.049479	0.33891	0.17911	0.059146	0.49286	0.42421	0.20014	0.088451	0.12095	0.10295	0.36277	0.30658	0.058176	0.33184
Meth__cg08433538__RALGPS1	0.23773	0.4369	0.10395	0.26388	0.32278	0.069998	0.057867	0.081662	0.34167	0.54302	0.59063	0.082839	0.060864	0.11063	0.25193	0.12325	0.055704	0.33082	0.079427	0.1691	0.082172	0.095218	0.50371	0.31297	0.14275	0.092636	0.1186	0.1128	0.11001	0.092352	0.44863	0.45879	0.32237	0.26739	0.37394
Meth__cg10878998__CYB5A	0.01563	0.047892	0.020655	0.046271	0.094945	0.071782	0.048379	0.074559	0.081347	0.22247	0.16319	0.059311	0.044415	0.080036	0.56404	0.13058	0.01289	0.039948	0.038046	0.09859	0.24642	0.01599	0.039758	0.037588	0.043598	0.090878	0.062642	0.10493	0.052544	0.032525	0.027757	0.092914	0.032309	0.045102	0.045148
Meth__cg16620731__ZNF583	0.072152	0.16687	0.067087	0.095243	0.1408	0.38239	0.095979	0.065614	0.12498	0.089697	0.30719	0.056099	0.17063	0.11701	0.06875	0.10747	0.069106	0.2211	0.23542	0.079488	0.064447	0.050512	0.32368	0.10671	0.14423	0.074084	0.48087	0.086349	0.069289	0.44553	0.089796	0.047564	0.13216	0.41024	0.10471
Meth__cg02569613__C10orf72	0.067827	0.69045	0.21241	0.95117	0.91074	0.73642	0.036493	0.086289	0.065281	0.68907	0.81834	0.52384	0.049936	0.26976	0.083965	0.092659	0.038055	0.9626	0.96382	0.58373	0.066759	0.9681	0.89419	0.59652	0.073798	0.15205	0.93772	0.68037	0.05908	0.6102	0.63618	0.29048	0.95015	0.28293	0.71957
Meth__cg11021744__SLC6A1	0.067222	0.42081	0.064779	0.59549	0.23199	0.64898	0.074946	0.10163	0.078716	0.15673	0.88423	0.4003	0.11372	0.071352	0.060705	0.16127	0.36633	0.92846	0.91598	0.27923	0.058191	0.10297	0.74586	0.10863	0.55556	0.056321	0.80153	0.10665	0.16129	0.24661	0.39798	0.068331	0.78724	0.62155	0.57498
Meth__cg07744166__WASF3	0.045539	0.069836	0.053429	0.051113	0.1132	0.045806	0.2435	0.056773	0.060885	0.085203	0.25342	0.76057	0.22934	0.14754	0.050414	0.090283	0.41003	0.056267	0.05016	0.26793	0.065605	0.04082	0.22242	0.046917	0.50202	0.047806	0.071716	0.088663	0.043733	0.039741	0.058935	0.066162	0.098823	0.052172	0.05004
Meth__cg25026754__PDCD7	0.013965	0.020031	0.019284	0.014647	0.02971	0.024172	0.01423	0.015008	0.015489	0.04258	0.030036	0.01493	0.018235	0.012272	0.010201	0.045185	0.014291	0.015108	0.01568	0.017099	0.024003	0.019472	0.027182	0.023812	0.048406	0.013712	0.035336	0.015579	0.019379	0.017171	0.019767	0.010518	0.010211	0.021066	0.48369
Meth__cg02511532__TAF2	0.024229	0.033411	0.028237	0.038557	0.080024	0.031137	0.04044	0.035187	0.031711	0.045567	0.083968	0.025279	0.038821	0.043214	0.034738	0.040799	0.02597	0.032076	0.035323	0.033428	0.032278	0.034876	0.089265	0.036521	0.066634	0.029613	0.08616	0.041611	0.033126	0.032135	0.079112	0.025444	0.043374	0.0448	0.035561
Meth__cg09998519__HNRPU	0.031487	0.022342	0.017869	0.02506	0.061928	0.032188	0.020963	0.063202	0.023393	0.035983	0.065101	0.01635	0.022987	0.025675	0.019909	0.030875	0.021601	0.029562	0.031964	0.061049	0.02326	0.051119	0.065811	0.074779	0.039852	0.024482	0.16813	0.038043	0.031163	0.021243	0.17043	0.018053	0.026991	0.05889	0.059298
Meth__cg02729303__FLJ20152	0.063059	0.34097	0.67656	0.31001	0.56395	0.54516	0.14452	0.06931	0.59652	0.10638	0.1984	0.13492	0.13554	0.16314	0.61676	0.16951	0.06114	0.70507	0.51508	0.37374	0.56902	0.7567	0.55646	0.12383	0.12388	0.10118	0.18406	0.077739	0.78171	0.11952	0.28788	0.067291	0.2461	0.38906	0.40982
Meth__cg21449843__MANBAL	0.012847	0.09375	0.024229	0.017744	0.078064	0.01641	0.034537	0.033322	0.014601	0.02083	0.43082	0.077562	0.034176	0.040071	0.017441	0.10748	0.28321	0.032449	0.039516	0.030992	0.051208	0.034418	0.06508	0.028254	0.035528	0.054378	0.056682	0.033608	0.023313	0.032905	0.039855	0.083916	0.037196	0.032644	0.036923
Meth__cg18440048__ZNF70	0.10368	0.61933	0.51992	0.26813	0.12069	0.05119	0.20076	0.34421	0.10454	0.12711	0.19761	0.9214	0.15679	0.1113	0.2259	0.11583	0.3606	0.054847	0.080605	0.25344	0.30056	0.11965	0.1684	0.62182	0.069584	0.073152	0.11203	0.17092	0.054975	0.068174	0.074399	0.775	0.36607	0.065231	0.06397
Meth__cg02400248__CDKN2B	0.01146	0.022334	0.011184	0.012474	0.034501	0.011013	0.0090408	0.011547	0.011592	0.0081735	0.031272	0.015053	0.012974	0.010626	0.41568	0.014189	0.0084045	0.026125	0.02294	0.012633	0.014947	0.011359	0.51327	0.020521	0.031721	0.015487	0.030163	0.012459	0.41629	0.10312	0.01576	0.012133	0.011314	0.014866	0.016543
Meth__cg14133708__EMILIN2	0.090989	0.20029	0.38035	0.70957	0.15018	0.82302	0.090567	0.11249	0.44332	0.059964	0.55	0.15352	0.099538	0.083826	0.071682	0.15545	0.075346	0.24366	0.18811	0.15982	0.099448	0.1623	0.84366	0.44823	0.2038	0.11317	0.83233	0.081828	0.080328	0.11589	0.097613	0.10039	0.87598	0.26259	0.3166
Meth__cg03440846__ACSS2	0.03975	0.79236	0.11188	0.55104	0.21512	0.58245	0.092146	0.20177	0.56727	0.44609	0.082797	0.085854	0.11546	0.06733	0.18194	0.14317	0.039103	0.15484	0.17007	0.85658	0.49577	0.44832	0.12271	0.080186	0.13195	0.27798	0.058118	0.31838	0.034127	0.084981	0.051026	0.7005	0.093968	0.064725	0.041809
Meth__cg17272491__GOLGA3	0.044157	0.048372	0.036037	0.24119	0.11492	0.072975	0.038726	0.037808	0.03749	0.062243	0.12204	0.029584	0.047887	0.043992	0.058011	0.07613	0.026033	0.033494	0.040271	0.081658	0.043743	0.053162	0.096435	0.048096	0.076754	0.03236	0.071243	0.050712	0.034355	0.034492	0.050994	0.038382	0.034024	0.044398	0.063747
Meth__cg21484834__PTK6	0.033943	0.38639	0.36318	0.9511	0.94638	0.47321	0.89471	0.081672	0.92494	0.452	0.56269	0.95006	0.58594	0.76444	0.94351	0.21032	0.82393	0.098506	0.68336	0.77305	0.93003	0.049562	0.099939	0.59623	0.077905	0.077505	0.45174	0.91729	0.66259	0.04365	0.90691	0.76031	0.037512	0.036147	0.037907
Meth__cg01200177__POLR2D	0.050806	0.079664	0.043129	0.27813	0.3754	0.048329	0.096625	0.0442	0.044153	0.24122	0.16511	0.038928	0.10032	0.19468	0.043278	0.096944	0.039129	0.049445	0.044259	0.094958	0.048878	0.090069	0.55282	0.26014	0.10013	0.041376	0.081054	0.076545	0.046471	0.4751	0.71277	0.29053	0.040626	0.10102	0.21495
Meth__cg24371157__PDCD4	0.036518	0.043776	0.034335	0.048147	0.027611	0.036602	0.057385	0.062081	0.049714	0.054293	0.4906	0.12486	0.07121	0.048697	0.15137	0.06501	0.035686	0.039228	0.045381	0.22202	0.039812	0.058642	0.068499	0.04663	0.04699	0.051044	0.051958	0.099681	0.025666	0.028157	0.043668	0.1997	0.040118	0.032428	0.035241
Meth__cg13797282__CARD10	0.2719	0.19278	0.059984	0.08425	0.19547	0.2263	0.4958	0.075215	0.079555	0.12621	0.082285	0.37054	0.45465	0.087782	0.13445	0.074271	0.056263	0.069648	0.17905	0.057721	0.073544	0.5092	0.10685	0.30859	0.078433	0.29359	0.67464	0.05623	0.88728	0.057904	0.84594	0.040549	0.4542	0.12356	0.06896
Meth__cg16584573__FGF8	0.047111	0.18883	0.049814	0.60628	0.35597	0.16078	0.030946	0.025908	0.94805	0.082023	0.97159	0.10832	0.52949	0.093088	0.056905	0.07605	0.059033	0.69808	0.063381	0.035684	0.036517	0.70025	0.94865	0.052444	0.079937	0.049642	0.97148	0.3448	0.027008	0.033912	0.55626	0.036528	0.81424	0.052026	0.18331
Meth__cg20051033__CPNE9	0.066355	0.056879	0.25858	0.7253	0.58839	0.76587	0.039211	0.11151	0.93854	0.13772	0.94283	0.044979	0.043277	0.040795	0.47813	0.11435	0.52874	0.8886	0.50352	0.55798	0.084307	0.43412	0.88889	0.89386	0.085759	0.033889	0.93357	0.084791	0.035321	0.054887	0.11286	0.68064	0.92847	0.9345	0.93881
Meth__cg13975625__NPY5R	0.036004	0.66024	0.047996	0.32218	0.11241	0.95291	0.54464	0.92799	0.61199	0.13101	0.56115	0.12882	0.46513	0.79759	0.065813	0.16731	0.46816	0.18483	0.78711	0.38129	0.66785	0.35775	0.6835	0.90969	0.051885	0.76646	0.6772	0.09349	0.052005	0.30489	0.074658	0.91469	0.25839	0.71868	0.67001
Meth__cg15898840__IGFBP3	0.03062	0.038406	0.020063	0.026767	0.13902	0.032258	0.019318	0.067939	0.85913	0.058974	0.058712	0.72887	0.02423	0.026125	0.038422	0.043459	0.015511	0.90299	0.71196	0.022423	0.019447	0.14952	0.057064	0.88567	0.082194	0.026233	0.80228	0.028154	0.030117	0.036687	0.8161	0.025539	0.75182	0.042242	0.032715
Meth__cg15427567__FLJ20859	0.017064	0.49084	0.021546	0.019598	0.016949	0.012447	0.023595	0.02238	0.61062	0.032383	0.030367	0.089175	0.028407	0.021219	0.026801	0.054978	0.022723	0.018174	0.020274	0.02181	0.029265	0.014704	0.043367	0.021382	0.056636	0.018118	0.028067	0.026129	0.020379	0.020295	0.024182	0.064864	0.017067	0.023356	0.018826
Meth__cg21453309__FAM101A	0.060378	0.30996	0.038409	0.96534	0.92355	0.97152	0.018628	0.027403	0.027897	0.96664	0.96352	0.028903	0.14106	0.73371	0.13855	0.26454	0.017103	0.65472	0.054785	0.52428	0.045945	0.1864	0.89497	0.36949	0.16631	0.9727	0.038227	0.36799	0.45693	0.78679	0.92953	0.40562	0.96192	0.077465	0.058895
Meth__cg25847835__FBXO38	0.052692	0.91331	0.044931	0.057683	0.055792	0.04434	0.055604	0.063148	0.059989	0.051917	0.094618	0.044909	0.064871	0.066255	0.045704	0.099148	0.051756	0.056454	0.053884	0.40086	0.05351	0.05316	0.10307	0.057784	0.073807	0.064891	0.077419	0.066134	0.050801	0.048539	0.052035	0.063339	0.04868	0.051046	0.048072
Meth__cg08413469__DEPDC1	0.034526	0.048902	0.09574	0.039592	0.040788	0.33503	0.036583	0.044481	0.044743	0.050448	0.11153	0.031736	0.037922	0.04152	0.046236	0.058225	0.041636	0.046781	0.039668	0.031044	0.036562	0.044141	0.077649	0.053945	0.093881	0.03801	0.067726	0.039097	0.029648	0.034646	0.036604	0.052399	0.051081	0.048298	0.060747
Meth__cg18427589__MGC13024	0.017834	0.52337	0.028034	0.020582	0.056906	0.021381	0.037357	0.24657	0.038732	0.049195	0.13811	0.018819	0.03556	0.31623	0.035685	0.10159	0.044172	0.01791	0.042224	0.032876	0.038178	0.029532	0.06359	0.053846	0.03426	0.027288	0.083114	0.051803	0.019191	0.026108	0.027867	0.049095	0.028549	0.026879	0.046774
Meth__cg07115304__TRIB3	0.044331	0.071881	0.037305	0.039222	0.056988	0.053401	0.042566	0.061877	0.05984	0.049525	0.06835	0.029412	0.045974	0.051764	0.040158	0.10701	0.037575	0.036128	0.063253	0.050932	0.064913	0.0258	0.11974	0.046657	0.058049	0.045491	0.087085	0.053439	0.03746	0.038594	0.034928	0.37691	0.033428	0.045864	0.049941
Meth__cg10520594__NT5C	0.20852	0.038953	0.026519	0.027858	0.048193	0.021068	0.03218	0.093892	0.029117	0.13807	0.072405	0.091643	0.033783	0.075245	0.020604	0.053966	0.030775	0.021273	0.043383	0.031618	0.038283	0.038455	0.11506	0.024666	0.060069	0.042748	0.048565	0.049714	0.025969	0.026934	0.031657	0.058651	0.022505	0.024658	0.022693
Meth__cg15014549__FLJ10847	0.063515	0.32742	0.11722	0.47659	0.30572	0.39344	0.086354	0.083011	0.1699	0.18984	0.48897	0.057957	0.24557	0.25592	0.085149	0.16582	0.061444	0.40936	0.18691	0.23823	0.12257	0.79597	0.31784	0.16707	0.068729	0.074419	0.66768	0.16097	0.054295	0.053623	0.10926	0.075613	0.58948	0.29251	0.4489
Meth__cg06048156__ITGB3	0.077247	0.052252	0.040181	0.043626	0.069995	0.063778	0.044474	0.036365	0.054858	0.083131	0.10401	0.037463	0.045009	0.040261	0.043169	0.098183	0.12554	0.64073	0.58413	0.037911	0.058672	0.054965	0.58089	0.049134	0.083581	0.049886	0.81678	0.058818	0.050015	0.36238	0.032029	0.040771	0.88857	0.14872	0.51607
Meth__cg08383315__RIC3	0.039041	0.95161	0.16179	0.8059	0.21496	0.43759	0.030549	0.047804	0.034123	0.81702	0.81239	0.043831	0.27843	0.74208	0.045787	0.13296	0.028809	0.83028	0.62301	0.042528	0.075749	0.48597	0.86867	0.35634	0.1071	0.23179	0.81218	0.05422	0.5482	0.04136	0.23557	0.78731	0.30708	0.47624	0.46944
Meth__cg24396745__HCN4	0.035926	0.18448	0.028467	0.96601	0.12176	0.98885	0.049736	0.053143	0.89785	0.50729	0.66431	0.030568	0.050462	0.083724	0.043302	0.15233	0.090567	0.91319	0.60695	0.03565	0.049705	0.13252	0.9423	0.060245	0.29847	0.047668	0.96195	0.33142	0.12242	0.050584	0.41021	0.024052	0.75572	0.28305	0.072711
Meth__cg25906419__BACE2	0.031547	0.036622	0.036197	0.53888	0.063226	0.043487	0.039623	0.033078	0.034992	0.047164	0.50756	0.024779	0.040947	0.03889	0.04024	0.060655	0.026509	0.02406	0.042121	0.038331	0.044168	0.026359	0.06913	0.043155	0.11836	0.040566	0.23982	0.036102	0.041644	0.028377	0.077598	0.020528	0.022794	0.042497	0.04089
Meth__cg03147990__ZNF585B	0.074793	0.38054	0.055071	0.10453	0.34728	0.82407	0.084758	0.048357	0.16725	0.14139	0.1246	0.04579	0.083291	0.068966	0.060672	0.10457	0.078785	0.12454	0.11782	0.073355	0.055209	0.071983	0.18967	0.08129	0.11826	0.075975	0.1184	0.11642	0.087707	0.097651	0.10745	0.10873	0.18776	0.20819	0.12724
Meth__cg10624583__TENC1	0.052323	0.036212	0.032238	0.23964	0.037346	0.056945	0.023617	0.02544	0.024473	0.019355	0.16342	0.022287	0.029393	0.028631	0.020555	0.081311	0.017671	0.10009	0.025909	0.080229	0.036968	0.027788	0.065793	0.037014	0.03733	0.030852	0.044413	0.030648	0.030503	0.025857	0.15872	0.025486	0.03269	0.033613	0.023712
Meth__cg17769238__H19	0.056374	0.058196	0.56026	0.68583	0.49863	0.0857	0.044526	0.056429	0.2829	0.91749	0.08813	0.042394	0.05686	0.048337	0.062036	0.080226	0.061436	0.045616	0.65488	0.2905	0.056617	0.3676	0.65721	0.064009	0.10131	0.052291	0.10529	0.060003	0.04748	0.12101	0.068767	0.10757	0.52315	0.077552	0.092923
Meth__cg07882831__TTYH2	0.026096	0.12211	0.036396	0.66423	0.7228	0.050552	0.028959	0.030416	0.031516	0.03598	0.6953	0.018116	0.041816	0.027276	0.049629	0.057893	0.02356	0.083454	0.18688	0.08185	0.53406	0.028421	0.40207	0.1498	0.08042	0.028251	0.55416	0.098497	0.17214	0.032563	0.046167	0.034288	0.32236	0.072452	0.037708
Meth__cg19133618__CDKN2B	0.037769	0.079249	0.050958	0.030185	0.037322	0.048014	0.03304	0.040185	0.038788	0.048921	0.087	0.029971	0.040392	0.028101	0.51465	0.060773	0.034733	0.04375	0.077332	0.037296	0.034663	0.026436	0.53905	0.051869	0.054351	0.030263	0.081107	0.044123	0.49796	0.33184	0.3428	0.037464	0.03599	0.033323	0.028892
