Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg12259537__ZNF606	0.5003	0.073765	0.83256	0.17523	0.068328	0.59402	0.74331	0.63241	0.68729	0.077964	0.865	0.095849	0.70242	0.23566	0.066742	0.12185	0.27464	0.93233	0.47073	0.073814	0.14012	0.89627	0.83323	0.12889	0.10738	0.83012	0.16504	0.097261	0.1165	0.55805	0.43048	0.06325	0.7231	0.18619	0.47399	0.71977	0.87763
Meth__cg20357628__PHACTR3	0.9349	0.058864	0.97001	0.50054	0.15719	0.95907	0.87801	0.90163	0.10616	0.25535	0.84338	0.31704	0.3417	0.26647	0.13507	0.13214	0.099705	0.96877	0.92536	0.86668	0.28655	0.79684	0.92704	0.56329	0.32814	0.9187	0.14264	0.063981	0.042294	0.083001	0.10396	0.14198	0.75052	0.16696	0.17618	0.19773	0.10794
U133A__IFITM1	6.0202	7.3698	7.925	5.9207	10.1234	6.6332	6.0409	10.8542	10.2787	6.1104	10.3313	10.3541	7.8151	8.0199	7.7981	11.3709	6.0413	5.96	7.7452	8.1858	9.4386	7.698	6.0128	6.0778	7.4828	6.0272	6.6383	7.5469	8.3183	8.5658	6.1808	9.3616	5.9528	6.3759	6.0132	6.1838	5.981
Meth__cg24270244__RBM7	0.68284	0.02691	0.043237	0.033888	0.025305	0.0252	0.048045	0.019289	0.021215	0.035069	0.037922	0.023133	0.02464	0.042375	0.025416	0.049439	0.025329	0.032663	0.034099	0.37122	0.033256	0.025622	0.15243	0.038172	0.059673	0.048932	0.043893	0.026421	0.023161	0.031323	0.024114	0.020448	0.028069	0.048953	0.037487	0.037669	0.029916
Meth__cg16580737__MME	0.062876	0.056435	0.92718	0.046914	0.044747	0.075803	0.94741	0.042135	0.07791	0.051231	0.055253	0.035813	0.061312	0.05776	0.039454	0.083654	0.055859	0.95476	0.95532	0.78972	0.082003	0.42227	0.93239	0.84918	0.11961	0.88218	0.1392	0.045568	0.039729	0.038311	0.59763	0.76864	0.95178	0.82761	0.94433	0.70204	0.81171
Meth__cg11648289__EN2	0.41535	0.024196	0.036987	0.051048	0.026702	0.95345	0.87022	0.61295	0.31293	0.029082	0.33257	0.052022	0.19343	0.035601	0.023332	0.057983	0.06395	0.21821	0.22088	0.52354	0.047189	0.97046	0.70672	0.86705	0.053271	0.90459	0.060351	0.026564	0.022548	0.043228	0.027326	0.025365	0.36756	0.73945	0.94159	0.071676	0.14375
Meth__cg24975564__PDE3A	0.049653	0.047098	0.8517	0.049129	0.040347	0.04009	0.82382	0.033287	0.030136	0.064955	0.075002	0.35879	0.1605	0.037722	0.030491	0.095158	0.028046	0.85913	0.56107	0.090856	0.051395	0.041439	0.58904	0.37672	0.067089	0.84514	0.078965	0.033433	0.025615	0.14836	0.04597	0.038456	0.80144	0.41099	0.20232	0.29087	0.061705
Meth__cg09088508__RHOF	0.042013	0.037593	0.046926	0.60343	0.060755	0.91589	0.25242	0.38124	0.035414	0.051848	0.034004	0.53088	0.044044	0.24163	0.090845	0.55854	0.66231	0.034272	0.050087	0.038892	0.89915	0.046532	0.07243	0.25254	0.073053	0.13503	0.11409	0.10955	0.051481	0.22781	0.30832	0.087553	0.43295	0.061865	0.034716	0.23315	0.03586
Meth__cg03556497__SLC32A1	0.208	0.081666	0.6296	0.18796	0.12842	0.49228	0.29291	0.55419	0.082155	0.11509	0.5878	0.33999	0.091718	0.061853	0.11441	0.18032	0.071168	0.33421	0.56274	0.24161	0.074491	0.6181	0.52797	0.18207	0.11685	0.63514	0.11413	0.062246	0.071815	0.07529	0.072023	0.078942	0.42785	0.16349	0.17826	0.27274	0.16116
Meth__cg01119135__C1orf116	0.036851	0.042178	0.94164	0.037065	0.17365	0.37302	0.047518	0.044939	0.050966	0.068522	0.75932	0.032906	0.054218	0.14737	0.64068	0.047992	0.20286	0.27997	0.17358	0.7835	0.088714	0.10491	0.86302	0.36442	0.056635	0.20802	0.096646	0.044097	0.037459	0.38237	0.15952	0.036644	0.057437	0.16414	0.04729	0.14094	0.13371
U133A__GPRC5C	7.4235	6.1309	5.8727	6.7046	6.796	5.3902	6.9703	5.6507	5.5117	6.314	5.8513	5.7202	6.4456	5.8599	6.2879	5.6807	6.194	6.4966	6.7739	7.9681	9.0957	7.5182	5.7214	8.3154	6.1173	7.1564	6.0889	5.7109	5.5935	5.16	6.7736	6.437	6.2738	7.4572	7.4876	7.2886	6.3964
Meth__cg03289872__ZNF667	0.94389	0.041867	0.02803	0.90315	0.027271	0.016565	0.92709	0.49939	0.021979	0.92602	0.048038	0.076653	0.20341	0.053988	0.020615	0.14214	0.13388	0.73242	0.90972	0.47119	0.019784	0.023711	0.83436	0.24297	0.088418	0.70931	0.31653	0.026463	0.4036	0.42331	0.36915	0.13109	0.66551	0.066995	0.88613	0.84158	0.62071
Meth__cg04072323__SKIP	0.88689	0.028335	0.91524	0.91358	0.32068	0.90501	0.89998	0.62355	0.066119	0.060612	0.90847	0.14957	0.13411	0.87837	0.15339	0.094747	0.11595	0.70091	0.66166	0.57377	0.042592	0.89506	0.85324	0.57021	0.12044	0.83308	0.12888	0.059529	0.084511	0.092319	0.23877	0.048071	0.80104	0.10335	0.51918	0.86247	0.81265
Meth__cg18015044__ABCF1	0.079583	0.053361	0.075183	0.066497	0.050062	0.058648	0.070595	0.079849	0.056512	0.076843	0.088714	0.037818	0.060002	0.070274	0.055097	0.10757	0.061617	0.07104	0.071149	0.064537	0.064045	0.053844	0.15042	0.075157	0.12417	0.137	0.16504	0.049354	0.048061	0.069408	0.066643	0.055359	0.051141	0.16685	0.086316	0.09411	0.09965
Meth__cg25853078__OPCML	0.17966	0.064238	0.60473	0.33795	0.064953	0.33362	0.65869	0.85871	0.055807	0.10961	0.74045	0.21309	0.14653	0.086981	0.27013	0.22229	0.15928	0.45661	0.18863	0.80299	0.14083	0.81731	0.47337	0.4804	0.096709	0.45134	0.053129	0.13364	0.24738	0.15101	0.070885	0.12958	0.79136	0.19877	0.54951	0.43726	0.64338
Meth__cg12251804__C10orf125	0.18873	0.1157	0.22523	0.94631	0.32377	0.040166	0.92978	0.095258	0.053538	0.73198	0.055991	0.22647	0.073784	0.040043	0.53192	0.099178	0.18101	0.53789	0.70543	0.041072	0.12069	0.39248	0.94554	0.93336	0.58733	0.61241	0.047053	0.061282	0.091238	0.041114	0.028156	0.11053	0.03882	0.73466	0.55671	0.6878	0.96891
Meth__cg20239740__SYT5	0.2466	0.032104	0.033829	0.78203	0.16466	0.026508	0.95653	0.039291	0.059895	0.024502	0.51797	0.9186	0.13686	0.042828	0.7758	0.033548	0.66167	0.64625	0.74034	0.032695	0.023881	0.027047	0.94295	0.95488	0.22376	0.94384	0.077487	0.027345	0.52082	0.033427	0.024182	0.022041	0.026258	0.064427	0.95497	0.035885	0.039519
Meth__cg08504049__ZNF264	0.094102	0.094408	0.099694	0.075094	0.077782	0.083452	0.10552	0.12691	0.076468	0.076898	0.092905	0.082726	0.078495	0.080793	0.089184	0.13661	0.075753	0.56598	0.62912	0.101	0.10095	0.10125	0.11111	0.083525	0.083181	0.11247	0.25006	0.084241	0.081476	0.064643	0.062495	0.055208	0.067599	0.11952	0.089971	0.083405	0.11409
U133A__CALD1	4.2559	5.8786	8.3527	3.9365	4.9682	7.9225	3.6763	6.2884	9.1905	3.4181	8.0223	7.1754	5.5558	9.2409	8.6378	8.8403	9.3954	3.6019	3.9175	4.3435	7.5768	4.9728	7.2995	5.0421	4.1759	3.5041	4.7812	7.3616	7.3157	7.8436	7.7707	8.0238	6.7517	4.3805	4.0465	4.0081	3.6434
Meth__cg21163415__EDN3	0.51161	0.045804	0.90797	0.88676	0.055788	0.67256	0.6424	0.94707	0.065675	0.49998	0.84928	0.50966	0.15959	0.07528	0.14642	0.13767	0.037343	0.8216	0.90473	0.21444	0.33803	0.7904	0.57342	0.26131	0.075596	0.81578	0.077409	0.040342	0.061065	0.12322	0.045767	0.065555	0.75402	0.07302	0.88706	0.42842	0.18792
Meth__cg15839448__SFRP1	0.93665	0.040289	0.50895	0.95046	0.82839	0.48204	0.88949	0.069652	0.35486	0.41397	0.039626	0.023471	0.35347	0.03766	0.068033	0.094424	0.15602	0.92556	0.86369	0.82738	0.042198	0.94446	0.92812	0.81265	0.1345	0.88663	0.18841	0.74017	0.029358	0.56523	0.076396	0.036109	0.9355	0.53521	0.93675	0.69931	0.69443
Meth__cg10098888__IRS1	0.020772	0.022124	0.9541	0.72179	0.020586	0.95339	0.17659	0.69546	0.9334	0.019234	0.63075	0.90594	0.87473	0.90383	0.37943	0.63659	0.94905	0.018993	0.029943	0.023072	0.96015	0.021985	0.031584	0.031961	0.036965	0.050281	0.039945	0.11373	0.95957	0.95856	0.021879	0.21285	0.91119	0.13336	0.036661	0.080663	0.025599
Meth__cg14614901__LOC401498	0.065025	0.059849	0.87341	0.81894	0.033883	0.52639	0.84667	0.54203	0.037385	0.049552	0.65292	0.068404	0.1347	0.23992	0.05801	0.11526	0.032087	0.82478	0.49235	0.18165	0.058238	0.87462	0.80713	0.41883	0.11741	0.77728	0.10234	0.050127	0.042705	0.090584	0.35064	0.044638	0.3153	0.054038	0.37513	0.49081	0.55243
Meth__cg23472215__GSTM3	0.64754	0.56457	0.98522	0.055776	0.14641	0.025161	0.6968	0.038587	0.036474	0.030071	0.034445	0.040584	0.048955	0.031129	0.026909	0.10024	0.044006	0.56795	0.29839	0.61805	0.029364	0.032767	0.54706	0.64027	0.058351	0.93623	0.04221	0.03064	0.02969	0.1299	0.027068	0.032511	0.57497	0.055297	0.037295	0.66593	0.6511
Meth__cg12686016__HOXA1	0.80485	0.032237	0.9607	0.93569	0.56931	0.61786	0.83291	0.18759	0.45043	0.32925	0.88937	0.14797	0.54258	0.06247	0.039137	0.46766	0.065561	0.62692	0.66958	0.7481	0.064754	0.96252	0.87415	0.5504	0.23071	0.82584	0.1316	0.04222	0.074513	0.058564	0.82228	0.19338	0.96006	0.39519	0.74449	0.58111	0.7181
Meth__cg22646710__SYT6	0.35685	0.025895	0.93872	0.2348	0.086194	0.722	0.4456	0.62091	0.16279	0.0487	0.89584	0.43409	0.13374	0.26948	0.028066	0.027169	0.016965	0.51917	0.51611	0.41293	0.29071	0.65065	0.33453	0.83311	0.06524	0.71496	0.036982	0.025341	0.02568	0.022342	0.033202	0.024602	0.32982	0.49432	0.4041	0.72412	0.44877
Meth__cg03522063__EMX2	0.54447	0.064638	0.080529	0.26854	0.13603	0.57436	0.78243	0.80786	0.072793	0.76457	0.54108	0.88006	0.17301	0.14053	0.082627	0.17218	0.22876	0.76254	0.77701	0.72829	0.074129	0.62998	0.52252	0.79213	0.12959	0.69263	0.1192	0.061477	0.090794	0.57327	0.063179	0.052478	0.54651	0.29668	0.87997	0.55597	0.51921
Meth__cg03218019__DDOST	0.0544	0.023187	0.038167	0.029126	0.032033	0.028285	0.037637	0.027653	0.033032	0.048084	0.039054	0.036382	0.041491	0.030667	0.024737	0.040813	0.01825	0.029732	0.032929	0.0282	0.027787	0.023802	0.060412	0.033263	0.072964	0.051442	0.10538	0.016972	0.015327	0.023146	0.025977	0.014085	0.027217	0.10824	0.034628	0.038919	0.03736
Meth__cg12995941__INSRR	0.48641	0.059086	0.59256	0.80315	0.54089	0.42039	0.14437	0.58616	0.075318	0.91853	0.84918	0.37561	0.085143	0.60962	0.092103	0.11824	0.079821	0.89832	0.9517	0.96074	0.95959	0.68433	0.7752	0.76997	0.12469	0.60845	0.10137	0.080859	0.051302	0.090709	0.15853	0.058578	0.3229	0.10266	0.94709	0.57901	0.49274
Meth__cg12249575__TITF1	0.088544	0.031244	0.06911	0.10641	0.059967	0.93953	0.69345	0.024042	0.038144	0.053357	0.12969	0.040423	0.039034	0.053485	0.28746	0.060361	0.16561	0.87859	0.69879	0.37893	0.035725	0.17517	0.046346	0.039348	0.19176	0.83329	0.067788	0.28028	0.03027	0.036306	0.036153	0.025291	0.72546	0.29326	0.56761	0.13381	0.49201
Meth__cg07175883__HOXD13	0.24481	0.029773	0.42854	0.54718	0.34199	0.40743	0.93795	0.40662	0.022453	0.91531	0.024807	0.039297	0.034685	0.033634	0.054118	0.054028	0.050296	0.95405	0.91915	0.66846	0.038655	0.53906	0.83011	0.63096	0.074896	0.69719	0.1033	0.027348	0.027846	0.023247	0.46189	0.87609	0.93698	0.74096	0.94045	0.52981	0.89036
Meth__cg06493994__SCGN	0.91357	0.0307	0.12132	0.9316	0.065241	0.8153	0.84913	0.33293	0.038371	0.27865	0.71426	0.13684	0.051624	0.036276	0.39878	0.13622	0.85946	0.3349	0.61399	0.41792	0.14975	0.026431	0.884	0.46945	0.065686	0.87355	0.17172	0.091515	0.071482	0.38013	0.025744	0.027267	0.082377	0.07033	0.076686	0.13346	0.045216
Meth__cg17775235__NPTX1	0.49304	0.026847	0.91208	0.063633	0.039498	0.38162	0.56687	0.05598	0.034713	0.063988	0.57759	0.19562	0.040048	0.047382	0.053995	0.11365	0.15997	0.93568	0.86835	0.05995	0.038353	0.55458	0.82692	0.046039	0.059593	0.92489	0.045011	0.03002	0.031428	0.071936	0.040826	0.035143	0.74981	0.39525	0.67816	0.039346	0.030241
Meth__cg14341579__IRS2	0.025125	0.027252	0.035846	0.024639	0.018724	0.022417	0.035345	0.030437	0.2259	0.032272	0.040264	0.018896	0.20541	0.030535	0.028507	0.051891	0.90263	0.031458	0.032032	0.034143	0.030252	0.022133	0.079668	0.031098	0.040772	0.085914	0.065939	0.029598	0.021572	0.023077	0.022259	0.029748	0.028177	0.06423	0.050999	0.026489	0.028522
Meth__cg06668300__MAL	0.9292	0.458	0.9638	0.65462	0.08941	0.76125	0.49711	0.23086	0.046718	0.12633	0.92218	0.028258	0.040751	0.59393	0.078421	0.12633	0.065698	0.78186	0.67536	0.50744	0.036734	0.76665	0.86028	0.4297	0.11388	0.86439	0.2253	0.43638	0.063553	0.18597	0.055057	0.032156	0.93752	0.49274	0.45933	0.36258	0.68764
Meth__cg08003150__KCNQ2	0.57735	0.033158	0.05506	0.080472	0.041352	0.41763	0.59189	0.21931	0.035814	0.039224	0.25153	0.29758	0.11534	0.08787	0.10818	0.12274	0.065752	0.89188	0.93128	0.71006	0.076073	0.41563	0.84725	0.38055	0.079818	0.88354	0.13389	0.035019	0.035602	0.033011	0.039203	0.12563	0.57004	0.087575	0.038839	0.046418	0.04035
Meth__cg03330678__SEPT9	0.94195	0.7513	0.92863	0.90024	0.86398	0.037271	0.93816	0.029152	0.038541	0.95694	0.02607	0.33304	0.28215	0.031781	0.027492	0.053683	0.03788	0.95468	0.95004	0.96242	0.033408	0.95689	0.04878	0.94657	0.049175	0.90537	0.047145	0.36795	0.032952	0.028824	0.91086	0.91699	0.9582	0.86812	0.95833	0.92177	0.95893
Meth__cg13306164__HPCA	0.14776	0.013855	0.13392	0.030589	0.018024	0.013802	0.024071	0.010271	0.014372	0.022786	0.22034	0.029263	0.013467	0.014971	0.014447	0.019162	0.023391	0.015942	0.019252	0.014804	0.020404	0.018947	0.75343	0.019003	0.018012	0.96583	0.028286	0.013591	0.022526	0.013513	0.011517	0.014806	0.10213	0.083964	0.017241	0.036247	0.14982
Meth__cg03664992__BMP8A	0.61374	0.15569	0.67794	0.54605	0.48646	0.89652	0.70167	0.28086	0.20592	0.086644	0.9261	0.14921	0.22772	0.12724	0.25231	0.15195	0.55644	0.10905	0.19849	0.20692	0.16468	0.77108	0.80191	0.48436	0.098495	0.90728	0.1819	0.10866	0.23482	0.50547	0.066111	0.1145	0.30056	0.25774	0.47746	0.62154	0.65687
U133A__SLC9A3R1	9.519	9.6155	8.3819	9.3381	11.1179	7.3427	10.3084	7.7895	7.6797	11.4694	8.4963	9.0035	9.0584	8.1738	7.8626	8.8965	7.1743	9.7706	10.4869	10.1918	6.8074	8.9042	7.6842	11.736	8.9875	10.9463	9.4829	6.4568	7.3574	6.9491	9.7921	9.1212	9.2263	10.2388	10.5344	10.2528	11.1031
U133A__GATA2	5.8131	6.4959	7.1069	7.0628	5.9166	5.8371	6.0767	5.5235	5.1149	6.8274	6.0557	6.531	7.617	5.5053	6.3955	5.9139	7.2402	6.6668	6.4408	8.5363	5.4748	6.7948	6.4999	6.0874	5.9896	7.0691	7.9656	6.0365	5.4024	6.4666	9.1988	6.1651	6.9075	6.2461	6.4558	5.9673	6.3448
Meth__cg08186362__HRH3	0.48599	0.14512	0.70769	0.1186	0.02468	0.545	0.60828	0.11036	0.21151	0.09919	0.83759	0.12734	0.16128	0.041517	0.30922	0.12584	0.79105	0.53797	0.5471	0.025727	0.055153	0.68205	0.9458	0.038882	0.074102	0.95076	0.058024	0.028448	0.21889	0.18424	0.033657	0.02318	0.45022	0.054632	0.16787	0.060838	0.043115
Meth__cg21602520__BCL2	0.046958	0.077954	0.94727	0.24149	0.33085	0.96633	0.066128	0.26622	0.86556	0.044701	0.94333	0.93871	0.75933	0.92554	0.92762	0.74503	0.57908	0.038538	0.046838	0.038996	0.96319	0.41431	0.94754	0.060168	0.083088	0.91319	0.069498	0.45537	0.93335	0.96885	0.8838	0.87083	0.95928	0.57398	0.57608	0.082738	0.047451
Meth__cg25591867__CKAP4	0.050035	0.051318	0.083142	0.040689	0.042372	0.031851	0.23823	0.047096	0.046402	0.33077	0.047332	0.0622	0.054468	0.079145	0.042968	0.10341	0.032362	0.055981	0.080736	0.051298	0.050476	0.091708	0.073021	0.050585	0.057978	0.065466	0.082789	0.035937	0.04199	0.031477	0.031234	0.036299	0.032248	0.043681	0.04538	0.037995	0.041141
Meth__cg09306577__MFN2	0.018306	0.017686	0.024194	0.02202	0.021207	0.020263	0.025427	0.058935	0.017076	0.03987	0.020297	0.013538	0.020099	0.020903	0.021598	0.024569	0.01789	0.02225	0.023523	0.02406	0.019229	0.023733	0.20562	0.02701	0.023753	0.036447	0.036151	0.023115	0.019706	0.024029	0.015118	0.023044	0.01798	0.027038	0.024909	0.026114	0.02402
U133A__RIPK4	6.9369	8.614	8.941	7.3972	7.0338	6.6705	7.0491	9.796	8.8061	7.3564	7.6975	8.9884	10.051	7.9447	7.9849	9.5888	8.0963	7.4957	7.1495	6.9917	9.6954	7.2635	6.6804	7.1106	7.1915	7.0182	7.6382	9.5498	8.7522	7.4829	8.2037	7.9776	7.8159	7.7129	8.042	6.7148	7.0509
Meth__cg13631913__MGC4399	0.040969	0.041971	0.050567	0.05122	0.040847	0.040257	0.046841	0.030056	0.048442	0.051784	0.061405	0.041198	0.042264	0.059108	0.044827	0.088994	0.86521	0.044421	0.046878	0.050107	0.043776	0.053428	0.06871	0.055672	0.075952	0.10945	0.090995	0.039139	0.039631	0.035981	0.049546	0.037952	0.036803	0.082219	0.05241	0.044258	0.044436
U133A__C3orf14	9.0139	8.6727	7.5754	9.212	9.6473	8.5361	9.2088	4.2159	7.5311	8.7627	7.2165	8.1664	8.792	7.421	6.3008	7.4875	8.1547	10.6072	10.2344	10.5387	6.6381	8.2917	8.2452	9.1404	7.4683	9.4658	8.9235	7.4175	8.1998	8.4651	7.2508	8.5412	9.1302	7.7943	9.0827	9.2989	8.6747
Meth__cg15525002__GBA	0.038269	0.036653	0.043385	0.036343	0.035089	0.031583	0.29437	0.043691	0.13325	0.049294	0.040417	0.022104	0.098795	0.030965	0.031658	0.051228	0.028296	0.045056	0.028458	0.080064	0.038525	0.048106	0.055153	0.039468	0.061019	0.065732	0.056172	0.033804	0.033216	0.036986	0.031997	0.035747	0.02688	0.040203	0.05228	0.037381	0.044638
Meth__cg11510839__OCA2	0.82435	0.04102	0.13143	0.85731	0.12395	0.22805	0.66691	0.27829	0.062013	0.67091	0.052233	0.16009	0.053539	0.053626	0.40291	0.14406	0.045198	0.46225	0.69744	0.10034	0.058031	0.53877	0.20357	0.45749	0.087326	0.7766	0.095632	0.038637	0.043539	0.41516	0.049595	0.18122	0.08487	0.15685	0.37232	0.32558	0.40364
Meth__cg26258845__ADAM23	0.042969	0.031229	0.46816	0.052715	0.046709	0.086374	0.22343	0.066163	0.031453	0.51646	0.040316	0.060309	0.20264	0.048104	0.041342	0.1501	0.08381	0.60452	0.49433	0.3452	0.034887	0.030347	0.61573	0.73239	0.36252	0.84669	0.075245	0.027685	0.030288	0.027451	0.040725	0.34517	0.47339	0.093071	0.058718	0.10324	0.055966
U133A__HLA-A	8.0974	8.8736	8.664	8.5163	10.7117	9.7239	9.7457	9.4951	12.2717	9.7102	11.5521	11.8036	7.1064	9.4021	11.8918	12.5168	9.9359	8.3049	9.564	10.5659	12.2646	9.1662	10.1682	10.4276	11.0959	9.1221	7.8025	10.0395	10.3257	10.9361	11.3302	12.4593	9.1377	9.4396	11.037	8.5489	8.5052
Meth__cg25168545__GIMAP1	0.82724	0.064087	0.63749	0.85064	0.73416	0.075272	0.74341	0.13724	0.7862	0.425	0.78614	0.47147	0.58098	0.36022	0.74188	0.16339	0.061258	0.62747	0.71089	0.88446	0.11862	0.86512	0.13711	0.22824	0.13047	0.23892	0.14341	0.077925	0.11216	0.098097	0.77194	0.18291	0.21488	0.084213	0.83044	0.45765	0.58005
Meth__cg06185738__SLC17A6	0.096722	0.027128	0.039814	0.062086	0.025008	0.050647	0.077487	0.85935	0.033884	0.035328	0.31065	0.080685	0.043213	0.066409	0.48566	0.13622	0.043342	0.040822	0.053949	0.89614	0.037265	0.14529	0.055861	0.042259	0.02879	0.86002	0.048231	0.032825	0.034096	0.037941	0.032154	0.027282	0.049497	0.042089	0.032245	0.042905	0.23107
Meth__cg20792294__IGF2AS	0.62226	0.045076	0.74088	0.1931	0.16242	0.93109	0.57783	0.74608	0.56257	0.063215	0.82809	0.086518	0.47426	0.07642	0.6385	0.081375	0.24796	0.90989	0.65046	0.82777	0.086921	0.86189	0.9508	0.89991	0.097474	0.87847	0.078234	0.044326	0.19782	0.374	0.25661	0.10778	0.579	0.31103	0.095213	0.2734	0.09633
Meth__cg03030757__FANCE	0.10944	0.22164	0.63334	0.18579	0.26856	0.050695	0.17469	0.10046	0.28604	0.35693	0.078745	0.3264	0.25948	0.077891	0.085586	0.058284	0.027718	0.28298	0.35677	0.43572	0.52293	0.76477	0.093084	0.1683	0.073325	0.069136	0.36646	0.041195	0.037409	0.055829	0.081794	0.11252	0.041262	0.089129	0.61831	0.44209	0.33228
Meth__cg09976774__FOXM1	0.032107	0.030156	0.030587	0.032342	0.024397	0.029706	0.039914	0.023937	0.023788	0.031781	0.032221	0.015837	0.033667	0.02323	0.020897	0.048157	0.028687	0.026036	0.036857	0.03193	0.037574	0.026667	0.053728	0.059185	0.026532	0.10313	0.037429	0.025231	0.026575	0.028382	0.021327	0.029228	0.029489	0.051084	0.039396	0.034137	0.026177
Meth__cg13133148__SNAPC5	0.034533	0.034262	0.037826	0.034122	0.027935	0.031053	0.043678	0.048987	0.025187	0.035235	0.027605	0.014565	0.36705	0.026521	0.030477	0.063429	0.05859	0.030443	0.029882	0.032589	0.032351	0.026324	0.052969	0.040186	0.052568	0.051808	0.039501	0.02417	0.023959	0.024465	0.025043	0.020436	0.020359	0.040903	0.036401	0.030893	0.03187
Meth__cg20339230__ST8SIA2	0.96718	0.028654	0.9758	0.037346	0.034037	0.96698	0.79202	0.82534	0.033827	0.21312	0.97084	0.37684	0.29086	0.1181	0.071529	0.1615	0.15336	0.96721	0.97541	0.72879	0.039068	0.97439	0.96064	0.84263	0.74677	0.94044	0.083859	0.017664	0.17711	0.94207	0.018038	0.33661	0.94849	0.81184	0.060312	0.14175	0.48773
Meth__cg17872757__FLI1	0.94165	0.041413	0.96145	0.95774	0.065722	0.96544	0.93627	0.56765	0.048207	0.32282	0.56166	0.046861	0.3255	0.84973	0.137	0.12549	0.06422	0.9574	0.55428	0.7661	0.076151	0.96972	0.93356	0.93459	0.10955	0.94529	0.085881	0.088557	0.044315	0.052455	0.89316	0.11567	0.96249	0.096329	0.96842	0.75987	0.46158
Meth__cg14611174__SIX6	0.50362	0.048718	0.64341	0.49204	0.50542	0.68193	0.65051	0.24594	0.046979	0.048967	0.73018	0.11387	0.2632	0.10179	0.084451	0.072457	0.044316	0.40498	0.29928	0.78472	0.062369	0.60023	0.46362	0.46061	0.073658	0.62179	0.086547	0.051092	0.040063	0.06843	0.84722	0.042862	0.19328	0.11035	0.59281	0.38734	0.55834
Meth__cg20899053__HLXB9	0.10654	0.068368	0.16534	0.099465	0.052745	0.064286	0.11014	0.098069	0.070962	0.79488	0.13436	0.16707	0.086876	0.05927	0.091385	0.212	0.086499	0.054582	0.13374	0.08	0.087738	0.64947	0.12592	0.13251	0.081998	0.15058	0.10484	0.051964	0.067198	0.10406	0.055699	0.074435	0.055758	0.26595	0.070597	0.10646	0.084156
Meth__cg08124030__TM4SF1	0.094851	0.11456	0.44344	0.24251	0.10174	0.055282	0.15708	0.056399	0.098716	0.088239	0.065786	0.054996	0.095326	0.070286	0.046814	0.16034	0.071211	0.95084	0.93904	0.32143	0.071996	0.90614	0.098395	0.92625	0.1153	0.13813	0.4426	0.04858	0.055241	0.081668	0.89899	0.049328	0.33643	0.28333	0.90603	0.49976	0.92407
Meth__cg02115041__NPBWR1	0.65467	0.035659	0.90894	0.79099	0.20496	0.27125	0.63816	0.9424	0.052427	0.52272	0.69559	0.27728	0.066097	0.57853	0.052839	0.21991	0.049932	0.30918	0.50383	0.34728	0.22493	0.93072	0.31197	0.43667	0.071429	0.38733	0.065115	0.078641	0.093887	0.11354	0.039123	0.054063	0.25483	0.16893	0.58309	0.80995	0.66864
Meth__cg17277529__FGF3	0.31305	0.02645	0.8959	0.16479	0.076018	0.5052	0.29734	0.38066	0.059505	0.10574	0.50608	0.81379	0.047406	0.02583	0.064595	0.094023	0.044513	0.65051	0.86162	0.28116	0.052543	0.45691	0.47501	0.11541	0.057361	0.73779	0.11154	0.043191	0.034614	0.53061	0.045052	0.037716	0.42545	0.092851	0.73685	0.080535	0.1797
U133A__FUT8	5.6391	7.1577	6.5198	7.0649	8.3524	6.9182	8.4013	5.8561	5.7352	6.273	6.072	5.5051	6.3162	5.7325	7.258	5.4207	7.0337	8.5833	8.8413	7.1088	7.2275	7.4477	6.6699	7.9813	6.5994	8.5014	6.404	6.9045	6.0776	6.1045	7.824	5.3298	5.6915	5.9146	7.2299	6.694	7.3654
Meth__cg07007400__KRT7	0.055763	0.046739	0.070614	0.055848	0.053989	0.86183	0.087797	0.049454	0.05255	0.85972	0.10655	0.053436	0.055336	0.054914	0.078192	0.099266	0.84862	0.877	0.86467	0.54035	0.85256	0.040393	0.14013	0.059741	0.099584	0.102	0.059799	0.10632	0.046383	0.053153	0.054552	0.048268	0.045592	0.51199	0.051887	0.83956	0.82992
Meth__cg13031432__NDRG4	0.073542	0.038663	0.34331	0.045066	0.027719	0.91434	0.049381	0.025594	0.053775	0.047655	0.94718	0.0325	0.063159	0.042024	0.037497	0.051506	0.096651	0.49417	0.39899	0.048923	0.20389	0.1681	0.93318	0.037563	0.092501	0.90281	0.08394	0.033007	0.034367	0.043002	0.032776	0.031051	0.59207	0.14074	0.043743	0.042593	0.057547
Meth__cg19731268__CHST3	0.62414	0.88955	0.49871	0.051443	0.95678	0.031186	0.95751	0.047517	0.025648	0.96011	0.043399	0.046132	0.068291	0.038981	0.03864	0.048558	0.035226	0.96015	0.9695	0.8704	0.060814	0.17342	0.061261	0.9099	0.45791	0.93924	0.81025	0.035252	0.026522	0.024749	0.93729	0.029709	0.96222	0.22646	0.86954	0.076276	0.57096
