Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg20876010__CACHD1	0.084818	0.13883	0.20248	0.081795	0.1414	0.71565	0.079577	0.90715	0.1221	0.094518	0.70718	0.78667	0.32853	0.15839	0.70968	0.24072	0.21864	0.11676	0.055412	0.07805	0.65817	0.19294	0.080567	0.11655	0.08649	0.12713	0.59703	0.069117	0.10954	0.56297	0.075446	0.063041	0.05982	0.10072	0.072739	0.10868
Meth__cg17300307__GLS	0.06658	0.048117	0.19072	0.26284	0.063991	0.055378	0.13268	0.049239	0.080537	0.069933	0.050895	0.051327	0.22096	0.085285	0.051192	0.054133	0.13181	0.049101	0.052586	0.081673	0.06343	0.10987	0.17856	0.21627	0.22347	0.12479	0.026623	0.035075	0.073047	0.41229	0.0544	0.09554	0.088043	0.071429	0.1674	0.13142
Meth__cg24778383__TNFSF7	0.11921	0.034587	0.96834	0.10529	0.12018	0.033324	0.4776	0.97661	0.12437	0.043073	0.70501	0.159	0.63657	0.1645	0.53102	0.032018	0.078248	0.11206	0.95896	0.95806	0.068591	0.85419	0.84079	0.069421	0.83127	0.049117	0.58923	0.53923	0.061033	0.044973	0.054011	0.29678	0.090392	0.56351	0.058197	0.49613
Meth__cg25104030__RASGEF1A	0.057249	0.04033	0.31348	0.060835	0.051146	0.4472	0.081241	0.45393	0.041467	0.044912	0.49508	0.08152	0.36717	0.059034	0.45259	0.053621	0.081723	0.039421	0.035256	0.04827	0.46131	0.3243	0.04657	0.075085	0.13272	0.053804	0.039706	0.049151	0.069546	0.22339	0.04145	0.031162	0.08744	0.082668	0.07011	0.046049
Meth__cg02849695__CCDC19	0.03696	0.044498	0.054146	0.044958	0.038323	0.96989	0.039678	0.74973	0.040082	0.058451	0.066084	0.080697	0.062919	0.047777	0.050932	0.94473	0.07746	0.44781	0.041336	0.061758	0.92494	0.095631	0.071132	0.15041	0.076439	0.06606	0.28093	0.053785	0.95477	0.040532	0.042209	0.034612	0.099887	0.070497	0.042971	0.046635
Meth__cg13885201__ZNF23	0.045152	0.038361	0.071993	0.2904	0.48105	0.22122	0.93382	0.033855	0.11076	0.47647	0.043307	0.029372	0.16509	0.11688	0.11187	0.029635	0.32675	0.048935	0.40205	0.75912	0.051707	0.83022	0.62193	0.046014	0.91397	0.077977	0.026391	0.039742	0.16126	0.32229	0.22343	0.92557	0.084265	0.049099	0.070203	0.054132
Meth__cg13047892__MEOX2	0.94285	0.03284	0.29084	0.75779	0.062019	0.91854	0.88187	0.96145	0.062953	0.056683	0.95271	0.12561	0.12699	0.053872	0.9211	0.10215	0.079056	0.55584	0.053603	0.1766	0.038672	0.60957	0.2556	0.041297	0.2624	0.063541	0.043473	0.056308	0.062402	0.098636	0.029633	0.15364	0.044054	0.34209	0.79282	0.89484
Meth__cg19547629__MYRIP	0.55903	0.21406	0.94306	0.043323	0.26615	0.9132	0.81554	0.49257	0.040874	0.037421	0.93889	0.61637	0.42947	0.12489	0.18533	0.35196	0.23906	0.75077	0.95863	0.9392	0.32673	0.85429	0.033394	0.30351	0.35325	0.060756	0.092499	0.11102	0.6221	0.048353	0.045326	0.79525	0.30207	0.034826	0.37691	0.44118
Meth__cg25374813__SLC23A1	0.066578	0.042765	0.090122	0.07166	0.037853	0.79219	0.02368	0.061996	0.05739	0.034997	0.20773	0.069813	0.15114	0.071187	0.29458	0.43308	0.14265	0.096554	0.12285	0.15215	0.7913	0.20202	0.035584	0.155	0.13225	0.05433	0.83308	0.036508	0.068985	0.15501	0.063148	0.036205	0.080586	0.02446	0.062926	0.028706
Meth__cg11932564__TNFRSF13C	0.90974	0.047587	0.25308	0.4127	0.079381	0.89691	0.066725	0.050978	0.037323	0.047774	0.034156	0.28472	0.23974	0.034773	0.15484	0.21004	0.056958	0.68389	0.061739	0.29797	0.56436	0.9297	0.048946	0.088	0.48368	0.10606	0.32377	0.11201	0.54566	0.09124	0.039542	0.17729	0.072654	0.12432	0.052878	0.047883
Meth__cg26374101__ARRDC1	0.035939	0.042679	0.043988	0.036489	0.023637	0.16274	0.034814	0.04174	0.02674	0.033582	0.063952	0.029713	0.081002	0.039945	0.035997	0.05375	0.044843	0.3569	0.038475	0.052027	0.73131	0.071728	0.029703	0.048351	0.05934	0.099701	0.039975	0.026916	0.061672	0.02834	0.023986	0.021949	0.061266	0.034212	0.028491	0.036881
Meth__cg22175764__C20orf86	0.40022	0.027694	0.91259	0.028289	0.048103	0.92416	0.11149	0.58438	0.049859	0.039855	0.89425	0.52991	0.90309	0.17257	0.85601	0.047705	0.1058	0.87018	0.89513	0.76729	0.08213	0.85587	0.15292	0.10628	0.84138	0.21446	0.068578	0.14055	0.87005	0.090399	0.036811	0.86998	0.11322	0.072346	0.071569	0.064405
Meth__cg22419075__DPP7	0.04851	0.042443	0.039257	0.0372	0.027126	0.67065	0.032888	0.03067	0.036656	0.039842	0.045356	0.10843	0.14801	0.032288	0.95696	0.032851	0.079643	0.03632	0.05237	0.043646	0.65297	0.069824	0.057873	0.12456	0.054029	0.089375	0.054783	0.039862	0.025503	0.040959	0.029657	0.039059	0.37879	0.060909	0.04355	0.039313
Meth__cg11389172__SLC18A3	0.96797	0.036608	0.9697	0.62869	0.035917	0.59167	0.7594	0.97049	0.030848	0.073454	0.96725	0.9659	0.93546	0.45131	0.03212	0.056989	0.10151	0.045148	0.94086	0.92193	0.055168	0.88866	0.49338	0.089143	0.91664	0.092823	0.2888	0.11863	0.18628	0.55978	0.45445	0.90208	0.34564	0.93316	0.33849	0.065386
Meth__cg24703717__HLA-F	0.029873	0.019822	0.035151	0.12087	0.019763	0.97898	0.19952	0.0358	0.020781	0.029525	0.042008	0.066533	0.68781	0.069535	0.024545	0.020838	0.028749	0.090665	0.025461	0.026798	0.03437	0.74454	0.027438	0.03726	0.043147	0.04638	0.021267	0.023333	0.020947	0.021947	0.027225	0.041142	0.14961	0.034211	0.03062	0.032488
Meth__cg15202954__VGCNL1	0.093219	0.3787	0.10201	0.95781	0.097981	0.67191	0.94787	0.057675	0.15616	0.11458	0.21149	0.11687	0.44592	0.19531	0.068708	0.084924	0.51367	0.094101	0.93288	0.93658	0.12817	0.18383	0.82348	0.17466	0.87852	0.21743	0.085475	0.078324	0.12145	0.79869	0.11472	0.83787	0.13167	0.17544	0.10514	0.10226
Meth__cg04856043__HS1BP3	0.046779	0.040913	0.10598	0.04961	0.036032	0.13053	0.036265	0.70706	0.037203	0.043326	0.054773	0.19949	0.30616	0.051374	0.048479	0.051069	0.069107	0.039262	0.049456	0.046575	0.066015	0.19391	0.050813	0.07946	0.093413	0.09053	0.040375	0.036157	0.03327	0.049359	0.033702	0.038875	0.11949	0.042188	0.039642	0.042528
Meth__cg10313675__C1orf74	0.019912	0.022203	0.030749	0.024879	0.021088	0.022099	0.037596	0.03345	0.43601	0.040129	0.020901	0.035944	0.037967	0.38094	0.024286	0.029246	0.83709	0.028419	0.026741	0.029393	0.027037	0.044454	0.027605	0.050725	0.044062	0.030037	0.025942	0.47109	0.078445	0.93162	0.029093	0.025696	0.034296	0.030815	0.025632	0.023049
Meth__cg16967583__AGXT	0.061093	0.034182	0.042645	0.056478	0.046725	0.66809	0.12653	0.20629	0.054644	0.26955	0.077525	0.20632	0.13025	0.04618	0.1418	0.077208	0.12229	0.045708	0.17994	0.23803	0.80132	0.32975	0.19917	0.088778	0.16264	0.083106	0.49279	0.046267	0.041965	0.1405	0.04256	0.047842	0.22055	0.059493	0.051019	0.083552
Meth__cg01761409__RAB38	0.78941	0.032149	0.82698	0.33481	0.2083	0.54841	0.42468	0.94792	0.027341	0.03725	0.6054	0.024677	0.8862	0.024061	0.1142	0.014703	0.18887	0.041156	0.096237	0.32918	0.28043	0.20791	0.027005	0.044489	0.51521	0.051866	0.036478	0.016541	0.036345	0.30632	0.075711	0.45235	0.071111	0.093804	0.32541	0.15736
Meth__cg10313673__CILP2	0.056788	0.035169	0.97226	0.94993	0.04935	0.97414	0.034576	0.9814	0.021346	0.034055	0.060641	0.807	0.89547	0.021802	0.97126	0.97398	0.26437	0.16495	0.96482	0.88255	0.96427	0.93958	0.96565	0.042187	0.85141	0.056239	0.075658	0.018269	0.10099	0.74166	0.032726	0.937	0.83382	0.74244	0.3482	0.096996
Meth__cg26774312__CAV2	0.021488	0.22452	0.021596	0.34431	0.259	0.018965	0.14185	0.010472	0.36743	0.023078	0.022347	0.034905	0.036884	0.2897	0.016854	0.015186	0.03862	0.021988	0.017224	0.023027	0.023475	0.077826	0.020207	0.035278	0.14527	0.059563	0.016149	0.022044	0.036405	0.021366	0.02518	0.026863	0.27991	0.032106	0.21346	0.091704
Meth__cg20687462__MGC10992	0.04341	0.43271	0.44285	0.38962	0.26924	0.044443	0.60754	0.11165	0.13342	0.12126	0.045978	0.081111	0.24402	0.11977	0.052105	0.094618	0.090676	0.042912	0.15926	0.14505	0.045117	0.17909	0.10649	0.06484	0.1298	0.34711	0.037402	0.034253	0.16211	0.23952	0.10287	0.054853	0.050926	0.16206	0.049506	0.082395
Meth__cg00240432__TWIST1	0.029898	0.016729	0.96031	0.022525	0.025588	0.47167	0.38606	0.024021	0.023038	0.058899	0.61799	0.2841	0.061083	0.015737	0.027524	0.019847	0.042061	0.10584	0.50791	0.12583	0.024817	0.93258	0.024239	0.059165	0.89894	0.033703	0.026713	0.021506	0.029584	0.018614	0.021371	0.60841	0.35453	0.4574	0.065291	0.057988
Meth__cg16797831__KIAA1324	0.045383	0.051912	0.8673	0.038595	0.040509	0.86528	0.037028	0.22915	0.7601	0.051214	0.79987	0.68636	0.8209	0.51283	0.85993	0.58335	0.41292	0.37299	0.19843	0.042498	0.86149	0.83076	0.039269	0.093795	0.16937	0.20807	0.39163	0.36265	0.85326	0.13412	0.037646	0.040257	0.14057	0.052663	0.049852	0.052132
Meth__cg10319505__RASEF	0.032554	0.050956	0.033968	0.030579	0.024923	0.3371	0.037964	0.040259	0.033299	0.03729	0.53325	0.052946	0.044266	0.038316	0.79861	0.060373	0.071304	0.86788	0.021098	0.040247	0.13888	0.30772	0.046326	0.066157	0.10272	0.042103	0.036387	0.02885	0.57453	0.049797	0.030744	0.026773	0.051753	0.046076	0.030581	0.066791
Meth__cg16772207__MYT1	0.083169	0.063827	0.40891	0.072753	0.082072	0.91204	0.084928	0.78872	0.89657	0.10856	0.91417	0.90116	0.20018	0.59751	0.39567	0.55897	0.21709	0.19375	0.14546	0.18205	0.6681	0.67216	0.067885	0.18433	0.12749	0.094582	0.090199	0.5259	0.14954	0.1208	0.050161	0.058513	0.19256	0.1276	0.056742	0.071455
Meth__cg08458487__SFTPD	0.061204	0.038111	0.15576	0.88261	0.62346	0.63829	0.88412	0.42086	0.62955	0.90499	0.1008	0.11816	0.58216	0.56859	0.11766	0.70855	0.12947	0.053038	0.78327	0.77771	0.12494	0.079947	0.46074	0.098085	0.88369	0.08241	0.36139	0.067513	0.044151	0.78155	0.080091	0.5923	0.11481	0.44696	0.56942	0.56033
Meth__cg03611555__SLC25A21	0.015152	0.0090717	0.017161	0.018296	0.0126	0.041224	0.014609	0.020857	0.016494	0.014004	0.01466	0.018255	0.022616	0.012462	0.013784	0.010985	0.027841	0.013393	0.0091895	0.015906	0.019334	0.040885	0.014977	0.019161	0.023027	0.025263	0.016724	0.010205	0.015064	0.011721	0.012876	0.014016	0.023214	0.014776	0.020573	0.016853
Meth__cg05593325__GALNT12	0.047858	0.069214	0.11438	0.049	0.039134	0.68364	0.062393	0.95556	0.066501	0.054137	0.61865	0.76862	0.2865	0.075813	0.86222	0.61069	0.24941	0.65437	0.047898	0.057826	0.605	0.83304	0.041789	0.12041	0.08356	0.079646	0.085818	0.082019	0.14232	0.040747	0.026389	0.78032	0.11093	0.068765	0.063438	0.041036
Meth__cg11483915__SLC40A1	0.04591	0.034868	0.94673	0.0403	0.043431	0.931	0.052955	0.10827	0.095677	0.046828	0.043951	0.40902	0.26562	0.10484	0.91051	0.0467	0.066902	0.39573	0.92625	0.94573	0.47735	0.41606	0.043303	0.10179	0.078853	0.045952	0.31153	0.19438	0.65565	0.032053	0.031211	0.41378	0.13875	0.050207	0.048421	0.039854
Meth__cg14141399__HAS1	0.047708	0.023805	0.97546	0.083128	0.071032	0.54217	0.83712	0.98132	0.020138	0.028101	0.95294	0.7894	0.8371	0.045271	0.71715	0.51158	0.03096	0.017322	0.94274	0.69741	0.94286	0.32823	0.1439	0.018893	0.407	0.044303	0.034749	0.019263	0.19886	0.11044	0.020634	0.94273	0.24111	0.56195	0.051598	0.06224
Meth__cg07474356__PCDH11X	0.14601	0.032634	0.67105	0.08627	0.048244	0.63047	0.072035	0.55048	0.042568	0.039575	0.74754	0.1464	0.14711	0.042501	0.065174	0.13677	0.11013	0.060453	0.094121	0.062249	0.073276	0.76032	0.076923	0.067215	0.39198	0.092858	0.83103	0.055285	0.15387	0.074165	0.048656	0.65767	0.079291	0.065397	0.045393	0.070401
Meth__cg02104644__SYT7	0.091047	0.053017	0.16944	0.042296	0.04431	0.90859	0.099982	0.5855	0.030261	0.26317	0.035846	0.74153	0.61506	0.041405	0.36514	0.2077	0.075754	0.058131	0.078958	0.25716	0.56458	0.80424	0.068984	0.049462	0.14466	0.17046	0.038845	0.041624	0.91618	0.048662	0.026293	0.055244	0.097149	0.24633	0.056814	0.055619
Meth__cg25299676__MET	0.11167	0.3314	0.079361	0.63473	0.8686	0.080464	0.87887	0.072298	0.6263	0.10221	0.72422	0.15016	0.1226	0.56836	0.074827	0.115	0.11607	0.057295	0.84998	0.81631	0.77127	0.10275	0.8547	0.25704	0.85325	0.74032	0.097353	0.055453	0.078799	0.92843	0.4754	0.82579	0.22114	0.44958	0.76647	0.87097
Meth__cg08570275__P2RY1	0.09353	0.035141	0.21073	0.049781	0.022666	0.090626	0.30683	0.19275	0.032983	0.019924	0.11384	0.064076	0.05684	0.022731	0.027827	0.02738	0.078074	0.023589	0.13794	0.071567	0.036124	0.45947	0.045188	0.026736	0.12117	0.044653	0.028443	0.015	0.028591	0.019095	0.0218	0.016035	0.10064	0.022464	0.024197	0.033257
Meth__cg18424091__HSPA1L	0.089442	0.4122	0.059935	0.80735	0.096963	0.069888	0.1181	0.029744	0.096307	0.71742	0.088271	0.084709	0.46922	0.090065	0.095455	0.041311	0.050937	0.057541	0.32948	0.24351	0.084475	0.12739	0.47496	0.1586	0.15323	0.28011	0.036238	0.046968	0.89106	0.10498	0.04643	0.053062	0.22742	0.082226	0.11608	0.13261
Meth__cg11462865__KRT19	0.031823	0.028759	0.0391	0.035531	0.025583	0.95435	0.030781	0.047942	0.030868	0.032821	0.95755	0.93461	0.91919	0.034999	0.028127	0.24073	0.067626	0.94788	0.029236	0.038049	0.94805	0.057149	0.036481	0.064091	0.060013	0.081121	0.39781	0.027201	0.95817	0.024946	0.021475	0.021707	0.032526	0.037706	0.031244	0.033128
Meth__cg13599477__NET1	0.063484	0.063019	0.14764	0.073501	0.032983	0.31483	0.087093	0.034529	0.036085	0.057872	0.68387	0.12439	0.48141	0.14524	0.0527	0.032024	0.10814	0.91499	0.2705	0.051402	0.75352	0.092577	0.047207	0.10117	0.50895	0.084677	0.9369	0.04576	0.089041	0.033168	0.050209	0.058292	0.084853	0.070337	0.77298	0.83308
Meth__cg13818573__C1QL1	0.48406	0.053936	0.86073	0.1276	0.14231	0.61055	0.69101	0.1242	0.16364	0.45779	0.84935	0.3167	0.50043	0.15088	0.10695	0.050901	0.08159	0.55814	0.7573	0.3698	0.075098	0.94317	0.055571	0.076274	0.7955	0.053937	0.07669	0.10094	0.075282	0.040175	0.055422	0.91836	0.22889	0.77989	0.44425	0.59552
Meth__cg17237063__RBMS3	0.70869	0.14718	0.43411	0.73318	0.40449	0.066645	0.54345	0.061277	0.7719	0.117	0.1441	0.12215	0.48641	0.56748	0.10342	0.081801	0.16354	0.065667	0.080399	0.17419	0.074304	0.1527	0.49356	0.20592	0.41227	0.18277	0.16661	0.12097	0.11349	0.66874	0.10533	0.16783	0.18462	0.084359	0.72981	0.64694
Meth__cg04355435__TMEM125	0.03376	0.031498	0.036961	0.058673	0.034024	0.87813	0.058741	0.040345	0.035671	0.041456	0.93379	0.062036	0.074948	0.025121	0.13934	0.64199	0.096695	0.052938	0.021999	0.0392	0.83238	0.59318	0.03952	0.08046	0.036822	0.052555	0.040631	0.02143	0.069782	0.027403	0.024152	0.025979	0.09948	0.041487	0.061021	0.042498
Meth__cg03099492__CYP26A1	0.048356	0.073171	0.95931	0.057698	0.040474	0.11744	0.054329	0.5228	0.055474	0.055887	0.8242	0.45891	0.51093	0.044156	0.70409	0.069005	0.098044	0.062279	0.33081	0.635	0.54251	0.76864	0.064386	0.070854	0.092221	0.094251	0.05599	0.045839	0.05598	0.19924	0.052621	0.4786	0.058857	0.05271	0.071262	0.05543
Meth__cg21391660__LLGL2	0.05027	0.060042	0.064244	0.050266	0.030568	0.39616	0.036935	0.036531	0.027491	0.043459	0.054712	0.056907	0.073709	0.043785	0.037075	0.067771	0.078279	0.20264	0.029263	0.061416	0.21238	0.75509	0.040165	0.070527	0.096908	0.05848	0.06272	0.021819	0.11312	0.026619	0.028784	0.026244	0.088899	0.034204	0.027314	0.036497
Meth__cg00658626__CCDC63	0.72095	0.058345	0.8601	0.59416	0.49923	0.89613	0.90763	0.76999	0.081958	0.062773	0.84856	0.087847	0.79862	0.21099	0.91459	0.080366	0.1781	0.38031	0.76562	0.81804	0.281	0.83038	0.073625	0.11164	0.83704	0.15862	0.084952	0.061702	0.31338	0.13377	0.05674	0.83426	0.66772	0.086665	0.15409	0.28387
Meth__cg20877313__GLS2	0.031986	0.37903	0.74801	0.037527	0.024241	0.75943	0.030338	0.040941	0.02362	0.027957	0.97264	0.066679	0.095578	0.02393	0.92728	0.097449	0.030751	0.029276	0.96527	0.8443	0.9754	0.62196	0.68387	0.065136	0.03805	0.22582	0.16503	0.025537	0.031722	0.8251	0.086272	0.87886	0.4706	0.031298	0.055784	0.032912
Meth__cg16078836__MAP3K13	0.14493	0.069876	0.11496	0.10805	0.085096	0.55409	0.1412	0.37718	0.40631	0.069233	0.31785	0.11893	0.1294	0.24691	0.06958	0.093938	0.059042	0.10181	0.07426	0.12605	0.14127	0.1905	0.096615	0.21561	0.10091	0.059655	0.47959	0.057369	0.11323	0.081081	0.053463	0.090909	0.082633	0.094212	0.13785	0.10994
Meth__cg08528984__PRDM16	0.97909	0.028032	0.52851	0.06355	0.063284	0.98506	0.97389	0.98457	0.40929	0.078194	0.98512	0.99051	0.41609	0.45936	0.015973	0.021422	0.074211	0.50682	0.94892	0.98248	0.080675	0.97715	0.082156	0.033297	0.94272	0.32738	0.018602	0.067716	0.11462	0.020956	0.025113	0.91093	0.1794	0.98431	0.2303	0.050433
Meth__cg04947578__C19orf10	0.046904	0.050138	0.057258	0.048438	0.047658	0.052733	0.052339	0.45987	0.053076	0.053063	0.064421	0.061045	0.11568	0.054487	0.054611	0.047175	0.065576	0.043184	0.039708	0.057511	0.053235	0.087115	0.059383	0.075349	0.085319	0.073505	0.05198	0.050303	0.051659	0.054943	0.05792	0.050519	0.078504	0.064447	0.051897	0.058339
Meth__cg13162810__PREI3	0.074603	0.50619	0.050134	0.0633	0.062379	0.15181	0.10132	0.14871	0.53118	0.081813	0.047748	0.20964	0.19617	0.34372	0.052279	0.036374	0.094053	0.054635	0.041805	0.045821	0.043872	0.064162	0.23366	0.093719	0.10186	0.27648	0.029835	0.051426	0.30229	0.27067	0.055007	0.10794	0.11765	0.044142	0.40675	0.48502
Meth__cg07348311__IFIH1	0.051585	0.038776	0.049903	0.05061	0.037825	0.96998	0.049589	0.061885	0.054983	0.050124	0.058469	0.069958	0.09516	0.053706	0.067996	0.041298	0.13636	0.53111	0.055291	0.044996	0.044083	0.37032	0.052548	0.037451	0.087446	0.087963	0.046667	0.046209	0.051248	0.063832	0.029576	0.041497	0.10809	0.059629	0.049673	0.063335
Meth__cg23613317__LARP1	0.072952	0.096369	0.7824	0.13242	0.082979	0.88962	0.086897	0.91516	0.43626	0.073621	0.88792	0.602	0.72989	0.39995	0.41386	0.89715	0.39357	0.69157	0.083825	0.097112	0.89771	0.81449	0.080833	0.14807	0.18438	0.16238	0.88573	0.11466	0.62775	0.12875	0.062958	0.077075	0.13003	0.079965	0.084131	0.098184
Meth__cg06540636__PLAUR	0.049199	0.048546	0.053289	0.14558	0.12499	0.044737	0.096094	0.017259	0.043798	0.065098	0.080068	0.031617	0.048905	0.04836	0.046009	0.046367	0.073187	0.037766	0.22657	0.21223	0.10117	0.1077	0.40144	0.079545	0.86893	0.17974	0.04905	0.039455	0.060081	0.8971	0.049019	0.1857	0.15189	0.067605	0.1558	0.087957
Meth__cg24935900__RAB11FIP5	0.038853	0.12509	0.048596	0.26176	0.19187	0.043076	0.094744	0.082207	0.042554	0.14409	0.048883	0.090157	0.10622	0.071501	0.043114	0.039311	0.089675	0.036519	0.084173	0.085477	0.046597	0.099118	0.088152	0.098831	0.09776	0.18534	0.040524	0.045064	0.042035	0.45824	0.077235	0.10086	0.14953	0.090265	0.12478	0.096064
Meth__cg15913671__TMEM105	0.032933	0.047566	0.037796	0.029559	0.036126	0.83159	0.032356	0.76618	0.029135	0.034253	0.39684	0.041762	0.1017	0.038484	0.30442	0.68508	0.056237	0.31969	0.026414	0.03149	0.87322	0.85427	0.030679	0.044469	0.23043	0.072657	0.03801	0.14376	0.84717	0.017263	0.096498	0.021888	0.076386	0.034179	0.051423	0.033226
Meth__cg22672790__GABRA6	0.89531	0.41649	0.11888	0.89311	0.64329	0.073862	0.77026	0.10743	0.83073	0.47545	0.65255	0.22912	0.25671	0.70926	0.17284	0.14785	0.20888	0.11376	0.07695	0.64146	0.072636	0.11925	0.44467	0.1596	0.69858	0.1462	0.06827	0.28479	0.14758	0.92237	0.24375	0.068845	0.093436	0.095582	0.89679	0.82028
Meth__cg02536286__TFAP2C	0.057046	0.10656	0.12584	0.10111	0.027632	0.43197	0.061684	0.062075	0.036607	0.0471	0.049345	0.050795	0.089744	0.049277	0.049035	0.077619	0.096714	0.30752	0.032877	0.13295	0.062473	0.082957	0.050382	0.066206	0.11163	0.10442	0.043236	0.038101	0.033828	0.035796	0.038476	0.025751	0.095113	0.039606	0.040674	0.052031
Meth__cg16941656__FRY	0.029945	0.0387	0.77447	0.028619	0.038462	0.32865	0.035665	0.050888	0.021199	0.049521	0.04079	0.043203	0.062344	0.032293	0.03841	0.029781	0.045592	0.034829	0.036483	0.040941	0.058192	0.17643	0.042235	0.088804	0.055596	0.046702	0.029869	0.021585	0.023941	0.04222	0.98805	0.055731	0.16598	0.051974	0.045369	0.032213
Meth__cg00466436__DEFB126	0.13893	0.078573	0.14276	0.43727	0.52993	0.064742	0.32211	0.43592	0.54073	0.21127	0.099086	0.079862	0.32552	0.35987	0.22798	0.17334	0.12753	0.12086	0.37819	0.15625	0.073691	0.11265	0.12672	0.10246	0.22422	0.085663	0.067368	0.57453	0.11397	0.74348	0.067222	0.1012	0.4029	0.21432	0.22261	0.22877
Meth__cg03752689__C1orf74	0.036809	0.042542	0.074764	0.067494	0.033835	0.057336	0.053621	0.046188	0.23107	0.16316	0.055865	0.076224	0.053363	0.24349	0.073661	0.082391	0.79504	0.060321	0.073316	0.15066	0.05069	0.10417	0.059547	0.055355	0.097663	0.099203	0.041048	0.56935	0.10007	0.90375	0.036005	0.056563	0.10672	0.085456	0.043748	0.032903
Meth__cg10089145__ST14	0.052903	0.040949	0.04377	0.048485	0.02362	0.98145	0.04834	0.054344	0.030126	0.039968	0.55556	0.040448	0.072952	0.031604	0.029579	0.06011	0.069911	0.35233	0.031325	0.045831	0.72278	0.92687	0.043287	0.050962	0.057475	0.053735	0.085894	0.044167	0.13771	0.028741	0.027478	0.02614	0.060724	0.036482	0.036525	0.035284
Meth__cg00158308__OXGR1	0.33312	0.11737	0.90458	0.55966	0.048988	0.71999	0.1551	0.88676	0.35014	0.05165	0.43885	0.2134	0.81235	0.3556	0.88044	0.17999	0.17633	0.055057	0.044263	0.057046	0.18052	0.74465	0.11782	0.28434	0.10607	0.11299	0.2942	0.44055	0.048886	0.43438	0.059453	0.63847	0.047491	0.076068	0.051324	0.62907
Meth__cg18741908__GPR160	0.075319	0.84244	0.93466	0.085241	0.62607	0.93552	0.052124	0.94912	0.90971	0.18438	0.93038	0.91264	0.90712	0.68542	0.90866	0.43875	0.62647	0.82401	0.2589	0.11016	0.70097	0.81946	0.058425	0.063511	0.085463	0.58107	0.049705	0.57342	0.93073	0.33599	0.88935	0.046021	0.10083	0.08458	0.22008	0.43337
Meth__cg04141379__SPATA6	0.029775	0.010845	0.024602	0.012606	0.0071274	0.53341	0.020452	0.017312	0.010467	0.014545	0.015161	0.014884	0.016708	0.010154	0.0081301	0.011663	0.022004	0.008299	0.011382	0.01668	0.0151	0.60113	0.017648	0.012103	0.016253	0.026512	0.0095958	0.012622	0.01051	0.0078617	0.012325	0.010117	0.021481	0.012076	0.012504	0.017457
Meth__cg08548888__MYD88	0.077687	0.065282	0.11631	0.52453	0.10426	0.7097	0.7001	0.24066	0.081678	0.085967	0.089083	0.31097	0.15785	0.082005	0.18224	0.083503	0.1528	0.097357	0.16513	0.11618	0.43181	0.52875	0.087104	0.16567	0.12146	0.078477	0.13257	0.077423	0.090284	0.098318	0.062043	0.11264	0.14744	0.36847	0.080733	0.087002
Meth__cg03922337__RRAS2	0.34336	0.064436	0.0627	0.43942	0.6309	0.071619	0.53337	0.79527	0.060353	0.69102	0.09781	0.068058	0.18893	0.072051	0.10142	0.054537	0.1281	0.041866	0.29579	0.46357	0.051511	0.094221	0.10195	0.4358	0.83198	0.31526	0.068137	0.053879	0.32831	0.23189	0.22013	0.14639	0.055029	0.050125	0.20552	0.096798
Meth__cg27281093__USP18	0.040272	0.02957	0.06126	0.30384	0.28321	0.79438	0.029127	0.43962	0.034862	0.052225	0.043514	0.053096	0.10141	0.031616	0.026776	0.11986	0.07321	0.25178	0.032959	0.12481	0.33052	0.45173	0.037157	0.069725	0.073002	0.04599	0.04524	0.031475	0.034904	0.076652	0.027578	0.02874	0.049983	0.070185	0.037532	0.28621
Meth__cg23960723__ECHDC3	0.067377	0.038616	0.1158	0.06417	0.032388	0.21748	0.055628	0.64639	0.026747	0.042848	0.051285	0.049624	0.077915	0.03476	0.064827	0.1	0.037319	0.04442	0.36377	0.10256	0.041852	0.11576	0.045844	0.045896	0.4537	0.088295	0.042982	0.033878	0.046647	0.036181	0.030985	0.041909	0.072105	0.054344	0.041332	0.039727
Meth__cg16426459__MLPH	0.034597	0.027386	0.050199	0.033862	0.022754	0.36942	0.037924	0.18624	0.16764	0.031037	0.73854	0.60712	0.064189	0.12043	0.035288	0.025081	0.062134	0.40624	0.028268	0.034835	0.18509	0.059978	0.035243	0.044506	0.059487	0.060522	0.10869	0.37953	0.8922	0.028759	0.020905	0.022398	0.063761	0.036298	0.025404	0.03785
Meth__cg00410419__COMMD6	0.049339	0.041656	0.053594	0.046582	0.041186	0.034297	0.046848	0.054294	0.07873	0.064257	0.041759	0.045806	0.081503	0.059082	0.03901	0.062139	0.44287	0.038032	0.041872	0.057739	0.050645	0.082154	0.052999	0.0862	0.19008	0.07796	0.048444	0.041521	0.054604	0.051866	0.03482	0.062906	0.063541	0.040079	0.044728	0.042405
