Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Meth__cg01015879__RDX	0.072499	0.30408	0.34994	0.069616	0.073879	0.049748	0.12378	0.042395	0.06133	0.057692	0.037697	0.04304	0.22999	0.039028	0.053363	0.042067	0.049924	0.13552	0.046301	0.11078	0.08859	0.05939	0.061789	0.065237	0.093181	0.13666	0.22101	0.062483	0.051458	0.04611	0.065487	0.17139	0.06811	0.11421	0.05583	0.085782	0.14951	0.074281
Meth__cg07623294__ELAVL2	0.76984	0.023497	0.03817	0.76691	0.06047	0.029583	0.75205	0.39253	0.35184	0.42244	0.22432	0.57208	0.052815	0.013979	0.30141	0.032964	0.4	0.17369	0.071794	0.060714	0.22229	0.029475	0.13336	0.357	0.0619	0.072806	0.12652	0.058166	0.26569	0.40747	0.031016	0.039129	0.064694	0.079397	0.055391	0.031217	0.63421	0.022426
Meth__cg24820508__TXNDC6	0.08771	0.097934	0.87779	0.11133	0.056265	0.12066	0.11182	0.13294	0.062484	0.07744	0.13279	0.063789	0.40081	0.10258	0.083518	0.089116	0.081589	0.14348	0.22232	0.094076	0.095393	0.10402	0.080107	0.090978	0.087395	0.11911	0.2585	0.10764	0.072067	0.088675	0.087751	0.12498	0.4639	0.11877	0.083187	0.075073	0.12358	0.087455
Meth__cg06980380__DTNB	0.059958	0.37104	0.3588	0.63434	0.10898	0.57587	0.2264	0.50169	0.072015	0.08714	0.51517	0.1066	0.44134	0.06557	0.072641	0.30327	0.075797	0.11384	0.049668	0.35106	0.15904	0.64759	0.1547	0.42636	0.39765	0.097285	0.095485	0.20908	0.054708	0.073684	0.14207	0.65084	0.18586	0.11713	0.066372	0.14954	0.14542	0.52158
Meth__cg18787975__CTSB	0.061756	0.054158	0.084941	0.087658	0.077758	0.33631	0.086957	0.085777	0.063391	0.068095	0.053747	0.094754	0.1537	0.10911	0.063129	0.13391	0.059763	0.17989	0.11513	0.059989	0.075324	0.25662	0.058446	0.18899	0.074061	0.14197	0.13816	0.1545	0.057171	0.056574	0.087127	0.64467	0.087091	0.076011	0.062686	0.057189	0.1157	0.062166
Meth__cg00616129__STYK1	0.051211	0.044281	0.097431	0.092377	0.044256	0.69054	0.077649	0.057729	0.042107	0.064352	0.056382	0.052474	0.24573	0.029199	0.055378	0.059216	0.094055	0.1153	0.28818	0.059272	0.064288	0.053178	0.048423	0.20678	0.068774	0.067521	0.31169	0.087672	0.042336	0.04816	0.05007	0.11003	0.084263	0.25701	0.055201	0.043259	0.12804	0.057516
Meth__cg12391048__PRSS27	0.063758	0.060614	0.047018	0.76358	0.27053	0.94683	0.49564	0.048251	0.053812	0.19267	0.37107	0.078608	0.18226	0.73737	0.060288	0.60333	0.88467	0.056981	0.95591	0.33725	0.58087	0.94302	0.15431	0.93919	0.74681	0.57986	0.80948	0.076096	0.41385	0.035576	0.95432	0.056089	0.059247	0.10236	0.04798	0.073585	0.13392	0.34728
Meth__cg24924779__KCNG1	0.45081	0.059255	0.53987	0.13994	0.076837	0.80165	0.4482	0.067664	0.055079	0.10756	0.076121	0.067438	0.28217	0.24394	0.053203	0.047206	0.39338	0.081816	0.10243	0.5414	0.64972	0.10991	0.18484	0.89723	0.071283	0.11522	0.89282	0.087164	0.044417	0.08453	0.36938	0.085147	0.57945	0.11175	0.1233	0.048887	0.45109	0.039899
Meth__cg09146695__LEF1	0.070533	0.055806	0.23805	0.062928	0.054207	0.81078	0.063236	0.057627	0.056393	0.05299	0.050982	0.038734	0.16538	0.051988	0.063566	0.059044	0.057906	0.19928	0.05163	0.057019	0.10165	0.077701	0.047051	0.20767	0.075889	0.13036	0.15056	0.085915	0.043407	0.054221	0.068213	0.05358	0.06466	0.068826	0.097543	0.072622	0.13526	0.073252
Meth__cg07448499__CTSH	0.083849	0.45002	0.086418	0.3481	0.16731	0.4902	0.64087	0.10888	0.076454	0.11554	0.093154	0.10081	0.12319	0.12059	0.11014	0.10981	0.08985	0.094523	0.13918	0.31157	0.12256	0.41827	0.082408	0.30371	0.55621	0.17661	0.19431	0.14369	0.09067	0.052864	0.093978	0.48334	0.1009	0.17504	0.087278	0.077933	0.18296	0.12365
Meth__cg20485165__WFDC12	0.60352	0.02287	0.52462	0.6111	0.44386	0.37527	0.105	0.94379	0.81417	0.26209	0.30425	0.96059	0.79015	0.045389	0.66756	0.48654	0.69452	0.74849	0.02838	0.22083	0.40149	0.38833	0.87012	0.13672	0.14014	0.045263	0.21203	0.040174	0.89291	0.44841	0.02996	0.70145	0.10655	0.045424	0.3905	0.22681	0.08654	0.22674
Meth__cg08748415__CLIC5	0.077865	0.10279	0.52843	0.21641	0.087798	0.5706	0.13846	0.42255	0.087003	0.085617	0.26484	0.10296	0.11466	0.1343	0.091442	0.58275	0.082524	0.12249	0.11024	0.14439	0.14963	0.1358	0.17653	0.16447	0.11033	0.14903	0.17811	0.1172	0.10955	0.093793	0.087837	0.13252	0.25531	0.12313	0.084324	0.12881	0.1762	0.099344
Meth__cg11764747__EFNB1	0.21689	0.048849	0.85129	0.19878	0.11591	0.11515	0.68816	0.08304	0.045445	0.10204	0.071779	0.1181	0.18365	0.44211	0.05536	0.18152	0.08426	0.16039	0.056514	0.90398	0.25902	0.22589	0.54811	0.29431	0.16783	0.41855	0.34371	0.15313	0.28106	0.036066	0.52909	0.15954	0.75746	0.11666	0.2038	0.12667	0.58149	0.058309
Meth__cg08715837__TUBA8	0.048861	0.089512	0.21162	0.082713	0.031109	0.59902	0.061183	0.10271	0.046418	0.040038	0.089245	0.092833	0.83269	0.033928	0.042198	0.95048	0.040639	0.073643	0.042937	0.042898	0.048996	0.96169	0.047614	0.92066	0.058218	0.13405	0.61682	0.092429	0.51687	0.098516	0.067678	0.8609	0.97015	0.048402	0.048092	0.28667	0.18292	0.29871
Meth__cg22395192__FAM46B	0.033745	0.014457	0.029988	0.029255	0.038091	0.64786	0.037031	0.02666	0.74552	0.94312	0.73248	0.030323	0.062899	0.020452	0.63381	0.18886	0.020231	0.07033	0.014318	0.01612	0.02674	0.03557	0.027946	0.072052	0.02647	0.033237	0.046873	0.02886	0.020324	0.015937	0.019711	0.018172	0.014911	0.14501	0.034105	0.032285	0.053248	0.025133
Meth__cg19635869__RRAGD	0.51776	0.65266	0.96509	0.24296	0.092861	0.91755	0.93181	0.92978	0.046223	0.040964	0.74487	0.33961	0.15038	0.070387	0.046819	0.89541	0.067337	0.10179	0.69999	0.93688	0.89746	0.11462	0.93876	0.072896	0.774	0.14106	0.94432	0.20297	0.52863	0.65119	0.095015	0.2764	0.95668	0.063744	0.049633	0.37532	0.62026	0.93142
Meth__cg13757640__ARHGAP8	0.019627	0.018656	0.034462	0.019309	0.028167	0.95373	0.022511	0.011898	0.018361	0.022705	0.017072	0.0177	0.049273	0.015085	0.018419	0.01995	0.085307	0.034516	0.34852	0.022994	0.029716	0.83965	0.02389	0.76033	0.04247	0.036699	0.038812	0.03068	0.30019	0.021524	0.057348	0.020387	0.019506	0.047453	0.021278	0.028678	0.045808	0.027353
Meth__cg07490776__AP3M2	0.13121	0.028928	0.041295	0.025233	0.047764	0.97749	0.34079	0.035354	0.62184	0.12465	0.97582	0.12559	0.048759	0.53669	0.57713	0.022007	0.021018	0.082204	0.033063	0.042901	0.037271	0.029203	0.025785	0.060364	0.037897	0.060513	0.092068	0.042997	0.020377	0.019537	0.023175	0.026	0.045541	0.15939	0.46899	0.10306	0.064414	0.43794
Meth__cg00689340__RTKN	0.038929	0.02676	0.33623	0.87497	0.034033	0.96472	0.049455	0.025938	0.031422	0.041465	0.028578	0.029912	0.31671	0.026499	0.038509	0.024874	0.040381	0.15025	0.92374	0.50346	0.41145	0.95857	0.069199	0.90475	0.053077	0.047202	0.081673	0.045367	0.060679	0.023721	0.84377	0.028343	0.022775	0.074508	0.040393	0.045558	0.064863	0.043098
Meth__cg21673646__SHF	0.052093	0.075721	0.38266	0.18463	0.02649	0.2299	0.049744	0.054006	0.042515	0.077701	0.037324	0.040632	0.63235	0.043584	0.04483	0.035826	0.047659	0.072406	0.056019	0.051517	0.059741	0.15156	0.049737	0.72769	0.052781	0.060402	0.53377	0.04972	0.028804	0.10859	0.044351	0.14718	0.036393	0.19411	0.040336	0.05586	0.056228	0.044024
Meth__cg08052882__NNT	0.083595	0.061372	0.41492	0.43711	0.088199	0.061314	0.14996	0.045338	0.056063	0.062845	0.068001	0.053924	0.5782	0.056308	0.05839	0.095711	0.064379	0.1259	0.055343	0.13923	0.078642	0.054472	0.23906	0.082957	0.083239	0.11947	0.15829	0.15016	0.058553	0.094441	0.039927	0.44883	0.52734	0.095033	0.29966	0.28936	0.1758	0.1601
Meth__cg15553522__HSPA5BP1	0.063099	0.052509	0.18312	0.045654	0.035478	0.069788	0.082858	0.024424	0.037968	0.048164	0.053427	0.057639	0.099714	0.027673	0.056959	0.052287	0.064135	0.10843	0.088017	0.052486	0.078019	0.060364	0.049803	0.24168	0.058929	0.10301	0.12441	0.089976	0.039906	0.03629	0.040325	0.057927	0.050897	0.10546	0.047308	0.050256	0.077438	0.072134
Meth__cg09160477__SUSD3	0.032897	0.028357	0.48009	0.48642	0.017672	0.8823	0.038454	0.95701	0.024422	0.025198	0.023719	0.022013	0.59095	0.52411	0.030402	0.9569	0.81696	0.061001	0.39129	0.020256	0.097269	0.17416	0.013959	0.038904	0.80113	0.041898	0.93914	0.035779	0.019485	0.059489	0.046865	0.015471	0.022409	0.077215	0.026431	0.16358	0.083621	0.027982
Meth__cg08159444__PNMA5	0.10401	0.084835	0.80373	0.79764	0.49079	0.089533	0.35319	0.8699	0.82829	0.62976	0.2479	0.69585	0.67884	0.030903	0.63722	0.31986	0.73281	0.14108	0.055721	0.6638	0.53828	0.13323	0.47047	0.15356	0.16386	0.052681	0.13471	0.251	0.21964	0.039111	0.045927	0.67663	0.17077	0.18889	0.71452	0.15713	0.052324	0.24173
Meth__cg22155248__TAPBPL	0.073721	0.77379	0.65304	0.076622	0.075858	0.85085	0.42446	0.12346	0.084006	0.12219	0.083322	0.078253	0.76807	0.096331	0.089965	0.7318	0.086836	0.16227	0.075643	0.56588	0.12621	0.10953	0.074634	0.14823	0.06617	0.17979	0.17348	0.62713	0.35593	0.28339	0.14587	0.10212	0.67116	0.19446	0.12456	0.32294	0.15958	0.67451
Meth__cg04367351__PLA2R1	0.049206	0.20564	0.91504	0.036583	0.081795	0.37418	0.81595	0.053166	0.054804	0.090824	0.052491	0.19053	0.87864	0.068906	0.073097	0.091784	0.059576	0.15245	0.044494	0.64949	0.64951	0.49266	0.051487	0.69314	0.073245	0.12852	0.85257	0.1055	0.03373	0.034767	0.056205	0.70293	0.84211	0.11971	0.079111	0.073182	0.10385	0.065057
Meth__cg26450866__KCNA7	0.92992	0.029783	0.90152	0.21574	0.0403	0.928	0.91957	0.045822	0.05275	0.038762	0.89627	0.048724	0.77996	0.35212	0.042008	0.64038	0.051125	0.067629	0.67558	0.45337	0.33932	0.78589	0.94928	0.86947	0.91423	0.083401	0.86319	0.057572	0.042269	0.039778	0.10207	0.12793	0.67489	0.066625	0.057512	0.20249	0.79738	0.72036
Meth__cg18630040__PLA2G7	0.56273	0.027183	0.97856	0.20499	0.027268	0.98021	0.97766	0.049739	0.033759	0.034051	0.054795	0.034076	0.90862	0.97066	0.029081	0.52333	0.035396	0.074531	0.41194	0.98758	0.98085	0.033186	0.072602	0.93275	0.97933	0.25756	0.91843	0.080811	0.025052	0.027284	0.51217	0.033396	0.96158	0.84633	0.69738	0.044194	0.068221	0.04144
Meth__cg17977409__SH3GL2	0.073928	0.059058	0.94889	0.056598	0.037926	0.9298	0.59348	0.15747	0.037601	0.049756	0.55619	0.057571	0.25583	0.80393	0.043623	0.045796	0.060305	0.15273	0.051576	0.92117	0.80952	0.058824	0.039696	0.4774	0.87008	0.34596	0.88847	0.081226	0.0458	0.045442	0.46311	0.24136	0.93535	0.24198	0.055613	0.039138	0.36211	0.045077
Meth__cg24870391__CCL11	0.12551	0.040778	0.093056	0.51023	0.48589	0.04363	0.15461	0.77013	0.85676	0.29987	0.11842	0.53745	0.23622	0.053119	0.6471	0.24709	0.69726	0.052604	0.059547	0.042172	0.059054	0.68903	0.34717	0.14744	0.03077	0.067527	0.13186	0.079057	0.21707	0.033424	0.053571	0.85129	0.82968	0.077492	0.2501	0.13241	0.24457	0.064348
Meth__cg22215728__FHIT	0.034961	0.045071	0.14112	0.12413	0.044293	0.17859	0.068871	0.035955	0.046123	0.050332	0.057143	0.098375	0.19351	0.025548	0.043884	0.071454	0.052691	0.04894	0.046275	0.058812	0.066812	0.36104	0.027958	0.067309	0.05752	0.19967	0.071834	0.084096	0.040972	0.060701	0.042653	0.039482	0.36529	0.053979	0.048464	0.036246	0.073115	0.044042
Meth__cg25070010__MYRIP	0.038653	0.33815	0.91301	0.88417	0.15152	0.6263	0.050368	0.65083	0.030843	0.057296	0.62007	0.075357	0.53397	0.029319	0.050694	0.454	0.047074	0.1094	0.7042	0.086621	0.075617	0.058549	0.088538	0.53381	0.64901	0.069942	0.86374	0.1458	0.036277	0.067696	0.22627	0.51964	0.80302	0.12139	0.044045	0.67871	0.22371	0.74563
Meth__cg03109316__ZNF80	0.79014	0.032029	0.77053	0.81772	0.3884	0.37761	0.63533	0.94863	0.86852	0.33488	0.89647	0.8656	0.098093	0.047173	0.64841	0.74926	0.93805	0.078491	0.22611	0.16289	0.14337	0.10745	0.93575	0.33508	0.057851	0.040985	0.16853	0.041155	0.31333	0.56294	0.04333	0.23592	0.036595	0.10319	0.045468	0.2955	0.085003	0.23653
Meth__cg22577136__IKBKE	0.019782	0.034592	0.037693	0.40888	0.036697	0.027823	0.73997	0.023012	0.022158	0.051267	0.016903	0.036364	0.06985	0.43549	0.025008	0.028536	0.028216	0.049925	0.020139	0.92664	0.96164	0.16312	0.016803	0.045346	0.96036	0.2612	0.037261	0.033233	0.021881	0.019478	0.022637	0.086216	0.95864	0.051363	0.021935	0.022731	0.034735	0.022486
Meth__cg22957381__KCND3	0.035443	0.046071	0.58709	0.040332	0.026299	0.76599	0.059558	0.054462	0.074325	0.038549	0.21296	0.16989	0.30663	0.27485	0.056932	0.08663	0.21571	0.1555	0.16752	0.17142	0.08934	0.077203	0.087255	0.78108	0.046753	0.063487	0.26304	0.12242	0.034032	0.12966	0.13539	0.029601	0.059089	0.099532	0.035301	0.03471	0.10761	0.047052
Meth__cg13562542__GPR27	0.049852	0.04691	0.22155	0.043873	0.030826	0.97672	0.044788	0.057511	0.040782	0.039737	0.54079	0.039045	0.10791	0.073994	0.042225	0.66524	0.04161	0.062433	0.58682	0.027393	0.049586	0.051376	0.085791	0.94553	0.051521	0.085582	0.91513	0.13749	0.041415	0.039669	0.11912	0.031898	0.063664	0.066164	0.036355	0.050866	0.07759	0.039983
Meth__cg18505908__APBA1	0.067112	0.24306	0.089515	0.056974	0.045108	0.47438	0.084391	0.07002	0.047326	0.041126	0.058838	0.051684	0.10344	0.04519	0.047707	0.059158	0.056537	0.071102	0.039062	0.036532	0.059503	0.069157	0.040883	0.4521	0.071555	0.12265	0.083978	0.10689	0.043179	0.32934	0.057928	0.057941	0.11683	0.081735	0.051359	0.056414	0.13173	0.046936
Meth__cg16986846__SCGB2A1	0.075058	0.036625	0.48512	0.21086	0.39271	0.63391	0.088225	0.62762	0.52367	0.55006	0.60803	0.13615	0.10046	0.034849	0.36969	0.18538	0.73309	0.12784	0.057083	0.056342	0.15278	0.22523	0.36938	0.22244	0.14196	0.082846	0.10639	0.10301	0.13376	0.37671	0.070754	0.067598	0.06277	0.097322	0.25454	0.17054	0.038391	0.058859
Meth__cg02992596__MGC27016	0.92418	0.10004	0.55603	0.70822	0.28646	0.54188	0.62371	0.9746	0.79594	0.5682	0.72987	0.53501	0.46932	0.097767	0.54155	0.32167	0.94944	0.12063	0.072472	0.1069	0.082572	0.68305	0.89042	0.45202	0.24036	0.052738	0.23194	0.045455	0.94295	0.91627	0.090861	0.51927	0.040779	0.061692	0.40398	0.31819	0.044838	0.42164
Meth__cg02420102__MGC33948	0.082726	0.042528	0.048022	0.055973	0.055639	0.04901	0.081363	0.046265	0.045055	0.060144	0.046593	0.047309	0.06407	0.044001	0.053201	0.050068	0.062323	0.10846	0.044885	0.0665	0.085992	0.050628	0.055904	0.088756	0.058132	0.15776	0.10211	0.080685	0.042467	0.057438	0.067436	0.063191	0.070688	0.065749	0.056289	0.07585	0.15786	0.073504
Meth__cg06030619__CORO1A	0.15295	0.37182	0.71924	0.16027	0.10143	0.13013	0.18908	0.068969	0.032731	0.057442	0.044567	0.08736	0.44796	0.1028	0.035416	0.23892	0.029197	0.096632	0.05578	0.062422	0.058594	0.046207	0.050096	0.07973	0.1322	0.096441	0.35602	0.14403	0.04084	0.030757	0.078567	0.15487	0.30562	0.17014	0.055052	0.13924	0.22839	0.13891
Meth__cg09305770__HIST1H3A	0.18852	0.11023	0.2193	0.17083	0.22846	0.39798	0.16479	0.89407	0.79766	0.84894	0.81344	0.1993	0.74108	0.054281	0.73351	0.067899	0.093152	0.15499	0.3804	0.1089	0.15246	0.11993	0.13095	0.17294	0.65563	0.21408	0.16197	0.094535	0.057774	0.10553	0.20881	0.15939	0.63694	0.13738	0.22477	0.23882	0.20235	0.2146
Meth__cg16762195__LGP2	0.029625	0.076357	0.055523	0.043369	0.024755	0.14529	0.037691	0.033215	0.04833	0.067469	0.1291	0.031151	0.15563	0.036015	0.0351	0.33017	0.029089	0.060087	0.037444	0.41257	0.43414	0.081125	0.034823	0.16766	0.13311	0.050491	0.12418	0.044272	0.029743	0.028521	0.030796	0.022191	0.10755	0.077834	0.034659	0.1682	0.12702	0.3161
Meth__cg16080552__TACSTD2	0.081532	0.063337	0.15106	0.16135	0.057061	0.89737	0.17764	0.061114	0.067008	0.12645	0.86069	0.057481	0.13114	0.062979	0.065351	0.86655	0.34635	0.17581	0.68714	0.17831	0.075019	0.8426	0.14745	0.11497	0.08963	0.12395	0.16571	0.10363	0.376	0.068312	0.87973	0.069596	0.87634	0.087156	0.090214	0.10215	0.22673	0.4387
Meth__cg18742893__BOC	0.048764	0.39857	0.38934	0.09935	0.023165	0.47725	0.049853	0.11183	0.037497	0.032157	0.069315	0.06078	0.46219	0.094027	0.052132	0.061946	0.04017	0.096697	0.027492	0.15682	0.15909	0.062119	0.08413	0.33594	0.073657	0.073529	0.27083	0.21159	0.036891	0.040247	0.049779	0.080242	0.67899	0.12106	0.16094	0.16792	0.11047	0.067659
Meth__cg09754413__RNF182	0.52061	0.078875	0.88807	0.38098	0.13669	0.043119	0.81428	0.10896	0.16347	0.13314	0.54797	0.14382	0.64177	0.47783	0.14404	0.34766	0.052158	0.11597	0.42179	0.70165	0.70021	0.22684	0.75151	0.3453	0.2409	0.43985	0.66826	0.17378	0.05675	0.11934	0.53729	0.54945	0.8306	0.33042	0.083261	0.27329	0.46513	0.20727
Meth__cg21869055__KLK10	0.23013	0.045625	0.91773	0.23057	0.043762	0.10109	0.19428	0.066896	0.044504	0.052588	0.10038	0.038247	0.49798	0.027198	0.046745	0.36543	0.043402	0.077331	0.032805	0.40192	0.49722	0.19268	0.1874	0.28695	0.36265	0.080379	0.73365	0.076296	0.039278	0.076859	0.031813	0.065935	0.83591	0.089808	0.04566	0.050049	0.096552	0.04896
Meth__cg02441647__COL8A1	0.073385	0.093494	0.93973	0.15166	0.084358	0.45901	0.40355	0.070106	0.18682	0.11715	0.089932	0.34076	0.52497	0.082134	0.13633	0.064024	0.12046	0.28975	0.063739	0.26371	0.50867	0.081103	0.35923	0.16635	0.074587	0.13094	0.81387	0.14564	0.066419	0.068942	0.11449	0.54173	0.55723	0.096271	0.068193	0.13992	0.12519	0.68168
Meth__cg24910675__ENG	0.066377	0.045883	0.10283	0.62946	0.098468	0.78019	0.61368	0.27376	0.041875	0.089145	0.055081	0.12282	0.23123	0.12772	0.048298	0.10031	0.04742	0.097442	0.036827	0.5498	0.6806	0.1601	0.5814	0.2031	0.57462	0.12452	0.40393	0.097602	0.04678	0.041297	0.046663	0.060673	0.71919	0.3529	0.060634	0.34586	0.38893	0.45177
Meth__cg00980978__WFDC2	0.088172	0.026231	0.34048	0.55909	0.48795	0.83686	0.10991	0.038977	0.070796	0.041508	0.036367	0.10943	0.91981	0.24266	0.052917	0.91782	0.031863	0.045552	0.043786	0.42484	0.45859	0.17567	0.10078	0.55269	0.10097	0.066757	0.92674	0.039973	0.084982	0.022222	0.06169	0.93241	0.82824	0.054206	0.046058	0.04779	0.16509	0.54063
Meth__cg09585834__ANKS3	0.037889	0.025677	0.055929	0.043745	0.043919	0.049448	0.045934	0.047261	0.03766	0.035107	0.032369	0.031453	0.065883	0.04223	0.050294	0.043344	0.042728	0.067028	0.031709	0.037258	0.050492	0.055979	0.032512	0.064238	0.044027	0.041965	0.050358	0.070886	0.029118	0.048996	0.041852	0.046238	0.054956	0.036593	0.051767	0.053988	0.073662	0.043113
Meth__cg10943191__TMEM52	0.035658	0.025577	0.068488	0.36107	0.030853	0.97311	0.06801	0.023051	0.024734	0.034277	0.037463	0.057664	0.065926	0.025476	0.033914	0.027148	0.95842	0.052044	0.20979	0.030896	0.033973	0.14913	0.029453	0.66492	0.43245	0.073596	0.055556	0.060268	0.043531	0.03668	0.12137	0.024197	0.029058	0.0693	0.032184	0.60426	0.087629	0.051371
Meth__cg02271621__DUSP8	0.085875	0.034549	0.90174	0.056948	0.14379	0.033686	0.040268	0.92157	0.39601	0.89903	0.036283	0.95549	0.21858	0.037318	0.34763	0.55157	0.048466	0.10251	0.074156	0.034472	0.043517	0.041164	0.1792	0.86586	0.61791	0.091338	0.25903	0.074207	0.38205	0.27541	0.088028	0.05088	0.90529	0.08973	0.62864	0.029708	0.25513	0.0326
Meth__cg27420123__FSHB	0.19518	0.046391	0.045281	0.18074	0.072032	0.10625	0.28062	0.33875	0.79805	0.49003	0.21939	0.20453	0.085838	0.65105	0.55915	0.30356	0.056456	0.12506	0.069784	0.071902	0.060864	0.08844	0.26389	0.13556	0.1516	0.085803	0.084207	0.082905	0.57119	0.67913	0.065071	0.077301	0.057132	0.082749	0.071709	0.089321	0.073986	0.056729
Meth__cg05806233__GNAI1	0.031396	0.01804	0.43756	0.55256	0.052025	0.26669	0.032471	0.038173	0.022067	0.023082	0.029943	0.049861	0.10227	0.040096	0.021784	0.026604	0.03082	0.052784	0.029172	0.081465	0.090834	0.028908	0.21997	0.031335	0.043131	0.055708	0.07892	0.036885	0.024244	0.02037	0.038175	0.13752	0.037424	0.047052	0.051537	0.079757	0.69484	0.1835
Meth__cg10005894__ST6GAL1	0.072403	0.096057	0.40486	0.078521	0.059005	0.43636	0.076578	0.082628	0.069187	0.090006	0.071193	0.072608	0.098845	0.065418	0.076491	0.15505	0.06958	0.13387	0.087829	0.077402	0.27689	0.14035	0.074791	0.093412	0.10833	0.096063	0.095253	0.12162	0.060172	0.062569	0.061534	0.060215	0.079679	0.1386	0.063646	0.061757	0.11379	0.081178
Meth__cg22397854__C1orf102	0.054506	0.12481	0.14222	0.13784	0.04676	0.13511	0.051142	0.066087	0.040379	0.06511	0.044686	0.3159	0.14068	0.041333	0.056637	0.13958	0.068687	0.070248	0.072997	0.079508	0.068178	0.23488	0.052446	0.22115	0.14856	0.074402	0.073376	0.15301	0.044727	0.051309	0.07907	0.05152	0.045191	0.056944	0.070258	0.049374	0.13164	0.064301
Meth__cg00888479__SLC24A3	0.047905	0.6701	0.46106	0.052238	0.027847	0.84312	0.064337	0.22164	0.032915	0.030045	0.2036	0.22225	0.31529	0.028527	0.05308	0.49204	0.44991	0.098598	0.027935	0.36284	0.053936	0.53114	0.67015	0.83616	0.065135	0.060514	0.090071	0.48088	0.042361	0.13799	0.24269	0.035333	0.022385	0.064297	0.03751	0.034699	0.2098	0.035579
Meth__cg02537838__C20orf151	0.054806	0.058138	0.07519	0.053443	0.051723	0.84168	0.063223	0.043171	0.046606	0.071374	0.05415	0.058861	0.079328	0.044371	0.060522	0.074077	0.87468	0.088135	0.3752	0.0485	0.058087	0.85475	0.056401	0.74088	0.065833	0.090438	0.11716	0.067954	0.84203	0.067186	0.48956	0.060225	0.071691	0.044814	0.068524	0.053769	0.091825	0.055417
Meth__cg10918202__BAALC	0.10975	0.064619	0.97706	0.42254	0.11541	0.95743	0.95832	0.60031	0.032097	0.072132	0.85239	0.35475	0.81139	0.15856	0.082532	0.20623	0.19251	0.13856	0.19962	0.92956	0.60084	0.063076	0.13485	0.9222	0.46875	0.038511	0.95832	0.16976	0.12011	0.085302	0.3778	0.43844	0.94694	0.065863	0.070004	0.43982	0.10009	0.57864
Meth__cg01284619__HCN2	0.30017	0.048357	0.18249	0.19783	0.065139	0.39067	0.045976	0.030622	0.036318	0.036095	0.10012	0.13306	0.64599	0.037053	0.03639	0.07208	0.2863	0.12604	0.081077	0.075137	0.075927	0.62411	0.025182	0.46125	0.054039	0.10778	0.36696	0.056931	0.031285	0.076365	0.051942	0.12019	0.059081	0.03752	0.044795	0.044953	0.12592	0.034558
Meth__cg11928635__ZNF318	0.046456	0.025782	0.12211	0.055716	0.031943	0.1227	0.028728	0.029225	0.044329	0.034282	0.024071	0.028818	0.14097	0.045802	0.041377	0.038175	0.066024	0.067281	0.025421	0.03317	0.058023	0.039111	0.048815	0.075032	0.05072	0.061983	0.51325	0.077019	0.034853	0.024937	0.049041	0.15401	0.045119	0.15059	0.04185	0.051407	0.065258	0.039902
Meth__cg17671157__KCNK10	0.74727	0.01865	0.90874	0.094947	0.030684	0.26661	0.45063	0.037772	0.025914	0.0284	0.078859	0.17278	0.26089	0.46464	0.024325	0.044997	0.029177	0.083798	0.05407	0.3019	0.67489	0.048927	0.95107	0.57781	0.089179	0.029591	0.73726	0.017785	0.022746	0.10578	0.032699	0.11487	0.48873	0.054487	0.050437	0.32074	0.67744	0.45821
Meth__cg21486954__RPIP8	0.036502	0.11214	0.049629	0.057635	0.03594	0.22032	0.088315	0.14352	0.028768	0.039008	0.034705	0.30148	0.74545	0.031201	0.037112	0.66745	0.063532	0.062078	0.040442	0.053232	0.053604	0.74248	0.023772	0.36262	0.046046	0.076644	0.1164	0.23284	0.040891	0.039686	0.28053	0.078163	0.027043	0.063037	0.035874	0.061308	0.16121	0.062118
Meth__cg07836370__GLTP	0.044944	0.045083	0.049565	0.16144	0.052904	0.063889	0.059004	0.046052	0.048627	0.06761	0.041173	0.086678	0.096755	0.031665	0.061816	0.048389	0.071374	0.074576	0.40135	0.085637	0.08971	0.064575	0.14881	0.083941	0.076223	0.066547	0.12398	0.059821	0.034799	0.043964	0.036111	0.26517	0.056391	0.062645	0.047005	0.057322	0.11469	0.04402
Meth__cg13401831__TUBA8	0.089891	0.11574	0.12125	0.10081	0.058129	0.56257	0.14034	0.15308	0.050414	0.059648	0.085453	0.10738	0.87859	0.04026	0.061414	0.77545	0.088773	0.12582	0.051592	0.087269	0.13765	0.911	0.080848	0.62084	0.097664	0.10319	0.12956	0.10158	0.38464	0.075783	0.083333	0.85905	0.89552	0.10304	0.058723	0.099011	0.17666	0.26088
